fn,n,tm,pos,m24r,m24y,z24r,z24y,sh24y,th24y,m25r,m25y,z25r,z25y,sh25y,th25y
Jahan,Dotson,PHI,WR,129,0.829,236,0.462,0.776,0.291,115,0.739,262,0.676,0.371,0.934
Theo,Johnson,NYG,TE,101,0.832,222,1.113,0.753,1.296,125,1.856,258,1.143,1.677,0.886
DeVonta,Smith,PHI,WR,130,1.992,224,2.531,2.597,1.908,130,1.423,359,2.27,2.131,1.935
Justin,Jefferson,MIN,WR,142,2.711,404,2.767,3.034,2.334,141,1.496,365,2.293,2.38,1.567
Ladd,McConkey,LAC,WR,125,2.912,309,2.437,3.294,1.615,184,1.88,331,1.308,1.58,1.352
JuJu,Smith-Schuster,KC,WR,82,1.061,130,1.108,1.154,0.899,122,0.295,182,1.676,0.961,1.2
Romeo,Doubs,GB,WR,99,1.97,206,1.922,2.16,1.556,126,1.31,251,2.12,1.853,1.861
Chig,Okonkwo,TEN,TE,105,0.505,236,1.822,0.791,1.948,79,0.899,288,1.688,1.186,1.813
Cade,Otton,TB,TE,119,1.244,248,1.758,1.548,1.553,126,0.762,308,1.545,1.12,1.467
George,Kittle,SF,TE,115,2.374,250,3.14,3.087,2.667,66,1.909,193,2.487,2.716,1.808
Dalton,Schultz,HST,TE,125,1.08,308,1.269,1.347,0.979,127,1.039,314,2.016,1.434,1.826
Isaiah,Likely,BLT,TE,88,1.409,159,2.088,1.759,1.913,61,1.246,151,1.53,1.45,1.352
Keenan,Allen,LAC,WR,163,1.086,315,1.762,1.41,1.661,159,1.358,276,2.018,1.643,1.795
Noah,Fant,CIN,TE,93,0.72,257,1.685,1.541,1.242,50,0.24,136,2.022,1.5,1.487
Mark,Andrews,BLT,TE,115,2.017,199,2.161,2.132,1.929,118,1.898,188,1.043,1.83,0.747
DK,Metcalf,PIT,WR,120,2.15,368,1.981,1.959,1.985,121,1.463,281,2.395,2.38,1.658
CeeDee,Lamb,DAL,WR,140,3.286,351,2.043,2.969,1.703,109,3.064,312,2.381,2.957,2.154
Parker,Washington,JAX,WR,106,0.887,234,1.265,0.831,1.452,92,2.696,271,2.166,1.959,2.5
