Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
Kenneth Gainwell,PIT,RB,10,Yes,No,Yes,8,No,No,0.5,0.125,17,1,,0.125,1,0.25,0.125,,1,,39.6,-5.7294,2.6596,2.6596,0.1,,,,
Bhayshul Tuten,JAX,RB,5,No,Yes,No,3,No,No,1,,15,1,,0.3333,1,,,,1,,39.6,-5.7294,1.3462,1.3462,0.2,,,,
Casey Washington,ATL,WR,2,No,No,No,2,No,No,,,7,,,,,0.5,0.5,,,,,,,,,,,,
John Metchie,NYJ,WR,12,No,Yes,Yes,10,No,No,,,16,2,,0.2,19,0.2,0.8,1,9.5,,39.6,-8.2297,3.4216,3.4216,0.1667,1,,,
Jalen Nailor,MIN,WR,15,No,No,No,15,No,No,,,17,3,,0.2,53,0.6,0.4,2,17.6667,1,39.6,-10.3456,5.6926,5.6926,0.2,,,,
Marquise Brown,KC,WR,12,No,No,No,12,No,No,,,16,4,,0.3333,28,0.4167,0.5833,3,7,,39.6,-7.0132,7.6995,7.6995,0.3333,2,,,
KaVontae Turpin,DAL,WR,4,Yes,No,No,4,No,No,,,15,1,1,0.25,16,1,,1,16,,,-10.0952,3.8636,3.8636,0.25,1,,,
Dare Ogunbowale,HST,RB,5,Yes,Yes,No,3,No,No,0.6667,,17,,,,,0.3333,,,,,,,,,,,,,
Nico Collins,HST,WR,19,No,No,No,19,No,No,,,15,7,,0.3684,98,0.3158,0.6842,4,14,2,,-9.1188,11.5308,11.5308,0.3684,1,,,
Jerry Jeudy,CLV,WR,23,No,No,Yes,22,No,No,,,17,8,1,0.3636,137,0.1364,0.8636,5,17.125,2,39.6,-9.4997,17.9044,17.9044,0.3478,1,,,
Jake Ferguson,DAL,TE,7,Yes,No,No,6,No,No,,0.5,17,,,,,0.1667,0.3333,,,,,,,,,,,,
Davante Adams,LA,WR,19,No,No,Yes,19,No,No,,,14,11,4,0.5789,120,0.2105,0.7895,6,10.9091,1,39.6,-8.2464,26.9434,26.9434,0.5789,5,,,
Elijah Arroyo,SEA,TE,8,No,No,No,8,No,No,,0.875,13,4,1,0.5,41,,0.125,3,10.25,,39.6,-8.517,10.9515,10.9515,0.5,2,,,
Darius Slayton,NYG,WR,11,Yes,No,No,11,No,No,,,14,2,,0.1818,16,0.0909,0.9091,1,8,,39.6,-7.2592,3.0316,3.0316,0.1818,,,,
Josh Whyle,GB,TE,1,No,No,No,1,No,No,,,8,,,,,,1,,,,,,,,,,,,
Travis Etienne,JAX,RB,14,No,Yes,No,9,No,No,0.4444,,17,1,,0.1111,-4,0.4444,0.1111,1,-4,,39.6,-5.5699,1.6256,1.6256,0.0714,,1,1,
Jordan Whittington,LA,WR,11,No,Yes,No,9,No,No,,,17,,,,,0.2222,0.7778,,,,,,,,,,,,
Bam Knight,ARZ,RB,10,No,No,No,9,No,No,0.8889,,12,2,,0.2222,-1,0.1111,,,-0.5,,39.6,-6.2665,2.5724,2.5724,0.2,,,,
Jaret Patterson,LAC,RB,1,No,No,No,1,No,No,1,,6,,,,,,,,,,,,,,,,,,
Samaje Perine,CIN,RB,4,No,No,Yes,3,No,No,1,,15,,,,,,,,,,,,,,,,,,
J.K. Dobbins,DEN,RB,5,No,No,Yes,3,No,No,1,,10,,,,,,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,5,No,Yes,No,4,No,No,1,,13,,,,,,,,,,,,,,,,,,
KhaDarel Hodge,ATL,WR,2,No,Yes,Yes,2,No,No,,,11,,,,,0.5,0.5,,,,,,,,,,,,
Will Dissly,LAC,TE,5,No,No,No,4,No,No,,0.5,9,,,,,0.5,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,2,Yes,No,Yes,2,No,No,0.5,,15,,,,,0.5,,,,,,,,,,,,,
Miles Sanders,DAL,RB,2,Yes,No,Yes,1,No,No,1,,4,,,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,16,No,No,No,10,No,No,0.8,,16,4,,0.4,35,,0.2,,8.75,1,39.6,-7.5574,6.6508,6.6508,0.25,1,,,
Evan Engram,DEN,TE,13,No,No,No,13,No,No,,0.4615,16,3,,0.2308,17,0.4615,0.0769,2,5.6667,,39.6,-7.9559,4.6682,4.6682,0.2308,,1,0.3333,
Keleki Latu,BUF,TE,2,No,Yes,Yes,1,No,No,,,5,,,,,1,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,7,No,No,No,7,No,No,,,9,1,,0.1429,23,0.4286,0.5714,1,23,1,39.6,-10.2174,1.4739,1.4739,0.1429,,,,
Matthew Golden,GB,WR,6,No,No,No,6,No,No,,,14,2,,0.3333,52,0.3333,0.6667,2,26,1,39.6,-10.9746,3.1825,3.1825,0.3333,,,,
Adonai Mitchell,NYJ,WR,11,No,Yes,Yes,10,No,No,,,16,4,,0.4,35,0.2,0.8,4,8.75,,39.6,-8.2435,6.0885,6.0885,0.3636,,1,0.25,
Dylan Sampson,CLV,RB,7,No,No,Yes,5,No,No,0.8,0.2,15,1,,0.2,2,,,,2,,39.6,-6.3947,1.3043,1.3043,0.1429,,,,
Nick Westbrook-Ikhine,MIA,WR,3,Yes,Yes,Yes,3,No,No,,,15,,,,,0.3333,0.6667,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,3,Yes,No,No,2,No,No,,0.5,17,,,,,0.5,,,,,,,,,,,,,
Tyler Higbee,LA,TE,12,No,Yes,No,8,No,No,0.125,0.75,10,1,,0.125,16,0.125,,1,16,,39.6,-10.191,1.7588,1.7588,0.0833,,,,
Jake Bobo,SEA,WR,3,Yes,Yes,No,3,No,No,,,11,,,,,,1,,,,,,,,,,,,
Pat Bryant,DEN,WR,8,No,No,No,8,No,No,,,15,1,,0.125,4,0.625,0.375,1,4,,39.6,-6.0498,1.3418,1.3418,0.125,,,,
Marquez Valdes-Scantling,PIT,WR,7,Yes,No,Yes,7,No,No,,,10,3,1,0.4286,66,0.1429,0.8571,3,22,2,39.6,-10.8144,9.4236,9.4236,0.4286,1,,,
Kayshon Boutte,NE,WR,8,Yes,Yes,Yes,8,No,No,,0.125,14,1,,0.125,14,0.125,0.75,1,14,,39.6,-9.8134,6.9558,6.9558,0.125,,,,
Hunter Long,JAX,TE,6,No,No,No,3,No,No,,0.3333,9,,,,,,0.6667,,,,,,,,,,,,
Sal Cannella,CLV,TE,1,No,No,Yes,1,No,No,,,2,1,,1,8,1,,1,8,,39.6,-7.7205,1.1343,1.1343,1,,,,
Ben Sims,MIN,TE,1,No,No,No,1,No,No,,1,9,,,,,,,,,,,,,,,,,,
Robbie Chosen,WAS,WR,4,Yes,Yes,No,4,No,No,,,3,,,,,0.25,0.75,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,17,No,No,Yes,17,No,No,0.1176,,16,5,,0.2941,60,0.2941,0.5882,4,12,1,39.6,-8.3369,11.6177,11.6177,0.2941,,,,
D'Andre Swift,CHI,RB,15,No,No,No,13,No,No,0.6154,0.0769,16,2,,0.1538,11,0.0769,0.2308,,5.5,,39.6,-6.6228,3.3218,3.3218,0.1333,,,,
Adam Trautman,DEN,TE,5,No,No,No,3,No,No,,0.3333,17,,,,,,0.6667,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,1,Yes,No,No,1,No,No,,,6,,,,,,1,,,,,,,,,,,,
Cooper Kupp,SEA,WR,17,Yes,Yes,No,17,No,No,,,16,4,1,0.2353,45,0.5882,0.4118,2,11.25,,39.6,-8.7181,7.64,7.64,0.2353,1,,,
Tommy Tremble,CAR,TE,6,Yes,No,No,6,No,No,,,17,2,,0.3333,18,0.8333,0.1667,2,9,,39.6,-8.4805,3.4283,3.4283,0.3333,,,,1
James Conner,ARZ,RB,2,No,No,No,2,No,No,1,,3,,,,,,,,,,,,,,,,,,
Kyle Williams,NE,WR,2,Yes,Yes,Yes,2,No,No,,,17,,,,,0.5,0.5,,,,,,,,,,,,
Anthony Firkser,DET,TE,4,No,No,No,3,No,No,,,7,,,,,0.6667,0.3333,,,,,,,,,,,,
Justice Hill,BLT,RB,5,No,Yes,No,2,No,No,1,,10,,,,,,,,,,,,,,,,,,
Tyler Conklin,LAC,TE,1,No,No,No,1,No,No,,,10,,,,,1,,,,,,,4.4,4.4,,,,,
George Holani,SEA,RB,2,No,No,No,2,No,No,1,,10,,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,3,No,No,No,2,No,No,1,,17,1,,0.5,8,,,,8,,39.6,-8.5126,2.3156,2.3156,0.3333,1,,,
Christian Watson,GB,WR,5,No,Yes,No,5,Yes,No,,,10,3,1,0.6,42,0.4,0.6,1,14,1,39.6,-9.4936,7.5117,7.5117,0.6,1,,,
Zach Ertz,WAS,TE,10,No,Yes,No,10,No,No,,0.2,13,2,1,0.2,38,0.5,0.3,1,19,1,39.6,-11.1706,4.7801,4.7801,0.2,,,,
Darnell Washington,PIT,TE,8,No,No,No,8,No,No,,0.625,16,2,,0.25,21,0.25,0.125,2,10.5,,39.6,-8.8427,2.6066,2.6066,0.25,,,,
Audric Estime,NO,RB,4,No,Yes,No,4,No,No,1,,6,,,,,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,2,Yes,No,Yes,1,No,No,,1,17,,,,,,,,,,,,,,,,,,
Davis Allen,LA,TE,7,No,Yes,No,5,No,No,,0.4,17,,,,,0.4,0.2,,,,,,1.1983,1.1983,,,,,
Greg Dortch,ARZ,WR,6,No,Yes,No,6,No,No,,,12,,,,,0.6667,0.3333,,,,,,1.4082,1.4082,,,,,
Tip Reiman,ARZ,TE,3,No,No,No,3,No,No,,0.6667,4,1,,0.3333,9,,0.3333,1,9,,39.6,-7.2596,1.6279,1.6279,0.3333,,,,
Javonte Williams,DAL,RB,7,No,Yes,No,4,No,No,0.75,,16,,,,,0.25,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,20,No,No,No,19,No,No,,,17,6,1,0.3158,73,0.2105,0.7895,3,12.1667,,39.6,-8.9376,12.6431,12.6431,0.3,1,,,
Tyrell Shavers,BUF,WR,5,No,Yes,Yes,4,No,No,,,17,1,,0.25,17,0.25,0.75,,17,,39.6,-11.6653,1.9851,1.9851,0.2,,,,
Tre Tucker,LV,WR,14,No,No,No,14,No,No,,0.0714,17,4,,0.2857,71,0.2143,0.7143,4,17.75,2,39.6,-9.9868,6.5354,6.5354,0.2857,1,,,
Michael Pittman,IND,WR,13,Yes,Yes,No,12,No,No,,,17,2,,0.1667,17,0.1667,0.8333,2,8.5,,39.6,-7.7045,3.6089,3.6089,0.1538,,,,
Malik Washington,MIA,WR,10,Yes,Yes,Yes,10,No,No,,,17,2,,0.2,36,0.6,0.4,1,18,1,39.6,-8.008,3.4804,3.4804,0.2,,,,
Jonathan Taylor,IND,RB,15,Yes,Yes,No,9,No,No,0.8889,,17,,,,,0.1111,,,,,,,,,,,,,
Troy Franklin,DEN,WR,16,No,No,No,15,No,No,,,17,2,,0.1333,20,0.2667,0.7333,2,10,,39.6,-8.5576,4.3459,4.3459,0.125,,,,
Tim Patrick,JAX,WR,7,No,Yes,No,6,No,No,,,16,,,,,,1,,,,,,,,,,,,
Brian Thomas,JAX,WR,18,No,Yes,No,17,No,No,,,14,2,,0.1176,22,0.4118,0.5882,2,11,,39.6,-8.1842,2.9541,2.9541,0.1111,,,,
DeAndre Hopkins,BLT,WR,8,Yes,No,Yes,8,No,No,,,17,3,1,0.375,54,0.125,0.875,3,18,2,39.6,-10.5146,4.0067,4.0067,0.375,1,,,1
Josh Reynolds,NYJ,WR,4,Yes,Yes,Yes,4,No,No,,,5,1,,0.25,10,0.5,0.5,1,10,,39.6,-7.5,1.2362,1.2362,0.25,,,,
Noah Gray,KC,TE,10,No,No,No,8,No,No,,0.125,16,3,,0.375,16,0.875,,3,5.3333,,39.6,-6.5494,3.9337,3.9337,0.3,,,,
Chimere Dike,TEN,WR,16,No,Yes,No,16,No,No,,,17,5,,0.3125,56,0.75,0.25,4,11.2,2,39.6,-8.2999,7.4392,7.4392,0.3125,,1,0.2,1
Xavier Hutchinson,HST,WR,12,Yes,Yes,No,12,No,No,,,17,1,,0.0833,2,0.1667,0.8333,1,2,,39.6,-5.3344,1.4847,1.4847,0.0833,,,,
T.J. Hockenson,MIN,TE,13,No,Yes,No,10,No,No,,0.4,15,2,,0.2,20,0.4,0.2,2,10,,39.6,-8.6363,6.8993,6.8993,0.1538,1,,,
Stone Smartt,NYJ,TE,2,No,Yes,Yes,1,No,No,,,8,,,,,1,,,,,,,,,,,,,
Ian Thomas,LV,TE,4,No,No,No,1,No,No,,1,15,,,,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,13,Yes,No,Yes,13,No,No,,,17,1,,0.0769,10,0.2308,0.7692,1,10,,39.6,-7.5,1.9013,1.9013,0.0769,,,,
Michael Wilson,ARZ,WR,23,No,Yes,No,23,No,No,,,17,12,2,0.5217,120,0.1304,0.8696,10,10,1,4.9,-8.0358,20.6983,20.6983,0.5217,2,,,2
Hunter Henry,NE,TE,5,Yes,Yes,Yes,3,No,No,,0.3333,17,2,,0.6667,25,0.3333,0.3333,2,12.5,1,39.6,-9.5151,3.4852,3.4852,0.4,,,,
Dalton Kincaid,BUF,TE,4,No,Yes,Yes,2,No,No,,,12,1,1,0.5,12,0.5,0.5,,12,,39.6,-8.6661,2.4186,2.4186,0.25,1,,,
Jakobi Meyers,JAX,WR,17,No,Yes,No,17,No,No,,,16,5,,0.2941,50,0.2353,0.7647,3,10,,,-8.1881,7.8259,7.8259,0.2941,,,,
Gabe Davis,BUF,WR,2,No,Yes,Yes,2,No,No,,,6,1,,0.5,16,,1,1,16,,39.6,-10.0952,1.7886,1.7886,0.5,,,,
Zavier Scott,MIN,RB,2,No,No,No,2,No,No,1,,11,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,15,No,No,No,11,No,No,0.9091,,17,3,,0.2727,10,0.0909,,2,3.3333,,39.6,-7.2637,6.2849,6.2849,0.2,,1,0.3333,
Tay Martin,WAS,WR,1,Yes,Yes,Yes,1,No,No,,,3,,,,,,1,,,,,,,,,,,,
Jaylen Wright,MIA,RB,2,Yes,Yes,Yes,1,No,No,1,,10,1,,1,-6,,,1,-6,,39.6,-5.0893,1.4663,1.4663,0.5,,1,1,
Austin Hooper,NE,TE,7,Yes,Yes,Yes,6,No,No,,0.8333,16,1,,0.1667,,,0.1667,,,,39.6,-5.289,3.01,3.01,0.1429,1,,,
Justin Watson,HST,WR,3,Yes,Yes,No,3,No,No,,,3,1,1,0.3333,22,0.6667,0.3333,1,22,1,39.6,-11.9241,2.7389,2.7389,0.3333,1,,,
Rashee Rice,KC,WR,4,Yes,No,Yes,4,No,No,,,8,,,,,0.5,0.5,,,,,,,,,,,,
Ty Chandler,MIN,RB,1,No,No,No,1,No,No,1,,3,1,,1,-4,,,1,-4,,39.6,-5.5699,1.65,1.65,1,1,1,1,
Britain Covey,PHI,WR,1,No,Yes,No,1,No,No,,,6,,,,,1,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,4,Yes,Yes,No,2,No,No,,0.5,17,,,,,0.5,,,,,,,,,,,,,
Ollie Gordon,MIA,RB,3,Yes,Yes,Yes,2,No,No,1,,17,,,,,,,,,,,,,,,,,,
Bryce Oliver,TEN,WR,2,No,Yes,No,2,No,No,,,3,,,,,0.5,0.5,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,11,Yes,No,No,7,No,No,1,,15,,,,,,,,,,,,,,,,,,
Michael Mayer,LV,TE,11,No,No,No,9,No,No,0.1111,0.4444,13,3,,0.3333,20,0.1111,0.3333,3,6.6667,,,-8.0655,4.2049,4.2049,0.2727,1,,,
Devin Culp,TB,TE,1,No,Yes,Yes,1,No,No,,1,11,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,12,No,No,No,12,No,No,,,12,1,,0.0833,11,0.4167,0.5833,1,11,,39.6,-8.3152,1.396,1.396,0.0833,,,,
Jordan Watkins,SF,WR,1,No,Yes,No,1,No,No,,,4,,,,,1,,,,,,,,,,,,,
Treyton Welch,NO,TE,1,No,Yes,No,1,No,No,,1,3,,,,,,,,,,,,,,,,,,
Cedrick Wilson,MIA,WR,3,Yes,Yes,Yes,2,No,No,,,10,1,1,0.5,13,0.5,0.5,,13,,39.6,-8.9145,2.7907,2.7907,0.3333,1,,,
Brashard Smith,KC,RB,5,No,No,No,5,No,No,0.8,,17,2,,0.4,2,,0.2,2,1,,39.6,-6.1642,2.9099,2.9099,0.4,1,,,
Sean Tucker,TB,RB,2,Yes,No,No,2,No,No,1,,17,,,,,,,,,,,,,,,,,,
John FitzPatrick,GB,TE,4,No,No,Yes,4,No,No,,0.75,15,,,,,0.25,,,,,,,,,,,,,
De'Von Achane,MIA,RB,8,Yes,No,No,7,No,No,0.4286,,16,2,,0.2857,7,0.5714,,,3.5,,39.6,-6.5857,3.0838,3.0838,0.25,,,,
Mike Evans,TB,WR,3,Yes,No,No,3,No,No,,,8,2,,0.6667,34,0.3333,0.6667,2,17,1,39.6,-8.9007,3.2072,3.2072,0.6667,,,,
Xavier Smith,LA,WR,7,No,Yes,No,7,No,No,,,16,2,,0.2857,78,0.8571,0.1429,2,39,2,39.6,-14.3502,3.9637,3.9637,0.2857,,,,
Kenneth Walker,SEA,RB,9,Yes,Yes,No,6,No,No,0.8333,,17,,,,,,0.1667,,,,,,1.8091,1.8091,,,,,
Lil'Jordan Humphrey,DEN,WR,11,No,No,No,9,No,No,,,10,3,,0.3333,42,0.4444,0.5556,2,14,1,39.6,-9.3691,5.1348,5.1348,0.2727,,,,
Keon Coleman,BUF,WR,4,No,Yes,Yes,4,No,No,,0.25,13,,,,,,0.75,,,,,,1.8084,1.8084,,,,,
Tyler Lockett,LV,WR,17,No,No,No,17,No,No,,,17,4,,0.2353,23,0.9412,0.0588,3,5.75,,39.6,-6.6256,5.6708,5.6708,0.2353,,,,
Jordan Addison,MIN,WR,16,No,No,No,15,No,No,,,14,3,,0.2,30,0.1333,0.8667,3,10,,39.6,-8.2196,4.5508,4.5508,0.1875,1,,,
Jayden Higgins,HST,WR,16,Yes,Yes,No,16,No,No,,,17,2,,0.125,32,0.125,0.875,1,16,,39.6,-10.3562,4.0231,4.0231,0.125,,,,
Skyy Moore,SF,WR,4,Yes,Yes,No,4,No,No,,,17,1,,0.25,8,,1,1,8,,39.6,-7.5106,1.5202,1.5202,0.25,,,,
Shane Zylstra,DET,TE,6,No,No,No,4,No,No,,0.5,5,1,,0.25,11,0.5,,1,11,,39.6,-8.7402,1.5607,1.5607,0.1667,,,,
Mecole Hardman,BUF,WR,1,No,No,No,1,No,No,,,2,1,,1,46,,1,1,46,1,39.6,-15,2.5818,2.5818,1,,,,
Malik Heath,GB,WR,3,Yes,Yes,No,3,No,No,,,11,,,,,0.3333,0.6667,,,,,,,,,,,,
Jalen Royals,KC,WR,2,No,No,No,2,No,No,,,7,,,,,,1,,,,,,,,,,,,
Nate Adkins,DEN,TE,2,No,No,No,2,No,No,,0.5,9,1,1,0.5,11,,0.5,1,11,,39.6,-8.7402,2.8368,2.8368,0.5,1,,,
Tre Harris,LAC,WR,7,No,No,No,7,No,No,,,17,5,1,0.7143,70,0.4286,0.5714,3,14,2,39.6,-9.1984,10.993,10.993,0.7143,1,,,
Luke Schoonmaker,DAL,TE,3,Yes,No,No,3,No,No,,0.6667,17,,,,,0.3333,,,,,,,,,,,,,
