Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsContestedTotal,ReceptionsContested,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,ReceptionsHero
Khalil Shakir,BUF,WR,110,No,No,Yes,93,31,No,Yes,31,1,,0.3333,28,0.9032,242,238,102,-3,2,,0.6989,0.2796,26,-0.0968,1,120.7,2.6022,7.8065,2.0754,8.6429,8.5,3.6429,12,51.9001,51.9001,0.2818,36.2,64.2,50.2,64.2,64.2,67.2,53.2,64.2,64.2,64.2,50.2,64.2,64.2,6,16,9,0.3214,,0.0215,3,2,2,19,0.6129,0.0645,
Sterling Shepard,TB,WR,96,No,No,Yes,77,21,No,Yes,21,1,1,0.2727,20,0.9524,144,92,34,65,1,1,0.4286,0.5714,12,3.0952,,111.1,1.8701,6.8571,0.5794,7.2,4.6,1.7,6,35.498,35.498,0.2188,19.4,39.4,29.4,39.4,39.4,42.4,31.4,38.4,38.4,38.4,28.4,39.4,38.4,3,13,1,0.05,,,2,1,,8,0.381,,
Alec Pierce,IND,WR,103,Yes,No,Yes,85,8,No,Yes,8,1,1,0.0941,8,1,148,30,12,123,1,1,0.1176,0.8824,6,15.375,1,158.3,1.7412,18.5,8.9321,18.5,3.75,1.5,7,17.7455,17.7455,0.0777,20.8,28.8,24.8,28.8,28.8,31.8,27.8,28.8,28.8,28.8,24.8,28.8,28.8,,15,,,,,2,2,,,,,1
Jalen Tolbert,DAL,WR,68,No,No,No,64,7,No,Yes,7,1,1,0.1094,5,0.7143,30,21,7,47,,,0.4688,0.5312,5,6.7143,1,79.5,0.4688,4.2857,-2.7427,6,4.2,1.4,3,11.7943,11.7943,0.1029,3,8,5.5,8,8,8,5.5,8,8,8,5.5,8,8,,13,1,0.2,,,1,,1,1,0.1429,0.1429,
Drake London,ATL,WR,101,No,No,No,75,33,Yes,Yes,33,1,3,0.44,29,0.8788,282,95,52,222,1,1,0.3067,0.6933,30,6.7273,,112.4,3.76,8.5455,1.4341,9.7241,3.2759,1.7931,14,55.8624,55.8624,0.3267,34.2,63.2,48.7,63.2,63.2,66.2,51.7,63.2,63.2,63.2,48.7,63.2,63.2,4,12,1,0.0345,,,6,2,2,1,0.0303,0.0606,
Jaylin Lane,WAS,WR,48,No,No,No,38,9,No,Yes,9,1,1,0.2368,7,0.7778,32,17,4,49,,,0.3684,0.6316,7,5.4444,,81.5,0.8421,3.5556,-3.4603,4.5714,2.4286,0.5714,2,13.5577,13.5577,0.1875,3.2,10.2,6.7,10.2,10.2,10.2,6.7,10.2,10.2,10.2,6.7,10.2,10.2,2,15,,,,,2,1,2,3,0.3333,0.2222,
LaJohntay Wester,BLT,WR,8,No,No,No,7,,No,Yes,,,,,,,,,,,,,0.5714,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
Bo Melton,GB,WR,12,Yes,No,Yes,10,4,No,Yes,4,1,,0.4,2,0.5,28,2,2,46,,,0.8,0.2,2,11.5,,33.3,2.8,7,-1.9729,14,1,1,2,6.2149,6.2149,0.3333,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,9,,,,,3,2,1,,,0.25,
DJ Giddens,IND,RB,6,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,
Chris Rodriguez,WAS,RB,21,No,No,No,11,1,No,Yes,1,1,,0.0909,1,1,18,18,4,,,,0.1818,0.1818,,,,118.8,1.6364,18,12.1729,18,18,4,1,1.2958,1.2958,0.0476,1.8,2.8,2.3,3.3,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,13,,,0.6364,,,,,,,,
