Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsContestedTotal,ReceptionsContested,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,ReceptionsHero
Ben Sims,MIN,TE,10,Yes,No,Yes,5,2,No,Yes,2,1,,0.4,2,1,12,3,2,9,,,0.2,0.2,1,4.5,,91.7,2.4,6,-0.2734,6,1.5,1,1,2.7733,2.7733,0.2,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,,9,,,,0.6,,,,,,,
Tahj Brooks,CIN,RB,8,No,No,No,7,1,No,Yes,1,1,,0.1429,1,1,9,11,1,-2,,,,,1,-2,,104.2,1.2857,9,2.802,9,11,1,,1.5182,1.5182,0.125,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,12,,,1,,,,,1,1,,
Robbie Chosen,WAS,WR,9,No,No,Yes,6,2,No,Yes,2,1,,0.3333,1,0.5,13,,,27,,,0.1667,0.8333,2,13.5,,70.8,2.1667,6.5,-2.864,13,,,1,2.9454,2.9454,0.2222,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,3,,,,,1,,,,,,
Ja'Marr Chase,CIN,WR,183,No,Yes,No,175,58,Yes,Yes,58,1,,0.3314,54,0.931,520,340,102,221,3,,0.3314,0.6571,54,3.8103,1,121.3,2.9714,8.9655,2.4934,9.6296,6.2963,1.8889,24,94.2807,94.2807,0.3169,69,123,96,123,123,126,98,122,122,122,95,123,122,6,16,14,0.2593,0.0114,,8,5,1,20,0.3448,0.0172,2
Adam Trautman,DEN,TE,87,No,No,No,42,13,No,Yes,13,1,,0.3095,12,0.9231,112,45,12,70,,,0.3571,0.0714,6,5.3846,,102.6,2.6667,8.6154,1.8055,9.3333,3.75,1,7,18.8917,18.8917,0.1494,11.2,23.2,17.2,23.2,29.2,26.2,20.2,23.2,23.2,23.2,17.2,29.2,23.2,,17,1,0.0833,,0.5714,3,3,1,,,0.0769,
Trevor Etienne,CAR,RB,7,No,No,No,6,2,No,Yes,2,1,,0.3333,2,1,11,6,3,5,,,0.5,0.1667,,2.5,,89.6,1.8333,5.5,-0.6957,5.5,3,1.5,1,2.7322,2.7322,0.2857,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,17,,,0.3333,,1,1,,,,,
D'Andre Swift,CHI,RB,81,Yes,No,No,65,22,No,Yes,22,1,,0.3385,21,0.9545,229,300,70,-75,1,,0.0462,0.0462,15,-3.4091,,125.2,3.5231,10.4091,4.8909,10.9048,14.2857,3.3333,9,36.3009,36.3009,0.2716,28.9,49.9,39.4,60.4,49.9,52.9,42.4,49.9,49.9,49.9,39.4,49.9,49.9,1,16,4,0.1905,0.8462,0.0615,,,1,13,0.5909,0.0455,
Jonathan Mingo,DAL,WR,6,No,No,No,4,,No,Yes,,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
Cooper Kupp,SEA,WR,136,Yes,No,No,115,25,No,Yes,25,1,,0.2174,23,0.92,301,198,85,117,1,,0.4435,0.5391,17,4.68,,130.2,2.6174,12.04,5.5095,13.087,8.6087,3.6957,15,40.4093,40.4093,0.1838,36.1,59.1,47.6,59.1,59.1,62.1,50.6,59.1,59.1,59.1,47.6,59.1,59.1,4,16,6,0.2609,0.0087,0.0087,4,2,1,4,0.16,0.04,
Tommy Tremble,CAR,TE,84,No,No,No,67,14,No,Yes,14,1,,0.209,14,1,106,65,21,41,1,,0.3134,0.1642,13,2.9286,,122,1.5821,7.5714,1.4208,7.5714,4.6429,1.5,4,23.7818,23.7818,0.1667,16.6,30.6,23.6,30.6,37.6,33.6,26.6,30.6,30.6,30.6,23.6,37.6,30.6,2,17,,,,0.5224,1,1,,1,0.0714,,
Josh Downs,IND,WR,96,Yes,No,Yes,82,29,No,Yes,29,1,,0.3537,28,0.9655,222,79,38,138,,,0.8902,0.1098,27,4.7586,,98.6,2.7073,7.6552,1.1249,7.9286,2.8214,1.3571,14,44.0748,44.0748,0.3021,22.2,50.2,36.2,50.2,50.2,53.2,39.2,50.2,50.2,50.2,36.2,50.2,50.2,3,16,5,0.1786,,,5,4,,1,0.0345,,
Tetairoa McMillan,CAR,WR,158,No,No,No,143,24,No,Yes,24,1,1,0.1678,20,0.8333,212,45,16,218,2,1,0.1818,0.8182,16,9.0833,1,131.3,1.4825,8.8333,1.0256,10.6,2.25,0.8,14,41.9827,41.9827,0.1519,33.2,53.2,43.2,53.2,53.2,56.2,46.2,53.2,53.2,53.2,43.2,53.2,53.2,4,17,1,0.05,,,7,4,1,1,0.0417,0.0417,
Devaughn Vele,NO,WR,62,No,No,No,57,8,No,Yes,8,1,1,0.1404,8,1,84,11,,74,1,1,0.386,0.5439,5,9.25,,150,1.4737,10.5,2.5022,10.5,1.375,,6,16.524,16.524,0.129,14.4,22.4,18.4,22.4,22.4,22.4,18.4,22.4,22.4,22.4,18.4,22.4,22.4,1,13,,,,0.0702,5,5,,,,,
Khalil Herbert,NYJ,RB,7,No,No,No,5,,No,Yes,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.8,,,,,,,,
Quinshon Judkins,CLV,RB,53,Yes,Yes,No,38,16,No,Yes,16,1,,0.4211,14,0.875,92,101,22,-13,,,,0.0263,7,-0.8125,,90.6,2.4211,5.75,-0.2497,6.5714,7.2143,1.5714,2,23.5085,23.5085,0.3019,9.2,23.2,16.2,30.2,23.2,23.2,16.2,23.2,23.2,23.2,16.2,23.2,23.2,,14,3,0.2143,0.9474,0.0263,5,3,,6,0.375,,
Tyler Allgeier,ATL,RB,40,No,No,No,28,9,Yes,Yes,9,1,,0.3214,9,1,78,100,16,-22,,,0.0357,0.1071,4,-2.4444,,102.8,2.7857,8.6667,2.8513,8.6667,11.1111,1.7778,2,13.8249,13.8249,0.225,7.8,16.8,12.3,21.3,16.8,16.8,12.3,16.8,16.8,16.8,12.3,16.8,16.8,1,17,,,0.8571,,1,1,,2,0.2222,,
KeAndre Lambert-Smith,LAC,WR,20,No,No,No,16,1,No,Yes,1,1,,0.0625,1,1,1,3,1,-2,,,0.25,0.75,1,-2,,79.2,0.0625,1,-4.4991,1,3,1,,1.6115,1.6115,0.05,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,10,,,,,,,,1,1,,
Foster Moreau,NO,TE,28,No,No,No,24,3,Yes,Yes,3,1,,0.125,3,1,31,22,11,9,,,0.125,0.125,2,3,,109.7,1.2917,10.3333,3.6496,10.3333,7.3333,3.6667,2,4.8536,4.8536,0.1071,3.1,6.1,4.6,6.1,7.6,6.1,4.6,6.1,6.1,6.1,4.6,7.6,6.1,1,11,1,0.3333,,0.75,,,,,,,
Trayveon Williams,CLV,RB,17,No,Yes,No,12,6,Yes,Yes,6,1,,0.5,6,1,37,61,10,-24,,,0.0833,,4,-4,,92.4,3.0833,6.1667,0.4323,6.1667,10.1667,1.6667,1,10.5832,10.5832,0.3529,3.7,9.7,6.7,12.7,9.7,9.7,6.7,9.7,9.7,9.7,6.7,9.7,9.7,2,6,,,0.8333,0.0833,,,,4,0.6667,,
Devin Singletary,NYG,RB,44,No,No,No,34,12,No,Yes,12,1,,0.3529,11,0.9167,65,83,34,-20,,,0.0882,0.2353,9,-1.6667,,89.2,1.9118,5.4167,-0.4905,5.9091,7.5455,3.0909,2,20.3124,20.3124,0.2727,6.5,17.5,12,23,17.5,17.5,12,17.5,17.5,17.5,12,17.5,17.5,2,17,3,0.2727,0.6765,,1,1,1,5,0.4167,0.0833,
Gage Larvadain,CLV,WR,32,No,Yes,No,28,2,Yes,Yes,2,1,,0.0714,2,1,18,12,,6,,,0.5,0.5,2,3,,104.2,0.6429,9,3.3079,9,6,,1,2.7319,2.7319,0.0625,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,,13,1,0.5,,,,,,,,,
Isaiah Hodgins,NYG,WR,48,No,No,No,39,3,No,Yes,3,1,,0.0769,3,1,42,9,8,33,,,0.4359,0.5641,3,11,1,118.8,1.0769,14,6.1577,14,3,2.6667,1,4.3676,4.3676,0.0625,4.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,,7,1,0.3333,,,1,1,,,,,
Zamir White,LV,RB,12,No,No,No,8,3,No,Yes,3,1,,0.375,3,1,15,19,6,-4,,,,,1,-1.3333,,87.5,1.875,5,-0.7061,5,6.3333,2,,4.5299,4.5299,0.25,1.5,4.5,3,6,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,,5,,,1,,,,,,,,
Ameer Abdullah,IND,RB,24,Yes,No,Yes,20,9,No,Yes,9,1,,0.45,9,1,50,56,12,-6,,,0.1,0.05,4,-0.6667,,89.8,2.5,5.5556,-0.3885,5.5556,6.2222,1.3333,2,13.022,13.022,0.375,5,14,9.5,18.5,14,14,9.5,14,14,14,9.5,14,14,1,13,3,0.3333,0.85,,1,1,,2,0.2222,,
David Sills,ATL,WR,90,No,No,No,70,7,Yes,Yes,7,1,,0.1,5,0.7143,55,13,10,57,,,0.4286,0.5714,3,8.1429,,54.8,0.7857,7.8571,0.1015,11,2.6,2,3,10.1894,10.1894,0.0778,5.5,10.5,8,10.5,10.5,10.5,8,10.5,10.5,10.5,8,10.5,10.5,,17,,,,,1,,2,1,0.1429,0.2857,
DJ Moore,CHI,WR,134,Yes,No,No,104,26,No,Yes,26,1,1,0.25,21,0.8077,157,95,29,80,1,1,0.3173,0.6538,20,3.0769,1,104.6,1.5096,6.0385,-0.7582,7.4762,4.5238,1.381,8,41.7775,41.7775,0.194,21.7,42.7,32.2,42.7,42.7,45.7,35.2,42.7,42.7,42.7,32.2,42.7,42.7,5,17,2,0.0952,0.0288,,7,4,2,12,0.4615,0.0769,
Keaton Mitchell,BLT,RB,16,No,No,No,13,6,No,Yes,6,1,,0.4615,6,1,49,65,3,-16,,,0.3077,,3,-2.6667,,100.7,3.7692,8.1667,2.316,8.1667,10.8333,0.5,2,8.8876,8.8876,0.375,4.9,10.9,7.9,13.9,10.9,10.9,7.9,10.9,10.9,10.9,7.9,10.9,10.9,,13,,,0.6923,,,,,3,0.5,,
Bucky Irving,TB,RB,66,No,No,No,52,20,No,Yes,20,1,,0.3846,19,0.95,116,189,50,-67,1,,0.0962,0.1154,11,-3.35,,107.5,2.2308,5.8,0.312,6.1053,9.9474,2.6316,5,31.1806,31.1806,0.303,17.6,36.6,27.1,46.1,36.6,39.6,30.1,36.6,36.6,36.6,27.1,36.6,36.6,1,10,7,0.3684,0.7885,,2,1,,6,0.3,,
Josh Oliver,MIN,TE,26,Yes,No,Yes,11,2,No,Yes,2,1,,0.1818,2,1,24,22,-1,2,1,,0.2727,0.0909,2,1,,156.3,2.1818,12,5.2853,12,11,-0.5,2,3.438,3.438,0.0769,8.4,10.4,9.4,10.4,11.4,10.4,9.4,10.4,10.4,10.4,9.4,11.4,10.4,1,15,,,,0.6364,,,,1,0.5,,
Nick Chubb,HST,RB,43,No,Yes,No,26,7,No,Yes,7,1,,0.2692,7,1,40,40,5,,,,,,3,,,90.5,1.5385,5.7143,-0.6406,5.7143,5.7143,0.7143,1,11.3904,11.3904,0.1628,4,11,7.5,14.5,11,11,7.5,11,11,11,7.5,11,11,,15,,,1,,1,1,,3,0.4286,,
Michael Carter,ARZ,RB,77,No,No,No,64,18,No,Yes,18,1,1,0.2812,17,0.9444,145,149,51,12,,,0.0781,0.0625,3,0.6667,,100.2,2.2656,8.0556,1.6899,8.5294,8.7647,3,7,26.1761,26.1761,0.2338,14.5,31.5,23,40,31.5,34.5,26,31.5,31.5,31.5,23,31.5,31.5,2,13,8,0.4706,0.8594,,1,,,1,0.0556,,
Tyjae Spears,TEN,RB,62,No,No,No,48,22,No,Yes,22,1,,0.4583,22,1,179,221,59,-42,,,0.1667,0.0625,14,-1.9091,,100.6,3.7292,8.1364,2.3294,8.1364,10.0455,2.6818,8,34.6082,34.6082,0.3548,17.9,39.9,28.9,50.9,39.9,42.9,31.9,39.9,39.9,39.9,28.9,39.9,39.9,3,13,10,0.4545,0.7708,,,,,11,0.5,,
Isaiah Davis,NYJ,RB,50,No,No,No,39,11,No,Yes,11,1,,0.2821,10,0.9091,77,93,18,-12,,,0.0769,0.0256,4,-1.0909,,95.8,1.9744,7,1.0319,7.7,9.3,1.8,2,17.2658,17.2658,0.22,7.7,17.7,12.7,22.7,17.7,17.7,12.7,17.7,17.7,17.7,12.7,17.7,17.7,,16,1,0.1,0.8974,,1,,,4,0.3636,,
Colby Parkinson,LA,TE,79,No,No,No,62,21,No,Yes,21,1,1,0.3387,20,0.9524,147,140,20,24,1,1,0.1452,0.1129,13,1.1429,,111.7,2.371,7,1.0252,7.35,7,1,7,36.5462,36.5462,0.2658,19.7,39.7,29.7,39.7,49.7,42.7,31.7,38.7,38.7,38.7,28.7,49.7,38.7,6,15,,,,0.7419,2,2,1,8,0.381,0.0476,
Isaiah Bond,CLV,WR,85,No,Yes,No,77,7,Yes,Yes,7,1,,0.0909,6,0.8571,53,22,4,15,,,0.3636,0.6234,7,2.1429,,98.2,0.6883,7.5714,1.0102,8.8333,3.6667,0.6667,2,11.6052,11.6052,0.0824,5.3,11.3,8.3,11.3,11.3,11.3,8.3,11.3,11.3,11.3,8.3,11.3,11.3,,16,1,0.1667,0.013,,3,2,,3,0.4286,,
Brenden Bates,CLV,TE,9,No,Yes,No,5,3,Yes,Yes,3,1,,0.6,2,0.6667,25,10,4,15,,,,,1,5,,92.4,5,8.3333,1.5744,12.5,5,2,1,5.8181,5.8181,0.3333,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,1,9,1,0.5,,1,1,,1,,,0.3333,
Rome Odunze,CHI,WR,92,No,No,Yes,57,12,No,Yes,12,1,2,0.2105,11,0.9167,90,29,9,83,2,2,0.4211,0.5789,8,6.9167,1,137.5,1.5789,7.5,0.3783,8.1818,2.6364,0.8182,10,23.8669,23.8669,0.1304,21,32,26.5,32,32,32,26.5,32,32,32,26.5,32,32,3,12,1,0.0909,,,2,2,1,1,0.0833,0.0833,
Jacory Croskey-Merritt,WAS,RB,51,No,No,No,33,5,No,Yes,5,1,,0.1515,5,1,57,61,18,-4,,,0.1818,0.0606,4,-0.8,,114.2,1.7273,11.4,5.4215,11.4,12.2,3.6,2,6.8282,6.8282,0.098,5.7,10.7,8.2,13.2,10.7,10.7,8.2,10.7,10.7,10.7,8.2,10.7,10.7,1,17,,,0.7576,,,,,3,0.6,,
Owen Wright,TB,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,
Kevin Austin,NO,WR,41,No,No,No,29,5,Yes,Yes,5,1,,0.1724,3,0.6,17,11,5,11,,,0.4483,0.5517,4,2.2,,66.3,0.5862,3.4,-2.5426,5.6667,3.6667,1.6667,1,7.2351,7.2351,0.122,1.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,1,8,,,,,1,,1,,,0.2,
Tyler Badie,DEN,RB,55,No,No,No,44,19,No,Yes,19,1,,0.4318,15,0.7895,121,185,29,-69,,,,0.0227,11,-3.6316,,93.2,2.75,6.3684,0.7745,8.0667,12.3333,1.9333,8,28.5828,28.5828,0.3455,12.1,27.1,19.6,34.6,27.1,30.1,22.6,27.1,27.1,27.1,19.6,27.1,27.1,1,16,2,0.1333,0.9545,0.0227,,,4,9,0.4737,0.2105,
Jalen Brooks,ARZ,WR,20,No,No,No,15,1,No,Yes,1,1,,0.0667,,,,,,5,,,0.3333,0.6667,1,5,,39.6,,,-6.3628,,,,,1.4357,1.4357,0.05,,,,,,,,,,,,,,,6,,,,,,,1,,,1,
Kenneth Gainwell,PIT,RB,100,No,No,No,84,29,No,Yes,29,1,,0.3452,29,1,136,194,54,-58,,,0.0833,0.0952,18,-2,,86.2,1.619,4.6897,-1.0856,4.6897,6.6897,1.8621,9,42.8793,42.8793,0.29,12.6,41.6,27.1,56.1,41.6,44.6,29.1,40.6,40.6,40.6,26.1,41.6,40.6,5,17,2,0.069,0.619,0.2024,,,,15,0.5172,,
Bhayshul Tuten,JAX,RB,21,No,No,No,17,6,No,Yes,6,1,,0.3529,6,1,59,65,7,-6,1,,0.0588,0.1176,3,-1,,147.2,3.4706,9.8333,4.1873,9.8333,10.8333,1.1667,2,9.8084,9.8084,0.2857,11.9,17.9,14.9,20.9,17.9,17.9,14.9,17.9,17.9,17.9,14.9,17.9,17.9,1,15,4,0.6667,0.8235,,,,,2,0.3333,,
Casey Washington,ATL,WR,27,No,No,No,22,1,No,Yes,1,1,,0.0455,1,1,7,,,7,,,0.4545,0.5455,1,7,,95.8,0.3182,7,-0.0645,7,,,1,1.2813,1.2813,0.037,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,7,,,,,1,1,,,,,
John Metchie,NYJ,WR,61,No,No,No,55,15,No,Yes,15,1,,0.2727,11,0.7333,60,53,10,40,,,0.4182,0.5818,13,2.6667,,79.9,1.0909,4,-2.0188,5.4545,4.8182,0.9091,4,22.0643,22.0643,0.2459,6,17,11.5,17,17,17,11.5,17,17,17,11.5,17,17,,16,,,,,4,1,1,4,0.2667,0.0667,
Jalen Nailor,MIN,WR,99,Yes,No,Yes,76,7,No,Yes,7,1,,0.0921,7,1,87,32,19,55,,,0.5921,0.3816,4,7.8571,,118.5,1.1447,12.4286,4.6787,12.4286,4.5714,2.7143,5,12.805,12.805,0.0707,8.7,15.7,12.2,15.7,15.7,15.7,12.2,15.7,15.7,15.7,12.2,15.7,15.7,,17,1,0.1429,0.0132,0.0132,,,,1,0.1429,,
Marquise Brown,KC,WR,117,No,No,No,99,23,No,Yes,23,1,1,0.2323,22,0.9565,179,98,17,90,2,1,0.404,0.596,18,3.913,1,128.1,1.8081,7.7826,1.4801,8.1364,4.4545,0.7727,10,37.1381,37.1381,0.1966,29.9,51.9,40.9,51.9,51.9,54.9,43.9,51.9,51.9,51.9,40.9,51.9,51.9,4,16,3,0.1364,,,3,3,1,7,0.3043,0.0435,
KaVontae Turpin,DAL,WR,68,No,No,No,66,14,No,Yes,14,1,,0.2121,13,0.9286,159,114,35,43,,,0.7424,0.2121,8,3.0714,,114,2.4091,11.3571,4.917,12.2308,8.7692,2.6923,7,21.8428,21.8428,0.2059,15.9,28.9,22.4,28.9,28.9,31.9,25.4,28.9,28.9,28.9,22.4,28.9,28.9,1,15,4,0.3077,0.0455,,1,1,1,3,0.2143,0.0714,
Kalel Mullings,TEN,RB,3,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,
Jauan Jennings,SF,WR,125,Yes,No,No,106,17,No,Yes,17,1,1,0.1604,14,0.8235,114,29,21,112,1,1,0.2925,0.7075,12,6.5882,,114.2,1.0755,6.7059,-0.154,8.1429,2.0714,1.5,7,28.8085,28.8085,0.136,17.4,31.4,24.4,31.4,31.4,34.4,27.4,31.4,31.4,31.4,24.4,31.4,31.4,4,15,2,0.1429,,,10,7,,,,,
Ashton Dulin,IND,WR,22,Yes,No,Yes,19,1,No,Yes,1,1,,0.0526,1,1,-8,,,-8,,,,1,1,-8,,79.2,-0.4211,-8,-10.5405,-8,,,,2.0889,2.0889,0.0455,-0.8,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,1,12,1,1,,,,,,1,1,,
Tanner Conner,MIA,TE,33,Yes,No,Yes,19,3,No,Yes,3,1,,0.1579,3,1,44,16,6,28,,,0.2632,0.1579,2,9.3333,,118.8,2.3158,14.6667,6.3142,14.6667,5.3333,2,1,4.4352,4.4352,0.0909,4.4,7.4,5.9,7.4,8.9,7.4,5.9,7.4,7.4,7.4,5.9,8.9,7.4,,9,,,,0.5789,,,,,,,
Quintin Morris,JAX,TE,16,No,No,No,12,1,No,Yes,1,1,,0.0833,1,1,5,1,,4,,,0.25,0.1667,,4,,87.5,0.4167,5,-1.0667,5,1,,,1.4953,1.4953,0.0625,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,13,,,,0.5833,,,,,,,
Moliki Matavao,NO,TE,11,No,No,No,6,2,Yes,Yes,2,1,,0.3333,2,1,10,6,1,4,,,0.6667,,1,2,,87.5,1.6667,5,-0.6779,5,3,0.5,,2.7715,2.7715,0.1818,1,3,2,3,4,3,2,3,3,3,2,4,3,,6,,,,0.3333,1,1,,,,,
Tahj Washington,MIA,WR,10,Yes,No,Yes,8,2,No,Yes,2,1,,0.25,2,1,30,6,1,24,,,0.25,0.75,2,12,,118.8,3.75,15,5.8525,15,3,0.5,1,3.4268,3.4268,0.2,2,4,3,4,4,4,2,3,3,3,2,4,3,,6,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,73,Yes,No,No,58,13,No,Yes,13,1,1,0.2241,13,1,87,38,12,57,1,1,0.7241,0.1034,11,4.3846,,120.2,1.5,6.6923,0.0409,6.6923,2.9231,0.9231,3,21.7702,21.7702,0.1781,14.7,27.7,21.2,27.7,34.2,27.7,21.2,27.7,27.7,27.7,21.2,34.2,27.7,4,13,2,0.1538,,0.1724,,,,2,0.1538,,
Jahdae Walker,CHI,WR,19,Yes,No,No,15,3,No,Yes,3,1,,0.2,3,1,37,9,2,28,,,0.4667,0.5333,2,9.3333,,118.1,2.4667,12.3333,4.2423,12.3333,3,0.6667,1,4.7595,4.7595,0.1579,3.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,,7,,,,,,,,,,,
Dareke Young,SEA,WR,8,Yes,No,No,7,,No,Yes,,,,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
Juwan Johnson,NO,TE,140,No,No,No,120,37,Yes,Yes,37,1,,0.3083,35,0.9459,386,216,64,174,2,,0.5667,0.1417,26,4.7027,1,128.2,3.2167,10.4324,3.6149,11.0286,6.1714,1.8286,17,56.9544,56.9544,0.2643,49.6,84.6,67.1,84.6,102.1,87.6,69.1,83.6,83.6,83.6,66.1,102.1,83.6,2,17,4,0.1143,0.0167,0.275,6,5,1,3,0.0811,0.027,
David Montgomery,DET,RB,74,Yes,No,No,52,16,No,Yes,16,1,,0.3077,16,1,131,132,32,-1,,,,0.0192,6,-0.0625,,100.8,2.5192,8.1875,2.0292,8.1875,8.25,2,8,23.5747,23.5747,0.2162,13.1,29.1,21.1,37.1,29.1,32.1,24.1,29.1,29.1,29.1,21.1,29.1,29.1,1,17,5,0.3125,0.9808,,,,,5,0.3125,,
Mack Hollins,NE,WR,82,No,No,Yes,74,13,No,Yes,13,1,1,0.1757,13,1,123,16,2,108,1,1,0.2568,0.7162,10,8.3077,,131.7,1.6622,9.4615,1.9044,9.4615,1.2308,0.1538,9,24.4749,24.4749,0.1585,18.3,31.3,24.8,31.3,31.3,34.3,27.8,31.3,31.3,31.3,24.8,31.3,31.3,2,15,,,,0.027,3,3,,,,,
Andrew Ogletree,IND,TE,18,Yes,Yes,No,7,2,No,Yes,2,1,,0.2857,1,0.5,11,6,4,10,,,0.2857,0.2857,1,5,,66.7,1.5714,5.5,-0.98,11,6,4,1,2.9864,2.9864,0.1111,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,,15,,,,0.4286,1,,,,,,
Jaylen Warren,PIT,RB,85,No,No,No,55,21,No,Yes,21,1,,0.3818,21,1,186,241,130,-55,,,0.0727,0.0182,12,-2.619,,103.6,3.3818,8.8571,3.1731,8.8571,11.4762,6.1905,6,31.062,31.062,0.2471,18.6,39.6,29.1,50.1,39.6,42.6,32.1,39.6,39.6,39.6,29.1,39.6,39.6,2,16,12,0.5714,0.8727,0.0364,1,1,,8,0.381,,
Kendrick Bourne,SF,WR,106,Yes,No,No,93,15,No,Yes,15,1,,0.1613,14,0.9333,137,34,21,115,,,0.2258,0.7742,8,7.6667,,104.7,1.4731,9.1333,1.6954,9.7857,2.4286,1.5,8,24.0813,24.0813,0.1415,13.7,27.7,20.7,27.7,27.7,30.7,23.7,27.7,27.7,27.7,20.7,27.7,27.7,,16,1,0.0714,,,3,3,1,1,0.0667,0.0667,
Jack Bech,LV,WR,53,No,No,No,41,8,No,Yes,8,1,,0.1951,7,0.875,68,16,7,56,,,0.2195,0.7805,4,7,,102.1,1.6585,8.5,1.4771,9.7143,2.2857,1,3,12.2068,12.2068,0.1509,6.8,13.8,10.3,13.8,13.8,13.8,10.3,13.8,13.8,13.8,10.3,13.8,13.8,1,16,,,,,1,,1,,,0.125,
Hassan Haskins,LAC,RB,18,No,No,No,13,4,No,Yes,4,1,,0.3077,4,1,13,17,6,-4,,,,0.1538,,-1,,80.2,1,3.25,-2.7033,3.25,4.25,1.5,,5.4398,5.4398,0.2222,1.3,5.3,3.3,7.3,5.3,5.3,3.3,5.3,5.3,5.3,3.3,5.3,5.3,,11,1,0.25,0.8462,,,,,,,,
Jameson Williams,DET,WR,192,Yes,No,No,161,37,No,Yes,37,1,,0.2298,32,0.8649,428,161,72,295,3,,0.2733,0.7267,28,7.973,3,141.9,2.6584,11.5676,3.908,13.375,5.0312,2.25,22,60.3593,60.3593,0.1927,60.8,92.8,76.8,92.8,92.8,95.8,79.8,92.8,92.8,92.8,76.8,92.8,92.8,3,17,7,0.2188,,,4,2,3,7,0.1892,0.0811,
Mitchell Evans,CAR,TE,45,No,No,No,33,12,No,Yes,12,1,,0.3636,11,0.9167,106,77,23,32,,,0.2121,0.0303,5,2.6667,,103.5,3.2121,8.8333,2.4108,9.6364,7,2.0909,4,17.7502,17.7502,0.2667,10.6,21.6,16.1,21.6,27.1,24.6,19.1,21.6,21.6,21.6,16.1,27.1,21.6,,17,1,0.0909,,0.7576,1,1,1,2,0.1667,0.0833,
