Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsContestedTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Keaton Mitchell,BLT,RB,1,No,No,No,1,,No,No,,,1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
DJ Moore,CHI,WR,17,No,No,No,15,2,No,No,0.1333,26,0.0667,2,,,13,39.6,-9.5596,4.0787,4.0787,0.1176,17,1,0.2667,0.6667,,,,,,,,,,,,,,,,,
David Sills,ATL,WR,7,No,No,No,6,,No,No,,,,,,,,,,,,,17,,0.1667,0.8333,,,,,,,,,,,,,,,,,
Zamir White,LV,RB,6,No,Yes,No,3,,Yes,No,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,IND,RB,4,No,No,No,3,,No,No,,,1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,11,No,No,No,11,,No,No,,,,,,,,,,1.5355,1.5355,,7,,0.3636,0.6364,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,10,No,No,No,5,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Gage Larvadain,CLV,WR,3,No,No,No,3,1,No,No,0.3333,28,,1,,,28,39.6,-11.0769,2.0462,2.0462,0.3333,13,,,1,1,,1,,,,,,,,,,,,,,
Trayveon Williams,CLV,RB,2,No,No,No,2,,No,No,,,0.5,,,,,,,,,,6,,0.5,,,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,3,No,No,Yes,3,1,No,No,0.3333,5,,1,,,5,,-6.48,1.3755,1.3755,0.3333,11,,0.6667,,,0.3333,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,4,No,No,No,2,,No,No,,,0.5,,,,,,,,,,17,,,0.5,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,
Khalil Herbert,NYJ,RB,2,Yes,Yes,No,1,,Yes,No,,,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,10,No,No,No,10,1,No,No,0.1,,1,,,,,39.6,-5.8271,1.3157,1.3157,0.1,14,,,,,,,,,,,,,,,,,,,,
Devaughn Vele,NO,WR,8,No,No,No,8,2,Yes,No,0.25,18,,2,,,9,39.6,-7.5053,4.0925,4.0925,0.25,13,,0.125,0.875,,,1,1,,,,,,,,,,,,,
Josh Downs,IND,WR,19,No,No,No,19,5,No,No,0.2632,27,0.0526,3,,,5.4,,-6.4821,7.4772,7.4772,0.2632,16,,0.6842,0.2632,,,,,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,15,No,No,No,14,6,No,No,0.4286,80,,6,,,13.3333,,-9.1064,12.5629,12.5629,0.4,17,,0.2143,0.7857,1,,1,1,,,,,,,,,,,,,
Jack Bech,LV,WR,5,No,Yes,No,5,1,Yes,No,0.2,5,,,,,5,,-6.3628,1.2763,1.2763,0.2,16,,,1,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,8,No,No,No,3,,No,No,,,,,,,,,,,,,15,,,,,1,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,7,No,No,No,5,,No,No,,,0.8,,,,,,,,,,16,,,0.2,,,,,,,,,,,,,,,,,
Mack Hollins,NE,WR,10,No,No,Yes,10,2,No,No,0.2,19,,1,,,9.5,,-7.9129,4.9654,4.9654,0.2,15,,0.4,0.6,,,1,1,,,,,,,,,,,,,
Kendrick Bourne,SF,WR,14,No,No,No,13,3,No,No,0.2308,43,,3,,,14.3333,39.6,-9.5211,4.5021,4.5021,0.2143,16,2,0.1538,0.8462,1,,,1,,,,,,,,,,,,,
Juwan Johnson,NO,TE,26,No,No,No,24,4,No,No,0.1667,39,,4,,,9.75,39.6,-8.04,5.8131,5.8131,0.1538,17,,0.4583,0.125,,0.4167,,,,,,,,,,,,,,,
David Montgomery,DET,RB,1,No,No,No,1,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Dareke Young,SEA,WR,1,No,No,No,1,1,No,No,1,8,,1,,,8,39.6,-7.5106,1.5587,1.5587,1,9,1,,1,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,7,No,No,No,6,,No,No,,,,,,,,,,2.1536,2.1536,,13,,0.5,0.3333,,0.1667,,,,,,,,,,,,,,,
Tahj Washington,MIA,WR,1,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,7,No,No,No,7,1,No,No,0.1429,20,,1,,,20,,-11.7623,1.4789,1.4789,0.1429,9,,0.4286,0.1429,1,0.4286,,,,,,,,,,,,,,,
Quintin Morris,JAX,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,13,,,,,1,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,,12,,0.3333,0.6667,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,19,No,No,No,18,8,No,No,0.4444,114,,7,,,14.25,,-9.7946,14.4825,14.4825,0.4211,15,,0.3889,0.6111,1,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,9,No,No,No,9,2,No,No,0.2222,19,,2,,,9.5,39.6,-8.0101,3.6564,3.6564,0.2222,15,,0.6667,0.3333,,,,,,,,,,,,,,,,,
Marquise Brown,KC,WR,15,No,Yes,No,14,6,Yes,No,0.4286,165,,6,,,27.5,,-11.7302,15.5838,15.5838,0.4,16,,0.4286,0.5714,3,,1,,,,,,,,,,,,,,
John Metchie,NYJ,WR,6,Yes,Yes,No,6,2,Yes,No,0.3333,32,,1,,,16,,-10.4233,3.8287,3.8287,0.3333,16,,0.5,0.5,,,1,1,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,17,Yes,Yes,Yes,15,4,No,No,0.2667,30,,4,,,7.5,39.6,-7.4164,12.3237,12.3237,0.2353,17,,0.6,0.4,,,2,2,,,,,,,,,,,,,
Bhayshul Tuten,JAX,RB,2,No,No,No,2,,No,No,,,0.5,,,,,,,,,,15,,,0.5,,,,,,,,,,,,,,,,,
Casey Washington,ATL,WR,4,No,No,Yes,4,1,No,No,0.25,10,,1,,,10,39.6,-7.5,1.4887,1.4887,0.25,7,,0.5,0.5,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,11,No,No,No,10,,No,No,,,0.3,,,,,,,,,,17,,0.2,0.1,,0.4,,,,,,,,,,,,,,,
Tyler Badie,DEN,RB,7,No,No,No,6,,No,No,,,0.8333,,,,,,,,,,16,,,,,0.1667,,,,,,,,,,,,,,,
Jalen Brooks,ARZ,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,5,No,No,No,5,,No,No,,,,,,,,,,,,,8,,0.2,0.8,,,,,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,4,No,No,No,4,1,No,No,0.25,1,0.75,,,,1,39.6,-5.7294,2.7831,2.7831,0.25,13,1,,0.25,,,,,,,,,,,,,,,,,
Elijah Mitchell,KC,RB,1,No,No,No,1,1,No,No,1,22,1,,,,22,,-11.9429,3.7471,3.7471,1,1,,,,1,,1,,,,,,,,,,,,,,
Bam Knight,ARZ,RB,4,No,No,No,4,1,No,No,0.25,12,1,,,,12,39.6,-9.3774,2.1533,2.1533,0.25,12,,,,,,,,,,,,,,,,,,,,
Samaje Perine,CIN,RB,7,No,No,No,3,,No,No,,,1,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,12,No,No,No,10,1,No,No,0.1,4,0.8,1,,,4,39.6,-6.6619,1.3713,1.3713,0.0833,17,1,0.2,,,,,,,,,,,,,,,,,,
Josh Whyle,GB,TE,3,Yes,Yes,Yes,2,,No,No,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,5,No,No,No,5,,No,No,,,,,,,,,,,,,17,,0.4,0.6,,,,,,,,,,,,,,,,,
Quentin Skinner,NYJ,WR,1,Yes,Yes,No,1,,Yes,No,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
Ronnie Rivers,LA,RB,1,No,No,No,1,,No,No,,,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
Elijah Arroyo,SEA,TE,7,No,No,No,7,3,No,No,0.4286,55,,,,,18.3333,,-10.7531,6.2841,6.2841,0.4286,13,,0.2857,,2,0.7143,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,15,No,No,No,15,2,No,No,0.1333,35,,1,,,17.5,39.6,-11.2822,5.4265,5.4265,0.1333,14,1,0.3333,0.6667,,,1,1,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,25,No,No,No,24,2,No,No,0.0833,30,,1,,,15,,-8.6095,7.4223,7.4223,0.08,17,,0.5,0.0833,1,0.4167,,1,,,,,,,,,,,,,
Davante Adams,LA,WR,15,No,No,No,14,7,No,No,0.5,112,,7,,,16,,-9.192,15.965,15.965,0.4667,14,,0.1429,0.8571,1,,1,1,,,,,,,,,,,,,
Dare Ogunbowale,HST,RB,4,No,No,No,2,1,No,No,0.5,5,,1,,,5,39.6,-7.233,1.4552,1.4552,0.25,17,1,0.5,0.5,,,,1,,,,,,,,,,,,,
Nico Collins,HST,WR,16,No,No,No,16,8,No,No,0.5,102,,5,,,12.75,39.6,-8.23,17.1612,17.1612,0.5,15,,0.1875,0.8125,2,,,,,,,,,,,,,,,,
Jerry Jeudy,CLV,WR,24,No,No,No,24,9,No,No,0.375,131,,7,,,14.5556,,-9.2807,18.0105,18.0105,0.375,17,,0.2083,0.7917,2,,2,2,,,,,,,,,,,,,
Marquez Valdes-Scantling,PIT,WR,13,No,No,No,13,3,No,No,0.2308,31,,2,,,10.3333,39.6,-8.494,7.0422,7.0422,0.2308,10,,0.3077,0.6923,,,1,1,,,,,,,,,,,,,
Pat Bryant,DEN,WR,8,No,No,No,8,3,No,No,0.375,33,,2,,,11,,-8.7279,4.6641,4.6641,0.375,15,,0.75,0.25,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,5,No,No,No,3,2,No,No,0.6667,43,,2,,,21.5,,-11.8796,2.041,2.041,0.4,17,,0.3333,,1,0.6667,,,,,,,,,,,,,,,
Tyler Higbee,LA,TE,7,No,No,No,6,2,No,No,0.3333,8,,1,,,4,39.6,-6.0667,2.9138,2.9138,0.2857,10,1,0.5,,,0.5,,,,,,,,,,,,,,,
Jake Bobo,SEA,WR,4,No,No,No,4,,No,No,,,,,,,,,,,,,11,,0.5,0.5,,,,,,,,,,,,,,,,,
Adonai Mitchell,NYJ,WR,14,Yes,Yes,No,14,7,Yes,No,0.5,190,,7,,,27.1429,,-12.1183,13.5996,13.5996,0.5,16,,0.1429,0.8571,5,,2,,,,,,,,,,,,,,
Dylan Sampson,CLV,RB,5,No,No,No,3,,No,No,,,0.6667,,,,,,,,,,15,,,,,0.3333,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,MIA,WR,10,Yes,Yes,No,10,2,No,No,0.2,11,,2,,,5.5,,-6.4803,3.0253,3.0253,0.2,15,,0.7,0.3,,,,1,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,4,No,No,Yes,4,,No,No,,,,,,,,,,,,,9,,0.75,0.25,,,,,,,,,,,,,,,,,
Matthew Golden,GB,WR,10,Yes,Yes,Yes,10,4,No,No,0.4,95,,3,,,23.75,,-11.8065,11.7094,11.7094,0.4,14,1,0.4,0.6,3,,2,1,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,17,No,No,No,7,1,Yes,No,0.1429,11,0.7143,,,,11,39.6,-7.2558,3.3371,3.3371,0.0588,16,,,0.2857,,,1,1,,,,,,,,,,,,,
Evan Engram,DEN,TE,12,No,No,No,12,5,No,No,0.4167,19,,4,,,3.8,39.6,-6.3075,7.2865,7.2865,0.4167,16,,0.3333,0.1667,,0.5,,,,,,,,,,,,,,,
Keleki Latu,BUF,TE,2,Yes,Yes,No,2,,Yes,No,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,2,No,No,No,2,1,No,No,0.5,14,1,,,,14,,-9.9318,1.9177,1.9177,0.5,15,,,,,,,,,,,,,,,,,,,,
Miles Sanders,DAL,RB,1,No,Yes,No,1,,No,No,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
KhaDarel Hodge,ATL,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,11,,,1,,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,9,No,No,No,7,,No,No,,,,,,,,,,,,,17,,0.7143,,,0.2857,,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,
Cooper Kupp,SEA,WR,19,No,No,No,19,4,No,No,0.2105,54,,3,,,13.5,,-9.5802,6.7224,6.7224,0.2105,16,,0.4211,0.5789,,,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,9,No,No,No,7,,No,No,,,0.8571,,,,,,,,,,16,,0.1429,,,,,,,,,,,,,,,,,,
Adam Trautman,DEN,TE,12,No,No,No,5,1,No,No,0.2,11,,1,,,11,39.6,-8.7402,1.6607,1.6607,0.0833,17,,0.4,,,0.6,,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,27,No,No,No,27,7,No,No,0.2593,120,,5,1,0.1429,17.1429,,-8.9867,13.9198,13.9198,0.2593,16,1,0.3704,0.6296,3,,,1,,,,,,,,,,,,,
Tahj Brooks,CIN,RB,1,Yes,Yes,No,1,1,Yes,No,1,-2,1,,,,-2,,-6.198,1.3248,1.3248,1,12,,,,,,,,,,,,,,,,,,,,
Robbie Chosen,WAS,WR,2,Yes,Yes,No,1,1,No,No,1,9,,1,,,9,39.6,-7.4539,1.6714,1.6714,0.5,3,,,1,,,,,,,,,,,,,,,,,
Hunter Long,JAX,TE,4,Yes,No,No,3,,No,No,,,,,,,,,,,,,9,,0.3333,0.3333,,0.3333,,,,,,,,,,,,,,,
Sal Cannella,CLV,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,9,Yes,Yes,No,9,1,No,No,0.1111,18,,1,,,18,39.6,-10.8991,1.1406,1.1406,0.1111,14,,0.2222,0.7778,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,7,Yes,Yes,Yes,5,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,5,No,No,No,5,3,No,No,0.6,116,,3,,,38.6667,,-13.7464,10.3521,10.3521,0.6,10,,0.4,0.6,3,,,,,,,,,,,,,,,,
Tyler Conklin,LAC,TE,1,No,No,No,1,1,No,No,1,3,,1,,,3,39.6,-6.3218,1.4364,1.4364,1,10,,,1,,,,,,,,,,,,,,,,,
Anthony Firkser,DET,TE,3,No,No,No,1,,No,No,,,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,
Justice Hill,BLT,RB,2,No,No,No,1,,No,No,,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
Kyle Williams,NE,WR,4,Yes,Yes,No,4,1,No,No,0.25,5,,1,,,5,39.6,-6.3628,1.4006,1.4006,0.25,17,,,1,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,3,No,Yes,Yes,2,,No,No,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Shedrick Jackson,LV,WR,1,No,Yes,No,1,,Yes,No,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,25,No,No,No,23,1,No,No,0.0435,,0.8261,,,,,39.6,-5.8271,1.3748,1.3748,0.04,17,1,0.087,0.087,,,,,,,,,,,,,,,,,
Troy Franklin,DEN,WR,15,No,No,No,15,4,No,No,0.2667,122,,2,,,30.5,,-11.7873,10.3831,10.3831,0.2667,17,,0.4,0.6,2,,2,1,,,,,,,,,,,,,
Malik Washington,MIA,WR,21,Yes,Yes,No,21,7,No,No,0.3333,103,0.0476,4,,,14.7143,,-9.427,12.4482,12.4482,0.3333,17,1,0.619,0.3333,1,,,,,,,,,,,,,,,,
Michael Pittman,IND,WR,23,No,No,No,23,4,No,No,0.1739,55,,3,,,13.75,,-8.3257,6.0768,6.0768,0.1739,17,,0.3478,0.6522,1,,,,,,,,,,,,,,,,
Tim Jones,JAX,WR,2,Yes,Yes,Yes,1,,No,No,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,9,Yes,Yes,Yes,3,,No,No,,,1,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,36,No,Yes,No,36,7,Yes,No,0.1944,167,,6,,,23.8571,,-10.2871,14.3409,14.3409,0.1944,17,1,0.1111,0.8889,4,,3,,,,,,,,,,,,,,
Javonte Williams,DAL,RB,20,Yes,No,Yes,11,1,No,No,0.0909,4,1,,,,4,39.6,-6.6619,1.367,1.367,0.05,16,1,,,,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,22,No,No,No,22,5,No,No,0.2273,123,,5,,,24.6,,-11.6902,11.1569,11.1569,0.2273,17,1,0.1818,0.8182,3,,,,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,10,No,Yes,Yes,10,2,No,No,0.2,40,0.1,1,,,20,39.6,-10.4746,3.4945,3.4945,0.2,12,2,0.7,0.2,1,,,,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,1,No,No,No,1,1,No,No,1,6,,1,,,6,39.6,-7.093,1.5202,1.5202,1,4,,,,,1,,,,,,,,,,,,,,,
Zach Ertz,WAS,TE,19,No,No,Yes,17,3,No,No,0.1765,26,,1,,,8.6667,,-7.4453,4.6989,4.6989,0.1579,13,,0.6471,0.1765,,0.1765,,,,,,,,,,,,,,,
Audric Estime,NO,RB,4,No,No,No,2,,No,No,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,4,No,No,No,4,1,No,No,0.25,21,,1,,,21,39.6,-12.9635,1.468,1.468,0.25,17,,,,1,1,,,,,,,,,,,,,,,
Darnell Washington,PIT,TE,4,No,No,No,3,1,No,No,0.3333,18,,,,,18,39.6,-12.9732,1.1406,1.1406,0.25,16,,0.3333,,,0.6667,,,,,,,,,,,,,,,
Davis Allen,LA,TE,8,No,No,No,6,,No,No,,,,,,,,,,,,,17,,0.1667,0.5,,0.3333,,,,,,,,,,,,,,,
Tyrell Shavers,BUF,WR,7,Yes,Yes,No,7,1,Yes,No,0.1429,14,,,,,14,39.6,-9.8134,1.3756,1.3756,0.1429,17,,0.1429,0.8571,,,,,,,,,,,,,,,,,
Zavier Scott,MIN,RB,1,Yes,Yes,Yes,1,,No,No,,,1,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,11,No,No,No,7,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Cody White,SEA,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,
Hunter Henry,NE,TE,14,Yes,Yes,No,13,2,No,No,0.1538,15,,1,,,7.5,39.6,-7.1763,7.3844,7.3844,0.1429,17,,0.6154,0.2308,,0.1538,1,2,,,,,,,,,,,,,
Dalton Kincaid,BUF,TE,7,Yes,Yes,No,7,2,Yes,No,0.2857,32,,1,,,16,39.6,-10.2142,3.1443,3.1443,0.2857,12,,0.4286,0.2857,1,0.2857,,,,,,,,,,,,,,,
Jakobi Meyers,JAX,WR,29,No,No,No,29,7,No,No,0.2414,120,,4,,,17.1429,,-10.6359,15.3673,15.3673,0.2414,16,,0.4138,0.5862,2,,3,3,,,,,,,,,,,,,
Tay Martin,WAS,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,
Gabe Davis,BUF,WR,4,Yes,Yes,No,4,2,Yes,No,0.5,19,,2,,,9.5,,-8.0553,3.6896,3.6896,0.5,6,,,1,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,18,No,No,No,18,5,No,No,0.2778,104,,5,,,20.8,,-10.5544,8.2141,8.2141,0.2778,17,,0.1667,0.8333,1,,,1,,,,,,,,,,,,,
Ian Thomas,LV,TE,13,No,Yes,No,6,,Yes,No,,,,,,,,,,,,,15,,,0.1667,,0.8333,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,9,No,No,No,9,3,No,No,0.3333,26,,1,1,0.3333,8.6667,,-8.4348,4.977,4.977,0.3333,17,,0.4444,0.5556,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,22,No,Yes,Yes,18,3,No,No,0.1667,30,,3,,,10,39.6,-8.5558,4.6357,4.6357,0.1364,15,,0.3333,0.1667,,0.5,,,,,,,,,,,,,,,
Stone Smartt,NYJ,TE,4,Yes,Yes,No,4,1,Yes,No,0.25,2,,1,,,2,39.6,-6.3701,1.4239,1.4239,0.25,8,,0.25,0.25,,0.5,,,,,,,,,,,,,,,
Simi Fehoko,ARZ,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,
Jakobie Keeney-James,GB,WR,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,12,No,No,No,12,2,No,No,0.1667,30,,2,,,15,39.6,-8.6409,6.6406,6.6406,0.1667,17,,0.25,0.75,1,,1,1,,,,,,,,,,,,,
Brian Thomas,JAX,WR,12,No,No,No,12,4,No,No,0.3333,116,,3,,,29,39.6,-11.7499,11.276,11.276,0.3333,14,,,1,4,,1,,,,,,,,,,,,,,
DeAndre Hopkins,BLT,WR,4,No,No,No,4,1,No,No,0.25,8,,1,,,8,39.6,-7.5106,1.5147,1.5147,0.25,17,,0.25,0.75,,,,,,,,,,,,,,,,,
Josh Reynolds,NYJ,WR,6,No,No,Yes,6,4,No,No,0.6667,100,,2,,,25,,-12.0154,9.2083,9.2083,0.6667,5,,,1,2,,1,,,,,,,,,,,,,,
Noah Gray,KC,TE,7,No,Yes,No,6,,Yes,No,,,,,,,,,,,,,16,,0.1667,0.3333,,0.5,,,,,,,,,,,,,,,
Chimere Dike,TEN,WR,14,No,No,No,14,3,No,No,0.2143,40,,3,,,13.3333,,-9.0343,6.799,6.799,0.2143,17,,0.7857,0.2143,1,,1,2,,,,,,,,,,,,,
Tim Patrick,JAX,WR,11,No,No,No,11,2,No,No,0.1818,32,,2,,,16,39.6,-11.0375,3.8104,3.8104,0.1818,16,1,0.3636,0.6364,,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,13,No,No,No,9,,No,No,,,0.8889,,,,,,,,,,15,,0.1111,,,,,,,,,,,,,,,,,,
Michael Mayer,LV,TE,15,No,Yes,No,11,2,Yes,No,0.1818,3,,2,,,1.5,,-6.0727,2.7674,2.7674,0.1333,13,1,0.2727,0.0909,,0.6364,,,,,,,,,,,,,,,
Ben Yurosek,MIN,TE,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,,,,12,,,,,1,,,,,,,,,,,,,,,
Devin Culp,TB,TE,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,11,,,,,1,,,,,,,,,,,,,,,
Ollie Gordon,MIA,RB,8,Yes,Yes,No,4,,No,No,,,1,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
