Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAirTotal,AverageDepthOfTarget,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,TouchdownsInEndzone
Josh Downs,IND,WR,11,Yes,No,No,11,No,Yes,0.0909,16,1,1,1,0.0909,1,1,16,1,,,0.9091,1,,,118.8,1.4545,16,5.5903,16,1,,2.1553,2.1553,0.0909,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,15,15,1,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,14,Yes,No,Yes,13,No,Yes,0.7692,17,4,4,1,0.3077,3,0.75,42,5,1,,0.2308,3,1,0.25,108.3,3.2308,10.5,2.1296,14,1.6667,0.3333,6.1716,6.1716,0.2857,4.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,7.2,5.7,7.2,7.2,36,9,3,1,0.25,,,,,,,,,,,
Devaughn Vele,NO,WR,12,Yes,No,No,12,No,Yes,0.6667,13,2,2,1,0.1667,2,1,17,2,,,0.3333,1,,,102.1,1.4167,8.5,1.252,8.5,1,,2.7206,2.7206,0.1667,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,15,7.5,1,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,5,No,Yes,No,5,No,Yes,,14,1,1,1,0.2,1,1,2,,,,,,,,79.2,0.4,2,-4.3947,2,,,1.3748,1.3748,0.2,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,2,2,,,,,,,,,,1,,,,
Andrew Ogletree,IND,TE,5,No,No,No,2,No,Yes,0.5,15,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,8,No,No,No,5,No,No,,16,2,2,1,0.4,2,1,9,10,2,0.2,,,,,85.4,1.8,4.5,-1.6611,4.5,5,1,2.5712,2.5712,0.25,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,-1,-0.5,1,,,,,,,,,0.8,1,0.5,,
Kendrick Bourne,SF,WR,7,No,No,No,7,No,Yes,0.5714,16,1,1,1,0.1429,1,1,6,,,,0.4286,,,,91.7,0.8571,6,-0.9491,6,,,1.3212,1.3212,0.1429,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,6,,,,,,,,,,,,,,
Jack Bech,LV,WR,11,No,No,No,11,No,Yes,0.6364,16,2,2,1,0.1818,2,1,17,2,2,,0.3636,1,,,102.1,1.5455,8.5,1.5686,8.5,1,1,2.788,2.788,0.1818,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,15,7.5,1,,,1,1,,,,,,1,0.5,,
Hassan Haskins,LAC,RB,4,No,No,No,2,No,Yes,,11,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
Dareke Young,SEA,WR,3,No,No,No,3,No,Yes,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,28,No,No,No,28,No,No,0.1429,17,6,6,1,0.2143,5,0.8333,34,16,3,0.25,0.6071,4,,,90.3,1.2143,5.6667,-1.5488,6.8,3.2,0.6,9.0132,9.0132,0.2143,3.4,8.4,5.9,8.4,10.9,8.4,5.9,8.4,8.4,8.4,5.9,10.9,8.4,33,5.5,1,1,0.1667,,,,,1,,,,,,
David Montgomery,DET,RB,12,Yes,No,No,9,No,Yes,,17,3,3,1,0.3333,3,1,19,21,20,,,,,,93.1,2.1111,6.3333,0.0578,6.3333,7,6.6667,4.1059,4.1059,0.25,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,-2,-0.6667,1,,,1,1,,,,,1,1,0.3333,,
Mack Hollins,NE,WR,9,No,Yes,No,7,No,Yes,0.4286,15,1,1,1,0.1429,1,1,6,,,,0.5714,,,,91.7,0.8571,6,-0.9491,6,,,1.5928,1.5928,0.1111,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,6,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,4,Yes,No,Yes,4,No,Yes,,9,3,3,1,0.75,1,0.3333,6,1,1,0.25,0.75,1,,,42.4,1.5,2,-5.413,6,1,1,4.669,4.669,0.75,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,23,7.6667,,2,0.6667,1,,,,1,,,,,,
Ja'Tavion Sanders,CAR,TE,6,No,Yes,Yes,5,No,Yes,0.2,13,2,2,1,0.4,1,0.5,5,,,0.6,0.2,2,,,56.3,1,2.5,-4.3939,5,,,2.9313,2.9313,0.3333,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,12,6,,1,0.5,,,,,1,,,,,,
Jahdae Walker,CHI,WR,2,Yes,No,No,2,No,Yes,1,7,1,1,1,0.5,,,,,,,,1,,,39.6,,,-10.0952,,,,1.6593,1.6593,0.5,,,,,,,,,,,,,,16,16,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,10,No,No,No,10,No,Yes,0.7,15,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,2,Yes,No,No,2,No,Yes,0.5,12,1,1,1,0.5,1,1,20,,,,0.5,1,,,118.8,10,20,9.1348,20,,,1.9422,1.9422,0.5,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,20,20,1,,,,,,1,,,,,,,
KaVontae Turpin,DAL,WR,8,No,No,No,8,No,Yes,0.375,15,3,3,1,0.375,2,0.6667,8,,,,0.625,2,,,70.1,1,2.6667,-3.8798,4,,,4.7337,4.7337,0.375,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,17,5.6667,,1,0.3333,1,1,,,1,,,,,,
John Metchie,NYJ,WR,17,Yes,No,No,16,Yes,Yes,0.5,16,6,6,1,0.375,5,0.8333,23,18,6,,0.5,5,2,0.3333,82.6,1.4375,3.8333,-1.9665,4.6,3.6,1.2,9.0963,9.0963,0.3529,2.3,7.3,4.8,7.3,7.3,7.3,4.8,7.3,7.3,7.3,4.8,7.3,7.3,13,2.1667,1,,,1,,,,,,,,,,
Jalen Nailor,MIN,WR,14,No,Yes,No,13,No,Yes,0.3077,17,3,3,1,0.2308,2,0.6667,13,,,,0.6923,3,,,36.1,1,4.3333,-3.4877,6.5,,,4.4459,4.4459,0.2143,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,27,9,1,,,2,1,,,,,,,,,
Marquise Brown,KC,WR,8,No,No,No,8,No,Yes,0.5,16,2,2,1,0.25,2,1,19,2,,,0.375,1,,,106.3,2.375,9.5,2.2178,9.5,1,,3.006,3.006,0.25,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,17,8.5,1,,,,,,,,,0.125,,,,
Kenneth Gainwell,PIT,RB,10,No,No,No,9,No,No,,17,,,,,,,,,,0.1111,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,
Bhayshul Tuten,JAX,RB,2,No,Yes,No,1,No,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Casey Washington,ATL,WR,7,Yes,No,No,7,Yes,Yes,0.4286,7,4,4,1,0.5714,3,0.75,43,,,,0.5714,2,,,109.4,6.1429,10.75,0.9697,14.3333,,,7.0446,7.0446,0.5714,4.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,55,13.75,3,1,0.25,,,,,,,,,,,
Kevin Austin,NO,WR,5,No,No,No,5,No,No,0.6,8,1,1,1,0.2,,,,,,,0.4,1,,,39.6,,,-6.3628,,,,1.6418,1.6418,0.2,,,,,,,,,,,,,,5,5,,1,1,,,,,,,,,,,
Tyler Badie,DEN,RB,4,No,No,No,3,No,Yes,,16,1,1,1,0.3333,1,1,3,1,1,,,,,,79.2,1,3,-3.3947,3,1,1,1.35,1.35,0.25,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,2,2,,,,,,,,,,1,,,,
Jalen Brooks,ARZ,WR,3,No,No,No,3,No,Yes,0.6667,6,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,DEN,RB,3,Yes,No,Yes,1,Yes,Yes,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Emari Demercado,ARZ,RB,3,No,No,No,1,No,Yes,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Efton Chism,NE,WR,2,Yes,No,Yes,2,No,Yes,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,4,No,No,No,4,No,Yes,0.5,17,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Whyle,GB,TE,3,No,Yes,No,3,No,Yes,0.3333,8,,,,,,,,,,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,8,No,Yes,No,4,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,1.4882,1.4882,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Samaje Perine,CIN,RB,6,Yes,No,No,2,No,Yes,,15,1,1,1,0.5,1,1,5,3,,,,,,,87.5,2.5,5,-1.3947,5,3,,1.3043,1.3043,0.1667,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,2,2,,,,,,,,,,1,1,1,,
Bam Knight,ARZ,RB,2,No,Yes,No,2,No,Yes,,12,1,1,1,0.5,1,1,7,11,1,,,,,,95.8,3.5,7,1.4301,7,11,1,1.7464,1.7464,0.5,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,-4,-4,,,,,,,,,,1,,,,
Darius Slayton,NYG,WR,12,No,No,No,12,No,Yes,1,14,2,2,1,0.1667,2,1,20,16,1,,,1,,,108.3,1.6667,10,4.7145,10,8,0.5,2.6909,2.6909,0.1667,2,4,3,4,4,4,3,4,4,4,3,4,4,4,2,1,,,,,,,,,,,,,
Dare Ogunbowale,HST,RB,2,Yes,No,No,1,No,Yes,,17,1,1,1,1,,,,,,,,,,,39.6,,,-5.0893,,,,1.1702,1.1702,0.5,,,,,,,,,,,,,,-6,-6,,1,1,,,,,,,1,,,,
Nico Collins,HST,WR,8,No,Yes,No,8,No,Yes,1,15,1,1,1,0.125,1,1,18,,,,,,,,118.8,2.25,18,7.1009,18,,,3.5421,3.5421,0.125,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,18,18,1,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,18,No,No,No,15,No,Yes,0.1333,17,5,5,1,0.3333,4,0.8,33,10,5,0.4,0.4667,1,,,94.2,2.2,6.6,-0.5706,8.25,2.5,1.25,11.2517,11.2517,0.2778,3.3,7.3,5.3,7.3,9.3,7.3,5.3,7.3,7.3,7.3,5.3,9.3,7.3,24,4.8,3,1,0.2,1,1,1,,1,,,,,,
Davante Adams,LA,WR,15,Yes,Yes,Yes,14,No,Yes,0.8571,14,9,9,1,0.6429,7,0.7778,62,7,2,,0.1429,7,,,135,4.4286,6.8889,-0.6458,8.8571,1,0.2857,17.9557,17.9557,0.6,18.2,25.2,21.7,25.2,25.2,25.2,21.7,25.2,25.2,25.2,21.7,25.2,25.2,75,8.3333,5,2,0.2222,,,2,,2,1,,,,2,2
Jerry Jeudy,CLV,WR,14,Yes,No,No,13,No,Yes,0.7692,17,4,4,1,0.3077,2,0.5,29,2,1,,0.2308,4,,,113.5,2.2308,7.25,-1.9726,14.5,1,0.5,8.122,8.122,0.2857,8.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,55,13.75,1,2,0.5,1,1,1,1,,,,,,1,1
Pat Bryant,DEN,WR,9,No,No,No,8,No,Yes,0.375,15,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,PIT,WR,4,No,No,No,4,No,No,0.75,10,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Sampson,CLV,RB,3,Yes,No,No,3,No,Yes,,15,1,1,1,0.3333,1,1,14,10,11,0.3333,0.3333,,,,118.8,4.6667,14,7.3381,14,10,11,1.3739,1.3739,0.3333,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,4,4,,,,,,,,,,0.3333,1,1,,
Adonai Mitchell,NYJ,WR,19,Yes,No,No,17,Yes,Yes,0.8824,16,7,7,1,0.4118,7,1,98,2,-1,,0.1176,7,,,158.3,5.7647,14,5.8362,14,0.2857,-0.1429,9.5833,9.5833,0.3684,15.8,22.8,19.3,22.8,22.8,22.8,19.3,22.8,22.8,22.8,19.3,22.8,22.8,96,13.7143,2,,,1,1,,1,,,,,,1,
Nick Westbrook-Ikhine,MIA,WR,8,Yes,No,Yes,8,No,Yes,0.625,15,1,1,1,0.125,1,1,7,,,,0.375,,,,95.8,0.875,7,-0.0645,7,,,1.4528,1.4528,0.125,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,7,7,1,,,,,,,,,,,,,
Jake Bobo,SEA,WR,2,No,No,No,1,No,Yes,,11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Higbee,LA,TE,11,No,No,No,9,No,Yes,0.3333,10,1,1,1,0.1111,1,1,9,,,0.5556,0.1111,,,,104.2,1,9,1.7404,9,,,1.5704,1.5704,0.0909,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,9,9,1,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,13,Yes,No,No,8,No,Yes,,16,2,2,1,0.25,2,1,49,53,38,,0.375,,,,118.8,6.125,24.5,18.8015,24.5,26.5,19,2.937,2.937,0.1538,4.9,6.9,5.9,7.9,6.9,6.9,5.9,6.9,6.9,6.9,5.9,6.9,6.9,-4,-2,1,,,,,,,,,0.625,1,0.5,,
Evan Engram,DEN,TE,13,No,No,No,13,No,Yes,0.1538,16,3,3,1,0.2308,2,0.6667,15,17,2,0.6154,0.2308,1,1,0.3333,78.5,1.1538,5,-0.9024,7.5,8.5,1,3.9881,3.9881,0.2308,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,2,0.6667,,1,0.3333,,,,,,,,1,0.5,,
Jamari Thrash,CLV,WR,3,No,No,No,3,No,Yes,0.3333,9,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Golden,GB,WR,6,No,Yes,No,5,No,Yes,0.4,14,2,2,1,0.4,2,1,27,-1,,,0.6,1,,,118.8,5.4,13.5,4.5987,13.5,-0.5,,3.383,3.383,0.3333,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,28,14,1,,,,,,1,,,,,,,
Miles Sanders,DAL,RB,1,No,No,No,1,No,Yes,,4,1,1,1,1,1,1,3,,,,,,,,79.2,3,3,-3.5094,3,,,1.5011,1.5011,1,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,3,3,,,,,,,,1,,1,,,,
Rasheen Ali,BLT,RB,3,No,No,No,2,No,No,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
KhaDarel Hodge,ATL,WR,1,No,No,No,1,Yes,Yes,1,11,1,1,1,1,1,1,8,1,,,,,,,100,8,8,0.9355,8,1,,1.6222,1.6222,1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,7,7,1,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,2,No,No,No,2,No,Yes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp,SEA,WR,7,No,No,No,7,No,Yes,0.1429,16,1,1,1,0.1429,1,1,6,,,,0.8571,1,,,91.7,0.8571,6,-0.9491,6,,,1.3128,1.3128,0.1429,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,6,1,,,,,,,,,,,,,
Steven Sims,ARZ,WR,1,No,No,No,1,No,Yes,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,5,Yes,No,Yes,3,No,Yes,,17,,,,,,,,,,0.3333,0.3333,,,,,,,,,,,1.3217,1.3217,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,
Ja'Marr Chase,CIN,WR,18,Yes,No,No,18,No,Yes,0.6667,16,4,4,1,0.2222,2,0.5,13,7,2,,0.3333,4,2,0.5,96.9,0.7222,3.25,-3.5916,6.5,3.5,1,9.1396,9.1396,0.2222,7.3,9.3,8.3,9.3,9.3,9.3,8.3,9.3,9.3,9.3,8.3,9.3,9.3,18,4.5,1,1,0.25,1,,1,,1,,,,,1,1
Adam Trautman,DEN,TE,4,No,No,No,2,No,Yes,0.5,17,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Etienne,CAR,RB,2,Yes,No,Yes,2,No,Yes,,17,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,10,Yes,No,No,8,No,Yes,0.25,16,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,
Ben Sims,MIN,TE,1,No,Yes,No,1,No,Yes,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Chosen,WAS,WR,1,No,Yes,Yes,1,No,Yes,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,14,Yes,No,Yes,13,No,Yes,0.9231,14,3,3,1,0.2308,3,1,51,5,2,,0.0769,2,,,118.8,3.9231,17,6.7821,17,1.6667,0.6667,5.0947,5.0947,0.2143,5.1,8.1,6.6,8.1,8.1,8.1,6.6,8.1,8.1,8.1,6.6,8.1,8.1,46,15.3333,3,,,,,,1,,,,,,,
Hunter Long,JAX,TE,6,No,No,Yes,4,No,Yes,,9,1,1,1,0.25,,,,,,0.75,0.25,1,,,39.6,,,-6.48,,,,1.4769,1.4769,0.1667,,,,,,,,,,,,,,5,5,,1,1,,,,,,,,,,,
Chris Brooks,GB,RB,6,No,Yes,No,5,No,Yes,,17,1,1,1,0.2,,,,,,,,,,,39.6,,,-5.819,,,,1.3292,1.3292,0.1667,,,,,,,,,,,,,,-1,-1,,1,1,,,,,,,1,,,,
Christian Watson,GB,WR,9,Yes,No,Yes,9,No,Yes,1,10,2,2,1,0.2222,2,1,34,2,1,,,2,,,118.8,3.7778,17,7.2227,17,1,0.5,3.0295,3.0295,0.2222,3.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,32,16,2,,,,,,1,,,,,,,
George Holani,SEA,RB,1,Yes,Yes,Yes,1,No,Yes,,10,1,1,1,1,1,1,4,10,1,,,,,,83.3,4,4,-1.0893,4,10,1,1.0239,1.0239,1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,-6,-6,,,,,,,,,,1,,,,
Tom Kennedy,DET,WR,1,Yes,No,No,1,No,Yes,,6,1,1,1,1,1,1,2,,,,1,1,,,79.2,2,2,-3.3344,2,,,1.3915,1.3915,1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,2,2,,,,,,,,,,,,,,
Justice Hill,BLT,RB,4,Yes,No,No,4,No,Yes,,10,1,1,1,0.25,,,,,,,0.25,1,1,1,39.6,,,-5.819,,,,1.2461,1.2461,0.25,,,,,,,,,,,,,,-1,-1,,1,1,,,,,,,0.75,,,,
Anthony Firkser,DET,TE,2,Yes,No,No,2,No,Yes,0.5,7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,1,No,No,No,1,No,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Shedrick Jackson,LV,WR,1,No,No,No,1,No,Yes,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Williams,NE,WR,4,Yes,No,Yes,4,No,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,18,Yes,No,No,12,No,Yes,0.0833,17,2,2,1,0.1667,,,,,,,0.0833,,,,39.6,,,-6.062,,,,2.7603,2.7603,0.1111,,,,,,,,,,,,,,3,1.5,,2,1,,,,,,,0.8333,,,,
Troy Franklin,DEN,WR,13,No,No,No,12,No,Yes,0.5,17,6,6,1,0.5,4,0.6667,48,-3,,,0.5,4,1,0.1667,130.6,4,8,-1.2782,12,-0.75,,11.3026,11.3026,0.4615,10.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,14.8,12.8,14.8,14.8,90,15,1,2,0.3333,,,1,2,,,,,,1,1
Jordan Mason,MIN,RB,6,No,Yes,No,3,No,Yes,,16,1,1,1,0.3333,,,,,,,,1,1,1,39.6,,,-6.1191,,,,1.5137,1.5137,0.1667,,,,,,,,,,,,,,-3,-3,,1,1,,,,,,,1,,,,
Tre Tucker,LV,WR,23,No,No,No,23,No,Yes,0.8696,17,7,7,1,0.3043,6,0.8571,104,7,2,,0.1304,6,,,118.8,4.5217,14.8571,4.9171,17.3333,1.1667,0.3333,17.4858,17.4858,0.3043,10.4,16.4,13.4,16.4,16.4,19.4,16.4,16.4,16.4,16.4,13.4,16.4,16.4,105,15,6,1,0.1429,1,1,,1,,,,,,,
Michael Pittman,IND,WR,17,Yes,No,No,16,No,Yes,0.8125,17,2,2,1,0.125,1,0.5,11,3,,,0.1875,2,,,66.7,0.6875,5.5,-1.2802,11,3,,2.9648,2.9648,0.1176,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,12,6,,1,0.5,,,,,1,,,,,,
Malik Washington,MIA,WR,8,Yes,No,Yes,8,No,Yes,0.5,17,1,1,1,0.125,1,1,6,2,1,,0.5,1,,,91.7,0.75,6,-0.0498,6,2,1,1.3739,1.3739,0.125,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,4,4,1,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,4,No,No,Yes,4,No,Yes,0.25,12,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,1,No,No,No,1,No,No,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Shavers,BUF,WR,5,Yes,No,No,4,Yes,Yes,0.75,17,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DAL,RB,15,No,No,No,14,No,Yes,,16,4,4,1,0.2857,4,1,20,19,,,0.1429,,,,87.5,1.4286,5,-1.2587,5,4.75,,6.619,6.619,0.2667,2,6,4,8,6,6,4,6,6,6,4,6,6,1,0.25,2,,,,,,,1,,0.8571,,,,
Courtland Sutton,DEN,WR,17,No,No,No,15,No,Yes,0.7333,17,5,5,1,0.3333,5,1,97,2,,,0.2667,2,,,118.8,6.4667,19.4,9.3172,19.4,0.4,,9.8141,9.8141,0.2941,9.7,14.7,12.2,14.7,14.7,14.7,12.2,14.7,14.7,14.7,12.2,14.7,14.7,95,19,5,,,,,,2,,,,,,,
Audric Estime,NO,RB,4,No,No,No,4,No,No,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Charlie Kolar,BLT,TE,3,No,No,No,3,No,No,,17,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Ertz,WAS,TE,8,Yes,No,Yes,7,Yes,Yes,0.1429,13,1,1,1,0.1429,,,,,,0.7143,0.1429,1,,,39.6,,,-6.48,,,,2.902,2.902,0.125,,,,,,,,,,,,,,5,5,,1,1,,,,,,,,,,,
Darnell Washington,PIT,TE,8,No,No,No,6,No,No,,16,2,2,1,0.3333,2,1,13,8,4,1,,2,,,93.8,2.1667,6.5,0.5789,6.5,4,2,3.2597,3.2597,0.25,0.3,2.3,1.3,2.3,3.3,2.3,0.3,1.3,1.3,1.3,0.3,3.3,1.3,5,2.5,,,,1,1,,,1,,,,,,
