Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,TouchdownsTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone,ReceptionsHero
Kendrick Bourne,SF,WR,23,No,No,No,23,No,Yes,,0.3043,0.6957,16,,3,,3,1,0.1304,1,,0.3333,13,5,7,,2,1,2.3333,,8.3,0.5652,4.3333,-2.2397,0.6667,13,5,1,3.915,3.915,0.1304,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,3,,,,,3,,,,
Juwan Johnson,NO,TE,40,No,No,No,38,Yes,Yes,0.1842,0.7105,0.1053,17,,12,3,12,1,0.3158,8,2,0.6667,89,24,117,,2,11,9.75,1,88.5,2.3421,7.4167,-0.9181,0.1667,11.125,3,5,20.6919,20.6919,0.3,8.9,16.9,12.9,16.9,20.9,16.9,12.9,16.9,16.9,16.9,12.9,20.9,16.9,9,1,0.125,,,1.125,,1,,
David Montgomery,DET,RB,7,No,Yes,No,6,Yes,Yes,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,14,No,Yes,No,12,No,Yes,0.0833,0.6667,0.25,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahdae Walker,CHI,WR,2,No,Yes,No,2,Yes,Yes,,0.5,0.5,7,,1,,1,1,0.5,1,,1,6,,14,1,,1,14,,131.3,3,6,-3.8134,,6,,1,2.4873,2.4873,0.5,6.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,,,,,,,1,1,1,
Tahj Washington,MIA,WR,1,No,Yes,No,1,No,Yes,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,6,No,No,No,4,Yes,Yes,0.5,0.5,,9,,1,,1,1,0.25,,,,,,19,,1,,19,,39.6,,,-10.5955,1,,,,2.4762,2.4762,0.1667,,,,,,,,,,,,,,,,,,,,,,,
Quintin Morris,JAX,TE,5,Yes,Yes,No,5,No,Yes,0.8,0.2,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teagan Quitoriano,ATL,TE,2,No,No,No,1,Yes,Yes,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,3,No,No,Yes,3,No,Yes,,,1,12,,1,1,1,1,0.3333,1,1,1,35,6,29,,,1,29,1,118.8,11.6667,35,23.5615,,35,6,1,1.6422,1.6422,0.3333,3.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,5,,,,,5,,,,
Jauan Jennings,SF,WR,27,No,No,No,26,No,Yes,,0.3077,0.6923,15,,11,4,11,1,0.4231,8,3,0.7273,92,13,103,1,2,11,9.3636,2,127.8,3.5385,8.3636,0.5741,0.1818,11.5,1.625,6,18.0833,18.0833,0.4074,15.2,23.2,19.2,23.2,23.2,23.2,19.2,23.2,23.2,23.2,19.2,23.2,23.2,10,,,,,1.25,1,2,1,
KaVontae Turpin,DAL,WR,20,No,No,No,19,No,Yes,,0.8421,0.1579,15,,2,,2,1,0.1053,1,,0.5,5,,11,,1,2,5.5,,56.3,0.2632,2.5,-4.156,0.5,5,,1,4.2426,4.2426,0.1,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,
Marquise Brown,KC,WR,13,No,No,No,12,No,Yes,,0.4167,0.5833,16,,4,1,4,1,0.3333,3,,0.75,40,6,53,,,1,13.25,,106.3,3.3333,10,0.4717,,13.3333,2,2,6.8483,6.8483,0.3077,4,7,5.5,7,7,7,5.5,7,7,7,5.5,7,7,1,,,,,0.3333,,,,1
John Metchie,NYJ,WR,18,No,No,No,16,No,Yes,,0.3125,0.6875,16,,4,1,4,1,0.25,3,1,0.75,33,4,34,,1,3,8.5,,99,2.0625,8.25,0.3708,0.25,11,1.3333,1,7.0107,7.0107,0.2222,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,,1,0.3333,1,0.25,,,1,,
Jalen Nailor,MIN,WR,29,No,No,No,24,Yes,Yes,,0.5833,0.4167,17,,5,1,5,1,0.2083,5,1,1,68,13,56,1,,3,11.2,1,158.3,2.8333,13.6,5.4321,,13.6,2.6,4,10.0486,10.0486,0.1724,12.8,17.8,15.3,17.8,17.8,17.8,15.3,17.8,17.8,17.8,15.3,17.8,17.8,2,1,0.2,,,0.4,1,1,1,1
Bhayshul Tuten,JAX,RB,7,Yes,Yes,No,5,No,Yes,,0.4,,15,0.6,1,,1,1,0.2,1,,1,-3,3,-6,,,1,-6,,79.2,-0.6,-3,-8.0893,,-3,3,,1.1825,1.1825,0.1429,-0.3,0.7,0.2,1.2,0.7,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,,,,,,,,,,
Casey Washington,ATL,WR,4,Yes,No,No,4,No,Yes,,0.5,0.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,17,No,Yes,Yes,16,Yes,Yes,0.125,0.25,0.0625,17,0.5625,4,1,4,1,0.25,4,1,1,7,13,-6,,,1,-1.5,,79.2,0.4375,1.75,-3.8924,,1.75,3.25,,6.9801,6.9801,0.2353,0.7,4.7,2.7,6.7,4.7,4.7,2.7,4.7,4.7,4.7,2.7,4.7,4.7,5,1,0.25,,,1.25,,2,,
Tyler Badie,DEN,RB,7,No,No,No,5,No,No,0.2,,,16,0.8,1,,1,1,0.2,1,,1,5,9,-4,,,,-4,,87.5,1,5,-0.5699,,5,9,,1.592,1.592,0.1429,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,
Jalen Brooks,ARZ,WR,6,No,No,No,6,Yes,Yes,,0.3333,0.6667,6,,1,,1,1,0.1667,1,,1,12,1,11,,,,11,,116.7,2,12,3.6848,,12,1,1,1.2596,1.2596,0.1667,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,,,,,,
Kevin Austin,NO,WR,6,No,No,No,6,Yes,Yes,,0.1667,0.8333,8,,1,1,1,1,0.1667,,,,,,13,,,1,13,,39.6,,,-8.9145,,,,,2.076,2.076,0.1667,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,DEN,RB,7,No,No,No,4,Yes,Yes,,,,10,1,1,,1,1,0.25,1,,1,,6,-6,,,1,-6,,79.2,,,-5.0893,,,6,,1.4067,1.4067,0.1429,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,2,,,1,1,2,,,,
Emari Demercado,ARZ,RB,12,No,No,No,10,Yes,Yes,,0.1,,13,0.9,3,,3,1,0.3,3,,1,43,33,10,,,,3.3333,,118.8,4.3,14.3333,7.6008,,14.3333,11,1,4.2464,4.2464,0.25,4.3,7.3,5.8,8.8,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,1,,,,,0.3333,,,,
Efton Chism,NE,WR,3,No,Yes,No,2,No,Yes,,0.5,0.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bam Knight,ARZ,RB,9,No,No,No,8,No,Yes,,,0.125,12,0.875,2,,2,1,0.25,2,,1,28,32,-4,,,,-2,,118.8,3.5,14,8.1997,,14,16,2,3.0898,3.0898,0.2222,2.8,4.8,3.8,5.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,10,,,,,5,,,,
Samaje Perine,CIN,RB,12,Yes,No,No,10,No,Yes,,,,15,1,3,,3,1,0.3,3,,1,6,14,-8,,,2,-2.6667,,79.2,0.6,2,-3.836,,2,4.6667,,4.312,4.312,0.25,0.6,3.6,2.1,5.1,3.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,6,,,2,0.6667,2,,,,
Josh Whyle,GB,TE,3,No,No,No,3,Yes,Yes,0.6667,,0.3333,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,23,Yes,Yes,No,16,No,Yes,,,0.125,17,0.875,2,1,2,1,0.125,1,,0.5,5,8,-8,,,2,-4,,56.3,0.3125,2.5,-3.4951,,5,8,,2.8875,2.8875,0.087,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,3,,,2,1,3,,,,
