Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,TouchdownsTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone,ReceptionsHero
Chimere Dike,TEN,WR,8,Yes,Yes,No,7,No,Yes,,0.2857,0.7143,17,,3,,3,1,0.4286,3,,1,18,12,6,,,2,2,,91.7,2.5714,6,-0.1444,,6,4,1,4.4782,4.4782,0.375,1.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,2,,,2,0.6667,0.6667,,,,
Tim Patrick,JAX,WR,9,Yes,Yes,No,9,No,Yes,,0.3333,0.6667,16,,3,1,3,1,0.3333,2,,0.6667,26,9,26,,1,,8.6667,,93.8,2.8889,8.6667,0.2808,0.3333,13,4.5,1,7.6524,7.6524,0.3333,2.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,2,,,,,1,1,2,,
Tyrone Tracy,NYG,RB,22,No,No,No,18,No,Yes,,0.1111,0.1111,15,0.7778,5,1,5,1,0.2778,3,,0.6,11,19,-7,,2,4,-1.4,,64.6,0.6111,2.2,-3.8062,0.4,3.6667,6.3333,1,7.6718,7.6718,0.2273,0.1,3.1,1.6,4.6,3.1,3.1,0.6,2.1,2.1,2.1,0.6,3.1,2.1,1,,,2,0.4,0.3333,,2,,
Michael Mayer,LV,TE,14,No,No,No,9,No,Yes,0.8889,,0.1111,13,,4,,4,1,0.4444,4,,1,31,20,11,,,3,2.75,,99,3.4444,7.75,1.6668,,7.75,5,3,5.6883,5.6883,0.2857,3.1,7.1,5.1,7.1,9.1,7.1,5.1,7.1,7.1,7.1,5.1,9.1,7.1,8,,,1,0.25,2,,,,
Ben Yurosek,MIN,TE,5,No,No,No,3,Yes,Yes,1,,,12,,1,,1,1,0.3333,1,,1,9,3,6,,,,6,,104.2,3,9,1.907,,9,3,1,1.4209,1.4209,0.2,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,1,,,,,1,,,,
Devin Culp,TB,TE,2,No,No,No,2,Yes,Yes,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelani Woods,NYJ,TE,1,No,No,No,1,Yes,Yes,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,27,No,No,No,27,No,Yes,,0.2222,0.7778,12,,7,3,7,1,0.2593,5,2,0.7143,109,9,152,1,1,6,21.7143,4,153.3,4.037,15.5714,4.6886,0.1429,21.8,1.8,5,19.0125,19.0125,0.2593,16.9,21.9,19.4,21.9,21.9,24.9,22.4,21.9,21.9,21.9,19.4,21.9,21.9,2,,,,,0.4,2,1,1,1
Ollie Gordon,MIA,RB,7,No,Yes,No,2,No,Yes,,,,17,1,2,,2,1,1,2,,1,3,15,-12,,,1,-6,,79.2,1.5,1.5,-3.8239,,1.5,7.5,,2.9077,2.9077,0.2857,0.3,2.3,1.3,3.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,7,2,1,1,0.5,3.5,,,,
Mo Alie-Cox,IND,TE,11,No,No,Yes,6,No,Yes,0.8333,0.1667,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,9,No,No,No,9,No,Yes,,0.2222,0.7778,8,,4,1,4,1,0.4444,2,,0.5,27,17,47,,1,3,11.75,1,71.9,3,6.75,-2.0475,0.25,13.5,8.5,1,5.9997,5.9997,0.4444,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,2,,,1,0.25,1,,1,,
Austin Hooper,NE,TE,13,No,Yes,No,11,No,Yes,0.8182,0.0909,0.0909,16,,5,1,5,1,0.4545,3,,0.6,73,16,88,,1,5,17.6,1,104.2,6.6364,14.6,3.8472,0.2,24.3333,5.3333,3,7.5933,7.5933,0.3846,7.3,10.3,8.8,10.3,11.8,10.3,8.8,10.3,10.3,10.3,8.8,11.8,10.3,8,,,,,2.6667,,,,
Justin Watson,HST,WR,5,No,No,Yes,5,No,Yes,,0.6,0.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,2,No,Yes,No,2,No,Yes,,,,10,1,2,1,2,1,1,,,,,,-6,,1,1,-3,,39.6,,,-5.884,0.5,,,,3.0105,3.0105,1,,,,,,,,,,,,,,,,,1,0.5,,,,,
Tyler Lockett,LV,WR,24,No,No,No,22,No,Yes,,0.7273,0.2727,17,,4,1,4,1,0.1818,2,,0.5,17,10,21,1,1,2,5.25,,101,0.7727,4.25,-2.2201,0.25,8.5,5,2,6.9937,6.9937,0.1667,7.7,9.7,8.7,9.7,9.7,9.7,8.7,9.7,9.7,9.7,8.7,9.7,9.7,,,,,,,1,1,1,
Jordan Addison,MIN,WR,36,No,No,No,31,Yes,Yes,,0.2258,0.7742,14,,5,2,5,1,0.1613,2,,0.4,15,3,61,,2,5,12.2,1,47.9,0.4839,3,-5.7716,0.4,7.5,1.5,,7.4731,7.4731,0.1389,1.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,11,,,,,5.5,,,,1
Lil'Jordan Humphrey,DEN,WR,8,No,No,No,7,No,No,0.1429,0.2857,0.5714,10,,3,2,3,1,0.4286,3,2,1,65,5,60,,,1,20,1,118.8,9.2857,21.6667,11.8826,,21.6667,1.6667,3,4.4943,4.4943,0.375,6.5,9.5,8,9.5,9.5,9.5,8,9.5,9.5,9.5,8,9.5,9.5,2,1,0.3333,,,0.6667,,,,
Keon Coleman,BUF,WR,14,No,No,No,14,No,Yes,,0.0714,0.9286,13,,4,2,4,1,0.2857,3,2,0.75,36,7,65,,,2,16.25,2,102.1,2.5714,9,-0.2005,,12,2.3333,3,5.2845,5.2845,0.2857,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,1,,,,,0.3333,1,1,,
Xavier Smith,LA,WR,14,No,No,No,12,Yes,Yes,,0.8333,0.1667,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,22,No,No,No,17,Yes,Yes,,0.1765,0.0588,16,0.7647,5,,5,1,0.2941,5,,1,24,41,-17,,,4,-3.4,,86.7,1.4118,4.8,-0.7329,,4.8,8.2,,7.5949,7.5949,0.2273,2.4,7.4,4.9,9.9,7.4,7.4,4.9,7.4,7.4,7.4,4.9,7.4,7.4,12,,,3,0.6,2.4,,,,
Mike Evans,TB,WR,7,No,No,No,7,No,Yes,,0.1429,0.8571,8,,5,5,5,1,0.7143,2,2,0.4,61,1,83,,,5,16.6,1,86.3,8.7143,12.2,2.6717,,30.5,0.5,2,12.4995,12.4995,0.7143,6.1,8.1,7.1,8.1,8.1,8.1,7.1,8.1,8.1,8.1,7.1,8.1,8.1,,,,,,,1,1,,
John FitzPatrick,GB,TE,12,No,Yes,Yes,10,No,Yes,0.8,,0.2,15,,2,,2,1,0.2,2,,1,17,15,2,,,1,1,,102.1,1.7,8.5,2.6705,,8.5,7.5,1,2.7062,2.7062,0.1667,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,8,,,,,4,,,,
Brashard Smith,KC,RB,4,No,No,No,4,No,Yes,,0.25,0.25,17,0.5,2,,2,1,0.5,2,,1,26,31,-5,,,1,-2.5,,118.8,6.5,13,6.8414,,13,15.5,1,3.1693,3.1693,0.5,2.6,4.6,3.6,5.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,7,2,1,1,0.5,3.5,,,,
Sean Tucker,TB,RB,5,No,No,No,3,No,Yes,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedrick Wilson,MIA,WR,5,No,Yes,No,2,No,Yes,,1,,10,,1,,1,1,0.5,1,,1,16,13,3,,,1,3,,118.8,8,16,10.5501,,16,13,1,1.3701,1.3701,0.2,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,14,2,2,,,14,,,,
Tank Bigsby,PHI,RB,3,No,No,No,2,No,No,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Cooper,PHI,WR,3,No,No,No,3,No,No,,0.3333,0.6667,13,,,,,,,,,,,,,,,,,,,,,,,,,,3.6655,3.6655,,,,,,,,,,,,,,,,,,,,,,,,
Jack Stoll,NO,TE,3,Yes,No,No,2,No,Yes,,1,,15,,1,,1,1,0.5,1,,1,13,,21,1,,,21,1,158.3,6.5,13,0.0365,,13,,1,3.4345,3.4345,0.3333,7.3,8.3,7.8,8.3,8.8,8.3,7.8,8.3,8.3,8.3,7.8,8.8,8.3,,,,,,,1,1,1,
Russell Gage,SF,WR,2,No,Yes,No,2,No,Yes,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Harris,LAC,WR,11,No,No,No,11,No,No,0.0909,0.2727,0.6364,17,,1,,1,1,0.0909,1,,1,3,2,1,,,,1,,79.2,0.2727,3,-2.1211,,3,2,,1.5754,1.5754,0.0909,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,,,
Luke Schoonmaker,DAL,TE,8,No,No,No,6,No,Yes,0.8333,0.1667,,17,,2,,2,1,0.3333,,,,,,44,,1,,22,2,39.6,,,-12.3314,0.5,,,,5.0583,5.0583,0.25,,,,,,,,,,,,,,,,,,,,1,1,,
Malik Heath,GB,WR,7,No,Yes,No,7,Yes,Yes,,0.4286,0.5714,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Royals,KC,WR,1,No,No,No,1,No,Yes,,,1,7,,1,,1,1,1,1,,1,2,,2,,,,2,,79.2,2,2,-3.3344,,2,,,1.4373,1.4373,1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,,,
Shane Zylstra,DET,TE,2,No,Yes,No,2,Yes,Yes,0.5,,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Homer,CHI,RB,1,No,Yes,No,1,Yes,Yes,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Higgins,HST,WR,31,No,No,Yes,30,No,Yes,,0.1667,0.8333,17,,10,3,10,1,0.3333,7,1,0.7,69,13,95,,1,7,9.5,2,49.6,2.3,6.9,-0.658,0.1,9.8571,1.8571,4,15.1696,15.1696,0.3226,6.9,13.9,10.4,13.9,13.9,13.9,10.4,13.9,13.9,13.9,10.4,13.9,13.9,6,,,,,0.8571,,,,
Skyy Moore,SF,WR,4,No,No,No,4,No,Yes,,0.25,0.75,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,4,Yes,Yes,No,3,No,Yes,0.6667,,,15,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,25,No,No,No,24,Yes,Yes,0.0417,0.3333,0.625,16,,13,4,13,1,0.5417,12,3,0.9231,222,69,156,1,,11,12,4,144.4,9.25,17.0769,8.8692,,18.5,5.75,9,20.5775,20.5775,0.52,28.2,40.2,34.2,40.2,40.2,43.2,37.2,40.2,40.2,40.2,34.2,40.2,40.2,37,1,0.0833,1,0.0769,3.0833,,2,,2
Woody Marks,HST,RB,19,No,No,Yes,15,No,Yes,,,,16,1,2,,2,1,0.1333,1,,0.5,4,4,-3,,1,1,-1.5,,56.3,0.2667,2,-3.9731,0.5,4,4,,3.0765,3.0765,0.1053,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,8,,,1,0.5,8,,,,
James Proche,TEN,WR,2,Yes,Yes,No,1,No,Yes,,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Musgrave,GB,TE,19,No,No,No,17,Yes,Yes,0.5882,0.2941,0.1176,17,,3,,3,1,0.1765,3,,1,38,17,21,,,1,7,1,118.8,2.2353,12.6667,5.0578,,12.6667,5.6667,1,4.3008,4.3008,0.1579,3.8,6.8,5.3,6.8,8.3,6.8,5.3,6.8,6.8,6.8,5.3,8.3,6.8,4,,,,,1.3333,,,,
Aaron Jones,MIN,RB,15,No,No,No,10,No,Yes,,0.1,0.1,12,0.8,3,,3,1,0.3,3,,1,19,20,-1,,,1,-0.3333,,93.1,1.9,6.3333,0.4354,,6.3333,6.6667,,5.7016,5.7016,0.2,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,7,,,1,0.3333,2.3333,,1,,
Luke Farrell,SF,TE,8,No,No,No,4,No,Yes,0.5,0.25,,17,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,HST,WR,14,No,No,Yes,13,No,Yes,,0.5385,0.4615,13,,3,1,3,1,0.2308,2,,0.6667,-7,2,-3,,1,3,-1,,70.1,-0.5385,-2.3333,-7.5313,0.3333,-3.5,1,,7.1269,7.1269,0.2143,-0.7,1.3,0.3,1.3,1.3,1.3,0.3,1.3,1.3,1.3,0.3,1.3,1.3,1,,,2,0.6667,0.5,1,1,,
Jahan Dotson,PHI,WR,18,No,No,No,17,No,No,,0.4118,0.5882,17,,1,,1,1,0.0588,1,,1,6,-1,7,,,1,7,,91.7,0.3529,6,-1.0645,,6,-1,1,1.4781,1.4781,0.0556,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,-1,,,,,-1,,,,
DeVonta Smith,PHI,WR,27,No,No,No,26,No,No,,0.5769,0.4231,17,,11,6,11,1,0.4231,8,3,0.7273,138,33,171,1,1,9,15.5455,3,145.1,5.3077,12.5455,2.785,0.0909,17.25,4.125,6,19.7244,19.7244,0.4074,19.8,27.8,23.8,27.8,27.8,30.8,26.8,27.8,27.8,27.8,23.8,27.8,27.8,5,,,,,0.625,,,,
D'Ernest Johnson,NE,RB,5,No,Yes,No,3,No,Yes,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Johnson,NYG,TE,26,No,Yes,No,20,No,Yes,0.4,0.55,0.05,15,,8,4,8,1,0.4,8,4,1,100,39,69,1,,6,8.625,,158.3,5,12.5,4.3645,,12.5,4.875,6,15.2563,15.2563,0.3077,16,24,20,24,28,27,23,24,24,24,20,28,24,8,,,1,0.125,1,1,1,1,2
Jalen McMillan,TB,WR,5,No,No,No,5,No,Yes,,0.4,0.6,4,,1,,1,1,0.2,,,,,,4,,1,,4,,39.6,,,-6.0498,1,,,,1.3378,1.3378,0.2,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Evans,CAR,TE,3,No,No,No,3,No,Yes,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,18,No,Yes,No,17,Yes,Yes,,0.1176,0.8824,17,,4,,4,1,0.2353,3,,0.75,33,18,21,,,3,5.25,,99,1.9412,8.25,1.3969,,11,6,2,6.0324,6.0324,0.2222,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,3,,,1,0.25,1,,1,,
Tucker Fisk,LAC,TE,2,No,No,No,2,No,Yes,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Felton,MIN,WR,3,No,No,No,2,Yes,Yes,,0.5,0.5,14,,1,,1,1,0.5,1,,1,6,,6,,,1,6,,91.7,3,6,-0.9491,,6,,1,1.3614,1.3614,0.3333,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,
Jimmy Horn,CAR,WR,8,No,No,No,8,No,Yes,,0.875,0.125,13,,3,,3,1,0.375,2,,0.6667,35,7,58,,1,1,19.3333,2,106.3,4.375,11.6667,2.8968,0.3333,17.5,3.5,1,4.7268,4.7268,0.375,3.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,1,,,,,0.5,,,,
Brian Robinson,SF,RB,5,No,No,No,4,No,Yes,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,25,No,No,No,20,No,Yes,,0.2,0.15,11,0.65,5,,5,1,0.25,5,,1,35,29,6,,,1,1.2,,95.8,1.75,7,0.4016,,7,5.8,1,7.5649,7.5649,0.2,3.5,8.5,6,11,8.5,8.5,6,8.5,8.5,8.5,6,8.5,8.5,4,,,,,0.8,,,,
Gunner Olszewski,NYG,WR,1,No,No,No,1,No,Yes,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Saubert,SEA,TE,2,No,No,No,1,No,Yes,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,6,No,No,No,6,No,No,,0.3333,0.6667,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,5,No,No,No,5,No,Yes,,0.2,0.8,4,,1,1,1,1,0.2,1,1,1,16,3,13,,,1,13,,118.8,3.2,16,7.0855,,16,3,1,1.4737,1.4737,0.2,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,3,,,,,3,,,,
James Mitchell,CAR,TE,1,No,No,No,1,No,Yes,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Otton,TB,TE,29,No,No,No,22,No,Yes,0.4091,0.3636,0.2273,16,,5,1,5,1,0.2273,5,1,1,58,21,37,,,2,7.4,,115,2.6364,11.6,3.5778,,11.6,4.2,3,7.4331,7.4331,0.1724,5.8,10.8,8.3,10.8,13.3,10.8,8.3,10.8,10.8,10.8,8.3,13.3,10.8,11,,,,,2.2,,,,
DeMario Douglas,NE,WR,10,No,Yes,No,9,No,Yes,,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Weaver,ARZ,WR,14,No,No,No,14,Yes,Yes,,0.0714,0.9286,9,,1,1,1,1,0.0714,1,1,1,9,-2,11,,,,11,,104.2,0.6429,9,0.6848,,9,-2,,1.6607,1.6607,0.0714,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,,,,,
Taysom Hill,NO,TE,6,No,No,No,6,Yes,Yes,0.3333,0.1667,0.1667,13,0.3333,2,,2,1,0.3333,2,,1,11,13,-2,,,2,-1,,89.6,1.8333,5.5,-0.8532,,5.5,6.5,,3.1149,3.1149,0.3333,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,1,,,1,0.5,0.5,,,,
Colson Yankoff,WAS,TE,2,No,No,No,1,No,No,,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Hill,MIA,TE,11,No,Yes,No,6,No,Yes,1,,,14,,1,,1,1,0.1667,1,,1,19,20,-1,,,1,-1,,118.8,3.1667,19,14.0986,,19,20,1,1.4673,1.4673,0.0909,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,2,,,,,2,,,,
Dameon Pierce,KC,RB,3,No,No,No,2,No,Yes,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,12,No,No,No,6,Yes,Yes,,0.3333,,17,0.6667,2,,2,1,0.3333,1,,0.5,-5,1,-8,,1,,-4,,56.3,-0.8333,-2.5,-8.1437,0.5,-5,1,,3.767,3.767,0.1667,-0.5,0.5,,1,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,1,,,,,1,,1,,
Evan Hull,NO,RB,1,No,No,No,1,Yes,Yes,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,19,No,No,No,15,Yes,Yes,,0.0667,0.0667,16,0.8667,2,,2,1,0.1333,2,,1,15,14,1,,,2,0.5,,97.9,1,7.5,1.0986,,7.5,7,1,3.0471,3.0471,0.1053,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,2,,,,,1,,,,
Trent Sherfield,ARZ,WR,2,No,No,No,2,No,Yes,0.5,,0.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyquan Thornton,KC,WR,4,No,No,No,4,No,Yes,,0.5,0.5,14,,2,,2,1,0.5,1,,0.5,26,2,56,,1,1,28,2,95.8,6.5,13,2.1404,0.5,26,2,,3.6528,3.6528,0.5,2.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,3.6,3.1,3.6,3.6,-3,,,,,-3,,,,
DK Metcalf,PIT,WR,17,Yes,No,No,15,No,Yes,,0.0667,0.9333,15,,3,1,3,1,0.2,2,1,0.6667,21,,29,1,1,3,9.6667,,126.4,1.4,7,-1.0755,0.3333,10.5,,1,8.7933,8.7933,0.1765,8.1,10.1,9.1,10.1,10.1,10.1,9.1,10.1,10.1,10.1,9.1,10.1,10.1,,,,,,,1,1,1,1
Mark Andrews,BLT,TE,25,No,Yes,Yes,22,Yes,Yes,,0.6818,0.3182,17,,7,2,7,1,0.3182,6,2,0.8571,47,9,63,1,1,7,9,,134.2,2.1364,6.7143,-1.6194,0.1429,7.8333,1.5,3,13.6402,13.6402,0.28,10.7,16.7,13.7,16.7,19.7,16.7,13.7,16.7,16.7,16.7,13.7,19.7,16.7,5,,,,,0.8333,1,1,1,
Parker Washington,JAX,WR,21,Yes,Yes,No,20,No,Yes,,0.45,0.55,16,,5,3,5,1,0.25,4,3,0.8,53,3,71,,1,5,14.2,2,110.8,2.65,10.6,1.4324,0.2,13.25,0.75,3,12.3693,12.3693,0.2381,5.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,3,,,,,0.75,,1,,
Travis Hunter,JAX,WR,15,No,No,Yes,15,Yes,Yes,,0.4667,0.4667,7,0.0667,6,1,6,1,0.4,5,,0.8333,73,23,77,,,5,12.8333,2,117.4,4.8667,12.1667,3.0465,,14.6,4.6,3,11.4511,11.4511,0.4,7.3,12.3,9.8,12.3,12.3,12.3,9.8,12.3,12.3,12.3,9.8,12.3,12.3,14,1,0.2,1,0.1667,2.8,1,1,,
Kendre Miller,NO,RB,4,No,No,No,1,No,Yes,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braxton Berrios,HST,WR,2,No,Yes,No,2,Yes,Yes,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,11,No,Yes,Yes,9,Yes,Yes,0.3333,0.5556,0.1111,17,,3,,3,1,0.3333,2,,0.6667,1,8,9,,1,3,3,,70.1,0.1111,0.3333,-7.1309,0.3333,0.5,4,,4.0939,4.0939,0.2727,0.1,2.1,1.1,2.1,3.1,2.1,1.1,2.1,2.1,2.1,1.1,3.1,2.1,4,,,2,0.6667,2,,,,
Harrison Bryant,HST,TE,5,No,No,Yes,4,No,Yes,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,4,No,Yes,Yes,4,Yes,Yes,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,1,No,No,No,1,No,Yes,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josiah Deguara,ARZ,TE,7,No,No,No,7,Yes,Yes,0.5714,0.4286,,12,,1,,1,1,0.1429,1,,1,8,4,4,,,,4,,100,1.1429,8,1.9333,,8,4,1,1.3739,1.3739,0.1429,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,1,,,,,1,,,,
Adam Thielen,PIT,WR,18,No,Yes,Yes,16,Yes,Yes,,0.5625,0.4375,16,,2,,2,1,0.125,1,,0.5,7,2,19,,1,1,9.5,,58.3,0.4375,3.5,-4.5881,0.5,7,2,,3.0609,3.0609,0.1111,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1,,,,,1,,,,
Elijah Higgins,ARZ,TE,24,No,No,No,22,Yes,Yes,0.6364,0.3636,,17,,1,,1,1,0.0455,1,,1,25,25,,,,,,,118.8,1.1364,25,19.711,,25,25,1,1.4656,1.4656,0.0417,2.5,3.5,3,3.5,4,3.5,3,3.5,3.5,3.5,3,4,3.5,4,,,,,4,,,,
Chris Moore,WAS,WR,13,No,No,No,13,No,No,,0.0769,0.9231,14,,1,,1,1,0.0769,,,,,,4,,1,1,4,,39.6,,,-6.0498,1,,,,1.5481,1.5481,0.0769,,,,,,,,,,,,,,,,,,,,,,,
