Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TowThrowPercentage,RunPassOptionPercentage,AttemptsInEndzoneTotal,InterceptionsTotal
Cooper Rush,BLT,QB,2,2,2,1,,,,-0.6321,2,,,,,,,24,,No,No,1,0.5,0.4053,0.2973,No,,,,,1,0.5,1.75,1.6,12,39.6,Yes,Yes,,,,,,,,,,,,,,,4,,,,
Davis Mills,HST,QB,2,2,2,1,1,0.5,0.5,-0.1078,2,,,19,9.5,0.1579,9.5,28,,No,No,,,0.4226,-0.2113,No,,,,,1,1,1.8,,14,83.3,No,No,1,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,6,,,1,
Riley Leonard,IND,QB,2,2,2,1,,,,-0.484,2,,,,,,,45,,No,No,,,0.6468,-0.3234,Yes,,1,0.5,0.5,1,1,2.45,,22.5,39.6,Yes,Yes,,,,,,,,,,,,,,,5,,,1,
Lamar Jackson,BLT,QB,1,1,1,1,1,1,1,0.3869,1,,,15,15,0.0667,15,14,,No,No,,,0.2803,-0.2803,No,,,,,1,1,2.2,,14,118.8,No,No,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,13,,,,
Mac Jones,SF,QB,4,4,4,1,2,0.5,0.5,-0.0081,4,,,35,8.75,0.0571,13.75,79,1,No,No,,,1.2075,-0.3019,No,,2,0.5,0.5,1,0.75,2.325,,19.75,119.8,No,No,2,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.75,5.75,11,,,2,
Russell Wilson,NYG,QB,2,2,2,0.5,1,0.5,0.5,-0.0653,2,,,21,10.5,0.1429,10.5,35,,No,No,1,0.5,0.4571,0.2715,No,0.5,,,,1,,1.9,1.6,17.5,87.5,No,No,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,6,,,,
Kirk Cousins,ATL,QB,4,4,4,0.5,,,,-0.4976,4,,,,,,,83,,No,No,,,1.1557,-0.2889,No,0.5,2,0.5,0.25,1,0.5,2.25,,20.75,39.6,No,No,,,,,,,,,,,,,,,10,,,,
Joe Burrow,CIN,QB,7,7,7,1,4,0.5714,0.5714,0.0466,7,,,61,8.7143,0.0492,17.2857,133,3,No,No,1,0.1429,1.9621,-0.1374,No,,3,0.4286,0.4286,0.8571,1,2.2,2,19,125.6,Yes,Yes,4,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,14.44,15.05,15.05,8,,,4,
Trevor Lawrence,JAX,QB,9,9,9,0.6667,3,0.3333,0.3333,-0.1999,9,,,47,5.2222,0.1489,7.4444,169,1,No,No,,,2.7125,-0.3014,No,0.1111,3,0.3333,0.2222,0.8889,0.4444,2.3222,,18.7778,88.7,No,No,3,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,6.35,6.35,17,,,1,
Bo Nix,DEN,QB,9,9,9,0.7778,5,0.5556,0.6667,0.086,9,34,0.1111,95,10.5556,0.2105,5.5556,143,,No,No,3,0.3333,2.6952,0.0339,No,0.2222,2,0.2222,0.2222,0.8889,0.6667,2.3111,2,15.8889,52.8,No,No,5,2.8,2.8,2.8,2.8,2.8,2.8,2.8,1.8,1.8,1.8,1.8,3.75,2.75,17,0.1111,0.1111,,1
Jayden Daniels,WAS,QB,3,3,3,0.6667,1,0.3333,0.3333,-0.1274,3,,,13,4.3333,0.3077,4.3333,66,,No,No,1,0.3333,1.1514,-0.0505,No,0.3333,2,0.6667,,1,0.3333,2.8,2.4,22,47.9,No,No,1,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,7,,,,
Philip Rivers,IND,QB,3,3,3,0.6667,1,0.3333,0.3333,-0.2291,3,,,16,5.3333,0.0625,5.3333,47,,No,No,,,1.0479,-0.3493,No,0.3333,1,0.3333,,1,0.3333,2.6,,15.6667,52.1,No,No,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,3,,,,
Andy Dalton,CAR,QB,1,1,1,1,,,,-0.5704,1,,,,,,,16,,No,No,,,0.2458,-0.2458,No,,,,,1,,2,,16,39.6,Yes,Yes,,,,,,,,,,,,,,,4,,,1,
Sam Darnold,SEA,QB,4,4,4,0.5,1,0.25,0.25,-0.2642,4,,,22,5.5,0.2273,5.5,76,,No,No,,,1.1557,-0.2889,No,0.25,2,0.5,,1,0.5,2.25,,19,50,No,No,1,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,17,,,,
Kyler Murray,ARZ,QB,3,3,3,1,3,1,1,0.4093,3,,,54,18,0.0926,18,49,,Yes,No,,,0.6512,-0.217,Yes,,,,,1,1,1.8333,,16.3333,118.8,No,Yes,3,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.7,2.7,5,,,,
Jared Goff,DET,QB,5,5,5,0.6,3,0.6,0.6,0.0186,5,,,58,11.6,0.1724,23.6,80,3,No,No,,,1.2462,-0.2492,No,0.4,1,0.2,0.2,1,0.4,2.02,,16,140,No,No,3,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.9,14.9,17,,,3,
Cam Ward,TEN,QB,4,4,4,0.25,1,0.25,0.25,-0.3359,4,,,16,4,0.3125,4,61,,No,No,,,0.9315,-0.2329,No,0.5,,,,1,0.25,1.925,,15.25,43.8,No,No,1,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,17,,,,
Jake Browning,CIN,QB,2,2,2,,,,,-0.5356,2,,,,,,,37,,No,No,,,0.4916,-0.2458,No,1,1,0.5,,1,,2,,18.5,39.6,No,No,,,,,,,,,,,,,,,5,,,,
Tanner McKee,PHI,QB,2,2,2,0.5,1,0.5,0.5,0.0271,2,,,27,13.5,0.1481,13.5,41,,No,No,,,0.6814,-0.3407,No,0.5,1,0.5,,1,0.5,2.55,,20.5,95.8,No,No,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,4,,,,
Jacoby Brissett,ARZ,QB,11,11,11,0.7273,7,0.6364,0.7273,0.1206,11,14,0.0909,109,9.9091,0.0367,17.1818,159,4,No,No,,,2.7728,-0.2521,No,0.2727,2,0.1818,0.1818,1,0.4545,2.0364,,14.4545,136,Yes,Yes,7,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,21.45,21.45,14,,,6,
Joe Flacco,CIN,QB,5,5,5,0.4,1,0.2,0.2,-0.3384,5,,,26,5.2,0.0769,5.2,89,,No,No,2,0.4,1.6085,0.0783,No,0.6,2,0.4,0.2,1,0.2,2.44,2.1,17.8,48.8,No,No,1,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.3,1.3,13,0.2,,,
Daniel Jones,IND,QB,2,2,2,1,1,0.5,0.5,0.0028,2,,,15,7.5,,7.5,40,,No,No,1,0.5,0.8021,0.0989,No,,1,0.5,,1,0.5,2.9,2.8,20,75,No,No,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,13,,,,
C.J. Stroud,HST,QB,4,4,4,0.75,2,0.5,0.5,-0.1111,4,,,26,6.5,-0.0385,11.5,57,1,No,Yes,1,0.25,1.6732,-0.1683,No,,,,,0.75,0.25,3,3.6,14.25,110.4,No,Yes,2,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.3,5.3,14,,,1,
Brock Purdy,SF,QB,2,2,2,1,1,0.5,0.5,0.0761,2,,,31,15.5,0.0645,15.5,49,,No,No,1,0.5,0.6814,0.1593,No,,2,1,,1,,2.55,2.6,24.5,95.8,No,No,1,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.55,1.55,9,,,,
Justin Fields,NYJ,QB,1,1,1,1,,,1,0.4296,1,16,1,,,,,16,,No,Yes,1,1,0.3148,0.6852,Yes,,,,,1,,2.4,2.3,16,39.6,No,Yes,,,,,,,,,,,,,,,9,,,,
Caleb Williams,CHI,QB,2,2,2,1,1,0.5,0.5,-0.1034,2,,,58,29,0.7241,39,27,1,No,No,,,0.6296,-0.3148,No,,,,0.5,1,0.5,2.4,,13.5,135.4,No,No,1,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.9,6.9,17,,,,
Marcus Mariota,WAS,QB,3,3,3,1,1,0.3333,0.3333,-0.206,3,,,24,8,,14.6667,52,1,No,No,2,0.6667,1.4791,0.1736,No,,1,0.3333,0.3333,0.6667,0.6667,3.4333,2.7,17.3333,102.8,No,No,1,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,5.2,5.2,11,,,1,
Tyler Huntley,BLT,QB,3,3,3,0.6667,2,0.6667,0.6667,0.1159,3,,,30,10,0.1,10,54,,No,No,1,0.3333,0.8236,0.0588,No,0.3333,1,0.3333,0.3333,1,0.3333,2.1667,2.4,18,99.3,No,No,2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,5,,,,
Drake Maye,NE,QB,7,7,7,0.8571,5,0.7143,0.7143,0.2219,7,,,108,15.4286,0.0833,15.4286,143,,No,No,3,0.4286,2.5486,0.0645,No,0.1429,3,0.4286,0.2857,0.8571,0.5714,2.6857,2.7,20.4286,113.7,No,No,4,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,5.4,5.4,17,,,,
Geno Smith,LV,QB,8,8,8,0.75,3,0.375,0.375,-0.2517,8,,,32,4,0.0312,9,106,2,No,No,4,0.5,2.5184,0.1852,Yes,0.25,2,0.25,0.125,0.875,0.625,2.4,1.9,13.25,89.6,Yes,Yes,3,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.28,9.6,9.6,15,,,4,
Justin Herbert,LAC,QB,6,6,6,0.6667,3,0.5,0.5,0.0572,6,,,69,11.5,0.1014,11.5,138,,No,No,4,0.6667,2.7513,0.2081,No,0.3333,6,1,0.3333,0.6667,0.3333,3.2333,2.425,23,91.7,No,No,3,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,3.45,3.45,16,,,,
J.J. McCarthy,MIN,QB,4,4,4,0.75,3,0.75,0.75,0.2102,4,,,54,13.5,0.0556,18.5,73,1,No,No,1,0.25,1.794,-0.1985,No,0.25,1,0.25,0.5,0.75,0.5,3.175,3.3,18.25,156.3,No,No,3,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.7,6.7,10,,,1,
Patrick Mahomes,KC,QB,3,3,3,0.6667,1,0.3333,0.3333,-0.2847,3,,,3,1,,7.6667,39,1,No,No,,,0.9271,-0.309,No,0.3333,1,0.3333,,1,0.3333,2.3667,,13,81.9,No,No,1,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.15,4.15,14,,,1,
Matthew Stafford,LA,QB,5,5,5,0.8,4,0.8,0.8,0.1675,5,,,69,13.8,0.1884,17.8,66,1,No,No,2,0.4,1.2117,0.1577,No,0.2,1,0.2,0.2,1,0.6,1.98,2.1,13.2,158.3,No,No,4,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,7.45,7.45,17,,0.2,2,
Jaxson Dart,NYG,QB,5,5,5,0.4,2,0.4,0.4,-0.1116,5,,,49,9.8,0.1429,13.8,94,1,Yes,No,2,0.4,1.5223,0.0955,No,0.4,3,0.6,0.2,1,0.2,2.34,2.75,18.8,115.8,No,No,2,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,6.45,6.45,14,,0.2,2,
Brady Cook,NYJ,QB,1,1,1,,,,,-0.4661,1,,,,,,,22,,No,No,,,0.2975,-0.2975,No,1,1,1,,1,,2.3,,22,39.6,No,No,,,,,,,,,,,,,,,5,,,,
Bryce Young,CAR,QB,4,4,4,0.5,2,0.5,0.5,-0.206,4,,,30,7.5,0.6667,7.5,33,,No,No,,,1.2765,-0.3191,No,0.5,,,,0.75,,2.425,,8.25,75,No,No,2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,16,,,,
Jordan Love,GB,QB,4,4,4,0.75,2,0.5,0.5,0.022,4,,,41,10.25,0.0976,15.25,88,1,No,No,,,1.1557,-0.2889,No,0.25,2,0.5,0.25,0.75,0.5,2.25,,22,126,No,No,2,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,6.05,6.05,15,,,1,
Baker Mayfield,TB,QB,7,7,7,0.4286,2,0.2857,0.2857,-0.2985,7,,,34,4.8571,0.1765,4.8571,110,,No,No,1,0.1429,1.7378,-0.1054,No,0.5714,2,0.2857,,1,0.2857,2.0143,2.1,15.7143,47.3,No,No,2,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.7,1.7,17,0.1429,,2,
Aaron Rodgers,PIT,QB,11,11,11,0.7273,3,0.2727,0.2727,-0.3244,11,,,58,5.2727,0.1207,5.2727,168,,No,No,,,2.3761,-0.216,No,0.2727,3,0.2727,0.1818,1,0.4545,1.8273,,15.2727,49.1,No,No,3,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.9,2.9,16,,0.1818,2,
Mason Rudolph,PIT,QB,1,1,1,,,,,-0.4896,1,,,,,,,20,,No,No,,,0.3493,-0.3493,No,1,1,1,,1,,2.6,,20,39.6,No,No,,,,,,,,,,,,,,,5,,,,
Carson Wentz,MIN,QB,7,7,7,0.5714,3,0.4286,0.4286,-0.142,7,,,55,7.8571,0.2545,10.7143,119,1,No,No,1,0.1429,1.5826,-0.0832,No,0.4286,1,0.1429,,0.8571,0.4286,1.8857,1.8,17,110.1,No,No,3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.75,6.75,5,,,1,
