Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,YardsAfterCatchPercentage,TowThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AttemptsInEndzoneTotal,TouchdownsTotal,InterceptionsTotal,RunPassOptionPercentage,HeroThrowPercentage
Jayden Daniels,WAS,QB,65,65,65,0.8308,40,0.6154,0.7812,0.0511,65,494,7.6,8.4462,525,No,No,16,0.2462,20.2895,-0.066,No,0.1692,3,0.0462,0.7077,2.3846,2.3687,8.3077,104.3,No,No,26,38.76,38.76,38.76,38.76,38.76,41.76,41.76,37.76,37.76,37.76,37.76,43.7,42.7,7,113,0.1538,0.4231,0.0308,0.5231,4,5,1,,0.0462
Joshua Dobbs,NE,QB,4,4,4,0.75,3,0.75,0.75,0.005,4,15,3.75,3.75,29,Yes,No,1,0.25,1.8802,-0.22,Yes,0.25,,,0.75,3.3,2.4,7.25,80.2,No,Yes,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,4,,,,,0.5,,,,,
Mac Jones,SF,QB,151,151,151,0.8543,118,0.7815,0.82,0.0607,151,1284,8.5033,8.8013,1035,No,No,31,0.2053,43.6363,-0.0837,No,0.1258,2,0.0132,0.8146,2.2503,2.3,6.8742,113.7,No,No,69,84.36,84.36,84.36,84.36,84.36,87.36,87.36,81.36,81.36,81.36,81.36,97.2,94.2,11,10,0.0331,0.3902,0.0132,0.6821,6,9,3,,0.0265
Kirk Cousins,ATL,QB,109,109,109,0.8165,71,0.6514,0.7248,-0.0,109,744,6.8257,6.9633,919,Yes,No,32,0.2936,35.5725,-0.0328,Yes,0.1835,7,0.0642,0.7431,2.467,2.3156,8.4312,90.2,No,Yes,44,40.76,40.76,40.76,40.76,40.76,43.76,43.76,39.76,39.76,39.76,39.76,48.2,47.2,10,75,0.0734,0.3925,0.0183,0.633,5,3,1,,0.0092
Joe Burrow,CIN,QB,111,111,111,0.8378,79,0.7117,0.7838,0.0378,111,794,7.1532,7.7838,800,No,No,33,0.2973,41.0148,-0.0722,No,0.1532,4,0.036,0.7477,2.7171,2.4848,7.2072,107.7,No,Yes,52,61.76,61.76,61.76,61.76,61.76,64.76,64.76,59.76,59.76,59.76,59.76,69.7,67.7,8,54,0.0721,0.3665,0.018,0.6486,7,8,2,0.009,0.027
Philip Rivers,IND,QB,40,40,40,0.8,26,0.65,0.7,-0.0199,40,270,6.75,7.125,352,No,No,7,0.175,12.523,-0.1381,No,0.2,2,0.05,0.9,2.39,2.4429,8.8,99,No,Yes,17,21.8,21.8,21.8,21.8,21.8,21.8,21.8,20.8,20.8,20.8,20.8,24.5,23.5,3,12,0.05,0.3111,0.05,0.55,2,3,1,0.025,0.05
Russell Wilson,NYG,QB,23,23,23,0.8261,16,0.6957,0.7826,-0.001,23,211,9.1739,9.1739,124,Yes,No,4,0.1739,6.4296,-0.1056,Yes,0.1739,,,0.8696,2.1957,2.375,5.3913,98.3,No,Yes,10,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,10.55,10.55,6,12,0.087,0.6066,,0.6087,1,,,0.0435,
Joe Flacco,CIN,QB,161,161,161,0.8075,107,0.6646,0.7205,-0.019,161,1219,7.5714,8.3168,1226,No,No,38,0.236,52.7183,-0.0914,No,0.1739,5,0.0311,0.8075,2.4733,2.6289,7.6149,101.4,No,No,73,72.76,72.76,72.76,72.76,72.76,75.76,75.76,72.76,72.76,72.76,72.76,84.95,84.95,13,74,0.0559,0.4102,0.0186,0.6335,8,6,,0.0124,0.0062
Daniel Jones,IND,QB,183,183,183,0.847,133,0.7268,0.7705,0.0245,183,1449,7.918,8.2459,1355,No,No,50,0.2732,59.9716,-0.0545,Yes,0.153,5,0.0273,0.8743,2.4749,2.342,7.4044,108.4,No,Yes,79,101.96,101.96,101.96,101.96,101.96,104.96,104.96,97.96,97.96,97.96,97.96,116.45,112.45,13,43,0.0437,0.4237,0.0492,0.5902,9,12,4,0.0383,0.0273
Kyle Allen,DET,QB,1,1,1,1,,,,-0.8798,1,,,,1,Yes,No,,,0.1768,-0.1768,No,,,,1,1.6,,1,39.6,Yes,Yes,,,,,,,,,,,,,,,3,,,,,,,,,,
C.J. Stroud,HST,QB,212,212,212,0.8066,157,0.7406,0.7583,0.0064,212,1795,8.467,8.9623,1519,No,No,55,0.2594,70.3428,-0.0724,No,0.1887,7,0.033,0.7972,2.4986,2.2764,7.2217,112,No,Yes,99,116.8,116.8,116.8,116.8,116.8,119.8,119.8,113.8,113.8,113.8,113.8,134.75,131.75,14,49,0.0142,0.4574,0.0189,0.6132,11,12,3,0.0236,0.0236
Jacoby Brissett,ARZ,QB,192,192,192,0.8177,144,0.75,0.7708,0.0335,192,1682,8.7604,9.1771,1536,No,No,48,0.25,65.7028,-0.0922,No,0.1615,13,0.0677,0.7604,2.5589,2.4396,8,115,No,Yes,83,115.28,115.28,115.28,115.28,115.28,118.28,118.28,111.28,111.28,111.28,111.28,132.1,128.1,14,24,0.0208,0.4102,0.0208,0.6406,15,13,4,0.0104,0.0208
Jared Goff,DET,QB,276,276,276,0.8551,209,0.7572,0.8364,0.0942,276,2714,9.8333,11.1377,2123,Yes,Yes,65,0.2355,90.4556,-0.0922,Yes,0.1304,8,0.029,0.8043,2.475,2.5877,7.7464,127.9,No,Yes,139,180.56,180.56,180.56,180.56,180.56,183.56,183.56,180.56,180.56,180.56,180.56,207.7,207.7,17,171,0.0761,0.4602,0.0036,0.7029,11,18,,0.0072,0.0072
Kyler Murray,ARZ,QB,57,57,57,0.8246,40,0.7018,0.7895,0.0215,57,335,5.8772,5.7018,369,No,No,12,0.2105,18.1334,-0.1076,No,0.1579,2,0.0351,0.7544,2.4193,2.0917,6.4737,93.8,No,No,23,27.4,27.4,27.4,27.4,27.4,30.4,30.4,25.4,25.4,25.4,25.4,30.75,28.75,5,42,0.0877,0.4567,0.0175,0.5263,4,4,2,,
Cam Ward,TEN,QB,197,197,197,0.7716,130,0.6599,0.736,0.0061,197,1353,6.868,7.7563,1561,Yes,Yes,51,0.2589,75.5741,-0.1247,Yes,0.2284,8,0.0406,0.6751,2.799,2.5471,7.9239,102.2,No,Yes,82,97.12,97.12,97.12,97.12,97.12,100.12,100.12,96.12,96.12,96.12,96.12,110.65,109.65,17,136,0.0761,0.3858,0.0406,0.533,8,11,1,0.0203,0.0203
Tanner McKee,PHI,QB,17,17,17,0.6471,10,0.5882,0.6471,-0.0606,17,103,6.0588,6.0588,152,No,Yes,4,0.2353,6.1106,-0.1242,No,0.3529,,,0.6471,2.6588,2.65,8.9412,76.3,No,Yes,7,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,5.15,5.15,4,3,0.0588,0.1942,,0.5882,1,,,,
