Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,OffTargetThrowAttemptsPercentage,RunPassOptionPercentage,InterceptionsTotal,TowThrowPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Tyler Huntley,BLT,QB,2,2,2,1,2,1,1,0.0638,2,,,-1,-0.5,-8,-0.5,-9,No,No,1,0.5,0.5606,0.2197,No,0.5,0.5,1,2.2,2.6,-4.5,79.2,No,No,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,5,,,,,,,
Justin Herbert,LAC,QB,18,18,18,0.8889,16,0.8889,0.8889,-0.0446,18,,,87,4.8333,1.7356,4.8333,-67,No,No,4,0.2222,4.8384,-0.0466,No,0.3889,0.5556,0.7778,2.1333,2.175,-3.7222,86.8,No,Yes,3,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,4.35,4.35,16,,0.1111,,,,,
Drake Maye,NE,QB,19,19,19,0.8421,16,0.8421,0.8421,-0.0872,19,,,104,5.4737,1.5288,5.4737,-59,No,No,3,0.1579,6.171,-0.1669,No,0.3158,0.6842,0.7368,2.4579,2.4333,-3.1053,89.5,No,No,3,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,5.2,5.2,17,,0.1579,,,,,
Matthew Stafford,LA,QB,7,7,7,0.7143,4,0.5714,0.7143,-0.221,7,-5,0.1429,11,1.5714,1.9091,1.5714,-20,Yes,No,3,0.4286,2.8074,0.0275,No,0.1429,0.5714,0.4286,2.9,3,-2.8571,62.2,No,Yes,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,17,,0.2857,,,,,
Geno Smith,LV,QB,25,25,25,0.88,21,0.84,0.84,-0.08,25,,,94,3.76,2.1489,3.76,-100,No,No,8,0.32,10.0953,-0.0838,No,0.04,0.84,0.6,2.916,2.5375,-4,82.3,No,No,4,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,4.7,4.7,15,,0.12,,,,,
Patrick Mahomes,KC,QB,27,27,27,0.8889,22,0.8148,0.8889,-0.0367,27,-2,0.0741,131,4.8519,1.4809,4.8519,-64,No,No,4,0.1481,8.6204,-0.1711,No,0.4074,0.4444,0.7407,2.4259,2.6,-2.3704,86.9,No,No,7,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,6.55,6.55,14,,0.1111,0.2222,,,,
J.J. McCarthy,MIN,QB,6,6,6,1,6,1,1,0.0643,6,,,37,6.1667,1.8108,6.1667,-30,No,No,,,2.1648,-0.3608,No,0.5,0.5,1,2.6667,,-5,92.4,No,Yes,2,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.85,1.85,10,,,,,,,
Zach Wilson,MIA,QB,2,2,2,1,2,1,1,0.0607,2,,,-1,-0.5,-7,-0.5,-8,No,No,,,0.3191,-0.1595,No,1,,1,1.5,,-4,79.2,No,No,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,4,,,,,,,
Aidan O'Connell,LV,QB,2,2,2,0.5,1,0.5,0.5,-0.4342,2,,,6,3,1.8333,3,-11,Yes,No,,,0.9574,-0.4787,No,,1,0.5,3.35,,-5.5,56.3,No,Yes,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,1,,0.5,,,,,
Justin Fields,NYJ,QB,4,4,4,1,4,1,1,0.0778,4,,,20,5,1.7,5,-14,No,No,1,0.25,0.966,0.0085,No,0.75,0.25,1,1.975,1.4,-3.5,87.5,No,No,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,9,,,,,,,
Dillon Gabriel,CLV,QB,7,7,7,0.8571,6,0.8571,0.8571,-0.0688,7,,,11,1.5714,2.6364,1.5714,-18,No,No,2,0.2857,2.7384,-0.1055,No,0.1429,0.8571,0.5714,2.8429,2.7,-2.5714,79.2,No,No,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,10,,0.1429,,,0.1429,,
Brock Purdy,SF,QB,3,3,3,0.6667,2,0.6667,0.6667,-0.2658,3,,,5,1.6667,3,1.6667,-11,No,No,1,0.3333,1.3412,-0.1137,No,,0.6667,0.6667,3.1667,2.2,-3.6667,70.1,No,No,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,9,,0.3333,,,,,
Gardner Minshew,KC,QB,1,1,1,1,1,1,1,0.0628,1,,,6,6,1.8333,6,-5,No,No,,,0.1768,-0.1768,No,1,,,1.6,,-5,91.7,No,Yes,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,4,,,,,,,
Tua Tagovailoa,MIA,QB,31,31,31,0.9032,25,0.8065,0.871,-0.0585,31,-12,0.0645,137,4.4194,1.6642,5.0645,-120,Yes,No,9,0.2903,10.4833,-0.0478,No,0.2258,0.5806,0.8387,2.5355,2.6222,-3.871,95.8,No,Yes,7,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,10.85,10.85,14,1,0.0968,0.0323,,0.0323,,
Caleb Williams,CHI,QB,17,17,17,0.8235,12,0.7059,0.8235,-0.0892,17,-8,0.1176,84,4.9412,1.1667,4.9412,-34,No,No,9,0.5294,7.5941,0.0827,No,0.2941,0.4706,0.7059,3.1647,2.4444,-2,81.5,No,No,4,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,4.2,4.2,17,,0.1765,,,,,
Jared Goff,DET,QB,23,23,23,0.9565,22,0.9565,0.9565,0.0187,23,,,132,5.7391,1.7803,5.7391,-107,No,No,2,0.087,6.8091,-0.2091,No,0.4783,0.3913,0.7826,2.2913,2.45,-4.6522,90.6,No,No,7,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,6.6,6.6,17,,0.0435,,,,,
Cam Ward,TEN,QB,23,23,23,0.913,19,0.8261,0.913,-0.0203,23,-12,0.087,77,3.3478,2.1039,1.3913,-104,No,No,10,0.4348,8.5514,0.063,No,0.2609,0.7391,0.7826,2.7304,2.36,-4.5217,62.5,No,No,3,2.08,2.08,2.08,2.08,2.08,2.08,2.08,1.08,1.08,1.08,1.08,2.85,1.85,17,,0.087,0.1304,1,0.0435,,
Kyler Murray,ARZ,QB,7,7,7,1,7,1,1,0.1265,7,,,28,4,1.2143,4,-6,No,No,2,0.2857,2.6349,-0.0907,No,0.1429,0.7143,1,2.7571,2.7,-0.8571,83.3,No,No,2,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,5,,,,,,1,0.1429
Tanner McKee,PHI,QB,1,1,1,1,1,1,1,0.0576,1,,,12,12,1.3333,12,-4,No,No,,,0.0906,-0.0906,No,1,,1,1.1,,-4,116.7,No,Yes,1,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,4,,,,,,,
Josh Johnson,WAS,QB,2,2,2,1,2,1,1,0.0582,2,,,22,11,1.3182,11,-7,Yes,No,,,0.5606,-0.2803,No,0.5,0.5,0.5,2.2,,-3.5,112.5,No,Yes,2,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,5,,,0.5,,,,
Jake Browning,CIN,QB,4,4,4,0.75,3,0.75,0.75,-0.159,4,,,6,1.5,2.1667,1.5,-9,No,No,3,0.75,1.9665,0.2584,No,,1,0.75,3.425,2.5,-2.25,77.1,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,5,,0.25,,,,,
Joe Flacco,CIN,QB,20,20,20,0.9,18,0.9,0.9,-0.0343,20,,,41,2.05,3.0976,-0.2,-91,No,No,7,0.35,7.4173,-0.0209,No,0.1,0.8,0.85,2.725,2.4857,-4.55,58.3,No,No,2,0.64,0.64,0.64,0.64,0.64,0.64,0.64,-0.36,-0.36,-0.36,-0.36,1.05,0.05,13,,0.1,,1,0.05,,
Daniel Jones,IND,QB,12,12,12,0.8333,9,0.75,0.8333,-0.0895,12,-2,0.0833,66,5.5,1.4394,7.1667,-36,No,No,4,0.3333,3.9328,0.0056,No,0.5833,0.4167,0.75,2.475,2.375,-3,115.3,No,No,3,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,7.3,7.3,13,1,0.0833,0.0833,,,,
C.J. Stroud,HST,QB,15,15,15,0.9333,13,0.8667,0.9333,-0.0003,15,-5,0.0667,33,2.2,2.7273,2.2,-64,No,No,6,0.4,5.0325,0.0645,No,0.4,0.6,0.7333,2.52,2.3833,-4.2667,79.2,No,No,1,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.65,1.65,14,,0.0667,,,,,
Jacoby Brissett,ARZ,QB,13,13,13,0.9231,10,0.7692,1,0.0691,13,-9,0.1538,61,4.6923,1.7049,4.6923,-52,No,No,6,0.4615,4.6444,0.1043,No,0.1538,0.7692,0.6923,2.6462,2.5333,-4.4615,85.7,No,Yes,4,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,3.05,3.05,14,,,,,,,
