Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,InterceptionsTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,TowThrowPercentage,AttemptsInEndzoneTotal,HeroThrowPercentage
Shedeur Sanders,CLV,QB,35,35,35,0.8,22,0.6286,0.7143,-0.0644,35,165,4.7143,0.3576,3.4286,207,No,No,13.0708,-0.1163,No,0.6286,2.74,5.9143,62.2,No,No,5.6,5.6,5.6,5.6,5.6,5.6,5.6,4.6,4.6,4.6,4.6,7.25,6.25,8,,9,0.2571,0.2,0.7143,2.6111,5,1,,,20,0.0857,,0.0571,,
Clayton Tune,GB,QB,3,3,3,1,,,0.6667,-0.1541,3,,,,-15,14,No,No,0.6512,0.1163,No,1,1.8333,4.6667,,Yes,Yes,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,2,,1,0.3333,,1,1.7,,1,,,10,0.6667,,,,
Jameis Winston,NYG,QB,9,9,9,0.7778,5,0.5556,0.6667,-0.0594,9,35,3.8889,0.0571,3.8889,77,No,No,2.4364,-0.2707,No,1,2.1444,8.5556,64.6,No,No,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,3,,,,0.1111,0.5556,,1,,1,0.1111,3,0.1111,,,,
Brady Cook,NYJ,QB,30,30,30,0.8333,21,0.7,0.7667,0.0087,30,166,5.5333,0.1867,5.5333,209,No,No,10.1858,-0.1062,No,0.7667,2.5433,6.9667,83.5,No,Yes,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,8.3,8.3,5,,7,0.2333,0.1333,0.5667,2.6714,6,,,,9,0.0667,,0.0333,,
Jaxson Dart,NYG,QB,63,63,63,0.9048,51,0.8095,0.873,0.1122,63,445,7.0635,0.4719,6.9841,347,No,No,21.8162,-0.0923,No,0.6349,2.5825,5.5079,100.1,Yes,Yes,24.8,24.8,24.8,24.8,24.8,27.8,27.8,23.8,23.8,23.8,23.8,29.25,28.25,14,2,16,0.254,0.0794,0.7302,2.35,17,1,1,0.0159,22,0.0635,0.0159,0.0159,1,
Mitchell Trubisky,BUF,QB,4,4,4,0.75,3,0.75,0.75,-0.0533,4,25,6.25,0.52,6.25,19,No,No,1.035,-0.2587,No,0.75,2.075,4.75,90.6,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,4,,,,0.25,0.75,,1,,,,,,,,,
Bryce Young,CAR,QB,80,80,80,0.8875,63,0.7875,0.8481,0.0727,80,480,6,0.3083,6.75,491,No,No,26.9953,-0.0624,No,0.6625,2.5312,6.35,104.2,No,Yes,31.2,31.2,31.2,31.2,31.2,34.2,34.2,31.2,31.2,31.2,31.2,36,36,16,3,22,0.275,0.075,0.6625,2.3682,23,,,,35,0.05,0.0125,,4,0.0125
Jordan Love,GB,QB,68,68,68,0.8824,50,0.7353,0.8235,0.0735,68,481,7.0735,0.3306,7.3676,508,Yes,No,24.3734,-0.079,No,0.6618,2.6529,7.4706,97.7,No,Yes,23.24,23.24,23.24,23.24,23.24,26.24,26.24,23.24,23.24,23.24,23.24,28.05,28.05,15,1,19,0.2794,0.1176,0.6765,2.5,25,,,,45,0.0882,0.0294,0.0147,2,
Aaron Rodgers,PIT,QB,66,66,66,0.9242,52,0.7879,0.8333,0.044,66,503,7.6212,0.4712,7.5455,373,No,No,20.242,-0.1249,Yes,0.6061,2.353,5.6515,102.2,No,No,27.12,27.12,27.12,27.12,27.12,30.12,30.12,26.12,26.12,26.12,26.12,32.15,31.15,16,2,12,0.1818,0.0606,0.7273,2.5417,19,1,2,0.0303,16,0.0455,0.0455,,2,
Mason Rudolph,PIT,QB,9,9,9,0.7778,7,0.7778,0.7778,-0.0509,9,60,6.6667,0.5667,6.6667,35,No,Yes,3.7302,-0.1922,No,0.5556,2.9778,3.8889,94.4,No,No,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3,3,5,,2,0.2222,0.2222,0.7778,3.15,2,,,,,,,,,
