Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,YardsAfterCatchPercentage,playerStatsFirstDownsPassing,TouchdownsTotal,PressuredTotal,PressuredPercentage,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,AverageTimeToPressure,DropsYardsLost,DropsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,InterceptionsTotal
Riley Leonard,IND,QB,2,2,2,1,2,1,1,0.092,2,18,9,9,-7,No,No,0.4571,-0.2286,No,1,1,1.9,-3.5,104.2,No,Yes,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,5,1.3889,1,,,,,,,,,,,,
Davis Mills,HST,QB,4,4,4,1,4,1,1,0.0579,4,30,7.5,7.5,-15,No,No,0.621,0.0948,No,1,1,1.475,-3.75,97.9,No,No,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,6,1.5,,,1,0.25,0.25,,1.8,,,,,,
Josh Allen,BUF,QB,38,38,38,0.9211,32,0.8421,0.8947,-0.045,38,248,6.5263,7.5789,-141,No,No,3.9929,-0.0788,No,1,0.7632,1.1842,-3.7105,111.4,No,No,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,17.92,20.4,20.4,17,1.4798,10,2,1,0.0263,0.0526,0.0789,1.5,-7,0.0526,,,,
Max Brosmer,MIN,QB,10,10,10,1,9,0.9,1,0.0647,10,46,4.6,4.6,-48,No,No,1.7163,0.0284,Yes,1,0.7,1.57,-4.8,85.8,No,Yes,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,2.3,2.3,7,1.8913,3,,2,0.2,0.1,,1.5,-7,0.1,,,,
Michael Penix,ATL,QB,17,17,17,0.9412,14,0.8235,0.9412,0.0596,17,57,3.3529,4.5294,-80,No,No,2.8159,-0.1068,No,1,0.7647,1.5353,-4.7059,100.2,No,No,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.85,6.85,9,2.1579,3,1,1,0.0588,0.2353,0.0588,2,-9,0.1176,,,,
Tyrod Taylor,NYJ,QB,6,6,6,1,5,0.8333,1,0.0612,6,14,2.3333,2.3333,-28,No,No,0.9918,-0.1653,No,1,0.6667,1.5333,-4.6667,79.2,No,No,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.7,0.7,6,2.6429,,,,,0.1667,,,-5,0.1667,,,,
Shedeur Sanders,CLV,QB,19,19,19,0.8421,15,0.7895,0.8333,-0.1013,19,165,8.6842,8.6842,-62,No,Yes,5.6189,0.0727,No,1,0.7368,2.2895,-3.5789,102.9,No,No,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,8.25,8.25,8,1.3273,6,,7,0.3684,,0.0526,2.0571,,,,,,
Jameis Winston,NYG,QB,4,4,4,1,4,1,1,0.061,4,63,15.75,15.75,-16,No,No,1.0005,-0.2501,No,1,1,2.025,-4,118.8,No,No,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,3.15,3.15,3,1.254,3,,,,0.25,,,,,,,,
Kirk Cousins,ATL,QB,24,24,24,0.9583,22,0.9167,0.9583,0.0286,24,159,6.625,3.7083,-91,Yes,No,4.4847,-0.1869,No,1,0.7083,1.6583,-3.7917,73.4,No,Yes,8.36,8.36,8.36,8.36,8.36,8.36,8.36,6.36,6.36,6.36,6.36,9.95,7.95,10,1.5472,5,1,,,0.0833,0.0417,,-1,0.0417,,,0.0417,2
Joshua Dobbs,NE,QB,2,2,2,1,2,1,1,0.0609,2,43,21.5,21.5,-6,Yes,No,0.5261,-0.2631,Yes,1,1,2.1,-3,118.8,No,Yes,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,2.15,2.15,4,1.1395,2,,,,,,,,,,,,
