Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,OffTargetThrowAttemptsPercentage,RunPassOptionPercentage,InterceptionsTotal,TowThrowPercentage,TouchdownsTotal,TargetedReadFirstPercentage,AttemptsInEndzoneTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Bo Nix,DEN,QB,42,42,42,0.8095,28,0.6667,0.8,-0.0732,42,176,4.1905,0.892,4.1905,41,No,Yes,26,0.619,19.0348,0.1658,Yes,0.9762,0.619,3.2024,2.6423,1.0238,75.1,No,Yes,5,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,8.8,8.8,17,3,0.0952,0.1667,,,,,,,,
Philip Rivers,IND,QB,8,8,8,0.875,7,0.875,0.875,-0.0196,8,55,6.875,0.9636,6.875,2,No,Yes,2,0.25,2.9324,-0.1165,Yes,1,0.875,2.7,2.25,0.25,95.3,Yes,No,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.75,2.75,3,,,0.125,,,,,,,,
Jayden Daniels,WAS,QB,11,11,11,0.8182,8,0.7273,0.8182,-0.0617,11,53,4.8182,1.0566,4.8182,5,Yes,Yes,5,0.4545,4.1183,0.0802,Yes,1,0.8182,2.7455,2.64,0.4545,82.8,No,Yes,2,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.65,2.65,7,4,0.0909,0.1818,,,,,,,,
Sam Darnold,SEA,QB,29,29,29,0.8621,23,0.7931,0.9259,0.0528,29,170,5.8621,0.8412,4.3103,34,Yes,No,12,0.4138,12.5792,-0.02,No,1,0.7241,3.0897,2.7083,1.4138,76.7,No,Yes,5,5.8,5.8,5.8,5.8,5.8,5.8,5.8,4.8,4.8,4.8,4.8,7.5,6.5,17,2,0.069,0.1034,,1,0.0345,,,,,
Kyler Murray,ARZ,QB,13,13,13,1,13,1,1,0.0969,13,78,6,1.0897,6,-7,No,No,5,0.3846,5.8864,-0.0682,No,1,0.9231,3.2,2.64,-0.5385,91.7,No,No,3,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.9,3.9,5,,,,,,,,,,,
Tanner McKee,PHI,QB,4,4,4,1,3,0.75,1,0.1311,4,40,10,0.925,10,6,Yes,No,1,0.25,1.3455,-0.0864,Yes,1,1,2.525,3,1.5,106.3,No,Yes,1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2,2,4,3,0.25,,,,,,,,,
Jared Goff,DET,QB,24,24,24,0.875,21,0.875,0.875,0.012,24,161,6.7083,0.8012,7.5417,45,No,No,11,0.4583,10.505,0.0206,No,1,0.6667,3.1125,2.6364,1.875,108.5,No,No,7,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,12.05,12.05,17,,,0.0833,,,,1,,,,
Cam Ward,TEN,QB,42,42,42,0.8333,32,0.7619,0.8095,-0.0519,42,189,4.5,0.9524,4.5,,No,No,18,0.4286,22.1916,-0.0998,No,1,0.6905,3.6381,3.1278,,84.3,No,No,7,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,9.45,9.45,17,-11,0.0476,0.1429,,,,,,,,
Jake Browning,CIN,QB,11,11,11,0.9091,10,0.9091,0.9091,0.0262,11,38,3.4545,0.8158,5.2727,8,No,No,6,0.5455,4.9981,0.0911,No,1,0.8182,3.2091,2.6667,0.7273,111.4,No,No,2,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.9,5.9,5,,,0.0909,,,,1,,,,
Josh Johnson,WAS,QB,3,3,3,0.6667,2,0.6667,0.6667,-0.2046,3,13,4.3333,0.6923,4.3333,4,No,No,2,0.6667,1.3412,0.2196,No,1,0.6667,3.1667,2.25,1.3333,75.7,No,No,,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,5,,,0.3333,,,,,,,,
Jacoby Brissett,ARZ,QB,48,48,48,0.7708,35,0.7292,0.7708,-0.1005,48,303,6.3125,0.8416,6.3125,62,No,Yes,20,0.4167,20.0094,-0.0002,No,1,0.5417,2.9917,2.67,1.2917,89.1,Yes,Yes,12,12.12,12.12,12.12,12.12,12.12,15.12,15.12,12.12,12.12,12.12,12.12,15.15,15.15,14,4,0.0417,0.2292,,,0.0208,,,1,,
Joe Flacco,CIN,QB,35,35,35,0.8571,25,0.7143,0.8571,-0.0277,35,124,3.5429,0.871,2.2571,18,No,No,12,0.3429,13.3985,-0.04,No,1,0.6571,2.7943,2.3917,0.5143,64.5,No,No,3,3.96,3.96,3.96,3.96,3.96,3.96,3.96,2.96,2.96,2.96,2.96,5.2,4.2,13,-3,0.1429,0.1429,,1,0.0286,,,1,,
Daniel Jones,IND,QB,25,25,25,0.96,21,0.84,0.9583,0.0719,25,137,5.48,0.9051,5.48,15,No,No,10,0.4,10.561,-0.0224,No,0.96,0.88,3.024,2.61,0.6,89.5,No,No,4,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,6.85,6.85,13,2,0.08,0.04,,,,,0.04,,,
C.J. Stroud,HST,QB,25,25,25,0.88,17,0.68,0.76,-0.1061,25,136,5.44,0.8382,5.44,37,No,No,13,0.52,12.3033,0.0279,No,1,0.72,3.428,2.8769,1.48,81.4,No,Yes,1,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,6.8,6.8,14,6,0.08,0.12,,,0.04,,,1,,
Teddy Bridgewater,TB,QB,1,1,1,,,,,-0.7846,1,,,,,6,No,Yes,1,1,0.4011,0.5989,No,1,,2.9,2.8,6,39.6,No,No,,,,,,,,,,,,,,,4,,,1,,,,,,,,
Brock Purdy,SF,QB,33,33,33,0.9091,27,0.8182,0.8485,-0.0111,33,173,5.2424,0.6705,5.2424,68,No,No,13,0.3939,15.7187,-0.0824,No,0.9697,0.5758,3.3364,2.9846,2.0606,88.5,No,Yes,8,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,8.65,8.65,9,,0.0303,0.0909,,,,,,,,
Justin Fields,NYJ,QB,14,14,14,1,13,0.9286,0.9286,0.112,14,99,7.0714,0.3939,7.0714,64,No,No,4,0.2857,6.046,-0.1461,No,1,0.7857,3.0786,2.6,4.5714,96.1,Yes,Yes,3,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.96,4.95,4.95,9,,,,,,,,,,1,0.0714
Dillon Gabriel,CLV,QB,14,14,14,0.9286,11,0.7857,0.8571,-0.0288,14,41,2.9286,0.8537,2.9286,10,No,No,6,0.4286,5.5629,0.0312,No,1,0.8571,2.8786,2.6667,0.7143,79.2,No,No,1,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,2.05,2.05,10,1,0.0714,0.0714,,,,,,,,
Tua Tagovailoa,MIA,QB,19,19,19,0.8947,15,0.7895,0.8947,0.015,19,73,3.8421,0.9452,3.8421,12,No,Yes,9,0.4737,7.5164,0.0781,No,1,0.4737,2.8684,2.3333,0.6316,82.7,No,Yes,4,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,3.65,3.65,14,4,0.1053,0.1053,0.0526,,0.0526,,,,,
Caleb Williams,CHI,QB,35,35,35,0.8571,24,0.6857,0.8286,-0.0404,35,154,4.4,0.9221,4.4,41,No,Yes,11,0.3143,17.4005,-0.1829,No,0.9429,0.6857,3.4571,2.8727,1.1714,77.6,No,No,5,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,7.7,7.7,17,11,0.1429,0.1429,,,,,,,,
Marcus Mariota,WAS,QB,7,7,7,0.8571,6,0.8571,0.8571,0.0098,7,70,10,0.8714,3.5714,16,No,No,5,0.7143,3.9631,0.1481,No,0.8571,0.7143,3.8571,2.68,2.2857,68.8,No,No,3,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.8,0.8,0.8,0.8,2.5,1.5,11,,,0.1429,,1,0.1429,,,,,
Tyler Huntley,BLT,QB,5,5,5,0.6,3,0.6,0.6,-0.2686,5,18,3.6,0.8889,3.6,7,No,No,4,0.8,2.6608,0.2678,No,1,0.4,3.66,3.05,1.4,67.1,No,Yes,,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,5,,,0.4,,,,,,,,
Drake Maye,NE,QB,33,33,33,0.9394,28,0.8485,0.9394,0.0745,33,231,7,0.8312,7,52,No,No,14,0.4242,15.1321,-0.0343,Yes,1,0.7879,3.2333,2.8,1.5758,95.8,No,Yes,4,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,11.55,11.55,17,10,0.0909,0.0606,,,,,,,,
Geno Smith,LV,QB,18,18,18,0.8333,14,0.7778,0.8333,-0.0627,18,78,4.3333,1.1154,4.3333,-3,No,No,14,0.7778,9.3924,0.256,No,1,0.6667,3.6,2.5643,-0.1667,84.7,No,No,4,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.9,3.9,15,2,0.0556,0.1667,,,,,,,,
Justin Herbert,LAC,QB,26,26,26,1,25,0.9615,1,0.117,26,190,7.3077,0.8842,7.3077,26,No,No,13,0.5,12.1006,0.0346,Yes,1,0.8462,3.2731,2.6769,1,97.1,No,Yes,5,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,9.5,9.5,16,4,0.0385,,,,,,,,,
Patrick Mahomes,KC,QB,13,13,13,0.8462,9,0.6923,0.9167,-0.0061,13,68,5.2308,1.2353,5.2308,-24,No,No,5,0.3846,6.8697,-0.1438,No,1,0.6154,3.6385,2.92,-1.8462,81.6,No,No,2,1.72,2.72,2.22,2.72,2.72,2.72,2.22,2.72,2.72,2.72,2.22,3.4,3.4,14,-6,0.1538,0.0769,,,,,,,,
J.J. McCarthy,MIN,QB,8,8,8,0.875,6,0.75,0.875,-0.0045,8,28,3.5,0.8214,3.5,8,No,No,3,0.375,3.6742,-0.0843,No,1,0.5,3.2375,3.3,1,79.2,No,No,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,10,2,0.125,0.125,,,,,,,,
Matthew Stafford,LA,QB,46,46,46,0.8913,38,0.8261,0.8913,0.0233,46,222,4.8261,0.7613,4.8261,68,Yes,No,19,0.413,18.9658,0.0007,No,1,0.7174,2.9652,2.4,1.4783,86.8,No,Yes,9,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,11.1,11.1,17,-1,0.0652,0.1087,,,,,,,,
Brady Cook,NYJ,QB,6,6,6,1,6,1,1,0.1193,6,68,11.3333,0.9706,11.3333,2,No,No,,,2.7686,-0.4614,No,1,0.6667,3.25,,0.3333,113.9,No,No,2,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,3.4,3.4,5,,,,,,,,,,,
Jaxson Dart,NYG,QB,17,17,17,0.8235,13,0.7647,0.8235,-0.0744,17,81,4.7647,0.9877,4.7647,3,Yes,Yes,9,0.5294,6.7834,0.1304,No,1,0.7059,2.8882,2.3778,0.1765,85.7,No,Yes,3,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,4.05,4.05,14,,0.0588,0.1765,,,,,,,,
Mitchell Trubisky,BUF,QB,3,3,3,1,3,1,1,0.1513,3,17,5.6667,0.5882,5.6667,7,No,No,,,1.4274,-0.4758,No,0.6667,0.6667,3.3333,,2.3333,90.3,No,Yes,2,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,4,,,,,,,,,,,
Bryce Young,CAR,QB,31,31,31,0.9355,25,0.8065,0.9667,0.0793,31,121,3.9032,0.8678,2.4516,16,No,No,14,0.4516,14.1058,-0.0034,No,1,0.6774,3.2129,2.8286,0.2258,69.5,No,Yes,6,3.84,3.84,3.84,3.84,3.84,3.84,3.84,2.84,2.84,2.84,2.84,5.05,4.05,16,-2,0.129,0.0323,,1,,,,,,
Jordan Love,GB,QB,31,31,31,0.8387,23,0.7419,0.8387,-0.04,31,146,4.7097,0.9726,4.7097,14,Yes,Yes,18,0.5806,13.0018,0.1612,No,0.9677,0.7097,3.0065,2.5667,0.4516,83.5,No,Yes,4,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,7.3,7.3,15,1,0.0968,0.1613,,,,,,,,
Aaron Rodgers,PIT,QB,37,37,37,0.8378,27,0.7297,0.8611,-0.0261,37,168,4.5405,1.0179,4.5405,-3,No,Yes,13,0.3514,15.0286,-0.0548,Yes,1,0.6216,2.9297,2.5308,,81.8,No,No,11,5.82,6.82,6.32,6.82,6.82,6.82,6.32,6.82,6.82,6.82,6.32,8.5,8.5,16,-9,0.1081,0.1351,,,,,,,,
Baker Mayfield,TB,QB,21,21,21,0.9048,16,0.7619,0.8571,-0.0322,21,106,5.0476,1.1226,5.0476,-3,No,No,10,0.4762,9.664,0.016,Yes,1,0.7143,3.2429,2.57,-0.1429,86.6,No,Yes,5,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,5.3,5.3,17,-2,0.0952,0.0952,,,,,,,,
Mason Rudolph,PIT,QB,3,3,3,1,3,1,1,0.0963,3,12,4,1.5,4,-6,No,No,1,0.3333,1.1341,-0.0447,No,1,1,2.7667,2.4,-2,83.3,No,No,1,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,5,,,,,,,,,,,
Carson Wentz,MIN,QB,5,5,5,1,5,1,1,0.0951,5,19,3.8,1.2105,3.8,-4,No,No,3,0.6,2.2985,0.1403,No,1,1,3.24,2.7,-0.8,82.5,No,Yes,1,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,5,,,,,,,,,,,
Dak Prescott,DAL,QB,40,40,40,0.8,27,0.675,0.7,-0.1814,40,137,3.425,1.0584,3.425,12,Yes,Yes,20,0.5,17.8188,0.0545,No,1,0.725,3.1575,2.745,0.3,72.6,Yes,Yes,4,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,6.85,6.85,17,2,0.025,0.2,,,,,,,,
