Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,playerStatsFirstDownsPassing,TouchdownsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,AverageTimeToPressure
Dillon Gabriel,CLV,QB,1,1,1,1,1,1,1,0.0762,1,2,2,1.5,2,-1,No,No,0.1768,-0.1768,No,1,1,1,1.6,-1,79.2,No,No,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,10,,,,,,,,
Teddy Bridgewater,TB,QB,1,1,1,1,1,1,1,0.0576,1,3,3,2.3333,3,-4,Yes,No,0.0906,-0.0906,No,1,1,1,1.1,-4,79.2,No,Yes,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,4,,,,,,,,
J.J. McCarthy,MIN,QB,1,1,1,1,1,1,1,0.0762,1,11,11,1.0909,11,-1,No,No,0.0561,-0.0561,No,1,1,1,0.9,-1,112.5,No,No,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,10,,,1,,,,,
Patrick Mahomes,KC,QB,16,16,16,1,15,0.9375,1,0.0598,16,80,5,1.5875,5,-49,Yes,No,1.4143,-0.0259,No,0.875,1,0.9375,1.0875,-3.0625,87.5,No,Yes,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,4,4,14,-2,0.0625,2,,1,0.0625,,1.2
Matthew Stafford,LA,QB,5,5,5,1,5,1,1,0.0772,5,31,6.2,1.1935,6.2,-6,No,No,0.3493,-0.0698,No,0.6,1,0.8,0.98,-1.2,92.5,No,Yes,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.55,1.55,17,,,1,,,,,
Drake Maye,NE,QB,5,5,5,1,5,1,1,0.0751,5,35,7,1.6571,7,-23,No,No,0.5218,-0.1044,No,0.4,1,1,1.18,-4.6,95.8,No,No,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,17,,,1,,,,,
Geno Smith,LV,QB,4,4,4,1,4,1,1,0.0612,4,13,3.25,1.8462,3.25,-11,Yes,No,0.4829,-0.1207,No,1,1,0.75,1.275,-2.75,80.2,No,Yes,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,15,,,,,,,,
Justin Herbert,LAC,QB,8,8,8,1,8,1,1,0.0648,8,42,5.25,1.4762,5.25,-20,No,No,0.4484,-0.0561,No,0.75,1,0.75,0.9,-2.5,88.5,No,No,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,2.1,2.1,16,,,2,,,,,
Aidan O'Connell,LV,QB,1,1,1,,,,,-0.9357,1,,,,,-2,No,No,0.0733,-0.0733,Yes,,1,,1,-2,39.6,No,No,,,,,,,,,,,,,,1,,,,,,,1,
Marcus Mariota,WAS,QB,4,4,4,1,4,1,1,0.0582,4,21,5.25,1.6667,5.25,-14,Yes,No,0.69,-0.1725,No,0.75,1,0.5,1.575,-3.5,88.5,No,Yes,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,11,,,1,,,,,
Carson Wentz,MIN,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,No,No,0.0906,-0.0906,No,,1,1,1.1,-3,87.5,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,5,,,,,,,,
Shane Buechele,KC,QB,1,1,1,1,1,1,1,0.0587,1,10,10,1.3,10,-3,Yes,No,0.0906,-0.0906,No,1,1,1,1.1,-3,108.3,No,Yes,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,1,,,1,,,,,
Aaron Rodgers,PIT,QB,19,19,19,1,18,0.9474,1,0.0674,19,130,6.8421,1.2692,6.8421,-36,No,No,1.4445,-0.076,No,0.7895,1,0.8947,1.0158,-1.8947,95.2,No,No,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,6.5,6.5,16,-1,0.0526,4,,,,,
Baker Mayfield,TB,QB,3,3,3,1,3,1,1,0.0621,3,29,9.6667,1.2759,9.6667,-8,No,No,0.3062,-0.1021,No,0.6667,1,1,1.1667,-2.6667,106.9,No,No,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.45,1.45,17,,,1,,,,,
Spencer Rattler,NO,QB,3,3,3,0.6667,2,0.6667,1,0.0587,3,5,1.6667,2.2,1.6667,-6,No,No,0.4269,0.191,No,0.6667,1,0.3333,1.4,-3.3333,70.1,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,9,,,1,,1,0.3333,,2
Dak Prescott,DAL,QB,2,2,2,1,2,1,1,0.0675,2,12,6,1.3333,6,-4,No,No,0.2329,-0.1164,No,1,1,1,1.25,-2,91.7,No,No,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,17,,,,,,,,
Mason Rudolph,PIT,QB,1,1,1,1,1,1,1,0.0587,1,2,2,2.5,2,-3,No,No,0.1078,-0.1078,No,1,1,1,1.2,-3,79.2,No,No,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,5,,,,,,,,
Bryce Young,CAR,QB,3,3,3,1,3,1,1,0.0624,3,7,2.3333,2,2.3333,-7,No,No,0.4097,-0.1366,No,0.6667,1,0.6667,1.3667,-2.3333,79.2,No,No,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,16,,,,,,,,
Jordan Love,GB,QB,5,5,5,1,5,1,1,0.0691,5,21,4.2,1.381,4.2,-8,No,No,0.3148,-0.063,No,1,1,0.8,0.94,-1.6,84.2,No,No,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,15,,,1,,,,,
Jaxson Dart,NYG,QB,10,10,10,1,10,1,1,0.0626,10,35,3.5,1.7143,3.5,-25,No,No,1.5092,-0.1509,No,0.9,1,0.6,1.45,-2.5,81.3,No,No,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.75,14,,,,,,,,
Brady Cook,NYJ,QB,4,4,4,0.5,2,0.5,0.5,-0.4377,4,-1,-0.25,-5,-0.25,-17,No,No,0.4312,0.1422,No,0.25,1,0.5,1.2,-4.25,56.3,No,No,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,5,,,1,,1,0.25,0.5,1.1
