teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingSackedAvoidedTotal
26,Philadelphia,Eagles,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,36,36,0.9722222222222222,32,0.8888888888888888,0.9444444444444444,0.00973898347222224,-6,0.05555555555555555,151,4.194444444444445,1.7483443708609272,4.194444444444445,-127,,,Yes,No,2,0.05555555555555555,-0.13561944444444443,No,0.08333333333333333,0.027777777777777776,,1,0.75,1.6833333333333333,2.2,-3.5277777777777777,84.1,No,Yes,7,True,
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Open,Cover 2,17,38,38,0.8947368421052632,33,0.868421052631579,0.8947368421052632,-0.04020884439473682,-1,0.02631578947368421,227,5.973684210526316,1.4889867841409692,6.5,-130,1,,Yes,No,1,0.02631578947368421,-0.15093815789473683,No,0.10526315789473684,0.10526315789473684,0.02631578947368421,1,0.7368421052631579,1.6026315789473684,1.5,-3.4210526315789473,100.3,No,Yes,11,,
8,Cleveland,Browns,BLT,AFC,AFC North,Open,Open,Cover 2,17,38,38,0.8947368421052632,33,0.868421052631579,0.8947368421052632,-0.0418028129210527,-4,0.02631578947368421,257,6.7631578947368425,1.4591439688715953,6.7631578947368425,-140,,,No,No,2,0.05263157894736842,-0.13687894736842104,No,0.02631578947368421,0.07894736842105263,,1,0.8157894736842105,1.6736842105263159,2.25,-3.6842105263157894,94.8,No,No,8,,
32,Washington,Commanders,DAL,NFC,NFC East,Open,Open,Cover 2,17,35,35,0.8857142857142857,29,0.8285714285714286,0.8571428571428571,-0.02638774137142863,-2,0.02857142857142857,193,5.514285714285714,1.5699481865284974,4.228571428571429,-142,,1,No,No,1,0.02857142857142857,-0.16055,No,0.14285714285714285,0.11428571428571428,0.02857142857142857,1,0.7428571428571429,1.6714285714285715,1.8,-4.057142857142857,77.7,No,Yes,8,,
28,Seattle,Seahawks,LA,NFC,NFC West,Closed,Closed,Cover 3,17,42,42,0.9047619047619048,36,0.8571428571428571,0.9047619047619048,-0.03144460199999999,-7,0.047619047619047616,346,8.238095238095237,1.4421965317919074,8.714285714285714,-170,1,,Yes,No,3,0.07142857142857142,-0.11892500000000002,Yes,0.047619047619047616,0.07142857142857142,,1,0.7142857142857143,1.6785714285714286,1.9333333333333333,-4.0476190476190474,108.9,No,Yes,13,,
17,Los Angeles,Rams,SEA,NFC,NFC West,Closed,Closed,Cover 3,17,46,46,0.9565217391304348,44,0.9565217391304348,0.9565217391304348,0.020412104934782627,,,359,7.804347826086956,1.3899721448467968,9.108695652173912,-144,3,,Yes,No,2,0.043478260869565216,-0.16294673913043478,Yes,0.08695652173913043,0.043478260869565216,,1,0.8043478260869565,1.7717391304347827,2.6,-3.130434782608696,120.9,No,Yes,13,True,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 1,17,52,52,0.9423076923076923,47,0.9038461538461539,0.9423076923076923,0.005900994461538356,-4,0.038461538461538464,315,6.0576923076923075,1.5269841269841269,7.211538461538462,-179,3,,No,No,1,0.019230769230769232,-0.16685769230769232,No,0.07692307692307693,0.057692307692307696,,1,0.7307692307692307,1.6538461538461537,2,-3.4423076923076925,111.1,No,No,10,True,
22,New England,Patriots,BUF,AFC,AFC East,Open,Closed,Cover 3,17,33,33,1,30,0.9090909090909091,0.9696969696969697,0.03611066430303023,-6,0.06060606060606061,194,5.878787878787879,1.5257731958762886,6.484848484848484,-109,1,,Yes,No,,,-0.13341363636363637,No,0.06060606060606061,,,1,0.7878787878787878,1.3484848484848484,,-3.303030303030303,101.3,No,Yes,8,True,
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 3,17,36,36,0.9722222222222222,35,0.9722222222222222,0.9722222222222222,0.036838236416666614,,,261,7.25,1.4674329501915708,7.25,-126,,,Yes,No,,,-0.17296666666666666,No,0.08333333333333333,0.027777777777777776,0.027777777777777776,1,0.75,1.577777777777778,,-3.5,96.9,No,Yes,10,True,
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Closed,Cover 3,17,42,42,0.9523809523809523,37,0.8809523809523809,0.9285714285714286,-0.003723122642857124,-5,0.047619047619047616,182,4.333333333333333,1.7637362637362637,4.809523809523809,-155,1,,Yes,No,1,0.023809523809523808,-0.14929404761904763,Yes,0.09523809523809523,0.047619047619047616,,1,0.8333333333333334,1.5785714285714285,2.6,-3.6904761904761907,92.7,Yes,Yes,3,True,
