teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingAverageTimeToPressure,teamIsHomeTeam,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingSackedAvoidedTotal
1,Arizona,Cardinals,SF,NFC,NFC West,Closed,Closed,Cover 1,15,9,9,0.5555555555555556,3,3,0.3333333333333333,0.3333333333333333,-0.2144209362222222,,,68,7.555555555555555,9.777777777777779,161,1,No,No,-0.06957777777777777,No,,0.2222222222222222,2,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.3333333333333333,2.2666666666666666,17.88888888888889,98.4,Yes,Yes,3,0.07352941176470588,2,0.2222222222222222,1.4500000000000002,True,,,
6,Chicago,Bears,GB,NFC,NFC North,Open,Closed,Cover 1,10,4,4,0.25,1,1,0.25,0.25,-0.3104834205,,,20,5,5,69,,No,No,-0.288925,Yes,,0.75,1,0.25,,1,,2.25,17.25,47.9,No,Yes,1,0.15,,,,,,,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Cover 4,9,5,5,1,3,5,1,1,0.47139667520000006,,,85,17,29,92,3,No,No,-0.2941,No,0.2,,3,0.6,0.4,1,0.4,2.2800000000000002,18.4,158.3,Yes,Yes,5,0.058823529411764705,,,,,,,
10,Denver,Broncos,KC,AFC,AFC West,Open,Open,Cover 0,12,12,12,0.8333333333333334,4,9,0.75,0.75,0.1370452215000001,,,98,8.166666666666666,14.833333333333334,165,4,No,No,-0.11934166666666668,Yes,,0.08333333333333333,2,0.16666666666666666,0.16666666666666666,1,0.3333333333333333,1.75,13.75,138.2,No,No,9,0.04081632653061224,1,0.08333333333333333,1.7,True,,,
24,New York,Giants,IND,AFC,AFC South,Closed,Closed,Cover 1,8,5,5,1,2,2,0.4,0.4,-0.15765059419999994,,,55,11,11,89,,No,No,-0.23890000000000003,No,,,2,0.4,0.2,1,0.6,1.9600000000000002,17.8,81.3,Yes,Yes,2,0.18181818181818182,,,,True,,,
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Open,Cover 2,9,5,5,0.6,,2,0.4,0.4,-0.14589534520000003,,,45,9,9,89,,No,No,-0.2872,No,,0.2,1,0.2,0.6,0.8,0.2,2.2399999999999998,17.8,72.9,No,Yes,1,0.1111111111111111,,,,True,,,
28,Seattle,Seahawks,MIN,NFC,NFC North,Open,Open,Cover 2 Man,11,4,4,0.75,1,1,0.25,0.25,-0.35068626,,,25,6.25,6.25,61,,No,No,-0.06048749999999997,No,0.25,0.25,1,0.25,0.25,0.75,,2.375,15.25,53.1,Yes,Yes,1,0.12,1,0.25,2.6,True,,,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 4,5,8,8,0.625,3,5,0.625,0.625,0.022561108625000048,,,105,13.125,13.125,118,,Yes,No,-0.11001875,No,0.25,0.375,1,0.125,0.25,1,0.625,1.9375,14.75,106.3,Yes,Yes,5,0.1523809523809524,1,0.125,2.7,True,,,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 1,8,6,6,0.8333333333333334,1,4,0.6666666666666666,0.8333333333333334,0.2853668211666667,14,0.16666666666666666,76,12.666666666666666,16,105,1,No,No,-0.11363333333333332,Yes,0.16666666666666666,0.16666666666666666,2,0.3333333333333333,0.3333333333333333,1,0.5,2.2,17.5,149.3,No,No,4,0.07894736842105263,1,0.16666666666666666,2.3,,,,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 3,13,8,8,0.625,2,2,0.25,0.375,-0.23028718800000003,23,0.125,29,3.625,3.625,112,,No,No,-0.2759875,Yes,,0.375,1,0.125,,1,0.375,2.1750000000000003,14,42.2,Yes,Yes,2,0.034482758620689655,,,,True,,,
20,Miami,Dolphins,NYJ,AFC,AFC East,Open,Closed,Cover 1,8,5,5,0.4,,2,0.4,0.4,-0.045158834400000014,,,43,8.6,8.6,117,,No,Yes,0.4507,Yes,,0.6,4,0.8,0.2,0.8,0.4,2.6,23.4,71.3,No,Yes,1,0.09302325581395349,4,0.8,2.175,,,,
22,New England,Patriots,BUF,AFC,AFC East,Closed,Closed,Cover 1,9,8,8,0.75,,1,0.125,0.375,-0.16408660775000006,35,0.25,18,2.25,2.25,141,,No,No,-0.19842499999999996,No,,0.25,2,0.25,0.25,0.875,0.5,2.4499999999999997,17.625,39.6,Yes,No,1,0.2222222222222222,1,0.125,2.2,True,,,1
3,Baltimore,Ravens,CLV,AFC,AFC North,Closed,Closed,Cover 1,14,11,11,0.7272727272727273,1,7,0.6363636363636364,0.6363636363636364,0.16037813318181815,,,169,15.363636363636363,19,238,2,No,No,-0.15811818181818182,No,,0.09090909090909091,7,0.6363636363636364,0.2727272727272727,0.6363636363636364,0.36363636363636365,3.0727272727272723,21.636363636363637,146.8,No,Yes,7,0.07692307692307693,3,0.2727272727272727,3.0666666666666664,True,,,
12,Green Bay,Packers,CHI,NFC,NFC North,Open,Closed,Cover 1,11,8,8,0.625,,5,0.625,0.625,0.021457828499999998,,,89,11.125,13.625,117,1,No,No,-0.14559687500000001,Yes,,0.25,,,0.25,0.875,0.5,2.14375,14.625,140.1,No,Yes,5,0.1348314606741573,1,0.125,2.7,True,,,
25,New York,Jets,MIA,AFC,AFC East,Open,Closed,Cover 1,12,6,6,1,3,1,0.16666666666666666,0.3333333333333333,-0.3510296486666667,6,0.16666666666666666,11,1.8333333333333333,1.8333333333333333,61,,No,Yes,0.15078333333333335,Yes,0.16666666666666666,,,,,1,0.16666666666666666,1.6333333333333335,10.166666666666666,39.6,No,Yes,1,0.18181818181818182,2,0.3333333333333333,2,True,,,
18,Los Angeles,Chargers,NE,AFC,AFC East,Closed,Closed,Cover 1,8,2,2,0.5,,1,0.5,0.5,-0.05127367099999991,,,23,11.5,11.5,33,,No,No,-0.2803,No,,0.5,1,0.5,0.5,1,0.5,2.2,16.5,91.7,No,Yes,1,0.043478260869565216,,,,,,,
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Open,Cover 2,12,9,9,0.4444444444444444,3,4,0.4444444444444444,0.4444444444444444,-0.036545270444444444,,,74,8.222222222222221,12.666666666666666,191,2,No,No,-0.24585555555555555,No,,0.3333333333333333,5,0.5555555555555556,0.3333333333333333,0.7777777777777778,0.3333333333333333,2.6444444444444444,21.22222222222222,113,No,Yes,4,0.02702702702702703,1,0.1111111111111111,2.7,,,,
13,Houston,Texans,TEN,AFC,AFC South,Open,Closed,Cover 3,12,14,14,0.42857142857142855,1,4,0.2857142857142857,0.2857142857142857,-0.2511585519285715,,,82,5.857142857142857,5.857142857142857,261,,No,No,-0.08942499999999999,Yes,,0.42857142857142855,6,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.14285714285714285,2.335714285714286,18.642857142857142,51.5,Yes,Yes,4,0.21951219512195122,3,0.21428571428571427,2.4,,,0.07142857142857142,
11,Detroit,Lions,BUF,AFC,AFC East,Open,Open,Cover 0,8,9,9,0.3333333333333333,,2,0.2222222222222222,0.3333333333333333,-0.19682756699999998,20,0.1111111111111111,54,6,6,170,,No,No,-0.03507777777777779,Yes,,0.6666666666666666,4,0.4444444444444444,0.3333333333333333,1,0.3333333333333333,2.066666666666667,18.88888888888889,52.1,No,No,2,0.14814814814814814,2,0.2222222222222222,1.75,True,,,
23,New Orleans,Saints,LV,AFC,AFC West,Open,Open,Bracket,9,11,11,0.7272727272727273,1,4,0.36363636363636365,0.45454545454545453,-0.07170846790909086,19,0.09090909090909091,126,11.454545454545455,13.272727272727273,206,1,No,No,0.03629090909090909,No,,0.2727272727272727,5,0.45454545454545453,0.18181818181818182,0.9090909090909091,0.45454545454545453,2.4727272727272727,18.727272727272727,110.4,No,No,4,0.30158730158730157,4,0.36363636363636365,2.1,True,,,
21,Minnesota,Vikings,SEA,NFC,NFC West,Open,Open,Cover 2 Man,7,7,7,0.5714285714285714,,1,0.14285714285714285,0.14285714285714285,-0.40355242271428576,,,21,3,3,121,,No,No,-0.12019285714285712,No,,0.42857142857142855,2,0.2857142857142857,0.14285714285714285,1,0.42857142857142855,2.1,17.285714285714285,39.6,Yes,Yes,1,0.09523809523809523,1,0.14285714285714285,2.5,,,,
9,Dallas,Cowboys,PHI,NFC,NFC East,Open,Closed,Cover 1,10,5,5,0.8,1,2,0.4,0.6,0.1405227672,22,0.2,47,9.4,13.4,110,1,No,No,0.3197,No,,0.2,4,0.8,0.6,1,0.6,2.2,22,114.2,No,Yes,2,0.02127659574468085,3,0.6,2.066666666666667,,,,
