Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsInEndzone,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,ReceptionsHero,DeepTargetTargetsTotal
Tanner Hudson,CIN,TE,22,No,Yes,No,14,4,No,Yes,4,1,0.2857,3,0.75,19,19,6,,0.3571,0.5,0.0714,3,,84.4,1.3571,4.75,-0.7806,6.3333,6.3333,2,2,7.035,7.035,0.1818,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,11,,,,,,1,,,,,,0.0714,,,
Curtis Samuel,BUF,WR,59,No,No,No,53,16,No,No,11,0.6875,0.3019,11,0.6875,50,60,9,-5,,0.5283,0.3962,14,-0.3125,72.4,0.9434,3.125,-2.3491,4.5455,5.4545,0.8182,,25.1015,25.1015,0.2807,5,16,10.5,16,16,16,10.5,16,16,16,10.5,16,16,14,,1,0.0909,7,0.4375,,2,,2,,,0.0755,,,
Tyreik McAllister,LV,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,120,No,No,No,88,24,Yes,Yes,23,0.9583,0.2727,20,0.8333,125,139,28,-9,,0.0227,0.0909,11,-0.375,116.1,1.4205,5.2083,-0.8763,6.25,6.95,1.4,9,37.785,37.785,0.2105,24.5,44.5,34.5,54.5,44.5,47.5,37.5,44.5,44.5,44.5,34.5,44.5,44.5,16,2,6,0.3,5,0.2083,5,,,,,2,0.8864,0.0833,,
Najee Harris,PIT,RB,74,No,Yes,No,54,17,No,Yes,16,0.9412,0.3148,13,0.7647,109,148,46,-51,0.0556,,0.0185,7,-3,92.5,2.0185,6.4118,0.6676,8.3846,11.3846,3.5385,4,23.6392,23.6392,0.2537,10.9,23.9,17.4,30.4,23.9,26.9,20.4,23.9,23.9,23.9,17.4,23.9,23.9,17,,2,0.1538,6,0.3529,1,,,,,3,0.9259,0.1765,,
Daniel Bellinger,NYG,TE,48,No,Yes,No,40,2,No,Yes,2,1,0.05,2,1,26,13,5,13,0.4,0.375,0.2,1,6.5,118.8,0.65,13,6.3368,13,6.5,2.5,2,3.3465,3.3465,0.0465,2.6,4.6,3.6,4.6,5.6,4.6,3.6,4.6,4.6,4.6,3.6,5.6,4.6,17,,,,,,,,,,,,0.025,,,
Drew Sample,CIN,TE,88,No,Yes,No,53,9,No,Yes,9,1,0.1698,9,1,45,51,16,-6,0.7358,0.0566,0.0377,2,-0.6667,87.5,0.8491,5,-0.5538,5,5.6667,1.7778,3,12.9134,12.9134,0.1047,4.5,13.5,9,13.5,18,13.5,9,13.5,13.5,13.5,9,18,13.5,17,,,,1,0.1111,1,,,,,,0.1698,,,
Devontez Walker,BLT,WR,6,No,No,Yes,4,,No,Yes,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,52,No,No,Yes,37,10,Yes,Yes,9,0.9,0.2703,9,0.9,137,149,58,-17,,0.1081,0.1351,4,-1.7,118.8,3.7027,13.7,7.7959,15.2222,16.5556,6.4444,5,13.4981,13.4981,0.1923,13.7,22.7,18.2,27.2,22.7,25.7,21.2,22.7,22.7,22.7,18.2,22.7,22.7,12,,2,0.2222,1,0.1,,,,,,,0.7568,,,
Jaheim Bell,NE,TE,6,No,No,No,5,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,75,No,No,No,54,6,No,Yes,5,0.8333,0.1111,4,0.6667,26,8,1,42,0.5,0.2963,0.2037,4,7,115.3,0.4815,4.3333,-3.142,6.5,2,0.25,1,11.1322,11.1322,0.0822,8.6,12.6,10.6,12.6,14.6,12.6,10.6,12.6,12.6,12.6,10.6,14.6,12.6,16,1,,,1,0.1667,2,,2,,1,1,,0.1667,,
Noah Brown,WAS,WR,53,No,No,No,46,5,No,No,3,0.6,0.1087,3,0.6,19,11,6,18,,0.2391,0.7609,5,3.6,67.9,0.413,3.8,-2.2575,6.3333,3.6667,2,1,7.3675,7.3675,0.0962,1.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,11,,,,1,0.2,,,,,,,,,,
Marcedes Lewis,CHI,TE,19,No,Yes,Yes,3,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,86,No,Yes,Yes,63,17,No,No,14,0.8235,0.2698,11,0.6471,75,29,7,104,0.0159,0.2698,0.7143,16,6.1176,74.4,1.1905,4.4118,-2.5471,6.8182,2.6364,0.6364,6,27.6865,27.6865,0.2152,7.5,18.5,13,18.5,18.5,18.5,13,18.5,18.5,18.5,13,18.5,18.5,17,,1,0.0909,2,0.1176,3,1,1,,,1,,0.0588,,
Trey McBride,ARZ,TE,162,No,No,No,150,42,No,Yes,36,0.8571,0.28,32,0.7619,285,143,52,206,0.4,0.5133,0.0867,36,4.9048,91.9,1.9,6.7857,0.0167,8.9062,4.4688,1.625,18,75.9307,75.9307,0.2857,34.5,66.5,50.5,66.5,82.5,69.5,53.5,66.5,66.5,66.5,50.5,82.5,66.5,16,1,4,0.125,6,0.1429,12,6,3,4,,4,,0.0952,,
Patrick Taylor,SF,RB,31,No,No,No,23,4,No,Yes,2,0.5,0.1739,1,0.25,1,3,,-5,,,0.0435,1,-1.25,39.6,0.0435,0.25,-5.8227,1,3,,,6.1877,6.1877,0.1333,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,9,,,,,,,,,,,1,0.9565,0.25,,
Carson Steele,KC,RB,23,Yes,No,No,17,4,No,Yes,3,0.75,0.2353,3,0.75,7,16,3,-8,0.0588,0.0588,0.1176,1,-2,77.1,0.4118,1.75,-4.1347,2.3333,5.3333,1,,6.0117,6.0117,0.1905,0.7,3.7,2.2,5.2,3.7,3.7,2.2,3.7,3.7,3.7,2.2,3.7,3.7,16,,,,1,0.25,1,,,,,,0.7647,,,
John Bates,WAS,TE,35,No,No,Yes,10,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Jalen Reagor,LAC,WR,17,No,No,No,16,2,No,No,1,0.5,0.125,1,0.5,4,2,1,10,,0.5,0.5,1,5,56.3,0.25,2,-4.4225,4,2,1,,4.4457,4.4457,0.125,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,8,,,,,,,,,,,,,,,
Will Shipley,PHI,RB,6,No,Yes,No,4,,No,Yes,,,,,,,,,,,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0.25,,,
Kyren Williams,LA,RB,147,No,No,Yes,99,19,Yes,Yes,17,0.8947,0.1919,16,0.8421,88,127,41,-52,0.0101,0.0606,0.0606,7,-2.7368,86,0.8889,4.6316,-1.0461,5.5,7.9375,2.5625,2,30.6768,30.6768,0.1367,8.8,24.8,16.8,32.8,24.8,24.8,16.8,24.8,24.8,24.8,16.8,24.8,24.8,16,,4,0.25,7,0.3684,5,,,,,1,0.8687,0.0526,,
Tucker Kraft,GB,TE,124,No,Yes,Yes,85,17,No,No,15,0.8824,0.2,14,0.8235,171,139,35,38,0.5882,0.2941,0.1176,12,2.2353,147.8,2.0118,10.0588,3.9962,12.2143,9.9286,2.5,10,26.6864,26.6864,0.1491,29.1,43.1,36.1,43.1,50.1,46.1,39.1,43.1,43.1,43.1,36.1,50.1,43.1,17,2,2,0.1429,3,0.1765,5,,,,,1,,0.0588,,
Payne Durham,TB,TE,50,No,No,Yes,25,2,No,Yes,2,1,0.08,2,1,15,1,1,23,0.52,0.24,0.24,2,11.5,137.5,0.6,7.5,-1.2707,7.5,0.5,0.5,1,4.7667,4.7667,0.04,7.5,9.5,8.5,9.5,10.5,9.5,8.5,9.5,9.5,9.5,8.5,10.5,9.5,16,1,,,,,1,1,1,1,1,,,,,
Trey Palmer,TB,WR,42,No,No,Yes,33,5,No,Yes,3,0.6,0.1515,3,0.6,15,27,5,1,,0.3636,0.6364,4,0.2,64.6,0.4545,3,-2.4994,5,9,1.6667,,7.2502,7.2502,0.125,1.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,15,,,,2,0.4,,,,,,,,,,
Raheem Mostert,MIA,RB,44,No,No,No,30,7,No,Yes,7,1,0.2333,6,0.8571,32,34,14,4,,0.2667,0.2,3,0.5714,85.7,1.0667,4.5714,-1.7453,5.3333,5.6667,2.3333,2,11.3862,11.3862,0.1628,3.2,9.2,6.2,12.2,9.2,9.2,6.2,9.2,9.2,9.2,6.2,9.2,9.2,13,,2,0.3333,1,0.1429,1,,,,,,0.5333,,,
Jalen Coker,CAR,WR,64,No,Yes,No,57,12,No,Yes,11,0.9167,0.2105,10,0.8333,98,58,30,54,,0.6316,0.3684,10,4.5,100.7,1.7193,8.1667,1.6319,9.8,5.8,3,6,22.2335,22.2335,0.2,9.8,19.8,14.8,19.8,19.8,19.8,14.8,19.8,19.8,19.8,14.8,19.8,19.8,11,,2,0.2,2,0.1667,2,2,1,1,,,,,,
Marvin Mims,DEN,WR,56,Yes,No,No,49,20,No,Yes,20,1,0.4082,19,0.95,207,242,44,-38,,0.3265,0.449,17,-1.9,109.8,4.2245,10.35,5.4279,10.8947,12.7368,2.3158,5,32.4769,32.4769,0.3704,20.7,39.7,30.2,39.7,39.7,42.7,33.2,39.7,39.7,39.7,30.2,39.7,39.7,17,,1,0.0526,13,0.65,2,,,,,1,0.2245,0.05,,
Dallas Goedert,PHI,TE,68,No,Yes,No,63,20,No,Yes,18,0.9,0.3175,18,0.9,233,154,40,104,0.3651,0.4603,0.1746,16,5.2,131.9,3.6984,11.65,4.6828,12.9444,8.5556,2.2222,10,30.9864,30.9864,0.3226,29.3,47.3,38.3,47.3,56.3,50.3,41.3,47.3,47.3,47.3,38.3,56.3,47.3,10,1,1,0.0556,2,0.1,2,2,1,2,,,,,,
Roschon Johnson,CHI,RB,40,No,Yes,Yes,28,5,No,No,4,0.8,0.1786,4,0.8,31,37,21,-9,,0.0357,,3,-1.8,92.5,1.1071,6.2,0.3097,7.75,9.25,5.25,3,8.6121,8.6121,0.1316,3.1,7.1,5.1,9.1,7.1,7.1,5.1,7.1,7.1,7.1,5.1,7.1,7.1,13,,1,0.25,2,0.4,,,,,,,0.9643,,1,
Cedric Tillman,CLV,WR,78,No,No,No,64,10,No,Yes,8,0.8,0.1562,8,0.8,66,29,18,67,,0.3438,0.6562,10,6.7,94.2,1.0312,6.6,-0.5097,8.25,3.625,2.25,3,17.1215,17.1215,0.1449,6.6,14.6,10.6,14.6,14.6,14.6,10.6,14.6,14.6,14.6,10.6,14.6,14.6,11,,1,0.125,1,0.1,1,,1,,,,,,,1
Calvin Ridley,TEN,WR,150,No,No,No,130,31,No,Yes,23,0.7419,0.2385,19,0.6129,167,40,17,230,,0.2692,0.7308,29,7.4194,86.4,1.2846,5.3871,-2.0,8.7895,2.1053,0.8947,8,50.6707,50.6707,0.2214,22.7,41.7,32.2,41.7,41.7,44.7,35.2,41.7,41.7,41.7,32.2,41.7,41.7,17,1,2,0.1053,3,0.0968,4,2,2,,1,1,,0.0323,,
Terry McLaurin,WAS,WR,115,No,No,Yes,99,47,Yes,Yes,44,0.9362,0.4747,40,0.8511,328,85,46,308,,0.1414,0.8586,42,6.5532,131.2,3.3131,6.9787,-0.0879,8.2,2.125,1.15,24,90.3481,90.3481,0.4196,62.8,102.8,82.8,102.8,102.8,105.8,85.8,102.8,102.8,102.8,82.8,102.8,102.8,17,5,,,5,0.1064,7,7,5,6,4,3,,0.0638,,
Ainias Smith,PHI,WR,13,No,Yes,No,13,3,No,Yes,2,0.6667,0.2308,2,0.6667,20,4,2,28,,1,,3,9.3333,125,1.5385,6.6667,-1.1368,10,2,1,1,5.9437,5.9437,0.25,8,10,9,10,10,10,9,10,10,10,9,10,10,7,1,,,,,1,,,,,,,,,
Chris Godwin,TB,WR,66,No,Yes,No,51,23,No,Yes,22,0.9565,0.451,19,0.8261,136,88,23,79,,0.6471,0.3529,20,3.4348,120.3,2.6667,5.913,-0.3098,7.1579,4.6316,1.2105,11,42.2591,42.2591,0.3538,25.6,44.6,35.1,44.6,44.6,47.6,38.1,44.6,44.6,44.6,35.1,44.6,44.6,7,2,2,0.1053,7,0.3043,3,3,1,1,1,2,,0.087,,
Brevin Jordan,HST,TE,7,No,No,No,5,2,No,Yes,1,0.5,0.4,1,0.5,4,,,,0.8,0.2,,2,,56.3,0.8,2,-4.2016,4,,,,2.8509,2.8509,0.3333,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,2,,,,1,0.5,,,,,,,,,,
Jayden Reed,GB,WR,94,No,Yes,Yes,86,21,No,No,20,0.9524,0.2442,16,0.7619,106,135,27,-28,,0.7326,0.1977,20,-1.3333,102.5,1.2326,5.0476,-0.0268,6.625,8.4375,1.6875,4,36.8098,36.8098,0.2442,16.6,32.6,24.6,32.6,32.6,35.6,27.6,32.6,32.6,32.6,24.6,32.6,32.6,17,1,1,0.0625,14,0.6667,3,,,,,4,0.0698,0.1905,,
Brayden Willis,SF,TE,2,No,No,No,1,1,No,Yes,1,1,1,,,,,,5,,1,,1,5,39.6,,,-6.48,,,,,1.4769,1.4769,0.5,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,
Kyle Pitts,ATL,TE,129,No,Yes,No,100,15,No,Yes,11,0.7333,0.15,9,0.6,78,33,12,107,0.34,0.39,0.27,10,7.1333,96,0.78,5.2,-2.3808,8.6667,3.6667,1.3333,3,30.2108,30.2108,0.123,13.8,22.8,18.3,22.8,27.3,22.8,18.3,22.8,22.8,22.8,18.3,27.3,22.8,17,1,2,0.2222,,,4,3,3,1,1,1,,0.0667,,1
Dante Pettis,NO,WR,24,No,No,Yes,24,9,No,Yes,7,0.7778,0.375,6,0.6667,49,20,8,54,,0.5,0.5,6,6,117.4,2.0417,5.4444,-1.4213,8.1667,3.3333,1.3333,4,15.9912,15.9912,0.4286,10.9,16.9,13.9,16.9,16.9,16.9,13.9,16.9,16.9,16.9,13.9,16.9,16.9,8,1,1,0.1667,1,0.1111,2,,2,,1,,,,,
Mike Boone,CAR,RB,9,No,Yes,No,8,3,No,Yes,2,0.6667,0.375,1,0.3333,-2,2,,-14,,0.125,0.375,,-4.6667,42.4,-0.25,-0.6667,-6.0764,-2,2,,,4.1769,4.1769,0.3333,-0.2,0.8,0.3,1.3,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,5,,,,,,,,,,,1,0.5,0.3333,,
Velus Jones,CAR,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Will Mallory,IND,TE,15,No,No,No,13,2,No,Yes,1,0.5,0.1538,1,0.5,7,,,21,,0.7692,0.2308,2,10.5,18.8,0.5385,3.5,-5.2947,7,,,,3.563,3.563,0.1429,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,10,,,,,,,,,,,,,,1,
Chris Rodriguez Jr.,WAS,RB,5,No,No,Yes,1,1,Yes,Yes,1,1,1,1,1,12,11,2,1,,,,1,1,116.7,12,12,6.2706,12,11,2,1,1.3329,1.3329,0.2,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,7,,,,,,,,,,,,1,,,
Olamide Zaccheaus,WAS,WR,61,No,No,Yes,53,8,Yes,Yes,7,0.875,0.1509,7,0.875,42,32,9,19,,0.4717,0.5283,7,2.375,128.1,0.7925,5.25,-0.7971,6,4.5714,1.2857,2,18.134,18.134,0.1379,10.2,17.2,13.7,17.2,17.2,17.2,13.7,17.2,17.2,17.2,13.7,17.2,17.2,17,1,,,2,0.25,3,,1,,1,,,,,
Alec Pierce,IND,WR,107,No,Yes,No,89,8,No,Yes,6,0.75,0.0899,5,0.625,46,2,,68,,0.2135,0.7865,5,8.5,117.7,0.5169,5.75,-1.6201,9.2,0.4,,4,15.4306,15.4306,0.0792,10.6,15.6,13.1,15.6,15.6,15.6,13.1,15.6,15.6,15.6,13.1,15.6,15.6,16,1,,,,,1,,1,,1,1,,0.125,,
Drake London,ATL,WR,166,No,Yes,No,142,35,No,Yes,34,0.9714,0.2465,29,0.8286,305,85,53,255,,0.3732,0.6268,31,7.2857,119.6,2.1479,8.7143,1.4146,10.5172,2.931,1.8276,17,63.5259,63.5259,0.2288,48.5,77.5,63,77.5,77.5,80.5,66,77.5,77.5,77.5,63,77.5,77.5,17,3,4,0.1379,,,7,7,3,4,2,1,,0.0286,,
Jalen Tolbert,DAL,WR,125,No,No,Yes,109,18,Yes,Yes,17,0.9444,0.1651,16,0.8889,129,54,11,84,,0.3303,0.6697,18,4.6667,136.1,1.1835,7.1667,0.7851,8.0625,3.375,0.6875,9,34.1847,34.1847,0.1513,30.9,46.9,38.9,46.9,46.9,49.9,41.9,46.9,46.9,46.9,38.9,46.9,46.9,17,3,,,1,0.0556,5,3,3,2,3,,,,,
Bo Melton,GB,WR,25,No,Yes,Yes,20,3,No,No,2,0.6667,0.15,2,0.6667,9,,,10,,0.3,0.7,3,3.3333,70.1,0.45,3,-2.9176,4.5,,,1,6.3249,6.3249,0.1304,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,17,,,,1,0.3333,1,,,,,,,,,
Bub Means,NO,WR,16,No,Yes,No,14,3,No,No,3,1,0.2143,3,1,26,,,31,,0.3571,0.6429,3,10.3333,142.4,1.8571,8.6667,0.4086,8.6667,,,3,6.6013,6.6013,0.2,8.6,11.6,10.1,11.6,11.6,11.6,10.1,11.6,11.6,11.6,10.1,11.6,11.6,7,1,,,,,1,,1,,1,,,,,
Irvin Charles,NYJ,WR,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,31,No,No,No,24,6,No,Yes,4,0.6667,0.25,4,0.6667,47,50,6,4,0.0417,0.125,0.1667,5,0.6667,50.7,1.9583,7.8333,1.5584,11.75,12.5,1.5,2,9.5103,9.5103,0.2143,3.7,7.7,5.7,9.7,7.7,7.7,4.7,6.7,6.7,6.7,4.7,7.7,6.7,4,,,,2,0.3333,2,,,,,,0.6667,,,
Khalil Shakir,BUF,WR,111,No,No,No,94,29,No,Yes,27,0.931,0.3085,25,0.8621,179,184,63,18,,0.7553,0.2447,23,0.6207,89.5,1.9043,6.1724,0.5832,7.16,7.36,2.52,10,46.2348,46.2348,0.2788,23.9,48.9,36.4,48.9,48.9,51.9,39.4,48.9,48.9,48.9,36.4,48.9,48.9,15,1,7,0.28,15,0.5172,6,1,,1,,1,,0.0345,,1
Sterling Shepard,TB,WR,82,No,No,Yes,69,13,No,Yes,12,0.9231,0.1884,9,0.6923,91,51,5,61,,0.4058,0.5942,11,4.6923,88.9,1.3188,7,0.1675,10.1111,5.6667,0.5556,5,18.9811,18.9811,0.1711,9.1,18.1,13.6,18.1,18.1,18.1,13.6,18.1,18.1,18.1,13.6,18.1,18.1,14,,,,5,0.3846,1,4,,3,,1,,0.0769,1,
Chris Blair,ATL,WR,2,No,Yes,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Robert Woods,HST,WR,56,No,No,No,43,6,No,Yes,6,1,0.1395,5,0.8333,30,5,2,39,,0.3023,0.6977,3,6.5,87.5,0.6977,5,-2.1695,6,1,0.4,2,9.6141,9.6141,0.1071,3,8,5.5,8,8,8,5.5,8,8,8,5.5,8,8,15,,,,1,0.1667,,1,,,,,,,,
Brycen Tremayne,WAS,WR,2,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,-2,2,1,-4,,,1,1,-4,79.2,-1,-2,-6.4851,-2,2,1,,1.7271,1.7271,0.5,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,2,,,,1,1,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,146,No,No,No,128,30,No,No,24,0.8,0.2344,21,0.7,170,107,23,140,,0.8047,0.1719,17,4.6667,70.1,1.3281,5.6667,-0.8556,8.0952,5.0952,1.0952,10,52.3682,52.3682,0.2158,17,38,27.5,38,38,41,30.5,38,38,38,27.5,38,38,17,,4,0.1905,5,0.1667,6,4,3,1,,1,0.0234,0.0333,,
Jalen Moreno-Cropper,DAL,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,110,No,No,No,74,17,No,Yes,12,0.7059,0.2297,12,0.7059,98,60,23,81,0.5541,0.2432,0.1892,13,4.7647,104.5,1.3243,5.7647,-0.9434,8.1667,5,1.9167,7,35.8706,35.8706,0.1574,15.8,27.8,21.8,27.8,33.8,27.8,21.8,27.8,27.8,27.8,21.8,33.8,27.8,16,1,1,0.0833,1,0.0588,4,1,2,1,1,,0.0135,,,
Parker Hesse,DET,TE,3,No,No,Yes,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
D'Wayne Eskridge,MIA,WR,5,No,No,No,4,1,Yes,Yes,1,1,0.25,1,1,8,11,1,-3,,0.25,0.75,1,-3,100,2,8,3.0592,8,11,1,,1.4785,1.4785,0.2,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,6,,,,1,1,,,,,,,,,,
Joshua Cephus,JAX,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Ross Dwelley,ATL,TE,6,No,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,5,4,2,1,,1,,1,1,87.5,1.6667,5,-0.7754,5,4,2,,1.3747,1.3747,0.3333,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,14,,,,,,,,,,,,,,,
Rashod Bateman,BLT,WR,113,No,No,Yes,94,14,No,Yes,12,0.8571,0.1489,11,0.7857,93,13,9,126,,0.0851,0.9149,10,9,133.9,0.9894,6.6429,-1.1044,8.4545,1.1818,0.8182,6,25.1496,25.1496,0.1308,21.3,32.3,26.8,32.3,32.3,32.3,26.8,32.3,32.3,32.3,26.8,32.3,32.3,17,2,1,0.0909,,,3,,2,,2,1,,0.0714,,1
Grant Calcaterra,PHI,TE,105,No,Yes,No,96,14,No,Yes,12,0.8571,0.1458,12,0.8571,110,61,15,56,0.4167,0.5104,0.0729,6,4,99.4,1.1458,7.8571,1.2559,9.1667,5.0833,1.25,5,20.7509,20.7509,0.1522,11,23,17,23,29,26,20,23,23,23,17,29,23,17,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,88,No,Yes,Yes,55,16,No,No,15,0.9375,0.2909,15,0.9375,140,185,76,-47,0.0182,0.0364,0.0727,9,-2.9375,103.1,2.5455,8.75,3.0064,9.3333,12.3333,5.0667,6,23.4838,23.4838,0.2025,14,29,21.5,36.5,29,32,24.5,29,29,29,21.5,29,29,17,,10,0.6667,7,0.4375,,,,,,,0.8727,,,
Cade Stover,HST,TE,44,No,No,No,28,7,No,Yes,7,1,0.25,6,0.8571,37,45,23,-3,0.6429,0.1071,0.2143,2,-0.4286,88.7,1.3214,5.2857,-0.8549,6.1667,7.5,3.8333,2,10.2071,10.2071,0.1667,3.7,9.7,6.7,9.7,12.7,9.7,6.7,9.7,9.7,9.7,6.7,12.7,9.7,15,,1,0.1667,1,0.1429,1,1,,,,,0.0357,,,
Scott Miller,PIT,WR,28,No,Yes,No,27,4,No,No,4,1,0.1481,3,0.75,37,28,20,12,,0.2593,0.7407,4,3,103.1,1.3704,9.25,3.2782,12.3333,9.3333,6.6667,1,5.7226,5.7226,0.1818,3.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,13,,1,0.3333,,,1,,,,,1,,0.25,,
Jaylen Waddle,MIA,WR,138,No,No,No,113,20,No,Yes,12,0.6,0.177,10,0.5,81,29,7,136,,0.2743,0.7168,19,6.8,60.6,0.7168,4.05,-3.1123,8.1,2.9,0.7,5,34.1696,34.1696,0.1538,8.1,18.1,13.1,18.1,18.1,18.1,13.1,18.1,18.1,18.1,13.1,18.1,18.1,15,,1,0.1,2,0.1,3,1,,,,1,0.0088,0.05,,
Tee Higgins,CIN,WR,128,No,Yes,No,124,29,No,Yes,26,0.8966,0.2339,20,0.6897,197,44,25,245,,0.2177,0.7823,26,8.4483,122.3,1.5887,6.7931,-0.764,9.85,2.2,1.25,14,53.2926,53.2926,0.2377,37.7,57.7,47.7,57.7,57.7,60.7,50.7,57.7,57.7,57.7,47.7,57.7,57.7,12,3,2,0.1,,,7,7,3,4,2,3,,0.1034,,
Jeremy McNichols,WAS,RB,26,No,No,Yes,22,6,Yes,Yes,5,0.8333,0.2727,5,0.8333,9,22,1,-12,0.0455,0.2273,,3,-2,79.2,0.4091,1.5,-4.2936,1.8,4.4,0.2,,8.6212,8.6212,0.25,0.9,5.9,3.4,8.4,5.9,5.9,3.4,5.9,5.9,5.9,3.4,5.9,5.9,17,,,,2,0.3333,,,,,,,0.7273,,,
Jerome Ford,CLV,RB,113,No,No,No,84,19,Yes,Yes,18,0.9474,0.2262,18,0.9474,136,176,56,-37,0.1786,0.0595,0.0833,13,-1.9474,96.5,1.619,7.1579,1.3336,7.5556,9.7778,3.1111,6,28.2823,28.2823,0.1776,13.6,31.6,22.6,40.6,31.6,34.6,25.6,31.6,31.6,31.6,22.6,31.6,31.6,14,,9,0.5,9,0.4737,1,,,,,,0.6786,,,
