Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TouchdownsInEndzone,ReceptionsHero,DeepTargetTargetsTotal
Ben Skowronek,PIT,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.625,0.25,,,0.125,,,,,,,,
Trey Benson,ARZ,RB,5,No,No,Yes,3,,No,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,0.3333,,,,,,,,,,,
Julius Chestnut,TEN,RB,9,No,No,Yes,7,,No,Yes,,,,,,,,,,,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.1429,0.1429,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,98,No,Yes,No,95,33,No,No,27,0.8182,,0.3474,22,0.6667,210,97,61,209,0.0211,28,2,0.0606,6.3333,84.2,2.2105,6.3636,-0.5895,9.5455,4.4091,2.7727,10,51.488,51.488,0.3708,21,43,32,43,43,46,35,43,43,43,32,43,43,3,17,0.7684,0.2105,5,3,,,2,3,0.1364,0.0606,,,
Zach Davidson,BUF,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,
Jeremy McNichols,WAS,RB,32,No,No,Yes,19,2,Yes,Yes,2,1,,0.1053,2,1,16,11,2,5,0.4737,,,,2.5,100,0.8421,8,1.548,8,5.5,1,1,2.8648,2.8648,0.069,1.6,3.6,2.6,4.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,1,17,0.4211,0.1053,,,,,,,,,,,
Jerome Ford,CLV,RB,56,No,No,No,47,6,No,Yes,6,1,,0.1277,5,0.8333,29,26,4,,0.5957,5,2,0.3333,,86.8,0.617,4.8333,-1.2949,5.8,5.2,0.8,1,9.048,9.048,0.1111,2.9,7.9,5.4,10.4,7.9,7.9,5.4,7.9,7.9,7.9,5.4,7.9,7.9,,14,0.1064,0.1064,,,0.1915,,1,2,0.4,0.1667,,,
George Pickens,PIT,WR,51,No,No,No,50,3,No,Yes,3,1,,0.06,3,1,29,19,6,10,,3,1,0.3333,3.3333,106.9,0.58,9.6667,3.9509,9.6667,6.3333,2,2,5.5142,5.5142,0.0625,2.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,,14,0.2,0.8,,,,,,,,,,,
Jermaine Burton,CIN,WR,11,No,No,No,10,2,No,Yes,2,1,1,0.2,1,0.5,11,2,,26,,2,,,13,66.7,1.1,5.5,-4.0596,11,2,,1,6.3264,6.3264,0.1818,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2,14,,1,1,,,,,,,,,,
Pharaoh Brown,SEA,TE,17,No,No,No,10,2,Yes,Yes,2,1,,0.2,2,1,13,8,7,5,,1,,,2.5,93.8,1.3,6.5,0.6155,6.5,4,3.5,,2.6784,2.6784,0.125,1.3,3.3,2.3,3.3,4.3,3.3,2.3,3.3,3.3,3.3,2.3,4.3,3.3,,15,0.4,,,,0.6,,,,,,,,
Chris Olave,NO,WR,37,No,No,No,35,8,No,Yes,7,0.875,,0.2286,7,0.875,85,19,2,82,,7,1,0.125,10.25,110.9,2.4286,10.625,2.3646,12.1429,2.7143,0.2857,6,14.8192,14.8192,0.2581,8.5,15.5,12,15.5,15.5,15.5,12,15.5,15.5,15.5,12,15.5,15.5,1,8,0.2571,0.7429,1,1,,,,,,,,,
Rico Dowdle,DAL,RB,66,No,No,Yes,54,13,Yes,Yes,11,0.8462,,0.2407,10,0.7692,72,58,26,23,0.8704,3,1,0.0769,1.7692,89.3,1.3333,5.5385,-0.7242,7.2,5.8,2.6,3,17.9596,17.9596,0.2097,7.2,17.2,12.2,22.2,17.2,17.2,12.2,17.2,17.2,17.2,12.2,17.2,17.2,,16,0.037,0.0926,1,,,,,3,0.3,,,,
Ricky Pearsall,SF,WR,57,No,No,No,53,10,Yes,Yes,7,0.7,,0.1887,7,0.7,55,8,2,83,,7,,,8.3,77.1,1.0377,5.5,-1.9568,7.8571,1.1429,0.2857,3,19.8582,19.8582,0.1754,11.5,18.5,15,18.5,18.5,18.5,15,18.5,18.5,18.5,15,18.5,18.5,2,11,0.283,0.717,2,2,,1,,,,,,,
Jordan Matthews,CAR,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,
Rashod Bateman,BLT,WR,81,No,No,Yes,77,16,No,No,14,0.875,3,0.2078,12,0.75,158,60,10,146,,12,,,9.125,119.3,2.0519,9.875,2.0384,13.1667,5,0.8333,10,32.1525,32.1525,0.2162,27.8,39.8,33.8,39.8,39.8,42.8,36.8,39.8,39.8,39.8,33.8,39.8,39.8,4,17,0.1558,0.8442,1,,,2,1,3,0.25,0.0625,2,,
Grant Calcaterra,PHI,TE,25,No,Yes,No,21,3,No,No,3,1,1,0.1429,3,1,39,11,6,32,,3,,,10.6667,158.3,1.8571,13,4.4098,13,3.6667,2,3,5.1441,5.1441,0.125,9.9,12.9,11.4,12.9,14.4,12.9,11.4,12.9,12.9,12.9,11.4,14.4,12.9,1,17,0.381,0.0952,,,0.5238,1,,,,,1,,
Josh Jacobs,GB,RB,44,No,No,No,31,8,No,Yes,7,0.875,,0.2581,7,0.875,44,38,14,13,0.871,3,2,0.25,1.625,89.6,1.4194,5.5,-0.914,6.2857,5.4286,2,1,12.5683,12.5683,0.1905,4.4,11.4,7.9,14.9,11.4,11.4,7.9,11.4,11.4,11.4,7.9,11.4,11.4,2,17,0.0323,0.0968,1,1,,,,1,0.1429,,,,
Cade Stover,HST,TE,25,No,No,Yes,17,6,No,Yes,4,0.6667,,0.3529,4,0.6667,41,16,6,38,0.0588,2,,,6.3333,86.1,2.4118,6.8333,-0.4745,10.25,4,1.5,1,8.7931,8.7931,0.25,4.1,8.1,6.1,8.1,10.1,8.1,6.1,8.1,8.1,8.1,6.1,10.1,8.1,,15,0.2941,0.1176,,,0.5294,,,,,,,,
Jaylen Waddle,MIA,WR,81,No,No,No,79,23,No,Yes,21,0.913,1,0.2911,20,0.8696,251,94,44,184,,16,1,0.0435,8,108.5,3.1772,10.913,3.4719,12.55,4.7,2.2,13,38.4448,38.4448,0.2949,31.1,51.1,41.1,51.1,51.1,54.1,44.1,51.1,51.1,51.1,41.1,51.1,51.1,3,15,0.3291,0.6709,,,,1,1,2,0.1,0.0435,,,
Scott Miller,PIT,WR,17,No,No,No,17,1,No,Yes,,,,0.0588,,,,,,11,,1,,,11,39.6,,,-8.3152,,,,,1.6411,1.6411,0.0625,,,,,,,,,,,,,,,13,0.3529,0.6471,,,,,,,,,,,
Tee Higgins,CIN,WR,77,No,No,No,73,22,No,Yes,20,0.9091,4,0.3014,18,0.8182,194,89,59,162,,18,,,7.3636,143,2.6575,8.8182,1.7033,10.7778,4.9444,3.2778,13,40.0074,40.0074,0.3014,43.4,61.4,52.4,61.4,61.4,64.4,55.4,61.4,61.4,61.4,52.4,61.4,61.4,5,12,0.1781,0.8219,5,5,,4,1,5,0.2778,0.0455,3,,
Jaxon Smith-Njigba,SEA,WR,113,No,No,No,100,32,Yes,Yes,27,0.8438,2,0.32,25,0.7812,342,236,56,193,,25,7,0.2188,6.0312,108.6,3.42,10.6875,3.6296,13.68,9.44,2.24,16,54.5446,54.5446,0.2991,40.2,65.2,52.7,65.2,65.2,68.2,55.7,65.2,65.2,65.2,52.7,65.2,65.2,4,17,0.85,0.15,2,1,,1,1,5,0.2,0.0312,1,1,
Jalen Moreno-Cropper,DAL,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
Sam LaPorta,DET,TE,127,No,No,No,119,28,Yes,Yes,23,0.8214,3,0.2353,21,0.75,216,88,31,217,0.0084,17,1,0.0357,7.75,120.5,1.8151,7.7143,0.0893,10.2857,4.1905,1.4762,13,47.9053,47.9053,0.2353,33.6,54.6,44.1,54.6,65.1,57.6,47.1,54.6,54.6,54.6,44.1,65.1,54.6,3,16,0.3025,0.2521,6,6,0.437,2,1,1,0.0476,0.0357,2,,
D'Wayne Eskridge,MIA,WR,4,No,No,No,3,1,No,Yes,1,1,,0.3333,1,1,30,18,3,12,,1,,,12,118.8,10,30,20.9539,30,18,3,1,1.4695,1.4695,0.25,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,,6,,1,,,,,,,,,,,
Parker Hesse,DET,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,
Joshua Cephus,JAX,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
Ross Dwelley,ATL,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,
Christian McCaffrey,SF,RB,23,No,No,No,21,7,No,Yes,6,0.8571,,0.3333,6,0.8571,45,19,7,28,0.7619,1,,,4,93.5,2.1429,6.4286,-0.4561,7.5,3.1667,1.1667,1,10.056,10.056,0.3043,4.5,10.5,7.5,13.5,10.5,10.5,7.5,10.5,10.5,10.5,7.5,10.5,10.5,,4,0.0476,0.1905,,,,,,1,0.1667,,,,
Sterling Shepard,TB,WR,53,No,No,Yes,50,11,No,Yes,9,0.8182,1,0.22,8,0.7273,79,15,4,101,0.02,4,,,9.1818,92.6,1.58,7.1818,-0.6308,9.875,1.875,0.5,3,18.2233,18.2233,0.2157,7.9,15.9,11.9,15.9,15.9,15.9,11.9,15.9,15.9,15.9,11.9,15.9,15.9,1,14,0.54,0.44,,,,,1,1,0.125,0.0909,,,
Khalil Shakir,BUF,WR,54,No,Yes,No,54,25,No,Yes,23,0.92,,0.463,21,0.84,239,126,31,151,0.037,15,1,0.04,6.04,133.2,4.4259,9.56,2.7854,11.381,6,1.4762,10,45.4494,45.4494,0.4808,35.9,56.9,46.4,56.9,56.9,59.9,49.4,56.9,56.9,56.9,46.4,56.9,56.9,2,15,0.6296,0.3148,5,3,0.0185,2,,6,0.2857,,,,
Chris Blair,ATL,WR,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,
Brycen Tremayne,WAS,WR,4,No,No,Yes,4,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,
Robert Woods,HST,WR,28,No,No,Yes,27,5,No,Yes,5,1,,0.1852,4,0.8,43,8,3,42,,1,,,8.4,102.5,1.5926,8.6,0.9223,10.75,2,0.75,3,9.3735,9.3735,0.1852,4.3,8.3,6.3,8.3,8.3,8.3,6.3,8.3,8.3,8.3,6.3,8.3,8.3,1,15,0.4074,0.5926,,,,,1,1,0.25,0.2,,,
Chris Rodriguez Jr.,WAS,RB,6,No,No,Yes,3,,Yes,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.3333,,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,64,No,No,Yes,56,11,Yes,Yes,8,0.7273,,0.1964,8,0.7273,69,36,11,52,,6,2,0.1818,4.7273,88.8,1.2321,6.2727,-0.207,8.625,4.5,1.375,4,17.8384,17.8384,0.1833,6.9,14.9,10.9,14.9,14.9,14.9,10.9,14.9,14.9,14.9,10.9,14.9,14.9,2,17,0.5714,0.4286,1,1,,,,1,0.125,,,,
Drake London,ATL,WR,97,No,No,No,96,32,No,Yes,25,0.7812,3,0.3333,20,0.625,254,97,52,311,,26,,,9.7188,48.2,2.6458,7.9375,-0.1288,12.7,4.85,2.6,14,57.7359,57.7359,0.3596,25.4,45.4,35.4,45.4,45.4,48.4,38.4,45.4,45.4,45.4,35.4,45.4,45.4,6,17,0.4583,0.5417,8,4,,,3,6,0.3,0.0938,,,
Jalen Tolbert,DAL,WR,105,No,No,Yes,101,12,Yes,Yes,10,0.8333,4,0.1188,9,0.75,96,10,3,134,,9,,,11.1667,137.5,0.9505,8,-0.584,10.6667,1.1111,0.3333,7,24.8536,24.8536,0.125,27.6,36.6,32.1,36.6,36.6,36.6,32.1,36.6,36.6,36.6,32.1,36.6,36.6,5,17,0.3366,0.6634,1,,,3,1,,,0.0833,3,,
Bub Means,NO,WR,11,No,No,No,10,1,No,No,1,1,,0.1,1,1,8,,,8,,1,,,8,100,0.8,8,0.4894,8,,,,1.2852,1.2852,0.1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,7,0.2,0.8,,,,,,,,,,,
Alec Pierce,IND,WR,61,No,Yes,Yes,58,5,No,No,5,1,,0.0862,5,1,66,11,4,55,,4,,,11,118.8,1.1379,13.2,4.8191,13.2,2.2,0.8,4,7.2576,7.2576,0.0862,6.6,11.6,9.1,11.6,11.6,11.6,9.1,11.6,11.6,11.6,9.1,11.6,11.6,,16,0.2414,0.7586,,,,,,,,,,1,
Irvin Charles,NYJ,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,1,,,,,,,,
Bo Melton,GB,WR,8,No,No,No,8,2,No,Yes,2,1,,0.25,2,1,19,1,1,18,0.125,1,,,9,106.3,2.375,9.5,1.8613,9.5,0.5,0.5,1,3.4094,3.4094,0.25,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,17,0.375,0.5,1,1,,,,,,,,,
Mike Boone,CAR,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
Will Mallory,IND,TE,17,No,No,No,17,3,No,Yes,2,0.6667,,0.1765,2,0.6667,12,1,,22,,2,,,7.3333,74.3,0.7059,4,-3.3716,6,0.5,,1,6.1675,6.1675,0.1765,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,,10,0.7647,0.1176,,,0.1176,,,1,0.5,,,,
CeeDee Lamb,DAL,WR,115,Yes,No,No,115,34,No,Yes,30,0.8824,1,0.2957,18,0.5294,121,47,18,175,0.0261,26,2,0.0588,5.1471,61,1.0522,3.5588,-2.9106,6.7222,2.6111,1,8,53.3442,53.3442,0.3208,12.1,30.1,21.1,30.1,30.1,33.1,24.1,30.1,30.1,30.1,21.1,30.1,30.1,5,16,0.6087,0.3652,9,2,,,6,3,0.1667,0.1765,,,
Noah Fant,SEA,TE,77,No,No,No,64,14,Yes,Yes,13,0.9286,1,0.2188,11,0.7857,169,92,33,103,0.0156,10,1,0.0714,7.3571,140.8,2.6406,12.0714,4.6925,15.3636,8.3636,3,8,24.3041,24.3041,0.1842,22.9,33.9,28.4,33.9,39.4,36.9,31.4,33.9,33.9,33.9,28.4,39.4,33.9,2,14,0.5312,0.1562,2,1,0.2969,1,1,4,0.3636,0.0714,,,
Nick Vannett,TEN,TE,17,No,No,Yes,12,3,No,Yes,3,1,,0.25,3,1,21,15,5,6,,1,1,0.3333,2,95.8,1.75,7,0.8627,7,5,1.6667,1,4.2612,4.2612,0.1875,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,,17,0.1667,0.0833,1,1,0.75,,,,,,,,
Jordan Akins,CLV,TE,50,No,No,Yes,45,11,No,No,9,0.8182,2,0.2444,9,0.8182,108,34,17,103,,8,,,9.3636,137.9,2.4,9.8182,1.7916,12,3.7778,1.8889,6,21.8154,21.8154,0.2292,16.8,25.8,21.3,25.8,30.3,28.8,24.3,25.8,25.8,25.8,21.3,30.3,25.8,2,17,0.4,0.1556,2,2,0.4444,1,,,,,1,,
Peyton Hendershot,KC,TE,5,No,No,No,4,2,No,Yes,2,1,,0.5,2,1,25,18,10,7,,1,,,3.5,118.8,6.25,12.5,6.3057,12.5,9,5,1,2.9348,2.9348,0.4,2.5,4.5,3.5,4.5,5.5,4.5,3.5,4.5,4.5,4.5,3.5,5.5,4.5,,7,0.25,0.5,,,0.25,,,,,,,,
Joshua Kelley,TEN,RB,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Treylon Burks,TEN,WR,8,No,No,No,5,2,No,Yes,2,1,,0.4,1,0.5,13,1,1,23,,,,,11.5,70.8,2.6,6.5,-2.1806,13,1,1,1,2.7619,2.7619,0.2857,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,5,,1,,,,,1,,,0.5,,,
James Cook,BUF,RB,31,Yes,No,Yes,30,3,No,Yes,3,1,,0.1,3,1,32,25,25,7,0.9333,,,,2.3333,111.1,1.0667,10.6667,4.3339,10.6667,8.3333,8.3333,1,4.2284,4.2284,0.1034,3.2,6.2,4.7,7.7,6.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,1,16,0.0667,,,,,,,1,0.3333,,,,
Jared Wiley,KC,TE,5,No,No,No,5,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.4,,,,0.6,,,,,,,,
Ja'Lynn Polk,NE,WR,45,No,Yes,Yes,43,6,No,Yes,5,0.8333,2,0.1395,4,0.6667,29,2,,67,,5,,,11.1667,117.4,0.6744,4.8333,-3.5857,7.25,0.5,,2,11.1019,11.1019,0.1538,8.9,12.9,10.9,12.9,12.9,12.9,10.9,12.9,12.9,12.9,10.9,12.9,12.9,2,15,0.3023,0.6977,1,1,,1,1,,,0.1667,1,,1
Isaiah Likely,BLT,TE,62,No,No,Yes,58,8,No,No,7,0.875,3,0.1379,5,0.625,40,9,8,84,0.0172,3,1,0.125,10.5,114.6,0.6897,5,-3.7379,8,1.8,1.6,4,16.6941,16.6941,0.1404,16,21,18.5,21,23.5,21,18.5,21,21,21,18.5,23.5,21,4,16,0.6897,0.1207,1,,0.1724,2,1,2,0.4,0.125,2,,
George Kittle,SF,TE,88,No,No,No,77,25,Yes,Yes,25,1,2,0.3247,23,0.92,320,162,57,190,,17,2,0.08,7.6,158.3,4.1558,12.8,5.2945,13.913,7.0435,2.4783,19,45.7421,45.7421,0.2841,50,73,61.5,73,84.5,76,64.5,73,73,73,61.5,84.5,73,5,15,0.3506,0.0909,4,2,0.5584,3,,3,0.1304,,2,1,
Keenan Allen,CHI,WR,78,No,No,No,68,16,No,Yes,13,0.8125,1,0.2353,12,0.75,132,42,12,131,,9,,,8.1875,138.5,1.9412,8.25,0.7636,11,3.5,1,8,31.2878,31.2878,0.2222,25.2,37.2,31.2,37.2,37.2,40.2,34.2,37.2,37.2,37.2,31.2,37.2,37.2,3,15,0.4706,0.5294,2,2,,2,1,1,0.0833,0.0625,1,1,
Dalton Schultz,HST,TE,77,No,No,Yes,68,16,No,Yes,12,0.75,1,0.2353,10,0.625,84,32,17,74,0.0588,8,1,0.0625,4.625,96.9,1.2353,5.25,-1.5305,8.4,3.2,1.7,5,26.2992,26.2992,0.2192,14.4,24.4,19.4,24.4,29.4,24.4,19.4,24.4,24.4,24.4,19.4,29.4,24.4,3,17,0.2647,0.1029,1,1,0.5735,1,2,1,0.1,0.125,1,,
Anthony Gould,IND,WR,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,
Lucas Krull,DEN,TE,40,No,No,No,38,12,No,Yes,11,0.9167,,0.3158,11,0.9167,77,45,12,36,,5,1,0.0833,3,93.4,2.0263,6.4167,0.2759,7,4.0909,1.0909,3,17.1286,17.1286,0.3243,7.7,18.7,13.2,18.7,24.2,18.7,13.2,18.7,18.7,18.7,13.2,24.2,18.7,,13,0.3947,0.1316,,,0.4737,,,2,0.1818,,,,
Tyler Johnson,LA,WR,36,No,No,No,36,14,Yes,Yes,11,0.7857,1,0.3889,10,0.7143,132,92,19,80,,5,,,5.7143,71.1,3.6667,9.4286,2.9564,13.2,9.2,1.9,4,24.9327,24.9327,0.4,13.2,23.2,18.2,23.2,23.2,26.2,21.2,23.2,23.2,23.2,18.2,23.2,23.2,3,15,0.3056,0.6944,,,,,,4,0.4,,,,
Chig Okonkwo,TEN,TE,67,No,No,Yes,64,12,No,Yes,10,0.8333,,0.1875,10,0.8333,55,17,7,50,,8,2,0.1667,4.1667,85.8,0.8594,4.5833,-1.9596,5.5,1.7,0.7,2,22.1085,22.1085,0.1846,4.5,14.5,9.5,14.5,19.5,14.5,8.5,13.5,13.5,13.5,8.5,19.5,13.5,1,17,0.5156,0.1406,2,2,0.3438,,,1,0.1,,,,
