Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Miles Sanders,CAR,RB,9,No,No,No,7,2,No,No,1,0.5,0.2857,1,0.5,33,7,,39,,0.1429,0.1429,1,19.5,1,135.4,4.7143,16.5,3.5444,,33,7,,1,3.9409,3.9409,0.2222,9.3,10.3,9.8,10.8,10.3,10.3,9.8,10.3,10.3,10.3,9.8,10.3,10.3,11,0.7143,,,,,,1,,,,
Saquon Barkley,PHI,RB,22,No,No,No,20,2,No,Yes,1,0.5,0.1,1,0.5,18,,,41,,,0.1,1,20.5,1,120.8,0.9,9,-1.1381,,18,,,1,5.1451,5.1451,0.0909,7.8,8.8,8.3,9.3,8.8,8.8,8.3,8.8,8.8,8.8,8.3,8.8,8.8,16,0.9,1,1,1,,1,1,1,1,,
Evan Engram,JAX,TE,18,Yes,No,No,17,2,No,Yes,,,0.1176,,,,,,32,,0.1765,0.4118,2,16,,39.6,,,-11.1599,,,,,,3.4073,3.4073,0.1111,,,,,,,,,,,,,,9,,,,,0.4118,,,,,,
Jamari Thrash,CLV,WR,5,No,No,No,5,1,No,No,1,1,0.2,,,,,,28,,0.4,0.6,1,28,1,39.6,,,-11.0769,,,,,,3.2931,3.2931,0.25,,,,,,,,,,,,,,9,,1,,,,,,,,,
Josh Whyle,TEN,TE,14,No,No,Yes,11,2,No,No,1,0.5,0.1818,1,0.5,23,6,3,29,,0.4545,0.1818,2,14.5,,91.7,2.0909,11.5,1.3266,,23,6,3,1,3.7843,3.7843,0.1429,2.3,3.3,2.8,3.3,3.8,3.3,2.8,3.3,3.3,3.3,2.8,3.8,3.3,17,,,,,0.3636,,,,,,
Travis Etienne,JAX,RB,17,No,Yes,No,13,1,Yes,Yes,,,0.0769,,,,,,30,,,0.0769,1,30,1,39.6,,,-10.8125,,,,,,2.3791,2.3791,0.0588,,,,,,,,,,,,,,15,0.9231,,,,,,,1,,,
Jordan Whittington,LA,WR,12,No,Yes,No,12,1,No,Yes,1,1,0.0833,1,1,50,28,2,22,,0.3333,0.6667,1,22,1,118.8,4.1667,50,38.0759,,50,28,2,1,1.3853,1.3853,0.0833,5,6,5.5,6,6,6,5.5,6,6,6,5.5,6,6,15,,,,,,,,,,,
Samaje Perine,KC,RB,8,No,No,Yes,8,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
J.K. Dobbins,LAC,RB,17,No,No,No,10,1,No,No,1,1,0.1,,,,,,14,1,0.3,,,14,,39.6,,,-9.9318,1,,,,,1.6111,1.6111,0.0588,,,,,,,,,,,,,,13,0.7,,,,,,,,,,
Emari Demercado,ARZ,RB,12,No,No,Yes,10,1,No,No,,,0.1,,,,,,18,,,0.1,,18,,39.6,,,-9.2121,,,,,,1.8091,1.8091,0.0833,,,,,,,,,,,,,,13,0.9,,,,,,,,,,
Dare Ogunbowale,HST,RB,12,No,No,Yes,7,,No,No,,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8571,,,,,,,,,,
Jerry Jeudy,CLV,WR,46,No,No,No,46,15,No,No,8,0.5333,0.3261,3,0.2,154,86,5,354,3,0.2826,0.6957,14,23.6,7,92.1,3.3478,10.2667,-1.3711,0.2,51.3333,28.6667,1.6667,3,30.0709,30.0709,0.3409,21.4,24.4,22.9,24.4,24.4,27.4,25.9,24.4,24.4,24.4,22.9,24.4,24.4,17,0.0217,2,,,,3,1,3,,,
Nico Collins,HST,WR,15,No,No,Yes,15,9,No,No,5,0.5556,0.6,4,0.4444,150,38,14,231,,0.2667,0.7333,8,25.6667,7,51.6,10,16.6667,4.8446,,37.5,9.5,3.5,4,17.9913,17.9913,0.6429,15,19,17,19,19,22,20,19,19,19,17,19,19,12,,,,,,,,,,,
Jake Ferguson,DAL,TE,25,No,Yes,No,21,1,No,No,1,1,0.0476,,,,,,24,1,0.5714,0.1429,,24,1,39.6,,,-15.442,1,,,,,1.9113,1.9113,0.0417,,,,,,,,,,,,,,14,,1,,,0.2857,,,,,,
Davante Adams,NYJ,WR,22,No,Yes,Yes,22,7,No,No,5,0.7143,0.3182,4,0.5714,98,5,1,166,1,0.2727,0.7273,5,23.7143,6,101.8,4.4545,14,2.6889,0.1429,24.5,1.25,0.25,4,19.2241,19.2241,0.3182,9.8,13.8,11.8,13.8,13.8,13.8,11.8,13.8,13.8,13.8,11.8,13.8,13.8,14,,3,2,2,,,,1,,,
Ronnie Rivers,LA,RB,4,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,
Amari Cooper,BUF,WR,33,No,Yes,No,33,17,No,No,9,0.5294,0.5152,8,0.4706,184,35,8,370,1,0.1515,0.8485,15,21.7647,9,106,5.5758,10.8235,-0.582,0.0588,23,4.375,1,8,34.5021,34.5021,0.5312,24.4,32.4,28.4,32.4,32.4,35.4,31.4,32.4,32.4,32.4,28.4,32.4,32.4,14,,2,2,2,,,1,1,1,1,0.125
Darius Slayton,NYG,WR,37,No,No,No,37,9,No,No,8,0.8889,0.2432,5,0.5556,115,13,6,188,,0.0811,0.9189,7,20.8889,4,137.5,3.1081,12.7778,1.7082,,23,2.6,1.2,5,21.9343,21.9343,0.2432,17.5,22.5,20,22.5,22.5,25.5,23,22.5,22.5,22.5,20,22.5,22.5,16,,1,,,,,1,,,,
Chris Brooks,GB,RB,10,Yes,Yes,No,6,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.8333,,,,0.1667,,,,,,
Christian Watson,GB,WR,27,Yes,Yes,No,27,15,No,Yes,10,0.6667,0.5556,7,0.4667,225,71,8,398,1,0.2593,0.7037,11,26.5333,10,93.1,8.3333,15,2.5183,0.0667,32.1429,10.1429,1.1429,7,32.4303,32.4303,0.5769,22.5,29.5,26,29.5,29.5,32.5,29,29.5,29.5,29.5,26,29.5,29.5,15,,2,,2,0.037,2,,3,,1,0.1429
Dallin Holker,NO,TE,2,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,1,,,,,,
James Conner,ARZ,RB,22,No,Yes,Yes,13,,No,No,,,,,,,,,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.9231,,,,,,,,,,
Anthony Firkser,KC,TE,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,
Justice Hill,BLT,RB,20,Yes,No,No,15,2,No,Yes,2,1,0.1333,1,0.5,24,1,,40,,0.0667,0.0667,2,20,1,54.2,1.6,12,3.3144,,24,1,,1,2.8692,2.8692,0.1,2.4,3.4,2.9,3.9,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,16,0.8667,1,,,,,,,,,
Tyler Conklin,NYJ,TE,22,No,Yes,Yes,16,3,No,No,2,0.6667,0.1875,2,0.6667,42,8,4,55,,0.3125,0.125,1,18.3333,1,109.7,2.625,14,1.8917,,21,4,2,2,6.1688,6.1688,0.1364,4.2,6.2,5.2,6.2,7.2,6.2,5.2,6.2,6.2,6.2,5.2,7.2,6.2,16,,,,,0.5625,,,,,,
Sincere McCormick,LV,RB,3,No,No,No,3,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,
K.J. Osborn,WAS,WR,6,No,No,No,6,1,No,No,,,0.1667,,,,,,17,,0.3333,0.6667,,17,,39.6,,,-11.6653,,,,,,2.023,2.023,0.1667,,,,,,,,,,,,,,9,,,,,,,,,,,
Jase McClellan,ATL,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Ja'Marr Chase,CIN,WR,30,No,Yes,No,30,11,Yes,Yes,9,0.8182,0.3667,8,0.7273,193,10,3,267,,0.3333,0.6667,9,24.2727,6,154.4,6.4333,17.5455,5.237,,24.125,1.25,0.375,8,27.2371,27.2371,0.3929,43.3,51.3,47.3,51.3,51.3,54.3,50.3,51.3,51.3,51.3,47.3,51.3,51.3,17,,1,1,1,,2,4,3,2,,
D'Andre Swift,CHI,RB,22,Yes,Yes,No,17,,No,Yes,,,,,,,,,,,0.1176,0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7647,,,,,,,,,,
Adam Trautman,DEN,TE,19,No,No,Yes,11,,No,Yes,,,,,,,,,,,0.1818,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.6364,,,,,,
Jonathan Mingo,DAL,WR,18,No,Yes,No,18,7,No,No,4,0.5714,0.3889,2,0.2857,64,20,2,186,1,0.3889,0.6111,6,26.5714,5,25.6,3.5556,9.1429,-3.0392,0.1429,32,10,1,2,11.5293,11.5293,0.4375,6.4,8.4,7.4,8.4,8.4,8.4,7.4,8.4,8.4,8.4,7.4,8.4,8.4,17,,1,,,,,,,,,
Cooper Kupp,LA,WR,26,No,Yes,Yes,25,9,No,No,6,0.6667,0.36,6,0.6667,142,20,6,174,,0.76,0.24,8,19.3333,5,146.8,5.68,15.7778,4.8879,,23.6667,3.3333,1,6,18.8108,18.8108,0.3462,20.2,26.2,23.2,26.2,26.2,29.2,26.2,26.2,26.2,26.2,23.2,26.2,26.2,12,,1,,1,,,1,,,,
Tommy Tremble,CAR,TE,21,No,No,No,15,,No,No,,,,,,,,,,,0.6,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,0.3333,,,,,,
Kayshon Boutte,NE,WR,11,No,Yes,Yes,10,4,No,No,2,0.5,0.4,1,0.25,33,2,,123,,,1,4,30.75,4,61.5,3.3,8.25,-3.7551,,33,2,,1,9.3368,9.3368,0.4,3.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,15,,1,,,,,,,,,
Hunter Long,LA,TE,15,No,Yes,No,10,,No,Yes,,,,,,,,,,,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.7,,,,,,
Ben Sims,GB,TE,4,Yes,Yes,No,4,1,No,Yes,1,1,0.25,1,1,28,10,,18,,,,,18,,118.8,7,28,15.0268,,28,10,,1,1.9884,1.9884,0.25,2.8,3.8,3.3,3.8,4.3,3.8,3.3,3.8,3.8,3.8,3.3,4.3,3.8,16,,,,,1,,,,,,
DeAndre Carter,CHI,WR,9,No,No,Yes,8,2,No,No,,,0.25,,,,,,57,,0.75,0.25,1,28.5,2,39.6,,,-12.8043,,,,,,6.0267,6.0267,0.25,,,,,,,,,,,,,,13,,,,,,,,,,,
Robbie Chosen,MIA,WR,3,Yes,Yes,No,3,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Devin Singletary,NYG,RB,14,No,No,No,9,,No,No,,,,,,,,,,,0.1111,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.7778,,,,,,,,,,
Zamir White,LV,RB,5,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,
Ameer Abdullah,LV,RB,17,No,No,No,11,,No,No,,,,,,,,,,,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.8182,,,,,,,,,,
Trey Sermon,IND,RB,15,No,Yes,No,10,,Yes,Yes,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9,,,,,,,,,,
Josh Downs,IND,WR,26,No,Yes,No,26,7,Yes,Yes,6,0.8571,0.2692,4,0.5714,128,42,,158,,0.9231,0.0769,6,22.5714,3,141.4,4.9231,18.2857,7.059,,32,10.5,,4,17.7445,17.7445,0.28,24.8,28.8,26.8,28.8,28.8,31.8,29.8,28.8,28.8,28.8,26.8,28.8,28.8,14,,1,,,,1,2,2,1,,
Khalil Herbert,CIN,RB,4,No,Yes,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,
Devaughn Vele,DEN,WR,23,No,No,Yes,23,5,No,Yes,4,0.8,0.2174,3,0.6,75,6,,95,,0.7826,0.2174,3,19,3,104.2,3.2609,15,4.4937,,25,2,,3,11.6119,11.6119,0.2273,7.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,13,,1,,1,,,,,,,
Tyler Allgeier,ATL,RB,6,No,No,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,
Stephen Sullivan,CAR,TE,2,No,Yes,Yes,1,1,No,Yes,,,1,,,,,,16,,,1,1,16,,39.6,,,-10.191,,,,,,1.9169,1.9169,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,
Foster Moreau,NO,TE,19,No,Yes,Yes,8,3,No,No,1,0.3333,0.375,1,0.3333,32,12,2,65,,0.125,,2,21.6667,2,34.7,4,10.6667,-1.9174,,32,12,2,1,7.6606,7.6606,0.1579,3.2,4.2,3.7,4.2,4.7,4.2,3.7,4.2,4.2,4.2,3.7,4.7,4.2,17,,,,,0.875,,,,,,
Isaiah Davis,NYJ,RB,3,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,
Colby Parkinson,LA,TE,29,No,Yes,No,22,3,No,Yes,1,0.3333,0.1364,1,0.3333,19,,,70,,0.1364,0.0455,3,23.3333,3,95.8,0.8636,6.3333,-7.0787,,19,,,1,6.8731,6.8731,0.1071,7.9,8.9,8.4,8.9,9.4,8.9,8.4,8.9,8.9,8.9,8.4,9.4,8.9,17,,,,,0.8182,2,1,2,1,,
Rome Odunze,CHI,WR,34,Yes,Yes,No,34,11,No,Yes,6,0.5455,0.3235,4,0.3636,137,22,9,319,1,0.5882,0.4118,7,29,8,46.4,4.0294,12.4545,0.2263,0.0909,34.25,5.5,2.25,4,29.1205,29.1205,0.3667,13.7,17.7,15.7,17.7,17.7,20.7,18.7,17.7,17.7,17.7,15.7,17.7,17.7,17,,2,1,,,,,,,,
Keaton Mitchell,BLT,RB,2,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,
D.J. Moore,CHI,WR,36,Yes,Yes,No,36,10,No,Yes,3,0.3,0.2778,3,0.3,88,2,1,301,,0.1667,0.8056,6,30.1,10,63.8,2.4444,8.8,-3.9975,,29.3333,0.6667,0.3333,3,25.6002,25.6002,0.3125,20.8,23.8,22.3,23.8,23.8,23.8,22.3,23.8,23.8,23.8,22.3,23.8,23.8,17,0.0278,2,2,,,,2,1,1,,
Bucky Irving,TB,RB,17,No,Yes,Yes,15,,No,No,,,,,,,,,,,,0.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8667,,,,,,,,,,
Josh Oliver,MIN,TE,16,No,No,No,8,,No,No,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,0.625,,,,,,
Nick Chubb,CLV,RB,8,No,Yes,Yes,7,,Yes,Yes,,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.8571,,,,,,,,,,
Michael Carter,ARZ,RB,8,No,No,No,5,,Yes,Yes,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.8,,,,,,,,,,
Tyjae Spears,TEN,RB,10,No,No,No,7,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.7143,,,,0.2857,,,,,,
Jalen Nailor,MIN,WR,24,No,No,No,24,3,No,No,3,1,0.125,2,0.6667,49,,,101,1,0.6667,0.3333,3,33.6667,2,149.3,2.0417,16.3333,3.7948,0.3333,24.5,,,2,9.2859,9.2859,0.1364,10.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,17,,,,,,,1,1,1,,
John Metchie,HST,WR,13,No,No,Yes,13,1,No,No,1,1,0.0769,1,1,20,1,,19,,0.6923,0.3077,1,19,,118.8,1.5385,20,8.0679,,20,1,,1,1.77,1.77,0.0833,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,13,,1,1,,,,,,,,
Marquise Brown,KC,WR,1,No,No,No,1,1,No,No,,,1,,,,,,20,,1,,1,20,1,39.6,,,-10.8652,,,,,,1.8641,1.8641,1,,,,,,,,,,,,,,2,,,,,,,,,,,
KaVontae Turpin,DAL,WR,13,No,Yes,No,12,5,No,No,3,0.6,0.4167,1,0.2,16,,,136,2,0.9167,0.0833,3,27.2,4,40.4,1.3333,3.2,-8.8645,0.4,16,,,1,9.5236,9.5236,0.3846,7.6,8.6,8.1,8.6,8.6,8.6,8.1,8.6,8.6,8.6,8.1,8.6,8.6,17,,1,,,,1,1,1,1,,
Jamison Crowder,WAS,WR,5,No,Yes,No,5,,No,No,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
Jordan Mims,NO,RB,4,No,Yes,Yes,3,,No,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.6667,,,,,,,,,,
Jalen Brooks,DAL,WR,9,No,Yes,No,9,1,No,No,1,1,0.1111,,,,,,22,,0.2222,0.7778,1,22,1,39.6,,,-11.9241,,,,,,3.1242,3.1242,0.1111,,,,,,,,,,,,,,14,,1,,,,,,,,,
Kevin Austin,NO,WR,9,No,Yes,Yes,9,4,No,No,2,0.5,0.4444,2,0.5,40,6,3,96,,0.3333,0.6667,3,24,2,45.8,4.4444,10,-0.0386,,20,3,1.5,2,8.3383,8.3383,0.4444,4,6,5,6,6,6,5,6,6,6,5,6,6,8,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,10,No,No,No,7,1,No,No,,,0.1429,,,,,,13,,,0.2857,1,13,,39.6,,,-7.0476,,,,,,1.692,1.692,0.1111,,,,,,,,,,,,,,17,0.7143,,,,,,,,,,
Casey Washington,ATL,WR,1,No,No,No,1,1,No,Yes,1,1,1,,,,,,30,1,,1,1,30,1,39.6,,,-9.194,1,,,,,1.9559,1.9559,1,,,,,,,,,,,,,,2,,,,,,,,,,,
Mack Hollins,BUF,WR,33,No,Yes,Yes,33,4,No,No,1,0.25,0.1212,1,0.25,16,1,,104,,0.3636,0.6061,4,26,2,43.8,0.4848,4,-8.2265,,16,1,,1,10.9288,10.9288,0.125,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,17,,,,,0.0303,,,,,,
Juwan Johnson,NO,TE,27,No,Yes,Yes,25,1,No,No,1,1,0.04,1,1,26,8,2,18,,0.32,0.2,1,18,,118.8,1.04,26,13.0268,,26,8,2,1,6.552,6.552,0.0385,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,17,,,,,0.48,,,,,,
David Montgomery,DET,RB,13,No,No,No,11,,Yes,Yes,,,,,,,,,,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.9091,,,,,,,,,,
Tyler Boyd,TEN,WR,21,No,No,No,21,2,No,No,,,0.0952,,,,,,47,,0.9524,0.0476,,23.5,1,39.6,,,-11.4573,,,,,,2.9406,2.9406,0.0952,,,,,,,,,,,,,,16,,,,,,,,,,,
Andrew Ogletree,IND,TE,16,No,Yes,No,10,1,Yes,Yes,,,0.1,,,,,,15,,0.5,,1,15,,39.6,,,-10.6391,,,,,,1.8304,1.8304,0.0714,,,,,,,,,,,,,,17,,,,,0.5,,,,,,
Jaylen Warren,PIT,RB,26,No,Yes,No,19,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8947,,,,0.1053,,,,,,
Kendrick Bourne,NE,WR,6,No,Yes,Yes,6,1,No,No,,,0.1667,,,,,,16,,0.3333,0.6667,1,16,,39.6,,,-10.0952,,,,,,1.7588,1.7588,0.1667,,,,,,,,,,,,,,12,,,,,,,,,,,
Hassan Haskins,LAC,RB,6,No,No,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,
Jauan Jennings,SF,WR,21,No,No,No,21,7,Yes,Yes,6,0.8571,0.3333,5,0.7143,136,28,19,149,1,0.3333,0.6667,6,21.2857,5,153.3,6.4762,19.4286,8.5839,0.1429,27.2,5.6,3.8,5,18.9609,18.9609,0.3333,19.6,24.6,22.1,24.6,24.6,27.6,25.1,24.6,24.6,24.6,22.1,24.6,24.6,15,,3,2,1,,,1,,,1,0.2
Teagan Quitoriano,HST,TE,2,No,No,No,2,,No,No,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,,,,,,,,,
Tanner Conner,MIA,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Quintin Morris,BUF,TE,4,No,Yes,Yes,4,1,No,No,,,0.25,,,,,,23,,,0.25,1,23,1,39.6,,,-11.6992,,,,,,3.1333,3.1333,0.25,,,,,,,,,,,,,,16,,,,,0.75,,,,,,
