Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal
Stefon Diggs,HST,WR,97,No,No,Yes,84,21,No,Yes,19,0.9048,0.25,18,0.8571,138,63,31,109,0.0119,0.369,5.1905,94,1.6429,6.5714,-0.0727,7.6667,3.5,1.7222,11,33.2646,33.2646,0.2333,14.32,32.32,23.32,32.32,32.32,35.32,26.32,32.32,32.32,32.32,23.32,32.45,32.45,8,2,0.1111,0.6071,14,2,0.0952,1,2,,2,,,1,0.0476,,0.0119,
Jeremy Ruckert,NYJ,TE,71,No,No,Yes,50,17,No,Yes,13,0.7647,0.34,11,0.6471,46,53,16,24,0.04,0.16,1.4118,68.5,0.92,2.7059,-3.668,4.1818,4.8182,1.4545,2,25.672,25.672,0.2656,4.6,15.6,10.1,15.6,21.1,15.6,10.1,15.6,15.6,15.6,10.1,21.1,15.6,17,,,0.24,5,1,0.0588,2,1,1,,,,2,0.1176,,0.56,
Kalif Raymond,DET,WR,34,No,No,No,29,9,No,Yes,8,0.8889,0.3103,8,0.8889,72,71,14,4,,0.4483,0.4444,137,2.4828,8,2.6128,9,8.875,1.75,4,14.9818,14.9818,0.2812,13.2,21.2,17.2,21.2,21.2,21.2,17.2,21.2,21.2,21.2,17.2,21.2,21.2,12,1,0.125,0.5517,9,3,0.3333,1,,,,1,,,,,,
Darnell Mooney,ATL,WR,151,Yes,No,No,132,22,No,Yes,16,0.7273,0.1667,14,0.6364,138,83,18,146,,0.5455,6.6364,58.5,1.0455,6.2727,-0.9577,9.8571,5.9286,1.2857,6,36.6507,36.6507,0.1571,19.8,33.8,26.8,33.8,33.8,36.8,29.8,33.8,33.8,33.8,26.8,33.8,33.8,16,1,0.0714,0.4545,20,3,0.1364,,3,,1,1,,,,,,
Brandon Aiyuk,SF,WR,51,No,No,No,48,9,No,Yes,7,0.7778,0.1875,5,0.5556,43,11,4,78,,0.7083,8.6667,68.3,0.8958,4.7778,-2.8487,8.6,2.2,0.8,2,17.587,17.587,0.2045,4.3,9.3,6.8,9.3,9.3,9.3,6.8,9.3,9.3,9.3,6.8,9.3,9.3,7,1,0.2,0.2917,6,,,1,4,1,2,,,1,0.1111,,,1
Allen Lazard,NYJ,WR,127,No,No,Yes,103,15,No,Yes,13,0.8667,0.1456,10,0.6667,81,22,13,87,,0.6214,5.8,80.1,0.7864,5.4,-1.5847,8.1,2.2,1.3,7,24.1622,24.1622,0.125,8.1,18.1,13.1,18.1,18.1,18.1,13.1,18.1,18.1,18.1,13.1,18.1,18.1,12,,,0.3398,15,2,0.1333,3,4,,3,,,2,0.1333,,0.0388,
Andrei Iosivas,CIN,WR,176,No,No,No,166,16,No,Yes,15,0.9375,0.0964,10,0.625,110,32,7,115,,0.4759,7.1875,103.6,0.6627,6.875,-0.3877,11,3.2,0.7,7,28.2772,28.2772,0.0964,17,27,22,27,27,30,25,27,27,27,22,27,27,17,,,0.5241,10,1,0.0625,2,2,2,,1,1,2,0.125,,,
Dallas Goedert,PHI,TE,73,No,Yes,No,62,22,No,Yes,20,0.9091,0.3548,17,0.7727,132,72,45,100,0.0161,0.129,4.5455,106.6,2.129,6,-0.8416,7.7647,4.2353,2.6471,6,36.7774,36.7774,0.3548,19.2,36.2,27.7,36.2,44.7,39.2,30.7,36.2,36.2,36.2,27.7,44.7,36.2,10,1,0.0588,0.4032,17,2,0.0909,4,1,1,,1,1,2,0.0909,1,0.4516,
Roschon Johnson,CHI,RB,56,No,No,Yes,33,8,No,Yes,8,1,0.2424,7,0.875,47,52,18,-5,0.9394,0.0303,-0.625,91.1,1.4242,5.875,-0.0113,6.7143,7.4286,2.5714,2,11.4636,11.4636,0.1667,4.7,11.7,8.2,15.2,11.7,11.7,8.2,11.7,11.7,11.7,8.2,11.7,11.7,13,2,0.2857,0.0303,2,2,0.25,2,1,,,,,,,,,
Cedric Tillman,CLV,WR,79,No,No,No,74,11,No,Yes,10,0.9091,0.1486,8,0.7273,47,23,16,43,,0.8514,3.9091,80.5,0.6351,4.2727,-1.8365,5.875,2.875,2,2,18.2759,18.2759,0.1486,4.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,11,1,0.125,0.1486,9,1,0.0909,2,1,,,,,1,0.0909,,,
Marvin Mims,DEN,WR,62,Yes,No,No,55,16,No,Yes,16,1,0.2909,16,1,117,172,29,-55,0.0727,0.5455,-3.4375,136.7,2.1273,7.3125,2.7245,7.3125,10.75,1.8125,6,28.5017,28.5017,0.2759,29.7,45.7,37.7,45.7,45.7,48.7,40.7,45.7,45.7,45.7,37.7,45.7,45.7,17,2,0.125,0.3636,13,11,0.6875,3,,,,3,,,,,0.0182,
Calvin Ridley,TEN,WR,135,No,Yes,No,123,24,No,No,18,0.75,0.1951,15,0.625,136,78,42,133,0.0081,0.7886,5.5417,77.8,1.1057,5.6667,-1.1897,9.0667,5.2,2.8,7,44.73,44.73,0.2,13.6,28.6,21.1,28.6,28.6,31.6,24.1,28.6,28.6,28.6,21.1,28.6,28.6,17,3,0.2,0.2033,22,4,0.1667,2,3,1,1,,,2,0.0833,,,
Raheem Mostert,MIA,RB,41,No,No,Yes,30,8,No,Yes,8,1,0.2667,8,1,75,74,15,1,0.8,0.0333,0.125,105.7,2.5,9.375,3.3157,9.375,9.25,1.875,5,11.3508,11.3508,0.2105,7.5,15.5,11.5,19.5,15.5,15.5,11.5,15.5,15.5,15.5,11.5,15.5,15.5,13,1,0.125,0.1667,6,4,0.5,,1,,1,,,,,,,
Baylor Cupp,KC,TE,2,No,Yes,No,1,1,No,Yes,1,1,1,,,,,,-1,,,-1,39.6,,,-4.9014,,,,,1.349,1.349,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,
Kyle Pitts,ATL,TE,139,No,No,No,118,30,No,Yes,28,0.9333,0.2542,22,0.7333,186,95,60,146,,0.161,4.8667,75.1,1.5763,6.2,-0.4566,8.4545,4.3182,2.7273,8,47.2592,47.2592,0.2344,18.6,40.6,29.6,40.6,51.6,43.6,32.6,40.6,40.6,40.6,29.6,51.6,40.6,17,5,0.2273,0.4407,13,,,3,4,1,,,,2,0.0667,,0.3983,
Trishton Jackson,MIN,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,
Brayden Willis,SF,TE,2,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,0.5,,,,,,,,,,,,,0.5,
Jalen Coker,CAR,WR,81,No,No,No,75,11,No,Yes,9,0.8182,0.1467,7,0.6364,88,15,6,117,,0.4,10.6364,118.8,1.1733,8,-0.5416,12.5714,2.1429,0.8571,6,23.6994,23.6994,0.1594,14.8,21.8,18.3,21.8,21.8,21.8,18.3,21.8,21.8,21.8,18.3,21.8,21.8,11,,,0.6,9,,,3,3,2,2,1,1,,,,,
Brevin Jordan,HST,TE,6,No,No,Yes,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.25,,,,,,,,,,,,,0.5,
Jayden Reed,GB,WR,116,No,No,Yes,103,21,No,Yes,19,0.9048,0.2039,15,0.7143,104,83,21,18,0.0485,0.233,0.8571,121.8,1.0097,4.9524,-0.6816,6.9333,5.5333,1.4,6,37.8814,37.8814,0.1981,28.4,43.4,35.9,43.4,43.4,46.4,38.9,43.4,43.4,43.4,35.9,43.4,43.4,17,2,0.1333,0.7184,19,9,0.4286,6,2,2,1,3,2,4,0.1905,2,,
Dante Pettis,NO,WR,29,No,No,Yes,28,7,No,Yes,5,0.7143,0.25,4,0.5714,32,14,3,30,,0.5,4.2857,68.8,1.1429,4.5714,-2.2035,8,3.5,0.75,2,10.9954,10.9954,0.2917,3.2,7.2,5.2,7.2,7.2,7.2,5.2,7.2,7.2,7.2,5.2,7.2,7.2,8,,,0.5,6,2,0.2857,1,,,,,,1,0.1429,,,
Ainias Smith,PHI,WR,13,No,Yes,No,13,3,No,Yes,3,1,0.2308,3,1,12,12,3,,,0.3846,,83.3,0.9231,4,-1.6009,4,4,1,,6.4843,6.4843,0.2727,1.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,7,,,0.6154,3,2,0.6667,,,,,,,,,,,
Chris Godwin,TB,WR,80,No,No,No,71,19,Yes,Yes,17,0.8947,0.2676,16,0.8421,220,179,103,66,,0.4366,3.4737,150,3.0986,11.5789,5.2681,13.75,11.1875,6.4375,10,35.3532,35.3532,0.2533,34,50,42,50,50,53,45,50,50,50,42,50,50,7,5,0.3125,0.5634,18,5,0.2632,3,1,1,1,2,1,,,,,
Terry McLaurin,WAS,WR,157,No,No,Yes,144,21,Yes,Yes,21,1,0.1458,20,0.9524,135,53,14,95,,0.7986,4.5238,109.3,0.9375,6.4286,-0.2819,6.75,2.65,0.7,12,34.1342,34.1342,0.1448,19.5,39.5,29.5,39.5,39.5,42.5,32.5,39.5,39.5,39.5,29.5,39.5,39.5,17,1,0.05,0.2014,19,7,0.3333,3,3,1,2,1,1,,,1,,
Jalen Reagor,LAC,WR,28,No,Yes,No,24,4,No,Yes,4,1,0.1667,3,0.75,31,15,1,21,,0.5833,5.25,96.9,1.2917,7.75,1.1656,10.3333,5,0.3333,2,6.3019,6.3019,0.16,3.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,8,,,0.4167,1,,,,2,,1,,,,,1,,
Patrick Taylor,SF,RB,29,No,No,No,16,2,No,No,,,0.125,,,,,,4,0.8125,0.0625,2,39.6,,,-6.2445,,,,,2.8035,2.8035,0.0769,,,,,,,,,,,,,,9,,,0.0625,1,,,1,,,,,,,,,0.0625,
Carson Steele,KC,RB,34,Yes,No,No,23,5,No,Yes,3,0.6,0.2174,3,0.6,17,20,5,2,0.9565,,0.4,66.3,0.7391,3.4,-3.0598,5.6667,6.6667,1.6667,,7.0359,7.0359,0.1667,1.7,4.7,3.2,6.2,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,16,3,1,,,,,,,,,,,,,,0.0435,
Trey McBride,ARZ,TE,146,No,No,No,130,47,No,No,44,0.9362,0.3615,41,0.8723,342,186,58,198,0.0077,0.0846,4.2128,104.1,2.6308,7.2766,0.652,8.3415,4.5366,1.4146,18,81.5717,81.5717,0.3507,40.2,81.2,60.7,81.2,101.7,84.2,63.7,81.2,81.2,81.2,60.7,101.7,81.2,16,4,0.0976,0.4615,40,6,0.1277,5,3,4,2,1,1,1,0.0213,,0.4462,
John Bates,WAS,TE,58,No,No,Yes,29,6,Yes,Yes,3,0.5,0.2069,3,0.5,38,31,9,6,,,1,70.1,1.3103,6.3333,0.232,12.6667,10.3333,3,1,9.167,9.167,0.1111,3.8,6.8,5.3,6.8,8.3,6.8,5.3,6.8,6.8,6.8,5.3,8.3,6.8,17,,,0.1379,3,1,0.1667,,,,,,,,,,0.8621,
Dontayvion Wicks,GB,WR,89,No,No,Yes,74,20,No,Yes,17,0.85,0.2703,15,0.75,133,61,20,126,,0.7027,6.3,88.1,1.7973,6.65,-0.3127,8.8667,4.0667,1.3333,9,35.4987,35.4987,0.2564,19.3,34.3,26.8,34.3,34.3,37.3,29.8,34.3,34.3,34.3,26.8,34.3,34.3,17,4,0.2667,0.2838,16,1,0.05,5,2,1,2,1,,2,0.1,,0.0135,
Alex Erickson,NE,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,
Marcedes Lewis,CHI,TE,19,No,No,Yes,5,1,No,Yes,1,1,0.2,1,1,2,1,1,1,,,1,79.2,0.4,2,-3.7754,2,1,1,1,2.7156,2.7156,0.0588,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,17,,,0.2,1,,,,,,,,,,,,0.8,
Dawson Knox,BUF,TE,101,No,No,Yes,83,11,No,Yes,9,0.8182,0.1325,7,0.6364,41,21,4,46,,0.0843,4.1818,32.8,0.494,3.7273,-3.0673,5.8571,3,0.5714,3,20.9971,20.9971,0.1264,4.1,11.1,7.6,11.1,14.6,11.1,7.6,11.1,11.1,11.1,7.6,14.6,11.1,16,,,0.4096,5,1,0.0909,1,3,,1,,,,,,0.506,
Noah Brown,WAS,WR,91,No,No,No,80,28,No,No,25,0.8929,0.35,20,0.7143,184,41,16,212,,0.7875,7.5714,89,2.3,6.5714,-0.804,9.2,2.05,0.8,11,48.2936,48.2936,0.3373,18.4,38.4,28.4,38.4,38.4,41.4,31.4,38.4,38.4,38.4,28.4,38.4,38.4,11,,,0.2125,24,2,0.0714,4,4,,1,,,1,0.0357,1,,
Trey Palmer,TB,WR,65,No,No,Yes,59,6,No,Yes,4,0.6667,0.1017,4,0.6667,53,13,2,55,,0.678,9.1667,94.4,0.8983,8.8333,0.9923,13.25,3.25,0.5,2,9.1548,9.1548,0.0968,5.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,15,,,0.322,3,,,1,,,,,,,,,,
Kyren Williams,LA,RB,142,No,No,No,83,11,No,Yes,10,0.9091,0.1325,10,0.9091,29,42,13,-9,0.9157,0.0843,-0.8182,79.2,0.3494,2.6364,-3.4186,2.9,4.2,1.3,,19.8453,19.8453,0.0866,2.9,12.9,7.9,17.9,12.9,12.9,7.9,12.9,12.9,12.9,7.9,12.9,12.9,16,,,,1,1,0.0909,2,,,,,,,,,,
Tucker Kraft,GB,TE,133,No,No,Yes,109,32,No,Yes,25,0.7812,0.2936,22,0.6875,227,188,94,76,,0.0917,2.375,96.7,2.0826,7.0938,0.899,10.3182,8.5455,4.2727,11,58.0705,58.0705,0.2689,33.7,55.7,44.7,55.7,66.7,58.7,46.7,54.7,54.7,54.7,43.7,66.7,54.7,17,6,0.2727,0.3028,20,8,0.25,6,1,1,,2,,2,0.0625,,0.6055,
Payne Durham,TB,TE,55,No,No,Yes,30,5,No,Yes,4,0.8,0.1667,4,0.8,28,13,4,23,,0.1,4.6,90,0.9333,5.6,-1.0385,7,3.25,1,1,7.2764,7.2764,0.0962,2.8,6.8,4.8,6.8,8.8,6.8,4.8,6.8,6.8,6.8,4.8,8.8,6.8,16,,,0.2667,3,,,,,,,,,,,,0.6333,
Will Shipley,PHI,RB,12,No,Yes,No,8,3,No,Yes,3,1,0.375,3,1,22,22,3,,0.75,0.25,,97.2,2.75,7.3333,1.2847,7.3333,7.3333,1,1,4.6375,4.6375,0.3,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,13,1,0.3333,,1,,,1,,,,,,,,,,
Brycen Tremayne,WAS,WR,2,Yes,No,No,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Robert Woods,HST,WR,56,No,Yes,No,48,13,No,No,9,0.6923,0.2708,9,0.6923,74,54,7,61,,0.5833,4.6923,83.5,1.5417,5.6923,-0.8175,8.2222,6,0.7778,6,23.0313,23.0313,0.2549,7.4,16.4,11.9,16.4,16.4,16.4,11.9,16.4,16.4,16.4,11.9,16.4,16.4,15,,,0.4167,8,3,0.2308,2,,2,,,,,,,,1
Chris Blair,ATL,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.3333,,,,,,,,,,,,,,
Sterling Shepard,TB,WR,123,No,No,Yes,107,16,No,Yes,13,0.8125,0.1495,11,0.6875,74,20,7,101,,0.5794,6.3125,99.5,0.6916,4.625,-2.3016,6.7273,1.8182,0.6364,4,29.2994,29.2994,0.1368,13.4,24.4,18.9,24.4,24.4,24.4,18.9,24.4,24.4,24.4,18.9,24.4,24.4,14,1,0.0909,0.4206,14,2,0.125,4,1,2,1,1,1,2,0.125,1,,
Khalil Shakir,BUF,WR,104,No,No,Yes,100,29,No,Yes,26,0.8966,0.29,26,0.8966,261,272,99,8,,0.27,0.2759,115.7,2.61,9,3.5151,10.0385,10.4615,3.8077,11,50.2795,50.2795,0.3258,32.1,58.1,45.1,58.1,58.1,61.1,48.1,58.1,58.1,58.1,45.1,58.1,58.1,15,6,0.2308,0.73,22,10,0.3448,2,,1,,1,,,,,,
Jonathan Ward,PIT,RB,1,No,Yes,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,26,Yes,No,No,16,5,Yes,Yes,4,0.8,0.3125,4,0.8,24,19,6,9,0.75,,1.8,86.7,1.5,4.8,-1.704,6,4.75,1.5,2,7.7994,7.7994,0.2174,2.4,6.4,4.4,8.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,4,2,0.5,0.25,4,1,0.2,2,,,,,,,,,,
Ross Dwelley,ATL,TE,3,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,0.5,,,,,,,,,,,,,0.5,
D'Wayne Eskridge,MIA,WR,5,No,No,Yes,4,1,No,Yes,1,1,0.25,1,1,6,1,1,5,,0.75,5,91.7,1.5,6,-0.3628,6,1,1,1,1.4644,1.4644,0.2,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,1,1,0.25,1,,,,,,,,,,,,,
Parker Hesse,DET,TE,4,Yes,No,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.5,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,149,No,No,No,114,21,No,Yes,19,0.9048,0.1842,18,0.8571,155,133,56,47,0.0088,0.1754,2.2381,113.3,1.3596,7.381,0.9831,8.6111,7.3889,3.1111,10,38.0022,38.0022,0.1603,21.5,39.5,30.5,39.5,48.5,42.5,33.5,39.5,39.5,39.5,30.5,48.5,39.5,16,5,0.2778,0.2193,15,4,0.1905,10,,2,,1,1,1,0.0476,,0.5965,
Joshua Cephus,JAX,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,186,Yes,No,No,171,38,No,Yes,38,1,0.2222,38,1,244,140,44,125,0.0117,0.1871,3.2895,111,1.4269,6.4211,0.2238,6.4211,3.6842,1.1579,13,61.7508,61.7508,0.239,36.4,74.4,55.4,74.4,74.4,77.4,58.4,74.4,74.4,74.4,55.4,74.4,74.4,17,4,0.1053,0.8012,23,10,0.2632,2,2,2,2,2,2,,,1,,
Jalen Moreno-Cropper,DAL,WR,3,Yes,Yes,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Will Mallory,IND,TE,21,No,No,No,20,2,No,Yes,2,1,0.1,1,0.5,10,4,1,20,,0.15,10,64.6,0.5,5,-3.6874,10,4,1,,2.987,2.987,0.1,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,10,,,0.75,2,,,,1,,,,,,,,0.1,
Velus Jones,CAR,WR,1,No,Yes,No,1,1,No,No,1,1,1,1,1,8,13,3,-5,,,-5,100,8,8,3.8404,8,13,3,,1.5078,1.5078,1,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,2,,,1,1,1,1,,,,,,,,,,,
Mike Boone,CAR,RB,10,No,No,No,10,,No,Yes,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.1,,,,,,,,,,,,,,
Irvin Charles,NYJ,WR,3,No,No,Yes,2,1,No,Yes,,,0.5,,,,,,12,,0.5,12,39.6,,,-9.0461,,,,,3.1286,3.1286,0.3333,,,,,,,,,,,,,,10,,,0.5,,,,1,,1,,,,,,,,
Bo Melton,GB,WR,25,No,No,Yes,19,4,No,Yes,2,0.5,0.2105,2,0.5,16,5,5,23,,0.5263,5.75,20.8,0.8421,4,-2.6354,8,2.5,2.5,1,5.9498,5.9498,0.1818,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,17,,,0.4737,4,,,,,,,,,,,,,
Drake London,ATL,WR,154,No,No,No,134,43,No,Yes,37,0.8605,0.3209,33,0.7674,300,107,50,284,,0.6791,6.6047,118.4,2.2388,6.9767,-0.0992,9.0909,3.2424,1.5152,19,74.8271,74.8271,0.3028,48,81,64.5,81,81,84,67.5,81,81,81,64.5,81,81,17,8,0.2424,0.3209,40,2,0.0465,7,7,4,6,3,3,2,0.0465,1,,
Jalen Tolbert,DAL,WR,189,No,No,Yes,169,24,Yes,Yes,21,0.875,0.142,16,0.6667,126,48,23,149,,0.7751,6.2083,93.4,0.7456,5.25,-1.4753,7.875,3,1.4375,5,38.8717,38.8717,0.1395,18.6,34.6,26.6,34.6,34.6,37.6,29.6,34.6,34.6,34.6,26.6,34.6,34.6,17,1,0.0625,0.2249,16,,,2,3,1,1,1,1,4,0.1667,1,,1
Bub Means,NO,WR,33,No,No,No,32,8,No,No,6,0.75,0.25,4,0.5,48,19,17,60,,0.6562,7.5,68.8,1.5,6,-1.4991,12,4.75,4.25,3,12.1088,12.1088,0.2581,4.8,8.8,6.8,8.8,8.8,8.8,6.8,8.8,8.8,8.8,6.8,8.8,8.8,7,3,0.75,0.3438,7,1,0.125,,2,,1,,,,,,,
Alec Pierce,IND,WR,128,No,No,No,116,14,No,No,13,0.9286,0.1207,10,0.7143,105,30,12,144,,0.8448,10.2857,132.4,0.9052,7.5,-0.9321,10.5,3,1.2,7,31.5647,31.5647,0.1217,28.5,38.5,33.5,38.5,38.5,41.5,36.5,38.5,38.5,38.5,33.5,38.5,38.5,16,1,0.1,0.1552,10,1,0.0714,4,1,4,,3,3,2,0.1429,,,
Olamide Zaccheaus,WAS,WR,88,No,No,Yes,78,36,Yes,Yes,31,0.8611,0.4615,26,0.7222,253,156,52,160,0.0128,0.4872,4.4444,100.8,3.2436,7.0278,0.4357,9.7308,6,2,16,65.2167,65.2167,0.4444,31.3,57.3,44.3,57.3,57.3,60.3,47.3,57.3,57.3,57.3,44.3,57.3,57.3,17,8,0.3077,0.5,32,6,0.1667,3,3,1,1,1,1,3,0.0833,,,
Chris Rodriguez Jr.,WAS,RB,4,No,No,Yes,3,,Yes,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Zach Davidson,BUF,TE,3,No,No,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.3333,,,,,,,,,,,,,0.6667,
Julius Chestnut,TEN,RB,11,No,Yes,No,7,1,No,No,1,1,0.1429,1,1,9,12,3,-3,1,,-3,104.2,1.2857,9,2.8809,9,12,3,,1.195,1.195,0.1111,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,14,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,166,No,Yes,No,157,46,No,Yes,35,0.7609,0.293,30,0.6522,181,115,56,145,0.0191,0.2229,3.1522,78.3,1.1529,3.9348,-2.2128,6.0333,3.8333,1.8667,11,84.5781,84.5781,0.3217,30.1,60.1,45.1,60.1,60.1,63.1,48.1,60.1,60.1,60.1,45.1,60.1,60.1,17,7,0.2333,0.758,32,8,0.1739,9,5,3,2,2,1,3,0.0652,,,
Trey Benson,ARZ,RB,19,No,No,No,10,2,No,Yes,2,1,0.2,2,1,9,18,,-9,0.9,0.1,-4.5,85.4,0.9,4.5,-1.2205,4.5,9,,,2.6274,2.6274,0.1176,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,13,,,,1,1,0.5,,,,,,,,,,,
Jake Tonges,SF,TE,2,No,No,No,2,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
Ben Skowronek,PIT,WR,9,No,No,No,6,,No,Yes,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,0.8333,,,,,,,,,,,,,,
Dalvin Cook,DAL,RB,6,Yes,No,No,2,,No,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,,,,,,,,,,,,,
Clyde Edwards-Helaire,NO,RB,8,No,No,Yes,6,2,No,Yes,2,1,0.3333,1,0.5,8,15,2,,0.8333,,,60.4,1.3333,4,-1.9464,8,15,2,,2.7162,2.7162,0.25,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,2,1,1,0.1667,,,,,1,,,,,,,,,
Hayden Hurst,LAC,TE,32,No,No,No,29,6,No,Yes,5,0.8333,0.2069,4,0.6667,27,10,2,18,0.0345,0.2069,3,76.4,0.931,4.5,-1.6803,6.75,2.5,0.5,,11.7231,11.7231,0.2,2.7,6.7,4.7,6.7,8.7,6.7,4.7,6.7,6.7,6.7,4.7,8.7,6.7,9,,,0.5172,4,1,0.1667,1,,,,,,1,0.1667,,0.2414,
Mike Gesicki,CIN,TE,137,No,No,No,132,28,No,Yes,26,0.9286,0.2121,24,0.8571,218,97,26,177,,0.2045,6.3214,99.1,1.6515,7.7857,0.7231,9.0833,4.0417,1.0833,11,42.977,42.977,0.2171,20.8,44.8,32.8,44.8,56.8,47.8,34.8,43.8,43.8,43.8,31.8,56.8,43.8,17,1,0.0417,0.7121,19,1,0.0357,2,7,1,5,,,2,0.0714,,0.0833,1
D'Onta Foreman,CLV,RB,31,No,No,No,16,3,No,Yes,3,1,0.1875,2,0.6667,13,17,3,-11,0.875,,-3.6667,75.7,0.8125,4.3333,-1.0042,6.5,8.5,1.5,,3.787,3.787,0.1071,1.3,3.3,2.3,4.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,11,1,0.5,0.125,1,,,,,,,,,1,0.3333,,,
