Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal
Travis Homer,CHI,RB,9,No,No,No,8,1,No,Yes,1,1,0.125,1,1,2,1,,1,0.875,,1,79.2,0.25,2,-3.7294,2,1,,,1.3248,1.3248,0.1429,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,9,,,0.125,,,,,,,,,,,,,,
Skyy Moore,KC,WR,18,No,No,No,12,2,No,Yes,1,0.5,0.1667,,,,,,10,,0.6667,5,39.6,,,-6.4225,,,,,3.0122,3.0122,0.1333,,,,,,,,,,,,,,6,,,0.3333,1,,,,,,,,,1,0.5,,,
Breece Hall,NYJ,RB,139,No,No,Yes,92,25,No,Yes,21,0.84,0.2717,18,0.72,129,155,36,-23,0.7717,0.1304,-0.92,96.9,1.4022,5.16,-0.8311,7.1667,8.6111,2,5,40.2054,40.2054,0.1953,18.9,36.9,27.9,45.9,36.9,39.9,30.9,36.9,36.9,36.9,27.9,36.9,36.9,16,5,0.2778,0.0543,10,4,0.16,5,,1,,1,,3,0.12,1,0.0435,
Trent Sherfield,MIN,WR,15,No,No,No,12,5,No,Yes,5,1,0.4167,5,1,54,28,3,26,,0.5,5.2,111.7,4.5,10.8,4.3048,10.8,5.6,0.6,3,7.4496,7.4496,0.3333,5.4,10.4,7.9,10.4,10.4,10.4,7.9,10.4,10.4,10.4,7.9,10.4,10.4,17,,,0.4167,2,,,,,,,,,,,,0.0833,
Tyquan Thornton,NE,WR,24,No,No,No,23,1,No,Yes,1,1,0.0435,1,1,6,8,3,-2,,0.8261,-2,91.7,0.2609,6,0.5009,6,8,3,,2.9623,2.9623,0.0455,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,5,,,0.1739,1,1,1,,,,,,,,,,,
Julian Hill,MIA,TE,63,No,No,Yes,32,5,No,Yes,4,0.8,0.1562,4,0.8,43,26,15,28,0.0312,0.0625,5.6,102.5,1.3438,8.6,1.4764,10.75,6.5,3.75,2,7.7504,7.7504,0.0862,4.3,8.3,6.3,8.3,10.3,8.3,6.3,8.3,8.3,8.3,6.3,10.3,8.3,16,1,0.25,0.1562,2,,,,,,,,,,,,0.75,
Rakim Jarrett,TB,WR,37,No,No,Yes,33,6,No,Yes,6,1,0.1818,4,0.6667,27,4,2,44,,0.7273,7.3333,76.4,0.8182,4.5,-2.5623,6.75,1,0.5,1,9.1292,9.1292,0.1622,2.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,10,,,0.2727,5,,,2,2,1,1,,,1,0.1667,,,
Pierre Strong,CLV,RB,35,No,No,Yes,31,8,No,Yes,7,0.875,0.2581,6,0.75,46,53,22,2,0.5161,0.2581,0.25,88.5,1.4839,5.75,-0.7498,7.6667,8.8333,3.6667,1,11.6442,11.6442,0.25,4.6,10.6,7.6,13.6,10.6,10.6,7.6,10.6,10.6,10.6,7.6,10.6,10.6,13,1,0.1667,0.129,6,4,0.5,1,,,,,,1,0.125,,0.0968,
Jacob Kibodi,CLV,RB,6,No,No,No,5,1,No,Yes,1,1,0.2,1,1,15,11,7,4,0.8,0.2,4,118.8,3,15,8.3381,15,11,7,1,1.5114,1.5114,0.1667,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,1,,,,,,,,,,,,,,,,,
Dameon Pierce,HST,RB,16,No,Yes,No,11,1,No,No,1,1,0.0909,1,1,1,2,3,-1,0.8182,,-1,79.2,0.0909,1,-4.819,1,2,3,,1.4786,1.4786,0.0625,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,11,2,2,0.1818,,,,,,,,,,,,,,
Blake Corum,LA,RB,16,Yes,No,No,6,2,No,Yes,2,1,0.3333,2,1,10,15,2,-5,0.8333,,-2.5,87.5,1.6667,5,-0.4094,5,7.5,1,2,2.5118,2.5118,0.125,1,3,2,4,3,3,2,3,3,3,2,3,3,15,,,0.1667,,,,,,,,,,,,,,
Diontae Johnson,HST,WR,79,No,Yes,No,75,18,No,No,15,0.8333,0.24,11,0.6111,55,18,7,82,,0.84,4.5556,61.1,0.7333,3.0556,-3.3119,5,1.6364,0.6364,5,35.9261,35.9261,0.25,11.5,22.5,17,22.5,22.5,22.5,17,22.5,22.5,22.5,17,22.5,22.5,12,1,0.0909,0.16,17,3,0.1667,5,5,3,2,1,1,1,0.0556,,,
Kendre Miller,NO,RB,17,No,Yes,No,9,3,No,Yes,3,1,0.3333,3,1,11,7,5,4,0.8889,,1.3333,81.9,1.2222,3.6667,-2.82,3.6667,2.3333,1.6667,1,4.5204,4.5204,0.2143,1.1,4.1,2.6,5.6,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,6,1,0.3333,0.1111,,,,,,,,,,,,,,
Erick All,CIN,TE,40,No,No,No,34,10,No,No,10,1,0.2941,9,0.9,64,39,18,23,0.0588,0.0588,2.3,93.3,1.8824,6.4,0.2993,7.1111,4.3333,2,4,14.6867,14.6867,0.2857,6.4,15.4,10.9,15.4,19.9,15.4,10.9,15.4,15.4,15.4,10.9,19.9,15.4,9,1,0.1111,0.1765,8,1,0.1,,,,,,,1,0.1,,0.7059,
Braxton Berrios,MIA,WR,21,No,No,No,14,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,0.5,,,,,,,,,,,,,,
MyCole Pruitt,PIT,TE,31,No,No,No,16,3,No,Yes,1,0.3333,0.1875,1,0.3333,-1,2,1,-6,0.0625,0.0625,-2,2.8,-0.0625,-0.3333,-6.768,-1,2,1,,4.5536,4.5536,0.1111,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,12,,,0.0625,,,,,,,,,,,,,0.8125,
DK Metcalf,SEA,WR,158,Yes,No,No,145,29,No,Yes,28,0.9655,0.2,23,0.7931,179,57,21,178,,0.8966,6.1379,92.4,1.2345,6.1724,-0.8052,7.7826,2.4783,0.913,9,53.2671,53.2671,0.2086,16.9,39.9,28.4,39.9,39.9,42.9,30.4,38.9,38.9,38.9,27.4,39.9,38.9,15,2,0.087,0.1034,25,2,0.069,2,5,2,1,,,1,0.0345,,,
Mark Andrews,BLT,TE,95,No,No,No,75,20,No,Yes,18,0.9,0.2667,16,0.8,122,36,12,137,,0.2,6.85,125.4,1.6267,6.1,-1.2914,7.625,2.25,0.75,7,39.1075,39.1075,0.2299,24.2,40.2,32.2,40.2,48.2,43.2,35.2,40.2,40.2,40.2,32.2,48.2,40.2,17,,,0.6267,13,,,4,1,2,,2,2,1,0.05,,0.1733,
Parker Washington,JAX,WR,124,No,No,No,108,21,No,No,16,0.7619,0.1944,15,0.7143,156,41,13,177,,0.6204,8.4286,108.4,1.4444,7.4286,-0.328,10.4,2.7333,0.8667,7,36.1394,36.1394,0.1875,21.6,36.6,29.1,36.6,36.6,39.6,32.1,36.6,36.6,36.6,29.1,36.6,36.6,17,5,0.3333,0.3796,17,2,0.0952,2,1,1,,1,,1,0.0476,,,1
Allen Robinson,DET,WR,12,No,No,No,10,4,No,No,2,0.5,0.4,1,0.25,2,,,19,,0.6,4.75,39.6,0.2,0.5,-5.811,2,,,1,5.4699,5.4699,0.3636,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,12,,,0.4,3,,,,2,,1,,,1,0.25,,,
Eric Saubert,SF,TE,31,No,No,No,30,3,No,No,3,1,0.1,2,0.6667,16,,,21,0.0333,0.1667,7,79.9,0.5333,5.3333,-1.6825,8,,,1,4.1397,4.1397,0.1071,1.6,3.6,2.6,3.6,4.6,3.6,2.6,3.6,3.6,3.6,2.6,4.6,3.6,17,,,0.3667,2,,,,,,,,,,,,0.4333,
Ray-Ray McCloud,ATL,WR,156,No,No,No,143,25,No,Yes,24,0.96,0.1748,24,0.96,170,100,33,79,,0.5524,3.16,108.3,1.1888,6.8,0.4873,7.0833,4.1667,1.375,5,37.8965,37.8965,0.1724,22,46,34,46,46,49,36,45,45,45,33,46,45,17,1,0.0417,0.4476,20,10,0.4,2,1,1,1,1,1,,,1,,
Chris Collier,LV,RB,2,No,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Justyn Ross,KC,WR,4,No,No,No,4,1,No,Yes,,,0.25,,,,,,18,,0.5,18,39.6,,,-10.8991,,,,,3.4783,3.4783,0.25,,,,,,,,,,,,,,2,,,0.5,1,,,1,,1,,,,,,,,
Tucker Fisk,LAC,TE,20,No,No,No,15,4,No,Yes,4,1,0.2667,4,1,15,12,3,3,0.1333,,0.75,82.3,1,3.75,-1.643,3.75,3,0.75,,5.8375,5.8375,0.2105,1.5,5.5,3.5,5.5,7.5,5.5,3.5,5.5,5.5,5.5,3.5,7.5,5.5,9,,,,1,,,,,,,,,,,,0.8667,
Brian Robinson,WAS,RB,80,No,No,Yes,50,11,Yes,Yes,9,0.8182,0.22,9,0.8182,79,84,38,1,0.66,0.06,0.0909,96.6,1.58,7.1818,0.8967,8.7778,9.3333,4.2222,1,17.9207,17.9207,0.141,7.9,16.9,12.4,21.4,16.9,16.9,12.4,16.9,16.9,16.9,12.4,16.9,16.9,14,3,0.3333,0.28,7,4,0.3636,3,1,,1,,,,,,,
Alvin Kamara,NO,RB,103,No,No,No,81,27,No,Yes,22,0.8148,0.3333,19,0.7037,79,123,37,-44,0.8025,0.0741,-1.6296,73.2,0.9753,2.9259,-3.0055,4.1579,6.4737,1.9474,2,38.781,38.781,0.3068,7.9,26.9,17.4,36.4,26.9,26.9,17.4,26.9,26.9,26.9,17.4,26.9,26.9,14,,,0.1235,12,8,0.2963,3,1,,,,,2,0.0741,2,,
Aaron Shampklin,PIT,RB,3,No,No,No,2,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Kadarius Toney,CLV,WR,4,No,Yes,No,4,,No,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.75,,,,,,,,,,,,,,
Taysom Hill,NO,TE,39,No,Yes,Yes,35,13,No,No,11,0.8462,0.3714,10,0.7692,58,48,18,20,0.1429,0.3429,1.5385,84.8,1.6571,4.4615,-1.323,5.8,4.8,1.8,2,18.8831,18.8831,0.4194,4.8,14.8,9.8,14.8,19.8,14.8,8.8,13.8,13.8,13.8,8.8,19.8,13.8,8,2,0.2,0.2286,8,2,0.1538,2,,,,,,1,0.0769,,0.2857,
Gus Edwards,LAC,RB,34,No,No,No,24,3,No,Yes,3,1,0.125,3,1,6,11,2,-5,0.9167,,-1.6667,79.2,0.25,2,-3.8324,2,3.6667,0.6667,,4.4242,4.4242,0.0938,0.6,3.6,2.1,5.1,3.6,3.6,2.1,3.6,3.6,3.6,2.1,3.6,3.6,11,,,0.0833,,,,,,,,,,,,,,
Colson Yankoff,WAS,TE,2,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Raheem Blackshear,CAR,RB,10,No,No,No,4,,No,Yes,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,162,No,Yes,No,152,48,No,Yes,40,0.8333,0.3158,36,0.75,333,196,138,230,,0.7303,4.7917,107.4,2.1908,6.9375,0.5183,9.25,5.4444,3.8333,13,80.4188,80.4188,0.338,45.3,81.3,63.3,81.3,81.3,84.3,66.3,81.3,81.3,81.3,63.3,81.3,81.3,15,13,0.3611,0.2697,41,6,0.125,5,6,3,4,2,,2,0.0417,,,
Alexander Mattison,LV,RB,71,No,No,No,49,20,No,Yes,18,0.9,0.4082,18,0.9,153,178,70,-17,0.9184,0.0204,-0.85,94.4,3.1224,7.65,1.6291,8.5,9.8889,3.8889,6,34.9503,34.9503,0.3175,21.3,39.3,30.3,48.3,39.3,42.3,33.3,39.3,39.3,39.3,30.3,39.3,39.3,14,8,0.4444,0.0612,4,2,0.1,1,1,,1,1,,,,,,
Cade Otton,TB,TE,179,No,No,No,137,43,No,Yes,33,0.7674,0.3139,28,0.6512,228,144,58,132,,0.1095,3.0698,68.8,1.6642,5.3023,-0.9132,8.1429,5.1429,2.0714,13,69.5685,69.5685,0.2529,21.8,49.8,35.8,49.8,63.8,52.8,37.8,48.8,48.8,48.8,34.8,63.8,48.8,14,4,0.1429,0.2555,31,6,0.1395,6,3,2,2,,,4,0.093,,0.635,
James Mitchell,DET,TE,2,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
