Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Isaac Guerendo,SF,RB,22,94,3,0,41,3,0
Joe Mixon,HST,RB,53,251,1,0,135,4,0
Darrynton Evans,CHI,RB,1,4,0,0,1,0,0
Aaron Jones,MIN,RB,61,249,0,0,165,4,0
Jamaal Williams,NO,RB,15,61,0,0,31,1,0
Ke'Shawn Vaughn,SF,RB,1,1,0,0,0,0,0
Saquon Barkley,PHI,RB,68,270,3,0,144,5,0
D'Ernest Johnson,JAX,RB,11,49,0,0,17,2,0
Eric Gray,NYG,RB,2,0,0,0,1,0,0
Craig Reynolds,DET,RB,5,22,0,0,7,0,0
Miles Sanders,CAR,RB,9,20,0,0,16,1,0
J.J. Taylor,HST,RB,3,8,0,0,7,0,0
Austin Ekeler,WAS,RB,13,40,1,0,21,1,0
Jaylen Warren,PIT,RB,18,61,0,0,32,2,0
Rasheen Ali,BLT,RB,1,9,0,0,2,0,0
Michael Burton,DEN,FB,3,5,0,0,4,0,0
Tyrone Tracy,NYG,RB,49,184,1,0,103,7,0
Rachaad White,TB,RB,26,116,1,0,57,1,0
Hassan Haskins,LAC,RB,13,37,1,0,25,0,0
Josh Jacobs,GB,RB,105,500,6,0,276,12,0
David Montgomery,DET,RB,64,255,4,0,152,14,0
Zach Charbonnet,SEA,RB,41,132,1,0,99,6,0
Chuba Hubbard,CAR,RB,81,385,4,0,203,11,0
Jeremy McNichols,WAS,RB,9,35,2,0,18,1,0
Derrick Henry,BLT,RB,51,232,2,0,118,7,0
Kareem Hunt,KC,RB,51,183,0,0,91,5,0
Ty Chandler,MIN,RB,9,40,0,0,18,0,0
Jerome Ford,CLV,RB,20,100,1,0,33,2,0
Rico Dowdle,DAL,RB,67,366,0,0,246,16,0
Jaylen Wright,MIA,RB,17,70,0,0,33,3,0
Ty Johnson,BUF,RB,9,68,0,0,33,1,0
Trey Benson,ARZ,RB,27,123,0,0,63,3,0
Bijan Robinson,ATL,RB,16,92,0,0,37,3,0
Jaleel McLaughlin,DEN,RB,15,36,0,0,19,3,0
De'Von Achane,MIA,RB,50,273,2,0,157,11,0
Kenneth Walker,SEA,RB,26,98,2,0,84,8,0
Julius Chestnut,TEN,RB,7,14,0,0,7,0,0
Cordarrelle Patterson,PIT,RB,7,44,0,0,22,0,0
Sean Tucker,TB,RB,4,14,0,0,4,0,0
Isiah Pacheco,KC,RB,27,119,0,0,50,2,0
Kenneth Gainwell,PHI,RB,14,58,0,0,25,4,0
D'Onta Foreman,CLV,RB,20,59,0,0,34,2,0
Tank Bigsby,JAX,RB,70,286,3,0,233,13,0
Jordan Mims,NO,RB,3,18,0,0,5,0,0
Clyde Edwards-Helaire,NO,RB,1,2,0,0,1,0,0
Tyler Badie,DEN,RB,3,41,0,0,38,1,0
Dalvin Cook,DAL,RB,2,8,0,0,3,0,0
Jonathan Taylor,IND,RB,104,367,3,0,201,7,0
Mike Boone,CAR,RB,2,13,0,0,5,0,0
Jordan Mason,SF,RB,44,216,1,0,118,8,0
Tyler Goodson,IND,RB,12,41,0,0,17,0,0
Isaiah Davis,NYJ,RB,4,13,0,0,6,0,0
Braelon Allen,NYJ,RB,31,99,1,0,66,1,0
Terrell Jennings,NE,RB,7,20,0,0,15,0,0
Nick Chubb,CLV,RB,21,62,1,0,42,3,0
Chris Rodriguez Jr.,WAS,RB,10,53,0,0,42,2,0
Michael Carter,ARZ,RB,19,69,0,0,30,3,0
Tyjae Spears,TEN,RB,20,67,2,0,34,0,0
Javonte Williams,DEN,RB,34,106,0,0,59,4,0
JaMycal Hasty,NE,RB,4,10,0,0,6,2,0
Cam Akers,MIN,RB,22,102,0,0,64,2,0
Antonio Gibson,NE,RB,30,72,0,0,66,3,0
Keaton Mitchell,BLT,RB,5,1,0,0,3,1,0
Bucky Irving,TB,RB,39,236,2,0,111,7,0
Audric Estime,DEN,RB,16,41,0,0,39,1,0
Ameer Abdullah,LV,RB,21,97,1,0,42,1,0
Zamir White,LV,RB,15,32,0,0,22,0,0
Jeff Wilson,MIA,RB,5,18,0,0,9,0,0
Deuce Vaughn,DAL,RB,6,29,0,0,18,1,0
Kenny McIntosh,SEA,RB,10,42,0,0,23,0,0
Reggie Gilliam,BUF,FB,1,4,0,0,2,0,0
Jahmyr Gibbs,DET,RB,53,371,5,0,143,16,0
Christian McCaffrey,SF,RB,9,60,0,0,26,3,0
Devin Singletary,NYG,RB,23,78,3,0,59,3,0
Tyler Allgeier,ATL,RB,12,52,1,0,21,0,0
Ezekiel Elliott,DAL,RB,30,85,2,0,53,1,0
Trey Sermon,IND,RB,18,52,1,0,27,2,0
Emanuel Wilson,GB,RB,28,78,1,0,44,1,0
