Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Rhamondre Stevenson,NE,RB,55,209,1,0,131,6,0
Zack Moss,CIN,RB,11,54,1,0,19,2,0
Emari Demercado,ARZ,RB,6,120,1,0,55,4,0
J.K. Dobbins,LAC,RB,47,268,3,0,123,11,0
Kimani Vidal,LAC,RB,9,57,0,0,34,1,0
Dare Ogunbowale,HST,RB,3,7,0,0,4,0,0
Hunter Luepke,DAL,FB,3,11,0,0,6,0,0
Ronnie Rivers,LA,RB,3,13,0,0,7,0,0
Jamaal Williams,NO,RB,9,21,0,0,26,2,0
Aaron Jones,MIN,RB,56,231,2,0,110,3,0
Darrynton Evans,CHI,RB,1,0,0,0,0,0,0
Najee Harris,PIT,RB,89,293,3,0,184,15,0
Isaac Guerendo,SF,RB,22,143,0,0,38,6,0
Joe Mixon,HST,RB,74,369,2,0,162,10,0
Chase Brown,CIN,RB,60,244,1,0,144,11,0
J.J. Taylor,HST,RB,2,11,0,0,1,0,0
Austin Ekeler,WAS,RB,18,118,0,0,29,1,0
Rasheen Ali,BLT,RB,3,7,0,0,4,0,0
Miles Sanders,CAR,RB,10,37,0,0,13,1,0
Craig Reynolds,DET,RB,11,50,0,0,15,1,0
Eric Gray,NYG,RB,2,10,0,0,6,0,0
D'Ernest Johnson,JAX,RB,7,25,0,0,16,1,0
Saquon Barkley,PHI,RB,88,668,4,0,232,13,0
D'Andre Swift,CHI,RB,55,134,0,0,95,5,0
Carson Steele,KC,RB,8,22,0,0,17,0,0
Ray Davis,BUF,RB,40,141,1,0,94,10,0
Tony Pollard,TEN,RB,61,277,0,0,203,6,0
Patrick Taylor,SF,RB,14,72,0,0,39,3,0
Chris Collier,LV,RB,2,6,0,0,6,0,0
Jase McClellan,ATL,RB,8,28,0,0,21,1,0
Alvin Kamara,NO,RB,67,269,2,0,161,7,0
Brian Robinson,WAS,RB,48,218,3,0,108,10,0
Kyren Williams,LA,RB,78,288,3,0,143,11,0
Will Shipley,PHI,RB,17,37,0,0,24,1,0
Gus Edwards,LAC,RB,29,80,0,0,67,3,0
Raheem Blackshear,CAR,RB,6,30,0,0,11,0,0
Alexander Mattison,LV,RB,23,53,0,0,43,3,0
Sione Vaki,DET,RB,2,0,0,0,1,0,0
Breece Hall,NYJ,RB,63,248,2,0,196,11,0
Jonathon Brooks,CAR,RB,2,4,0,0,1,0,0
Chris Brooks,GB,RB,7,53,0,0,25,3,0
Jacob Kibodi,CLV,RB,3,19,0,0,5,1,0
Pierre Strong,CLV,RB,8,51,0,0,17,1,0
Blake Corum,LA,RB,17,55,0,0,26,3,0
James Cook,BUF,RB,56,363,5,0,187,11,0
Dameon Pierce,HST,RB,12,29,0,0,29,0,0
Raheem Mostert,MIA,RB,17,53,0,0,18,0,0
Kendre Miller,NO,RB,7,48,1,0,27,3,0
James Conner,ARZ,RB,62,391,1,0,208,24,0
Sincere McCormick,LV,RB,4,33,0,0,16,1,0
Jonathan Ward,PIT,RB,2,13,0,0,8,0,0
Michael Burton,DEN,FB,2,0,1,0,-1,0,0
Dalvin Cook,DAL,RB,2,2,0,0,1,0,0
Aaron Shampklin,PIT,RB,2,8,0,0,4,0,0
Roschon Johnson,CHI,RB,7,16,2,0,15,1,0
Blake Watson,DEN,RB,1,2,0,0,2,0,0
