name,pos,team,adp,merged_rank,market_pctl,value_pctl,proj_pctl,ceiling_pctl,spike_pctl,adv_pctl,coachspeak_pctl,route_eff_pctl,coverage_proof_pctl,run_eff_pctl,rec_eff_pctl,separation_pctl,yac_pctl,rush_eff_pctl,explosive_pctl,protection_pctl,oline_pctl,matchup_pctl,sis_value_pctl,boom_pctl,consensus,divergence,n_votes,flags
Tanner Koziol,TE,JAX,231.96935,375.0,7.14,7.14,7.14,50.0,50.0,7.14,50.0,50.0,50.0,,50.0,50.0,50.0,,,,68.33,81.67,50.0,50.0,29.76,32.22,6,
Riley Leonard,QB,IND,232.0,376.0,4.46,4.46,15.18,50.0,50.0,15.18,50.0,,,,,,,,,31.63,16.96,86.61,25.51,29.59,25.51,23.48,9,QB-MAN-BEATER
Isaac Guerendo,RB,SF,232.05882,377.0,1.44,1.44,3.85,50.0,50.0,3.85,50.0,,,50.0,,,50.0,50.0,50.0,,66.67,94.95,50.0,50.0,28.7,37.75,6,
Nick Westbrook-Ikhine,WR,IND,232.1887,378.0,2.24,2.88,50.96,52.03,67.61,50.96,50.0,1.22,50.0,,7.72,50.0,50.0,,27.24,,15.89,89.74,50.0,50.0,33.5,29.0,11,POLARIZING
Elijah Arroyo,TE,SEA,232.29065,379.0,5.56,5.56,37.3,41.98,91.51,37.3,50.0,20.19,87.5,,2.88,50.0,50.0,,,,58.33,58.33,50.0,50.0,40.59,29.75,11,POLARIZING
Max Klare,TE,LAR,232.3846,380.0,3.97,3.97,0.79,0.94,0.94,0.79,50.0,50.0,50.0,,50.0,50.0,50.0,,,,78.33,86.67,50.0,50.0,22.05,34.99,8,POLARIZING
Konata Mumpfield,WR,LAR,232.46666,381.0,1.6,2.24,15.06,20.78,54.58,15.06,50.0,2.03,78.93,,1.22,50.0,50.0,,96.34,,82.12,83.11,50.0,50.0,37.76,36.44,12,POLARIZING
Tahj Brooks,RB,CIN,232.67126,382.0,0.48,0.48,19.71,10.92,28.16,19.71,50.0,,,50.0,,,50.0,50.0,50.0,,66.67,63.13,46.39,0.6,27.84,23.83,11,POLARIZING
Justin Joly,TE,DEN,232.89896,384.0,2.38,2.38,3.17,50.0,50.0,3.17,50.0,50.0,50.0,,50.0,50.0,50.0,,,,68.33,28.33,50.0,50.0,17.96,24.38,6,
Ashton Dulin,WR,IND,233.04256,385.0,0.96,1.6,24.04,33.72,76.76,24.04,50.0,99.59,0.41,,36.99,50.0,50.0,,51.22,,15.89,89.74,50.0,50.0,37.91,33.11,12,POLARIZING
Xavier Hutchinson,WR,HOU,233.23077,386.0,0.32,0.96,25.32,33.28,72.89,25.32,50.0,23.17,75.62,,26.42,70.95,52.03,,30.49,,7.62,72.19,36.14,33.66,36.65,24.43,16,POLARIZING; MAN-BEATER
Trey Lance,QB,LAC,233.3636,387.0,2.68,2.68,15.18,50.0,50.0,15.18,50.0,,,,,,,,,1.02,1.79,41.07,11.22,5.1,10.66,12.0,9,QB-ZONE-BEATER
Jonnu Smith,TE,FA,234.25,388.0,0.79,0.79,3.17,50.0,50.0,3.17,50.0,0.96,79.81,,0.96,83.33,30.56,,,,50.0,50.0,9.78,1.09,19.49,30.43,11,SEPARATION KING
Gardner Minshew II,QB,ARI,234.5714,389.0,0.89,0.89,15.18,50.0,50.0,15.18,50.0,,,,,,,,,9.18,43.75,47.32,29.59,3.06,18.34,16.86,9,QB-MAN-BEATER
Kyle Williams,WR,NE,231.4622,401.0,3.53,0.32,1.6,50.0,50.0,1.6,50.0,54.47,19.42,,5.28,50.0,50.0,,87.8,,52.32,5.3,50.0,50.0,23.16,29.15,10,
