name,pos,team,adp,merged_rank,market_pctl,value_pctl,proj_pctl,ceiling_pctl,spike_pctl,adv_pctl,coachspeak_pctl,route_eff_pctl,coverage_proof_pctl,run_eff_pctl,rec_eff_pctl,separation_pctl,yac_pctl,rush_eff_pctl,explosive_pctl,protection_pctl,oline_pctl,matchup_pctl,sis_value_pctl,boom_pctl,consensus,divergence,n_votes,flags
Gunnar Helm,TE,TEN,181.2797,174.0,61.11,61.11,64.29,58.49,66.98,64.29,50.0,41.35,62.5,,39.42,56.94,4.17,,,,49.17,90.83,22.83,3.26,49.78,23.23,15,POLARIZING
Dylan Sampson,RB,CLE,171.68782,175.0,50.48,50.48,50.48,50.14,78.16,50.48,50.0,,,50.0,,,91.07,50.0,50.0,,20.71,20.2,27.11,17.47,46.4,21.7,12,EFFICIENCY EDGE; RB-ZONE-SCHEME
AJ Barner,TE,SEA,185.2544,176.0,59.52,59.52,57.14,48.11,48.11,57.14,50.0,31.73,81.73,,58.65,93.06,72.22,,,,58.33,58.33,68.48,53.26,60.36,13.99,15,EFFICIENCY EDGE
Brian Robinson Jr.,RB,ATL,174.80045,177.0,49.52,49.52,53.37,50.57,69.54,53.37,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,85.86,53.61,24.7,50.98,17.03,11,
Tank Bigsby,RB,PHI,175.23831,178.0,48.56,48.56,42.79,45.4,90.23,42.79,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,88.38,84.94,96.99,62.37,21.26,11,BOOM MERCHANT
Tyreek Hill,WR,FA,188.17003,179.0,52.24,55.45,31.73,50.0,50.0,31.73,22.37,90.65,7.85,,89.84,50.0,50.0,,0.41,,50.0,50.0,50.0,50.0,42.47,30.61,9,EFFICIENCY EDGE
Tre' Harris,WR,LAC,176.87885,180.0,55.45,54.81,49.04,51.94,77.82,49.04,50.0,21.54,74.79,,56.5,50.0,50.0,,20.73,,1.66,43.38,51.98,81.68,49.31,21.61,14,MAN-BEATER
Adonai Mitchell,WR,NYJ,177.06758,181.0,54.81,54.17,58.01,56.16,58.8,58.01,50.0,28.86,56.61,,10.98,45.95,77.7,,51.22,,15.89,14.24,2.48,6.44,40.65,22.75,16,POLARIZING; ZONE-BEATER
Geno Smith,QB,NYJ,180.22816,182.0,47.32,47.32,52.68,11.72,14.06,52.68,50.0,,,,,,,,,15.31,16.96,10.71,5.1,51.02,29.53,19.15,11,
Tank Dell,WR,HOU,187.8816,183.0,52.88,53.53,54.81,56.34,74.3,54.81,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,7.62,72.19,50.0,50.0,53.31,19.03,8,
De'Zhaun Stribling,WR,SF,182.39212,184.0,54.17,52.88,35.9,47.54,91.9,35.9,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,69.54,39.74,50.0,50.0,53.45,17.95,8,
Sean Tucker,RB,TB,183.82782,185.0,47.6,47.6,25.48,23.28,56.9,25.48,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,91.41,42.77,86.14,47.03,22.98,11,POLARIZING; BOOM MERCHANT; RB-GAP-SCHEME
Jerry Jeudy,WR,CLE,185.01556,186.0,53.53,52.24,63.78,55.64,39.79,63.78,50.0,15.45,96.28,,3.66,25.0,23.65,,36.99,,38.41,98.34,0.5,2.48,41.84,29.18,16,MARKET FADE; POLARIZING; EFFICIENCY EDGE; MAN-BEATER
Calvin Ridley,WR,TEN,191.25188,187.0,50.96,51.6,65.06,58.62,47.54,65.06,50.0,58.94,84.71,,19.11,50.0,50.0,,78.46,,52.32,86.42,13.37,45.05,55.52,20.46,14,MARKET FADE; ZONE-BEATER
Cade Otton,TE,TB,187.53273,188.0,57.94,57.94,53.17,48.82,62.26,53.17,50.0,28.85,35.58,,25.96,52.78,66.67,,,,49.17,30.83,61.96,51.09,49.08,12.43,15,
Germie Bernard,WR,PIT,192.57628,189.0,50.32,50.96,59.94,57.04,58.1,59.94,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,91.72,34.11,50.0,50.0,57.77,15.1,8,MARKET FADE
Brandon Aiyuk,WR,SF,194.60298,190.0,49.68,50.32,27.24,50.0,50.0,27.24,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,69.54,39.74,50.0,50.0,43.96,14.74,6,
Zachariah Branch,WR,ATL,188.76833,191.0,51.6,49.68,27.88,38.91,80.63,27.88,51.32,50.0,50.0,,50.0,50.0,50.0,,50.0,,52.32,92.72,50.0,50.0,52.55,20.59,9,
Pat Freiermuth,TE,PIT,198.64694,192.0,54.76,56.35,67.46,58.96,46.23,67.46,50.0,62.5,52.88,,81.73,26.39,95.83,,,,90.0,33.33,75.0,70.65,62.64,18.49,15,MARKET FADE; ZONE-BEATER
Braelon Allen,RB,NYJ,191.31499,193.0,46.63,46.63,52.4,52.01,82.18,52.4,50.0,,,50.0,,,50.0,50.0,50.0,,47.47,25.76,19.88,4.82,43.65,19.48,11,
Cooper Kupp,WR,SEA,199.81197,194.0,48.4,49.04,52.88,53.35,64.44,52.88,50.0,36.18,64.88,,45.12,64.86,95.27,,11.79,,63.91,58.28,33.17,72.77,54.2,18.01,16,
Nick Singleton,RB,TEN,194.02248,195.0,45.67,45.67,21.63,15.23,35.06,21.63,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,1.52,50.0,50.0,25.89,14.31,8,
Colby Parkinson,TE,LAR,202.43279,196.0,53.17,54.76,42.06,48.11,99.06,42.06,50.0,83.65,54.81,,41.35,61.11,56.94,,,,78.33,86.67,35.87,55.43,59.56,18.22,15,
Tua Tagovailoa,QB,ATL,194.61783,197.0,45.54,45.54,41.96,24.22,92.19,41.96,50.0,,,,,,,,,52.04,58.04,91.07,21.43,70.41,53.13,22.35,11,POLARIZING; QB-MAN-BEATER
Dontayvion Wicks,WR,PHI,196.38947,198.0,49.04,48.4,32.37,44.02,96.83,32.37,50.0,52.44,69.83,,54.07,50.0,50.0,,15.45,,52.32,95.36,48.02,58.42,53.5,21.43,14,ZONE-BEATER
Emmett Johnson,RB,KC,196.71956,199.0,44.71,44.71,38.94,43.68,93.68,38.94,50.0,,,50.0,,,50.0,50.0,50.0,,20.71,29.29,50.0,50.0,44.33,20.24,8,
David Njoku,TE,LAC,197.87935,200.0,56.35,53.17,50.0,51.42,83.96,50.0,50.0,14.42,60.58,,4.81,1.39,72.22,,,,2.5,42.5,16.3,48.91,40.57,25.29,15,POLARIZING
