name,bestball_note,n_clips
Bucky Irving,"“The Gainwell buzz + Bucky Irving injury fear is pushing him into a very comfortable range of drafts, behind Skatt and just ahead of TreVeyon/Montgomery.” (@ffdataroma) | “All ""Mid's"" Best Ball Picks List Starting in Rd 3: Rd 3: Jameson Williams Rd 4: Bucky Irving Rd 5: Marvin Harrison Jr.” (@smitchell17)",2
Tee Higgins,"“A few WR values @4for4_John keeps circling early in draft season: • Tee Higgins • George Pickens • Jaylen Waddle Full WR rankings breakdown: https://t.co/vpIgys3Y5X” (@4for4football) | “Still not sure why Tee Higgins goes ahead in ADP before Zay Flowers, but it is https://t.co/jiNBEy4jes” (@smitchell17)",2
Trevor Lawrence,“RT @SleeperJaguars: Four QBs tied for the most passes batted last year with 17 🐆 Trevor Lawrence 🦜 Sam Darnold 🐻 Caleb Williams 🦁 Jared Go…” (@fantasyptsdata) | “Trevor Lawrence looks more in command in the offense and is spreading the ball around Also notably taking more shots downfield” (@dhananizain),2
Tank Dell,“You draft no Wide Receivers in best ball and then finish the draft with: Stefon Diggs Travis Hunter Brandon Aiyuk Tank Dell Deebo Samuel Tyreek Hill And 2 other guys.” (@chessliam) | “Thinks to self… Would the Texans post this video of Tank Dell if they didn’t have plans for him in 2026?” (@dhananizain),2
Kenyon Sadiq,"“He has the athletic tools in his body to be able to do that, so I'm really interested to see where does Kenyon Sadiq land in the 2026 NFL Draft.” (@syedschemes) | “All rookie TEs: 14.5% Mason Taylor: 9.0% This will keep him in the mix even with Kenyon Sadiq going to the Jets in Round 1.” (@haydenwinks)",3
Brock Purdy,“RT @DBro_FFB: Brock Purdy over the last 3 yrs in fppg QB5 QB10 QB6 and YET QB14-QB16 in Best Ball depending upon the site that you're dra…” (@dbro_ffb) | “Brock Purdy over the last 3 yrs in fppg QB5 QB10 QB6 and YET QB14-QB16 in Best Ball depending upon the site that you're drafting on.” (@dbro_ffb),2
Parker Washington,"“If we see a tweet from Dave, I'm on a fantasy points show right now and talking about Parker Washington as the worst pick in round six of fantasy drafts.” (@fantasypts) | “Top 6 Breakouts - 2026 Dynasty Fantasy Football Parker Washington hype building 📊 https://t.co/VV3QYhWPYd” (@superrnova38)",3
Cam Skattebo,“Stroud (141.5 ADP) RB: - Cam Skattebo (44.8 ADP) - Jadarian Price (58.1 ADP) - Jaylen Warren (79.7 ADP) - Aaron Jones (120.0 ADP) WR: - A.J.” (@smitchell17) | “we are talking Bucky on today's show he and Cam Skattebo being drafted back to back is an *interesting* conversation” (@joshnorris),4
Kevin Coleman Jr.,"“On Kevin Coleman below - also notable that @BGWhitefield (top tier WR evaluator) had him 75th on his big board pre draft vs his 177th overall selection” (@dhananizain) | “RT @ZKantzFF: “Rookie draft picks Caleb Douglas, who was sidelined this week, and Kevin Coleman Jr.” (@32beatwriters)",2
Makai Lemon,"“Makai Lemon has a soft tissue injury (reported earlier below) that will hold him out of OTAs - not currently concerned about training camp availability” (@dhananizain) | “Makai Lemon's good, and I can get access to Makai Lemon right now in the eighth round in FFPC drafts.” (@fantasypts)",2
Rachaad White,“We are going to debate JCM vs Rachaad White all offseason just to watch Jerome Ford bust out a 20+ FP game in the fantasy playoffs like 2 seasons ago 😂” (@smitchell17) | “If you’re a best ball bro who’s not into *either* of Rachaad White or JCM what’s your reasoning?” (@jakobsanderson),2
Malik Nabers,“Malik Nabers so we talked through this year's group to make sure we get it right for your fantasy football draft Including our favorite sleepers 👍 https://t.co/xZYtwOPC6w https://t.co/0GMPd2N5yl” (@joshnorris) | “Malik Nabers is clearly going to the 4th round in drafts.” (@chessliam),2
Malik Willis,“I almost want to put like Malik Willis in his own tier because he's a different type of quarterback than all these next ones.” (@haydenwinks) | “Malik Willis also was possibly the best collegiate rushing QB among recent Round 1-3 prospects https://t.co/AbBXBt0I17” (@jagibbs_23),2
Omarion Hampton,“Article explores whether Omarion Hampton was the right use of draft capital vs taking a RB in rd2+ Still says he has the keys to the rushing attack and is the lead back” (@dhananizain) | “Fading Omarion Hampton at ADP is a free square in 2026 fantasy draft prep” (@sigmundbloom),2
Brian Thomas Jr.,"“RT @SleeperJaguars: Average depth of target for the #Jaguars in 2025 (min 25 targets) 🐆 Dyami Brown - 14.4 🐆 Brian Thomas Jr.” (@fantasyptsdata) | “They got Brian Thomas Jr., who they want to see get more vertical routes down the field, use him in that game.” (@dhananizain)",2
Deshaun Watson,“- Cleveland Browns: Either Brown's QB who wins the starting job are currently free in drafts between veteran QB Deshaun Watson and 2nd-year QB Shedeur Sanders.” (@smitchell17) | “Not even kidding that might be the best ball Deshaun Watson has thrown as a Brown” (@ihartitz),2
Jerry Jeudy,“I am not a Jeudy guy by any means but we always see some late round vet that everyone is writing off carry solid value Think 2024 Adam Thielen Jerry Jeudy could do that” (@dhananizain) | “Maybe it’s okay to draft Jerry Jeudy in Round 16 https://t.co/dV5y9rLBLe” (@ihartitz),2
Jeremiyah Love,"“ADP RB6 Ashton Jeanty, RB7 De'Von Achane, RB13 Jeremiyah Love are good at football, but could easily be in bottom-10 scoring offenses.” (@ihartitz) | “and ya, I will say that again - you are smoking crack if you are taking AJB over Jeremiyah Love at cost” (@smitchell17)",2
Kenneth Walker III,"“Kenneth Walker is an aggressive runner, but it's actually been his agility and acceleration that have really shown up in the playoffs.” (@syedschemes) | “We saw them manage Kenneth Walker last season in order to keep Walker healthy for the playoffs.” (@coachspeakindex)",2
Sam Darnold,“RT @SleeperJaguars: Four QBs tied for the most passes batted last year with 17 🐆 Trevor Lawrence 🦜 Sam Darnold 🐻 Caleb Williams 🦁 Jared Go…” (@fantasyptsdata) | “He's going to have a full off season now to build chemistry with Sam Darnold as well.” (@jamesdkoh),2
J.J. McCarthy,"“Kyler will probably get most 1st team reps soon, but the Vikings really want him to play on-time and in structure and make the simple plays Thinks Vikings may talk through trading JJ McCarthy if Kyler wins the job while his value is higher” (@dhananizain)",1
Kenneth Gainwell,“LeQuint Allen/Ameer Abdullah taking passing work from Tuten) but wasn't that the same exact situation that Kenneth Gainwell was in last season (barely being drafted) before becoming one of the BIGGEST smashes in RB ADP in recent memory???” (@smitchell17),1
J'Mari Taylor,"““There was certainly plenty of interest in Jaguars rookie running back J'Mari Taylor right off the bat once he signed with the Jaguars in undrafted free agency, and he has done nothing to quiet down the hype since” If Chris Rodriguez Jr.” (@smitchell17)",1
