name,pos,team,adp,proj_pg,p95,cv,spike,bye,w15_opp,w16_opp,w17_game,w17_blowup_rank,adv_pct,ceil_pct,merged_rank
Tank Bigsby,RB,PHI,175.23831,3.658823529411765,10.674797556360591,1.1147383264335382,0.239,10.0,SEA,HOU,PHI@SF,8,0.3255813953488372,0.3058823529411765,182.0
Jerry Jeudy,WR,CLE,185.01556,8.235294117647058,23.19816039834356,1.1331715723249784,0.1865833333333333,11.0,NYG,BAL,CLE@IND,15,0.5971223021582733,0.6014492753623188,177.0
Malik Washington,WR,MIA,161.16527,6.105882352941176,17.566590381591876,1.2078159671505828,0.2025,6.0,GB,LAC,BUF@MIA,16,0.4892086330935252,0.4710144927536231,173.0
Brandon Aiyuk,WR,SF,194.60298,,,,,8.0,LAC,KC,PHI@SF,8,,,200.0
Deebo Samuel Sr.,WR,FA,176.30827,,,,,,,,,99,,,172.0
Nick Singleton,RB,TEN,194.02248,,,,,9.0,IND,LV,PIT@TEN,13,,,193.0
Emanuel Wilson,RB,SEA,219.04271,1.1333333333333335,2.0008896330763744,2.825944201559053,0.1623333333333333,11.0,PHI,LAR,CAR@SEA,5,0.0697674418604651,0.0235294117647058,207.0
Ryan Flournoy,WR,DAL,166.42342,5.394117647058824,16.850218284113506,1.2881456654901655,0.2150833333333333,14.0,LAR,JAX,DAL@NYG,3,0.4532374100719424,0.4492753623188406,176.0
Eli Stowers,TE,PHI,212.27975,2.135294117647059,8.319343082293061,1.7777049310540554,0.2128333333333333,10.0,SEA,HOU,PHI@SF,8,0.1153846153846153,0.0961538461538461,212.0
Tank Dell,WR,HOU,187.8816,6.276470588235294,18.47329926588746,1.18227433064358,0.213,8.0,JAX,PHI,GB@HOU,10,0.5035971223021583,0.4927536231884058,186.0
Mike Washington Jr.,RB,LV,207.69667,3.676470588235294,11.326545432131626,1.1415890008359384,0.2451666666666666,13.0,DEN,TEN,ARI@LV,14,0.3372093023255814,0.3294117647058823,209.0
Calvin Ridley,WR,TEN,191.25188,8.552941176470586,23.584112084414407,1.158568709626914,0.1933333333333333,9.0,IND,LV,PIT@TEN,13,0.6115107913669064,0.6159420289855072,187.0
Germie Bernard,WR,PIT,192.57628,7.388235294117647,21.27037014949975,1.2027077026571142,0.2005833333333333,9.0,BAL,CAR,PIT@TEN,13,0.5611510791366906,0.5579710144927537,192.0
Emmett Johnson,RB,KC,196.71956,2.7294117647058824,9.291797141043704,1.3161031949664734,0.2424166666666666,5.0,NE,SF,KC@LAC,9,0.2790697674418604,0.2705882352941176,199.0
