rank,pos,posrank,name,team,adp,edge_vs_adp,proj_pg,ceiling_pct,consensus,flags_total,flags_playoff,avail,adj_proj_pg,model_flags,upside
198,RB,57,Nick Singleton,TEN,194.0,-6,1.3,15,29,0,0,1.0,1.3,,
199,TE,30,Colby Parkinson,LAR,202.4,3,3.9,12,59,0,0,1.0,3.9,,man volume
200,RB,58,Emmett Johnson,KC,196.7,-4,2.7,18,43,1,1,1.0,2.7,,
201,RB,59,Ray Davis,BUF,200.2,0,2.0,17,54,0,0,1.0,2.0,POLARIZING; BOOM MERCHANT,
202,TE,31,Terrance Ferguson,LAR,203.3,1,7.4,4,64,0,0,1.0,7.4,MARKET FADE,
203,WR,82,Kayshon Boutte,NE,208.4,4,4.0,16,55,0,0,1.0,4.0,POLARIZING; EFFICIENCY EDGE,
204,RB,60,Kaytron Allen,WAS,200.2,-4,0.7,15,24,0,0,1.0,0.7,,
205,WR,83,Ted Hurst,TB,205.5,-1,3.8,3,49,0,0,1.0,3.8,,
206,RB,61,MarShawn Lloyd,GB,206.6,-1,3.9,19,53,0,0,1.0,3.9,POLARIZING,
207,RB,62,Justice Hill,BAL,211.1,4,6.7,18,48,0,0,1.0,6.7,MARKET FADE,
208,RB,63,Kimani Vidal,LAC,209.8,1,2.1,17,35,0,0,1.0,2.1,RB-GAP-SCHEME,
209,RB,64,Mike Washington Jr.,LV,207.7,-3,3.7,18,44,1,1,1.0,3.7,,
210,WR,84,Christian Kirk,SF,208.7,-2,3.9,1,36,1,1,1.0,3.9,POLARIZING,slot volume
211,WR,85,Keon Coleman,BUF,214.3,3,3.4,5,46,1,1,1.0,3.4,POLARIZING; EFFICIENCY EDGE,route volume
212,RB,65,Jaydon Blue,DAL,210.6,-2,1.9,17,41,0,0,1.0,1.9,RB-GAP-SCHEME,
213,TE,32,Mike Gesicki,CIN,214.6,2,6.4,13,49,0,0,1.0,6.4,,slot man
214,TE,33,Eli Stowers,PHI,212.3,-2,2.1,7,48,0,0,1.0,2.1,POLARIZING,
215,WR,86,Chris Bell,MIA,213.4,-2,6.2,5,45,0,0,1.0,6.2,,
216,WR,87,Malachi Fields,NYG,214.7,0,2.0,5,46,0,0,1.0,2.0,POLARIZING,
217,RB,66,George Holani,SEA,217.8,2,2.5,18,47,0,0,1.0,2.5,RB-ZONE-SCHEME,
218,QB,32,Shedeur Sanders,CLE,217.6,0,6.2,12,34,0,0,1.0,6.2,QB-MAN-BEATER,
219,WR,88,Darnell Mooney,NYG,218.8,1,5.8,8,49,0,0,1.0,5.8,POLARIZING; ZONE-BEATER,route
220,QB,33,Deshaun Watson,CLE,215.8,-3,7.9,1,48,0,0,1.0,7.9,,
221,WR,89,Troy Franklin,DEN,219.2,1,3.0,12,41,0,0,1.0,3.0,POLARIZING,volume
222,RB,67,Emanuel Wilson,SEA,219.0,-1,1.1,14,32,0,0,1.0,1.1,,
223,WR,90,Elijah Sarratt,BAL,220.9,1,3.6,4,58,0,0,1.0,3.6,POLARIZING,
224,RB,68,Demond Claiborne,MIN,219.9,-1,1.5,16,45,0,0,1.0,1.5,POLARIZING,
225,QB,34,Kirk Cousins,LV,221.0,0,2.8,13,36,0,0,1.0,2.8,,
226,TE,34,Evan Engram,DEN,221.6,0,6.2,5,40,0,0,1.0,6.2,POLARIZING; EFFICIENCY EDGE,volume slot
227,RB,69,Jordan James,SF,222.1,0,3.6,18,55,0,0,1.0,3.6,,
228,WR,91,Tory Horton,SEA,223.5,3,3.8,12,47,0,0,1.0,3.8,POLARIZING,
229,QB,35,Michael Penix Jr.,ATL,222.3,-1,7.1,9,55,0,0,1.0,7.1,BOOM MERCHANT,
230,RB,70,Kareem Hunt,FA,223.2,0,0.7,10,46,,,,,BOOM MERCHANT; RB-GAP-SCHEME,
231,RB,71,Kaelon Black,SF,223.6,1,1.9,17,45,0,0,1.0,1.9,,
232,RB,72,Nick Chubb,FA,223.0,-3,0.7,4,31,,,,,,
233,WR,92,Pat Bryant,DEN,224.1,0,4.2,1,48,0,0,1.0,4.2,MAN-BEATER,
234,RB,73,Trevor Etienne,CAR,224.8,2,1.8,17,48,0,0,1.0,1.8,POLARIZING; BOOM MERCHANT,
235,RB,74,James Conner,ARI,225.2,2,0.7,19,32,0,0,1.0,0.7,RB-GAP-SCHEME,
236,WR,93,Tyquan Thornton,KC,225.2,2,4.6,2,64,2,1,1.0,4.6,POLARIZING; BOOM MERCHANT,route
237,RB,75,Samaje Perine,CIN,225.2,2,6.0,19,60,0,0,1.0,6.0,BOOM MERCHANT; RB-ZONE-SCHEME,
238,WR,94,Jaylin Noel,HOU,224.2,-4,3.2,1,43,1,1,1.0,3.2,,
239,QB,36,Tanner McKee,PHI,224.4,-4,2.7,8,45,0,0,1.0,2.7,QB-ZONE-BEATER,
240,WR,95,Chris Brazzell II,CAR,225.7,0,3.7,4,48,0,0,1.0,3.7,,
241,QB,37,J.J. McCarthy,MIN,225.8,0,2.6,4,33,0,0,1.0,2.6,,
242,WR,96,DeAndre Hopkins,FA,226.7,4,2.0,9,57,,,,,EFFICIENCY EDGE; BOOM MERCHANT,volume route
243,RB,76,Roman Hemby,LV,225.9,-1,0.7,19,21,1,1,1.0,0.7,,
244,WR,97,Odell Beckham Jr.,NYG,226.3,0,2.2,5,46,0,0,1.0,2.2,POLARIZING,slot
245,RB,77,Austin Ekeler,FA,226.0,-2,0.7,19,30,,,,,RB-ZONE-SCHEME,
246,RB,78,Chris Brooks,GB,226.8,1,2.9,18,49,0,0,1.0,2.9,POLARIZING,
247,RB,79,Jerome Ford,WAS,226.4,-2,0.7,19,38,0,0,1.0,0.7,BOOM MERCHANT; RB-GAP-SCHEME,
248,TE,35,Darnell Washington,PIT,226.8,0,4.3,1,59,0,0,1.0,4.3,BOOM MERCHANT; ZONE-BEATER,route man
249,WR,98,Rashod Bateman,BAL,227.2,3,7.3,10,49,1,0,1.0,7.3,MARKET FADE; POLARIZING,
250,WR,99,Jalen Tolbert,MIA,226.9,-1,3.9,6,38,0,0,1.0,3.9,,
251,WR,100,Cyrus Allen,KC,227.1,-1,1.2,4,30,1,1,1.0,1.2,POLARIZING,
252,QB,38,Joe Flacco,CIN,227.3,2,0.6,16,23,0,0,1.0,0.6,,
253,WR,101,Mack Hollins,NE,227.3,0,1.7,1,39,0,0,1.0,1.7,ZONE-BEATER,
254,RB,80,Isaiah Davis,NYJ,227.4,1,2.3,17,42,0,0,1.0,2.3,,
255,RB,81,Devin Singletary,NYG,227.2,-4,1.6,16,35,0,0,1.0,1.6,,
256,WR,102,JuJu Smith-Schuster,NYG,227.4,0,1.1,19,36,0,0,1.0,1.1,POLARIZING; SEPARATION KING,slot
257,WR,103,Hollywood Brown,PHI,227.5,0,1.1,18,39,0,0,1.0,1.1,,
258,RB,82,Ty Johnson,BUF,227.6,5,4.9,18,52,0,0,1.0,4.9,POLARIZING; BOOM MERCHANT,
259,RB,83,Ollie Gordon II,MIA,227.5,0,1.8,17,35,0,0,1.0,1.8,RB-ZONE-SCHEME,
260,RB,84,Joe Mixon,FA,227.5,-2,0.7,19,18,,,,,,
261,QB,39,Anthony Richardson Sr.,IND,227.7,3,0.6,18,24,0,0,1.0,0.6,,
262,RB,85,Will Shipley,PHI,227.5,-2,1.4,16,35,1,1,1.0,1.4,,
263,WR,104,Cedric Tillman,CLE,227.5,-2,1.5,8,37,0,0,1.0,1.5,POLARIZING,
264,WR,105,KeAndre Lambert-Smith,LAC,227.6,-2,1.7,3,27,0,0,1.0,1.7,POLARIZING,
265,TE,36,Jake Tonges,SF,227.8,2,1.9,19,36,1,1,1.0,1.9,,volume
266,WR,106,Bryce Lance,NO,227.7,-1,2.5,6,34,0,0,1.0,2.5,,
267,WR,107,John Metchie III,CAR,227.8,-1,1.1,6,28,0,0,1.0,1.1,EFFICIENCY EDGE; SEPARATION KING,slot
268,RB,86,Audric Estime,NO,227.9,0,0.7,19,45,0,0,1.0,0.7,BOOM MERCHANT; RB-GAP-SCHEME,
269,WR,108,Malik Benson,LV,227.9,0,1.1,18,22,0,0,1.0,1.1,,
270,WR,109,Keenan Allen,FA,228.1,1,1.1,21,43,,,,,,volume route
271,WR,110,Andrei Iosivas,CIN,228.0,-1,4.6,1,40,0,0,1.0,4.6,MAN-BEATER,slot
272,WR,111,Devaughn Vele,NO,228.2,1,3.7,6,45,0,0,1.0,3.7,POLARIZING; BOOM MERCHANT,slot
273,RB,87,Jaylen Wright,MIA,228.1,-1,2.4,18,36,0,0,1.0,2.4,RB-GAP-SCHEME,
274,QB,40,Carson Beck,ARI,228.2,0,15.4,10,48,0,0,1.0,15.4,MARKET FADE,
275,RB,88,J'Mari Taylor,JAX,228.2,0,0.4,19,23,0,0,1.0,0.4,,
276,RB,89,Brashard Smith,KC,228.3,0,0.0,19,17,1,1,1.0,0.0,,
277,WR,112,Xavier Legette,CAR,228.4,0,4.2,5,37,0,0,1.0,4.2,POLARIZING; MAN-BEATER,
278,TE,37,Darren Waller,FA,228.4,0,1.9,30,51,,,,,BOOM MERCHANT,
279,WR,113,Luke McCaffrey,WAS,228.4,1,0.0,15,30,1,1,1.0,0.0,,slot
280,QB,41,Justin Fields,KC,228.5,3,0.7,20,30,1,1,1.0,0.7,,man
281,TE,38,Zach Ertz,FA,228.5,1,1.9,20,23,,,,,ZONE-BEATER,slot volume
282,RB,90,Jarquez Hunter,LAR,228.4,-3,0.0,19,32,0,0,1.0,0.0,,
283,RB,91,Malik Davis,DAL,228.5,1,2.8,18,46,0,0,1.0,2.8,RB-GAP-SCHEME,
284,QB,42,Jameis Winston,NYG,228.6,2,0.6,33,53,0,0,1.0,0.6,BOOM MERCHANT; QB-ZONE-BEATER,
285,QB,43,Quinn Ewers,MIA,228.5,-4,0.6,7,25,0,0,1.0,0.6,QB-ZONE-BEATER,
286,TE,39,Michael Trigg,DAL,228.6,-1,1.9,17,37,0,0,1.0,1.9,,
287,WR,114,Devontez Walker,BAL,228.6,0,2.0,5,55,1,0,1.0,2.0,POLARIZING,route
288,TE,40,Oscar Delp,NO,228.6,0,1.9,18,31,0,0,1.0,1.9,,
289,WR,115,Demarcus Robinson,SF,228.6,0,0.4,6,22,1,1,1.0,0.4,ZONE-BEATER,
290,WR,116,DeMario Douglas,NE,228.7,2,3.4,10,51,0,0,1.0,3.4,POLARIZING; BOOM MERCHANT,slot route
291,QB,44,Drew Allar,PIT,228.6,-1,0.6,11,34,0,0,1.0,0.6,,
292,WR,117,Darius Slayton,NYG,228.8,4,5.1,5,54,0,0,1.0,5.1,ZONE-BEATER,
293,WR,118,Greg Dortch,DET,228.8,1,0.6,8,25,0,0,1.0,0.6,,slot man
294,WR,119,Calvin Austin III,NYG,228.7,-1,1.0,1,35,0,0,1.0,1.0,POLARIZING,slot
295,RB,92,Adam Randall,BAL,228.7,-4,1.5,16,33,0,0,1.0,1.5,,
296,QB,45,Davis Mills,HOU,228.8,-1,0.6,16,23,1,1,1.0,0.6,QB-ZONE-BEATER,
297,TE,41,Cole Kmet,CHI,228.8,0,3.3,9,43,0,0,1.0,3.3,POLARIZING,slot
298,WR,120,Kendrick Bourne,ARI,228.9,2,3.1,14,49,0,0,1.0,3.1,POLARIZING; BOOM MERCHANT,
299,WR,121,Brenen Thompson,LAC,228.8,-1,1.7,6,26,0,0,1.0,1.7,,
300,RB,93,Trey Benson,ARI,228.9,1,0.0,19,29,0,0,1.0,0.0,,
301,WR,122,Marvin Mims Jr.,DEN,229.0,3,4.0,20,48,0,0,1.0,4.0,POLARIZING; SEPARATION KING,man volume
302,WR,123,Zavion Thomas,CHI,228.8,-3,0.4,2,20,0,0,1.0,0.4,POLARIZING,
303,WR,124,Kalif Raymond,CHI,229.0,-1,3.7,1,46,1,1,1.0,3.7,POLARIZING,man route
304,QB,46,Will Howard,PIT,229.0,-1,0.6,11,33,0,0,1.0,0.6,,
305,RB,94,DJ Giddens,IND,229.1,0,2.0,17,48,1,1,1.0,2.0,POLARIZING; BOOM MERCHANT,
306,QB,47,Marcus Mariota,WAS,229.1,0,0.6,10,32,3,1,1.0,0.6,QB-ZONE-BEATER,
307,WR,125,KaVontae Turpin,DAL,229.2,2,3.7,1,51,0,0,1.0,3.7,POLARIZING; BOOM MERCHANT,slot route
308,WR,126,CJ Daniels,LAR,229.2,0,0.4,3,28,0,0,1.0,0.4,POLARIZING,
309,WR,127,Isaiah Bond,CLE,229.2,-2,0.9,1,28,0,0,1.0,0.9,POLARIZING,
310,WR,128,Olamide Zaccheaus,ATL,229.3,1,3.7,10,37,0,0,1.0,3.7,POLARIZING; SEPARATION KING,volume slot
311,WR,129,Jahan Dotson,ATL,229.3,-1,5.0,2,39,0,0,1.0,5.0,POLARIZING; ZONE-BEATER,
312,TE,42,Michael Mayer,LV,229.4,0,4.7,7,41,0,0,1.0,4.7,EFFICIENCY EDGE,volume
313,WR,130,Jack Bech,LV,229.4,1,6.0,3,41,0,0,1.0,6.0,,
314,WR,131,Dont'e Thornton Jr.,LV,229.4,-1,2.5,3,29,0,0,1.0,2.5,,
315,WR,132,Jahdae Walker,CHI,229.4,0,1.1,2,28,0,0,1.0,1.1,POLARIZING,
316,RB,95,Sione Vaki,DET,229.4,0,0.0,19,27,0,0,1.0,0.0,,
317,RB,96,LeQuint Allen Jr.,JAX,229.5,1,2.7,18,46,0,0,1.0,2.7,POLARIZING; BOOM MERCHANT,
318,WR,133,Tutu Atwell,MIA,229.5,-1,3.0,1,39,0,0,1.0,3.0,,route volume
319,WR,134,Chimere Dike,TEN,229.5,0,1.8,1,37,0,0,1.0,1.8,POLARIZING; SEPARATION KING,
320,QB,48,Tyler Huntley,BAL,229.6,1,0.6,4,49,0,0,1.0,0.6,QB-MAN-BEATER,
321,TE,43,Charlie Kolar,LAC,229.6,-1,1.2,3,33,0,0,1.0,1.2,POLARIZING; EFFICIENCY EDGE,route
322,WR,135,Skyler Bell,BUF,229.6,0,2.4,7,32,1,1,1.0,2.4,POLARIZING,
323,WR,136,Deion Burks,IND,229.7,0,0.0,16,19,0,0,1.0,0.0,,
324,TE,44,Tyler Higbee,LAR,229.8,3,2.1,10,50,0,0,1.0,2.1,POLARIZING; BOOM MERCHANT,volume route
325,WR,137,Caleb Douglas,MIA,229.7,-1,5.3,4,38,0,0,1.0,5.3,,
326,TE,45,Theo Johnson,NYG,229.7,-1,3.8,4,45,0,0,1.0,3.8,POLARIZING; MAN-BEATER,slot
327,RB,97,Najee Harris,FA,229.8,-1,0.0,19,33,,,,,BOOM MERCHANT; RB-GAP-SCHEME,
328,WR,138,Dyami Brown,WAS,229.8,0,5.1,1,38,3,1,1.0,5.1,POLARIZING; MAN-BEATER,
329,QB,49,Joe Milton III,DAL,230.0,2,0.6,10,32,0,0,1.0,0.6,QB-MAN-BEATER,
330,WR,139,Tez Johnson,TB,230.2,2,1.4,12,32,0,0,1.0,1.4,,
331,WR,140,Eli Heidenreich,PIT,230.0,-1,0.0,18,26,0,0,1.0,0.0,,
332,RB,98,Devin Neal,NO,229.9,-3,0.0,19,23,0,0,1.0,0.0,,
333,WR,141,Roman Wilson,PIT,230.3,1,0.0,15,38,2,1,1.0,0.0,,
334,TE,46,Tommy Tremble,CAR,230.3,-1,3.7,1,36,0,0,1.0,3.7,POLARIZING; ZONE-BEATER,slot
335,RB,99,Emari Demercado,KC,230.5,5,3.8,19,35,1,1,1.0,3.8,POLARIZING; RB-ZONE-SCHEME,
336,WR,142,Jordan Whittington,LAR,230.4,-1,2.3,3,38,0,0,1.0,2.3,POLARIZING,slot
337,WR,143,Ja'Kobi Lane,BAL,230.5,0,4.9,3,52,0,0,1.0,4.9,POLARIZING,
338,WR,144,Elic Ayomanor,TEN,230.4,-2,0.8,1,28,0,0,1.0,0.8,POLARIZING; MAN-BEATER,
339,TE,47,Noah Gray,KC,230.9,6,3.4,10,35,1,1,1.0,3.4,POLARIZING,
340,RB,100,Kaleb Johnson,PIT,230.5,-2,0.2,14,21,0,0,1.0,0.2,RB-GAP-SCHEME,
341,WR,145,Joshua Palmer,BUF,230.5,-2,2.6,1,32,1,1,1.0,2.6,POLARIZING,
342,QB,50,Ty Simpson,LAR,230.6,-1,0.6,12,36,0,0,1.0,0.6,,
343,TE,48,Ben Sinnott,WAS,230.8,0,1.7,4,34,3,1,1.0,1.7,,
344,QB,51,Cade Klubnik,NYJ,230.7,-2,0.6,11,12,0,0,1.0,0.6,,
345,TE,49,Sam Roush,CHI,230.8,-1,1.2,16,27,0,0,1.0,1.2,,
346,RB,101,Phil Mafah,DAL,230.9,0,0.0,19,24,0,0,1.0,0.0,,
347,WR,146,Colbie Young,CIN,231.1,1,0.4,2,14,0,0,1.0,0.4,POLARIZING,
348,TE,50,Dawson Knox,BUF,231.3,5,4.1,6,50,1,1,1.0,4.1,POLARIZING; BOOM MERCHANT,route slot
349,TE,51,Ja'Tavion Sanders,CAR,231.1,0,4.5,1,35,0,0,1.0,4.5,MAN-BEATER,slot
350,RB,102,Seth McGowan,IND,231.0,-3,0.7,15,24,1,1,1.0,0.7,POLARIZING,
351,TE,52,Eli Raridon,NE,231.3,-1,2.2,7,31,0,0,1.0,2.2,,
352,WR,147,Kevin Coleman Jr.,MIA,231.3,0,3.2,6,29,0,0,1.0,3.2,,
353,TE,53,Luke Musgrave,GB,231.3,-2,2.0,3,36,1,0,1.0,2.0,,
354,WR,148,Savion Williams,GB,231.4,2,4.0,2,46,0,0,1.0,4.0,POLARIZING,
355,WR,149,Jaylin Lane,WAS,231.4,0,3.7,1,35,1,1,1.0,3.7,POLARIZING,
356,TE,54,Mason Taylor,NYJ,231.3,-2,3.4,1,25,0,0,1.0,3.4,ZONE-BEATER,
357,WR,150,Kyle Williams,NE,231.5,1,0.0,15,24,0,0,1.0,0.0,,
358,WR,151,Kyle Williams,TEN,,1,0.0,15,24,0,0,1.0,0.0,,
359,WR,152,Jalen Royals,KC,231.4,-1,2.9,2,36,2,1,1.0,2.9,POLARIZING,
360,QB,52,Tyson Bagent,CHI,231.7,2,0.6,11,42,0,0,1.0,0.6,BOOM MERCHANT; QB-MAN-BEATER,
