name,pos,team,env,opp,eff,matchup,role,consensus,divergence,p_w15,p_w16,p_w17,profile
Kenneth Walker III,RB,KC,45.5,68.9,86.5,18.0,88.8,61.5,26.7,0.2786,0.2999,0.2357,"efficiency+role elite, matchup cool (sources DIVERGE)"
George Pickens,WR,DAL,98.7,83.7,94.7,19.9,83.3,76.1,28.7,0.2228,0.2652,0.2791,"Vegas+volume+efficiency+role elite, matchup cool (sources DIVERGE)"
Josh Allen,QB,BUF,92.0,50.9,72.4,99.1,92.9,81.5,17.7,0.51,0.3689,0.5424,Vegas+efficiency+matchup+role elite
Jeremiyah Love,RB,ARI,10.1,,,24.8,,17.4,7.4,0.2129,0.1701,0.2238,Vegas+matchup cool
Trey McBride,TE,ARI,7.5,99.0,79.8,80.8,62.5,65.9,31.4,0.3279,0.2795,0.3397,"volume+efficiency+matchup elite, Vegas cool (sources DIVERGE)"
Omarion Hampton,RB,LAC,74.2,72.6,79.4,7.3,54.7,57.6,26.5,0.3061,0.3404,0.283,"Vegas+volume+efficiency elite, matchup cool (sources DIVERGE)"
Nico Collins,WR,HOU,19.5,84.5,82.5,5.0,55.7,49.4,32.4,0.2401,0.1793,0.1945,"volume+efficiency elite, Vegas+matchup cool (sources DIVERGE)"
Chase Brown,RB,CIN,88.4,87.2,60.6,95.6,17.1,69.8,28.9,0.3079,0.3414,0.3303,"Vegas+volume+matchup elite, role cool (sources DIVERGE)"
A.J. Brown,WR,NE,33.1,86.1,67.9,49.0,45.9,56.4,18.6,0.1918,0.2313,0.2155,"volume elite, Vegas cool"
Brock Bowers,TE,LV,13.3,95.2,66.3,1.7,54.8,46.3,34.5,0.255,0.3338,0.3554,"volume elite, Vegas+matchup cool (sources DIVERGE)"
DeVonta Smith,WR,PHI,43.7,81.3,83.3,10.6,70.3,57.8,27.5,0.2076,0.2076,0.2001,"volume+efficiency+role elite, matchup cool (sources DIVERGE)"
Breece Hall,RB,NYJ,6.6,82.3,38.2,89.8,60.6,55.5,30.4,0.2406,0.1651,0.1862,"volume+matchup elite, Vegas cool (sources DIVERGE)"
Kyren Williams,RB,LAR,94.4,79.9,78.2,62.6,45.3,72.1,16.8,0.3152,0.227,0.2749,Vegas+volume+efficiency elite
Zay Flowers,WR,BAL,81.1,89.3,89.8,62.6,86.6,81.9,10.1,0.2267,0.2654,0.2422,Vegas+volume+efficiency+role elite
Chris Olave,WR,NO,46.4,90.1,63.8,59.6,34.6,58.9,18.7,0.1822,0.2658,0.1974,"volume elite, role cool"
Javonte Williams,RB,DAL,98.0,75.0,92.4,75.2,26.5,73.4,25.2,0.266,0.3263,0.346,"Vegas+volume+efficiency+matchup elite, role cool (sources DIVERGE)"
Rashee Rice,WR,KC,49.3,94.8,37.0,34.8,11.8,45.5,27.4,0.2635,0.2795,0.2309,"volume elite, matchup+role cool (sources DIVERGE)"
Emeka Egbuka,WR,TB,71.2,82.1,30.5,56.6,41.1,56.3,18.9,0.1983,0.1847,0.1847,"Vegas+volume elite, efficiency cool"
Ladd McConkey,WR,LAC,74.5,79.8,49.2,45.4,37.0,57.2,16.9,0.1935,0.213,0.1805,Vegas+volume elite
Tee Higgins,WR,CIN,89.4,67.1,57.3,27.2,74.4,63.1,20.8,0.2025,0.2218,0.2153,"Vegas+role elite, matchup cool"
Travis Etienne Jr.,RB,NO,41.4,83.5,18.2,27.7,61.8,46.5,23.6,0.1714,0.2759,0.19,"volume elite, efficiency+matchup cool (sources DIVERGE)"
Colston Loveland,TE,CHI,70.8,76.0,91.3,40.8,74.0,70.6,16.5,0.2858,0.312,0.3206,Vegas+volume+efficiency+role elite
Malik Nabers,WR,NYG,37.4,86.9,76.8,30.8,91.5,64.7,25.5,0.2159,0.1837,0.2239,"volume+efficiency+role elite, matchup cool (sources DIVERGE)"
Davante Adams,WR,LAR,95.7,88.5,31.3,95.7,56.5,73.5,25.6,0.2772,0.2106,0.2469,"Vegas+volume+matchup elite, efficiency cool (sources DIVERGE)"
Garrett Wilson,WR,NYJ,8.3,94.0,46.7,93.0,9.3,50.3,37.9,0.2076,0.15,0.1663,"volume+matchup elite, Vegas+role cool (sources DIVERGE)"
Jameson Williams,WR,DET,86.8,70.2,89.0,7.9,76.0,66.0,29.8,0.1912,0.2378,0.1979,"Vegas+volume+efficiency+role elite, matchup cool (sources DIVERGE)"
Tetairoa McMillan,WR,CAR,12.9,82.9,52.4,87.7,65.4,60.3,26.8,0.1911,0.1449,0.1525,"volume+matchup elite, Vegas cool (sources DIVERGE)"
Lamar Jackson,QB,BAL,82.1,4.5,43.9,53.6,78.6,52.5,28.1,0.3135,0.3988,0.3478,"Vegas+role elite, volume cool (sources DIVERGE)"
Jaylen Waddle,WR,DEN,26.2,64.7,72.0,79.1,79.3,64.3,19.8,0.1648,0.1714,0.1324,"efficiency+matchup+role elite, Vegas cool"
Luther Burden III,WR,CHI,77.8,41.7,96.3,42.1,44.3,60.4,22.5,0.1564,0.1758,0.1823,Vegas+efficiency elite (sources DIVERGE)
DJ Moore,WR,BUF,92.4,9.9,39.4,72.5,54.1,53.7,28.2,0.2144,0.161,0.2278,"Vegas+matchup elite, volume cool (sources DIVERGE)"
Josh Jacobs,RB,GB,82.3,81.1,20.6,66.5,42.9,58.7,23.8,0.3838,0.2955,0.2845,"Vegas+volume elite, efficiency cool (sources DIVERGE)"
Christian Watson,WR,GB,84.1,69.4,91.5,90.7,94.7,86.1,9.0,0.1905,0.1448,0.1393,Vegas+efficiency+matchup+role elite
Cam Skattebo,RB,NYG,32.8,73.8,62.9,37.4,84.1,58.2,20.1,0.2013,0.1629,0.2112,"volume+role elite, Vegas cool"
Terry McLaurin,WR,WAS,62.3,73.4,76.0,13.9,77.6,60.6,24.0,0.2168,0.1694,0.1762,"volume+efficiency+role elite, matchup cool (sources DIVERGE)"
D'Andre Swift,RB,CHI,76.8,70.1,82.9,97.6,87.6,83.0,9.4,0.1587,0.1812,0.1888,Vegas+volume+efficiency+matchup+role elite
David Montgomery,RB,HOU,19.2,60.4,28.8,0.5,22.9,26.4,19.5,0.1485,0.0964,0.1088,Vegas+efficiency+matchup+role cool
Mike Evans,WR,SF,53.0,91.7,44.3,53.0,73.6,63.1,17.2,0.1276,0.1276,0.1435,volume+role elite
Quinshon Judkins,RB,CLE,4.0,84.8,10.0,5.3,41.8,29.2,31.1,0.1223,0.1077,0.1608,"volume elite, Vegas+efficiency+matchup cool (sources DIVERGE)"
Carnell Tate,WR,TEN,22.8,,,82.5,,52.6,29.8,0.1803,0.1413,0.1477,"matchup elite, Vegas cool (sources DIVERGE)"
Rome Odunze,WR,CHI,77.8,75.0,64.6,42.1,64.6,64.8,12.6,0.1662,0.1859,0.1925,Vegas+volume elite
Drake Maye,QB,NE,34.8,49.1,94.9,45.5,94.9,63.8,25.8,0.2105,0.2915,0.2586,"efficiency+role elite, Vegas cool (sources DIVERGE)"
TreVeyon Henderson,RB,NE,30.3,49.4,65.3,65.5,62.9,54.7,13.6,0.1285,0.1665,0.151,Vegas cool
Joe Burrow,QB,CIN,89.3,81.2,62.2,75.0,60.2,73.6,11.1,0.2638,0.3285,0.3066,Vegas+volume+matchup elite
Caleb Williams,QB,CHI,78.6,45.5,70.4,50.0,74.5,63.8,13.4,0.1848,0.2232,0.2364,Vegas+efficiency+role elite
Jayden Daniels,QB,WAS,66.1,68.8,48.0,62.5,84.7,66.0,11.8,0.3361,0.2206,0.2366,role elite
Bucky Irving,RB,TB,71.2,92.1,11.2,68.4,20.6,52.7,31.3,0.2064,0.1902,0.1902,"Vegas+volume elite, efficiency+role cool (sources DIVERGE)"
Bhayshul Tuten,RB,JAX,63.6,22.6,46.5,21.8,70.0,44.9,20.1,0.1075,0.1646,0.1949,"role elite, volume+matchup cool"
Jadarian Price,RB,SEA,67.7,,,39.3,,53.5,14.2,0.1217,0.1612,0.1477,"mixed reads, no strong driver"
Alec Pierce,WR,IND,58.6,62.3,90.7,65.9,98.0,75.1,16.1,0.1572,0.17,0.1382,efficiency+role elite
Tyler Warren,TE,IND,50.8,89.4,37.5,65.8,45.2,57.7,18.3,0.301,0.3199,0.272,volume elite
Parker Washington,WR,JAX,65.6,71.8,74.4,24.5,47.6,56.8,18.7,0.0996,0.1414,0.1631,"volume+efficiency elite, matchup cool"
Jordyn Tyson,WR,NO,46.4,,,59.6,,53.0,6.6,0.12,0.1782,0.1304,"mixed reads, no strong driver"
Dak Prescott,QB,DAL,98.2,74.1,82.7,16.1,52.0,64.6,28.5,0.2359,0.3158,0.3426,"Vegas+volume+efficiency elite, matchup cool (sources DIVERGE)"
Marvin Harrison Jr.,WR,ARI,10.3,57.5,72.8,85.1,89.0,62.9,28.5,0.1144,0.0932,0.1198,"efficiency+matchup+role elite, Vegas cool (sources DIVERGE)"
Jalen Hurts,QB,PHI,44.6,20.5,60.2,28.6,62.2,43.2,16.6,0.2506,0.2506,0.2307,volume+matchup cool
Brian Thomas Jr.,WR,JAX,65.6,63.9,41.1,24.5,58.9,50.8,15.8,0.0932,0.1321,0.1523,matchup cool
Chuba Hubbard,RB,CAR,13.6,51.8,54.7,26.7,51.2,39.6,16.5,0.0985,0.0665,0.0715,Vegas+matchup cool
DK Metcalf,WR,PIT,29.5,74.2,77.6,75.8,67.1,64.8,18.0,0.1294,0.1409,0.1294,"volume+efficiency+matchup elite, Vegas cool"
Justin Herbert,QB,LAC,75.0,67.0,50.0,66.1,86.7,69.0,12.0,0.2227,0.264,0.196,Vegas+role elite
Courtland Sutton,WR,DEN,26.2,71.0,69.5,79.1,84.1,66.0,20.6,0.1545,0.1609,0.1232,"volume+matchup+role elite, Vegas cool"
Tucker Kraft,TE,GB,78.3,85.6,99.0,86.7,81.7,86.3,7.0,0.267,0.2109,0.204,all 5 sources agree: elite across the board
Rhamondre Stevenson,RB,NE,30.3,59.1,32.4,63.6,35.9,44.3,14.1,0.1054,0.1385,0.1249,Vegas+efficiency cool
Trevor Lawrence,QB,JAX,68.8,72.3,52.0,6.2,72.4,54.3,25.2,0.1389,0.2425,0.2986,"volume+role elite, matchup cool (sources DIVERGE)"
Tony Pollard,RB,TEN,21.7,77.4,31.2,32.5,32.4,39.0,19.6,0.1385,0.1016,0.1075,"volume elite, Vegas+efficiency+matchup+role cool"
Matthew Stafford,QB,LAR,94.6,31.2,92.9,96.4,56.1,74.2,26.2,0.364,0.2414,0.3076,"Vegas+efficiency+matchup elite, volume cool (sources DIVERGE)"
RJ Harvey,RB,DEN,24.7,54.3,24.1,23.8,53.5,36.1,14.6,0.092,0.0973,0.0675,Vegas+efficiency+matchup cool
Michael Wilson,WR,ARI,10.3,63.1,48.4,85.1,36.2,48.6,25.2,0.0825,0.0656,0.0868,"matchup elite, Vegas cool (sources DIVERGE)"
Jayden Reed,WR,GB,84.1,68.7,54.1,90.7,28.0,65.1,22.5,0.1596,0.1204,0.1157,"Vegas+matchup elite, role cool (sources DIVERGE)"
Makai Lemon,WR,PHI,43.7,,,10.6,,27.2,16.6,0.1269,0.1269,0.1217,matchup cool
Jaylen Warren,RB,PIT,27.8,76.2,80.6,34.5,68.8,57.6,22.0,0.1036,0.1156,0.1036,"volume+efficiency elite, Vegas+matchup cool (sources DIVERGE)"
Sam LaPorta,TE,DET,81.7,64.4,89.4,6.7,49.0,58.2,29.3,0.2717,0.3266,0.2797,"Vegas+efficiency elite, matchup cool (sources DIVERGE)"
Patrick Mahomes,QB,KC,50.0,92.0,78.6,57.1,82.7,72.1,15.9,0.2186,0.2453,0.1674,volume+efficiency+role elite
Harold Fannin Jr.,TE,CLE,2.5,97.1,47.1,67.5,26.0,48.0,32.7,0.1762,0.1589,0.2201,"volume elite, Vegas+role cool (sources DIVERGE)"
Kyle Pitts Sr.,TE,ATL,32.5,93.3,51.0,99.2,60.6,67.3,25.4,0.2255,0.2335,0.2335,"volume+matchup elite, Vegas cool (sources DIVERGE)"
Chris Godwin Jr.,WR,TB,71.2,67.9,70.3,56.6,71.1,67.4,5.5,0.1151,0.1061,0.1061,all 5 sources agree: middling
Jaxson Dart,QB,NYG,37.5,34.8,41.8,8.9,80.6,40.7,23.0,0.2172,0.16,0.2322,"role elite, volume+matchup cool (sources DIVERGE)"
Brock Purdy,QB,SF,53.6,36.6,84.7,69.6,90.8,67.1,20.0,0.2124,0.2124,0.2542,efficiency+role elite
Quentin Johnston,WR,LAC,74.5,75.8,60.6,45.4,51.6,61.6,12.1,0.121,0.1353,0.1116,Vegas+volume elite
Rico Dowdle,RB,PIT,27.8,71.3,34.7,43.2,48.8,45.2,14.9,0.1014,0.1128,0.1014,"volume elite, Vegas+efficiency cool"
Michael Pittman Jr.,WR,PIT,29.5,76.6,37.8,75.8,50.0,53.9,19.3,0.1321,0.144,0.1321,"volume+matchup elite, Vegas cool"
Jared Goff,QB,DET,86.6,25.9,86.7,0.9,31.6,46.3,34.5,0.2148,0.2987,0.2265,"Vegas+efficiency elite, volume+matchup+role cool (sources DIVERGE)"
George Kittle,TE,SF,46.7,81.7,93.3,53.3,72.1,69.4,17.3,0.2941,0.2941,0.3203,volume+efficiency+role elite
Kyle Monangai,RB,CHI,76.8,45.7,75.9,85.9,71.2,71.1,13.6,0.1026,0.1189,0.1244,Vegas+efficiency+matchup+role elite
Jordan Addison,WR,MIN,56.0,60.7,56.5,22.2,57.3,50.5,14.3,0.1131,0.1369,0.1038,matchup cool
Blake Corum,RB,LAR,94.4,37.2,61.8,60.7,47.6,60.3,19.3,0.1291,0.0854,0.1084,Vegas elite
J.K. Dobbins,RB,DEN,24.7,67.7,90.0,13.1,81.8,55.5,30.9,0.1043,0.1098,0.0782,"efficiency+role elite, Vegas+matchup cool (sources DIVERGE)"
Kenneth Gainwell,RB,TB,71.2,53.0,47.6,82.0,91.2,69.0,16.6,0.1127,0.1017,0.1017,Vegas+matchup+role elite
Jordan Love,QB,GB,84.8,29.5,88.8,59.8,66.3,65.8,21.2,0.2782,0.1799,0.1687,"Vegas+efficiency elite, volume cool"
Bo Nix,QB,DEN,27.7,77.7,66.3,84.8,45.9,60.5,21.0,0.1625,0.1784,0.0933,"volume+matchup elite, Vegas cool"
Jakobi Meyers,WR,JAX,65.6,79.0,51.6,24.5,80.1,60.2,20.6,0.0935,0.1352,0.157,"volume+role elite, matchup cool"
Dalton Kincaid,TE,BUF,88.3,70.2,97.1,70.0,93.3,83.8,11.5,0.2297,0.1793,0.2422,Vegas+volume+efficiency+matchup+role elite
Josh Downs,WR,IND,58.6,59.9,20.7,65.9,38.6,48.7,16.8,0.1095,0.1195,0.095,efficiency cool
Matthew Golden,WR,GB,84.1,33.7,80.1,90.7,72.0,72.1,20.1,0.1932,0.1466,0.141,"Vegas+efficiency+matchup+role elite, volume cool"
Jonathon Brooks,RB,CAR,13.6,,,29.6,,21.6,8.0,0.0659,0.0447,0.048,Vegas+matchup cool
Wan'Dale Robinson,WR,TEN,22.8,85.3,55.7,82.5,40.2,57.3,24.1,0.1215,0.0911,0.096,"volume+matchup elite, Vegas cool (sources DIVERGE)"
Ricky Pearsall,WR,SF,53.0,53.6,81.7,53.0,87.4,65.7,15.5,0.1048,0.1048,0.1187,efficiency+role elite
Kyler Murray,QB,MIN,57.1,93.8,45.9,12.5,68.4,55.5,26.7,0.0784,0.1335,0.0609,"volume elite, matchup cool (sources DIVERGE)"
Tyler Shough,QB,NO,47.3,61.6,39.8,31.2,54.1,46.8,10.6,0.1143,0.2386,0.1345,matchup cool
Travis Kelce,TE,KC,43.3,91.3,68.3,35.0,66.3,60.8,19.9,0.2298,0.2444,0.2002,"volume elite, matchup cool"
Romeo Doubs,WR,NE,33.1,65.5,61.4,49.0,60.6,53.9,11.8,0.0986,0.1226,0.1129,Vegas cool
Xavier Worthy,WR,KC,49.3,56.7,41.9,34.8,72.8,51.1,13.1,0.1323,0.142,0.1132,"role elite, matchup cool"
Baker Mayfield,QB,TB,72.3,40.2,35.7,22.3,50.0,44.1,16.7,0.1966,0.1734,0.1734,"Vegas elite, matchup cool"
Khalil Shakir,WR,BUF,92.4,77.4,59.8,72.5,12.6,62.9,27.2,0.1572,0.1184,0.1671,"Vegas+volume+matchup elite, role cool (sources DIVERGE)"
Dallas Goedert,TE,PHI,35.0,83.7,45.2,10.0,37.5,42.3,23.8,0.2312,0.2312,0.2231,"volume elite, Vegas+matchup cool (sources DIVERGE)"
Aaron Jones Sr.,RB,MIN,53.0,64.0,64.1,30.6,55.9,53.5,12.3,0.126,0.1596,0.1132,matchup cool
Rachaad White,RB,WAS,59.6,44.5,73.5,58.7,38.2,54.9,12.4,0.132,0.0922,0.0976,efficiency elite
Jacory Croskey-Merritt,RB,WAS,59.6,42.1,37.1,51.0,33.5,44.7,9.5,0.0933,0.0643,0.0682,role cool
Isaiah Likely,TE,NYG,30.0,47.1,29.8,31.7,16.3,31.0,9.8,0.1799,0.1544,0.1863,Vegas+efficiency+matchup+role cool
KC Concepcion,WR,CLE,5.6,,,69.2,,37.4,31.8,0.0624,0.0548,0.0831,Vegas cool (sources DIVERGE)
Jake Ferguson,TE,DAL,98.3,74.0,27.9,20.0,10.6,46.2,34.0,0.2267,0.2717,0.2864,"Vegas+volume elite, efficiency+matchup+role cool (sources DIVERGE)"
Sam Darnold,QB,SEA,70.5,11.6,64.3,47.3,58.2,50.4,20.8,0.1223,0.181,0.1606,"Vegas elite, volume cool"
Malik Willis,QB,MIA,1.8,2.7,99.0,25.0,96.9,45.1,44.0,0.0347,0.0399,0.0516,"efficiency+role elite, Vegas+volume+matchup cool (sources DIVERGE)"
Stefon Diggs,WR,FA,,80.6,93.1,,85.8,86.5,5.1,,,,all three sources agree: elite across the board
C.J. Stroud,QB,HOU,23.2,58.0,76.5,33.9,48.0,47.9,18.6,0.1484,0.0769,0.0927,"efficiency elite, Vegas+matchup cool"
Jordan Mason,RB,MIN,53.0,43.3,74.7,40.3,85.3,59.3,17.7,0.0529,0.0684,0.0471,efficiency+role elite
Chris Rodriguez Jr.,RB,JAX,63.6,66.5,93.5,41.3,73.5,67.7,16.8,0.0082,0.0142,0.0178,efficiency+role elite
Mark Andrews,TE,BAL,75.0,72.1,18.3,63.3,56.7,57.1,20.4,0.2304,0.2668,0.245,"Vegas+volume elite, efficiency cool"
Jalen Coker,WR,CAR,12.9,55.2,68.7,87.7,26.4,50.2,27.3,0.0869,0.0655,0.069,"matchup elite, Vegas+role cool (sources DIVERGE)"
Daniel Jones,QB,IND,61.6,24.1,80.6,42.0,41.8,50.0,19.4,0.1381,0.1668,0.0999,"efficiency elite, volume cool"
Jayden Higgins,WR,HOU,19.5,45.6,28.9,5.0,68.7,33.5,22.0,0.0885,0.0611,0.0677,Vegas+efficiency+matchup cool
Tyrone Tracy Jr.,RB,NYG,32.8,62.8,35.9,49.0,27.6,41.6,12.7,0.0178,0.0135,0.0189,Vegas+role cool
Chig Okonkwo,TE,WAS,53.3,49.0,54.8,13.3,35.6,41.2,15.5,0.1465,0.1135,0.1181,matchup cool
Cam Ward,QB,TEN,25.9,56.2,3.1,77.7,9.2,34.4,28.4,0.099,0.058,0.0641,"matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
Jalen McMillan,WR,TB,71.2,29.8,95.5,56.6,81.7,67.0,22.5,0.0819,0.0753,0.0753,"Vegas+efficiency+role elite, volume cool (sources DIVERGE)"
Zach Charbonnet,RB,SEA,67.7,50.6,72.4,84.0,66.5,68.2,10.8,0.1391,0.18,0.1662,efficiency+matchup elite
Oronde Gadsden II,TE,LAC,65.8,54.8,72.1,45.8,52.9,58.3,9.4,0.1242,0.1381,0.1151,efficiency elite
Kenyon Sadiq,TE,NYJ,5.0,,,90.0,,47.5,42.5,0.1726,0.1247,0.1382,"matchup elite, Vegas cool (sources DIVERGE)"
Isiah Pacheco,RB,DET,85.4,39.6,21.8,83.0,14.7,48.9,30.0,0.0626,0.0867,0.0658,"Vegas+matchup elite, efficiency+role cool (sources DIVERGE)"
Keaton Mitchell,RB,LAC,74.2,,81.8,6.3,95.9,64.6,34.5,0.0143,0.0168,0.0127,"Vegas+efficiency+role elite, matchup cool (sources DIVERGE)"
Brenton Strange,TE,JAX,56.7,62.5,83.7,25.0,77.9,61.2,20.6,0.1255,0.1721,0.1957,"efficiency+role elite, matchup cool"
Woody Marks,RB,HOU,19.2,61.6,26.5,1.5,59.4,33.6,23.4,0.0552,0.0332,0.0383,Vegas+efficiency+matchup cool (sources DIVERGE)
Juwan Johnson,TE,NO,39.2,66.3,64.4,59.2,47.1,55.2,10.4,0.1399,0.206,0.1518,"mixed reads, no strong driver"
Rashid Shaheed,WR,SEA,68.2,49.6,24.0,17.2,22.4,36.3,19.5,0.0728,0.0944,0.087,efficiency+matchup+role cool
Travis Hunter,WR,JAX,65.6,61.5,38.6,24.5,32.1,44.5,16.3,0.037,0.0555,0.0657,matchup+role cool
Bryce Young,QB,CAR,17.0,33.0,23.5,72.3,19.4,33.0,20.4,0.0532,0.0209,0.025,"matchup elite, Vegas+volume+efficiency+role cool"
Omar Cooper Jr.,WR,NYJ,8.3,,,93.0,,50.6,42.3,0.0413,0.0273,0.0311,"matchup elite, Vegas cool (sources DIVERGE)"
Jauan Jennings,WR,MIN,56.0,48.8,26.4,22.2,49.2,40.5,13.6,0.0546,0.0674,0.0498,efficiency+matchup cool
Hunter Henry,TE,NE,26.7,60.6,74.0,50.0,91.3,60.5,21.8,0.1473,0.1779,0.1656,"efficiency+role elite, Vegas cool"
Aaron Rodgers,QB,PIT,31.2,59.8,27.6,81.2,5.1,41.0,26.6,0.076,0.0897,0.076,"matchup elite, Vegas+efficiency+role cool (sources DIVERGE)"
T.J. Hockenson,TE,MIN,49.2,56.7,41.3,22.5,43.3,42.6,11.4,0.1928,0.2286,0.1785,matchup cool
Jalen Nailor,WR,LV,16.2,38.5,40.2,1.7,62.2,31.8,20.9,0.0422,0.0588,0.0637,Vegas+matchup cool
Tyler Allgeier,RB,ARI,10.1,34.8,27.6,15.0,75.9,32.7,23.3,0.014,0.0101,0.0151,"role elite, Vegas+volume+efficiency+matchup cool (sources DIVERGE)"
Antonio Williams,WR,WAS,62.3,,,13.9,,38.1,24.2,0.0715,0.0538,0.0562,matchup cool (sources DIVERGE)
Tre Tucker,WR,LV,16.2,66.3,45.1,1.7,75.2,40.9,28.2,0.048,0.0698,0.0765,"role elite, Vegas+matchup cool (sources DIVERGE)"
Tyjae Spears,RB,TEN,21.7,40.9,57.1,48.1,80.6,49.7,19.4,0.0832,0.0582,0.0621,"role elite, Vegas cool"
Dalton Schultz,TE,HOU,15.8,79.8,77.9,4.2,58.7,47.3,31.5,0.1545,0.1121,0.1226,"volume+efficiency elite, Vegas+matchup cool (sources DIVERGE)"
Ryan Flournoy,WR,DAL,98.7,43.3,86.6,19.9,48.4,59.4,29.1,0.0397,0.051,0.055,"Vegas+efficiency elite, matchup cool (sources DIVERGE)"
Alvin Kamara,RB,NO,41.4,65.2,17.1,25.7,18.2,33.5,18.1,0.0387,0.071,0.044,efficiency+matchup+role cool
Fernando Mendoza,QB,LV,19.6,86.6,,3.6,,36.6,36.0,0.0155,0.0369,0.0452,"volume elite, Vegas+matchup cool (sources DIVERGE)"
Jacoby Brissett,QB,ARI,13.4,83.0,37.8,88.4,37.8,52.1,28.9,,,,"volume+matchup elite, Vegas cool (sources DIVERGE)"
Denzel Boston,WR,CLE,5.6,,,69.2,,37.4,31.8,0.0484,0.0428,0.0636,Vegas cool (sources DIVERGE)
Jonah Coleman,RB,DEN,24.7,,,11.2,,18.0,6.8,0.0042,0.0044,0.0031,Vegas+matchup cool
Tyreek Hill,WR,FA,,98.0,98.8,,0.4,65.7,46.2,,,,"volume+efficiency elite, role cool (sources DIVERGE)"
Isaac TeSlaa,WR,DET,86.8,4.4,21.5,7.9,25.6,29.2,29.9,0.0292,0.0384,0.0304,"Vegas elite, volume+efficiency+matchup+role cool (sources DIVERGE)"
Brian Robinson Jr.,RB,ATL,35.4,97.6,66.5,77.2,19.4,59.2,28.3,0.0256,0.0272,0.0272,"volume+matchup elite, role cool (sources DIVERGE)"
Malik Washington,WR,MIA,2.0,34.5,19.9,38.4,8.5,20.7,14.2,0.025,0.0267,0.0303,Vegas+volume+efficiency+role cool
Dylan Sampson,RB,CLE,4.0,32.3,22.9,19.9,37.1,23.2,11.5,0.0145,0.0124,0.0204,Vegas+volume+efficiency+matchup cool
Deebo Samuel Sr.,WR,FA,,78.2,66.3,,13.4,52.6,28.2,,,,"volume elite, role cool (sources DIVERGE)"
AJ Barner,TE,SEA,60.0,35.6,70.2,16.7,33.7,43.2,19.3,0.0992,0.1258,0.1168,"efficiency elite, matchup+role cool"
Geno Smith,QB,NYJ,8.9,22.3,7.1,37.5,27.6,20.7,11.5,0.0421,0.013,0.019,Vegas+volume+efficiency+role cool
De'Zhaun Stribling,WR,SF,53.0,,,53.0,,53.0,0.0,0.0227,0.0227,0.0258,"mixed reads, no strong driver"
Jerry Jeudy,WR,CLE,5.6,72.6,4.5,69.2,6.9,31.8,32.0,0.053,0.0468,0.0693,"volume elite, Vegas+efficiency+role cool (sources DIVERGE)"
