Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero,TargetedReadFirstTotal,TargetsContestedTotal,TouchdownsTotal,TouchdownsInEndzone,ReceptionsContested,TargetedReadDesignTotal,TargetedReadDesignPercentage
George Holani,SEA,RB,1,No,Yes,No,1,1,No,Yes,1,1,1,1,1,-1,1,,-2,,,1,,,-2,79.2,-1,-1,-7.198,-1,1,,,1.4274,1.4274,1,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,3,,,,,,,,,,,,,,
Jonathon Brooks,CAR,RB,2,No,Yes,Yes,1,1,No,No,1,1,1,1,1,18,24,3,-6,2,2,1,,,-6,118.8,18,18,12.9107,18,24,3,1,1.4167,1.4167,0.5,1.8,2.8,2.3,3.3,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,3,,,,,,,,,,,,,,
Blake Watson,DEN,RB,1,No,No,No,1,1,No,No,1,1,1,,,,,,2,,,1,,,2,39.6,,,-6.3947,,,,,1.4082,1.4082,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,
Chris Brooks,GB,RB,8,No,Yes,No,7,1,No,No,1,1,0.1429,1,1,13,11,3,2,,,0.8571,0.1429,,2,118.8,1.8571,13,6.6053,13,11,3,1,1.3398,1.3398,0.3333,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,13,,,,,,,,,,,,,,
Dallin Holker,NO,TE,5,No,Yes,Yes,5,1,No,No,,,0.2,,,,,,30,,,,0.6,0.2,30,39.6,,,-13.2292,,,,,3.5705,3.5705,1,,,,,,,,,,,,,,12,,,1,,,0.2,,,,,,,,
Christian Watson,GB,WR,30,No,Yes,No,30,4,No,No,3,0.75,0.1333,2,0.5,59,2,2,70,,,,0.3667,0.6333,17.5,95.8,1.9667,14.75,5.3626,29.5,1,1,2,9.9529,9.9529,0.25,5.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,15,,1,1,0.25,,,1,,1,,,1,,
James Conner,ARZ,RB,21,Yes,Yes,No,16,,No,No,,,,,,,,,,,,0.875,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Sincere McCormick,LV,RB,3,No,Yes,No,2,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
K.J. Osborn,WAS,WR,12,No,Yes,Yes,12,1,No,No,1,1,0.0833,,,,,,17,,,,0.5,0.5,17,39.6,,,-11.6653,,,,,2.5895,2.5895,0.25,,,,,,,,,,,,,,9,1,,,,1,,,1,,,,,,
Tyler Conklin,NYJ,TE,35,No,Yes,Yes,34,2,No,No,2,1,0.0588,1,0.5,18,2,,23,,,,0.5588,0.1765,11.5,81.3,0.5294,9,0.2506,18,2,,1,5.2821,5.2821,0.1,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,16,,,,,,0.2647,,,1,,,,,
Justice Hill,BLT,RB,43,No,Yes,No,35,2,No,No,1,0.5,0.0571,1,0.5,22,23,,-2,,,0.8,0.1429,0.0571,-1,89.6,0.6286,11,5.181,22,23,,1,3.2457,3.2457,0.087,2.2,3.2,2.7,3.7,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,16,,,,,,,,,,,,,,
Anthony Firkser,KC,TE,3,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Michael Pittman,IND,WR,35,No,Yes,No,35,4,No,Yes,2,0.5,0.1143,2,0.5,17,,-1,38,,,,0.2857,0.7143,9.5,61.5,0.4857,4.25,-3.9055,8.5,,-0.5,1,6.7731,6.7731,0.2105,0.7,2.7,1.7,2.7,2.7,2.7,0.7,1.7,1.7,1.7,0.7,2.7,1.7,16,,,,,,,,3,,,,,,
Malik Washington,MIA,WR,13,No,Yes,Yes,12,1,No,No,1,1,0.0833,1,1,20,4,1,16,,,,0.4167,0.5833,16,118.8,1.6667,20,9.9048,20,4,1,1,1.9019,1.9019,1,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,14,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,8,No,Yes,No,7,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Jordan Mason,SF,RB,22,No,Yes,No,19,1,No,No,1,1,0.0526,1,1,7,3,3,4,1,1,0.7895,0.1053,0.0526,4,95.8,0.3684,7,0.3381,7,3,3,1,1.5816,1.5816,0.2,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,12,,,,,1,0.0526,,,,,,,,
Feleipe Franks,CAR,TE,2,No,Yes,No,1,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,1,,,,,,,,
Tre Tucker,LV,WR,54,No,No,No,54,3,Yes,Yes,3,1,0.0556,3,1,47,24,5,27,,,,0.3704,0.6296,9,158.3,0.8704,15.6667,7.9017,15.6667,8,1.6667,3,8.2951,8.2951,0.1304,10.7,13.7,12.2,13.7,13.7,13.7,12.2,13.7,13.7,13.7,12.2,13.7,13.7,17,1,,,,1,,,,1,1,1,1,,
Tim Jones,JAX,WR,5,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,24,No,Yes,No,21,2,No,Yes,2,1,0.0952,1,0.5,7,3,,7,,,0.8095,0.0952,0.0952,3.5,97.9,0.3333,3.5,-3.0857,7,3,,1,3.8349,3.8349,0.1667,6.7,7.7,7.2,8.2,7.7,7.7,7.2,7.7,7.7,7.7,7.2,7.7,7.7,14,,1,,0.5,1,,,1,,1,,,,
Troy Franklin,DEN,WR,36,Yes,No,No,36,1,No,No,,,0.0278,,,,,,50,,,,0.3333,0.6667,50,39.6,,,-15,,,,,2.955,2.955,0.0588,,,,,,,,,,,,,,16,,,1,,,,,,,,,,,
Javon Baker,NE,WR,3,No,Yes,No,3,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
Audric Estime,DEN,RB,3,Yes,No,No,2,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,7,No,No,No,6,,No,Yes,,,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,0.8333,,,,,,,,
Darnell Washington,PIT,TE,21,No,Yes,No,17,2,No,No,1,0.5,0.1176,1,0.5,10,10,4,11,,,,0.1176,0.2353,5.5,25,0.5882,5,-2.0146,10,10,4,1,4.451,4.451,0.2,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,17,1,,,,1,0.6471,,,,,,,,
Zach Ertz,WAS,TE,74,No,Yes,Yes,72,5,No,No,3,0.6,0.0694,3,0.6,32,1,,47,,,0.0139,0.5417,0.0833,9.4,39.2,0.4444,6.4,-1.2854,10.6667,0.3333,,2,7.4547,7.4547,0.2778,3.2,6.2,4.7,6.2,7.7,6.2,4.7,6.2,6.2,6.2,4.7,7.7,6.2,17,,,,,,0.3611,,1,1,,,1,,
Davis Allen,LA,TE,3,Yes,Yes,No,2,,No,No,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,0.5,,,,,,,,
John Samuel Shenker,LV,TE,2,No,Yes,No,1,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
Javonte Williams,DEN,RB,39,Yes,No,No,27,4,No,No,4,1,0.1481,3,0.75,41,30,4,28,,,1,,,7,107.3,1.5185,10.25,4.2711,13.6667,10,1.3333,1,6.138,6.138,0.25,4.1,7.1,5.6,8.6,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,17,,,,,,,1,,1,,,1,,
River Cracraft,MIA,WR,9,No,Yes,Yes,9,,No,No,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
Cam Akers,MIN,RB,9,No,Yes,No,7,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
JaMycal Hasty,NE,RB,8,No,Yes,No,7,,No,No,,,,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,0.1429,,,,,,,,
Greg Dortch,ARZ,WR,15,No,Yes,No,14,3,No,No,1,0.3333,0.2143,1,0.3333,7,,,34,,,0.0714,0.6429,0.2857,11.3333,42.4,0.5,2.3333,-6.0055,7,,,1,4.3414,4.3414,0.5,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,17,,,1,,,,,,1,,,,,
Terrell Jennings,NE,RB,4,No,Yes,No,4,,No,No,,,,,,,,,,,,0.75,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,14,No,Yes,No,11,1,No,No,,,0.0909,,,,,,4,,,,,0.1818,4,39.6,,,-6.0667,,,,,1.3418,1.3418,0.2,,,,,,,,,,,,,,17,,,,,,0.8182,,,,,,,,
Courtland Sutton,DEN,WR,58,Yes,No,No,55,7,No,No,5,0.7143,0.1273,4,0.5714,48,18,5,83,,,,0.2545,0.7455,11.8571,78.3,0.8727,6.8571,-1.4333,12,4.5,1.25,3,12.2699,12.2699,0.28,4.8,8.8,6.8,8.8,8.8,8.8,6.8,8.8,8.8,8.8,6.8,8.8,8.8,17,1,,1,,1,,,2,2,,,1,1,0.1429
Tyrell Shavers,BUF,WR,1,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,32,Yes,Yes,No,30,3,No,No,1,0.3333,0.1,1,0.3333,6,,,86,,,,0.5,0.5,28.6667,42.4,0.2,2,-9.7559,6,,,1,7.3942,7.3942,0.3,6.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,16,2,,2,,1,,,,,1,1,,,
DJ Chark,LAC,WR,4,No,No,No,4,,Yes,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
Ian Thomas,CAR,TE,1,No,Yes,Yes,1,1,No,No,,,1,,,,,,17,,,,,,17,,,,-11.6807,,,,,1.5826,1.5826,1,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,
Zay Flowers,BLT,WR,54,No,No,No,52,10,No,Yes,4,0.4,0.1923,3,0.3,53,5,3,220,,,,0.3846,0.6154,22,82.5,1.0192,5.3,-5.9022,17.6667,1.6667,1,3,25.3049,25.3049,0.3704,11.3,14.3,12.8,14.3,14.3,14.3,12.8,14.3,14.3,14.3,12.8,14.3,14.3,17,4,1,5,0.1,2,,1,2,,1,1,,,
Jahmyr Gibbs,DET,RB,15,No,Yes,No,12,1,No,No,1,1,0.0833,1,1,15,11,3,4,,,0.5833,0.0833,0.3333,4,118.8,1.25,15,8.3381,15,11,3,1,1.3768,1.3768,0.3333,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,17,,,,,,,,,,,,,,
Odell Beckham,MIA,WR,7,No,Yes,No,7,1,No,No,,,0.1429,,,,,,34,,,,0.7143,0.2857,34,39.6,,,-14,,,,,1.5077,1.5077,0.3333,,,,,,,,,,,,,,9,1,,1,,,,,,,,,,,
Cody White,SEA,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
D.J. Turner,LV,WR,18,No,No,No,18,1,Yes,Yes,,,0.0556,,,,,,26,,,,0.7222,0.2778,26,,,,-13.0114,,,,,2.1013,2.1013,0.1429,,,,,,,,,,,,,,12,,,1,,,,,,,,,,,
Dalton Kincaid,BUF,TE,42,Yes,Yes,No,40,8,No,Yes,6,0.75,0.2,4,0.5,36,8,5,106,1,0.25,0.025,0.65,0.15,13.25,102.1,0.9,4.5,-4.8213,9,2,1.25,3,15.7046,15.7046,0.32,15.6,19.6,17.6,19.6,21.6,19.6,17.6,19.6,19.6,19.6,17.6,21.6,19.6,13,2,1,1,0.125,3,0.175,,,1,2,1,,,
Jakobi Meyers,LV,WR,51,No,No,No,50,4,Yes,Yes,2,0.5,0.08,2,0.5,41,12,2,48,,,,0.3,0.7,12,86.5,0.82,10.25,1.5554,20.5,6,1,1,6.5644,6.5644,0.1818,4.1,6.1,5.1,6.1,6.1,6.1,5.1,6.1,6.1,6.1,5.1,6.1,6.1,15,,,1,,,,,,,,,,,
Hunter Henry,NE,TE,64,No,Yes,No,58,8,No,No,6,0.75,0.1379,5,0.625,83,27,1,113,,,,0.5,0.0172,14.125,97.4,1.431,10.375,2.3433,16.6,5.4,0.2,4,15.4431,15.4431,0.3478,8.3,13.3,10.8,13.3,15.8,13.3,10.8,13.3,13.3,13.3,10.8,15.8,13.3,16,,1,2,0.125,1,0.4828,,2,,,,,,
Nelson Agholor,BLT,WR,20,No,No,No,20,,No,No,,,,,,,,,,,,,0.6,0.4,,,,,,,,,,2.4926,2.4926,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Josh Reynolds,JAX,WR,14,No,Yes,No,14,1,No,Yes,,,0.0714,,,,,,15,,,,0.1429,0.8571,15,39.6,,,-10.4097,,,,,1.8304,1.8304,0.3333,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Noah Gray,KC,TE,31,Yes,No,No,28,4,No,No,2,0.5,0.1429,2,0.5,15,-1,,38,,,,0.4286,0.1071,9.5,19.8,0.5357,3.75,-4.7191,7.5,-0.5,,1,9.8167,9.8167,0.2353,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,17,,,,,,0.4643,,,,,,,,
Brian Thomas,JAX,WR,27,No,Yes,No,27,2,No,Yes,2,1,0.0741,2,1,27,4,4,23,,,,0.2593,0.7407,11.5,118.8,1,13.5,4.509,13.5,2,2,2,3.9046,3.9046,0.1667,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,17,,,,,1,,,,,,,,,
DeAndre Hopkins,KC,WR,34,No,Yes,No,34,2,No,No,1,0.5,0.0588,,,,,,35,,,,0.3824,0.6176,17.5,39.6,,,-9.712,,,,,5.7825,5.7825,0.1053,,,,,,,,,,,,,,16,1,,1,,1,,,,1,,,,,
Gabe Davis,JAX,WR,9,Yes,Yes,No,8,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
Tim Patrick,DET,WR,13,No,Yes,No,13,2,No,No,2,1,0.1538,2,1,35,27,21,8,1,0.5,,0.4615,0.5385,4,158.3,2.6923,17.5,11.5936,17.5,13.5,10.5,2,3.2125,3.2125,0.5,9.5,11.5,10.5,11.5,11.5,11.5,10.5,11.5,11.5,11.5,10.5,11.5,11.5,16,,,,,1,,,,,1,,,,
Ezekiel Elliott,DAL,RB,9,No,Yes,No,9,,No,No,,,,,,,,,,,,0.6667,0.2222,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Stone Smartt,LAC,TE,10,No,No,No,9,,Yes,Yes,,,,,,,,,,,,,0.1111,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,0.5556,,,,,,,,
T.J. Hockenson,MIN,TE,18,No,Yes,No,18,1,No,No,,,0.0556,,,,,,7,,,,0.1667,0.1111,7,39.6,,,-7.3078,,,,,1.3,1.3,0.125,,,,,,,,,,,,,,10,,,,,,0.7222,,,,,,,,
Xavier Hutchinson,HST,WR,32,No,Yes,Yes,32,2,No,No,1,0.5,0.0625,1,0.5,11,,,39,,,,0.3125,0.6875,19.5,27.1,0.3438,5.5,-4.1961,11,,,1,2.4554,2.4554,0.1111,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,16,,,1,,,,1,,,,,,,
Simi Fehoko,LAC,WR,9,No,Yes,No,8,1,No,No,1,1,0.125,,,,,,53,,,,0.125,0.875,53,39.6,,,-15,,,,,3.6875,3.6875,0.2,,,,,,,,,,,,,,8,1,,1,,,,,1,1,,,,,
Eric Tomlinson,LAC,TE,4,No,Yes,Yes,3,1,No,No,1,1,0.3333,1,1,7,10,5,-3,1,1,,,0.3333,-3,95.8,2.3333,7,1.1348,7,10,5,,1.5095,1.5095,0.5,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,9,,,,,,0.6667,,,,,,,,
Mo Alie-Cox,IND,TE,17,No,Yes,No,11,3,No,Yes,1,0.3333,0.2727,1,0.3333,11,3,,36,,,,0.1818,0.0909,12,45.1,1,3.6667,-4.7477,11,3,,1,5.7781,5.7781,0.2727,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,17,1,,1,,1,0.7273,,,,,,,,
Devin Culp,TB,TE,2,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,29,No,Yes,No,22,1,No,Yes,1,1,0.0455,,,,,,-2,,,0.8182,0.0909,0.0909,-2,39.6,,,-6.198,,,,,1.45,1.45,0.125,,,,,,,,,,,,,,17,,1,,1,,,,,,,,,,
Michael Mayer,LV,TE,22,No,No,No,19,3,Yes,Yes,2,0.6667,0.1579,1,0.3333,9,,,45,,,,0.2632,0.1053,15,42.4,0.4737,3,-4.9887,9,,,,5.3503,5.3503,0.375,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,11,,,1,,1,0.6316,,,1,,,,,
Marvin Harrison,ARZ,WR,38,No,Yes,No,38,2,No,No,2,1,0.0526,2,1,36,,,44,,,,0.1842,0.8158,22,158.3,0.9474,18,7.2717,18,,,2,6.5747,6.5747,0.1538,9.6,11.6,10.6,11.6,11.6,11.6,10.6,11.6,11.6,11.6,10.6,11.6,11.6,17,1,,2,,1,,,,1,1,1,1,,
Collin Johnson,CHI,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,5,No,Yes,Yes,4,,No,No,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Rashee Rice,KC,WR,7,No,Yes,No,7,,No,No,,,,,,,,,,,,,0.5714,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Ty Chandler,MIN,RB,6,No,Yes,No,5,,No,Yes,,,,,,,,,,,,0.6,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.2,,,,,,,,
Britain Covey,PHI,WR,5,No,Yes,No,5,1,No,No,1,1,0.2,1,1,9,,,9,,,,1,,9,104.2,1.8,9,1.5461,9,,,1,1.3842,1.3842,0.3333,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,5,,,,,,,,,1,,,1,,
Justin Watson,KC,WR,43,Yes,No,No,42,4,No,No,3,0.75,0.0952,2,0.5,16,-1,,47,,,,0.2381,0.7381,11.75,60.4,0.381,4,-4.4916,8,-0.5,,,7.0496,7.0496,0.1905,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,17,,,1,,1,0.0238,,,2,,,1,,
Austin Hooper,NE,TE,29,No,Yes,No,25,1,No,No,1,1,0.04,1,1,38,3,1,35,,,,0.2,0.04,35,158.3,1.52,38,38,38,3,1,1,4.0541,4.0541,0.1111,9.8,10.8,10.3,10.8,11.3,10.8,10.3,10.8,10.8,10.8,10.3,11.3,10.8,17,,,1,,,0.76,,,,1,,,,
Kenneth Walker,SEA,RB,20,No,Yes,Yes,12,3,No,No,3,1,0.25,3,1,17,27,4,-10,,,0.75,0.0833,0.1667,-3.3333,90.3,1.4167,5.6667,0.175,5.6667,9,1.3333,1,4.1469,4.1469,0.3,1.7,4.7,3.2,6.2,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,11,,,,,1,,,,,,,,,
De'Von Achane,MIA,RB,20,No,Yes,Yes,19,,No,No,,,,,,,,,,,,0.5789,0.1579,0.2105,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.0526,,,,,,,,
Mike Evans,TB,WR,30,No,Yes,Yes,30,2,No,No,2,1,0.0667,2,1,35,9,6,26,,,,0.4333,0.5667,13,118.8,1.1667,17.5,7.9404,17.5,4.5,3,1,6.7805,6.7805,0.2222,3.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,14,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,29,No,Yes,No,28,3,No,No,1,0.3333,0.1071,,,,,,23,,,,0.3571,0.6429,7.6667,39.6,,,-7.2475,,,,,8.3006,8.3006,0.375,,,,,,,,,,,,,,15,1,1,,0.3333,1,,,,,,,,,
Tyler Lockett,SEA,WR,46,Yes,Yes,No,46,3,No,No,1,0.3333,0.0652,1,0.3333,13,,,44,,,,0.2391,0.7609,14.6667,8.3,0.2826,4.3333,-4.8846,13,,,1,5.3825,5.3825,0.1364,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,17,1,,1,,1,,,,,,,,,
Keon Coleman,BUF,WR,46,No,Yes,No,45,5,No,No,3,0.6,0.1111,1,0.2,14,,,153,,,,0.1111,0.8889,30.6,39.6,0.3111,2.8,-9.4081,14,,,1,15.009,15.009,0.2,7.4,8.4,7.9,8.4,8.4,8.4,7.9,8.4,8.4,8.4,7.9,8.4,8.4,13,2,1,5,0.2,1,,1,,1,1,1,,,
Lil'Jordan Humphrey,DEN,WR,29,Yes,No,No,26,4,No,No,2,0.5,0.1538,2,0.5,26,4,,60,,,,0.6154,0.3846,15,70.8,1,6.5,-3.1783,13,2,,1,7.2524,7.2524,0.4,2.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,17,,,1,,,,,,,,,,,
Xavier Gipson,NYJ,WR,11,No,Yes,Yes,11,2,No,No,1,0.5,0.1818,1,0.5,17,,,64,,,,0.6364,0.3636,32,79.2,1.5455,8.5,-4.8326,17,,,1,3.1983,3.1983,0.2857,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,17,,,1,,,,1,,1,,,,,
Cedrick Wilson,NO,WR,24,No,Yes,Yes,24,1,No,No,1,1,0.0417,1,1,9,2,2,7,,,,0.5,0.5,7,104.2,0.375,9,1.9355,9,2,2,,3.3993,3.3993,0.1667,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,15,,,,,,,,,,,,,,
Tank Bigsby,JAX,RB,10,No,Yes,No,9,,No,Yes,,,,,,,,,,,,0.8889,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Mike Woods,CLV,WR,14,Yes,Yes,Yes,13,2,No,No,,,0.1538,,,,,,48,,,,0.2308,0.7692,24,,,,-11.3075,,,,,4.0574,4.0574,0.3333,,,,,,,,,,,,,,5,1,,1,,,,,1,,,,,,
Joseph Fortson,KC,TE,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
John FitzPatrick,GB,TE,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,,,,,,,,
Sean Tucker,TB,RB,2,No,Yes,Yes,2,,No,No,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Ramel Keyton,LV,WR,6,No,No,No,6,1,Yes,Yes,,,0.1667,,,,,,18,,,,,0.8333,18,39.6,,,-10.8991,,,,,3.4783,3.4783,0.3333,,,,,,,,,,,,,,8,1,,,,1,0.1667,,,,,,,,
Malik Heath,GB,WR,5,No,Yes,No,5,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
Mecole Hardman,KC,WR,10,No,No,No,10,1,Yes,Yes,1,1,0.1,1,1,8,1,1,7,,,,0.6,0.4,7,100,0.8,8,0.9355,8,1,1,,1.5941,1.5941,0.1111,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,12,,,,,,,,,,,,,,
Shane Zylstra,DET,TE,3,No,Yes,No,3,1,No,No,1,1,0.3333,1,1,22,13,9,9,1,1,,0.6667,,9,118.8,7.3333,22,14.7404,22,13,9,1,1.658,1.658,1,2.2,3.2,2.7,3.2,3.7,3.2,2.7,3.2,3.2,3.2,2.7,3.7,3.2,12,,,,,,0.3333,,,,,,,,
Jack Stoll,MIA,TE,3,Yes,Yes,Yes,2,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,8,No,Yes,Yes,8,2,No,No,1,0.5,0.25,1,0.5,3,1,1,2,,,,0.5,0.125,1,56.3,0.375,1.5,-4.3295,3,1,1,,2.8848,2.8848,0.5,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,17,,,,,,0.375,,,,,,,,
