Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Tommy Tremble,CAR,TE,17,Yes,Yes,No,12,3,No,No,1,0.3333,0.25,1,0.3333,12,,,22,,,2,7.3333,,86.1,1,4,-3.4021,12,,,1,6.4667,6.4667,0.2,7.2,8.2,7.7,8.2,8.7,8.2,7.7,8.2,8.2,8.2,7.7,8.7,8.2,12,0.9167,0.0833,,,1,,,,,1,1,1,,,
Ja'Marr Chase,CIN,WR,11,No,No,No,11,6,No,No,6,1,0.5455,5,0.8333,42,14,5,46,,0.9091,2,7.6667,,135.4,3.8182,7,-0.1478,8.4,2.8,1,4,12.5315,12.5315,0.6,10.2,15.2,12.7,15.2,15.2,15.2,12.7,15.2,15.2,15.2,12.7,15.2,15.2,17,,0.0909,2,1,1,2,0.4,,,2,2,1,,,1
D'Andre Swift,CHI,RB,28,Yes,No,No,7,1,No,Yes,1,1,0.1429,1,1,13,17,,-4,,,1,-4,,118.8,1.8571,13,7.4301,13,17,,,1.3167,1.3167,0.0556,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,17,,1,,,,,,1,1,,,,,,
Adam Trautman,DEN,TE,36,Yes,No,No,26,3,No,Yes,3,1,0.1154,3,1,54,36,1,18,0.0385,0.0769,3,6,,118.8,2.0769,18,10.3261,18,12,0.3333,2,6.8981,6.8981,0.1154,5.4,8.4,6.9,8.4,9.9,8.4,6.9,8.4,8.4,8.4,6.9,9.9,8.4,17,0.8846,,,,,,,,,1,,,,,
Ben Sims,GB,TE,4,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,14,Yes,Yes,No,14,3,No,Yes,1,0.3333,0.2143,1,0.3333,8,1,1,72,0.0714,0.9286,1,24,1,42.4,0.5714,2.6667,-8.0532,8,1,1,1,7.4811,7.4811,0.2727,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,15,,,,,,,,,,,,,,,
Hunter Long,LA,TE,16,No,No,Yes,13,3,No,No,2,0.6667,0.2308,2,0.6667,12,9,1,6,0.1538,,3,2,,74.3,0.9231,4,-2.1558,6,4.5,0.5,1,4.2333,4.2333,0.2143,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,17,0.8462,,,,,,,,,,,,,,
Christian Watson,GB,WR,9,Yes,No,No,7,1,No,Yes,1,1,0.1429,1,1,7,8,,-1,0.2857,0.7143,1,-1,,95.8,1,7,0.8301,7,8,,,1.5188,1.5188,0.1111,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,15,,,,,,,,,,,,,,,
Blake Watson,DEN,RB,2,Yes,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
Dallin Holker,NO,TE,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,
