Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsInEndzone,TouchdownsInEndzone,AlignmentInlineRoutesPercentage
Charlie Kolar,BLT,TE,17,No,No,Yes,10,3,No,,Yes,3,1,0.3,3,,,1,45,43,4,2,,,,,0.1,,1,0.6667,,118.8,4.5,15,9.4959,,15,14.3333,1.3333,1,4.5501,4.5501,0.2,4.5,7.5,6,7.5,9,7.5,6,7.5,7.5,7.5,6,9,7.5,,13,,,,,,0.9
Darnell Washington,PIT,TE,55,No,Yes,No,42,12,No,,No,11,0.9167,0.2857,11,,,0.9167,116,88,49,39,,,4,0.3636,0.0714,0.0952,8,3.25,,72.2,2.7619,9.6667,3.2572,,10.5455,8,4.4545,5,19.5231,19.5231,0.2667,11.6,22.6,17.1,22.6,28.1,25.6,20.1,22.6,22.6,22.6,17.1,28.1,22.6,1,17,,,,1,,0.8333
Audric Estime,DEN,RB,9,Yes,No,No,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,
Zach Ertz,WAS,TE,45,Yes,Yes,No,41,9,No,2,No,6,0.6667,0.2195,6,2,,0.6667,88,35,20,86,1,,2,0.3333,0.4634,0.0976,3,9.5556,,95.8,2.1463,9.7778,1.6817,,14.6667,5.8333,3.3333,4,14.0263,14.0263,0.2308,14.8,20.8,17.8,20.8,23.8,20.8,17.8,20.8,20.8,20.8,17.8,23.8,20.8,1,17,,,,1,1,0.439
Davis Allen,LA,TE,20,Yes,No,No,19,2,No,,Yes,2,1,0.1053,1,,,0.5,5,3,1,4,,,,,0.0526,0.0526,1,2,,56.3,0.2632,2.5,-3.8701,,5,3,1,,4.0019,4.0019,0.1111,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,2,14,0.0526,,,,,0.8421
John Samuel Shenker,LV,TE,7,No,Yes,No,5,,No,,No,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,0.6
Jahmyr Gibbs,DET,RB,34,No,Yes,No,20,2,No,,No,2,1,0.1,2,,,1,35,29,12,6,,,2,1,0.05,0.1,,3,,118.8,1.75,17.5,10.9717,,17.5,14.5,6,2,4.5296,4.5296,0.0741,3.5,5.5,4.5,6.5,5.5,5.5,4.5,5.5,5.5,5.5,4.5,5.5,5.5,,17,0.85,,,,,
Odell Beckham,MIA,WR,9,No,Yes,No,9,2,No,,No,1,0.5,0.2222,1,,,0.5,11,1,,44,,,,,0.6667,0.3333,,22,1,66.7,1.2222,5.5,-5.25,,11,1,,1,3.0364,3.0364,0.25,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,9,,,,1,,
D.J. Turner,LV,WR,34,No,No,No,34,3,Yes,,Yes,2,0.6667,0.0882,1,,,0.3333,1,,,35,,,,,0.6471,0.3529,,11.6667,1,2.8,0.0294,0.3333,-8.2144,,1,,,,5.1644,5.1644,0.1364,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,12,,,,,,
Dalton Kincaid,BUF,TE,49,No,Yes,Yes,46,9,No,1,No,7,0.7778,0.1957,5,,,0.5556,48,17,7,109,2,1,1,0.2,0.5652,0.1304,,12.1111,1,110.2,1.0435,5.3333,-3.6547,0.1111,9.6,3.4,1.4,4,16.9826,16.9826,0.2195,16.8,21.8,19.3,21.8,24.3,21.8,19.3,21.8,21.8,21.8,19.3,24.3,21.8,3,13,,,,2,1,0.3043
