Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetedReadFirstTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,YardsAfterCatchTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,YardsAfterContactTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
Tory Horton,SEA,WR,14,No,Yes,Yes,13,No,Yes,,8,0.0769,0.9231,3,1,2,0.6667,0.2308,2,1,0.6667,25,39,13,131.9,1.9231,8.3333,-0.8188,12.5,7.5223,7.5223,0.2727,14.5,16.5,15.5,16.5,16.5,16.5,15.5,16.5,16.5,16.5,15.5,16.5,16.5,2,1,1,5,2,1,,,,2.5,2,,,,,,2,1,
Travis Kelce,KC,TE,94,Yes,Yes,Yes,83,No,No,0.0241,17,0.3614,0.2289,14,1,12,0.8571,0.1687,11,1,0.7857,186,180,12.8571,158.3,2.241,13.2857,4.9014,16.9091,25.9089,25.9089,0.1918,36.6,47.6,42.1,47.6,53.1,50.6,45.1,47.6,47.6,47.6,42.1,53.1,47.6,6,5,1,80,3,1,,2,,7.2727,11,11,,,1,0.3855,,,
Cole Kmet,CHI,TE,88,No,Yes,No,72,No,No,0.0278,16,0.1528,0.1111,14,2,10,0.7143,0.1944,9,1,0.6429,116,181,12.9286,84.2,1.6111,8.2857,-1.2482,12.8889,26.6062,26.6062,0.2059,17.6,26.6,22.1,26.6,31.1,29.6,25.1,26.6,26.6,26.6,22.1,31.1,26.6,6,3,2,35,1,,1,5,0.0714,3.8889,6,5,,,0.5556,0.7083,,,
Tyreek Hill,MIA,WR,14,Yes,No,No,14,No,Yes,,4,0.2143,0.7857,6,1,6,1,0.4286,4,,0.6667,62,69,11.5,100.7,4.4286,10.3333,2.31,15.5,8.9944,8.9944,0.5455,6.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,2,,,32,,,,1,,8,3,3,,,0.75,,,,
Demarcus Robinson,SF,WR,22,No,Yes,No,22,No,Yes,,14,0.3636,0.5909,4,,1,0.25,0.1818,1,,0.25,30,79,19.75,58.3,1.3636,7.5,-1.4993,30,6.3173,6.3173,0.2,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,,,,2,,,,2,,2,1,,,,,0.0455,,,
Savion Williams,GB,WR,4,Yes,Yes,No,4,No,No,0.25,12,,0.5,1,,1,1,0.25,1,,1,2,-9,-9,79.2,0.5,2,-0.5405,2,1.2116,1.2116,0.25,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,11,,,,,,11,,4,,,4,0.25,,,
Kimani Vidal,LAC,RB,46,No,Yes,No,27,No,No,0.9259,13,0.037,,2,,2,1,0.0741,2,,1,17,-1,-0.5,141.7,0.6296,8.5,2.677,8.5,3.9614,3.9614,0.0476,7.7,9.7,8.7,10.7,9.7,9.7,8.7,9.7,9.7,9.7,8.7,9.7,9.7,1,1,,18,1,,,,,9,2,2,,,1,0.037,,,
RJ Harvey,DEN,RB,61,No,Yes,No,40,No,No,0.875,17,0.025,0.075,10,,7,0.7,0.25,7,,0.7,19,6,0.6,112.5,0.475,1.9,-4.1944,2.7143,22.2474,22.2474,0.1923,19.9,26.9,23.4,30.4,26.9,26.9,23.4,26.9,26.9,26.9,23.4,26.9,26.9,3,4,1,19,3,1,,,,2.7143,3,5,,,0.7143,0.025,,,
Mason Tipton,NO,WR,24,Yes,Yes,No,24,No,No,0.0417,13,0.2917,0.6667,,,,,,,,,,,,,,,,,1.5099,1.5099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylen Granson,PHI,TE,22,No,Yes,No,14,No,No,,17,0.4286,,2,,2,1,0.1429,2,,1,17,15,7.5,102.1,1.2143,8.5,1.0061,8.5,2.9605,2.9605,0.1538,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,1,,,2,,,,,,1,2,,,,,0.5714,,,
Konata Mumpfield,LA,WR,30,Yes,No,Yes,30,No,Yes,,17,0.1,0.9,3,,2,0.6667,0.1,1,,0.3333,19,28,9.3333,56.3,0.6333,6.3333,-1.4711,19,6.7046,6.7046,0.1154,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,1,1,,12,,,1,,0.3333,12,1,1,,,1,,,,
Derius Davis,LAC,WR,6,No,Yes,No,6,No,No,,11,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Chestnut,TEN,RB,3,No,Yes,No,2,No,No,0.5,17,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
