Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,YardsAdjustedNetPercentage,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToSack,AverageTimeToPressure,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Baker Mayfield,TB,QB,36,36,36,-6.5,36,13,1.0588,-234,1,Yes,Yes,34,0.9444,0.9444,Yes,3.5167,2.4735,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,17,0.0278
Quinn Ewers,MIA,QB,8,8,8,-7.375,8,4,1,-59,1,No,Yes,8,1,1,No,3.4875,2.225,No,No,,,,,,,,,,,,,,4,
Spencer Rattler,NO,QB,18,18,18,-5.7778,18,8,1,-104,1,No,No,18,1,1,No,3.2389,2.3333,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,9,
Carson Wentz,MIN,QB,19,19,19,-6.5789,19,5,1,-125,1,No,Yes,19,1,1,No,3.1947,2.5316,No,No,,,,,,,,,,,,,,5,
Marcus Mariota,WAS,QB,16,16,16,-6.6875,16,2,1,-107,1,No,Yes,16,1,1,No,3.0562,1.9875,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,11,
Dak Prescott,DAL,QB,31,31,31,-6.7097,31,4,1,-208,1,No,No,31,1,1,No,3.7516,2.6903,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,17,
Shane Buechele,KC,QB,5,5,5,-4.4,5,4,1,-22,1,Yes,Yes,5,1,1,Yes,4.32,2.78,No,No,,,,,,,,,,,,,,1,
Tyler Huntley,BLT,QB,8,8,8,-4.75,8,2,1,-38,1,No,Yes,8,1,1,No,3.725,2.4125,No,No,,,,,,,,,,,,,,5,
Justin Herbert,LAC,QB,54,54,54,-5.5741,54,12,1.0385,-301,1,No,Yes,52,0.963,0.963,No,3.3593,2.4712,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,16,
Drake Maye,NE,QB,47,47,47,-4.2766,47,23,1,-201,1,No,No,47,1,1,No,4.0447,2.6681,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,17,
Geno Smith,LV,QB,55,55,55,-7.3636,55,8,1,-405,1,No,Yes,55,1,1,No,3.2036,2.4473,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,15,
Aidan O'Connell,LV,QB,1,1,1,-5,1,1,1,-5,1,No,Yes,1,1,1,No,3.9,3.2,No,No,,,,,,,,,,,,,,1,
Matthew Stafford,LA,QB,23,23,23,-6.5217,23,3,1,-150,1,No,Yes,23,1,1,No,3.4478,2.513,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,17,
J.J. McCarthy,MIN,QB,27,27,27,-5.5185,27,7,1,-149,1,No,No,27,1,1,No,3.8481,2.7296,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,10,0.0741
Patrick Mahomes,KC,QB,34,34,34,-5.6765,34,12,1,-193,1,Yes,Yes,34,1,1,No,4.2971,2.8235,No,No,,,,,,,,,,,,,,14,0.0294
Teddy Bridgewater,TB,QB,2,2,2,-10.5,2,1,1,-21,1,No,Yes,2,1,1,No,3.85,2.15,No,No,,,,,,,,,,,,,,4,
Justin Fields,NYJ,QB,27,27,27,-7.1111,27,11,1,-192,1,No,Yes,27,1,1,No,3.6296,2.5259,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,9,0.037
Dillon Gabriel,CLV,QB,19,19,19,-6.6842,19,6,1.0556,-127,1,No,Yes,18,0.9474,0.9474,No,3.3684,2.4722,No,No,,,,,,,,,,,,,,10,
Brock Purdy,SF,QB,11,11,11,-4.8182,11,4,1,-53,1,Yes,Yes,11,1,1,Yes,3.5818,2.8636,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,9,
Tua Tagovailoa,MIA,QB,30,30,30,-6.5,30,11,1,-195,1,No,Yes,30,1,1,No,3.8167,2.4367,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,14,0.0333
Caleb Williams,CHI,QB,24,24,24,-6.875,24,8,1,-165,1,No,Yes,24,1,1,No,4.4375,2.775,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,17,
Jared Goff,DET,QB,39,38,38,-6.8158,38,3,1.0556,-259,1,Yes,Yes,36,0.9474,0.9474,No,3.1158,2.4417,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,17,
Cam Ward,TEN,QB,55,55,55,-7.4545,55,16,1.0185,-410,1,No,No,54,0.9818,0.9818,No,3.6982,2.5389,No,No,-7,-7,-7,-7,-7,-7,-14,-14,-14,-14,-14,-7,-14,17,
Kyler Murray,ARZ,QB,16,16,16,-6.9375,16,2,1,-111,1,Yes,Yes,16,1,1,No,3.8875,2.6187,No,No,,,,,,,,,,,,,,5,
Tanner McKee,PHI,QB,3,3,3,-4.6667,3,2,1,-14,1,No,Yes,3,1,1,No,3.7667,2.5,No,No,,,,,,,,,,,,,,4,
Jake Browning,CIN,QB,9,9,9,-6.6667,9,1,1,-60,1,No,No,9,1,1,No,3.6,2.3556,No,No,,,,,,,,,,,,,,5,
Josh Johnson,WAS,QB,2,2,2,-7,2,1,1,-14,1,No,No,2,1,1,No,3.7,3.1,No,No,,,,,,,,,,,,,,5,
Joe Flacco,CIN,QB,18,18,18,-6.5556,18,3,1.0588,-118,1,No,No,17,0.9444,0.9444,No,3.2778,2.5118,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,13,
Daniel Jones,IND,QB,22,22,22,-7.1818,22,4,1.0476,-158,1,Yes,Yes,21,0.9545,0.9545,Yes,3.5091,2.4286,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,13,
Jacoby Brissett,ARZ,QB,43,43,43,-6.6977,43,16,1,-288,1,No,Yes,43,1,1,No,3.6767,2.5233,No,No,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-8,-4,-8,14,0.0233
Brett Rypien,CIN,QB,1,1,1,-2,1,1,1,-2,1,No,Yes,1,1,1,No,4.1,2.1,No,No,,,,,,,,,,,,,,1,
C.J. Stroud,HST,QB,23,23,23,-8.2174,23,6,1.0455,-189,1,No,No,22,0.9565,0.9565,No,3.087,2.4409,No,No,,,,,,,,,,,,,,14,
