Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,TowThrowPercentage
Sam Darnold,SEA,QB,323,323,323,1,12,323,1,1,0.2474,323,4048,12.5325,0.4469,14.0805,2294,25,No,Yes,67,0.2074,102.3488,-0.1094,No,28,0.0867,0.0712,0.6842,0.0867,0.87,2.4115,2.5164,7.1022,144.5,No,Yes,178,261.92,261.92,261.92,261.92,261.92,264.92,264.92,261.92,261.92,261.92,261.92,302.4,302.4,17,0.0279,
Jayden Daniels,WAS,QB,114,114,114,1,4,114,1,1,0.2306,114,1262,11.0702,0.454,12.4737,710,8,Yes,No,24,0.2105,34.904,-0.0956,Yes,9,0.0789,0.0526,0.6667,0.0877,0.7456,2.35,2.4375,6.2281,136.2,No,Yes,59,82.48,82.48,82.48,82.48,82.48,85.48,85.48,82.48,82.48,82.48,82.48,95.1,95.1,7,0.0526,
Brandon Allen,TEN,QB,17,17,17,1,,17,1,1,0.1307,17,72,4.2353,1.1528,4.2353,-11,,No,No,3,0.1765,4.5064,-0.0886,No,,,,0.7647,0.1176,0.8235,2.1118,2.2667,-0.6471,84.3,No,Yes,3,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,3.6,3.6,1,0.1765,
Chris Oladokun,KC,QB,35,35,35,1,,35,1,1,0.1611,35,235,6.7143,0.6766,7.2857,76,1,No,No,10,0.2857,13.088,-0.0882,No,,,,0.6571,0.1143,0.8286,2.7429,2.52,2.1714,104.2,No,Yes,10,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,15.75,15.75,3,0.0571,
Lamar Jackson,BLT,QB,192,192,192,1,12,192,1,1,0.261,192,2549,13.276,0.4304,15.4635,1509,21,No,Yes,52,0.2708,71.0676,-0.0993,Yes,18,0.0938,0.0521,0.6667,0.1042,0.776,2.7208,2.6712,7.8594,155.2,Yes,Yes,109,185.96,185.96,185.96,185.96,185.96,188.96,188.96,185.96,185.96,185.96,185.96,211.45,211.45,13,0.0417,
Kenny Pickett,LV,QB,28,28,28,1,1,28,1,1,0.1982,28,188,6.7143,0.3404,7.4286,126,1,No,No,7,0.25,9.5562,-0.0913,No,2,0.0714,0.0357,0.6786,0.1429,0.8214,2.5536,2.5571,4.5,106.5,No,Yes,8,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,11.52,13.4,13.4,6,0.0357,
Trey Lance,LAC,QB,27,27,27,1,,27,1,1,0.1793,27,226,8.3704,0.5265,8.3704,107,,No,No,4,0.1481,7.4991,-0.1296,No,1,0.037,0.037,0.8148,0.1481,0.8519,2.1852,2.2,3.963,101.5,No,Yes,10,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,11.3,11.3,4,0.0741,
Tyler Shough,NO,QB,221,221,221,1,5,221,1,1,0.2317,221,2384,10.7873,0.4417,11.6923,1354,10,No,Yes,44,0.1991,69.9503,-0.1174,No,12,0.0543,0.0724,0.6923,0.1131,0.7511,2.41,2.375,6.1267,126.7,No,Yes,107,135.36,135.36,135.36,135.36,135.36,138.36,138.36,135.36,135.36,135.36,135.36,159.2,159.2,11,0.0407,0.009
Jalen Hurts,PHI,QB,294,294,294,1,7,294,1,1,0.236,294,3224,10.966,0.4004,12.6667,1944,25,No,No,80,0.2721,103.3281,-0.0793,Yes,25,0.085,0.0612,0.6871,0.1054,0.7857,2.6122,2.5025,6.6122,140.7,No,Yes,150,228.96,228.96,228.96,228.96,228.96,231.96,231.96,228.96,228.96,228.96,228.96,261.2,261.2,16,0.0646,0.0034
Cooper Rush,BLT,QB,34,34,34,1,,34,1,1,0.202,34,303,8.9118,0.5017,8.9118,151,,No,Yes,7,0.2059,10.7895,-0.1115,Yes,1,0.0294,0.0294,0.5294,0.1471,0.7353,2.4147,2.3,4.4412,103.8,No,Yes,13,12.12,12.12,12.12,12.12,12.12,15.12,15.12,12.12,12.12,12.12,12.12,15.15,15.15,4,0.0294,
Malik Willis,GB,QB,30,30,30,1,1,30,1,1,0.3015,30,422,14.0667,0.3175,16.0667,295,3,No,No,12,0.4,10.9275,0.0357,Yes,7,0.2333,0.1,0.8,0.0667,0.8667,2.6867,2.5333,9.8333,152.1,No,Yes,19,28.88,28.88,28.88,28.88,28.88,31.88,31.88,28.88,28.88,28.88,28.88,33.1,33.1,4,0.0667,
Riley Leonard,IND,QB,39,39,39,1,1,39,1,1,0.2159,39,415,10.641,0.4602,11.6667,231,2,No,No,11,0.2821,13.0017,-0.0513,No,4,0.1026,0.0769,0.6923,0.1282,0.8974,2.5077,2.7,5.9231,128.1,No,Yes,18,23.3,23.3,23.3,23.3,23.3,26.3,25.3,22.3,22.3,22.3,22.3,27.45,26.45,5,0.0513,
Davis Mills,HST,QB,91,91,91,1,5,91,1,1,0.2496,91,915,10.0549,0.3005,11.1538,665,5,No,No,15,0.1648,26.318,-0.1244,Yes,7,0.0769,0.0549,0.7692,0.0659,0.8352,2.2516,2.1267,7.3077,126.9,No,Yes,48,56.6,56.6,56.6,56.6,56.6,59.6,59.6,56.6,56.6,56.6,56.6,65.75,65.75,6,0.044,
Josh Allen,BUF,QB,319,319,319,1,10,319,1,1,0.2143,319,3668,11.4984,0.5526,13.0658,1684,25,No,No,62,0.1944,102.7672,-0.1278,No,22,0.069,0.0345,0.6771,0.1034,0.8307,2.4426,2.6177,5.279,140.7,No,No,177,246.72,246.72,246.72,246.72,246.72,249.72,249.72,246.72,246.72,246.72,246.72,283.4,283.4,17,0.0596,
Drew Lock,SEA,QB,2,2,2,1,,2,1,1,0.1249,2,15,7.5,1.0667,7.5,-1,,No,No,1,0.5,0.8194,0.0903,No,,,,,0.5,0.5,2.95,3.2,-0.5,97.9,No,No,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,5,,
Michael Penix,ATL,QB,167,167,167,1,4,166,0.994,0.994,0.2386,167,1982,11.8683,0.4662,12.9461,1084,9,No,Yes,40,0.2395,55.8836,-0.0951,Yes,8,0.0479,0.0299,0.7485,0.0419,0.7246,2.515,2.6275,6.491,134.1,No,Yes,99,115.28,115.28,115.28,115.28,115.28,118.28,118.28,115.28,115.28,115.28,115.28,135.1,135.1,9,0.024,0.006
Tyrod Taylor,NYJ,QB,80,80,80,1,2,80,1,1,0.2174,80,779,9.7375,0.4339,10.9875,451,5,Yes,No,28,0.35,30.29,-0.0286,No,2,0.025,,0.65,0.125,0.8375,2.77,2.6214,5.6375,128.1,No,Yes,41,51.16,51.16,51.16,51.16,51.16,54.16,54.16,51.16,51.16,51.16,51.16,58.95,58.95,6,0.025,
Max Brosmer,MIN,QB,47,47,47,1,,47,1,1,0.1567,47,328,6.9787,0.7683,6.9787,76,,No,No,9,0.1915,11.7941,-0.0594,Yes,2,0.0426,0.0426,0.7021,0.1064,0.5319,2.0298,1.7333,1.617,95.7,No,Yes,18,13.12,13.12,13.12,13.12,13.12,16.12,16.12,13.12,13.12,13.12,13.12,16.4,16.4,7,0.0213,
Shedeur Sanders,CLV,QB,120,120,120,1,2,120,1,1,0.2076,120,1400,11.6667,0.6129,12.8333,557,7,No,No,35,0.2917,44.9175,-0.0826,Yes,9,0.075,0.0583,0.625,0.1583,0.825,2.745,2.5943,4.6417,134.7,Yes,Yes,54,84,84,84,84,84,87,87,84,84,84,84,98,98,8,,
Clayton Tune,GB,QB,7,7,7,1,,7,1,1,0.1447,7,42,6,0.7619,6,10,,Yes,No,3,0.4286,2.8764,0.0177,Yes,,,,0.4286,0.5714,0.2857,2.9571,2.5,1.4286,91.7,No,Yes,2,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,2.1,2.1,2,,
Jameis Winston,NYG,QB,38,37,37,1,2,37,1,1,0.2911,37,567,15.3243,0.3915,16.4054,360,2,No,No,12,0.3243,13.6141,-0.0436,No,6,0.1622,0.1622,0.7838,0.027,0.6486,2.7081,2.55,9.7297,136.8,No,No,25,39.98,40.98,40.48,40.98,40.98,43.98,43.48,40.98,40.98,40.98,40.48,46.65,46.65,3,0.027,
Jaxson Dart,NYG,QB,216,216,216,1,6,216,1,1,0.2082,216,2272,10.5185,0.548,11.9074,1044,15,No,No,46,0.213,69.7045,-0.1097,No,11,0.0509,0.0509,0.6806,0.1019,0.8009,2.4458,2.4826,4.8333,133.6,No,Yes,102,150.88,150.88,150.88,150.88,150.88,153.88,153.88,150.88,150.88,150.88,150.88,173.6,173.6,14,0.0694,
Brady Cook,NYJ,QB,88,88,88,1,2,88,1,1,0.1843,88,739,8.3977,0.594,8.8523,303,2,Yes,No,7,0.0795,26.2189,-0.2184,No,2,0.0227,0.0114,0.7841,0.0909,0.6818,2.3023,2.5143,3.4432,109.2,No,Yes,35,37.56,37.56,37.56,37.56,37.56,40.56,40.56,37.56,37.56,37.56,37.56,44.95,44.95,5,0.0227,
Jordan Love,GB,QB,291,291,291,1,13,291,1,1,0.2317,291,3381,11.6186,0.457,13.1993,1871,23,No,No,69,0.2371,94.2116,-0.0866,No,25,0.0859,0.0722,0.6942,0.1271,0.7732,2.4519,2.4319,6.4296,141.4,No,Yes,159,227.24,227.24,227.24,227.24,227.24,230.24,230.24,227.24,227.24,227.24,227.24,261.05,261.05,15,0.0687,
Bryce Young,CAR,QB,304,304,304,1,13,304,1,1,0.2097,304,3011,9.9046,0.5178,11.4178,1519,23,No,No,84,0.2763,102.7027,-0.0615,No,19,0.0625,0.0625,0.6382,0.1349,0.7763,2.5336,2.55,4.9967,133.2,No,Yes,153,212.44,212.44,212.44,212.44,212.44,215.44,215.44,212.44,212.44,212.44,212.44,242.55,242.55,16,0.0263,
Mitchell Trubisky,BUF,QB,25,25,25,1,2,25,1,1,0.2603,25,313,12.52,0.4409,15.72,185,4,Yes,No,1,0.04,9.25,-0.33,No,1,0.04,0.04,0.64,0.12,0.8,2.72,2.7,7.4,158.3,No,Yes,19,28.52,28.52,28.52,28.52,28.52,31.52,31.52,28.52,28.52,28.52,28.52,31.65,31.65,4,0.04,
Mason Rudolph,PIT,QB,38,38,38,1,1,38,1,1,0.1561,38,310,8.1579,0.8032,9.2105,70,2,No,No,4,0.1053,11.6347,-0.2009,No,,,0.0263,0.6579,0.1842,0.8684,2.35,2.85,1.8421,118.2,No,No,17,20.4,20.4,20.4,20.4,20.4,23.4,23.4,20.4,20.4,20.4,20.4,23.5,23.5,5,0.0526,
Aaron Rodgers,PIT,QB,327,327,327,1,13,327,1,1,0.1826,327,3322,10.159,0.6538,11.6269,1178,24,No,No,45,0.1376,90.5024,-0.1392,No,17,0.052,0.0489,0.7339,0.1407,0.841,2.1795,2.5444,3.6024,133.5,No,Yes,143,227.98,228.98,228.48,228.98,228.98,231.98,231.48,228.98,228.98,228.98,228.48,262.2,262.2,16,0.107,
Baker Mayfield,TB,QB,343,343,343,1,14,343,1,1,0.2166,343,3693,10.7668,0.5269,12.2828,1817,26,Yes,No,78,0.2274,110.8054,-0.0956,Yes,19,0.0554,0.0729,0.6851,0.0933,0.8076,2.4478,2.4295,5.2974,136.8,No,Yes,172,251.72,251.72,251.72,251.72,251.72,254.72,254.72,251.72,251.72,251.72,251.72,288.65,288.65,17,0.0437,
Quinn Ewers,MIA,QB,55,55,55,1,2,55,1,1,0.2099,55,622,11.3091,0.5949,12.4,260,3,No,No,12,0.2182,17.5038,-0.1001,No,3,0.0545,0.0545,0.7818,0.1091,0.7818,2.42,2.7083,4.7273,132,No,Yes,29,36.28,37.28,36.78,37.28,37.28,40.28,39.78,37.28,37.28,37.28,36.78,43.5,43.5,4,0.0364,
Joe Milton,DAL,QB,15,15,15,1,1,15,1,1,0.2302,15,183,12.2,0.4426,13.5333,109,1,No,No,5,0.3333,5.1878,-0.0125,No,1,0.0667,0.0667,0.8667,0.0667,0.7333,2.58,2.52,7.2667,139.7,No,Yes,9,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,11.32,13.15,13.15,4,,
Dak Prescott,DAL,QB,404,404,404,1,18,404,1,1,0.2314,404,4552,11.2673,0.4466,12.7525,2577,30,No,No,108,0.2673,137.374,-0.0727,No,32,0.0792,0.0594,0.6782,0.1139,0.7995,2.5463,2.4676,6.3787,138.4,No,Yes,220,302.08,302.08,302.08,302.08,302.08,305.08,305.08,302.08,302.08,302.08,302.08,347.6,347.6,17,0.0223,
Spencer Rattler,NO,QB,175,174,174,1,5,174,1,1,0.218,174,1586,9.1149,0.4199,10.0345,939,8,No,No,51,0.2931,54.6027,-0.0207,No,10,0.0575,0.046,0.6897,0.1494,0.7759,2.3943,2.498,5.3966,120,No,No,74,95.44,96.44,95.94,96.44,96.44,99.44,98.94,96.44,96.44,96.44,95.94,112.3,112.3,9,0.0575,
Carson Wentz,MIN,QB,111,110,110,1,3,110,1,1,0.2294,110,1216,11.0545,0.4712,12.1455,660,6,Yes,No,27,0.2455,32.9203,-0.0538,No,8,0.0727,0.0182,0.7091,0.0545,0.7727,2.31,2.3037,6,130.9,No,Yes,58,72.64,72.64,72.64,72.64,72.64,75.64,75.64,72.64,72.64,72.64,72.64,84.8,84.8,5,0.0727,
Marcus Mariota,WAS,QB,139,139,139,1,6,139,1,1,0.2594,139,1695,12.1942,0.3941,13.6331,1055,10,Yes,No,23,0.1655,42.9766,-0.1437,No,11,0.0791,0.0791,0.7626,0.0576,0.7986,2.3669,2.6,7.5899,141.5,No,Yes,79,107.8,107.8,107.8,107.8,107.8,110.8,110.8,107.8,107.8,107.8,107.8,124.75,124.75,11,0.0504,
Kedon Slovis,ARZ,QB,1,1,1,1,,1,1,1,0.0643,1,-2,-2,,-2,-2,,No,Yes,1,1,0.3493,0.6507,No,,,,1,,,2.6,2.5,-2,79.2,Yes,Yes,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,2,,
Shane Buechele,KC,QB,7,7,7,1,,7,1,1,0.2295,7,88,12.5714,0.3295,12.5714,59,,No,No,,,2.1346,-0.3049,No,1,0.1429,0.1429,0.7143,0.1429,0.7143,2.3429,,8.4286,118.8,No,Yes,4,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,4.4,4.4,1,0.1429,
Tyler Huntley,BLT,QB,52,52,52,1,,52,1,1,0.2083,52,426,8.1923,0.3779,8.9615,265,2,No,Yes,12,0.2308,15.1793,-0.0611,Yes,1,0.0192,0.0385,0.8654,0.0769,0.6731,2.2673,2.5583,5.0962,113.6,No,Yes,19,25.04,25.04,25.04,25.04,25.04,28.04,28.04,25.04,25.04,25.04,25.04,29.3,29.3,5,0.0192,
Justin Herbert,LAC,QB,340,340,340,1,17,340,1,1,0.2304,340,3727,10.9618,0.4494,12.4912,2129,26,No,No,80,0.2353,108.3603,-0.0834,No,27,0.0794,0.0676,0.6882,0.1,0.8471,2.4226,2.4263,6.2618,137.8,No,Yes,175,253.08,253.08,253.08,253.08,253.08,256.08,256.08,253.08,253.08,253.08,253.08,290.35,290.35,16,0.0353,
Drake Maye,NE,QB,354,354,354,1,17,354,1,1,0.2567,354,4394,12.4124,0.4106,14.1638,2666,31,Yes,No,89,0.2514,126.9599,-0.1072,Yes,32,0.0904,0.0706,0.7119,0.1073,0.791,2.654,2.6258,7.5311,147.6,No,Yes,203,299.96,300.96,300.46,300.96,300.96,303.96,303.46,300.96,300.96,300.96,300.46,344.9,344.9,17,0.0113,
Geno Smith,LV,QB,302,302,302,1,9,302,1,1,0.197,302,3025,10.0166,0.5782,11.2748,1320,19,Yes,No,64,0.2119,100.8311,-0.122,No,14,0.0464,0.0364,0.7185,0.1026,0.8212,2.5106,2.3953,4.3709,129.4,No,Yes,148,197,197,197,197,197,200,200,197,197,197,197,227.25,227.25,15,0.0265,
Aidan O'Connell,LV,QB,10,10,10,1,,10,1,1,0.2468,10,102,10.2,0.3627,10.2,65,,No,No,2,0.2,3.424,-0.1424,No,,,0.1,0.6,0.1,0.7,2.56,2.7,6.5,109.2,No,Yes,5,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,5.1,5.1,1,,
Matthew Stafford,LA,QB,388,388,388,1,26,388,1,1,0.2523,388,4707,12.1314,0.4079,14.5026,2900,46,Yes,No,73,0.1881,124.3849,-0.1324,No,38,0.0979,0.0954,0.7139,0.1005,0.817,2.4335,2.4767,7.4742,156.7,No,Yes,236,372.28,372.28,372.28,372.28,372.28,375.28,375.28,372.28,372.28,372.28,372.28,419.35,419.35,17,0.0232,
J.J. McCarthy,MIN,QB,140,140,140,1,7,140,1,1,0.2441,140,1632,11.6571,0.4203,13.2286,975,11,No,No,34,0.2429,51.0237,-0.1216,No,10,0.0714,0.1286,0.7286,0.0643,0.7857,2.6879,2.4471,6.9643,141.4,No,Yes,80,109.28,109.28,109.28,109.28,109.28,112.28,112.28,109.28,109.28,109.28,109.28,125.6,125.6,10,0.0286,
Patrick Mahomes,KC,QB,315,315,315,1,13,315,1,1,0.2105,315,3587,11.3873,0.5478,12.7841,1672,22,Yes,No,72,0.2286,95.1945,-0.0736,No,21,0.0667,0.0413,0.7302,0.0603,0.8286,2.327,2.6306,5.3079,137.4,No,Yes,173,230.48,231.48,230.98,231.48,231.48,234.48,233.98,231.48,231.48,231.48,230.98,267.35,267.35,14,0.1397,
Tyson Bagent,CHI,QB,3,3,3,1,,3,1,1,0.1792,3,47,15.6667,0.8298,15.6667,8,,No,No,1,0.3333,1.2721,-0.0907,No,,,,1,,1,3.0333,3.6,2.6667,118.8,No,No,2,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,2.35,2.35,3,,
Teddy Bridgewater,TB,QB,8,8,8,1,,8,1,1,0.1326,8,62,7.75,0.871,7.75,8,,No,No,,,1.5352,-0.1919,No,,,,1,,0.875,1.6875,,1,99,No,Yes,2,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,3.1,3.1,4,0.125,
Nick Mullens,JAX,QB,3,3,3,1,,3,1,1,0.1147,3,19,6.3333,0.8947,6.3333,2,,No,No,,,0.5821,-0.194,No,,,,1,,0.6667,1.7,,0.6667,93.1,Yes,Yes,2,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,5,,
Zach Wilson,MIA,QB,6,6,6,1,,6,1,1,0.1556,6,32,5.3333,0.7188,5.3333,9,,No,No,,,1.1988,-0.1998,No,,,,0.8333,,0.6667,1.7333,,1.5,88.9,No,No,3,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,4,,
Justin Fields,NYJ,QB,129,128,128,1,3,128,1,1,0.215,128,1259,9.8359,0.4575,10.9297,694,7,No,Yes,37,0.2891,44.8484,-0.0613,No,6,0.0469,0.0312,0.6484,0.1094,0.8203,2.6063,2.4459,5.4219,125.9,No,Yes,58,78.36,78.36,78.36,78.36,78.36,81.36,81.36,78.36,78.36,78.36,78.36,90.95,90.95,9,0.0312,
Dillon Gabriel,CLV,QB,110,110,110,1,5,110,1,1,0.1922,110,937,8.5182,0.5123,9.7909,471,7,No,No,29,0.2636,36.0598,-0.0642,No,3,0.0273,0.0182,0.7273,0.1455,0.7455,2.4755,2.5172,4.2818,123.4,No,No,45,65.48,65.48,65.48,65.48,65.48,68.48,68.48,65.48,65.48,65.48,65.48,74.85,74.85,10,0.0091,0.0091
Brock Purdy,SF,QB,197,197,197,1,13,197,1,1,0.2468,197,2167,11,0.3978,13.0305,1362,20,No,No,52,0.264,75.8156,-0.1209,No,19,0.0964,0.0457,0.665,0.1371,0.8173,2.8061,2.6596,6.9137,146.3,No,Yes,130,166.68,166.68,166.68,166.68,166.68,169.68,169.68,166.68,166.68,166.68,166.68,188.35,188.35,9,0.0203,
Tua Tagovailoa,MIA,QB,261,260,260,1,13,260,1,1,0.2068,260,2660,10.2308,0.556,11.7692,1255,20,No,Yes,51,0.1962,77.846,-0.1033,No,12,0.0462,0.0346,0.7115,0.1115,0.8192,2.3108,2.2627,4.8269,134.9,No,Yes,142,186.4,186.4,186.4,186.4,186.4,189.4,189.4,186.4,186.4,186.4,186.4,213,213,14,0.0538,0.0038
Gardner Minshew,KC,QB,6,6,6,1,,6,1,1,0.1382,6,37,6.1667,0.8919,6.1667,4,,Yes,No,,,1.2506,-0.2084,No,,,,1,,0.8333,1.7833,,0.6667,92.4,No,Yes,2,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.85,1.85,4,0.1667,
Caleb Williams,CHI,QB,332,330,330,1,16,330,1,1,0.235,330,3942,11.9455,0.4795,13.5818,2125,27,No,No,67,0.203,117.8565,-0.1541,No,27,0.0818,0.0485,0.7,0.0879,0.8212,2.6455,2.6716,6.4394,143.7,No,Yes,187,273.88,275.88,274.88,275.88,275.88,278.88,277.88,275.88,275.88,275.88,274.88,315.3,315.3,17,0.0242,0.0061
Jared Goff,DET,QB,394,393,393,1,11,393,1,1,0.2171,393,4564,11.6132,0.5438,13.3435,2131,34,Yes,Yes,73,0.1858,120.2147,-0.1201,Yes,17,0.0433,0.0483,0.7532,0.0763,0.8575,2.3483,2.4986,5.4224,143.9,No,Yes,223,318.56,318.56,318.56,318.56,318.56,321.56,321.56,318.56,318.56,318.56,318.56,364.2,364.2,17,0.0204,
