"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Michael Mayer","Raiders","TE","31","4.57","0.036","1.04","0.008","-3.84","-0.12","58.1%","2.8","0.1","25.8%","9.7%"
"[object Object]","2025","Rashid Shaheed","2 teams","WR","57","4.56","0.014","-3.28","-0.010","5.90","0.10","47.4%","0.8","0.0","35.1%","15.8%"
"[object Object]","2025","Matthew Golden","Packers","WR","26","4.51","0.029","0.52","0.003","14.30","0.55","53.8%","2.5","0.1","30.8%","15.4%"
"[object Object]","2025","Courtland Sutton","Broncos","WR","74","4.39","0.012","-4.40","-0.012","25.50","0.34","52.7%","0.3","0.0","32.4%","16.2%"
"[object Object]","2025","Chimere Dike","Titans","WR","28","4.39","0.019","-1.44","-0.006","11.24","0.40","50.0%","1.4","0.0","35.7%","10.7%"
"[object Object]","2025","Jake Tonges","49ers","TE","30","4.18","0.028","0.85","0.006","14.15","0.47","63.3%","2.9","0.1","23.3%","6.7%"
"[object Object]","2025","Xavier Worthy","Chiefs","WR","32","4.13","0.021","-0.83","-0.004","11.07","0.35","56.3%","1.7","0.1","37.5%","3.1%"
"[object Object]","2025","Bam Knight","Cardinals","RB","23","3.96","0.052","2.28","0.030","2.08","0.09","52.2%","3.2","0.1","21.7%","8.7%"
"[object Object]","2025","Kyle Pitts","Falcons","TE","65","3.93","0.012","-4.04","-0.013","9.69","0.15","52.3%","0.4","0.0","30.8%","18.5%"
"[object Object]","2025","Jaylen Warren","Steelers","RB","21","3.86","0.042","1.41","0.015","1.38","0.07","52.4%","2.5","0.1","14.3%","9.5%"
"[object Object]","2025","Demario Douglas","Patriots","WR","25","3.85","0.029","0.66","0.005","2.08","0.08","44.0%","2.3","0.1","24.0%","24.0%"
"[object Object]","2025","Tommy Tremble","Panthers","TE","26","3.76","0.022","-0.62","-0.004","10.37","0.40","61.5%","1.7","0.1","23.1%","7.7%"
"[object Object]","2025","Tucker Kraft","Packers","TE","18","3.74","0.032","0.86","0.007","0.17","0.01","38.9%","2.5","0.1","27.8%","33.3%"
"[object Object]","2025","Travis Hunter","Jaguars","WR","25","3.66","0.026","0.44","0.003","6.11","0.24","52.0%","2.2","0.1","28.0%","12.0%"
"[object Object]","2025","Brandin Cooks","2 teams","WR","29","3.58","0.016","-1.73","-0.008","13.31","0.46","65.5%","1.1","0.0","34.5%","17.2%"
"[object Object]","2025","Devaughn Vele","Saints","WR","25","3.57","0.020","-0.51","-0.003","13.33","0.53","68.0%","1.7","0.1","48.0%","8.0%"
"[object Object]","2025","Mason Taylor","Jets","TE","49","3.48","0.015","-2.26","-0.010","15.43","0.31","59.2%","0.9","0.0","26.5%","6.1%"
"[object Object]","2025","Oronde Gadsden","Chargers","TE","43","3.46","0.015","-1.93","-0.008","11.86","0.28","62.8%","1.2","0.0","39.5%","23.3%"
"[object Object]","2025","Brian Thomas Jr.","Jaguars","WR","64","3.43","0.012","-3.41","-0.011","12.33","0.19","50.0%","0.4","0.0","26.6%","15.6%"
"[object Object]","2025","Michael Carter","Cardinals","RB","39","3.41","0.020","-0.59","-0.003","6.68","0.17","59.0%","1.4","0.0","12.8%","7.7%"
"[object Object]","2025","Gunnar Helm","Titans","TE","33","3.37","0.023","-0.38","-0.003","7.20","0.22","57.6%","1.6","0.1","15.2%","9.1%"
"[object Object]","2025","Elijah Higgins","Cardinals","TE","24","3.22","0.016","-1.75","-0.009","5.90","0.25","66.7%","1.0","0.0","41.7%","8.3%"
"[object Object]","2025","Demarcus Robinson","49ers","WR","24","3.08","0.019","-0.99","-0.006","5.74","0.24","54.2%","1.1","0.0","29.2%","20.8%"
"[object Object]","2025","Darius Slayton","Giants","WR","38","2.90","0.012","-3.18","-0.013","26.24","0.69","60.5%","-0.1","-0.0","44.7%","10.5%"
"[object Object]","2025","Marquise Brown","Chiefs","WR","37","2.68","0.014","-1.95","-0.010","16.53","0.45","56.8%","0.4","0.0","35.1%","10.8%"
"[object Object]","2025","Austin Hooper","Patriots","TE","20","2.55","0.019","-0.72","-0.005","9.06","0.45","60.0%","1.1","0.0","30.0%","5.0%"
"[object Object]","2025","Adam Thielen","2 teams","WR","23","2.47","0.020","-0.66","-0.005","2.19","0.10","52.2%","0.9","0.0","21.7%","21.7%"
"[object Object]","2025","Chris Olave","Saints","WR","104","2.43","0.006","-7.14","-0.018","14.86","0.14","50.0%","-2.1","-0.1","24.0%","17.3%"
"[object Object]","2025","Tez Johnson","Buccaneers","WR","28","2.39","0.014","-1.67","-0.010","10.62","0.38","57.1%","0.4","0.0","28.6%","10.7%"
"[object Object]","2025","DJ Moore","Bears","WR","42","2.35","0.007","-5.65","-0.017","4.31","0.10","52.4%","-1.4","-0.0","33.3%","23.8%"
"[object Object]","2025","Jaylin Noel","Texans","WR","18","2.22","0.020","-0.44","-0.004","9.75","0.54","66.7%","1.0","0.0","38.9%","16.7%"
"[object Object]","2025","Romeo Doubs","Packers","WR","51","2.05","0.009","-3.72","-0.016","22.99","0.45","60.8%","-0.8","-0.0","29.4%","9.8%"
"[object Object]","2025","Kyren Williams","Rams","RB","36","1.82","0.009","-2.94","-0.014","0.73","0.02","52.8%","-0.6","-0.0","11.1%","11.1%"
"[object Object]","2025","Cedric Tillman","Browns","WR","22","1.74","0.010","-2.53","-0.015","3.40","0.15","36.4%","-0.4","-0.0","27.3%","13.6%"
"[object Object]","2025","Darren Waller","Dolphins","TE","21","1.68","0.018","-0.90","-0.009","7.43","0.35","57.1%","0.4","0.0","28.6%","14.3%"
"[object Object]","2025","David Njoku","Browns","TE","29","1.63","0.011","-2.09","-0.013","1.93","0.07","51.7%","0.0","0.0","24.1%","13.8%"
"[object Object]","2025","Ryan Flournoy","Cowboys","WR","27","1.63","0.012","-1.67","-0.012","10.81","0.40","55.6%","0.1","0.0","37.0%","7.4%"
"[object Object]","2025","Adonai Mitchell","2 teams","WR","50","1.51","0.007","-3.77","-0.018","1.42","0.03","46.0%","-1.1","-0.0","24.0%","24.0%"
"[object Object]","2025","Noah Fant","Bengals","TE","30","1.50","0.012","-1.53","-0.012","-5.42","-0.18","53.3%","0.2","0.0","26.7%","10.0%"
"[object Object]","2025","De'Von Achane","Dolphins","RB","41","1.43","0.007","-3.95","-0.020","-6.90","-0.17","41.5%","-1.7","-0.1","24.4%","19.5%"
"[object Object]","2025","Rhamondre Stevenson","Patriots","RB","22","1.41","0.010","-2.15","-0.015","4.06","0.18","68.2%","-0.5","-0.0","27.3%","13.6%"
"[object Object]","2025","Deebo Samuel","Commanders","WR","40","1.26","0.005","-5.24","-0.021","3.11","0.08","45.0%","-2.1","-0.1","30.0%","20.0%"
"[object Object]","2025","Kenneth Walker III","Seahawks","RB","22","1.11","0.010","-1.79","-0.016","-1.43","-0.06","31.8%","-0.5","-0.0","13.6%","4.5%"
"[object Object]","2025","Colby Parkinson","Rams","TE","28","0.96","0.005","-3.11","-0.018","12.36","0.44","71.4%","-0.7","-0.0","28.6%","0.0%"
"[object Object]","2025","Isaiah Williams","Jets","WR","21","0.79","0.006","-2.56","-0.019","-1.43","-0.07","38.1%","-0.9","-0.0","23.8%","28.6%"
"[object Object]","2025","Kyle Juszczyk","49ers","FB","21","0.76","0.005","-2.53","-0.018","4.44","0.21","71.4%","-0.6","-0.0","19.0%","9.5%"
"[object Object]","2025","Travis Etienne","Jaguars","RB","19","0.68","0.004","-3.03","-0.019","-3.53","-0.19","42.1%","-1.2","-0.0","5.3%","15.8%"
"[object Object]","2025","D'Andre Swift","Bears","RB","29","0.67","0.004","-3.58","-0.020","-11.00","-0.38","24.1%","-1.5","-0.0","6.9%","17.2%"
"[object Object]","2025","Javonte Williams","Cowboys","RB","30","0.66","0.004","-3.53","-0.020","-10.48","-0.35","40.0%","-1.4","-0.0","10.0%","23.3%"
"[object Object]","2025","Luke Schoonmaker","Cowboys","TE","20","0.59","0.006","-1.52","-0.016","1.31","0.07","50.0%","-0.3","-0.0","20.0%","10.0%"
"[object Object]","2025","Jayden Higgins","Texans","WR","42","0.42","0.002","-4.51","-0.021","20.96","0.50","59.5%","-1.8","-0.1","35.7%","7.1%"
"[object Object]","2025","David Sills V","Falcons","WR","20","0.41","0.002","-4.43","-0.023","7.77","0.39","45.0%","-2.0","-0.1","30.0%","5.0%"
"[object Object]","2025","Calvin Ridley","Titans","WR","27","0.38","0.004","-1.81","-0.020","3.01","0.11","33.3%","-0.7","-0.0","25.9%","14.8%"
"[object Object]","2025","Lil'Jordan Humphrey","2 teams","WR","18","0.14","0.002","-2.01","-0.022","10.42","0.58","55.6%","-0.8","-0.0","33.3%","5.6%"
"[object Object]","2025","Garrett Wilson","Jets","WR","37","0.03","0.000","-3.81","-0.025","-9.33","-0.25","43.2%","-1.9","-0.1","27.0%","27.0%"
"[object Object]","2025","Malik Washington","Dolphins","WR","29","-0.05","-0.000","-5.86","-0.028","-3.75","-0.13","44.8%","-3.2","-0.1","31.0%","24.1%"
"[object Object]","2025","Tre' Harris","Chargers","WR","25","-0.17","-0.001","-4.10","-0.025","7.23","0.29","64.0%","-2.0","-0.1","36.0%","8.0%"
"[object Object]","2025","Xavier Hutchinson","Texans","WR","31","-0.25","-0.001","-5.69","-0.025","4.36","0.14","51.6%","-2.8","-0.1","32.3%","12.9%"
"[object Object]","2025","Omarion Hampton","Chargers","RB","19","-0.25","-0.003","-2.39","-0.027","-3.13","-0.16","47.4%","-1.4","-0.0","10.5%","26.3%"
"[object Object]","2025","Sterling Shepard","Buccaneers","WR","23","-0.29","-0.002","-4.47","-0.026","5.67","0.25","60.9%","-2.3","-0.1","26.1%","21.7%"
"[object Object]","2025","Cole Kmet","Bears","TE","35","-0.40","-0.002","-5.57","-0.026","12.09","0.35","54.3%","-2.6","-0.1","25.7%","17.1%"
"[object Object]","2025","Jahan Dotson","Eagles","WR","20","-0.41","-0.002","-6.46","-0.027","-2.83","-0.14","40.0%","-3.5","-0.1","25.0%","20.0%"
"[object Object]","2025","Chuba Hubbard","Panthers","RB","20","-0.56","-0.005","-3.56","-0.029","-4.70","-0.24","35.0%","-2.2","-0.1","20.0%","20.0%"
"[object Object]","2025","Davis Allen","Rams","TE","18","-0.88","-0.007","-3.88","-0.030","3.22","0.18","61.1%","-2.1","-0.1","22.2%","11.1%"
"[object Object]","2025","Jeremy Ruckert","Jets","TE","23","-0.95","-0.007","-4.13","-0.032","4.58","0.20","43.5%","-2.4","-0.1","17.4%","4.3%"
"[object Object]","2025","Theo Johnson","Giants","TE","43","-0.96","-0.004","-6.75","-0.028","4.07","0.09","46.5%","-3.5","-0.1","25.6%","16.3%"
"[object Object]","2025","Woody Marks","Texans","RB","17","-1.04","-0.008","-3.95","-0.032","-0.71","-0.04","41.2%","-2.5","-0.1","23.5%","11.8%"
"[object Object]","2025","TreVeyon Henderson","Patriots","RB","24","-1.15","-0.008","-4.87","-0.032","2.83","0.12","50.0%","-3.1","-0.1","8.3%","4.2%"
"[object Object]","2025","Juwan Johnson","Saints","TE","75","-1.21","-0.003","-9.94","-0.027","23.26","0.31","50.7%","-4.9","-0.2","26.7%","9.3%"
"[object Object]","2025","Dyami Brown","Jaguars","WR","25","-1.48","-0.012","-4.20","-0.035","-0.82","-0.03","44.0%","-2.7","-0.1","20.0%","16.0%"
"[object Object]","2025","Mike Evans","Buccaneers","WR","31","-1.50","-0.012","-4.42","-0.036","-5.99","-0.19","35.5%","-2.9","-0.1","19.4%","16.1%"
"[object Object]","2025","Tony Pollard","Titans","RB","28","-1.53","-0.010","-5.68","-0.035","-6.78","-0.24","53.6%","-3.8","-0.1","17.9%","10.7%"
"[object Object]","2025","Tyrone Tracy Jr.","Giants","RB","24","-1.53","-0.010","-5.13","-0.034","1.95","0.08","41.7%","-3.4","-0.1","20.8%","4.2%"
"[object Object]","2025","Cade Otton","Buccaneers","TE","55","-1.70","-0.006","-8.20","-0.030","15.69","0.29","61.8%","-4.5","-0.1","30.9%","5.5%"
"[object Object]","2025","Xavier Legette","Panthers","WR","38","-1.78","-0.008","-7.77","-0.033","1.04","0.03","44.7%","-4.8","-0.1","18.4%","15.8%"
"[object Object]","2025","Elijah Arroyo","Seahawks","TE","17","-1.80","-0.020","-4.02","-0.046","-13.65","-0.80","35.3%","-2.8","-0.1","29.4%","29.4%"
"[object Object]","2025","Adam Trautman","Broncos","TE","19","-2.06","-0.017","-4.91","-0.040","7.69","0.40","68.4%","-3.2","-0.1","15.8%","0.0%"
"[object Object]","2025","Ja'Tavion Sanders","Panthers","TE","23","-2.13","-0.016","-5.45","-0.042","-2.23","-0.10","47.8%","-3.7","-0.1","13.0%","17.4%"
"[object Object]","2025","Ashton Jeanty","Raiders","RB","38","-2.49","-0.014","-7.19","-0.041","-20.56","-0.54","26.3%","-5.1","-0.2","13.2%","15.8%"
"[object Object]","2025","Van Jefferson","Titans","WR","34","-2.50","-0.011","-8.32","-0.037","3.64","0.11","44.1%","-5.5","-0.2","26.5%","11.8%"
"[object Object]","2025","Luke Musgrave","Packers","TE","23","-2.77","-0.021","-6.15","-0.046","8.73","0.38","69.6%","-4.3","-0.1","17.4%","4.3%"
