"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Kaleb Johnson","Steelers","7","2.82","0.404","2.57","0.367","0.98","0.14","42.9%","2.8","0.1","28.6%","0.0%"
"[object Object]","2025","RJ Harvey","Broncos","43","2.81","0.065","1.47","0.034","1.56","0.04","39.5%","2.9","0.1","16.3%","14.0%"
"[object Object]","2025","Zach Charbonnet","Seahawks","67","2.52","0.038","0.26","0.004","-16.03","-0.24","41.8%","2.4","0.1","7.5%","17.9%"
"[object Object]","2025","Keaton Mitchell","Ravens","16","2.35","0.147","1.72","0.108","1.14","0.07","56.3%","2.2","0.1","12.5%","12.5%"
"[object Object]","2025","British Brooks","Texans","6","2.28","0.380","2.08","0.347","2.40","0.40","66.7%","2.3","0.1","33.3%","0.0%"
"[object Object]","2025","Aaron Jones Sr.","Vikings","41","2.06","0.050","0.49","0.012","5.64","0.14","48.8%","1.8","0.1","14.6%","4.9%"
"[object Object]","2025","Jeremy McNichols","Commanders","10","2.03","0.203","1.70","0.170","3.10","0.31","60.0%","2.0","0.1","10.0%","0.0%"
"[object Object]","2025","Najee Harris","Chargers","6","1.85","0.308","1.66","0.277","2.53","0.42","66.7%","1.9","0.1","16.7%","0.0%"
"[object Object]","2025","Sean Tucker","Buccaneers","32","1.75","0.055","0.68","0.021","3.10","0.10","53.1%","1.7","0.1","21.9%","12.5%"
"[object Object]","2025","Jaylen Wright","Dolphins","14","1.72","0.123","1.23","0.088","5.35","0.38","64.3%","1.7","0.1","14.3%","0.0%"
"[object Object]","2025","Ray Davis","Bills","23","1.59","0.069","0.88","0.038","2.29","0.10","43.5%","1.6","0.1","17.4%","0.0%"
"[object Object]","2025","Spencer Rattler","Saints","7","1.48","0.211","1.25","0.178","3.81","0.54","71.4%","1.5","0.0","28.6%","0.0%"
"[object Object]","2025","Lamar Jackson","Ravens","21","1.44","0.068","0.67","0.032","11.90","0.57","61.9%","1.4","0.0","47.6%","4.8%"
"[object Object]","2025","Malik Davis","Cowboys","16","1.42","0.089","0.96","0.060","2.65","0.17","56.3%","1.5","0.0","12.5%","6.3%"
"[object Object]","2025","Justin Fields","Jets","26","1.29","0.049","0.35","0.014","5.13","0.20","61.5%","1.3","0.0","11.5%","11.5%"
"[object Object]","2025","Jaleel McLaughlin","Broncos","11","1.26","0.115","0.91","0.083","3.09","0.28","72.7%","1.3","0.0","18.2%","0.0%"
"[object Object]","2025","Isaiah Davis","Jets","13","1.22","0.094","0.79","0.061","-1.44","-0.11","61.5%","1.2","0.0","7.7%","7.7%"
"[object Object]","2025","Kenneth Gainwell","Steelers","25","1.20","0.048","0.34","0.014","-1.52","-0.06","44.0%","1.1","0.0","16.0%","12.0%"
"[object Object]","2025","Jayden Daniels","Commanders","13","1.06","0.082","0.62","0.048","-2.06","-0.16","46.2%","1.1","0.0","7.7%","15.4%"
"[object Object]","2025","Jordan Mason","Vikings","47","0.86","0.018","-0.83","-0.018","4.00","0.09","51.1%","0.7","0.0","10.6%","4.3%"
"[object Object]","2025","Taysom Hill","Saints","27","0.51","0.019","-0.36","-0.013","-0.40","-0.01","44.4%","0.5","0.0","18.5%","18.5%"
"[object Object]","2025","Christian McCaffrey","49ers","60","0.44","0.007","-1.52","-0.025","2.69","0.04","45.0%","0.4","0.0","10.0%","3.3%"
"[object Object]","2025","Trevor Lawrence","Jaguars","10","0.39","0.039","0.06","0.006","-0.75","-0.08","50.0%","0.4","0.0","10.0%","30.0%"
"[object Object]","2025","Devin Neal","Saints","6","0.35","0.058","0.16","0.026","0.27","0.04","50.0%","0.3","0.0","0.0%","0.0%"
"[object Object]","2025","Kendre Miller","Saints","13","0.32","0.024","-0.13","-0.010","-0.37","-0.03","30.8%","0.3","0.0","15.4%","7.7%"
"[object Object]","2025","Trevor Etienne","Panthers","9","0.23","0.026","-0.06","-0.007","1.67","0.19","44.4%","0.2","0.0","11.1%","0.0%"
"[object Object]","2025","Zavier Scott","Vikings","6","0.18","0.030","-0.04","-0.006","0.54","0.09","50.0%","0.2","0.0","16.7%","0.0%"
"[object Object]","2025","Trey Lance","Chargers","5","0.05","0.010","-0.13","-0.026","-1.75","-0.35","20.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2025","A.J. Dillon","Eagles","6","-0.05","-0.008","-0.26","-0.043","0.03","0.01","50.0%","-0.1","-0.0","33.3%","16.7%"
"[object Object]","2025","Terrell Jennings","Patriots","18","-0.06","-0.003","-0.63","-0.035","4.44","0.25","50.0%","-0.1","-0.0","16.7%","0.0%"
"[object Object]","2025","Tyler Huntley","Ravens","7","-0.14","-0.019","-0.37","-0.052","2.05","0.29","42.9%","-0.1","-0.0","14.3%","14.3%"
"[object Object]","2025","D'Ernest Johnson","Patriots","5","-0.17","-0.033","-0.35","-0.069","0.01","0.00","60.0%","-0.2","-0.0","0.0%","0.0%"
"[object Object]","2025","Cam Skattebo","Giants","23","-0.26","-0.011","-0.99","-0.043","0.90","0.04","65.2%","-0.3","-0.0","8.7%","8.7%"
"[object Object]","2025","Emari Demercado","Cardinals","20","-0.40","-0.020","-1.05","-0.053","-9.69","-0.48","25.0%","-0.4","-0.0","0.0%","20.0%"
"[object Object]","2025","Jerome Ford","Browns","8","-0.50","-0.062","-0.73","-0.091","0.84","0.11","62.5%","-0.5","-0.0","12.5%","0.0%"
"[object Object]","2025","DJ Moore","Bears","5","-0.52","-0.104","-0.69","-0.138","-1.09","-0.22","40.0%","-0.6","-0.0","0.0%","0.0%"
"[object Object]","2025","Ashton Jeanty","Raiders","54","-0.58","-0.011","-2.55","-0.047","-2.66","-0.05","38.9%","-0.8","-0.0","9.3%","9.3%"
"[object Object]","2025","Hassan Haskins","Chargers","6","-0.61","-0.101","-0.80","-0.133","-0.62","-0.10","33.3%","-0.6","-0.0","16.7%","0.0%"
"[object Object]","2025","Corey Kiner","Cardinals","5","-0.63","-0.126","-0.81","-0.162","0.95","0.19","80.0%","-0.7","-0.0","0.0%","0.0%"
"[object Object]","2025","Trey Benson","Cardinals","10","-0.68","-0.068","-1.03","-0.103","-4.15","-0.41","30.0%","-0.7","-0.0","0.0%","30.0%"
"[object Object]","2025","Antonio Gibson","Patriots","5","-0.70","-0.139","-0.89","-0.179","-0.14","-0.03","60.0%","-0.7","-0.0","0.0%","0.0%"
"[object Object]","2025","Miles Sanders","Cowboys","9","-0.79","-0.088","-1.07","-0.119","0.25","0.03","55.6%","-0.8","-0.0","11.1%","0.0%"
"[object Object]","2025","Jawhar Jordan","Texans","10","-0.80","-0.080","-1.13","-0.113","-1.96","-0.20","30.0%","-0.8","-0.0","20.0%","10.0%"
"[object Object]","2025","Austin Ekeler","Commanders","7","-0.88","-0.126","-1.10","-0.157","-2.52","-0.36","42.9%","-0.9","-0.0","0.0%","28.6%"
"[object Object]","2025","Jahmyr Gibbs","Lions","76","-0.92","-0.012","-3.41","-0.045","-2.84","-0.04","43.4%","-1.0","-0.0","13.2%","18.4%"
"[object Object]","2025","DJ Giddens","Colts","12","-0.98","-0.082","-1.36","-0.113","-3.14","-0.26","33.3%","-1.0","-0.0","0.0%","16.7%"
"[object Object]","2025","Justin Herbert","Chargers","7","-1.08","-0.154","-1.30","-0.186","2.10","0.30","57.1%","-1.1","-0.0","42.9%","14.3%"
"[object Object]","2025","LeQuint Allen Jr.","Jaguars","7","-1.09","-0.156","-1.30","-0.186","0.90","0.13","57.1%","-1.1","-0.0","14.3%","14.3%"
"[object Object]","2025","Kyren Williams","Rams","94","-1.12","-0.012","-4.19","-0.045","1.89","0.02","55.3%","-1.2","-0.0","10.6%","8.5%"
"[object Object]","2025","Dameon Pierce","2 teams","5","-1.12","-0.223","-1.29","-0.257","-1.13","-0.23","40.0%","-1.1","-0.0","0.0%","0.0%"
"[object Object]","2025","Raheem Mostert","Raiders","7","-1.25","-0.179","-1.48","-0.212","-3.26","-0.47","28.6%","-1.3","-0.0","0.0%","28.6%"
"[object Object]","2025","Emanuel Wilson","Packers","31","-1.34","-0.043","-2.39","-0.077","0.27","0.01","54.8%","-1.4","-0.0","9.7%","3.2%"
"[object Object]","2025","Raheim Sanders","Browns","7","-1.36","-0.195","-1.61","-0.230","-1.15","-0.16","28.6%","-1.4","-0.0","14.3%","14.3%"
"[object Object]","2025","Dylan Sampson","Browns","15","-1.52","-0.101","-2.06","-0.137","-5.63","-0.38","33.3%","-1.6","-0.0","0.0%","20.0%"
"[object Object]","2025","Tyler Shough","Saints","11","-1.72","-0.156","-2.12","-0.192","-0.89","-0.08","45.5%","-1.7","-0.1","18.2%","9.1%"
"[object Object]","2025","Marcus Mariota","Commanders","22","-1.76","-0.080","-2.53","-0.115","-1.53","-0.07","45.5%","-1.7","-0.1","22.7%","13.6%"
"[object Object]","2025","TreVeyon Henderson","Patriots","63","-1.78","-0.028","-3.91","-0.062","-3.27","-0.05","38.1%","-1.9","-0.1","6.3%","11.1%"
"[object Object]","2025","Jordan Love","Packers","5","-1.79","-0.358","-1.96","-0.393","0.77","0.15","40.0%","-1.8","-0.1","20.0%","0.0%"
"[object Object]","2025","Tyjae Spears","Titans","17","-1.81","-0.107","-2.41","-0.141","-3.69","-0.22","17.6%","-1.9","-0.1","5.9%","0.0%"
"[object Object]","2025","Bijan Robinson","Falcons","26","-1.95","-0.075","-2.81","-0.108","-3.26","-0.13","38.5%","-2.0","-0.1","7.7%","15.4%"
"[object Object]","2025","Derrick Henry","Ravens","117","-1.98","-0.017","-6.24","-0.053","0.51","0.00","52.1%","-2.5","-0.1","13.7%","13.7%"
"[object Object]","2025","Tony Pollard","Titans","76","-2.06","-0.027","-4.74","-0.062","-9.02","-0.12","46.1%","-2.3","-0.1","7.9%","9.2%"
"[object Object]","2025","Jaxson Dart","Giants","27","-2.10","-0.078","-2.95","-0.109","6.47","0.24","48.1%","-2.0","-0.1","29.6%","11.1%"
"[object Object]","2025","Jacory Croskey-Merritt","Commanders","58","-2.14","-0.037","-4.23","-0.073","-8.06","-0.14","46.6%","-2.4","-0.1","6.9%","10.3%"
"[object Object]","2025","Evan Hull","Saints","6","-2.39","-0.399","-2.58","-0.430","-1.93","-0.32","16.7%","-2.4","-0.1","0.0%","0.0%"
"[object Object]","2025","Ty Chandler","Vikings","9","-2.43","-0.270","-2.76","-0.307","-2.42","-0.27","22.2%","-2.5","-0.1","11.1%","11.1%"
"[object Object]","2025","Alvin Kamara","Saints","24","-2.46","-0.103","-3.24","-0.135","-3.36","-0.14","29.2%","-2.5","-0.1","4.2%","4.2%"
"[object Object]","2025","Tahj Brooks","Bengals","6","-2.57","-0.429","-2.77","-0.461","-1.86","-0.31","16.7%","-2.6","-0.1","0.0%","0.0%"
"[object Object]","2025","Rhamondre Stevenson","Patriots","57","-2.66","-0.047","-4.56","-0.080","-10.31","-0.18","36.8%","-2.7","-0.1","14.0%","12.3%"
"[object Object]","2025","Ollie Gordon II","Dolphins","26","-3.00","-0.115","-3.94","-0.151","-3.39","-0.13","38.5%","-3.1","-0.1","15.4%","11.5%"
"[object Object]","2025","Woody Marks","Texans","61","-3.02","-0.049","-4.96","-0.081","-7.73","-0.13","41.0%","-3.0","-0.1","8.2%","8.2%"
"[object Object]","2025","Michael Carter","Cardinals","39","-3.55","-0.091","-4.85","-0.124","-10.93","-0.28","30.8%","-3.6","-0.1","2.6%","12.8%"
"[object Object]","2025","D'Andre Swift","Bears","53","-3.74","-0.071","-5.45","-0.103","-6.30","-0.12","37.7%","-3.8","-0.1","11.3%","15.1%"
"[object Object]","2025","Isiah Pacheco","Chiefs","22","-3.75","-0.170","-4.51","-0.205","-4.57","-0.21","31.8%","-3.8","-0.1","4.5%","0.0%"
"[object Object]","2025","Jalen Hurts","Eagles","17","-3.85","-0.226","-4.44","-0.261","-4.26","-0.25","23.5%","-3.8","-0.1","11.8%","17.6%"
"[object Object]","2025","Caleb Williams","Bears","10","-3.96","-0.396","-4.30","-0.430","0.08","0.01","40.0%","-3.9","-0.1","20.0%","20.0%"
"[object Object]","2025","Kimani Vidal","Chargers","57","-5.38","-0.094","-7.15","-0.125","-3.06","-0.05","52.6%","-5.3","-0.2","10.5%","12.3%"
"[object Object]","2025","George Holani","Seahawks","9","-5.38","-0.598","-5.72","-0.635","-6.27","-0.70","33.3%","-5.4","-0.2","11.1%","44.4%"
"[object Object]","2025","Rico Dowdle","Panthers","79","-5.49","-0.069","-8.16","-0.103","-7.17","-0.09","41.8%","-5.6","-0.2","8.9%","10.1%"
"[object Object]","2025","Ty Johnson","Bills","7","-5.49","-0.784","-5.70","-0.815","-5.55","-0.79","42.9%","-5.5","-0.2","14.3%","42.9%"
"[object Object]","2025","Josh Jacobs","Packers","66","-5.51","-0.083","-7.72","-0.117","-4.68","-0.07","47.0%","-5.6","-0.2","10.6%","12.1%"
"[object Object]","2025","Julius Chestnut","Titans","7","-6.01","-0.859","-6.24","-0.892","-4.04","-0.58","42.9%","-6.0","-0.2","0.0%","28.6%"
"[object Object]","2025","Bam Knight","Cardinals","35","-6.71","-0.192","-7.75","-0.221","-16.37","-0.47","22.9%","-6.6","-0.2","8.6%","22.9%"
"[object Object]","2025","Samaje Perine","Bengals","17","-7.03","-0.413","-7.55","-0.444","-2.29","-0.13","35.3%","-7.0","-0.2","5.9%","11.8%"
"[object Object]","2025","Bo Nix","Broncos","16","-7.19","-0.450","-7.71","-0.482","-8.20","-0.51","31.3%","-7.1","-0.2","6.3%","18.8%"
"[object Object]","2025","Bucky Irving","Buccaneers","64","-7.28","-0.114","-9.34","-0.146","-15.62","-0.24","37.5%","-7.3","-0.2","9.4%","18.8%"
"[object Object]","2025","Devin Singletary","Giants","43","-7.28","-0.169","-8.67","-0.202","-9.61","-0.22","37.2%","-7.3","-0.2","7.0%","18.6%"
"[object Object]","2025","Breece Hall","Jets","49","-7.82","-0.160","-9.52","-0.194","-16.45","-0.34","40.8%","-7.9","-0.2","8.2%","16.3%"
"[object Object]","2025","Quinshon Judkins","Browns","90","-9.51","-0.106","-12.62","-0.140","-7.76","-0.09","37.8%","-9.7","-0.3","13.3%","13.3%"
