"Rank","Season","Player","Team","Pos.","Snaps","Rush Snaps","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","Positive%","PAR","WAR"
"[object Object]","2025","Dax Hill","Bengals","CB","973","399","16.83","0.042","3.92","0.010","50.1%","3.4","0.1"
"[object Object]","2025","Kyle Hamilton","Ravens","S","962","339","16.82","0.050","6.23","0.018","37.8%","5.6","0.2"
"[object Object]","2025","Christian Gonzalez","Patriots","CB","734","285","16.29","0.057","6.39","0.022","48.8%","6.0","0.2"
"[object Object]","2025","Brian Branch","Lions","S","710","294","16.26","0.055","6.98","0.024","46.3%","6.5","0.2"
"[object Object]","2025","BJ Hill","Bengals","DT","646","313","16.04","0.051","6.09","0.019","49.5%","9.1","0.3"
"[object Object]","2025","Evan Williams","Packers","S","854","336","15.82","0.047","4.86","0.014","46.1%","4.2","0.1"
"[object Object]","2025","Jordan Poyer","Bills","S","410","222","15.78","0.071","8.13","0.037","50.9%","7.7","0.2"
"[object Object]","2025","Zyon McCollum","Buccaneers","CB","732","263","15.76","0.060","6.85","0.026","41.8%","6.5","0.2"
"[object Object]","2025","Bryan Cook","Chiefs","S","825","349","15.71","0.045","4.19","0.012","41.8%","3.6","0.1"
"[object Object]","2025","Nick Scott","Panthers","S","997","435","15.53","0.036","1.37","0.003","44.6%","0.6","0.0"
"[object Object]","2025","Roquan Smith","Ravens","LB","914","315","15.51","0.049","5.80","0.018","37.5%","8.2","0.3"
"[object Object]","2025","Quan Martin","Commanders","S","882","357","15.37","0.043","4.11","0.012","48.7%","3.5","0.1"
"[object Object]","2025","Jalen Redmond","Vikings","DT","760","404","15.30","0.038","1.83","0.005","45.0%","5.8","0.2"
"[object Object]","2025","Renardo Green","49ers","CB","774","303","15.29","0.050","5.21","0.017","46.2%","4.8","0.1"
"[object Object]","2025","Andrew Wingard","Jaguars","S","910","293","14.99","0.051","5.35","0.018","42.7%","4.8","0.1"
"[object Object]","2025","Tykee Smith","Buccaneers","S","855","275","14.97","0.054","5.53","0.020","40.4%","5.0","0.2"
"[object Object]","2025","Elandon Roberts","Raiders","LB","631","361","14.93","0.041","3.73","0.010","44.0%","6.4","0.2"
"[object Object]","2025","Jaelan Phillips","2 teams","LB","789","328","14.78","0.045","4.39","0.013","42.4%","6.8","0.2"
"[object Object]","2025","Cole Bishop","Bills","S","868","387","14.66","0.038","1.04","0.003","49.9%","0.3","0.0"
"[object Object]","2025","Jaquan Brisker","Bears","S","1024","430","14.65","0.034","0.12","0.000","46.5%","-0.7","-0.0"
"[object Object]","2025","Xavier Watts","Falcons","S","1043","420","14.65","0.035","1.07","0.003","46.2%","0.3","0.0"
"[object Object]","2025","Jaylinn Hawkins","Patriots","S","799","319","14.63","0.046","3.85","0.012","49.5%","3.3","0.1"
"[object Object]","2025","Antoine Winfield Jr.","Buccaneers","S","994","351","14.54","0.041","2.62","0.007","41.0%","2.0","0.1"
"[object Object]","2025","Grant Delpit","Browns","S","973","422","14.53","0.034","0.28","0.001","43.8%","-0.5","-0.0"
"[object Object]","2025","Geno Stone","Bengals","S","975","404","14.49","0.036","1.60","0.004","50.0%","0.9","0.0"
"[object Object]","2025","Jessie Bates III","Falcons","S","1040","417","14.44","0.035","0.95","0.002","46.0%","0.2","0.0"
"[object Object]","2025","Carlton Davis III","Patriots","CB","882","344","14.41","0.042","2.48","0.007","48.5%","2.0","0.1"
"[object Object]","2025","Keisean Nixon","Packers","CB","962","400","14.34","0.036","1.58","0.004","46.3%","1.0","0.0"
"[object Object]","2025","Nick Cross","Colts","S","1064","403","14.25","0.035","1.91","0.005","42.4%","1.2","0.0"
"[object Object]","2025","Isaiah Pola-Mao","Raiders","S","1028","461","14.06","0.030","-0.59","-0.001","45.8%","-1.4","-0.0"
"[object Object]","2025","Jalen Thompson","Cardinals","S","934","377","14.01","0.037","2.57","0.007","43.2%","1.9","0.1"
"[object Object]","2025","Alohi Gilman","2 teams","S","976","330","13.88","0.042","3.04","0.009","38.5%","2.4","0.1"
"[object Object]","2025","Jevon Holland","Giants","S","787","310","13.85","0.045","4.22","0.014","45.2%","3.7","0.1"
"[object Object]","2025","Kool-Aid McKinstry","Saints","CB","1030","464","13.34","0.029","-1.36","-0.003","41.4%","-1.9","-0.1"
"[object Object]","2025","Lavonte David","Buccaneers","LB","979","350","13.29","0.038","1.43","0.004","41.1%","4.0","0.1"
"[object Object]","2025","Donovan Wilson","Cowboys","S","868","333","13.19","0.040","2.63","0.008","44.4%","2.0","0.1"
"[object Object]","2025","Paulson Adebo","Giants","CB","717","290","13.18","0.045","4.18","0.014","42.8%","3.8","0.1"
"[object Object]","2025","Devin White","Raiders","LB","1066","477","13.16","0.028","-1.77","-0.004","44.7%","1.8","0.1"
"[object Object]","2025","Jalen Ramsey","Steelers","CB","1056","412","13.10","0.032","0.34","0.001","43.4%","-0.2","-0.0"
"[object Object]","2025","Grover Stewart","Colts","DT","660","318","12.73","0.040","2.78","0.009","42.5%","6.0","0.2"
"[object Object]","2025","Jaylen Watson","Chiefs","CB","827","336","12.68","0.038","1.39","0.004","42.0%","1.0","0.0"
"[object Object]","2025","Craig Woodson","Patriots","S","906","350","12.67","0.036","0.50","0.001","48.9%","-0.1","-0.0"
"[object Object]","2025","Derwin James Jr.","Chargers","S","848","326","12.61","0.039","1.40","0.004","42.9%","0.8","0.0"
"[object Object]","2025","Harrison Phillips","Jets","DT","664","342","12.57","0.037","1.77","0.005","43.3%","5.1","0.2"
"[object Object]","2025","Carl Granderson","Saints","DE","724","313","12.54","0.040","2.36","0.008","42.8%","5.7","0.2"
"[object Object]","2025","Drue Tranquill","Chiefs","LB","847","378","12.40","0.033","-0.10","-0.000","42.1%","2.7","0.1"
"[object Object]","2025","Brandon Jones","Broncos","S","817","272","12.39","0.046","3.68","0.014","42.3%","3.2","0.1"
"[object Object]","2025","Isaiah Rodgers","Vikings","CB","924","429","12.34","0.029","-2.13","-0.005","47.1%","-2.7","-0.1"
"[object Object]","2025","Mike Jackson Sr.","Panthers","CB","1000","440","12.23","0.028","-2.10","-0.005","45.0%","-2.7","-0.1"
"[object Object]","2025","Robert Spillane","Patriots","LB","702","250","12.22","0.049","3.46","0.014","46.4%","5.3","0.2"
"[object Object]","2025","Malik Mustapha","49ers","S","663","251","12.18","0.049","3.99","0.016","44.2%","3.5","0.1"
"[object Object]","2025","Isaiah McDuffie","Packers","LB","484","265","12.14","0.046","3.57","0.013","41.5%","5.6","0.2"
"[object Object]","2025","DaRon Bland","Cowboys","CB","701","269","12.09","0.045","3.73","0.014","46.8%","3.4","0.1"
"[object Object]","2025","Devon Witherspoon","Seahawks","CB","691","247","11.96","0.048","3.82","0.015","41.7%","3.5","0.1"
"[object Object]","2025","Upton Stout","49ers","CB","563","163","11.93","0.073","6.55","0.040","47.2%","6.4","0.2"
"[object Object]","2025","Will Anderson Jr.","Texans","DE","656","215","11.86","0.055","4.55","0.021","41.4%","6.8","0.2"
"[object Object]","2025","Nate Wiggins","Ravens","CB","984","330","11.61","0.035","1.14","0.003","38.2%","0.7","0.0"
"[object Object]","2025","Eric Wilson","Vikings","LB","924","469","11.56","0.025","-4.13","-0.009","46.1%","-0.6","-0.0"
"[object Object]","2025","Dallas Turner","Vikings","LB","675","313","11.45","0.037","1.11","0.004","49.8%","3.5","0.1"
"[object Object]","2025","Camryn Bynum","Colts","S","1056","399","11.41","0.029","-0.80","-0.002","42.1%","-1.6","-0.0"
"[object Object]","2025","Trent McDuffie","Chiefs","CB","657","255","11.34","0.044","2.48","0.010","43.5%","2.2","0.1"
"[object Object]","2025","A'Shawn Robinson","Panthers","DT","637","302","11.09","0.037","1.16","0.004","44.7%","4.1","0.1"
"[object Object]","2025","Jonas Sanker","Saints","S","938","436","11.08","0.025","-2.74","-0.006","41.7%","-3.5","-0.1"
"[object Object]","2025","Javon Bullard","Packers","S","693","249","10.96","0.044","2.89","0.012","47.8%","2.4","0.1"
"[object Object]","2025","Zack Baun","Eagles","LB","999","401","10.87","0.027","-1.63","-0.004","48.4%","1.4","0.0"
"[object Object]","2025","Tyler Nubin","Giants","S","765","306","10.86","0.035","1.67","0.005","47.1%","1.1","0.0"
"[object Object]","2025","Leonard Williams","Seahawks","DE","771","256","10.82","0.042","2.64","0.010","41.8%","5.4","0.2"
"[object Object]","2025","Cooper DeJean","Eagles","CB","998","400","10.81","0.027","-1.66","-0.004","48.3%","-2.2","-0.1"
"[object Object]","2025","Jared Verse","Rams","LB","818","313","10.75","0.034","0.82","0.003","45.0%","3.2","0.1"
"[object Object]","2025","Deommodore Lenoir","49ers","CB","1011","391","10.72","0.027","-2.13","-0.005","45.8%","-2.6","-0.1"
"[object Object]","2025","Mekhi Blackmon","Colts","CB","748","258","10.53","0.041","2.52","0.010","42.2%","2.2","0.1"
"[object Object]","2025","Ernest Jones IV","Seahawks","LB","861","309","10.52","0.034","0.51","0.002","40.5%","2.8","0.1"
"[object Object]","2025","Ji'Ayir Brown","49ers","S","759","292","10.51","0.036","0.88","0.003","44.2%","0.3","0.0"
"[object Object]","2025","Amani Hooker","Titans","S","877","360","10.45","0.029","-1.52","-0.004","43.1%","-2.2","-0.1"
"[object Object]","2025","Alontae Taylor","Saints","CB","1015","458","9.96","0.022","-4.58","-0.010","41.5%","-5.2","-0.2"
"[object Object]","2025","Marlon Humphrey","Ravens","CB","844","294","9.78","0.033","0.63","0.002","36.7%","0.2","0.0"
"[object Object]","2025","Edgerrin Cooper","Packers","LB","991","416","9.68","0.023","-3.74","-0.009","46.2%","-0.6","-0.0"
"[object Object]","2025","Josh Metellus","Vikings","S","833","384","9.65","0.025","-2.82","-0.007","47.7%","-3.5","-0.1"
"[object Object]","2025","Jacob Parrish","Buccaneers","CB","717","220","9.55","0.043","2.06","0.009","42.7%","1.8","0.1"
"[object Object]","2025","Danielle Hunter","Texans","DE","692","224","9.53","0.043","1.98","0.009","41.5%","4.4","0.1"
"[object Object]","2025","Jalen Pitre","Texans","S","714","260","9.51","0.037","0.38","0.001","42.3%","-0.1","-0.0"
"[object Object]","2025","Malaki Starks","Ravens","S","1022","352","9.46","0.027","-1.41","-0.004","38.6%","-2.1","-0.1"
"[object Object]","2025","Budda Baker","Cardinals","S","992","410","9.45","0.023","-3.13","-0.008","43.4%","-3.9","-0.1"
"[object Object]","2025","Chamarri Conner","Chiefs","S","975","404","9.44","0.023","-3.94","-0.010","42.6%","-4.7","-0.1"
"[object Object]","2025","Tatum Bethune","49ers","LB","479","189","9.34","0.049","3.35","0.018","44.4%","4.8","0.1"
"[object Object]","2025","Calen Bullock","Texans","S","940","343","9.27","0.027","-2.60","-0.008","40.8%","-3.3","-0.1"
"[object Object]","2025","Quentin Lake","Rams","S","602","229","9.06","0.040","1.86","0.008","42.4%","1.4","0.0"
"[object Object]","2025","Azeez Al-Shaair","Texans","LB","873","310","8.63","0.028","-1.95","-0.006","40.0%","0.4","0.0"
"[object Object]","2025","Alex Singleton","Broncos","LB","975","346","8.60","0.025","-2.57","-0.007","41.3%","0.1","0.0"
"[object Object]","2025","Drake Thomas","Seahawks","LB","726","257","8.59","0.033","0.16","0.001","41.2%","2.1","0.1"
"[object Object]","2025","Tre'von Moehrig","Panthers","S","950","417","8.47","0.020","-5.09","-0.012","43.6%","-5.8","-0.2"
"[object Object]","2025","Byron Murphy II","Seahawks","DT","752","272","8.46","0.031","-0.42","-0.002","41.9%","2.3","0.1"
"[object Object]","2025","Riley Moss","Broncos","CB","1027","350","8.34","0.024","-3.04","-0.009","42.3%","-3.5","-0.1"
"[object Object]","2025","Dadrion Taylor-Demerson","Cardinals","S","426","144","8.28","0.057","4.37","0.030","45.1%","4.1","0.1"
"[object Object]","2025","Payton Wilson","Steelers","LB","699","218","8.26","0.038","1.61","0.007","44.0%","3.3","0.1"
"[object Object]","2025","Andru Phillips","Giants","CB","687","214","8.15","0.038","1.20","0.006","51.4%","0.9","0.0"
"[object Object]","2025","Justin Reid","Saints","S","795","364","8.03","0.022","-3.52","-0.010","41.2%","-4.2","-0.1"
"[object Object]","2025","SirVocea Dennis","Buccaneers","LB","873","306","7.85","0.026","-2.59","-0.008","40.5%","-0.3","-0.0"
"[object Object]","2025","Akeem Davis-Gaither","Cardinals","LB","742","343","7.77","0.023","-2.32","-0.007","39.9%","0.1","0.0"
"[object Object]","2025","Trenton Simpson","Ravens","LB","392","156","7.74","0.050","3.23","0.021","35.9%","4.3","0.1"
"[object Object]","2025","Quay Walker","Packers","LB","849","350","7.71","0.022","-3.30","-0.009","47.1%","-0.7","-0.0"
"[object Object]","2025","Ty Okada","Seahawks","S","701","225","7.45","0.033","-0.19","-0.001","40.4%","-0.6","-0.0"
"[object Object]","2025","Myles Garrett","Browns","DE","834","360","7.33","0.020","-4.85","-0.013","45.6%","-1.0","-0.0"
"[object Object]","2025","Teddye Buchanan","Ravens","LB","625","283","7.27","0.026","-1.84","-0.007","39.6%","0.3","0.0"
"[object Object]","2025","T.J. Edwards","Bears","LB","546","229","7.27","0.032","-0.19","-0.001","41.5%","1.5","0.0"
"[object Object]","2025","Terrel Bernard","Bills","LB","601","269","7.16","0.027","-2.04","-0.008","50.6%","-0.0","-0.0"
"[object Object]","2025","Tyrel Dodson","Dolphins","LB","870","369","7.13","0.019","-5.27","-0.014","43.4%","-2.5","-0.1"
"[object Object]","2025","Kenny Moore II","Colts","CB","685","228","7.10","0.031","-0.11","-0.000","41.7%","-0.4","-0.0"
"[object Object]","2025","Jack Gibbens","Patriots","LB","473","234","7.09","0.030","-0.84","-0.004","45.3%","0.9","0.0"
"[object Object]","2025","Marcus Jones","Patriots","CB","686","219","7.06","0.032","-0.45","-0.002","49.3%","-0.7","-0.0"
"[object Object]","2025","Ashtyn Davis","Dolphins","S","681","283","6.98","0.025","-2.40","-0.008","44.2%","-2.9","-0.1"
"[object Object]","2025","Demetrius Knight Jr.","Bengals","LB","766","322","6.96","0.022","-3.45","-0.011","48.1%","-1.1","-0.0"
"[object Object]","2025","Kamren Kinchens","Rams","S","801","253","6.92","0.027","-1.14","-0.005","42.3%","-1.6","-0.0"
"[object Object]","2025","Jeremy Reaves","Commanders","S","675","292","6.82","0.023","-2.15","-0.007","47.6%","-2.7","-0.1"
"[object Object]","2025","Rasul Douglas","Dolphins","CB","810","337","6.82","0.020","-4.49","-0.013","46.3%","-4.9","-0.2"
"[object Object]","2025","Mike Sainristil","Commanders","CB","976","405","6.60","0.016","-5.85","-0.014","48.9%","-6.4","-0.2"
"[object Object]","2025","C.J. Gardner-Johnson","2 teams","S","734","289","6.56","0.023","-2.71","-0.009","46.7%","-3.3","-0.1"
"[object Object]","2025","Dee Alford","Falcons","CB","552","184","6.47","0.035","0.29","0.002","50.5%","0.1","0.0"
"[object Object]","2025","Christian Elliss","Patriots","LB","481","193","6.46","0.033","-0.24","-0.001","53.9%","1.2","0.0"
"[object Object]","2025","Pete Werner","Saints","LB","658","294","6.37","0.022","-3.02","-0.010","38.4%","-0.9","-0.0"
"[object Object]","2025","Daiyan Henley","Chargers","LB","879","331","6.28","0.019","-5.13","-0.016","42.9%","-2.7","-0.1"
"[object Object]","2025","Coby Bryant","Seahawks","S","924","327","6.24","0.019","-4.06","-0.012","41.9%","-4.7","-0.1"
"[object Object]","2025","Harrison Smith","Vikings","S","761","352","6.02","0.017","-5.80","-0.016","46.3%","-6.5","-0.2"
"[object Object]","2025","Christian Rozeboom","Panthers","LB","790","375","5.64","0.015","-6.77","-0.018","42.9%","-4.0","-0.1"
"[object Object]","2025","Tony Jefferson","Chargers","S","469","164","5.61","0.034","0.11","0.001","43.3%","-0.2","-0.0"
"[object Object]","2025","Adoree' Jackson","Eagles","CB","568","209","5.47","0.026","-1.05","-0.005","45.9%","-1.3","-0.0"
"[object Object]","2025","Matt Milano","Bills","LB","476","255","5.37","0.021","-3.87","-0.015","48.6%","-2.0","-0.1"
"[object Object]","2025","Reddy Steward","Cowboys","CB","496","180","5.28","0.029","-0.76","-0.004","45.6%","-1.0","-0.0"
"[object Object]","2025","Nick Emmanwori","Seahawks","S","726","238","5.22","0.022","-2.72","-0.011","40.8%","-3.2","-0.1"
"[object Object]","2025","Noah Sewell","Bears","LB","388","178","5.19","0.029","-1.04","-0.006","48.3%","0.3","0.0"
"[object Object]","2025","T.J. Watt","Steelers","DE","776","297","4.96","0.017","-4.09","-0.014","47.8%","-0.8","-0.0"
"[object Object]","2025","Alex Anzalone","Lions","LB","953","370","4.89","0.013","-6.84","-0.018","48.1%","-4.1","-0.1"
"[object Object]","2025","Taron Johnson","Bills","CB","547","191","4.82","0.025","-1.78","-0.009","54.5%","-2.0","-0.1"
"[object Object]","2025","Divine Deablo","Falcons","LB","712","265","4.18","0.016","-5.02","-0.019","47.5%","-3.0","-0.1"
"[object Object]","2025","Jihaad Campbell","Eagles","LB","676","283","4.12","0.015","-4.95","-0.017","44.2%","-2.8","-0.1"
"[object Object]","2025","Barrett Carter","Bengals","LB","759","333","3.78","0.011","-7.07","-0.021","49.2%","-4.6","-0.1"
"[object Object]","2025","Quincy Williams","Jets","LB","745","342","3.61","0.011","-6.84","-0.020","42.7%","-4.3","-0.1"
"[object Object]","2025","Henry To'o To'o","Texans","LB","776","306","3.48","0.011","-7.10","-0.023","42.8%","-4.8","-0.1"
"[object Object]","2025","Nakobe Dean","Eagles","LB","390","156","2.79","0.018","-1.86","-0.012","50.6%","-0.7","-0.0"
"[object Object]","2025","Ja'Quan McMillian","Broncos","CB","698","164","2.67","0.016","-2.64","-0.016","48.2%","-2.9","-0.1"
"[object Object]","2025","Devin Lloyd","Jaguars","LB","671","243","2.44","0.010","-5.71","-0.023","44.9%","-3.8","-0.1"
"[object Object]","2025","Shemar James","Cowboys","LB","509","205","2.35","0.011","-4.11","-0.020","51.2%","-2.6","-0.1"
"[object Object]","2025","Chau Smith-Wade","Panthers","CB","598","215","2.27","0.011","-4.64","-0.022","47.9%","-4.9","-0.2"
"[object Object]","2025","Mack Wilson Sr.","Cardinals","LB","495","175","2.07","0.012","-3.30","-0.019","42.9%","-2.0","-0.1"
"[object Object]","2025","Kaden Elliss","Falcons","LB","1052","425","1.85","0.004","-11.94","-0.028","46.4%","-8.7","-0.3"
"[object Object]","2025","Brian Burns","Giants","LB","820","307","1.45","0.005","-8.59","-0.028","50.2%","-6.3","-0.2"
"[object Object]","2025","Omar Speights","Rams","LB","640","308","1.33","0.004","-8.68","-0.028","40.3%","-6.4","-0.2"
"[object Object]","2025","Kyle Dugger","2 teams","S","703","261","1.31","0.005","-7.42","-0.028","42.9%","-7.9","-0.2"
"[object Object]","2025","Dee Winters","49ers","LB","942","354","1.23","0.003","-10.68","-0.030","46.9%","-8.0","-0.2"
"[object Object]","2025","Derrick Barnes","Lions","LB","900","382","1.09","0.003","-11.27","-0.030","47.1%","-8.5","-0.3"
"[object Object]","2025","Logan Wilson","2 teams","LB","559","232","0.56","0.002","-6.72","-0.029","48.3%","-5.0","-0.2"
"[object Object]","2025","Kenneth Murray Jr.","Cowboys","LB","827","331","0.15","0.000","-10.21","-0.031","46.5%","-7.8","-0.2"
"[object Object]","2025","Cody Simon","Cardinals","LB","541","260","-0.45","-0.002","-7.97","-0.031","42.7%","-6.2","-0.2"
"[object Object]","2025","Patrick Queen","Steelers","LB","1061","392","-0.84","-0.002","-13.06","-0.033","43.6%","-10.1","-0.3"
"[object Object]","2025","Zaire Franklin","Colts","LB","1065","403","-0.87","-0.002","-13.19","-0.033","42.2%","-10.2","-0.3"
"[object Object]","2025","Frankie Luvu","Commanders","LB","1056","449","-1.19","-0.003","-15.22","-0.034","49.0%","-11.9","-0.4"
"[object Object]","2025","Trevin Wallace","Panthers","LB","597","246","-4.11","-0.017","-12.50","-0.051","44.3%","-10.7","-0.3"
"[object Object]","2025","Cody Barton","Titans","LB","1009","413","-4.13","-0.010","-17.75","-0.043","41.9%","-14.7","-0.5"
