Rank,Season,Player,Team,Pos.,Cov. Snaps,Tgts,Points Saved,PS Per Play,Points Above Avg,PAA Per Play,EPA,EPA/Tgt,Positive%,PAR,WAR,Boom%,Bust%
85,2024,Cor'Dale Flott,Giants,CB,336,40,14.112601,0.042636,3.171667,0.009582,8.301483,0.207537,50,6.534608,0.204195,0.25,0.1
86,2024,Josh Jobe,Seahawks,CB,286,40,1.520554,0.005316,-7.653847,-0.026761,7.903633,0.19759,50,-5.698495,-0.17806,0.375,0.2
87,2024,Garrett Williams,Cardinals,CB,489,40,18.385433,0.037986,2.419995,0.004999,-7.247127,-0.181178,35,5.661438,0.176917,0.225,0.275
88,2024,Josh Newton,Bengals,CB,319,40,7.746824,0.024515,-2.464835,-0.0078,0.240375,0.006009,47.5,-0.267731,-0.00836,0.3,0.275
89,2024,Jourdan Lewis,Cowboys,CB,488,39,13.967058,0.028977,-1.681509,-0.003488,-7.171902,-0.183894,43.589745,3.014536,0.094204,0.23076923,0.25641027
90,2024,Julian Love,Seahawks,S,615,39,32.285126,0.053013,12.737319,0.020915,-3.679467,-0.094345,38.46154,15.469492,0.483375,0.12820514,0.20512821
91,2024,Starling Thomas V,Cardinals,CB,466,39,17.180166,0.037348,2.077439,0.004516,0.012798,0.000328,41.025642,5.163115,0.161334,0.2820513,0.2820513
92,2024,Josh Metellus,Vikings,S,563,38,12.946599,0.023411,-4.48952,-0.008118,19.29396,0.507735,65.789474,-2.200712,-0.068762,0.28947368,0.078947365
93,2024,Isaac Yiadom,49ers,CB,301,38,-1.240753,-0.004122,-11.329219,-0.037638,24.840792,0.653705,55.263157,-9.276143,-0.289862,0.34210527,0.10526316
94,2024,Jeremy Chinn,Commanders,S,500,38,16.347736,0.033092,-0.251977,-0.00051,12.714075,0.33458,52.63158,1.658259,0.051819,0.31578946,0.15789473
95,2024,Max Melton,Cardinals,CB,335,38,18.10197,0.05436,7.10162,0.021326,19.604284,0.515902,55.263157,9.388153,0.293357,0.36842105,0.13157895
96,2024,T.J. Edwards,Bears,LB,493,37,20.135162,0.0423,4.417329,0.00928,5.607519,0.151554,51.351353,9.298609,0.290558,0.16216215,0.10810811
97,2024,Brandon Jones,Broncos,S,587,37,24.71383,0.042318,6.511155,0.011149,-0.678441,-0.018336,54.054054,8.904394,0.278234,0.27027026,0.1891892
98,2024,Cooper DeJean,Eagles,CB,388,37,17.538301,0.046032,4.317727,0.011332,-17.957172,-0.485328,43.243244,6.923571,0.216344,0.1891892,0.3243243
99,2024,Chamarri Conner,Chiefs,CB,360,37,10.055992,0.028649,-1.963381,-0.005593,8.930314,0.241359,62.162163,0.336773,0.010519,0.3783784,0.1891892
100,2024,Jalen Pitre,Texans,S,360,37,1.826953,0.00519,-9.81725,-0.027889,13.409016,0.362405,56.756756,-8.471427,-0.264712,0.35135135,0.24324325
101,2024,Decamerion Richardson,Raiders,CB,330,37,3.19811,0.00972,-7.39639,-0.022481,25.490774,0.688939,56.756756,-5.142577,-0.160691,0.3783784,0.054054055
