"Rank","Season","Player","Team","Pos.","Pass Snaps","Pass Rushes","Points Saved","PS Per Rush","Points Above Avg","Positive%","PAR","WAR"
"[object Object]","2025","Elijah Roberts","Buccaneers","DT","315","307","9.7","0.032","-0.00","41.0%","4.0","0.1"
"[object Object]","2025","Derek Barnett","Texans","DE","184","183","9.6","0.052","0.02","42.0%","5.7","0.2"
"[object Object]","2025","Daron Payne","Commanders","DT","347","344","9.3","0.027","-0.01","52.0%","3.3","0.1"
"[object Object]","2025","A'Shawn Robinson","Panthers","DT","333","331","9.3","0.028","-0.01","48.0%","3.0","0.1"
"[object Object]","2025","Jack Campbell","Lions","LB","632","66","9.2","0.139","0.11","4.0%","7.8","0.2"
"[object Object]","2025","Malcolm Koonce","Raiders","DE","326","304","9.1","0.030","-0.00","46.0%","3.5","0.1"
"[object Object]","2025","Alim McNeill","Lions","DT","290","287","9.1","0.032","0.00","42.0%","4.5","0.1"
"[object Object]","2025","Braden Fiske","Rams","DT","343","340","9.0","0.026","-0.01","41.0%","3.3","0.1"
"[object Object]","2025","Shelby Harris","Browns","DT","247","246","9.0","0.037","0.00","41.0%","4.5","0.1"
"[object Object]","2025","Eric Wilson","Vikings","LB","454","167","8.9","0.053","0.02","14.0%","5.2","0.2"
"[object Object]","2025","Sebastian Joseph-Day","Titans","DT","216","215","8.7","0.040","0.01","54.0%","4.7","0.1"
"[object Object]","2025","Dorance Armstrong","Commanders","LB","134","129","8.6","0.067","0.03","45.0%","6.0","0.2"
"[object Object]","2025","Dante Fowler Jr.","Cowboys","DE","239","229","8.5","0.037","0.00","48.0%","4.3","0.1"
"[object Object]","2025","Dondrea Tillman","Broncos","LB","237","196","8.5","0.043","0.01","38.0%","4.4","0.1"
"[object Object]","2025","SirVocea Dennis","Buccaneers","LB","567","79","8.5","0.108","0.07","6.0%","6.8","0.2"
"[object Object]","2025","James Houston","Cowboys","LB","182","165","8.2","0.050","0.02","47.0%","6.6","0.2"
"[object Object]","2025","D.J. Jones","Broncos","DT","201","199","8.0","0.040","0.01","41.0%","4.5","0.1"
