"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Christian Gonzalez","Patriots","CB","447","61","28.09","0.063","12.21","0.027","-17.68","-0.29","29.5%","15.6","0.5","19.7%","26.2%"
"[object Object]","2025","Xavier Watts","Falcons","S","619","23","27.60","0.045","7.44","0.012","10.16","0.44","56.5%","10.7","0.3","47.8%","21.7%"
"[object Object]","2025","Quinyon Mitchell","Eagles","CB","574","81","27.44","0.048","9.01","0.016","-5.92","-0.07","33.3%","13.9","0.4","22.2%","22.2%"
"[object Object]","2025","Ja'Quan McMillian","Broncos","CB","500","55","27.04","0.054","10.59","0.021","-2.42","-0.04","40.0%","14.6","0.5","23.6%","23.6%"
"[object Object]","2025","Jack Campbell","Lions","LB","566","30","26.90","0.050","9.39","0.018","-6.28","-0.21","30.0%","10.9","0.3","20.0%","16.7%"
"[object Object]","2025","Riq Woolen","Seahawks","CB","530","55","26.84","0.051","9.42","0.018","-6.67","-0.12","38.2%","13.4","0.4","20.0%","18.2%"
"[object Object]","2025","Rasul Douglas","Dolphins","CB","465","63","26.81","0.058","10.82","0.023","-10.27","-0.16","42.9%","14.4","0.4","20.6%","20.6%"
"[object Object]","2025","Robert Spillane","Patriots","LB","413","26","26.58","0.068","12.40","0.032","-6.57","-0.25","50.0%","14.5","0.4","26.9%","26.9%"
"[object Object]","2025","Carlton Davis III","Patriots","CB","531","53","25.92","0.049","6.90","0.013","-4.09","-0.08","41.5%","11.4","0.4","35.8%","26.4%"
"[object Object]","2025","Montaric Brown","Jaguars","CB","463","54","25.91","0.056","10.40","0.023","-11.64","-0.22","35.2%","13.8","0.4","20.4%","20.4%"
"[object Object]","2025","Donte Jackson","Chargers","CB","373","40","25.84","0.069","12.25","0.033","-13.79","-0.34","32.5%","15.0","0.5","20.0%","30.0%"
"[object Object]","2025","Jourdan Lewis","Jaguars","CB","377","33","25.82","0.070","13.44","0.036","-9.38","-0.28","42.4%","16.5","0.5","15.2%","30.3%"
"[object Object]","2025","Christian Benford","Bills","CB","427","44","25.74","0.061","10.61","0.025","-3.66","-0.08","43.2%","13.8","0.4","27.3%","31.8%"
"[object Object]","2025","Zack Baun","Eagles","LB","528","31","25.55","0.052","9.55","0.019","-16.64","-0.54","25.8%","11.1","0.3","12.9%","25.8%"
"[object Object]","2025","Calen Bullock","Texans","S","597","32","25.44","0.043","4.33","0.007","-14.38","-0.45","31.3%","7.5","0.2","25.0%","34.4%"
"[object Object]","2025","Jaycee Horn","Panthers","CB","513","46","25.34","0.049","7.80","0.015","-7.65","-0.17","37.0%","11.7","0.4","15.2%","19.6%"
"[object Object]","2025","Coby Bryant","Seahawks","S","591","24","25.28","0.043","6.43","0.011","5.87","0.24","45.8%","9.6","0.3","33.3%","33.3%"
"[object Object]","2025","Antoine Winfield Jr.","Buccaneers","S","582","27","25.25","0.044","5.31","0.009","-2.15","-0.08","44.4%","8.5","0.3","33.3%","29.6%"
"[object Object]","2025","A.J. Terrell","Falcons","CB","547","60","25.11","0.046","7.50","0.014","2.03","0.03","46.7%","11.7","0.4","26.7%","18.3%"
"[object Object]","2025","Cobie Durant","Rams","CB","476","58","24.76","0.052","9.21","0.019","-15.04","-0.26","46.6%","12.9","0.4","24.1%","25.9%"
"[object Object]","2025","Edgerrin Cooper","Packers","LB","524","35","24.70","0.049","8.22","0.016","-12.17","-0.35","40.0%","9.9","0.3","14.3%","22.9%"
"[object Object]","2025","Kam Curl","Rams","S","636","35","24.63","0.039","4.07","0.006","11.06","0.32","54.3%","7.5","0.2","31.4%","8.6%"
"[object Object]","2025","Eric Stokes","Raiders","CB","550","46","24.48","0.045","7.00","0.013","-1.23","-0.03","37.0%","11.1","0.3","21.7%","17.4%"
"[object Object]","2025","Marcus Jones","Patriots","CB","443","41","24.36","0.056","8.63","0.020","7.51","0.18","56.1%","12.0","0.4","29.3%","17.1%"
"[object Object]","2025","Foyesade Oluokun","Jaguars","LB","554","33","24.23","0.046","6.63","0.013","-9.26","-0.28","42.4%","8.5","0.3","12.1%","18.2%"
"[object Object]","2025","Kamren Kinchens","Rams","S","540","29","23.39","0.043","5.70","0.011","20.53","0.71","65.5%","8.7","0.3","51.7%","6.9%"
"[object Object]","2025","Josh Jobe","Seahawks","CB","520","68","23.26","0.045","6.42","0.012","-0.18","-0.00","41.2%","11.2","0.3","26.5%","19.1%"
"[object Object]","2025","Bryan Cook","Chiefs","S","475","25","23.13","0.049","6.52","0.014","0.58","0.02","48.0%","9.7","0.3","28.0%","24.0%"
"[object Object]","2025","Alontae Taylor","Saints","CB","514","50","23.11","0.045","6.47","0.013","6.24","0.12","50.0%","10.4","0.3","24.0%","18.0%"
"[object Object]","2025","Grant Delpit","Browns","S","503","31","22.90","0.046","6.12","0.012","6.04","0.19","41.9%","8.8","0.3","29.0%","22.6%"
"[object Object]","2025","Bobby Okereke","Giants","LB","573","40","22.26","0.041","4.59","0.009","-11.10","-0.28","47.5%","6.3","0.2","30.0%","25.0%"
"[object Object]","2025","Devon Witherspoon","Seahawks","CB","423","33","22.17","0.053","8.24","0.020","-3.96","-0.12","39.4%","11.3","0.4","18.2%","21.2%"
"[object Object]","2025","Kyle Hamilton","Ravens","S","559","25","21.64","0.040","4.56","0.009","-4.30","-0.17","32.0%","7.3","0.2","28.0%","24.0%"
"[object Object]","2025","James Pierre","Steelers","CB","218","24","21.57","0.099","14.95","0.069","-4.76","-0.20","25.0%","17.4","0.5","20.8%","20.8%"
"[object Object]","2025","Denzel Ward","Browns","CB","420","49","21.52","0.051","7.32","0.017","0.76","0.02","42.9%","10.6","0.3","22.4%","20.4%"
"[object Object]","2025","Ji'Ayir Brown","49ers","S","455","23","21.35","0.047","5.78","0.013","-8.85","-0.38","30.4%","8.3","0.3","30.4%","26.1%"
"[object Object]","2025","Greg Newsome II","2 teams","CB","456","70","21.06","0.046","5.25","0.012","9.55","0.14","52.9%","8.6","0.3","30.0%","18.6%"
"[object Object]","2025","Benjamin St-Juste","Chargers","CB","229","32","21.05","0.093","12.45","0.055","2.68","0.08","43.8%","14.1","0.4","28.1%","18.8%"
"[object Object]","2025","Andrew Wingard","Jaguars","S","566","31","20.97","0.037","2.05","0.004","12.52","0.40","51.6%","5.2","0.2","29.0%","19.4%"
"[object Object]","2025","Rock Ya-Sin","Lions","CB","349","43","20.79","0.060","9.75","0.028","-0.28","-0.01","39.5%","12.3","0.4","23.3%","18.6%"
"[object Object]","2025","Tre'von Moehrig","Panthers","S","485","30","20.76","0.043","4.39","0.009","8.55","0.28","56.7%","7.0","0.2","26.7%","10.0%"
"[object Object]","2025","Jalen Ramsey","Steelers","CB","618","57","20.30","0.033","1.24","0.002","14.77","0.26","49.1%","5.9","0.2","31.6%","17.5%"
"[object Object]","2025","Tyson Campbell","2 teams","CB","568","74","20.29","0.036","1.63","0.003","0.23","0.00","40.5%","6.1","0.2","29.7%","17.6%"
"[object Object]","2025","Talanoa Hufanga","Broncos","S","639","28","20.11","0.032","-0.75","-0.001","5.51","0.20","39.3%","3.5","0.1","32.1%","14.3%"
"[object Object]","2025","Kyle Dugger","2 teams","S","428","27","20.09","0.047","5.55","0.013","-1.29","-0.05","51.9%","7.9","0.2","37.0%","25.9%"
"[object Object]","2025","Jack Jones","Dolphins","CB","537","40","19.59","0.036","1.47","0.003","8.82","0.22","55.0%","5.6","0.2","37.5%","25.0%"
"[object Object]","2025","Nate Landman","Rams","LB","515","25","19.59","0.040","3.68","0.007","2.44","0.10","44.0%","5.2","0.2","16.0%","8.0%"
"[object Object]","2025","Chamarri Conner","Chiefs","S","529","39","19.58","0.038","1.35","0.003","6.92","0.18","46.2%","4.3","0.1","20.5%","17.9%"
"[object Object]","2025","Chidobe Awuzie","Ravens","CB","382","50","19.54","0.052","7.65","0.020","8.50","0.17","44.0%","10.4","0.3","26.0%","12.0%"
"[object Object]","2025","DJ Turner II","Bengals","CB","548","59","19.36","0.036","1.39","0.003","-14.19","-0.24","40.7%","5.4","0.2","23.7%","30.5%"
"[object Object]","2025","Dee Winters","49ers","LB","528","49","19.31","0.038","1.98","0.004","-13.21","-0.27","38.8%","3.6","0.1","20.4%","12.2%"
"[object Object]","2025","Reed Blankenship","Eagles","S","578","28","19.28","0.034","0.66","0.001","-0.71","-0.03","53.6%","3.7","0.1","35.7%","14.3%"
"[object Object]","2025","Jaquan Brisker","Bears","S","535","28","19.27","0.037","1.50","0.003","1.83","0.07","46.4%","4.3","0.1","32.1%","17.9%"
"[object Object]","2025","Jarrian Jones","Jaguars","CB","357","41","18.78","0.053","6.87","0.020","-9.52","-0.23","39.0%","9.2","0.3","31.7%","24.4%"
"[object Object]","2025","Nate Wiggins","Ravens","CB","652","88","18.70","0.029","-2.15","-0.003","27.68","0.31","48.9%","3.2","0.1","30.7%","13.6%"
"[object Object]","2025","Daiyan Henley","Chargers","LB","492","25","18.60","0.040","1.88","0.004","8.29","0.33","56.0%","3.2","0.1","28.0%","12.0%"
"[object Object]","2025","Kamari Lassiter","Texans","CB","566","74","18.51","0.033","-1.59","-0.003","-2.36","-0.03","41.9%","2.7","0.1","27.0%","24.3%"
"[object Object]","2025","Renardo Green","49ers","CB","471","62","18.43","0.039","2.47","0.005","7.97","0.13","48.4%","6.1","0.2","25.8%","9.7%"
"[object Object]","2025","Keisean Nixon","Packers","CB","560","75","18.26","0.033","0.14","0.000","14.95","0.20","45.3%","4.4","0.1","30.7%","18.7%"
"[object Object]","2025","C.J. Gardner-Johnson","2 teams","S","402","42","18.19","0.046","5.25","0.013","3.91","0.09","57.1%","7.4","0.2","28.6%","21.4%"
"[object Object]","2025","Mike Hughes","Falcons","CB","382","55","18.10","0.048","5.02","0.013","10.00","0.18","47.3%","8.0","0.2","27.3%","10.9%"
"[object Object]","2025","Drake Thomas","Seahawks","LB","399","27","18.00","0.048","6.05","0.016","-18.72","-0.69","18.5%","7.3","0.2","3.7%","14.8%"
"[object Object]","2025","Craig Woodson","Patriots","S","530","25","17.46","0.033","-1.35","-0.003","13.36","0.53","64.0%","1.4","0.0","48.0%","16.0%"
"[object Object]","2025","Derwin James Jr.","Chargers","S","454","30","17.42","0.040","1.62","0.004","-8.96","-0.30","33.3%","3.9","0.1","16.7%","26.7%"
"[object Object]","2025","Henry To'o To'o","Texans","LB","441","31","17.36","0.041","2.91","0.007","2.71","0.09","38.7%","4.2","0.1","19.4%","19.4%"
"[object Object]","2025","Malaki Starks","Ravens","S","659","28","17.11","0.026","-3.72","-0.006","-10.70","-0.38","42.9%","-0.3","-0.0","32.1%","28.6%"
"[object Object]","2025","Lavonte David","Buccaneers","LB","546","30","16.53","0.032","-1.29","-0.003","0.91","0.03","50.0%","0.4","0.0","16.7%","10.0%"
"[object Object]","2025","Ty Okada","Seahawks","S","460","31","16.45","0.036","1.20","0.003","12.88","0.42","61.3%","3.4","0.1","35.5%","12.9%"
"[object Object]","2025","Cor'Dale Flott","Giants","CB","455","60","16.31","0.036","1.74","0.004","-10.29","-0.17","43.3%","5.4","0.2","23.3%","25.0%"
"[object Object]","2025","Mike Sainristil","Commanders","CB","564","66","16.22","0.029","-1.68","-0.003","13.96","0.21","57.6%","2.7","0.1","33.3%","15.2%"
"[object Object]","2025","Tarheeb Still","Chargers","CB","452","34","15.98","0.036","0.01","0.000","-9.04","-0.27","47.1%","3.4","0.1","23.5%","23.5%"
"[object Object]","2025","Byron Murphy Jr.","Vikings","CB","505","58","15.94","0.032","-1.05","-0.002","12.09","0.21","46.6%","3.9","0.1","29.3%","13.8%"
"[object Object]","2025","Eric Wilson","Vikings","LB","287","24","15.90","0.058","6.73","0.025","-6.71","-0.28","41.7%","7.5","0.2","16.7%","16.7%"
"[object Object]","2025","Alex Anzalone","Lions","LB","532","39","15.79","0.031","-0.50","-0.001","-0.72","-0.02","33.3%","0.9","0.0","17.9%","17.9%"
"[object Object]","2025","Darious Williams","Rams","CB","274","33","15.79","0.058","7.71","0.028","-2.17","-0.07","42.4%","9.8","0.3","33.3%","24.2%"
"[object Object]","2025","Josh Metellus","Vikings","S","426","32","15.41","0.037","1.50","0.004","-16.94","-0.53","34.4%","3.8","0.1","15.6%","37.5%"
"[object Object]","2025","Joey Porter Jr.","Steelers","CB","523","54","15.14","0.029","-1.12","-0.002","-2.45","-0.05","42.6%","2.8","0.1","13.0%","13.0%"
"[object Object]","2025","Tre'Davious White","Bills","CB","372","41","15.07","0.041","1.53","0.004","4.11","0.10","41.5%","4.4","0.1","34.1%","19.5%"
"[object Object]","2025","Quentin Lake","Rams","S","350","33","15.04","0.043","3.88","0.011","2.90","0.09","45.5%","5.8","0.2","33.3%","21.2%"
"[object Object]","2025","Isaiah Pola-Mao","Raiders","S","556","27","14.81","0.027","-3.08","-0.006","-1.44","-0.05","40.7%","-0.2","-0.0","29.6%","25.9%"
"[object Object]","2025","Isaiah Rodgers","Vikings","CB","490","56","14.69","0.030","-1.74","-0.004","3.01","0.05","46.4%","2.0","0.1","21.4%","19.6%"
"[object Object]","2025","Tykee Smith","Buccaneers","S","546","29","14.61","0.027","-4.16","-0.008","14.00","0.48","51.7%","-1.2","-0.0","41.4%","13.8%"
"[object Object]","2025","Kool-Aid McKinstry","Saints","CB","565","81","13.75","0.024","-4.67","-0.008","9.37","0.12","46.9%","-0.4","-0.0","30.9%","14.8%"
"[object Object]","2025","Roquan Smith","Ravens","LB","521","36","13.72","0.028","-1.44","-0.003","-0.71","-0.02","58.3%","1.3","0.0","22.2%","25.0%"
"[object Object]","2025","Budda Baker","Cardinals","S","545","27","13.60","0.025","-3.63","-0.007","2.08","0.08","51.9%","-0.8","-0.0","29.6%","14.8%"
"[object Object]","2025","Dax Hill","Bengals","CB","555","55","13.50","0.025","-4.69","-0.009","16.78","0.31","47.3%","0.9","0.0","34.5%","9.1%"
"[object Object]","2025","Terrel Bernard","Bills","LB","288","23","13.01","0.049","3.56","0.013","13.20","0.57","60.9%","4.4","0.1","34.8%","8.7%"
"[object Object]","2025","Evan Williams","Packers","S","510","25","12.73","0.025","-3.95","-0.008","16.05","0.64","68.0%","-0.8","-0.0","48.0%","12.0%"
"[object Object]","2025","Devin White","Raiders","LB","518","43","12.64","0.026","-3.27","-0.007","0.11","0.00","51.2%","-1.2","-0.0","20.9%","7.0%"
"[object Object]","2025","Will Johnson","Cardinals","CB","424","53","12.60","0.030","-0.59","-0.001","18.37","0.35","52.8%","2.7","0.1","32.1%","13.2%"
"[object Object]","2025","Donovan Wilson","Cowboys","S","513","28","12.33","0.024","-4.40","-0.009","6.45","0.23","50.0%","-1.8","-0.1","21.4%","17.9%"
"[object Object]","2025","Trevin Wallace","Panthers","LB","301","22","11.75","0.041","1.56","0.005","1.58","0.07","40.9%","2.5","0.1","22.7%","13.6%"
"[object Object]","2025","Brandin Echols","Steelers","CB","349","45","11.73","0.034","1.19","0.003","-0.10","-0.00","48.9%","3.9","0.1","26.7%","17.8%"
"[object Object]","2025","Kenny Moore II","Colts","CB","417","44","11.69","0.028","-1.28","-0.003","8.93","0.20","52.3%","3.4","0.1","29.5%","13.6%"
"[object Object]","2025","D.J. Reed","Lions","CB","343","48","11.41","0.033","0.15","0.000","8.76","0.18","47.9%","2.8","0.1","27.1%","10.4%"
"[object Object]","2025","Jeremy Chinn","Raiders","S","494","22","11.35","0.024","-4.19","-0.009","17.81","0.81","63.6%","-1.7","-0.1","45.5%","9.1%"
"[object Object]","2025","Jacob Parrish","Buccaneers","CB","471","48","11.31","0.024","-4.99","-0.011","10.75","0.22","58.3%","-1.4","-0.0","33.3%","16.7%"
"[object Object]","2025","DaRon Bland","Cowboys","CB","422","58","11.24","0.027","-2.49","-0.006","-1.91","-0.03","50.0%","0.6","0.0","29.3%","20.7%"
"[object Object]","2025","Zaire Franklin","Colts","LB","557","30","11.13","0.021","-5.31","-0.010","7.20","0.24","50.0%","-3.6","-0.1","26.7%","20.0%"
"[object Object]","2025","Azeez Al-Shaair","Texans","LB","540","30","11.07","0.022","-6.76","-0.013","-9.72","-0.32","36.7%","-4.5","-0.1","20.0%","30.0%"
"[object Object]","2025","Andru Phillips","Giants","CB","455","49","10.65","0.024","-4.02","-0.009","22.41","0.46","49.0%","0.3","0.0","30.6%","18.4%"
"[object Object]","2025","T.J. Edwards","Bears","LB","284","24","10.64","0.040","1.77","0.007","13.07","0.54","45.8%","2.6","0.1","33.3%","12.5%"
"[object Object]","2025","Nohl Williams","Chiefs","CB","256","32","10.57","0.042","1.70","0.007","-4.59","-0.14","34.4%","3.7","0.1","18.8%","21.9%"
"[object Object]","2025","Emmanuel Forbes","Rams","CB","486","69","10.52","0.022","-5.55","-0.011","12.94","0.19","46.4%","-1.9","-0.1","33.3%","21.7%"
"[object Object]","2025","Jonathan Jones","Commanders","CB","251","33","10.41","0.042","2.56","0.010","6.29","0.19","51.5%","4.4","0.1","30.3%","18.2%"
"[object Object]","2025","Cedric Gray","Titans","LB","445","28","10.20","0.025","-3.83","-0.009","6.65","0.24","53.6%","-2.1","-0.1","14.3%","7.1%"
"[object Object]","2025","Zyon McCollum","Buccaneers","CB","465","61","10.13","0.022","-5.75","-0.012","6.92","0.11","44.3%","-2.2","-0.1","27.9%","19.7%"
"[object Object]","2025","Brandon Stephens","Jets","CB","541","55","10.06","0.019","-7.33","-0.014","17.34","0.32","56.4%","-3.3","-0.1","36.4%","14.5%"
"[object Object]","2025","Mekhi Blackmon","Colts","CB","489","57","10.01","0.021","-5.49","-0.011","12.17","0.21","47.4%","-1.8","-0.1","26.3%","17.5%"
"[object Object]","2025","Kenneth Murray Jr.","Cowboys","LB","462","24","9.80","0.023","-4.42","-0.010","-1.12","-0.05","54.2%","-3.1","-0.1","33.3%","33.3%"
"[object Object]","2025","Nick Emmanwori","Seahawks","S","423","39","9.76","0.024","-3.73","-0.009","7.01","0.18","46.2%","-2.0","-0.1","25.6%","17.9%"
"[object Object]","2025","Germaine Pratt","2 teams","LB","443","30","9.73","0.023","-3.33","-0.008","-13.19","-0.44","33.3%","-1.2","-0.0","16.7%","26.7%"
"[object Object]","2025","Payton Wilson","Steelers","LB","408","24","9.72","0.024","-2.40","-0.006","2.83","0.12","45.8%","-1.1","-0.0","20.8%","20.8%"
"[object Object]","2025","Brian Branch","Lions","S","400","29","9.66","0.024","-3.39","-0.009","5.01","0.17","41.4%","-1.5","-0.0","27.6%","13.8%"
"[object Object]","2025","Chau Smith-Wade","Panthers","CB","375","29","9.62","0.026","-3.18","-0.008","5.73","0.20","58.6%","-0.3","-0.0","34.5%","17.2%"
"[object Object]","2025","Kaden Elliss","Falcons","LB","465","34","9.57","0.022","-4.65","-0.011","-0.33","-0.01","38.2%","-3.2","-0.1","14.7%","17.6%"
"[object Object]","2025","Demetrius Knight Jr.","Bengals","LB","393","22","9.21","0.025","-2.79","-0.008","-1.89","-0.09","45.5%","-2.3","-0.1","18.2%","4.5%"
"[object Object]","2025","Trent McDuffie","Chiefs","CB","374","42","9.12","0.025","-4.56","-0.012","3.39","0.08","50.0%","-1.9","-0.1","28.6%","26.2%"
"[object Object]","2025","Bobby Wagner","Commanders","LB","544","32","9.08","0.018","-7.38","-0.014","8.72","0.27","50.0%","-5.8","-0.2","31.3%","21.9%"
"[object Object]","2025","Dane Belton","Giants","S","409","28","9.03","0.023","-4.25","-0.011","6.25","0.22","50.0%","-0.7","-0.0","28.6%","17.9%"
"[object Object]","2025","Cam Lewis","Bills","S","234","23","8.99","0.039","0.39","0.002","0.60","0.03","39.1%","1.7","0.1","30.4%","21.7%"
"[object Object]","2025","Adoree' Jackson","Eagles","CB","359","68","8.87","0.025","-2.89","-0.008","12.10","0.18","50.0%","-0.2","-0.0","35.3%","14.7%"
"[object Object]","2025","Marshon Lattimore","Commanders","CB","288","33","8.58","0.030","-0.95","-0.003","11.17","0.34","51.5%","1.3","0.0","33.3%","12.1%"
"[object Object]","2025","Alex Singleton","Broncos","LB","552","31","8.43","0.016","-8.85","-0.017","17.40","0.56","58.1%","-7.1","-0.2","32.3%","9.7%"
"[object Object]","2025","Quay Walker","Packers","LB","436","36","8.36","0.020","-5.15","-0.012","10.34","0.29","58.3%","-3.8","-0.1","22.2%","16.7%"
"[object Object]","2025","Kaiir Elam","2 teams","CB","312","42","8.22","0.027","-1.81","-0.006","18.02","0.43","52.4%","0.6","0.0","31.0%","7.1%"
"[object Object]","2025","Jahdae Barron","Broncos","CB","223","31","8.16","0.037","0.81","0.004","14.76","0.48","51.6%","2.7","0.1","38.7%","12.9%"
"[object Object]","2025","Jalen Thompson","Cardinals","S","542","41","8.15","0.015","-9.02","-0.017","9.97","0.24","46.3%","-6.1","-0.2","31.7%","24.4%"
"[object Object]","2025","Jamien Sherwood","Jets","LB","502","29","7.89","0.017","-7.22","-0.015","12.49","0.43","55.2%","-5.5","-0.2","27.6%","6.9%"
"[object Object]","2025","Azareye'h Thomas","Jets","CB","150","23","7.15","0.048","2.29","0.015","-1.10","-0.05","39.1%","3.2","0.1","30.4%","26.1%"
"[object Object]","2025","Terrion Arnold","Lions","CB","191","38","6.93","0.037","0.17","0.001","5.55","0.15","47.4%","3.9","0.1","28.9%","18.4%"
"[object Object]","2025","Carrington Valentine","Packers","CB","420","52","6.86","0.016","-7.17","-0.017","17.95","0.35","50.0%","-3.9","-0.1","40.4%","17.3%"
"[object Object]","2025","Javon Bullard","Packers","S","432","28","6.66","0.015","-7.48","-0.017","6.66","0.24","64.3%","-5.1","-0.2","28.6%","17.9%"
"[object Object]","2025","Charvarius Ward","Colts","CB","268","34","6.50","0.024","-1.75","-0.007","1.53","0.05","35.3%","0.3","0.0","29.4%","17.6%"
"[object Object]","2025","Jaylen McCollough","Rams","S","330","23","6.18","0.019","-4.39","-0.013","4.87","0.21","34.8%","-2.6","-0.1","34.8%","4.3%"
"[object Object]","2025","Sauce Gardner","2 teams","CB","317","34","6.16","0.020","-3.81","-0.012","2.86","0.08","38.2%","-1.6","-0.0","29.4%","20.6%"
"[object Object]","2025","Malachi Moore","Jets","S","480","26","6.04","0.013","-8.93","-0.019","10.81","0.42","46.2%","-6.1","-0.2","38.5%","7.7%"
"[object Object]","2025","Amik Robertson","Lions","CB","512","76","5.89","0.012","-10.69","-0.021","25.50","0.34","52.6%","-6.8","-0.2","35.5%","18.4%"
"[object Object]","2025","Taron Johnson","Bills","CB","334","38","5.61","0.017","-6.05","-0.018","3.55","0.09","42.1%","-3.7","-0.1","26.3%","23.7%"
"[object Object]","2025","Minkah Fitzpatrick","Dolphins","S","429","25","5.54","0.013","-8.94","-0.021","11.86","0.47","48.0%","-6.6","-0.2","32.0%","8.0%"
"[object Object]","2025","Geno Stone","Bengals","S","544","24","5.53","0.010","-12.19","-0.023","13.63","0.57","58.3%","-9.0","-0.3","33.3%","16.7%"
"[object Object]","2025","Garrett Williams","Cardinals","CB","301","30","5.29","0.018","-4.18","-0.014","7.62","0.25","63.3%","-1.9","-0.1","26.7%","10.0%"
"[object Object]","2025","Nick McCloud","Bears","CB","243","23","5.22","0.022","-3.07","-0.013","18.74","0.81","69.6%","-1.3","-0.0","39.1%","0.0%"
"[object Object]","2025","Jordan Battle","Bengals","S","564","25","5.21","0.009","-13.10","-0.024","10.13","0.41","52.0%","-10.5","-0.3","36.0%","12.0%"
"[object Object]","2025","Kyu Blu Kelly","Raiders","CB","329","40","5.16","0.016","-5.59","-0.017","16.50","0.41","57.5%","-3.2","-0.1","37.5%","17.5%"
"[object Object]","2025","Reddy Steward","Cowboys","CB","294","28","4.95","0.017","-4.68","-0.016","5.24","0.19","46.4%","-2.4","-0.1","25.0%","10.7%"
"[object Object]","2025","Cam Hart","Chargers","CB","383","56","4.88","0.013","-8.85","-0.023","23.12","0.41","58.9%","-5.9","-0.2","35.7%","12.5%"
"[object Object]","2025","Trikweze Bridges","Cowboys","CB","153","27","4.88","0.032","-0.15","-0.001","7.94","0.29","44.4%","1.0","0.0","40.7%","18.5%"
"[object Object]","2025","Quincy Riley","Saints","CB","364","42","4.84","0.013","-7.13","-0.020","8.95","0.21","42.9%","-4.3","-0.1","26.2%","14.3%"
"[object Object]","2025","Jordyn Brooks","Dolphins","LB","458","38","4.66","0.011","-10.05","-0.023","7.30","0.19","50.0%","-8.6","-0.3","18.4%","13.2%"
