Rank,Season,Player,Team,Pos.,Snaps,Rush Snaps,Points Saved,PS Per Play,Points Above Avg,PAA Per Play,Positive%,PAR,WAR
38,2024,Grant Delpit,Browns,S,937,398,24.948437,0.062684,12.323158,0.030962,43.718594,12.482059,0.390042
39,2024,Kyle Hamilton,Ravens,S,984,333,13.581353,0.040784,3.025902,0.009086,40.240242,3.082201,0.096312
40,2024,Tyrel Dodson,2 teams,LB,814,333,3.013952,0.00905,-7.051218,-0.021174,45.945946,-6.241438,-0.195035
41,2024,Foyesade Oluokun,Jaguars,LB,773,337,5.806125,0.017228,-3.709312,-0.011006,49.85163,-2.862752,-0.089455
42,2024,Tre'von Moehrig,Raiders,S,1039,416,19.091642,0.045893,5.987826,0.014393,42.307693,6.088034,0.19024
43,2024,Jeremy Chinn,Commanders,S,968,437,21.018482,0.048097,6.966035,0.01594,50.572083,7.105535,0.222032
44,2024,Nick Bolton,Chiefs,LB,894,320,12.536006,0.039175,1.780348,0.005563,40,2.633293,0.082288
45,2024,Cody Barton,Broncos,LB,996,342,11.625067,0.033991,1.163514,0.003402,39.473682,2.09619,0.065498
46,2024,Micah McFadden,Giants,LB,646,332,14.166958,0.042671,3.612125,0.010879,45.18072,4.483741,0.140105
47,2024,Terrel Bernard,Bills,LB,712,282,10.005085,0.035479,0.941386,0.003338,39.716312,1.684265,0.05263
48,2024,Logan Wilson,Bengals,LB,710,297,12.649458,0.04259,3.701935,0.012464,47.138046,4.490275,0.140307
49,2024,Henry To'o To'o,Texans,LB,796,338,8.097718,0.023957,-2.849519,-0.00843,39.94083,-1.973911,-0.061678
50,2024,Josh Metellus,Vikings,S,941,293,11.565037,0.039471,2.405759,0.00821,44.709896,2.470057,0.077175
51,2024,Quay Walker,Packers,LB,713,266,4.574198,0.017196,-3.751631,-0.014103,40.977444,-3.061507,-0.095669
52,2024,Jessie Bates III,Falcons,S,1049,410,17.225592,0.042013,4.661441,0.011369,43.658535,4.767749,0.14898
53,2024,Frankie Luvu,Commanders,LB,1005,451,5.444039,0.012071,-9.200317,-0.020399,50.554325,-8.091337,-0.25284
54,2024,Jordan Poyer,Dolphins,S,917,337,17.864668,0.05301,6.718279,0.019935,43.62018,6.824484,0.21325
55,2024,Devon Witherspoon,Seahawks,CB,1041,401,16.688969,0.041618,4.212195,0.010504,43.6409,4.449219,0.139034
56,2024,Jaylon Jones,Colts,CB,1104,496,21.584558,0.043517,6.733892,0.013576,39.919353,7.079332,0.221197
57,2024,Tyler Nubin,Giants,S,755,333,16.98912,0.051018,6.375843,0.019146,43.243244,6.472664,0.202263
58,2024,Jalen Thompson,Cardinals,S,908,371,12.150534,0.03275,0.328173,0.000884,47.439354,0.411929,0.012873
59,2024,Camryn Bynum,Vikings,S,981,305,15.885905,0.052084,6.3111,0.020692,44.918034,6.399574,0.199973
60,2024,Josey Jewell,Panthers,LB,754,356,5.072573,0.014248,-5.306395,-0.014905,51.685394,-4.416688,-0.138005
61,2024,Minkah Fitzpatrick,Steelers,S,1025,395,11.821913,0.029928,-0.934309,-0.002365,43.291138,-0.890654,-0.02782
62,2024,Kenneth Murray Jr.,Titans,LB,773,337,2.451928,0.007275,-8.804409,-0.026125,45.994064,-7.943771,-0.248217
63,2024,Isaiah McDuffie,Packers,LB,663,279,7.673391,0.027503,-1.19794,-0.004293,39.426525,-0.476545,-0.014887
64,2024,Drue Tranquill,Chiefs,LB,760,310,12.689348,0.040933,2.196772,0.007086,40,3.019453,0.09435
65,2024,Derwin James Jr.,Chargers,S,933,350,14.537665,0.041536,3.491966,0.009977,43.714287,3.541767,0.110673
66,2024,Pete Werner,Saints,LB,693,304,4.31656,0.014199,-4.871296,-0.016024,43.75,-4.114289,-0.12857
67,2024,Bobby Okereke,Giants,LB,704,306,11.754663,0.038413,1.921351,0.006278,43.790848,2.707859,0.084612
68,2024,Mike Sainristil,Commanders,CB,930,385,19.009056,0.049374,6.496818,0.016874,49.87013,6.761669,0.211286
69,2024,Alontae Taylor,Saints,CB,1024,388,17.191362,0.044307,5.649286,0.01456,46.391754,5.897966,0.184294
70,2024,Damar Hamlin,Bills,S,835,346,17.034342,0.049232,5.715561,0.016518,41.32948,5.804555,0.181372
71,2024,Keisean Nixon,Packers,CB,968,352,15.738277,0.044711,4.483297,0.012736,40.625,4.715563,0.147354
72,2024,Justin Reid,Chiefs,S,924,318,11.602398,0.036485,0.933241,0.002934,40.880505,0.99105,0.03097
73,2024,Julian Blackmon,Colts,S,1042,448,14.485439,0.032333,1.042222,0.002326,40.17857,1.123287,0.035102
74,2024,DeMarvion Overshown,Cowboys,LB,672,280,2.936946,0.010489,-6.029969,-0.021535,47.857143,-5.345662,-0.167038
75,2024,Tyrice Knight,Seahawks,LB,518,226,9.111836,0.040317,1.657932,0.007335,41.592922,2.260672,0.070642
76,2024,Riley Moss,Broncos,CB,789,285,15.002219,0.052639,5.9195,0.02077,40.701756,6.100551,0.19062
77,2024,Jason Pinnock,Giants,S,938,404,14.167348,0.035067,1.455672,0.003603,43.811882,1.520142,0.047504
78,2024,Xavier McKinney,Packers,S,1015,384,15.535111,0.040456,3.317188,0.008638,40.104168,3.407761,0.106485
79,2024,Deommodore Lenoir,49ers,CB,890,385,20.841492,0.054133,8.621646,0.022393,45.194805,8.897726,0.278036
80,2024,Harrison Smith,Vikings,S,961,338,11.105915,0.032857,0.503102,0.001488,44.08284,0.546278,0.017063
81,2024,Isaiah Pola-Mao,Raiders,S,900,356,14.48419,0.040685,3.265267,0.009172,42.977528,3.324946,0.103891
82,2024,Javon Bullard,Packers,S,756,291,5.244164,0.018021,-4.024023,-0.013828,40.89347,-3.967316,-0.123957
83,2024,Tony Adams,Jets,S,703,306,11.91996,0.038954,2.205952,0.007208,42.156864,2.29695,0.071772
84,2024,Taylor Rapp,Bills,S,741,295,23.145302,0.078458,13.435963,0.045545,41.694916,13.528084,0.422714
85,2024,Kerby Joseph,Lions,S,1006,326,16.893972,0.051822,5.713431,0.017525,40.4908,5.787924,0.180858
86,2024,Donovan Wilson,Cowboys,S,956,406,14.402731,0.035474,1.383777,0.003408,49.01478,1.484802,0.046401
87,2024,Malik Hooker,Cowboys,S,1008,420,15.583885,0.037104,2.038217,0.004852,49.52381,2.117985,0.066193
88,2024,Byron Murphy Jr.,Vikings,CB,1003,336,6.050046,0.018006,-4.594912,-0.013675,45.238094,-4.418952,-0.138086
89,2024,Geno Stone,Bengals,S,1054,420,7.547627,0.01797,-5.43013,-0.012928,45.95238,-5.402924,-0.168832
90,2024,Ja'Quan McMillian,Broncos,CB,824,223,7.007731,0.031424,0.20865,0.000935,42.6009,0.33509,0.010473
91,2024,Zyon McCollum,Buccaneers,CB,1007,329,10.922817,0.0332,0.676141,0.002055,39.20973,0.866895,0.027082
92,2024,Martin Emerson Jr.,Browns,CB,791,321,18.465126,0.057523,8.236229,0.025658,43.925232,8.446372,0.263926
93,2024,Nate Landman,Falcons,LB,522,224,9.038875,0.040352,2.00969,0.008971,40.625,2.598617,0.081204
94,2024,Dee Alford,Falcons,CB,687,207,7.988448,0.038591,1.70977,0.008259,45.89372,1.831185,0.057226
95,2024,Jartavius Martin,Commanders,S,897,389,18.459661,0.047454,5.749605,0.01478,50.642673,5.844115,0.182621
96,2024,Kamren Curl,Rams,S,930,388,10.064475,0.025939,-2.106555,-0.005429,45.360825,-2.0702,-0.064687
97,2024,A'Shawn Robinson,Panthers,DT,720,382,12.809825,0.033533,1.591241,0.004165,52.094242,3.356404,0.104871
98,2024,Kyle Dugger,Patriots,S,726,318,10.381722,0.032646,0.33768,0.001061,46.855347,0.385586,0.012052
99,2024,Andrew Van Ginkel,Vikings,LB,869,289,6.743179,0.023332,-2.36782,-0.008193,43.598618,-1.656708,-0.051775
100,2024,Jordan Whitehead,Buccaneers,S,701,236,15.646251,0.066297,8.340072,0.035339,43.64407,8.426924,0.26332
101,2024,Kenny Moore II,Colts,CB,974,448,13.300259,0.029688,-0.015001,-3.3e-05,40.17857,0.263831,0.008242
102,2024,De'Vondre Campbell,49ers,LB,692,298,5.833196,0.019574,-3.932771,-0.013197,43.62416,-3.177388,-0.099287
103,2024,Jordan Hicks,Browns,LB,578,250,9.458363,0.037833,1.569241,0.006276,43.6,2.248489,0.070261
104,2024,Bryan Cook,Chiefs,S,925,327,9.540324,0.029175,-1.192118,-0.003645,41.896023,-1.164477,-0.036386
105,2024,Anfernee Jennings,Patriots,LB,801,401,27.1224,0.067636,14.646235,0.036524,47.630924,15.657223,0.489249
106,2024,Reed Blankenship,Eagles,S,777,291,10.875564,0.037373,0.81693,0.002807,41.237114,0.879287,0.027477
107,2024,Edgerrin Cooper,Packers,LB,469,182,10.434817,0.057334,4.568449,0.025101,39.56044,5.06219,0.158183
108,2024,Akeem Davis-Gaither,Bengals,LB,518,194,5.811155,0.029954,-0.296005,-0.001525,42.26804,0.201836,0.006304
109,2024,Montaric Brown,Jaguars,CB,803,326,8.696116,0.026675,-0.917656,-0.002814,46.012268,-0.702958,-0.021969
110,2024,Cam Taylor-Britt,Bengals,CB,993,395,10.321294,0.026129,-1.920126,-0.004861,45.06329,-1.685308,-0.052671
111,2024,Ji'Ayir Brown,49ers,S,854,385,9.000982,0.023379,-3.379702,-0.008778,45.194805,-3.300685,-0.103132
112,2024,Mike Jackson Sr.,Panthers,CB,1141,549,13.930338,0.025374,-1.701771,-0.003099,51.73042,-1.377032,-0.043031
113,2024,Mack Wilson Sr.,Cardinals,LB,733,324,9.75786,0.030116,-0.4897,-0.001511,46.296295,0.339283,0.010612
114,2024,Devin Bush,Browns,LB,484,270,12.028617,0.04455,3.705989,0.013725,40.37037,4.419859,0.138113
115,2024,Jeffery Simmons,Titans,DT,778,337,25.330833,0.075165,13.841418,0.041072,46.884274,15.485076,0.483869
116,2024,Eric Murray,Texans,S,819,317,6.116939,0.019296,-4.104289,-0.012947,38.80126,-4.065876,-0.127051
117,2024,Kyler Gordon,Bears,CB,694,284,7.529512,0.026512,-1.912608,-0.006734,46.478874,-1.733637,-0.05417
118,2024,Tyrique Stevenson,Bears,CB,786,365,18.82204,0.051567,6.857637,0.018788,49.315067,7.110019,0.222175
119,2024,Ventrell Miller,Jaguars,LB,452,224,9.083199,0.040549,2.766832,0.012351,44.642857,3.345888,0.104555
120,2024,Jarvis Brownlee Jr.,Titans,CB,871,393,19.487873,0.049587,6.35189,0.016162,45.29262,6.617678,0.20678
121,2024,Grover Stewart,Colts,DT,662,346,22.633953,0.065416,12.234331,0.035359,37.283237,13.859339,0.433073
122,2024,Mike Hilton,Bengals,CB,709,262,17.947212,0.0685,9.851348,0.0376,44.65649,10.06316,0.314445
123,2024,Will Harris,Saints,S,820,311,10.983337,0.035316,1.772803,0.0057,46.30225,1.841754,0.05755
124,2024,P.J. Locke,Broncos,S,942,315,6.597762,0.020945,-2.91311,-0.009247,38.73016,-2.889748,-0.090302
125,2024,Christian Izien,Buccaneers,S,663,194,6.908276,0.035609,0.830191,0.004279,43.29897,0.869124,0.027157
126,2024,Christian Elliss,Patriots,LB,482,197,6.850945,0.034776,0.645422,0.003276,48.730965,1.164139,0.036374
127,2024,Elijah Molden,Chargers,CB,721,253,8.709622,0.034425,0.821674,0.003247,41.897232,0.86179,0.026934
128,2024,K.J. Britt,Buccaneers,LB,588,229,3.421903,0.014942,-3.793215,-0.016564,43.23144,-3.197858,-0.099921
129,2024,Benjamin St-Juste,Commanders,CB,794,352,14.160447,0.040228,2.594318,0.00737,52.840908,2.828545,0.088381
130,2024,Cameron Heyward,Steelers,DT,743,293,17.822468,0.060827,8.318581,0.028391,43.34471,9.701825,0.303156
131,2024,Amani Hooker,Titans,S,807,363,18.369835,0.050605,6.254586,0.01723,45.454544,6.348279,0.198366
132,2024,Jourdan Lewis,Cowboys,CB,824,315,8.626365,0.027385,-1.488012,-0.004723,49.20635,-1.312589,-0.041018
133,2024,Payton Wilson,Steelers,LB,464,146,5.733082,0.039267,1.034721,0.007087,49.315067,1.426478,0.044575
134,2024,Andru Phillips,Giants,CB,589,257,10.477781,0.040769,2.294947,0.008929,47.08171,2.453475,0.076672
135,2024,Malik Mustapha,49ers,S,728,333,16.283707,0.0489,5.893437,0.017698,45.045044,6.019328,0.1881
136,2024,Antonio Johnson,Jaguars,S,642,224,7.630811,0.034066,1.026958,0.004584,43.30357,1.063266,0.033223
137,2024,Chamarri Conner,Chiefs,CB,537,147,9.916787,0.067461,4.912504,0.033418,45.57823,5.025414,0.157022
138,2024,Jack Jones,Raiders,CB,989,385,15.381419,0.039951,3.098445,0.008047,43.116882,3.331255,0.104087
139,2024,Chuck Clark,Jets,S,657,298,16.927279,0.056802,7.484485,0.025115,41.94631,7.546348,0.235806
140,2024,Harold Landry,Titans,DE,837,361,6.87742,0.019051,-5.370122,-0.014875,46.260387,-3.861124,-0.120651
141,2024,Azeez Al-Shaair,Texans,LB,552,218,13.35056,0.061241,6.138141,0.028156,38.53211,6.753474,0.211034
142,2024,Brian Burns,Giants,LB,829,352,16.34425,0.046432,5.200338,0.014773,48.295456,6.095595,0.190474
143,2024,Brandon Stephens,Ravens,CB,981,310,2.817109,0.009087,-7.024909,-0.02266,39.032257,-6.877674,-0.214914
144,2024,Justin Strnad,Broncos,LB,647,203,5.890887,0.029019,0.081768,0.000402,37.931034,0.61506,0.019218
145,2024,Coby Bryant,Seahawks,CB,730,269,12.610258,0.046878,4.402033,0.016364,41.26394,4.576548,0.143005
146,2024,Joey Porter Jr.,Steelers,CB,919,346,7.144344,0.020648,-4.049986,-0.011705,42.774567,-3.872035,-0.120986
147,2024,Trenton Simpson,Ravens,LB,619,249,6.030958,0.02422,-1.602262,-0.006434,39.35743,-0.949696,-0.029679
148,2024,Ivan Pace Jr.,Vikings,LB,392,169,16.747864,0.099099,11.257569,0.066612,39.053253,11.730436,0.36655
149,2024,A.J. Terrell,Falcons,CB,1038,408,16.484032,0.040402,3.972195,0.009735,43.872547,4.235841,0.132365
150,2024,Jaycee Horn,Panthers,CB,977,467,21.499363,0.046037,7.821239,0.016747,51.605995,8.121474,0.25378
151,2024,Andre Cisco,Jaguars,S,914,367,11.809362,0.032178,1.175474,0.003202,46.866486,1.240949,0.038782
152,2024,Anthony Walker Jr.,Dolphins,LB,488,178,4.062443,0.022822,-1.724705,-0.009689,42.69663,-1.271098,-0.039716
153,2024,Marlon Humphrey,Ravens,CB,842,280,4.038652,0.014423,-5.139775,-0.018356,40,-5.015347,-0.156717
154,2024,Mike Hughes,Falcons,CB,685,263,11.317321,0.043031,3.408083,0.012958,43.34601,3.608311,0.112746
155,2024,Jalen Pitre,Texans,S,635,232,8.514167,0.036698,0.701954,0.003025,38.36207,0.76103,0.023774
156,2024,Jared Verse,Rams,DE,794,311,20.739193,0.066685,10.896056,0.035035,43.40836,12.279865,0.383715
157,2024,Omar Speights,Rams,LB,403,201,7.050041,0.035074,0.581587,0.002893,42.28856,1.10614,0.03457
158,2024,Mohamoud Diabate,Browns,LB,563,271,4.160897,0.015353,-4.266027,-0.015741,42.80443,-3.57284,-0.111643
159,2024,Taron Johnson,Bills,CB,609,231,13.804633,0.05976,6.202502,0.02685,40.25974,6.339286,0.198086
160,2024,Alex Anzalone,Lions,LB,565,179,0.654546,0.003656,-5.147704,-0.028758,37.43017,-4.689055,-0.146517
161,2024,Adam Butler,Raiders,DT,814,297,11.091531,0.037345,1.729212,0.005822,43.77104,3.072718,0.096011
162,2024,D.J. Reed,Jets,CB,823,363,21.024355,0.057918,9.496168,0.02616,45.454544,9.771611,0.305334
163,2024,Leonard Williams,Seahawks,DE,711,248,14.380636,0.057986,6.800838,0.027422,43.14516,7.866245,0.245795
164,2024,Divine Deablo,Raiders,LB,656,303,0.027979,9.2e-05,-9.376229,-0.030944,41.58416,-8.654309,-0.270426
165,2024,Ugo Amadi,Saints,S,509,177,8.871988,0.050124,3.481563,0.019669,45.19774,3.533636,0.110422
166,2024,Byron Young,Rams,LB,801,322,10.539203,0.03273,0.381346,0.001184,45.341614,1.181485,0.036917
167,2024,Trevin Wallace,Panthers,LB,548,276,-2.421899,-0.008774,-10.23711,-0.03709,52.536232,-9.593662,-0.299783
168,2024,Tarheeb Still,Chargers,CB,741,262,8.471379,0.032333,0.211557,0.000807,45.419846,0.347896,0.010869
169,2024,Tyrann Mathieu,Saints,S,966,376,12.867975,0.034223,1.844141,0.004904,46.01064,1.881792,0.058812
170,2024,Davon Godchaux,Patriots,DT,660,379,11.452648,0.030218,-0.412133,-0.001087,47.493404,1.322411,0.041322
171,2024,Eric Wilson,Packers,LB,532,237,4.800321,0.020254,-2.859262,-0.012064,34.177216,-2.29052,-0.071572
172,2024,Justin Simmons,Falcons,S,972,383,2.607009,0.006806,-9.227097,-0.024091,43.08094,-9.187007,-0.287073
173,2024,Kobie Turner,Rams,DT,793,304,6.739711,0.02217,-2.868594,-0.009436,43.42105,-1.480381,-0.046264
174,2024,Carl Granderson,Saints,DE,789,276,14.32057,0.051886,6.189728,0.022426,48.188404,7.367466,0.230214
175,2024,DaVon Hamilton,Jaguars,DT,596,270,18.086863,0.066988,10.269097,0.038033,46.296295,11.527485,0.360204
176,2024,Christian Benford,Bills,CB,887,337,20.564922,0.061023,9.674596,0.028708,40.05935,9.881833,0.30878
177,2024,Zach Allen,Broncos,DE,911,314,10.863794,0.034598,1.068413,0.003402,38.853504,2.434752,0.076088
178,2024,Travon Walker,Jaguars,DE,856,334,10.604356,0.031749,1.158075,0.003467,44.61078,2.522035,0.078814
179,2024,T.J. Watt,Steelers,DE,892,328,15.614131,0.047604,4.75579,0.014499,43.90244,6.17861,0.19306
180,2024,Jerome Baker,2 teams,LB,545,232,1.13843,0.004907,-5.83606,-0.025155,45.689655,-5.259769,-0.164357
181,2024,Cam Lewis,Bills,S,569,172,2.663082,0.015483,-2.560314,-0.014885,43.023254,-2.533739,-0.079167
182,2024,Ar'Darius Washington,Ravens,S,677,212,5.975969,0.028188,-0.697855,-0.003291,42.45283,-0.671795,-0.020996
183,2024,Jevon Holland,Dolphins,S,815,303,13.063191,0.043112,2.940242,0.009703,40.92409,2.996815,0.093644
184,2024,Jeremiah Owusu-Koramoah,Browns,LB,439,194,13.570378,0.06995,7.400497,0.038146,43.29897,7.915507,0.247343
185,2024,Antoine Winfield Jr.,Buccaneers,S,504,186,5.453502,0.029319,-0.476933,-0.002564,43.010754,-0.439494,-0.013733
186,2024,Jalen Ramsey,Dolphins,CB,975,361,11.81642,0.032732,-0.203239,-0.000562,43.490303,0.05057,0.001578
187,2024,DeForest Buckner,Colts,DT,556,238,8.726052,0.036664,1.617739,0.006797,39.915966,2.716383,0.084881
188,2024,Christian Gonzalez,Patriots,CB,930,405,18.18555,0.044902,5.366295,0.01325,46.17284,5.609919,0.175292
189,2024,Terrion Arnold,Lions,CB,878,276,10.683368,0.038707,1.317496,0.004773,40.942028,1.485158,0.046405
190,2024,Kamari Lassiter,Texans,CB,766,308,13.96451,0.045339,3.962332,0.012864,41.883118,4.137266,0.129283
191,2024,Renardo Green,49ers,CB,657,288,11.882181,0.041257,2.965233,0.010295,45.48611,3.167519,0.098983
192,2024,Jonathan Greenard,Vikings,DE,875,287,9.738349,0.033931,0.72457,0.002524,45.296165,1.939504,0.060605
193,2024,C.J. Gardner-Johnson,Eagles,S,861,324,7.499277,0.023145,-3.414992,-0.01054,40.4321,-3.371053,-0.105337
194,2024,Trent McDuffie,Chiefs,CB,943,327,8.295041,0.025367,-2.699422,-0.008255,40.366974,-2.5176,-0.078679
195,2024,Rasul Douglas,Bills,CB,794,321,15.506458,0.048306,4.872856,0.01518,41.121494,5.083644,0.158847
196,2024,Jamel Dean,Buccaneers,CB,663,207,4.701524,0.022712,-1.689386,-0.008161,40.579712,-1.58059,-0.049392
197,2024,Tyson Campbell,Jaguars,CB,723,311,8.376058,0.026932,-0.318308,-0.001023,46.623795,-0.125866,-0.003941
198,2024,Jonathon Cooper,Broncos,LB,775,275,7.775458,0.028274,-0.511239,-0.001859,40.363636,0.158804,0.004962
199,2024,Jonathan Jones,Patriots,CB,681,282,5.875425,0.020834,-2.878041,-0.010205,47.16312,-2.728346,-0.085254
200,2024,Marcus Jones,Patriots,CB,552,186,8.036559,0.043207,2.17366,0.011686,47.31183,2.271579,0.070982
