"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Jaylen Waddle","Dolphins","WR","19","3.26","0.048","1.41","0.021","2.88","0.15","57.9%","2.3","0.1","31.6%","31.6%"
"[object Object]","2025","Wan'Dale Robinson","Giants","WR","33","3.10","0.019","-0.60","-0.004","11.39","0.35","57.6%","1.4","0.0","42.4%","15.2%"
"[object Object]","2025","Rashid Shaheed","2 teams","WR","24","2.93","0.027","0.23","0.002","2.59","0.11","45.8%","1.6","0.1","25.0%","25.0%"
"[object Object]","2025","Tyler Warren","Colts","TE","26","2.90","0.026","0.13","0.001","-1.07","-0.04","42.3%","1.6","0.1","19.2%","19.2%"
"[object Object]","2025","Malik Washington","Dolphins","WR","9","2.90","0.047","1.20","0.019","1.72","0.19","55.6%","2.0","0.1","33.3%","22.2%"
"[object Object]","2025","Josh Oliver","Vikings","TE","8","2.88","0.107","2.14","0.079","3.33","0.42","62.5%","2.5","0.1","25.0%","25.0%"
"[object Object]","2025","Roman Wilson","Steelers","WR","9","2.86","0.052","1.37","0.025","4.96","0.55","55.6%","2.1","0.1","44.4%","22.2%"
"[object Object]","2025","Evan Engram","Broncos","TE","13","2.84","0.035","0.98","0.012","3.44","0.26","46.2%","2.1","0.1","30.8%","23.1%"
"[object Object]","2025","Travis Hunter","Jaguars","WR","10","2.80","0.061","1.72","0.037","5.43","0.54","50.0%","2.3","0.1","50.0%","20.0%"
"[object Object]","2025","Chimere Dike","Titans","WR","20","2.75","0.030","0.42","0.005","-2.10","-0.10","35.0%","1.6","0.0","25.0%","25.0%"
"[object Object]","2025","RJ Harvey","Broncos","RB","9","2.72","0.062","1.69","0.038","5.36","0.60","66.7%","2.2","0.1","44.4%","11.1%"
"[object Object]","2025","Tyrell Shavers","Bills","WR","9","2.71","0.040","0.95","0.014","2.69","0.30","66.7%","1.8","0.1","33.3%","11.1%"
"[object Object]","2025","Ja'Tavion Sanders","Panthers","TE","8","2.71","0.044","1.17","0.019","6.72","0.84","62.5%","2.0","0.1","50.0%","12.5%"
"[object Object]","2025","Tyler Lockett","2 teams","WR","18","2.68","0.024","-0.39","-0.003","-4.95","-0.27","33.3%","1.1","0.0","33.3%","33.3%"
"[object Object]","2025","Tre' Harris","Chargers","WR","16","2.65","0.030","0.63","0.007","8.45","0.53","56.3%","1.8","0.1","37.5%","18.8%"
"[object Object]","2025","Sam LaPorta","Lions","TE","11","2.49","0.036","0.77","0.011","3.64","0.33","63.6%","1.7","0.1","45.5%","18.2%"
"[object Object]","2025","Brock Wright","Lions","TE","7","2.41","0.073","1.60","0.048","-6.22","-0.89","42.9%","2.1","0.1","0.0%","42.9%"
"[object Object]","2025","Aaron Jones Sr.","Vikings","RB","8","2.37","0.070","1.38","0.041","1.15","0.14","50.0%","1.8","0.1","12.5%","12.5%"
"[object Object]","2025","Keon Coleman","Bills","WR","26","2.29","0.023","-0.10","-0.001","6.00","0.23","57.7%","1.2","0.0","34.6%","26.9%"
"[object Object]","2025","Kenneth Gainwell","Steelers","RB","21","2.29","0.022","-0.36","-0.003","0.93","0.04","47.6%","0.8","0.0","14.3%","19.0%"
"[object Object]","2025","Chase Brown","Bengals","RB","16","2.12","0.023","-0.14","-0.002","0.89","0.06","43.8%","0.9","0.0","31.3%","25.0%"
"[object Object]","2025","Chris Moore","Commanders","WR","12","2.10","0.033","0.43","0.007","5.92","0.49","41.7%","1.3","0.0","33.3%","8.3%"
"[object Object]","2025","Tim Patrick","Jaguars","WR","7","2.07","0.038","0.75","0.014","3.73","0.53","42.9%","1.4","0.0","42.9%","28.6%"
"[object Object]","2025","Brian Thomas Jr.","Jaguars","WR","23","2.06","0.020","-0.41","-0.004","3.17","0.14","39.1%","0.9","0.0","30.4%","17.4%"
"[object Object]","2025","Xavier Legette","Panthers","WR","19","2.04","0.019","-0.64","-0.006","4.36","0.23","47.4%","0.7","0.0","36.8%","21.1%"
"[object Object]","2025","Juwan Johnson","Saints","TE","20","2.02","0.018","-0.58","-0.005","3.13","0.16","50.0%","0.9","0.0","35.0%","15.0%"
"[object Object]","2025","Colby Parkinson","Rams","TE","10","2.02","0.053","1.18","0.031","1.60","0.16","40.0%","1.7","0.1","30.0%","20.0%"
"[object Object]","2025","Brenton Strange","Jaguars","TE","9","1.93","0.025","0.11","0.001","3.66","0.41","55.6%","1.1","0.0","44.4%","11.1%"
"[object Object]","2025","Davis Allen","Rams","TE","9","1.90","0.045","0.93","0.022","0.05","0.01","33.3%","1.5","0.0","11.1%","11.1%"
"[object Object]","2025","Mack Hollins","Patriots","WR","19","1.87","0.017","-0.74","-0.007","1.82","0.10","52.6%","0.6","0.0","21.1%","21.1%"
"[object Object]","2025","Elijah Higgins","Cardinals","TE","9","1.85","0.030","0.37","0.006","-0.02","-0.00","44.4%","1.2","0.0","33.3%","44.4%"
"[object Object]","2025","Zay Jones","Cardinals","WR","8","1.78","0.038","0.67","0.014","-2.78","-0.35","37.5%","1.3","0.0","25.0%","25.0%"
"[object Object]","2025","DJ Moore","Bears","WR","21","1.77","0.014","-1.04","-0.008","8.77","0.42","52.4%","0.5","0.0","42.9%","14.3%"
