Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsInEndzone,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero
Foster Moreau,NO,TE,69,No,No,Yes,42,6,No,Yes,6,1,0.1429,6,1,98,30,11,71,1,0.6429,0.2857,0.0714,4,11.8333,158.3,2.3333,16.3333,7.9925,16.3333,5,1.8333,5,11.774,11.774,0.087,15.8,21.8,18.8,21.8,24.8,21.8,18.8,21.8,21.8,21.8,18.8,24.8,21.8,,17,,1,,1,,2,0.3333,,,1,,,
Tyler Allgeier,ATL,RB,28,No,Yes,No,22,6,No,Yes,6,1,0.2727,6,1,44,49,12,-5,,,0.0455,,,-0.8333,97.2,2,7.3333,1.0514,7.3333,8.1667,2,1,8.2841,8.2841,0.2143,4.4,10.4,7.4,13.4,10.4,10.4,7.4,10.4,10.4,10.4,7.4,10.4,10.4,,17,,,,,,1,0.1667,,,,,0.9545,
Khalil Herbert,CIN,RB,11,No,No,No,8,,No,Yes,,,,,,,,,,,,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0.75,
Devaughn Vele,DEN,WR,39,Yes,No,No,34,7,No,Yes,7,1,0.2059,6,0.8571,88,24,7,82,1,0.0294,0.6765,0.2941,6,11.7143,158.3,2.5882,12.5714,3.9836,14.6667,4,1.1667,5,14.0709,14.0709,0.1795,14.8,20.8,17.8,20.8,20.8,20.8,17.8,20.8,20.8,20.8,17.8,20.8,20.8,1,13,,1,,1,1,,,,,2,0.1429,,
Trey Sermon,IND,RB,27,No,Yes,No,18,1,No,Yes,1,1,0.0556,1,1,4,4,3,,,,,0.0556,,,83.3,0.2222,4,-1.8271,4,4,3,,1.3069,1.3069,0.037,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,17,,,,,,,,,,,,0.9444,
Josh Downs,IND,WR,69,No,Yes,No,69,26,No,Yes,26,1,0.3768,24,0.9231,289,151,27,145,1,0.0145,0.7971,0.1594,24,5.5769,125.8,4.1884,11.1154,4.1855,12.0417,6.2917,1.125,17,42.8351,42.8351,0.3768,34.9,58.9,46.9,58.9,58.9,61.9,49.9,58.9,58.9,58.9,46.9,58.9,58.9,5,14,2,,1,,1,2,0.0833,1,0.0385,,0.0385,0.029,
Hassan Haskins,LAC,RB,3,No,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,29,No,Yes,No,24,3,No,Yes,3,1,0.125,3,1,46,17,8,29,,0.5833,0.3333,0.0833,3,9.6667,118.8,1.9167,15.3333,6.3325,15.3333,5.6667,2.6667,3,6.3632,6.3632,0.1034,4.6,7.6,6.1,7.6,9.1,7.6,6.1,7.6,7.6,7.6,6.1,9.1,7.6,1,17,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,50,No,No,No,35,9,No,Yes,9,1,0.2571,9,1,76,88,23,-12,,,0.0571,0.0286,4,-1.3333,101.9,2.1714,8.4444,2.676,8.4444,9.7778,2.5556,4,14.1809,14.1809,0.18,7.6,16.6,12.1,21.1,16.6,16.6,12.1,16.6,16.6,16.6,12.1,16.6,16.6,1,15,1,,1,,,4,0.4444,1,0.1111,,,0.9143,
Mack Hollins,BUF,WR,66,No,No,No,61,9,No,Yes,9,1,0.1475,8,0.8889,113,34,4,107,3,0.0164,0.3607,0.623,6,11.8889,158.3,1.8525,12.5556,4.2273,14.125,4.25,0.5,7,17.6143,17.6143,0.1364,29.3,37.3,33.3,37.3,37.3,40.3,36.3,37.3,37.3,37.3,33.3,37.3,37.3,4,17,2,4,1,3,,,,,,1,,,
Kendrick Bourne,NE,WR,48,No,No,No,45,8,No,Yes,8,1,0.1778,6,0.75,90,21,7,101,,,0.2222,0.7778,7,12.625,111.5,2,11.25,2.9603,15,3.5,1.1667,4,13.3365,13.3365,0.1667,9,15,12,15,15,15,12,15,15,15,12,15,15,,12,,1,,,1,,,,,2,0.125,,
Juwan Johnson,NO,TE,80,No,No,Yes,72,19,No,Yes,19,1,0.2639,18,0.9474,270,120,44,187,1,0.4722,0.3472,0.1806,16,9.8421,136.3,3.75,14.2105,6.072,15,6.6667,2.4444,14,36.1823,36.1823,0.2375,33,51,42,51,60,54,45,51,51,51,42,60,51,1,17,2,1,1,1,,1,0.0556,1,0.0526,3,,,2
David Montgomery,DET,RB,37,No,No,Yes,29,6,Yes,Yes,6,1,0.2069,6,1,44,49,10,-5,,,0.069,,2,-0.8333,97.2,1.5172,7.3333,1.3412,7.3333,8.1667,1.6667,3,8.447,8.447,0.1622,4.4,10.4,7.4,13.4,10.4,10.4,7.4,10.4,10.4,10.4,7.4,10.4,10.4,2,14,,,,,,1,0.1667,,,,,0.931,
Tyler Boyd,TEN,WR,64,No,Yes,No,63,12,No,Yes,12,1,0.1905,10,0.8333,117,53,36,90,,,0.8889,0.1111,11,7.5,107.3,1.8571,9.75,2.5675,11.7,5.3,3.6,5,20.0763,20.0763,0.1875,11.7,21.7,16.7,21.7,21.7,24.7,19.7,21.7,21.7,21.7,16.7,21.7,21.7,1,16,4,,2,,,1,0.1,,,,,,
Ja'Tavion Sanders,CAR,TE,63,No,Yes,No,56,12,No,Yes,12,1,0.2143,12,1,168,117,56,51,,0.375,0.4643,0.1607,8,4.25,118.8,3,14,7.3729,14,9.75,4.6667,6,18.0566,18.0566,0.1905,16.8,28.8,22.8,28.8,34.8,31.8,25.8,28.8,28.8,28.8,22.8,34.8,28.8,,16,,,,,,3,0.25,,,2,,,
Anthony Miller,BLT,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Tanner Conner,MIA,TE,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Quintin Morris,BUF,TE,12,No,No,No,11,,No,Yes,,,,,,,,,,,0.6364,0.0909,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,
Teagan Quitoriano,HST,TE,10,No,No,No,7,,No,Yes,,,,,,,,,,,0.7143,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,0.1429,
Ashton Dulin,IND,WR,15,No,Yes,No,14,2,No,Yes,2,1,0.1429,1,0.5,54,35,8,59,1,,0.4286,0.5714,2,29.5,135.4,3.8571,27,13.5339,54,35,8,1,4.6164,4.6164,0.1333,11.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,,15,,,,,,1,1,,,1,,,
Jauan Jennings,SF,WR,72,No,No,No,69,27,No,Yes,27,1,0.3913,27,1,375,103,48,276,5,,0.5507,0.4493,25,10.2222,158.3,5.4348,13.8889,5.7847,13.8889,3.8148,1.7778,17,48.1145,48.1145,0.375,67.5,94.5,81,94.5,94.5,97.5,84,94.5,94.5,94.5,81,94.5,94.5,5,15,3,1,3,1,,5,0.1852,,,4,,,
Jamison Crowder,WAS,WR,9,No,No,Yes,8,,Yes,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,33,No,No,Yes,30,7,Yes,Yes,7,1,0.2333,6,0.8571,94,38,14,71,,,0.7,0.2333,5,10.1429,118.8,3.1333,13.4286,4.5123,15.6667,6.3333,2.3333,4,11.7262,11.7262,0.2121,9.4,15.4,12.4,15.4,15.4,15.4,12.4,15.4,15.4,15.4,12.4,15.4,15.4,,17,1,,,,,1,0.1667,1,0.1429,,,0.0667,
Marquise Brown,KC,WR,5,No,No,No,5,3,No,Yes,3,1,0.6,3,1,32,27,3,5,,,0.2,0.8,3,1.6667,111.1,6.4,10.6667,4.6742,10.6667,9,1,2,4.2079,4.2079,0.6,3.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,1,2,,,,,,,,1,0.3333,,,,
Jalen Nailor,MIN,WR,75,No,No,No,73,15,Yes,Yes,15,1,0.2055,13,0.8667,215,41,14,213,5,,0.5342,0.4658,11,14.2,158.3,2.9452,14.3333,5.2536,16.5385,3.1538,1.0769,11,36.0884,36.0884,0.2,51.5,64.5,58,64.5,64.5,67.5,61,64.5,64.5,64.5,58,64.5,64.5,5,17,,6,,5,1,,,,,3,0.0667,,
John Metchie,HST,WR,31,No,Yes,No,30,5,No,Yes,5,1,0.1667,4,0.8,63,18,2,50,,,0.7,0.3,4,10,118.8,2.1,12.6,4.3327,15.75,4.5,0.5,3,11.4253,11.4253,0.1613,6.3,10.3,8.3,10.3,10.3,10.3,8.3,10.3,10.3,10.3,8.3,10.3,10.3,2,13,1,1,1,,,,,,,1,,,
Casey Washington,ATL,WR,2,No,No,No,2,1,No,Yes,1,1,0.5,,,,,,30,,,0.5,0.5,1,30,39.6,,,-9.194,,,,,1.9559,1.9559,0.5,,,,,,,,,,,,,,,2,,,,,1,,,,,1,1,,
Kenneth Gainwell,PHI,RB,26,Yes,Yes,No,17,6,No,Yes,6,1,0.3529,5,0.8333,49,49,30,-2,,,0.0588,0.2353,1,-0.3333,100.7,2.8824,8.1667,2.1829,9.8,9.8,6,3,9.1613,9.1613,0.2308,4.9,9.9,7.4,12.4,9.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,3,17,1,,,,,4,0.8,,,,,0.7059,
Jalen Brooks,DAL,WR,31,No,No,Yes,29,2,Yes,Yes,2,1,0.069,1,0.5,17,,,47,1,,0.1724,0.8276,1,23.5,118.8,0.5862,8.5,-3.2064,17,,,1,4.1414,4.1414,0.0645,7.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,1,14,1,1,,1,,,,,,2,,,
Jordan Mims,NO,RB,6,No,No,Yes,5,1,No,Yes,1,1,0.2,1,1,3,4,,-1,,,0.2,,1,-1,79.2,0.6,3,-2.819,3,4,,,1.5,1.5,0.1667,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,9,,,,,,,,,,,,0.8,
David Bell,CLV,WR,4,No,No,No,4,3,Yes,Yes,3,1,0.75,3,1,27,9,7,18,,,0.5,0.5,2,6,104.2,6.75,9,1.5732,9,3,2.3333,1,6.2934,6.2934,0.75,2.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,1,1,1,,1,,,1,0.3333,,,,,,
Kevin Austin,NO,WR,32,No,No,Yes,28,3,No,Yes,3,1,0.1071,3,1,46,8,3,38,,,0.0714,0.9286,3,12.6667,118.8,1.6429,15.3333,5.9953,15.3333,2.6667,1,2,7.321,7.321,0.0938,4.6,7.6,6.1,7.6,7.6,7.6,6.1,7.6,7.6,7.6,6.1,7.6,7.6,,8,,,,,,,,,,,,,
J.K. Dobbins,LAC,RB,44,No,No,No,27,3,No,Yes,3,1,0.1111,3,1,23,22,1,1,,,0.037,0.037,2,0.3333,98.6,0.8519,7.6667,1.4885,7.6667,7.3333,0.3333,1,4.3522,4.3522,0.0682,2.3,5.3,3.8,6.8,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,1,13,,,,,,,,,,,,0.9259,
Emari Demercado,ARZ,RB,18,No,No,No,15,5,No,Yes,5,1,0.3333,5,1,35,38,8,-3,,,0.1333,0.1333,1,-0.6,95.8,2.3333,7,1.3157,7,7.6,1.6,1,7.677,7.677,0.2778,3.5,8.5,6,11,8.5,8.5,6,8.5,8.5,8.5,6,8.5,8.5,1,13,,,,,,1,0.2,,,,,0.7333,
Equanimeous St. Brown,NO,WR,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Myles Gaskin,MIN,RB,1,No,No,No,1,1,Yes,Yes,1,1,1,1,1,11,13,2,-2,,,1,,,-2,112.5,11,11,4.802,11,13,2,,1.7831,1.7831,1,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,4,,,,,,,,,,,,,
Samaje Perine,KC,RB,26,Yes,No,No,22,4,No,Yes,4,1,0.1818,4,1,89,75,13,14,,,0.0455,0.0455,2,3.5,118.8,4.0455,22.25,15.4677,22.25,18.75,3.25,3,6.0845,6.0845,0.1538,8.9,12.9,10.9,14.9,12.9,12.9,10.9,12.9,12.9,12.9,10.9,12.9,12.9,,17,,,,,,,,,,,,0.9091,
Josh Whyle,TEN,TE,33,No,Yes,No,27,5,No,Yes,5,1,0.1852,5,1,46,39,5,7,,0.4815,0.2963,0.2222,3,1.4,105,1.7037,9.2,3.5291,9.2,7.8,1,3,6.9832,6.9832,0.1515,4.6,9.6,7.1,9.6,12.1,9.6,7.1,9.6,9.6,9.6,7.1,12.1,9.6,,17,,,,,,,,,,,,,
Travis Etienne,JAX,RB,51,No,Yes,No,39,12,No,Yes,12,1,0.3077,11,0.9167,120,123,52,13,,,,0.0513,3,1.0833,108.3,3.0769,10,3.5314,10.9091,11.1818,4.7273,7,20.1424,20.1424,0.2353,12,23,17.5,28.5,23,26,20.5,23,23,23,17.5,23,23,1,15,,1,,,,6,0.5455,,,,,0.9487,
Jordan Whittington,LA,WR,29,No,No,No,29,6,Yes,Yes,6,1,0.2069,6,1,79,61,11,18,,,0.3793,0.5517,3,3,118.8,2.7241,13.1667,7.0589,13.1667,10.1667,1.8333,4,9.2063,9.2063,0.2069,7.9,13.9,10.9,13.9,13.9,13.9,10.9,13.9,13.9,13.9,10.9,13.9,13.9,,15,,,,,,1,0.1667,,,,,0.069,
Ronnie Rivers,LA,RB,13,No,No,No,7,3,Yes,Yes,3,1,0.4286,3,1,19,28,2,-9,,,,,,-3,93.1,2.7143,6.3333,0.6548,6.3333,9.3333,0.6667,1,4.4342,4.4342,0.2308,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,,6,,,,,,,,,,,,1,
Amari Cooper,BUF,WR,56,No,Yes,No,55,15,No,Yes,15,1,0.2727,12,0.8,216,46,9,240,2,,0.1455,0.8545,14,16,158.3,3.9273,14.4,4.8702,18,3.8333,0.75,9,28.9329,28.9329,0.2679,33.6,45.6,39.6,45.6,45.6,48.6,42.6,45.6,45.6,45.6,39.6,45.6,45.6,1,14,2,2,1,2,1,3,0.25,,,4,0.0667,,3
Darius Slayton,NYG,WR,64,Yes,Yes,No,54,8,No,Yes,8,1,0.1481,6,0.75,177,31,25,198,2,,0.2037,0.7963,7,24.75,156.3,3.2778,22.125,10.7855,29.5,5.1667,4.1667,5,15.7544,15.7544,0.125,29.7,35.7,32.7,35.7,35.7,38.7,35.7,35.7,35.7,35.7,32.7,35.7,35.7,,16,,,,,,1,0.1667,,,6,,,
Jake Ferguson,DAL,TE,58,No,No,Yes,51,14,Yes,Yes,14,1,0.2745,14,1,105,69,27,36,,0.2745,0.5294,0.1765,12,2.5714,97.9,2.0588,7.5,1.4976,7.5,4.9286,1.9286,2,21.5547,21.5547,0.2414,10.5,24.5,17.5,24.5,31.5,27.5,20.5,24.5,24.5,24.5,17.5,31.5,24.5,1,14,1,,1,,,4,0.2857,,,,,0.0196,
Davante Adams,NYJ,WR,119,No,No,No,117,37,No,Yes,37,1,0.3162,34,0.9189,592,249,84,387,4,,0.4274,0.5726,34,10.4595,154.8,5.0598,16,7.7505,17.4118,7.3235,2.4706,26,64.6614,64.6614,0.3109,83.2,117.2,100.2,117.2,117.2,120.2,103.2,117.2,117.2,117.2,100.2,117.2,117.2,6,14,3,2,2,2,2,5,0.1471,2,0.0541,6,0.0541,,2
Jerry Jeudy,CLV,WR,117,Yes,No,Yes,115,33,No,Yes,33,1,0.287,26,0.7879,388,138,21,360,1,0.0087,0.2957,0.687,29,10.9091,125.8,3.3739,11.7576,3.4736,14.9231,5.3077,0.8077,17,55.73,55.73,0.2821,44.8,70.8,57.8,70.8,70.8,73.8,60.8,70.8,70.8,70.8,57.8,70.8,70.8,2,17,1,1,,,5,2,0.0769,2,0.0606,4,0.1515,0.0087,
Dare Ogunbowale,HST,RB,37,No,Yes,No,22,3,No,Yes,3,1,0.1364,3,1,48,40,18,8,1,,0.1364,,2,2.6667,158.3,2.1818,16,9.4768,16,13.3333,6,3,7.3913,7.3913,0.0811,10.8,13.8,12.3,15.3,13.8,13.8,12.3,13.8,13.8,13.8,12.3,13.8,13.8,1,17,,,,,,2,0.6667,,,,,0.8636,
Nico Collins,HST,WR,53,No,Yes,No,52,18,No,Yes,18,1,0.3462,16,0.8889,268,68,26,242,1,,0.1538,0.8462,18,13.4444,137.3,5.1538,14.8889,6.1556,16.75,4.25,1.625,13,36.0865,36.0865,0.3396,32.8,48.8,40.8,48.8,48.8,51.8,43.8,48.8,48.8,48.8,40.8,48.8,48.8,2,12,3,2,2,1,1,,,,,3,0.0556,,1
Marquez Valdes-Scantling,NO,WR,50,No,No,Yes,50,12,No,Yes,12,1,0.24,9,0.75,228,45,24,260,3,,0.18,0.82,11,21.6667,156.3,4.56,19,8.7155,25.3333,5,2.6667,8,27.3959,27.3959,0.24,40.8,49.8,45.3,49.8,49.8,52.8,48.3,49.8,49.8,49.8,45.3,49.8,49.8,1,14,2,3,1,2,1,,,,,7,0.0833,,
Brevyn Spann-Ford,DAL,TE,13,No,No,Yes,10,4,Yes,Yes,4,1,0.4,4,1,34,11,5,23,,0.7,0.2,0.1,4,5.75,102.1,3.4,8.5,1.3992,8.5,2.75,1.25,2,5.7253,5.7253,0.3077,3.4,7.4,5.4,7.4,9.4,7.4,5.4,7.4,7.4,7.4,5.4,9.4,7.4,,17,,,,,,,,,,,,,
Tyler Higbee,LA,TE,8,No,No,No,8,4,Yes,Yes,4,1,0.5,4,1,23,16,6,7,2,0.875,0.125,,4,1.75,130.2,2.875,5.75,-0.107,5.75,4,1.5,2,8.675,8.675,0.5,14.3,18.3,16.3,18.3,20.3,18.3,16.3,18.3,18.3,18.3,16.3,20.3,18.3,2,3,1,,1,,,,,,,,,,
Parris Campbell,PHI,WR,12,Yes,No,No,12,,No,Yes,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
Jake Bobo,SEA,WR,22,No,No,No,20,3,Yes,Yes,3,1,0.15,3,1,22,9,3,13,,,0.2,0.75,2,4.3333,97.2,1.1,7.3333,1.1837,7.3333,3,1,1,4.1696,4.1696,0.1364,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,17,,,,,,,,,,,,0.05,
