Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,TargetsTotal,TargetsPerRoute,YardsAirTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,TargetsInEndzone,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsCatchableTotal,TargetsCatchablePercentage
Tutu Atwell,LA,WR,6,Yes,Yes,Yes,6,No,No,,17,0.5,2,0.3333,14,0.5,1,7,,,-6.7749,3.1841,3.1841,0.3333,,,,1,,,,
David Moore,CAR,WR,10,No,Yes,No,10,Yes,No,,17,0.2,4,0.4,60,0.8,3,15,1,39.6,-9.5969,9.8513,9.8513,0.4,1,,1,1,,,,
Garrett Wilson,NYJ,WR,18,Yes,Yes,Yes,17,No,No,,17,0.4706,5,0.2941,54,0.5294,5,10.8,1,,-8.1328,9.0927,9.0927,0.2778,,,1,,,,,
Amon-Ra St. Brown,DET,WR,8,No,No,Yes,8,No,No,,17,0.875,2,0.25,13,0.125,2,6.5,,39.6,-7.9916,3.7406,3.7406,0.25,1,,1,,1,0.5,,
Jeff Wilson,MIA,RB,1,Yes,Yes,Yes,1,No,No,1,9,,,,,,,,,,,,,,,,,,,,,
Kenny McIntosh,SEA,RB,2,Yes,Yes,Yes,1,No,No,1,11,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,2,No,No,No,2,No,No,,16,0.5,,,,0.5,,,,,,,,,,,,,,,,
Erik Ezukanma,MIA,WR,1,No,Yes,Yes,1,No,No,,2,,,,,1,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,2,Yes,No,No,2,No,No,1,17,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,10,No,No,No,10,Yes,No,,15,,3,0.3,93,1,3,31,3,39.6,-13.1195,5.9397,5.9397,0.3,,,,,,,,
Johnny Wilson,PHI,WR,3,No,No,No,3,No,No,,16,0.6667,,,,0.3333,,,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,8,No,No,No,1,No,No,,17,,1,1,5,,,5,,39.6,-6.48,1.6494,1.6494,0.125,,1,,,,,,
Blake Whiteheart,CLV,TE,6,No,No,Yes,5,No,No,,11,0.4,,,,,,,,,,,,,,0.6,,,,,,
Zach Charbonnet,SEA,RB,13,Yes,Yes,Yes,9,No,No,0.8889,17,0.1111,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,14,No,No,No,9,No,No,0.7778,15,0.1111,1,0.1111,,0.1111,,,,39.6,-5.8271,1.3748,1.3748,0.0714,,,,,,,,
Jared Wayne,HST,WR,1,No,Yes,Yes,1,No,No,,3,,,,,1,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,9,Yes,Yes,Yes,5,No,No,0.2,17,0.4,,,,,,,,,,,,,,0.4,,,,,,
Cam Grandy,CIN,TE,1,No,No,No,1,No,No,,8,,,,,1,,,,,,,,,,,,,,,,
Malachi Corley,NYJ,WR,2,No,Yes,No,2,No,No,,7,0.5,1,0.5,11,0.5,,11,,39.6,-8.3152,4.3427,4.3427,0.5,1,,1,,,,,
Elijah Moore,CLV,WR,28,No,No,Yes,28,No,No,,17,0.5357,8,0.2857,149,0.4643,7,18.625,5,,-10.3887,12.8594,12.8594,0.2857,1,,,,,,,
Rachaad White,TB,RB,17,No,Yes,Yes,13,No,No,0.6923,16,0.1538,,,,0.1538,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,15,No,Yes,No,15,Yes,No,,17,0.2667,3,0.2,55,0.7333,3,18.3333,1,39.6,-10.3834,7.6363,7.6363,0.2,1,,1,,1,0.3333,,
Ty Johnson,BUF,RB,9,No,No,No,9,No,No,0.7778,17,,1,0.1111,22,0.1111,,22,1,39.6,-11.9429,1.8261,1.8261,0.1111,,0.1111,,,,,,
Kareem Hunt,KC,RB,5,No,No,No,4,No,No,0.75,13,0.25,1,0.25,-4,,1,-4,,39.6,-5.5699,1.576,1.576,0.2,,,1,,1,1,,
Van Jefferson,PIT,WR,10,No,No,No,9,No,No,,17,0.1111,2,0.2222,41,0.8889,2,20.5,1,39.6,-10.3248,4.558,4.558,0.2,,,,,,,,
Brandon Powell,MIN,WR,2,No,No,Yes,2,No,No,,17,0.5,,,,0.5,,,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,5,No,No,Yes,2,No,No,1,17,,,,,,,,,,,,,,,,,,,,,
Jacob Cowing,SF,WR,3,No,Yes,Yes,3,Yes,No,,15,0.3333,,,,0.6667,,,,,,1.8875,1.8875,,,,,,,,,
Calvin Austin,PIT,WR,12,No,No,No,11,No,No,,17,0.6364,2,0.1818,77,0.3636,1,38.5,2,39.6,-14.9103,5.1039,5.1039,0.1667,,,,,,,,
Bijan Robinson,ATL,RB,17,No,Yes,No,12,Yes,No,0.8333,17,0.0833,2,0.1667,8,0.0833,,4,,39.6,-6.5467,3.1942,3.1942,0.1176,,,,,,,,
Geoff Swaim,CLV,TE,2,No,No,No,2,No,No,,8,,,,,,,,,,,,,,,1,,,,,,
Pat Freiermuth,PIT,TE,14,No,No,No,13,No,No,,17,0.8462,2,0.1538,32,0.0769,2,16,1,,-9.1717,5.5358,5.5358,0.1429,1,0.0769,1,,,,,
Isiah Pacheco,KC,RB,3,No,No,No,3,No,No,0.6667,7,,1,0.3333,2,0.3333,1,2,,39.6,-6.3947,1.388,1.388,0.3333,,,,,,,,
Zay Jones,ARZ,WR,4,No,Yes,Yes,4,Yes,No,,11,0.5,1,0.25,26,0.5,1,26,1,,-13.0114,1.8877,1.8877,0.25,,,,,,,,
Ben Sinnott,WAS,TE,1,No,No,No,1,No,No,,17,1,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,HST,WR,3,No,No,No,3,No,No,,8,0.3333,1,0.3333,20,0.6667,1,20,1,,-10.8652,2.4056,2.4056,0.3333,,,,,,,,
Jeremy Ruckert,NYJ,TE,5,Yes,Yes,Yes,4,No,No,,17,0.25,,,,0.25,,,,,,,,,,0.5,,,,,,
Darnell Mooney,ATL,WR,19,No,No,No,19,No,No,0.0526,16,0.2105,4,0.2105,47,0.7368,3,11.75,,,-8.8238,7.7344,7.7344,0.2105,,,,,,,,
Brandon Aiyuk,SF,WR,4,No,Yes,No,4,Yes,No,,7,,1,0.25,26,1,,26,1,,-13.0114,1.8944,1.8944,0.25,1,,,,,,,
Allen Lazard,NYJ,WR,6,Yes,Yes,Yes,4,No,No,,12,,1,0.25,21,1,1,21,1,,-11.2393,2.0583,2.0583,0.1667,,,,,,,,
Kaden Davis,CLV,WR,1,No,No,Yes,1,No,No,,1,1,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,12,No,No,No,11,No,No,,17,0.5455,2,0.1818,33,0.4545,1,16.5,1,39.6,-10.1196,6.8213,6.8213,0.1667,,,,,,,,
Chase Brown,CIN,RB,11,No,Yes,Yes,9,No,No,0.7778,16,0.1111,2,0.2222,31,0.1111,1,15.5,1,39.6,-13.0483,3.8883,3.8883,0.1818,1,,1,,,,,
Najee Harris,PIT,RB,7,No,No,No,5,No,No,1,17,,1,0.2,-1,,,-1,,39.6,-5.819,1.5188,1.5188,0.1429,,,,,,,,
Tanner Hudson,CIN,TE,3,No,No,No,3,No,No,0.3333,11,,1,0.3333,4,0.3333,1,4,,39.6,-6.0667,1.3867,1.3867,0.3333,,0.3333,,,,,,
Curtis Samuel,BUF,WR,9,No,No,No,9,No,No,,14,0.5556,2,0.2222,15,0.4444,1,7.5,,,-7.1825,3.1916,3.1916,0.2222,,,,,,,,
Austin Ekeler,WAS,RB,4,No,No,No,4,No,No,0.5,12,0.5,,,,,,,,,,,,,,,,,,,,
Jaheim Bell,NE,TE,1,No,No,No,1,No,No,,13,1,,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,11,No,No,No,6,No,No,0.3333,17,0.1667,,,,,,,,,,,,,,0.5,,,,,,
Daniel Bellinger,NYG,TE,5,No,No,No,4,No,No,,17,0.25,,,,0.5,,,,,,,,,,0.25,,,,,,
Jalen Reagor,LAC,WR,2,No,No,No,2,No,No,,8,0.5,,,,0.5,,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,13,No,Yes,Yes,12,Yes,No,,16,0.75,3,0.25,29,0.0833,3,9.6667,,39.6,-8.1664,6.1759,6.1759,0.2308,1,0.1667,1,,,,,
Patrick Taylor,SF,RB,8,No,Yes,Yes,6,Yes,No,1,9,,1,0.1667,,,1,,,39.6,-5.8271,1.4769,1.4769,0.125,,,1,,,,,
Carson Steele,KC,RB,2,No,Yes,No,2,Yes,No,1,16,,,,,,,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,10,Yes,No,No,10,No,No,,17,0.3,5,0.5,50,0.7,3,10,,,-8.2783,8.76,8.76,0.5,,,,,,,,
Dawson Knox,BUF,TE,7,No,No,No,6,No,No,,16,0.3333,,,,,,,,,,,,,,0.6667,,,,,,
Noah Brown,WAS,WR,4,No,No,No,4,No,No,,11,0.5,4,1,47,0.5,4,11.75,,,-8.9141,6.8076,6.8076,1,,,,,,,,
Marcedes Lewis,CHI,TE,4,Yes,No,No,1,No,No,,17,,,,,,,,,,,,,,,1,,,,,,
Kyren Williams,LA,RB,14,No,No,No,7,No,No,0.8571,16,0.1429,,,,,,,,,,,,,,,,,,,,
Trey Palmer,TB,WR,9,No,Yes,Yes,9,No,No,,15,0.4444,3,0.3333,34,0.5556,3,11.3333,1,39.6,-8.3709,4.8704,4.8704,0.3333,,,,,,,,
Tucker Kraft,GB,TE,14,Yes,No,No,13,No,No,,17,0.1538,2,0.1538,20,0.2308,2,10,,39.6,-8.1288,3.171,3.171,0.1429,,0.6154,,,,,,
Payne Durham,TB,TE,4,No,Yes,Yes,3,No,No,,16,0.3333,1,0.3333,12,,,12,,39.6,-8.6661,1.8486,1.8486,0.25,,0.6667,,,,,,
Will Shipley,PHI,RB,3,No,No,No,2,No,No,1,13,,,,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,9,No,Yes,No,9,Yes,No,0.1111,17,0.5556,2,0.2222,62,0.3333,1,31,1,39.6,-11.9573,4.2415,4.2415,0.2222,,,,,,,,
Dallas Goedert,PHI,TE,6,No,No,No,5,No,No,,10,0.6,2,0.4,16,,1,8,,39.6,-7.3664,3.1765,3.1765,0.3333,,0.4,,,,,,
Roschon Johnson,CHI,RB,4,Yes,No,No,3,No,No,1,13,,,,,,,,,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,12,No,Yes,Yes,12,Yes,No,,11,0.3333,4,0.3333,93,0.6667,4,23.25,2,39.6,-11.7935,8.6871,8.6871,0.3333,1,,1,,,,,
Calvin Ridley,TEN,WR,26,No,Yes,No,26,No,No,,17,0.2308,11,0.4231,228,0.7692,11,20.7273,6,,-10.7177,19.4878,19.4878,0.4231,,,,,,,,
Raheem Mostert,MIA,RB,9,Yes,Yes,Yes,5,No,No,0.4,13,0.4,,,,0.2,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,9,No,Yes,No,9,Yes,No,,11,0.5556,1,0.1111,18,0.4444,1,18,,,-10.8991,3.183,3.183,0.1111,1,,1,,,,,
Kyle Pitts,ATL,TE,17,No,Yes,No,15,Yes,No,,17,0.5333,1,0.0667,6,0.1333,,6,,39.6,-7.093,1.361,1.361,0.0588,,0.3333,,,,,,
Dante Pettis,NO,WR,5,No,Yes,Yes,5,No,No,,8,0.2,1,0.2,42,0.8,1,42,1,39.6,-15,1.4185,1.4185,0.2,,,,,,,,
Jayden Reed,GB,WR,10,Yes,No,No,10,No,No,0.1,17,0.6,,,,0.3,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,10,No,No,No,10,No,No,,17,0.2,1,0.1,30,0.8,1,30,1,,-9.194,2.1781,2.1781,0.1,,,,,,,,
Ainias Smith,PHI,WR,2,No,No,No,2,No,No,,7,1,,,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,14,No,No,No,14,No,No,,7,0.6429,2,0.1429,23,0.3571,2,11.5,,,-8.6309,2.605,2.605,0.1429,,,,,,,,
Will Mallory,IND,TE,3,No,No,No,3,No,No,,10,1,1,0.3333,14,,1,14,,,-10.2817,2.0651,2.0651,0.3333,,,,,,,,
Bo Melton,GB,WR,4,Yes,No,No,4,No,No,,17,0.5,2,0.5,81,0.5,2,40.5,2,39.6,-14.9459,3.1505,3.1505,0.5,,,,,,,,
Alec Pierce,IND,WR,15,No,No,No,15,No,No,,16,0.3333,3,0.2,42,0.6667,3,14,,,-9.7313,5.1919,5.1919,0.2,,,,,,,,
Drake London,ATL,WR,20,No,Yes,No,19,Yes,No,,17,0.4737,8,0.4211,108,0.5263,4,13.5,,,-9.651,13.9977,13.9977,0.4,1,,1,,,,,
Jalen Tolbert,DAL,WR,18,No,No,No,18,No,No,,17,0.2222,4,0.2222,79,0.7778,3,19.75,2,,-9.4646,7.1101,7.1101,0.2222,,,,,,,,
Bub Means,NO,WR,4,No,Yes,No,4,No,No,,7,0.5,,,,0.5,,,,,,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,6,No,No,No,6,No,No,,17,0.5,1,0.1667,5,0.5,1,5,,39.6,-6.3628,1.4103,1.4103,0.1667,,,,,,,,
Robert Woods,HST,WR,8,No,Yes,No,8,No,No,,15,0.625,,,,0.375,,,,,,,,,,,,,,,,
Brycen Tremayne,WAS,WR,1,No,No,No,1,No,No,,2,,,,,1,,,,,,,,,,,,,,,,
Khalil Shakir,BUF,WR,12,No,No,No,12,No,No,,15,0.75,4,0.3333,74,0.25,2,18.5,2,,-10.0952,10.7705,10.7705,0.3333,,,,,,,,
Sterling Shepard,TB,WR,13,No,Yes,Yes,13,No,No,,14,0.3077,1,0.0769,23,0.6923,1,23,1,39.6,-10.2174,1.4355,1.4355,0.0769,,,,,,,,
Christian McCaffrey,SF,RB,5,Yes,No,No,5,No,No,0.4,4,0.2,2,0.4,7,0.4,2,3.5,,,-6.5857,2.691,2.691,0.4,,,,,,,,
Ross Dwelley,ATL,TE,1,No,Yes,No,1,Yes,No,,14,,,,,1,,,,,,,,,,,,,,,,
Parker Hesse,DET,TE,2,No,Yes,No,2,Yes,No,,5,0.5,,,,0.5,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,7,No,No,Yes,4,No,No,,16,0.25,1,0.25,16,0.5,1,16,,39.6,-10.191,3.4525,3.4525,0.1429,1,0.25,1,,,,,
Jaxon Smith-Njigba,SEA,WR,23,Yes,Yes,Yes,22,No,No,,17,0.8182,6,0.2727,85,0.1818,3,14.1667,1,,-9.3055,15.4501,15.4501,0.2609,3,,3,1,,,,
Jalen Moreno-Cropper,DAL,WR,1,No,Yes,Yes,1,No,No,,1,1,,,,,,,,,,,,,,,,,,,,
Scott Miller,PIT,WR,1,No,No,No,1,No,No,,13,,1,1,42,1,1,42,1,39.6,-15,2.8952,2.8952,1,,,,,,,,
Jaylen Waddle,MIA,WR,21,Yes,Yes,Yes,21,No,No,,15,0.3333,6,0.2857,75,0.6667,6,12.5,1,,-8.9533,10.5485,10.5485,0.2857,,,1,,,,,
Tee Higgins,CIN,WR,5,No,No,No,5,No,No,,12,0.2,1,0.2,7,0.8,1,7,,39.6,-7.0645,3.2571,3.2571,0.2,1,,1,,,,,
Josh Jacobs,GB,RB,12,Yes,No,No,9,No,No,0.8889,17,,1,0.1111,-8,,,-8,,,-4.5287,1.1825,1.1825,0.0833,,0.1111,,,,,,
Cade Stover,HST,TE,7,No,Yes,No,4,No,No,0.25,15,,1,0.25,11,0.25,1,11,,39.6,-8.7402,1.2596,1.2596,0.1429,,0.5,,,,,,
Grant Calcaterra,PHI,TE,12,No,No,No,12,No,No,,17,0.5,1,0.0833,6,0.1667,,6,,39.6,-7.093,2.2874,2.2874,0.0833,,0.3333,1,,,,,
Rashod Bateman,BLT,WR,9,No,No,Yes,9,No,No,,17,0.1111,2,0.2222,77,0.8889,2,38.5,2,39.6,-14.9103,3.3238,3.3238,0.2222,1,,,,,,,
Rico Dowdle,DAL,RB,6,No,No,No,5,No,No,0.8,16,,,,,0.2,,,,,,,,,,,,,,,,
Ricky Pearsall,SF,WR,11,No,Yes,Yes,10,Yes,No,,11,0.4,3,0.3,60,0.6,3,20,1,,-10.6097,5.8346,5.8346,0.2727,,,,,,,,
Pharaoh Brown,SEA,TE,4,Yes,Yes,Yes,2,No,No,,15,,,,,,,,,,,,,,,1,,,,,,
Chris Olave,NO,WR,4,No,No,No,4,No,No,,8,0.25,1,0.25,16,0.75,1,16,,39.6,-10.0952,1.4091,1.4091,0.25,,,,,,,,
Jerome Ford,CLV,RB,14,No,No,No,11,No,No,0.4545,14,0.0909,,,,0.1818,,,,,,,,,,0.2727,,,,,,
George Pickens,PIT,WR,13,No,No,No,11,No,No,,14,0.2727,4,0.3636,82,0.7273,2,20.5,2,39.6,-10.1789,12.7813,12.7813,0.3077,2,,1,1,,,,
Jeremy McNichols,WAS,RB,2,No,No,No,2,No,No,0.5,17,0.5,,,,,,,,,,,,,,,,,,,,
Jermaine Burton,CIN,WR,4,No,Yes,Yes,4,No,No,,14,0.25,,,,0.75,,,,,,,,,,,,,,,,
Julius Chestnut,TEN,RB,3,No,Yes,No,3,No,No,0.6667,14,,,,,0.3333,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,23,No,No,No,23,No,No,,17,0.6522,8,0.3478,53,0.3478,7,6.625,,,-7.302,16.6191,16.6191,0.3478,1,,2,1,1,0.125,,
Hayden Hurst,LAC,TE,1,No,No,No,1,Yes,No,1,9,,,,,,,,,,,,,,,,,,,,,
Clyde Edwards-Helaire,NO,RB,1,No,Yes,Yes,1,No,No,1,2,,,,,,,,,,,,,,,,,,,,,
D'Onta Foreman,CLV,RB,2,No,No,Yes,2,No,No,1,11,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,SF,WR,14,Yes,No,No,14,No,No,0.0714,15,0.5714,4,0.2857,31,0.3571,3,7.75,,39.6,-7.0568,6.5166,6.5166,0.2857,,,,1,,,,
Devin Duvernay,JAX,WR,5,No,No,No,5,No,No,,13,1,,,,,,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,8,No,No,No,7,No,No,,17,0.7143,3,0.4286,37,0.2857,2,12.3333,,39.6,-8.7056,6.9754,6.9754,0.375,1,,1,1,,,,
Nikko Remigio,KC,WR,1,No,Yes,No,1,Yes,No,,5,1,1,1,3,,1,3,,39.6,-5.4499,1.4234,1.4234,1,,,,1,,,,
Ryan Flournoy,DAL,WR,6,No,No,No,6,No,No,,11,,2,0.3333,26,1,1,13,1,39.6,-8.8011,3.5288,3.5288,0.3333,,,,,,,,
Brenton Strange,JAX,TE,10,No,No,No,9,No,No,0.1111,17,0.5556,1,0.1111,2,,1,2,,39.6,-6.3701,3.2687,3.2687,0.1,,0.3333,1,,,,,
Rhamondre Stevenson,NE,RB,7,No,No,No,2,No,No,1,15,,,,,,,,,,,,,,,,,,,,,
Zack Moss,CIN,RB,3,No,No,Yes,2,No,No,1,8,,,,,,,,,,,,,,,,,,,,,
Tyreek Hill,MIA,WR,21,Yes,Yes,Yes,21,No,No,,17,0.3333,6,0.2857,106,0.6667,5,17.6667,1,,-10.2958,15.4073,15.4073,0.2857,4,,4,,,,,
Demarcus Robinson,LA,WR,16,Yes,Yes,Yes,16,No,No,,17,0.5,2,0.125,29,0.5,1,14.5,,,-10.3557,5.1768,5.1768,0.125,,,1,,,,,
Travis Kelce,KC,TE,15,No,No,No,15,No,No,,16,0.4667,6,0.4,130,0.2667,2,21.6667,3,,-10.8708,10.6781,10.6781,0.4,1,0.2667,1,1,,,,
Cole Kmet,CHI,TE,16,Yes,No,No,12,No,No,,17,1,2,0.1667,30,,1,15,1,,-11.2675,3.331,3.331,0.125,,,,,,,,
Kimani Vidal,LAC,RB,3,No,No,No,2,Yes,No,1,10,,,,,,,,,,,,,,,,,,,,,
Mason Tipton,NO,WR,7,No,No,No,7,No,No,,11,0.4286,1,0.1429,33,0.5714,,33,1,39.6,-12.4675,1.9867,1.9867,0.1429,,,,,,,,
Kylen Granson,IND,TE,7,No,No,No,7,No,No,,17,0.1429,1,0.1429,19,0.1429,1,19,,39.6,-10.5955,3.5618,3.5618,0.1429,,0.7143,,,,,,
Devin Thompkins,CAR,WR,1,No,No,No,1,No,No,,7,,,,,1,,,,,,,,,,,,,,,,
Terrace Marshall,LV,WR,4,No,No,No,4,Yes,No,,7,0.25,,,,0.75,,,,,,,,,,,,,,,,
Mike Williams,PIT,WR,8,No,No,No,7,No,No,,18,0.1429,2,0.2857,73,0.8571,1,36.5,2,39.6,-13.7986,5.1515,5.1515,0.25,1,,,1,,,,
Derius Davis,LAC,WR,1,No,No,No,1,Yes,No,,15,1,,,,,,,,,,,,,,,,,,,,
Jamaal Williams,NO,RB,6,No,Yes,Yes,3,No,No,0.3333,14,,,,,0.3333,,,,,,2.3299,2.3299,,,0.3333,,,,,,
Ryan Miller,TB,WR,2,No,Yes,Yes,2,No,No,,11,,,,,1,,,,,,,,,,,,,,,,
Kenny Yeboah,NYJ,TE,2,Yes,Yes,Yes,2,No,No,,9,,,,,0.5,,,,,,,,,,0.5,,,,,,
A.J. Brown,PHI,WR,11,No,No,No,11,No,No,,13,0.1818,7,0.6364,65,0.8182,6,9.2857,1,,-7.8874,14.0892,14.0892,0.6364,,,,,,,,
Luke McCaffrey,WAS,WR,4,No,No,No,4,No,No,,17,0.75,1,0.25,15,0.25,,15,,,-10.4097,1.6027,1.6027,0.25,,,,,,,,
Brock Wright,DET,TE,4,No,No,Yes,4,No,No,,17,,1,0.25,7,0.25,1,7,,,-7.3078,1.5941,1.5941,0.25,,0.75,,,,,,
Brandin Cooks,DAL,WR,6,No,No,No,6,No,No,,10,0.3333,2,0.3333,11,0.6667,2,5.5,,,-6.656,4.3134,4.3134,0.3333,,,,,,,,
Isaac Guerendo,SF,RB,1,No,Yes,Yes,1,Yes,No,1,16,,,,,,,,,,,,,,,,,,,,,
Jalin Hyatt,NYG,WR,12,No,No,No,12,No,No,,16,0.1667,1,0.0833,31,0.8333,1,31,1,,-12.5972,1.3704,1.3704,0.0833,,,,,,,,
David Njoku,CLV,TE,19,No,No,No,19,No,No,,11,0.3684,5,0.2632,42,0.0526,5,8.4,,,-7.8801,9.088,9.088,0.2632,1,0.5789,2,,,,,
Brock Bowers,LV,TE,22,No,No,No,21,Yes,No,,17,0.6667,11,0.5238,127,0.0476,7,11.5455,3,,-7.8593,22.6109,22.6109,0.5,4,0.2857,4,4,1,0.0909,,
Xavier Legette,CAR,WR,12,No,Yes,No,12,Yes,No,,16,0.25,2,0.1667,47,0.75,2,23.5,1,39.6,-11.3462,5.7456,5.7456,0.1667,,,,,,,,
Craig Reynolds,DET,RB,1,No,No,Yes,1,No,No,,14,,,,,1,,,,,,,,,,,,,,,,
Johnny Mundt,MIN,TE,5,No,No,Yes,4,No,No,,17,0.5,,,,,,,,,,,,,,0.5,,,,,,
Durham Smythe,MIA,TE,7,Yes,Yes,Yes,4,No,No,,17,0.5,1,0.25,15,,,15,,39.6,-10.6391,1.6798,1.6798,0.1429,,0.5,,,,,,
Greg Dulcich,NYG,TE,5,No,No,No,4,No,No,,9,0.75,,,,,,,,,,,,,,0.25,,,,,,
Justin Jefferson,MIN,WR,15,No,No,Yes,15,No,No,,17,0.2,7,0.4667,90,0.8,5,12.8571,1,,-8.9977,14.2369,14.2369,0.4667,1,,1,,,,,
Rashid Shaheed,NO,WR,5,No,No,No,5,No,No,,6,0.2,5,1,97,0.8,5,19.4,3,,-10.0812,9.4433,9.4433,1,,,,1,,,,
Tony Pollard,TEN,RB,15,No,Yes,No,11,No,No,1,16,,1,0.0909,-4,,,-4,,39.6,-5.5699,1.2623,1.2623,0.0667,,,,,,,,
Romeo Doubs,GB,WR,9,No,Yes,No,9,No,No,,13,0.2222,3,0.3333,38,0.7778,2,12.6667,1,,-8.7483,4.9696,4.9696,0.3333,,,1,,,,,
Ray Davis,BUF,RB,3,No,No,No,2,No,No,0.5,17,0.5,,,,,,,,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,8,No,Yes,No,7,Yes,No,,14,0.4286,2,0.2857,16,0.5714,1,8,,39.6,-7.2246,2.7334,2.7334,0.25,,,,,,,,
Ladd McConkey,LAC,WR,15,No,No,No,15,Yes,No,,16,0.8,6,0.4,84,0.2,3,14,1,,-9.3322,9.9272,9.9272,0.4,,,,1,,,,
Alex Bachman,LV,WR,1,No,No,No,1,No,No,,5,,,,,1,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,1,No,Yes,Yes,1,No,No,,1,1,,,,,,,,,,,,,,,,,,,,
C.J. Uzomah,PHI,TE,1,No,No,No,1,No,No,,7,1,,,,,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,20,No,Yes,No,19,No,No,0.0526,17,0.3684,2,0.1053,38,0.2632,2,19,1,,-12.3678,4.1325,4.1325,0.1,,0.3158,,,,,,
Gerald Everett,CHI,TE,2,Yes,No,No,2,No,No,,17,1,,,,,,,,,,,,,,,,,,,,
