Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone
Tee Higgins,CIN,WR,41,No,Yes,No,41,13,Yes,3,Yes,13,1,0.3171,10,1,0.7692,133,161,0.7805,12.3846,148.4,3.2439,10.2308,1.8316,13.3,25.7978,25.7978,0.3171,25.3,35.3,30.3,35.3,35.3,38.3,33.3,35.3,35.3,35.3,30.3,35.3,35.3,12,,59,32,1,3,0.3,0.2195,9,,,2,0.0769,5.9,3.2,8,4,,1,,2,1
Jaxon Smith-Njigba,SEA,WR,55,Yes,Yes,No,50,14,No,3,Yes,14,1,0.28,10,,0.7143,133,153,0.2,10.9286,95.2,2.66,9.5,1.2919,13.3,26.8462,26.8462,0.2545,19.3,29.3,24.3,29.3,29.3,32.3,27.3,29.3,29.3,29.3,24.3,29.3,29.3,17,,48,13,1,2,0.2,0.8,9,1,0.0714,2,0.0714,4.8,1.3,9,1,,,,1,
Sam LaPorta,DET,TE,46,Yes,No,Yes,41,9,No,2,Yes,9,1,0.2195,7,2,0.7778,72,73,0.2195,8.1111,139.6,1.7561,8,0.2039,10.2857,22.4107,22.4107,0.1957,25.2,32.2,28.7,32.2,35.7,32.2,28.7,32.2,32.2,32.2,28.7,35.7,32.2,16,,23,5,1,,,0.1951,7,1,0.1111,,0.1111,3.2857,0.7143,6,5,0.5854,3,,3,3
Parker Hesse,DET,TE,1,Yes,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,
D'Wayne Eskridge,MIA,WR,1,Yes,No,No,1,1,Yes,,Yes,1,1,1,1,,1,6,5,,5,91.7,6,6,-0.3628,6,1.4644,1.4644,1,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,,1,1,,1,1,1,1,,,,,1,1,1,,,,,,
Joshua Cephus,JAX,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,5,No,No,No,2,1,No,,Yes,1,1,0.5,1,,1,12,-3,,-3,116.7,6,12,5.8809,12,1.5235,1.5235,0.2,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,4,1,15,2,,,,,1,1,1,,,15,2,1,,,,,,
Khalil Shakir,BUF,WR,16,No,No,No,13,4,No,1,Yes,4,1,0.3077,4,1,1,72,51,0.2308,12.75,118.8,5.5385,18,9.5711,18,5.318,5.318,0.25,7.2,11.2,9.2,11.2,11.2,11.2,9.2,11.2,11.2,11.2,9.2,11.2,11.2,15,,21,9,,,,0.6923,2,,,1,,5.25,2.25,2,,0.0769,,,,
Sterling Shepard,TB,WR,20,No,No,Yes,20,5,No,1,Yes,5,1,0.25,5,1,1,57,52,0.5,10.4,114.2,2.85,11.4,3.2278,11.4,8.7379,8.7379,0.25,5.7,10.7,8.2,10.7,10.7,10.7,8.2,10.7,10.7,10.7,8.2,10.7,10.7,14,,5,1,,,,0.5,3,,,,,1,0.2,3,1,,,1,,
Chris Blair,ATL,WR,2,No,No,No,2,1,No,,Yes,1,1,0.5,1,,1,17,16,1,16,118.8,8.5,17,6.9048,17,1.4909,1.4909,0.5,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,3,,1,,,,,,1,,,,,1,,1,,,,,,
Robert Woods,HST,WR,13,No,No,Yes,11,,Yes,,Yes,,,,,,,,,0.6364,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,0.3636,,,,,,,,,,,,,,
Chris Rodriguez Jr.,WAS,RB,1,No,No,Yes,1,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,23,No,No,Yes,23,5,Yes,1,Yes,5,1,0.2174,4,,0.8,42,47,0.3913,9.4,141.3,1.8261,8.4,0.6749,10.5,13.3825,13.3825,0.2174,10.2,14.2,12.2,14.2,14.2,14.2,12.2,14.2,14.2,14.2,12.2,14.2,14.2,17,,23,12,,1,0.25,0.6087,4,,,1,,5.75,3,3,1,,1,,1,1
Alec Pierce,IND,WR,23,No,No,No,21,7,No,2,No,7,1,0.3333,3,,0.4286,75,149,0.8571,21.2857,82.4,3.5714,10.7143,-0.1823,25,15.0752,15.0752,0.3043,7.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,10.5,9,10.5,10.5,16,,11,4,2,,,0.1429,7,,,3,0.2857,3.6667,1.3333,3,,,1,,,
Drake London,ATL,WR,29,No,No,No,29,13,No,4,Yes,13,1,0.4483,8,,0.6154,104,144,0.6552,11.0769,112.3,3.5862,8,-0.457,13,27.9261,27.9261,0.4483,16.4,24.4,20.4,24.4,24.4,27.4,23.4,24.4,24.4,24.4,20.4,24.4,24.4,17,,26,14,1,3,0.375,0.3448,12,,,1,0.0769,3.25,1.75,4,5,,3,,1,1
Jalen Tolbert,DAL,WR,57,No,No,Yes,52,13,Yes,5,Yes,13,1,0.25,9,1,0.6923,141,188,0.5769,14.4615,130.6,2.7115,10.8462,2.092,15.6667,23.7047,23.7047,0.2281,20.1,29.1,24.6,29.1,29.1,32.1,27.6,29.1,29.1,29.1,24.6,29.1,29.1,17,,45,16,,,,0.4231,10,,,3,,5,1.7778,5,1,,1,1,1,1
Bo Melton,GB,WR,4,No,No,Yes,4,2,No,,Yes,2,1,0.5,2,,1,27,26,0.5,13,118.8,6.75,13.5,4.2952,13.5,5.2818,5.2818,0.5,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,17,,1,,,,,0.5,1,,,,,0.5,,2,,,,,,
Bub Means,NO,WR,7,Yes,No,No,7,,No,,Yes,,,,,,,,,0.7143,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.2857,,,,,,,,,,,,,,
Mike Boone,CAR,RB,2,No,No,No,1,1,No,,Yes,1,1,1,,,,,-6,,-6,39.6,,,-5.0893,,1.4167,1.4167,0.5,,,,,,,,,,,,,,5,,,,1,,,1,,,,,1,,,,,,,,,
Will Mallory,IND,TE,5,No,No,No,5,,No,,Yes,,,,,,,,,0.4,,,,,,,1.8073,1.8073,,,,,,,,,,,,,,,10,,,,,,,0.6,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,49,No,No,No,49,11,Yes,3,Yes,11,1,0.2245,7,1,0.6364,104,106,0.5102,9.6364,124.8,2.1224,9.4545,1.2197,14.8571,18.024,18.024,0.2245,16.4,23.4,19.9,23.4,23.4,26.4,22.9,23.4,23.4,23.4,19.9,23.4,23.4,16,,33,21,2,3,0.4286,0.4694,8,1,0.0909,1,0.1818,4.7143,3,6,1,0.0204,1,,1,1
Noah Fant,SEA,TE,38,Yes,Yes,No,33,4,No,,Yes,4,1,0.1212,4,,1,48,32,,8,116.7,1.4545,12,4.3217,12,6.589,6.589,0.1053,4.8,8.8,6.8,8.8,10.8,8.8,6.8,8.8,8.8,8.8,6.8,10.8,8.8,14,,16,6,,,,0.6364,3,,,,,4,1.5,2,,0.3636,,,,
Jordan Akins,CLV,TE,23,No,No,Yes,21,4,Yes,1,Yes,4,1,0.1905,4,1,1,54,35,0.381,8.75,118.8,2.5714,13.5,5.1436,13.5,6.1956,6.1956,0.1739,5.4,9.4,7.4,9.4,11.4,9.4,7.4,9.4,9.4,9.4,7.4,11.4,9.4,17,,19,3,,,,0.0952,3,,,,,4.75,0.75,3,,0.5238,,,,
Nick Vannett,TEN,TE,6,No,No,Yes,4,2,Yes,,Yes,2,1,0.5,2,,1,17,8,,4,141.7,4.25,8.5,2.4333,8.5,3.4854,3.4854,0.3333,7.7,9.7,8.7,9.7,10.7,9.7,8.7,9.7,9.7,9.7,8.7,10.7,9.7,17,,9,2,,,,,,,,,,4.5,1,2,1,1,,,1,
Peyton Hendershot,KC,TE,2,No,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,0.5,,,,,,,,,,0.5,,,,
James Cook,BUF,RB,8,No,No,No,7,2,No,,Yes,2,1,0.2857,2,,1,7,,0.2857,,81.3,1,3.5,-2.8143,3.5,2.8888,2.8888,0.25,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,16,0.7143,7,,,,,,,,,,,3.5,,,,,,,,
Treylon Burks,TEN,WR,1,No,No,No,1,1,Yes,,Yes,1,1,1,1,,1,13,12,1,12,118.8,13,13,3.9539,13,1.3779,1.3779,1,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,5,,1,1,,,,,,,,,,1,1,1,,,,,,
Ja'Lynn Polk,NE,WR,8,No,No,No,8,2,No,1,Yes,2,1,0.25,1,,0.5,6,31,0.875,15.5,56.3,0.75,3,-6.6871,6,3.6634,3.6634,0.25,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,15,,1,,,,,0.125,1,,,1,,1,,,,,,,,
Isaiah Likely,BLT,TE,22,No,No,Yes,20,3,Yes,,Yes,3,1,0.15,3,,1,55,23,0.2,7.6667,158.3,2.75,18.3333,10.5197,18.3333,5.2683,5.2683,0.1364,11.5,14.5,13,14.5,16,14.5,13,14.5,14.5,14.5,13,16,14.5,16,,32,13,,,,0.5,2,,,,,10.6667,4.3333,2,1,0.3,,,1,
Dalton Schultz,HST,TE,26,No,No,Yes,23,3,Yes,1,Yes,3,1,0.1304,2,,0.6667,18,16,0.1304,5.3333,82.6,0.7826,6,-2.4259,9,8.225,8.225,0.1154,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,17,0.0435,19,4,,,,0.1304,1,,,,,9.5,2,1,1,0.6957,,,,
George Kittle,SF,TE,42,No,No,No,35,14,Yes,1,Yes,14,1,0.4,13,1,0.9286,173,86,0.0571,6.1429,118.2,4.9429,12.3571,5.921,13.3077,23.1394,23.1394,0.3333,17.3,30.3,23.8,30.3,36.8,33.3,26.8,30.3,30.3,30.3,23.8,36.8,30.3,15,0.0286,82,34,1,2,0.1538,0.3714,10,,,1,0.0714,6.3077,2.6154,6,1,0.5429,,,,
Keenan Allen,CHI,WR,20,No,No,Yes,20,6,No,1,Yes,6,1,0.3,4,,0.6667,63,43,0.45,7.1667,141,3.15,10.5,3.0646,15.75,10.2353,10.2353,0.3,12.3,16.3,14.3,16.3,16.3,16.3,14.3,16.3,16.3,16.3,14.3,16.3,16.3,15,0.05,30,4,1,,,0.5,4,,,,0.1667,7.5,1,3,1,,,,1,
Chig Okonkwo,TEN,TE,20,No,No,Yes,18,5,Yes,,Yes,5,1,0.2778,4,,0.8,15,24,0.1111,4.8,79.2,0.8333,3,-4.0855,3.75,9.5355,9.5355,0.25,0.5,4.5,2.5,4.5,6.5,4.5,1.5,3.5,3.5,3.5,1.5,6.5,3.5,17,0.0556,12,1,,1,0.25,0.5556,4,1,0.2,1,,3,0.25,,1,0.2778,,,,
Gerald Everett,CHI,TE,7,No,No,Yes,7,1,No,,Yes,1,1,0.1429,1,,1,6,2,,2,91.7,0.8571,6,-0.3701,6,1.3816,1.3816,0.1429,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,17,,4,1,,,,0.2857,,,,,,4,1,,,0.7143,,,,
Lucas Krull,DEN,TE,18,No,No,No,17,2,No,,Yes,2,1,0.1176,2,,1,26,20,0.3529,10,118.8,1.5294,13,4.3126,13,2.8347,2.8347,0.1111,2.6,4.6,3.6,4.6,5.6,4.6,3.6,4.6,4.6,4.6,3.6,5.6,4.6,13,0.0588,6,5,,,,0.1765,2,,,,,3,2.5,2,,0.4118,,,,
Tyler Johnson,LA,WR,8,Yes,Yes,No,8,1,No,,Yes,1,1,0.125,1,,1,9,8,0.75,8,104.2,1.125,9,1.4894,9,1.4558,1.4558,0.125,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,15,,1,1,,,,0.25,1,,,,,1,1,,,,,,,
C.J. Uzomah,PHI,TE,5,No,No,No,2,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.5,,,,,,0.5,,,,,,,,,,,,,,
Brandon Johnson,PIT,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Alex Bachman,LV,WR,1,No,Yes,Yes,1,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,2,No,No,Yes,2,,No,,Yes,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.5,,,,,,,,,,,,,,
Kendric Pryor,CIN,WR,1,No,Yes,No,1,,Yes,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,18,No,No,Yes,17,3,Yes,,Yes,3,1,0.1765,1,,0.3333,5,-2,0.0588,-0.6667,2.8,0.2941,1.6667,-4.1928,5,6.8083,6.8083,0.1667,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,16,0.9412,5,,2,,,,2,,,,0.6667,5,,1,,,,,,
Romeo Doubs,GB,WR,30,No,No,No,30,7,No,1,Yes,7,1,0.2333,4,1,0.5714,44,61,0.8667,8.7143,75.9,1.4667,6.2857,-1.5195,11,13.9977,13.9977,0.2333,16.4,20.4,18.4,20.4,20.4,20.4,18.4,20.4,20.4,20.4,18.4,20.4,20.4,13,,9,5,2,1,0.25,0.1333,7,,,,0.2857,2.25,1.25,2,2,,,1,2,
Ray Davis,BUF,RB,5,No,No,No,3,1,No,,Yes,1,1,0.3333,1,,1,7,2,,2,95.8,2.3333,7,0.6053,7,1.3971,1.3971,0.2,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,17,1,5,,,,,,,,,,,5,,1,,,,,,
JuJu Smith-Schuster,KC,WR,17,No,No,No,13,3,No,,Yes,3,1,0.2308,2,,0.6667,44,30,0.3846,10,109.7,3.3846,14.6667,6.5579,22,4.9418,4.9418,0.1765,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,14,,19,5,1,,,0.6154,1,,,,0.3333,9.5,2.5,2,,,,,,
Ladd McConkey,LAC,WR,39,No,No,No,39,6,No,,Yes,6,1,0.1538,3,,0.5,31,36,0.3333,6,65.3,0.7949,5.1667,-1.799,10.3333,10.8892,10.8892,0.1538,3.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,16,,20,3,3,,,0.6667,5,1,0.1667,,0.5,6.6667,1,1,,,,,,
Justin Jefferson,MIN,WR,57,Yes,No,Yes,56,17,No,5,Yes,17,1,0.3036,12,2,0.7059,189,187,0.6964,11,107.2,3.375,11.1176,3.0319,15.75,30.3504,30.3504,0.2982,18.9,30.9,24.9,30.9,30.9,33.9,27.9,30.9,30.9,30.9,24.9,30.9,30.9,17,0.0179,45,20,2,1,0.0833,0.2857,13,,,2,0.1176,3.75,1.6667,7,1,,,,,
