Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,playerStatsFirstDownsReceiving,ReceptionsHero,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal
Tyler Allgeier,ATL,RB,10,No,No,No,8,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,3,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,18,No,Yes,No,10,2,No,Yes,2,1,0.2,2,1,12,24,9,-12,1,,,-6,91.7,1.2,6,0.8001,6,12,4.5,2.4476,2.4476,0.1111,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,15,,,,,,1,0.5,2,2,1,,1,,,,
Zamir White,LV,RB,7,No,No,No,4,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Ameer Abdullah,LV,RB,21,No,Yes,No,15,4,No,Yes,4,1,0.2667,3,0.75,16,5,,8,0.8667,,0.1333,2,81.3,1.0667,4,-3.0026,5.3333,1.6667,,6.2075,6.2075,0.1905,1.6,4.6,3.1,6.1,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,,16,,,,,,,,1,,,,3,,,,
Ashton Dulin,IND,WR,9,No,Yes,No,7,1,Yes,Yes,1,1,0.1429,,,,,,9,,0.2857,0.7143,9,39.6,,,-7.4539,,,,3.0672,3.0672,0.1111,,,,,,,,,,,,,,,15,1,,,,,,,1,,,,,,,,
Jauan Jennings,SF,WR,41,No,No,No,39,14,Yes,Yes,14,1,0.359,13,0.9286,161,16,8,159,,0.3846,0.6154,11.3571,114.6,4.1282,11.5,3.0002,12.3846,1.2308,0.6154,23.4896,23.4896,0.3415,16.1,29.1,22.6,29.1,29.1,32.1,25.6,29.1,29.1,29.1,22.6,29.1,29.1,1,15,6,1,5,,,1,0.0769,12,,,,9,,,,
Ja'Tavion Sanders,CAR,TE,26,No,No,No,24,6,Yes,Yes,6,1,0.25,5,0.8333,63,31,18,36,,0.5417,0.1667,6,110.4,2.625,10.5,3.3211,12.6,6.2,3.6,9.3978,9.3978,0.2308,6.3,11.3,8.8,11.3,13.8,11.3,8.8,11.3,11.3,11.3,8.8,13.8,11.3,,16,1,,1,,,,,3,,,,3,1,0.2917,1,0.1667
Quintin Morris,BUF,TE,1,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,1,,
Mack Hollins,BUF,WR,26,Yes,Yes,No,24,5,No,Yes,5,1,0.2083,4,0.8,45,10,1,44,,0.2917,0.7083,8.8,143.8,1.875,9,1.3918,11.25,2.5,0.25,9.8854,9.8854,0.1923,10.5,14.5,12.5,14.5,14.5,14.5,12.5,14.5,14.5,14.5,12.5,14.5,14.5,1,17,1,1,1,1,1,,,3,,,,2,,,,
Juwan Johnson,NO,TE,29,No,Yes,Yes,27,8,No,Yes,8,1,0.2963,7,0.875,82,20,3,80,,0.2222,0.2963,10,149,3.037,10.25,1.2333,11.7143,2.8571,0.4286,15.2209,15.2209,0.2759,14.2,21.2,17.7,21.2,24.7,21.2,17.7,21.2,21.2,21.2,17.7,24.7,21.2,1,17,1,1,1,1,1,,,7,,,,4,,0.4815,1,0.125
David Montgomery,DET,RB,5,No,No,No,2,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,
Tyler Boyd,TEN,WR,34,No,Yes,No,31,8,No,Yes,8,1,0.2581,6,0.75,93,35,10,62,,0.871,0.129,7.75,113,3,11.625,4.4774,15.5,5.8333,1.6667,16.5358,16.5358,0.2353,9.3,15.3,12.3,15.3,15.3,15.3,12.3,15.3,15.3,15.3,12.3,15.3,15.3,2,16,1,1,1,,,1,0.1667,7,,,1,5,,,2,0.25
Hassan Haskins,LAC,RB,8,No,No,No,6,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,14,No,Yes,No,9,,Yes,Yes,,,,,,,,,,,0.2222,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,0.6667,,
Jaylen Warren,PIT,RB,15,No,No,No,9,3,No,Yes,3,1,0.3333,3,1,20,20,4,,0.8889,,,,94.4,2.2222,6.6667,0.7811,6.6667,6.6667,1.3333,4.664,4.664,0.2,2,5,3.5,6.5,5,5,3.5,5,5,5,3.5,5,5,1,15,,,,,,,,,,,,2,,0.1111,,
Jalen Brooks,DAL,WR,17,No,No,Yes,17,4,No,Yes,4,1,0.2353,3,0.75,45,20,11,40,,0.0588,0.9412,10,111.5,2.6471,11.25,2.9177,15,6.6667,3.6667,6.5799,6.5799,0.2353,4.5,7.5,6,7.5,7.5,7.5,6,7.5,7.5,7.5,6,7.5,7.5,,14,1,,,,,2,0.6667,2,,,,3,,,,
Kendrick Bourne,NE,WR,24,Yes,Yes,No,22,4,No,Yes,4,1,0.1818,3,0.75,31,3,-1,54,,0.1364,0.8636,13.5,96.9,1.4091,7.75,-1.4812,10.3333,1,-0.3333,10.1298,10.1298,0.1667,3.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,,12,2,,1,,,,,3,,,1,1,,,,
Jordan Mims,NO,RB,7,No,Yes,Yes,6,5,No,Yes,5,1,0.8333,2,0.4,7,13,6,-4,1,,,-0.8,47.9,1.1667,1.4,-4.7582,3.5,6.5,3,9.4079,9.4079,0.7143,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,9,,,,,,,,3,1,0.2,,,,,,
Kevin Austin,NO,WR,15,No,Yes,Yes,14,3,No,Yes,3,1,0.2143,1,0.3333,14,3,,32,,0.3571,0.6429,10.6667,49.3,1,4.6667,-3.3768,14,3,,4.7418,4.7418,0.2,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,8,1,,,,,,,1,,,,1,,,,
Kenneth Gainwell,PHI,RB,10,No,Yes,No,6,1,No,Yes,1,1,0.1667,1,1,6,4,4,2,0.8333,0.1667,,2,91.7,1,6,-0.3947,6,4,4,1.3971,1.3971,0.1,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,17,,,,,,1,1,,,,,,,,,
Marquise Brown,KC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,17,No,No,Yes,16,1,Yes,Yes,1,1,0.0625,,,,,,10,,0.375,0.625,10,39.6,,,-7.5,,,,1.7084,1.7084,0.0588,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,,
John Metchie,HST,WR,16,No,No,No,12,3,No,Yes,3,1,0.25,3,1,51,9,,46,,0.6667,0.3333,15.3333,158.3,4.25,17,6.5417,17,3,,6.0871,6.0871,0.1875,11.1,14.1,12.6,14.1,14.1,14.1,12.6,14.1,14.1,14.1,12.6,14.1,14.1,1,13,2,1,2,1,1,,,2,,,,3,,,,
Jamison Crowder,WAS,WR,4,No,No,Yes,3,,No,Yes,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,16,No,No,Yes,15,1,No,Yes,1,1,0.0667,1,1,6,1,,5,,0.7333,0.2667,5,91.7,0.4,6,-0.3628,6,1,,1.4393,1.4393,0.0625,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,17,,,,,,,,1,,,,1,,,,
Jake Ferguson,DAL,TE,38,No,No,Yes,38,14,No,Yes,14,1,0.3684,13,0.9286,131,119,46,36,0.0263,0.4211,0.0789,2.5714,105.7,3.4474,9.3571,2.7993,10.0769,9.1538,3.5385,21.7325,21.7325,0.3684,13.1,26.1,19.6,26.1,32.6,29.1,22.6,26.1,26.1,26.1,19.6,32.6,26.1,1,14,2,,1,,,5,0.3846,10,2,0.1429,1,5,,0.4737,1,0.0714
Davante Adams,NYJ,WR,32,Yes,No,Yes,27,11,No,Yes,11,1,0.4074,8,0.7273,65,21,5,82,,0.4444,0.5556,7.4545,117.6,2.4074,5.9091,-1.5484,8.125,2.625,0.625,21.7817,21.7817,0.3438,12.5,20.5,16.5,20.5,20.5,20.5,16.5,20.5,20.5,20.5,16.5,20.5,20.5,3,14,3,3,1,1,1,1,0.125,11,1,0.0909,1,4,,,1,0.0909
Jerry Jeudy,CLV,WR,46,No,No,Yes,43,9,No,Yes,9,1,0.2093,5,0.5556,48,13,5,89,,0.2791,0.7209,9.8889,107.6,1.1163,5.3333,-2.6176,9.6,2.6,1,17.5214,17.5214,0.1957,10.8,15.8,13.3,15.8,15.8,15.8,13.3,15.8,15.8,15.8,13.3,15.8,15.8,2,17,2,2,,1,1,,,6,,,2,4,,,1,0.1111
Dare Ogunbowale,HST,RB,13,No,No,No,8,1,No,Yes,1,1,0.125,1,1,6,6,,,0.625,0.25,0.125,,91.7,0.75,6,0.1729,6,6,,2.7022,2.7022,0.0769,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,17,,,,,,,,,,,,,,,,
Nico Collins,HST,WR,24,No,No,No,24,13,No,Yes,13,1,0.5417,12,0.9231,194,59,26,157,,0.125,0.875,12.0769,158.3,8.0833,14.9231,5.7143,16.1667,4.9167,2.1667,24.0906,24.0906,0.5417,31.4,43.4,37.4,43.4,43.4,46.4,40.4,43.4,43.4,43.4,37.4,43.4,43.4,2,12,2,2,1,2,1,2,0.1667,9,1,0.0769,,10,,,,
Ronnie Rivers,LA,RB,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
Amari Cooper,BUF,WR,30,No,No,No,28,8,No,Yes,8,1,0.2857,4,0.5,46,7,,88,,0.2857,0.7143,11,107.3,1.6429,5.75,-2.3936,11.5,1.75,,15.1796,15.1796,0.2667,10.6,14.6,12.6,14.6,14.6,14.6,12.6,14.6,14.6,14.6,12.6,14.6,14.6,1,14,3,1,2,1,1,,,6,,,2,3,2,,2,0.25
Darius Slayton,NYG,WR,41,No,Yes,No,34,6,No,Yes,6,1,0.1765,5,0.8333,31,6,2,41,,0.2647,0.7353,6.8333,88.2,0.9118,5.1667,-1.7956,6.2,1.2,0.4,8.5516,8.5516,0.1463,3.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,,16,2,,1,,,,,4,,,,3,,,,
Samaje Perine,KC,RB,21,No,No,Yes,16,1,No,Yes,1,1,0.0625,1,1,9,10,8,-1,0.875,0.0625,0.0625,-1,104.2,0.5625,9,3.181,9,10,8,1.6,1.6,0.0476,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,17,,,,,,1,1,,,,,,,,,
Josh Whyle,TEN,TE,14,No,No,No,11,3,No,Yes,3,1,0.2727,3,1,30,6,2,33,,0.6364,0.0909,11,147.9,2.7273,10,1.9507,10,2,0.6667,4.6391,4.6391,0.2143,9,12,10.5,12,13.5,12,10.5,12,12,12,10.5,13.5,12,1,17,1,1,1,1,1,,,2,,,1,2,,0.2727,,
Travis Etienne,JAX,RB,23,No,Yes,No,13,2,Yes,Yes,2,1,0.1538,2,1,26,23,3,3,0.9231,,0.0769,1.5,118.8,2,13,6.7595,13,11.5,1.5,2.6682,2.6682,0.087,2.6,4.6,3.6,5.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,,15,,,,,,2,1,1,,,,1,,,,
Jordan Whittington,LA,WR,8,No,No,Yes,7,5,Yes,Yes,5,1,0.7143,4,0.8,19,25,11,7,,0.4286,0.5714,1.4,82.5,2.7143,3.8,-2.0095,4.75,6.25,2.75,7.2421,7.2421,0.625,1.9,5.9,3.9,5.9,5.9,5.9,3.9,5.9,5.9,5.9,3.9,5.9,5.9,,15,1,,,,,2,0.5,3,1,0.2,,2,,,1,0.2
J.K. Dobbins,LAC,RB,21,No,No,No,13,1,No,Yes,1,1,0.0769,,,10,,,2,1,,,2,68.8,0.7692,10,-1.7291,,,,1.3915,1.3915,0.0476,1,1,1,1,1,1,1,1,1,1,1,1,1,,13,,,,,,,,,,,,,,,1,1
Emari Demercado,ARZ,RB,12,No,No,No,7,1,Yes,Yes,1,1,0.1429,1,1,13,9,,4,0.7143,,0.2857,4,118.8,1.8571,13,6.3381,13,9,,1.4953,1.4953,0.0833,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,13,,,,,,,,,,,,,,,,
Equanimeous St. Brown,NO,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,1,No,No,Yes,1,1,No,Yes,1,1,1,,,,,,,1,,,,39.6,,,-5.8271,,,,1.5315,1.5315,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,1
Miles Sanders,CAR,RB,6,No,No,No,5,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
Charlie Jones,CIN,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
KhaDarel Hodge,ATL,WR,14,No,No,No,11,1,Yes,Yes,1,1,0.0909,,,,,,28,,0.3636,0.6364,28,39.6,,,-11.0769,,,,1.3761,1.3761,0.0714,,,,,,,,,,,,,,,16,1,,,,,,,1,,,1,,,,,
Will Dissly,LAC,TE,23,No,No,No,21,,No,Yes,,,,,,,,,,,0.4286,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,0.2857,,
Jamari Thrash,CLV,WR,4,No,No,Yes,4,1,No,Yes,1,1,0.25,,,,,,11,,0.5,0.5,11,39.6,,,-8.3152,,,,1.5019,1.5019,0.25,,,,,,,,,,,,,,,9,,,,,,,,1,,,,,,,1,1
Saquon Barkley,PHI,RB,28,No,Yes,No,22,4,Yes,Yes,4,1,0.1818,4,1,28,19,8,9,0.7273,0.1364,0.1364,2.25,95.8,1.2727,7,0.3025,7,4.75,2,5.6738,5.6738,0.1429,2.8,6.8,4.8,8.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,1,16,,,,,,1,0.25,2,1,0.25,,2,,,,
Evan Engram,JAX,TE,21,No,No,Yes,17,4,No,Yes,4,1,0.2353,4,1,31,6,3,25,,0.2941,0.3529,6.25,99,1.8235,7.75,0.8086,7.75,1.5,0.75,6.1538,6.1538,0.1905,3.1,7.1,5.1,7.1,9.1,7.1,5.1,7.1,7.1,7.1,5.1,9.1,7.1,,9,1,,1,,,,,4,1,0.25,,2,,0.3529,,
Brevyn Spann-Ford,DAL,TE,5,No,No,Yes,4,1,No,Yes,1,1,0.25,,,,,,18,,,,18,39.6,,,-12.9732,,,,3.4783,3.4783,0.2,,,,,,,,,,,,,,1,17,1,1,,,,,,1,,,,,,1,,
Tyler Higbee,LA,TE,1,No,No,Yes,1,1,Yes,Yes,1,1,1,1,1,7,4,,3,,1,,3,95.8,7,7,0.6782,7,4,,1.4184,1.4184,1,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,3,,,,,,,,1,,,,1,,,,
Parris Campbell,PHI,WR,8,Yes,No,No,8,2,No,Yes,2,1,0.25,2,1,12,5,1,7,,0.75,0.25,3.5,91.7,1.5,6,-0.5515,6,2.5,0.5,2.8475,2.8475,0.25,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,5,,,,,,,,1,,,,,,,,
Jake Bobo,SEA,WR,7,No,No,Yes,5,2,Yes,Yes,2,1,0.4,2,1,16,1,,15,,0.6,0.4,7.5,100,3.2,8,0.7985,8,0.5,,5.0884,5.0884,0.2857,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,1,17,1,,1,,,,,1,,,,2,,,,
Adonai Mitchell,IND,WR,10,No,Yes,No,10,3,Yes,Yes,3,1,0.3,3,1,36,1,-1,35,,0.1,0.9,11.6667,116.7,3.6,12,3.0133,12,0.3333,-0.3333,4.9142,4.9142,0.3,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,,17,,,,,,,,3,1,0.3333,1,1,1,,,
Connor Heyward,PIT,TE,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,7,1,-2,6,0.5,0.25,0.25,6,95.8,1.75,7,-0.093,7,1,-2,1.4052,1.4052,0.25,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,16,,,,,,,,1,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,27,No,No,No,26,5,No,Yes,5,1,0.1923,5,1,54,11,5,43,,0.1923,0.8077,8.6,111.7,2.0769,10.8,3.0994,10.8,2.2,1,8.9616,8.9616,0.1852,5.4,10.4,7.9,10.4,10.4,10.4,7.9,10.4,10.4,10.4,7.9,10.4,10.4,1,17,,,,,,1,0.2,4,,,,4,,,,
Marquez Valdes-Scantling,NO,WR,16,No,Yes,Yes,15,1,No,Yes,1,1,0.0667,1,1,14,2,,12,,0.2,0.8,12,118.8,0.9333,14,4.9539,14,2,,1.8084,1.8084,0.0625,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,14,,,,,,,,1,,,,1,,,,
Hunter Long,LA,TE,7,No,No,Yes,5,,Yes,Yes,,,,,,,,,,,,0.2,,,,,,,,,1.8541,1.8541,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,0.8,,
Kayshon Boutte,NE,WR,33,Yes,Yes,No,31,2,No,Yes,2,1,0.0645,1,0.5,9,1,1,16,,0.0968,0.871,8,62.5,0.2903,4.5,-3.0106,9,1,1,2.9962,2.9962,0.0606,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,15,,,,,,,,2,,,,,,0.0323,1,0.5
Robbie Chosen,MIA,WR,3,No,Yes,No,3,1,No,Yes,1,1,0.3333,,,,,,17,,0.3333,0.6667,17,39.6,,,-11.6653,,,,2.7,2.7,0.3333,,,,,,,,,,,,,,1,2,,1,,,,,,1,,,,,,,,
