Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,playerStatsFirstDownsPassing,AttemptsInEndzoneTotal,TouchdownsTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TowThrowPercentage,InterceptionsTotal
Cam Ward,TEN,QB,135,135,135,1,126,0.9333,0.9556,0.1199,135,22,0.0222,950,7.037,0.7547,7.4815,356,Yes,No,18,0.1333,38.3925,-0.1511,No,0.7111,0.1333,1,2.2237,2.5889,2.637,103.4,No,Yes,50,50,50,50,50,53,53,50,50,50,50,59.5,59.5,17,0.1259,46,2,3,1,0.0074,,,
Kyler Murray,ARZ,QB,71,71,71,1,68,0.9577,0.9859,0.1273,71,-2,0.0282,455,6.4085,0.8088,6.9718,94,No,No,14,0.1972,21.195,-0.1013,No,0.6479,0.2254,1,2.3056,2.2714,1.3239,102.8,No,Yes,26.2,26.2,26.2,26.2,26.2,29.2,29.2,26.2,26.2,26.2,26.2,30.75,30.75,5,0.0423,21,1,2,2,0.0282,,,
Tanner McKee,PHI,QB,9,9,9,1,8,0.8889,1,0.1875,9,3,0.1111,104,11.5556,0.7019,11.5556,34,No,No,1,0.1111,2.5745,-0.1749,No,0.7778,0.2222,1,2.2333,3,3.7778,114.8,No,Yes,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,5.2,5.2,4,,6,,,,,,,
Jake Browning,CIN,QB,39,39,39,1,37,0.9487,0.9487,0.1002,39,,,268,6.8718,0.7388,6.8718,79,No,No,7,0.1795,9.6897,-0.069,No,0.7179,0.1795,1,2.0154,2.3429,2.0256,95.3,No,No,10.72,10.72,10.72,10.72,10.72,10.72,10.72,10.72,10.72,10.72,10.72,13.4,13.4,5,0.1026,13,,,,,,,
Josh Johnson,WAS,QB,19,19,19,1,18,0.9474,0.9474,0.1366,19,,,224,11.7895,0.683,11.7895,75,No,No,3,0.1579,5.4464,-0.1288,No,0.7895,,1,2.2368,2.6333,3.9474,115.8,No,Yes,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,11.2,11.2,5,0.0526,10,,,,,,,
Joe Flacco,CIN,QB,123,123,123,1,108,0.878,0.9508,0.117,123,32,0.065,756,6.1463,0.6005,6.4715,379,No,No,21,0.1707,35.0634,-0.1143,No,0.7073,0.1545,1,2.2276,2.3333,3.122,97.7,No,No,38.24,38.24,38.24,38.24,38.24,41.24,41.24,38.24,38.24,38.24,38.24,45.8,45.8,13,0.0488,24,1,2,1,0.0081,,,
Daniel Jones,IND,QB,102,102,102,1,98,0.9608,0.9804,0.1599,102,-1,0.0196,958,9.3922,0.6127,10.1765,380,No,Yes,16,0.1569,30.8849,-0.1459,No,0.7451,0.1569,1,2.3304,2.325,3.7255,118.9,No,Yes,54.32,54.32,54.32,54.32,54.32,57.32,57.32,54.32,54.32,54.32,54.32,63.9,63.9,13,0.0392,47,2,4,2,0.0196,,,
Kyle Allen,DET,QB,1,1,1,1,,,1,0.3636,1,11,1,,,,,11,No,No,,,0.1941,-0.1941,No,1,,1,1.7,,11,39.6,No,Yes,,,,,,,,,,,,,,3,,,,,,,,,
Jacoby Brissett,ARZ,QB,153,153,153,1,141,0.9216,0.9477,0.1492,153,46,0.0261,1266,8.2745,0.564,8.5033,756,No,No,35,0.2288,50.4586,-0.101,No,0.7059,0.1176,1,2.4869,2.5629,4.9412,107.1,No,Yes,65.64,65.64,65.64,65.64,65.64,68.64,68.64,64.64,64.64,64.64,64.64,78.3,77.3,14,0.0131,65,6,4,6,0.0392,0.0196,,1
C.J. Stroud,HST,QB,101,101,101,1,91,0.901,0.9406,0.1313,101,51,0.0396,699,6.9208,0.5522,7.7129,407,No,Yes,30,0.297,34.1236,-0.0408,Yes,0.6337,0.1485,1,2.5337,2.4433,4.0297,108.7,No,Yes,43.96,43.96,43.96,43.96,43.96,46.96,46.96,43.96,43.96,43.96,43.96,50.95,50.95,14,0.0297,30,5,4,2,0.0198,,,
Jaxson Dart,NYG,QB,94,94,94,1,92,0.9787,1,0.1728,94,12,0.0213,754,8.0213,0.7188,8.6596,224,No,No,14,0.1489,26.9692,-0.138,No,0.7447,0.0745,1,2.2383,2.3286,2.383,110.7,No,Yes,42.16,42.16,42.16,42.16,42.16,45.16,45.16,42.16,42.16,42.16,42.16,49.7,49.7,14,0.0851,33,,3,,,,,
Brady Cook,NYJ,QB,43,43,43,1,36,0.8372,0.907,0.0856,43,14,0.0698,306,7.1163,0.7124,7.1163,140,No,No,5,0.1163,11.3974,-0.1488,No,0.8372,0.0698,1,2.1116,2.64,3.2558,96.3,No,Yes,12.24,12.24,12.24,12.24,12.24,15.24,15.24,12.24,12.24,12.24,12.24,15.3,15.3,5,0.0465,15,,,,,,,
Bryce Young,CAR,QB,160,160,160,1,151,0.9437,0.9625,0.135,160,8,0.0187,1177,7.3563,0.6992,8.3562,454,No,No,40,0.25,50.4025,-0.065,No,0.6312,0.1375,1,2.4013,2.455,2.8375,114,No,Yes,79.08,79.08,79.08,79.08,79.08,82.08,82.08,79.08,79.08,79.08,79.08,90.85,90.85,16,0.0437,60,3,8,4,0.025,0.0187,,
Jordan Love,GB,QB,133,133,133,1,123,0.9248,0.9549,0.1393,133,19,0.0301,1115,8.3835,0.6583,8.985,476,No,No,36,0.2707,40.2642,-0.0321,No,0.6541,0.1654,1,2.3301,2.4028,3.5789,111.6,No,Yes,60.6,60.6,60.6,60.6,60.6,63.6,63.6,60.6,60.6,60.6,60.6,71.75,71.75,15,0.0902,48,3,4,4,0.0301,0.015,,
Mitchell Trubisky,BUF,QB,4,4,4,1,3,0.75,1,0.1471,4,-3,0.25,25,6.25,0.52,6.25,9,No,No,,,0.8797,-0.2199,No,0.75,,1,1.85,,2.25,90.6,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,4,,1,,,,,,,
Mason Rudolph,PIT,QB,15,15,15,1,15,1,1,0.1397,15,,,107,7.1333,0.8131,7.1333,20,No,No,1,0.0667,3.618,-0.1745,No,0.7333,0.0667,1,1.9733,2.9,1.3333,96.4,No,No,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,5.35,5.35,5,0.0667,4,,,,,,,
Baker Mayfield,TB,QB,166,166,166,1,152,0.9157,0.9337,0.087,166,20,0.0181,1180,7.1084,0.85,7.5602,286,No,Yes,35,0.2108,52.7225,-0.1068,No,0.6687,0.1024,1,2.4163,2.4343,1.7229,105.8,Yes,Yes,70.2,70.2,70.2,70.2,70.2,73.2,73.2,69.2,69.2,69.2,69.2,82,81,17,0.0542,56,4,6,,,0.012,,1
Aaron Rodgers,PIT,QB,170,170,170,1,160,0.9412,0.9647,0.1125,170,13,0.0235,1338,7.8706,0.8602,8.8118,273,No,No,20,0.1176,42.6313,-0.1331,No,0.7294,0.1235,1,2.0288,2.625,1.6059,115.1,No,Yes,85.52,85.52,85.52,85.52,85.52,88.52,88.52,85.52,85.52,85.52,85.52,98.9,98.9,16,0.1706,58,4,8,4,0.0235,0.0118,,
Quinn Ewers,MIA,QB,13,13,13,1,13,1,1,0.1165,13,,,101,7.7692,1,7.7692,,No,No,1,0.0769,3.4886,-0.1914,No,0.8462,0.1538,1,2.1308,2.1,,99,No,Yes,3.44,4.44,3.94,4.44,4.44,4.44,3.94,4.44,4.44,4.44,3.94,5.45,5.45,4,0.0769,4,,,,,,,
Joe Milton,DAL,QB,5,5,5,1,5,1,1,0.1713,5,,,27,5.4,0.5185,5.4,13,No,No,2,0.4,1.712,0.0576,No,1,,1,2.56,3.05,2.6,89.2,No,Yes,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,4,,2,,,,,,,
Dak Prescott,DAL,QB,185,185,185,1,162,0.8757,0.9135,0.1053,185,27,0.0378,1433,7.7459,0.5939,8.2595,749,No,No,46,0.2486,61.1532,-0.0819,Yes,0.6432,0.1459,1,2.4914,2.437,4.0486,109.3,Yes,Yes,84.32,84.32,84.32,84.32,84.32,87.32,87.32,83.32,83.32,83.32,83.32,98.65,97.65,17,0.0378,71,6,7,3,0.0162,,0.0054,1
Spencer Rattler,NO,QB,85,85,85,1,81,0.9529,0.9765,0.1497,85,10,0.0235,543,6.3882,0.6409,6.6235,204,No,No,22,0.2588,25.24,-0.0381,No,0.5882,0.2118,1,2.2965,2.4045,2.4,97.2,No,No,25.72,26.72,26.22,26.72,26.72,29.72,29.22,26.72,26.72,26.72,26.22,32.15,32.15,9,0.0588,25,1,1,,,,,
Carson Wentz,MIN,QB,43,43,43,1,41,0.9535,0.9767,0.1456,43,26,0.0233,291,6.7674,0.7216,7.6977,120,No,No,9,0.2093,12.0874,-0.0718,No,0.6512,0.0465,1,2.2047,2.3222,2.7907,110.4,No,Yes,19.64,19.64,19.64,19.64,19.64,19.64,19.64,19.64,19.64,19.64,19.64,22.55,22.55,5,0.0698,14,1,2,1,0.0233,,,
Marcus Mariota,WAS,QB,59,59,59,1,52,0.8814,0.9322,0.138,59,33,0.0508,478,8.1017,0.6025,8.6949,261,No,No,6,0.1017,15.4811,-0.1607,Yes,0.8475,0.0339,1,2.0949,2.7167,4.4237,116,No,Yes,34.12,34.12,34.12,34.12,34.12,37.12,37.12,33.12,33.12,33.12,33.12,38.9,37.9,11,0.0678,21,4,4,1,0.0169,0.0169,,1
Shane Buechele,KC,QB,4,4,4,1,4,1,1,0.1209,4,,,22,5.5,0.9091,5.5,2,No,No,,,0.897,-0.2242,No,0.75,0.25,1,1.875,,0.5,89.6,No,Yes,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,1,0.25,2,,,,,,,
Tyler Huntley,BLT,QB,19,19,19,1,19,1,1,0.1805,19,,,142,7.4737,0.5634,7.4737,62,No,No,4,0.2105,4.8599,-0.0453,No,0.8947,0.0526,1,2.0579,2.55,3.2632,97.8,No,Yes,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,7.1,7.1,5,0.0526,6,,,1,0.0526,0.0526,,
Justin Herbert,LAC,QB,187,187,187,1,175,0.9358,0.9786,0.1762,187,40,0.0428,1679,8.9786,0.5563,9.5134,830,No,Yes,44,0.2353,57.4186,-0.0718,No,0.7112,0.107,1,2.3551,2.4114,4.4385,113,No,Yes,87.16,87.16,87.16,87.16,87.16,90.16,90.16,87.16,87.16,87.16,87.16,103.95,103.95,16,0.0588,75,3,5,6,0.0321,0.0267,,
Drake Maye,NE,QB,158,158,158,1,147,0.9304,0.962,0.1756,158,29,0.0316,1367,8.6519,0.4931,9.0316,828,Yes,No,38,0.2405,54.4434,-0.1041,Yes,0.6962,0.1392,1,2.5722,2.6579,5.2405,109,No,Yes,66.88,67.88,67.38,67.88,67.88,70.88,70.38,67.88,67.88,67.88,67.38,81.55,81.55,17,0.019,64,1,3,6,0.038,0.0127,,
Geno Smith,LV,QB,151,151,151,1,144,0.9536,0.9735,0.1356,151,2,0.0199,1216,8.053,0.7368,8.7152,348,No,No,25,0.1656,48.1213,-0.1531,No,0.7219,0.0861,1,2.4225,2.508,2.3046,111.3,No,Yes,68.64,68.64,68.64,68.64,68.64,71.64,71.64,68.64,68.64,68.64,68.64,80.8,80.8,15,0.0464,59,,5,1,0.0066,0.0066,,
Aidan O'Connell,LV,QB,4,4,4,1,4,1,1,0.0748,4,,,12,3,1.9167,3,-11,Yes,No,,,1.4144,-0.3536,No,0.25,0.25,1,2.625,,-2.75,79.2,No,Yes,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,1,,,,,,,,,
Matthew Stafford,LA,QB,153,153,153,1,147,0.9608,0.9804,0.1615,153,17,0.0196,1284,8.3922,0.5802,9.1765,596,Yes,No,26,0.1699,46.8362,-0.1362,No,0.6667,0.1438,1,2.3497,2.5577,3.8954,114.7,No,Yes,75.36,75.36,75.36,75.36,75.36,78.36,78.36,75.36,75.36,75.36,75.36,88.2,88.2,17,0.0196,67,3,6,3,0.0196,0.0196,,
J.J. McCarthy,MIN,QB,63,63,63,1,59,0.9365,1,0.181,63,16,0.0635,523,8.3016,0.6367,8.9365,215,No,No,14,0.2222,21.5229,-0.1194,No,0.6984,0.0794,1,2.5556,2.3357,3.4127,111.8,No,Yes,28.92,28.92,28.92,28.92,28.92,31.92,31.92,28.92,28.92,28.92,28.92,34.15,34.15,10,0.0476,26,2,2,1,0.0159,0.0159,,
Patrick Mahomes,KC,QB,165,165,165,1,158,0.9576,0.9818,0.1587,165,21,0.0242,1565,9.4848,0.6773,10.303,568,Yes,No,31,0.1879,44.283,-0.0805,No,0.7939,0.0545,1,2.1309,2.4129,3.4424,121.8,No,Yes,97.6,97.6,97.6,97.6,97.6,100.6,100.6,96.6,96.6,96.6,96.6,113.25,112.25,14,0.1394,74,3,9,6,0.0364,0.0121,,1
Tyson Bagent,CHI,QB,1,1,1,1,1,1,1,0.0628,1,,,20,20,1.25,20,-5,No,No,1,1,0.5391,0.4609,No,1,,1,3.7,3.6,-5,118.8,No,No,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,3,,1,,,,,,,
Trey Lance,LAC,QB,13,13,13,1,11,0.8462,0.8462,0.0248,13,,,90,6.9231,0.7,6.9231,47,No,No,,,3.0229,-0.2325,No,1,,1,1.9231,,3.6154,95.5,No,Yes,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,4.5,4.5,4,0.0769,3,,,,,,0.0769,
Tyler Shough,NO,QB,95,95,95,1,88,0.9263,0.9474,0.1327,95,8,0.0211,816,8.5895,0.6336,8.5368,334,No,No,14,0.1474,29.3023,-0.1611,No,0.7263,0.0947,1,2.3632,2.3714,3.5158,105.1,Yes,Yes,39.64,39.64,39.64,39.64,39.64,42.64,42.64,38.64,38.64,38.64,38.64,47.8,46.8,11,0.0737,38,,2,1,0.0105,0.0211,0.0211,1
Jalen Hurts,PHI,QB,139,139,139,1,131,0.9424,0.9856,0.1906,139,41,0.0432,1125,8.0935,0.4738,8.9568,664,No,No,38,0.2734,49.2729,-0.0811,Yes,0.6187,0.0935,1,2.6295,2.55,4.777,114.8,No,Yes,69,69,69,69,69,72,72,69,69,69,69,80.25,80.25,16,0.0432,63,1,6,4,0.0288,0.0216,,
Cooper Rush,BLT,QB,15,15,15,1,13,0.8667,0.9333,0.0803,15,2,0.0667,77,5.1333,0.6753,5.1333,32,Yes,No,1,0.0667,4.1355,-0.209,No,0.6,0.2667,1,2.1733,1.9,2.1333,88.1,No,Yes,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.85,3.85,4,0.0667,3,,,,,,,
Malik Willis,GB,QB,9,9,9,1,9,1,1,0.2067,9,,,67,7.4444,0.4328,9.6667,45,No,No,5,0.5556,2.54,0.2733,No,0.8889,,1,2.2111,2.42,5,134.7,No,Yes,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,7.35,7.35,4,0.1111,4,1,1,,,,,
Riley Leonard,IND,QB,20,20,20,1,18,0.9,0.9,0.0962,20,,,161,8.05,0.6025,8.05,76,No,Yes,5,0.25,6.0027,-0.0501,No,0.7,0.1,1,2.315,2.58,3.8,100.2,No,Yes,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,8.05,8.05,5,0.05,7,,,1,0.05,,,
Davis Mills,HST,QB,46,46,46,1,37,0.8043,0.8261,0.0582,46,,0.0217,400,8.6957,0.4275,7.7174,303,Yes,No,8,0.1739,12.6178,-0.1004,Yes,0.7826,0.0652,1,2.1652,2.1,6.587,93.8,No,Yes,15,15,15,15,15,18,18,14,14,14,14,19,18,6,0.0652,15,2,,2,0.0435,,0.0217,1
Josh Allen,BUF,QB,141,141,141,1,132,0.9362,0.9716,0.1392,141,-1,0.0355,1279,9.0709,0.7482,10.2057,370,No,No,24,0.1702,42.4376,-0.1308,No,0.6738,0.1064,1,2.3199,2.4292,2.6241,123.4,No,No,83.16,83.16,83.16,83.16,83.16,86.16,86.16,83.16,83.16,83.16,83.16,95.95,95.95,17,0.1064,60,2,8,3,0.0213,0.0071,,
Drew Lock,SEA,QB,1,1,1,1,1,1,1,0.181,1,,,11,11,0.5455,11,5,No,No,1,1,0.4701,0.5299,No,,1,1,3.3,3.2,5,112.5,No,No,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5,,1,,,,,,,
Michael Penix,ATL,QB,78,78,78,1,71,0.9103,0.9872,0.193,78,30,0.0769,626,8.0256,0.5751,8.2821,302,No,No,18,0.2308,23.5884,-0.0716,No,0.7692,0.0513,1,2.3282,2.5222,3.8718,104.4,No,Yes,29.04,29.04,29.04,29.04,29.04,32.04,32.04,29.04,29.04,29.04,29.04,35.3,35.3,9,0.0513,29,3,1,,,,,
Tyrod Taylor,NYJ,QB,32,32,32,1,29,0.9062,0.9375,0.1411,32,5,0.0312,209,6.5312,0.4641,7.1562,150,No,No,10,0.3125,10.9878,-0.0309,No,0.75,0.0312,1,2.5656,2.76,4.6875,104.3,No,No,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,12.36,14.45,14.45,6,0.0312,11,1,1,,,,,
Max Brosmer,MIN,QB,20,20,20,1,17,0.85,0.9,0.016,20,5,0.05,85,4.25,1.5176,2,-23,No,No,5,0.25,4.5883,0.0206,Yes,0.7,0.05,1,1.905,1.78,-1.15,63.5,No,Yes,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.4,1.4,1.4,1.4,3.25,2.25,7,0.05,5,,,,,,,1
Shedeur Sanders,CLV,QB,61,61,61,1,56,0.918,0.9508,0.0993,61,3,0.0328,490,8.0328,0.8694,7.623,91,No,Yes,18,0.2951,21.5661,-0.0585,No,0.6885,0.1311,1,2.6246,2.7667,1.4918,98.8,Yes,Yes,22.6,22.6,22.6,22.6,22.6,25.6,25.6,21.6,21.6,21.6,21.6,27.5,26.5,8,,16,,1,1,0.0164,,,1
Clayton Tune,GB,QB,5,5,5,1,2,0.4,0.8,-0.062,5,10,0.4,12,2.4,1.1667,-6.6,12,Yes,No,1,0.2,1.574,-0.1148,Yes,0.8,0.2,1,2.4,1.7,2.4,8.3,No,Yes,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,-1.52,-1.52,-1.52,-1.52,-0.4,-1.4,2,,1,,,,,,,1
Jameis Winston,NYG,QB,17,16,16,1,16,1,1,0.2011,16,,,191,11.9375,0.644,11.9375,68,No,No,6,0.375,4.6573,0.0839,No,0.875,0.0625,1,2.2625,2.15,4.25,116.4,No,No,16.94,17.94,17.44,17.94,17.94,17.94,17.44,17.94,17.94,17.94,17.44,19.85,19.85,3,0.0625,7,,,1,0.0625,0.0625,,
Mac Jones,SF,QB,107,107,107,1,102,0.9533,0.9813,0.1678,107,39,0.028,909,8.4953,0.5919,9.243,417,No,No,16,0.1495,33.2869,-0.1616,No,0.6075,0.1589,1,2.3785,2.5625,3.8972,114.5,No,No,52.36,52.36,52.36,52.36,52.36,55.36,55.36,52.36,52.36,52.36,52.36,61.45,61.45,11,,46,2,4,1,0.0093,,,
Joshua Dobbs,NE,QB,5,5,5,1,5,1,1,0.1552,5,,,60,12,0.8167,12,11,Yes,No,1,0.2,1.9708,-0.1941,Yes,0.6,0.2,1,2.86,2.4,2.2,116.7,No,Yes,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3,3,4,,3,,,,,,,
Kirk Cousins,ATL,QB,75,75,75,1,68,0.9067,0.9333,0.1098,75,15,0.0267,696,9.28,0.783,9.7467,196,No,Yes,16,0.2133,23.9895,-0.1065,No,0.64,0.12,1,2.4293,2.4813,2.6133,117.6,No,Yes,42.84,42.84,42.84,42.84,42.84,45.84,45.84,41.84,41.84,41.84,41.84,49.8,48.8,10,0.04,31,1,4,1,0.0133,0.0133,,1
Philip Rivers,IND,QB,25,25,25,1,24,0.96,0.96,0.0923,25,,,163,6.52,0.8834,6.52,21,No,No,4,0.16,6.0415,-0.0817,No,0.8,0.16,1,1.976,2.275,0.84,93.8,No,Yes,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,8.15,8.15,3,0.12,10,,,,,,,
Joe Burrow,CIN,QB,86,86,86,1,80,0.9302,0.9302,0.1033,86,,,751,8.7326,0.7071,9.4302,271,No,Yes,13,0.1512,25.8481,-0.1494,Yes,0.6744,0.2093,1,2.3174,2.4769,3.1512,114.7,No,Yes,42.04,42.04,42.04,42.04,42.04,45.04,45.04,42.04,42.04,42.04,42.04,49.55,49.55,8,0.0349,39,,3,1,0.0116,,,
Russell Wilson,NYG,QB,33,33,33,1,31,0.9394,0.9394,0.1088,33,,,255,7.7273,0.6706,7.7273,101,No,No,8,0.2424,10.9576,-0.0896,No,0.6061,0.1515,1,2.5,2.3625,3.0606,98.9,No,No,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,12.75,12.75,6,0.0303,11,,,1,0.0303,0.0303,,
