Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsOverExpected,OpportunitiesTotal,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,TouchdownsTotal,PressuredTotal,PressuredPercentage,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AttemptsInEndzoneTotal,TowThrowPercentage,HeroThrowPercentage,TargetedReadCheckdownPercentage,InterceptionsTotal
Joe Burrow,CIN,QB,3,3,3,1,-0.0196,3,34,No,No,1.0134,0.3289,No,0.3333,2.5333,11.3333,42.4,No,No,8,1,0.3333,0.6667,3,0.3333,7,2.3333,0.7143,2.3333,,2,0.6667,,1,0.3333,2.3,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,,,,,
Mac Jones,SF,QB,10,10,10,1,0.1192,10,74,No,No,3.7862,0.0214,No,0.7,2.77,7.4,8.3,No,No,11,4,0.4,0.9,42,0.5,25,2.5,0.24,-2,,4,0.4,,1,0.1,2.45,1,,,,,,,,-1,-1,-1,-1,0.25,-0.75,,,0.1,,1
Kirk Cousins,ATL,QB,9,9,9,1,-0.158,9,81,No,Yes,2.2639,-0.0293,No,0.7778,2.0333,9,24.1,Yes,Yes,10,4,0.4444,0.5556,6,0.1111,53,5.8889,0.3019,0.8889,,2,0.2222,,2,0.2222,2.05,2,1.12,1.12,1.12,1.12,1.12,1.12,1.12,0.12,0.12,0.12,0.12,1.65,0.65,1,,0.1111,0.1111,1
Philip Rivers,IND,QB,1,1,1,1,0.0576,1,-4,No,Yes,0.3493,0.6507,No,,2.6,-4,39.6,No,Yes,3,,,1,-4,1,,,,,,1,1,,,,2.3,,,,,,,,,,,,,,,,,,1,
C.J. Stroud,HST,QB,15,15,15,1,0.1324,15,135,No,Yes,6.0847,0.1277,Yes,0.8,2.9267,9,94.6,No,Yes,14,11,0.7333,0.8667,21,0.1333,113,7.5333,0.5044,7.5333,,8,0.5333,,1,0.0667,2.5375,5,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,5.65,5.65,,,0.0667,0.1333,
Jacoby Brissett,ARZ,QB,12,12,12,1,0.0551,12,72,No,Yes,3.6223,-0.0519,No,0.75,2.325,6,80.9,No,Yes,14,8,0.6667,0.8333,18,0.1667,67,5.5833,0.4328,5.5833,,3,0.25,0.0833,1,0.0833,2.6667,3,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,2.68,3.35,3.35,1,,,,
Joe Flacco,CIN,QB,13,13,13,1,-0.1,13,122,No,No,4.0061,-0.0005,No,0.7692,2.3615,9.3846,27.9,No,No,13,7,0.5385,0.6154,17,0.0769,64,4.9231,0.2812,-2,,4,0.3077,,1,0.0769,2.7,4,0.56,0.56,0.56,0.56,0.56,0.56,0.56,-1.44,-1.44,-1.44,-1.44,1.2,-0.8,,,,,2
Daniel Jones,IND,QB,14,14,14,1,0.0713,14,77,No,No,4.873,-0.0624,No,0.7857,2.5929,5.5,104.2,No,No,13,11,0.7857,0.8571,5,0.0714,126,9,0.5,9,,4,0.2857,,,,2.225,4,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,6.3,6.3,,,0.0714,0.0714,
Jake Browning,CIN,QB,6,6,6,1,-0.0759,6,113,No,No,1.8198,0.03,No,0.8333,2.3333,18.8333,97.2,No,No,5,3,0.5,0.5,,,20,3.3333,0.15,6.6667,1,2,0.3333,0.1667,3,0.5,1.6,1,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5,5,2,,,0.1667,
Kyler Murray,ARZ,QB,5,5,5,1,0.2104,5,28,No,No,1.6258,-0.1252,No,0.6,2.46,5.6,109.2,No,No,5,5,1,1,,,51,10.2,0.451,10.2,,1,0.2,,,,3.1,3,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.55,2.55,,,,0.2,
Jared Goff,DET,QB,16,16,16,1,0.2297,16,103,No,No,4.7608,-0.1725,No,0.75,2.3,6.4375,93.8,No,Yes,17,12,0.75,1,38,0.25,112,7,0.4196,7,,2,0.125,,,,2.3,6,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,5.6,5.6,1,,,0.0625,
Cam Ward,TEN,QB,20,20,20,1,0.2722,20,187,No,No,6.3822,0.1309,No,0.7,2.425,9.35,82.3,No,No,17,11,0.55,1,57,0.45,165,8.25,0.2121,8.25,,9,0.45,0.15,2,0.1,2.3,6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,8.25,8.25,1,,0.1,0.1,
Caleb Williams,CHI,QB,20,20,20,1,0.2112,20,155,Yes,No,7.193,-0.1097,No,0.6,2.66,7.75,88.8,No,Yes,17,11,0.55,0.95,45,0.4,116,5.8,0.1897,6.8,1,5,0.25,0.1,2,0.1,2.52,4,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,9.8,9.8,1,,,0.15,
Tua Tagovailoa,MIA,QB,14,14,14,1,0.0924,14,91,No,No,4.942,-0.2816,No,0.5714,2.6214,6.5,71.1,No,Yes,14,8,0.5714,0.8571,14,0.2857,72,5.1429,0.5972,5.1429,,1,0.0714,,2,0.1429,2.6,4,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,3.6,3.6,,,0.0714,0.2857,
Brock Purdy,SF,QB,7,7,7,1,-0.018,7,55,No,No,3.4628,0.0767,No,0.2857,3.4429,7.8571,,Yes,Yes,9,2,0.2857,0.7143,23,0.4286,15,2.1429,0.6,-4.2857,,4,0.5714,,,,2.9,1,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-1.4,-1.4,-1.4,-1.4,-0.25,-1.25,,,,0.2857,1
Justin Fields,NYJ,QB,3,3,3,1,0.1766,3,12,Yes,Yes,1.1686,0.2771,No,0.3333,2.8333,4,134,No,Yes,9,3,1,1,,,20,6.6667,0.4,13.3333,1,2,0.6667,,,,2.6,2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5,5,,,,,
Dillon Gabriel,CLV,QB,13,13,13,1,0.0202,13,91,No,No,4.5754,0.0327,No,0.8462,2.6154,7,88.3,No,No,10,9,0.6923,0.7692,16,0.0769,89,6.8462,0.427,6.8462,,5,0.3846,,,,2.34,3,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,4.45,4.45,,,,0.1538,
Zach Wilson,MIA,QB,1,1,1,1,0.257,1,7,No,No,0.2113,-0.2113,No,1,1.8,7,95.8,No,No,4,1,1,1,,,7,7,,7,,,,,,,,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,,,,,
Teddy Bridgewater,TB,QB,1,1,1,1,0.1052,1,,No,No,0.1941,-0.1941,No,1,1.7,,83.3,No,Yes,4,1,1,1,,,4,4,1,4,,,,,,,,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,,,,,
J.J. McCarthy,MIN,QB,7,7,7,1,0.1615,7,84,No,No,2.6694,0.0472,No,0.7143,2.7857,12,62.2,No,No,10,4,0.5714,0.8571,36,0.2857,11,1.5714,0.2727,1.5714,,3,0.4286,,2,0.2857,2.4667,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,1,,0.1429,,
Patrick Mahomes,KC,QB,13,13,13,1,0.2628,13,109,No,No,5.4379,0.1202,No,0.6923,3,8.3846,99.2,No,No,14,9,0.6923,1,21,0.3077,123,9.4615,0.2846,9.4615,,7,0.5385,0.0769,1,0.0769,2.8286,7,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,6.15,6.15,,,0.0769,,
Matthew Stafford,LA,QB,32,32,32,1,0.0626,32,289,No,No,11.3156,-0.1349,No,0.6875,2.625,9.0312,56,No,No,17,14,0.4375,0.75,62,0.3125,134,4.1875,0.2463,4.1875,,7,0.2188,,3,0.0938,2.5286,9,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,6.7,6.7,1,0.0312,0.0625,0.0938,
Drake Maye,NE,QB,12,12,12,1,0.1856,12,117,No,No,3.6223,-0.0519,No,0.75,2.325,9.75,119.4,No,No,17,8,0.6667,0.9167,53,0.25,98,8.1667,0.5,9.8333,1,3,0.25,,2,0.1667,2.3333,3,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,8.9,8.9,2,,0.1667,,
Geno Smith,LV,QB,12,12,12,1,0.046,12,68,No,No,3.9329,0.0056,No,0.6667,2.475,5.6667,107.3,No,No,15,9,0.75,0.8333,4,0.0833,43,3.5833,0.5581,5.25,1,4,0.3333,,1,0.0833,1.9,3,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,6.15,6.15,1,,,0.1667,
Justin Herbert,LAC,QB,18,18,18,1,0.0874,18,128,No,No,6.0459,0.053,No,0.6111,2.5222,7.1111,85,No,Yes,16,10,0.5556,0.8333,27,0.2778,78,4.3333,0.3462,5.4444,1,7,0.3889,,2,0.1111,2.4571,5,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.9,7.9,2,,0.0556,0.0556,
Tyler Huntley,BLT,QB,1,1,1,1,0.173,1,3,No,No,0.4528,0.5472,No,,3.2,3,118.8,No,No,5,1,1,1,,,13,13,0.7692,13,,1,1,,,,3.1,,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,,,,1,
Aidan O'Connell,LV,QB,1,1,1,1,-0.6131,1,14,Yes,No,0.4701,-0.4701,No,1,3.3,14,39.6,Yes,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Mariota,WAS,QB,8,8,8,1,0.2577,8,116,Yes,No,3.9156,0.0105,No,0.75,3.4125,14.5,142.7,No,Yes,11,5,0.625,0.875,45,0.25,94,11.75,0.3511,14.25,1,4,0.5,,2,0.25,2.7,4,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,8.7,8.7,,,0.25,,
Carson Wentz,MIN,QB,8,8,8,1,0.1464,8,67,No,Yes,2.2942,0.2132,Yes,0.75,2.2375,8.375,84.9,No,Yes,5,5,0.625,0.875,8,0.25,59,7.375,0.3898,7.375,,4,0.5,0.125,1,0.125,2.175,3,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.36,2.95,2.95,1,,,,
Shane Buechele,KC,QB,1,1,1,1,0.3722,1,13,Yes,No,0.3148,-0.3148,No,1,2.4,13,118.8,Yes,Yes,1,1,1,1,,,13,13,,13,,,,,,,,1,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,,,,,
Quinn Ewers,MIA,QB,9,9,9,1,-0.1986,9,58,No,No,2.2294,-0.1366,No,0.7778,2.0111,6.4444,104.9,No,Yes,4,5,0.5556,0.5556,,,42,4.6667,0.6667,6.8889,1,1,0.1111,0.1111,,,2.7,2,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,6.1,6.1,1,,0.1111,0.1111,
Spencer Rattler,NO,QB,3,3,3,1,-0.1672,3,7,No,No,0.5476,-0.1825,No,1,1.6333,2.3333,70.1,No,No,9,2,0.6667,0.6667,,,4,1.3333,2,1.3333,,,,0.6667,,,,,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,,,,,
Dak Prescott,DAL,QB,26,26,26,1,0.0936,26,299,No,No,10.1685,0.032,No,0.6154,2.8423,11.5,100.2,No,No,17,15,0.5769,0.7692,49,0.1923,232,8.9231,0.2543,9.6923,1,11,0.4231,,8,0.3077,2.4091,10,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,15.6,15.6,3,,0.1923,,
Aaron Rodgers,PIT,QB,23,23,23,1,0.0436,23,140,No,No,6.6194,-0.2008,No,0.8261,2.2435,6.087,57.9,No,No,16,11,0.4783,0.8261,77,0.3478,88,3.8261,0.75,3.8261,,2,0.087,0.1304,2,0.087,2.6,5,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,4.4,4.4,2,,0.0435,0.1304,
Mason Rudolph,PIT,QB,2,2,2,1,-0.1832,2,18,No,No,0.6814,-0.3407,No,1,2.55,9,56.3,No,No,5,1,0.5,0.5,,,28,14,1.2857,-8.5,,,,,1,0.5,,1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,-0.88,-0.88,-0.88,-0.88,0.4,-0.6,,0.5,,,1
Baker Mayfield,TB,QB,18,18,18,1,-0.04,18,120,No,No,5.8906,-0.0495,No,0.8333,2.4722,6.6667,24.1,No,No,17,7,0.3889,0.7222,43,0.3333,55,3.0556,0.3455,0.5556,,5,0.2778,0.0556,,,2.44,2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.2,0.2,0.2,0.2,1.75,0.75,,,,0.0556,1
Bryce Young,CAR,QB,21,21,21,1,0.1643,21,219,No,Yes,6.9386,-0.0923,No,0.7619,2.4905,10.4286,71.5,No,Yes,16,13,0.619,0.8571,66,0.2381,90,4.2857,0.1889,4.2857,,5,0.2381,,5,0.2381,2.54,4,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,4.5,4.5,2,,0.0476,0.0476,
Jaxson Dart,NYG,QB,15,15,15,1,0.1245,15,139,No,Yes,4.998,0.0668,No,0.8,2.5067,9.2667,100.8,No,Yes,14,6,0.4,0.8667,62,0.4667,93,6.2,0.6774,8.8667,2,6,0.4,0.0667,2,0.1333,2.45,5,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,12.65,12.65,1,,0.1333,0.1333,
Jordan Love,GB,QB,17,17,17,1,0.1367,17,132,No,No,5.4379,0.0919,No,0.7059,2.4294,7.7647,78.3,No,No,15,9,0.5294,0.8824,58,0.3529,42,2.4706,0.5952,3.6471,1,7,0.4118,0.0588,3,0.1765,1.9857,4,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,6.1,6.1,,,0.0588,0.0588,
Brady Cook,NYJ,QB,6,6,6,1,-0.1053,6,33,No,No,1.492,-0.2487,No,1,2.0167,5.5,16.7,No,No,5,3,0.5,0.6667,6,0.1667,11,1.8333,0.7273,-5.6667,,,,,,,,,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-1.56,-1.56,-1.56,-1.56,-0.45,-1.45,1,0.1667,,,1
