Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,RunPassOptionPercentage,PasserRating
Quinn Ewers,MIA,QB,5,5,5,-0.5799,5,,80,,Yes,Yes,2,0.4,1.5913,0.0817,No,1,1,0.2,0.8,1,,2.42,2.45,16,No,No,,,,,,,,,,,,,,4,,,39.6
Dak Prescott,DAL,QB,29,29,29,-0.6416,29,-7.7586,404,5,No,Yes,14,0.4828,12.3895,0.0555,No,1,8,0.2759,0.5517,0.6207,0.1034,3.0517,2.4214,13.931,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,17,4,,
Spencer Rattler,NO,QB,20,19,19,-0.6271,19,-7.1053,282,3,No,No,7,0.3684,6.9989,0.0001,No,1,4,0.2105,0.5789,0.8421,,2.7105,2.3571,14.8421,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,9,2,,
Carson Wentz,MIN,QB,10,10,10,-0.6372,10,-9,141,2,No,Yes,4,0.4,3.838,0.0162,No,1,2,0.2,0.4,0.7,,2.8,2.45,14.1,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,5,2,,
Marcus Mariota,WAS,QB,13,13,13,-0.6855,13,-17.3077,118,5,No,No,6,0.4615,5.9209,0.0061,No,1,1,0.0769,0.6154,0.6923,,3.2154,2.6333,9.0769,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,11,,,
Joe Milton,DAL,QB,2,2,2,-0.627,2,-22.5,25,1,No,No,1,0.5,0.6296,0.1852,No,1,,,0.5,1,,2.4,1.5,12.5,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,4,,,
Tyler Huntley,BLT,QB,1,1,1,-0.743,1,,7,,No,No,,,0.2286,-0.2286,No,1,,,,1,,1.9,,7,No,No,,,,,,,,,,,,,,5,,,39.6
Justin Herbert,LAC,QB,16,16,16,-0.631,16,-11.25,222,4,No,No,10,0.625,8.0211,0.1237,No,1,4,0.25,0.5,0.625,,3.4813,2.32,13.875,No,No,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-4,-8,16,5,,
Drake Maye,NE,QB,15,15,15,-0.6739,15,-6,162,2,No,No,6,0.4,6.861,-0.0574,No,1,1,0.0667,0.2667,0.6667,0.0667,3.2267,2.5167,10.8,No,No,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,17,2,,
Geno Smith,LV,QB,32,32,32,-0.5884,32,-15.4688,551,11,No,No,9,0.2812,13.1441,-0.1295,No,1,11,0.3438,0.4062,0.8125,0.0312,2.9562,2.6889,17.2188,No,No,-11,-11,-11,-11,-11,-11,-11,-22,-22,-22,-22,-11,-22,15,6,,
