Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,InterceptionsTotal,TowThrowPercentage
Mitchell Trubisky,BUF,QB,18,18,18,1,2,17,0.9444,0.9444,0.1999,18,,,223,12.3889,0.4664,15.7222,128,3,Yes,No,1,0.0556,6.4944,-0.3052,No,,1,0.0556,,0.6667,0.1667,1,2.6667,2.7,7.1111,157.9,No,Yes,13,20.92,20.92,20.92,20.92,20.92,20.92,20.92,20.92,20.92,20.92,20.92,23.15,23.15,4,,
Bryce Young,CAR,QB,91,91,91,1,7,81,0.8901,0.9451,0.2187,91,46,0.0549,1115,12.2527,0.443,14.3956,782,12,No,No,24,0.2637,31.4931,-0.0823,No,0.011,14,0.1538,0.1429,0.6484,0.1429,1,2.5813,2.5208,8.5934,152.7,Yes,Yes,53,91.6,91.6,91.6,91.6,91.6,94.6,94.6,90.6,90.6,90.6,90.6,102.75,101.75,16,1,
Mason Rudolph,PIT,QB,18,18,18,1,1,18,1,1,0.1692,18,,,148,8.2222,0.7432,9.3333,47,1,No,No,2,0.1111,6.3046,-0.2391,No,0.0556,,,0.0556,0.6111,0.2778,1,2.6056,2.6,2.6111,119.4,No,No,9,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,11.4,11.4,5,,
Aaron Rodgers,PIT,QB,118,118,118,1,8,108,0.9153,0.9492,0.1881,118,33,0.0339,1504,12.7458,0.5239,13.678,811,10,No,No,18,0.1525,35.8699,-0.1514,No,0.0254,13,0.1102,0.1017,0.7542,0.1356,1,2.3373,2.5056,6.8729,139.9,No,Yes,60,98.16,98.16,98.16,98.16,98.16,101.16,101.16,96.16,96.16,96.16,96.16,113.2,111.2,16,2,
Baker Mayfield,TB,QB,138,138,138,1,11,121,0.8768,0.9203,0.2152,138,79,0.0435,1786,12.942,0.3891,15.4058,1353,17,Yes,No,34,0.2464,48.3586,-0.104,Yes,0.0217,19,0.1377,0.1594,0.6594,0.0797,1,2.6065,2.4588,9.8043,158.3,No,Yes,80,139.44,139.44,139.44,139.44,139.44,142.44,142.44,139.44,139.44,139.44,139.44,157.3,157.3,17,,
Quinn Ewers,MIA,QB,32,32,32,1,1,30,0.9375,0.9375,0.2025,32,,,414,12.9375,0.5217,11.375,246,2,No,No,6,0.1875,11.0051,-0.1564,Yes,,5,0.1562,0.0625,0.7812,0.0938,1,2.5688,2.8167,7.6875,113.5,No,Yes,20,22.56,22.56,22.56,22.56,22.56,25.56,25.56,20.56,20.56,20.56,20.56,26.7,24.7,4,2,0.0312
Joe Milton,DAL,QB,6,6,6,1,1,6,1,1,0.3377,6,,,120,20,0.3,23.3333,91,1,No,No,2,0.3333,2.3028,-0.0505,Yes,,1,0.1667,0.1667,0.8333,,1,2.8,2.15,15.1667,158.3,Yes,Yes,5,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10,10,4,,
Carson Wentz,MIN,QB,46,45,45,1,3,42,0.9333,0.9556,0.2179,45,-3,0.0222,543,12.0667,0.3904,13.8444,350,4,No,Yes,13,0.2889,14.0452,-0.0232,No,0.0222,4,0.0889,0.0222,0.7556,0.0667,1,2.3844,2.3615,7.7778,146.6,Yes,Yes,27,37.72,37.72,37.72,37.72,37.72,40.72,40.72,37.72,37.72,37.72,37.72,43.15,43.15,5,,
Dak Prescott,DAL,QB,173,173,173,1,14,155,0.896,0.9422,0.2122,173,92,0.0462,2090,12.0809,0.3967,13.8728,1511,20,Yes,No,52,0.3006,58.2381,-0.0361,No,0.0058,22,0.1272,0.0925,0.7399,0.0809,1,2.5266,2.4673,8.7341,150.7,No,Yes,96,161.6,161.6,161.6,161.6,161.6,164.6,164.6,159.6,159.6,159.6,159.6,182.5,180.5,17,2,0.0058
Marcus Mariota,WAS,QB,59,59,59,1,2,56,0.9492,0.9492,0.2507,59,,,831,14.0847,0.3646,15.4407,611,4,Yes,No,11,0.1864,19.453,-0.1433,Yes,0.0339,9,0.1525,0.1356,0.6949,0.0847,1,2.4864,2.6455,10.3559,141.3,No,Yes,39,49.24,49.24,49.24,49.24,49.24,52.24,52.24,49.24,49.24,49.24,49.24,57.55,57.55,11,,
Spencer Rattler,NO,QB,60,60,60,1,3,54,0.9,0.9667,0.233,60,35,0.0667,678,11.3,0.3156,12.6333,522,4,No,No,18,0.3,17.301,0.0117,No,0.0667,6,0.1,0.1167,0.8833,0.0667,1,2.2467,2.3556,8.7,136,No,No,33,43.12,43.12,43.12,43.12,43.12,46.12,46.12,43.12,43.12,43.12,43.12,49.9,49.9,9,,
Shane Buechele,KC,QB,1,1,1,1,,1,1,1,0.625,1,,,51,51,0.1765,51,42,,Yes,No,,,0.5046,-0.5046,No,,1,1,1,1,,1,3.5,,42,118.8,Yes,Yes,1,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.55,2.55,1,,
Tyler Huntley,BLT,QB,16,16,16,1,,16,1,1,0.2085,16,,,131,8.1875,0.3664,9.4375,83,1,No,Yes,3,0.1875,5.2611,-0.1413,Yes,,,,0.0625,0.8125,0.125,1,2.4813,2.5333,5.1875,121.6,No,Yes,7,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,9.24,10.55,10.55,5,,
Justin Herbert,LAC,QB,120,120,120,1,10,109,0.9083,0.9333,0.2122,120,49,0.025,1477,12.3083,0.4008,14.8083,1110,15,No,No,22,0.1833,39.0008,-0.1417,No,,19,0.1583,0.1333,0.7083,0.0833,1,2.4592,2.3818,9.25,157.5,No,Yes,69,119.08,119.08,119.08,119.08,119.08,122.08,122.08,119.08,119.08,119.08,119.08,133.85,133.85,16,,
Drake Maye,NE,QB,138,138,138,1,13,130,0.942,0.9783,0.2792,138,60,0.0362,2021,14.6449,0.3993,17.9783,1420,23,No,No,35,0.2536,50.4631,-0.1121,Yes,0.0072,23,0.1667,0.1377,0.7826,0.087,1,2.6949,2.6543,10.2899,158.3,No,Yes,90,172.84,172.84,172.84,172.84,172.84,175.84,175.84,172.84,172.84,172.84,172.84,193.05,193.05,17,,
Geno Smith,LV,QB,108,108,108,1,5,100,0.9259,0.963,0.2006,108,27,0.037,1297,12.0093,0.515,12.8889,734,7,No,No,24,0.2222,35.5509,-0.107,Yes,,11,0.1019,0.0741,0.7963,0.0926,1,2.4833,2.3792,6.7963,134.5,No,Yes,58,78.88,78.88,78.88,78.88,78.88,81.88,81.88,77.88,77.88,77.88,77.88,91.85,90.85,15,1,
Aidan O'Connell,LV,QB,3,3,3,1,,3,1,1,0.4154,3,,,55,18.3333,0.1818,18.3333,45,,No,No,2,0.6667,1.1341,0.2886,No,,,,0.3333,0.6667,,1,2.7667,2.7,15,118.8,No,Yes,3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.75,2.75,1,,
Matthew Stafford,LA,QB,175,175,175,1,17,164,0.9371,0.9714,0.2805,175,85,0.0343,2603,14.8743,0.3657,18.3029,1866,30,Yes,No,32,0.1829,58.9712,-0.1541,Yes,0.0114,31,0.1771,0.1714,0.7771,0.0629,1,2.5286,2.4062,10.6629,158.3,No,Yes,116,224.12,224.12,224.12,224.12,224.12,227.12,227.12,224.12,224.12,224.12,224.12,250.15,250.15,17,,0.0057
J.J. McCarthy,MIN,QB,55,55,55,1,2,46,0.8364,0.9636,0.271,55,90,0.1273,673,12.2364,0.3343,13.6909,563,4,Yes,Yes,11,0.2,20.764,-0.1775,No,,7,0.1273,0.2364,0.8364,0.0364,1,2.7636,2.5364,10.2364,141.9,Yes,Yes,34,42.92,42.92,42.92,42.92,42.92,45.92,45.92,42.92,42.92,42.92,42.92,49.65,49.65,10,,
Patrick Mahomes,KC,QB,112,112,112,1,10,97,0.8661,0.9196,0.1637,112,72,0.0536,1194,10.6607,0.5352,12.2679,850,9,No,No,28,0.25,35.4128,-0.0662,No,0.1339,12,0.1071,0.0982,0.7143,0.0714,1,2.408,2.6857,7.5893,137.9,Yes,Yes,54,83.76,83.76,83.76,83.76,83.76,86.76,86.76,83.76,83.76,83.76,83.76,95.7,95.7,14,,
Tyson Bagent,CHI,QB,2,2,2,1,,2,1,1,0.2375,2,,,27,13.5,0.5185,13.5,13,,No,No,,,0.7331,-0.3665,No,,,,,1,,1,2.7,,6.5,118.8,No,No,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,3,,
Trey Lance,LAC,QB,16,16,16,1,,12,0.75,0.8125,-0.0079,16,2,0.0625,83,5.1875,0.5301,2.375,60,,No,No,5,0.3125,4.433,0.0354,No,0.0625,,,,0.75,0.25,1,2.1812,2.02,3.75,60.2,No,Yes,4,2.32,2.32,2.32,2.32,2.32,2.32,2.32,1.32,1.32,1.32,1.32,3.15,2.15,4,1,
Tyler Shough,NO,QB,86,86,86,1,7,76,0.8837,0.9535,0.2428,86,72,0.0698,1006,11.6977,0.34,13.5581,801,8,No,Yes,21,0.2442,28.3493,-0.0855,No,,13,0.1512,0.1512,0.686,0.1279,1,2.486,2.3524,9.314,146.4,No,Yes,44,72.24,72.24,72.24,72.24,72.24,75.24,75.24,72.24,72.24,72.24,72.24,82.3,82.3,11,,
Jalen Hurts,PHI,QB,104,104,104,1,3,94,0.9038,0.9231,0.1957,104,2,0.0192,1253,12.0481,0.3823,14.1635,910,11,No,No,20,0.1923,36.379,-0.1575,No,0.0962,18,0.1731,0.1346,0.75,0.1346,1,2.6029,2.46,8.75,152.1,No,Yes,49,94.12,94.12,94.12,94.12,94.12,97.12,97.12,94.12,94.12,94.12,94.12,106.65,106.65,16,,
Cooper Rush,BLT,QB,11,11,11,1,,10,0.9091,0.9091,0.1479,11,,,79,7.1818,0.4937,7.1818,53,,Yes,No,2,0.1818,3.411,-0.1283,No,,,,,0.5455,0.0909,1,2.3727,2.2,4.8182,96.6,Yes,Yes,4,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.95,3.95,4,,
Malik Willis,GB,QB,18,18,18,1,,17,0.9444,1,0.325,18,3,0.0556,281,15.6111,0.2954,16.7222,201,1,No,No,7,0.3889,7.1154,-0.0064,Yes,0.0556,5,0.2778,0.1667,0.7222,0.1111,1,2.8667,2.6143,11.1667,137.3,No,Yes,12,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.24,18.05,18.05,4,,
Riley Leonard,IND,QB,18,18,18,1,3,16,0.8889,0.9444,0.1992,18,13,0.0556,198,11,0.404,13.2222,164,2,No,No,4,0.2222,6.4254,-0.1347,No,0.0556,3,0.1667,0.2778,0.8333,0.1111,1,2.6444,2.7,9.1111,149.5,No,Yes,8,14.62,14.62,14.62,14.62,14.62,14.62,13.62,13.62,13.62,13.62,13.62,16.6,15.6,5,,
Davis Mills,HST,QB,40,40,40,1,3,37,0.925,0.95,0.2033,40,8,0.025,352,8.8,0.2273,10.3,299,3,No,No,6,0.15,11.5742,-0.1394,Yes,,4,0.1,0.075,0.75,0.075,1,2.2525,1.95,7.475,128.3,No,Yes,19,26.08,26.08,26.08,26.08,26.08,29.08,29.08,26.08,26.08,26.08,26.08,29.6,29.6,6,,
Josh Allen,BUF,QB,145,145,145,1,9,131,0.9034,0.9448,0.1988,145,77,0.0414,1627,11.2207,0.4696,12.7379,1082,11,No,No,29,0.2,48.9235,-0.1374,No,0.0345,17,0.1172,0.069,0.669,0.1103,1,2.531,2.731,7.4621,138.7,No,No,80,109.08,109.08,109.08,109.08,109.08,112.08,112.08,109.08,109.08,109.08,109.08,125.35,125.35,17,,0.0069
Max Brosmer,MIN,QB,9,9,9,1,,8,0.8889,1,0.2399,9,11,0.1111,70,7.7778,0.4143,7.7778,52,,Yes,No,,,2.7125,-0.3014,Yes,,,,,0.7778,0.1111,1,2.3222,,5.7778,99.1,No,Yes,4,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.5,3.5,7,,
Michael Penix,ATL,QB,52,52,52,1,,45,0.8654,0.9231,0.2091,52,55,0.0577,736,14.1538,0.5041,14.9231,483,2,No,Yes,12,0.2308,19.6816,-0.1477,Yes,,5,0.0962,0.0769,0.7692,0.0577,1,2.7692,2.5,9.2885,131.6,No,Yes,30,37.44,37.44,37.44,37.44,37.44,40.44,40.44,37.44,37.44,37.44,37.44,44.8,44.8,9,,
Tyrod Taylor,NYJ,QB,42,42,42,1,1,36,0.8571,0.9762,0.21,42,67,0.119,380,9.0476,0.5658,10,265,2,Yes,No,17,0.4048,17.0511,-0.0012,No,0.0238,4,0.0952,0.0238,0.5952,0.2143,1,2.9286,2.3471,6.3095,120.2,No,Yes,22,23.2,23.2,23.2,23.2,23.2,26.2,26.2,23.2,23.2,23.2,23.2,27,27,6,,
Shedeur Sanders,CLV,QB,43,43,43,1,1,39,0.907,0.9302,0.2392,43,3,0.0233,645,15,0.4636,16.8605,471,4,No,No,13,0.3023,17.2797,-0.0995,Yes,,10,0.2326,0.1628,0.6279,0.186,1,2.9047,2.5077,10.9535,149.8,Yes,Yes,23,41.8,41.8,41.8,41.8,41.8,44.8,44.8,41.8,41.8,41.8,41.8,48.25,48.25,8,,0.0233
Jameis Winston,NYG,QB,10,10,10,1,1,8,0.8,0.9,0.2939,10,11,0.1,211,21.1,0.3412,23.1,166,1,No,No,4,0.4,4.735,-0.0735,No,0.1,3,0.3,0.3,0.8,,1,3.32,3.075,16.6,152.1,No,No,8,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,12.44,14.55,14.55,3,,
Kirk Cousins,ATL,QB,83,83,83,1,5,64,0.7711,0.8434,0.1158,83,70,0.0723,692,8.3373,0.4408,9,711,5,Yes,No,22,0.2651,28.4571,-0.0778,Yes,,9,0.1084,0.0602,0.6627,0.1446,1,2.5627,2.5,8.5663,116.1,No,Yes,36,46.68,46.68,46.68,46.68,46.68,49.68,49.68,45.68,45.68,45.68,45.68,53.6,52.6,10,1,
Joshua Dobbs,NE,QB,1,1,1,1,,,,,-0.3524,1,,,,,,,34,,No,No,,,0.4183,-0.4183,No,,1,1,1,1,,1,3,,34,39.6,No,No,,,,,,,,,,,,,,,4,,
Mac Jones,SF,QB,66,66,66,1,3,60,0.9091,0.9545,0.2174,66,51,0.0455,796,12.0606,0.4422,14.1818,523,7,No,No,11,0.1667,19.69,-0.1317,No,,4,0.0606,0.1212,0.803,0.0606,1,2.3045,2.4364,7.9242,152.3,No,No,39,59.84,59.84,59.84,59.84,59.84,62.84,62.84,59.84,59.84,59.84,59.84,67.8,67.8,11,,
Philip Rivers,IND,QB,26,26,26,1,3,25,0.9615,0.9615,0.2258,26,,,296,11.3846,0.3581,14.4615,210,4,Yes,No,2,0.0769,7.9261,-0.2279,No,,2,0.0769,0.1154,0.7692,0.1538,1,2.3423,2,8.0769,153.7,Yes,Yes,15,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,27.84,30.8,30.8,3,,
Joe Burrow,CIN,QB,75,75,75,1,11,60,0.8,0.88,0.1807,75,19,0.08,724,9.6533,0.3122,12.5867,730,11,No,No,16,0.2133,26.1457,-0.1353,No,0.0133,13,0.1733,0.1867,0.7067,0.1467,1,2.596,2.3813,9.7333,146.5,Yes,Yes,39,72.96,72.96,72.96,72.96,72.96,75.96,75.96,72.96,72.96,72.96,72.96,80.2,80.2,8,,
Russell Wilson,NYG,QB,25,25,25,1,3,23,0.92,0.96,0.2569,25,-2,0.04,411,16.44,0.3844,18.04,276,2,No,Yes,5,0.2,7.7148,-0.1086,Yes,,5,0.2,0.2,0.76,0.16,1,2.364,2.26,11.04,145.4,No,Yes,15,24.44,24.44,24.44,24.44,24.44,27.44,27.44,24.44,24.44,24.44,24.44,28.55,28.55,6,,
Bo Nix,DEN,QB,141,141,141,1,10,122,0.8652,0.9504,0.2098,141,139,0.0851,1607,11.3972,0.4617,13.6667,1171,16,Yes,Yes,33,0.234,49.7516,-0.1188,No,0.0567,23,0.1631,0.1489,0.7163,0.1277,1,2.6206,2.503,8.305,152,No,Yes,75,128.28,128.28,128.28,128.28,128.28,131.28,131.28,128.28,128.28,128.28,128.28,144.35,144.35,17,,
