Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,AttemptsInEndzoneTotal,TargetedReadCheckdownPercentage,YardsAdjustedNetPercentage,InterceptionsTotal,RunPassOptionPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Daniel Jones,IND,QB,9,9,9,-0.6715,9,101,No,No,5,0.5556,2.7987,0.2446,No,1,1,0.1111,0.1111,1,2.3778,1.88,11.2222,39.6,No,No,13,,,,,,,,,,,,,,,,,,
Jacoby Brissett,ARZ,QB,23,23,23,-0.7118,23,211,No,No,7,0.3043,8.7066,-0.0742,No,1,2,0.087,0.0435,0.7391,2.7696,2.7143,9.1739,21.5,No,No,14,4,0.0435,-1.9565,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
C.J. Stroud,HST,QB,21,21,21,-0.6896,21,229,No,No,6,0.2857,7.5423,-0.0734,No,1,4,0.1905,0.0952,0.8571,2.6571,2.3833,10.9048,19.7,No,No,14,3,,-2.1429,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Jaxson Dart,NYG,QB,12,12,12,-0.6523,12,156,Yes,No,7,0.5833,5.1749,0.1521,No,1,4,0.3333,0.0833,0.6667,3.075,2.5143,13,39.6,No,No,14,1,,,,,,,,,,,,,,,,,
Brady Cook,NYJ,QB,8,8,8,-0.7535,8,55,No,Yes,4,0.5,2.6046,0.1744,Yes,1,,,0.125,0.75,2.4625,2.15,6.875,,No,No,5,2,0.125,-5.625,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Bryce Young,CAR,QB,11,11,11,-0.6229,11,144,No,No,6,0.5455,3.4628,0.2307,No,1,2,0.1818,0.1818,0.9091,2.4,2.3167,13.0909,,No,No,16,3,,-8.1818,2,,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4
Jordan Love,GB,QB,14,14,14,-0.6268,14,212,No,No,8,0.5714,5.9597,0.1457,Yes,1,3,0.2143,0.0714,0.5,3.0429,2.6625,15.1429,39.6,No,No,15,1,,,,,,,,,,,,,,,,,
Mitchell Trubisky,BUF,QB,1,1,1,-0.5704,1,16,No,No,,,0.2286,-0.2286,No,1,,,,1,1.9,,16,39.6,No,No,4,,,,,,,,,,,,,,,,,,
Mason Rudolph,PIT,QB,1,1,1,-0.8244,1,4,No,Yes,1,1,0.9703,0.0297,No,1,,,,,6.2,3.4,4,39.6,No,No,5,,,,,,,,,,,,,,,,,,
Aaron Rodgers,PIT,QB,18,18,18,-0.6754,18,205,Yes,No,5,0.2778,8.1332,-0.1741,Yes,1,3,0.1667,0.0556,0.6667,3.1944,3.2,11.3889,39.6,No,No,16,2,0.0556,,,,,,,,,,,,,,,,
Baker Mayfield,TB,QB,16,16,16,-0.6118,16,233,Yes,No,6,0.375,7.0033,-0.0627,No,1,4,0.25,,0.6875,3.1125,2.6667,14.5625,39.6,No,No,17,4,0.0625,,,,,,,,,,,,,,,,
Quinn Ewers,MIA,QB,4,4,4,-0.5979,4,60,Yes,Yes,2,0.5,2.2079,-0.052,Yes,1,,,0.25,0.75,3.775,2.9,15,,No,No,4,2,,-11.25,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Joe Milton,DAL,QB,1,1,1,-0.5704,1,16,No,No,,,0.3148,-0.3148,No,1,,,1,1,2.4,,16,,No,No,4,1,,-45,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Dak Prescott,DAL,QB,10,10,10,-0.6202,10,156,No,No,3,0.3,4.3037,-0.1304,No,1,2,0.2,,0.8,3.07,2.5333,15.6,39.6,No,No,17,3,,,,,,,,,,,,,,,,,
Spencer Rattler,NO,QB,4,4,4,-0.5416,4,79,No,No,3,0.75,2.001,0.2498,No,1,2,0.5,,0.5,3.475,2.3,19.75,39.6,No,No,9,,,,,,,,,,,,,,,,,,
Marcus Mariota,WAS,QB,5,5,5,-0.4602,5,122,No,Yes,4,0.8,4.3513,-0.0703,No,1,3,0.6,,0.2,5.62,3,24.4,39.6,No,No,11,2,,,,,,,,,,,,,,,,,
Carson Wentz,MIN,QB,5,5,5,-0.6798,5,57,No,Yes,2,0.4,1.5913,0.0817,Yes,1,1,0.2,,1,2.42,2.55,11.4,39.6,No,No,5,,,,,0.2,,,,,,,,,,,,,
Shane Buechele,KC,QB,2,2,2,-0.657,2,24,Yes,Yes,1,0.5,0.6814,0.1593,No,1,1,0.5,,1,2.55,2.8,12,39.6,No,No,1,,,,,,,,,,,,,,,,,,
Tyler Huntley,BLT,QB,2,2,2,-0.6583,2,23,No,Yes,2,1,0.8883,0.5558,No,1,1,0.5,,0.5,3.15,2.65,11.5,39.6,Yes,No,5,1,0.5,,,,,,,,,,,,,,,,
Justin Herbert,LAC,QB,17,17,17,-0.6965,17,171,No,No,13,0.7647,7.0938,0.3474,No,1,2,0.1176,,0.5882,2.9941,2.1462,10.0588,39.6,No,No,16,2,0.0588,,,,,,,,,,,,,,,,
Drake Maye,NE,QB,9,9,9,-0.6741,9,97,No,No,6,0.6667,3.8337,0.2407,No,1,1,0.1111,0.1111,0.5556,3.0444,2.45,10.7778,39.6,No,No,17,2,0.1111,,,,,,,,,,,,,,,,
Geno Smith,LV,QB,12,12,12,-0.7048,12,115,Yes,No,5,0.4167,4.5021,0.0415,No,1,2,0.1667,0.1667,0.75,2.75,2.34,9.5833,,No,No,15,,0.1667,-7.5,2,0.0833,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4
Aidan O'Connell,LV,QB,2,2,2,-0.704,2,21,No,No,1,0.5,0.5433,0.2283,No,1,,,,1,2.15,2.3,10.5,39.6,No,No,1,,,,,,,,,,,,,,,,,,
Matthew Stafford,LA,QB,26,26,26,-0.6058,26,394,No,Yes,11,0.4231,9.9443,0.0406,No,1,7,0.2692,,0.6154,2.7923,2.2091,15.1538,39.6,No,No,17,8,0.0385,,,0.0385,,,,,,,,,,,,,
J.J. McCarthy,MIN,QB,12,12,12,-0.6621,12,131,No,No,4,0.3333,5.0886,-0.0907,No,1,1,0.0833,,0.8333,3.0333,3.125,10.9167,39.6,No,No,10,1,,,,,,,,,,,,,,,,,
Patrick Mahomes,KC,QB,14,14,14,-0.7861,14,73,No,Yes,7,0.5,4.045,0.2111,No,1,,,0.0714,0.7143,2.25,2.4,5.2143,39.6,Yes,No,14,,0.0714,,,,,,,,,,,,,,,,
Trey Lance,LAC,QB,2,2,2,-0.5514,2,34,No,No,1,0.5,0.8194,0.0903,No,1,1,0.5,,0.5,2.95,3,17,39.6,No,No,4,1,,,,,,,,,,,,,,,,,
Tyler Shough,NO,QB,13,13,13,-0.6513,13,160,No,Yes,7,0.5385,4.7824,0.1706,No,1,3,0.2308,0.0769,0.6923,2.7077,2.7,12.3077,7.5,No,No,11,1,,-3.4615,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Jalen Hurts,PHI,QB,18,18,18,-0.6565,18,210,No,No,8,0.4444,7.8054,0.0108,No,1,3,0.1667,0.0556,0.5556,3.0889,2.325,11.6667,39.6,No,No,16,,0.1111,,,0.0556,,,,,,,,,,,,,
Cooper Rush,BLT,QB,2,2,2,-0.7361,2,15,No,Yes,2,1,0.8021,0.5989,Yes,1,,,,0.5,2.9,2.05,7.5,39.6,No,No,4,,,,,,,,,,,,,,,,,,
Riley Leonard,IND,QB,2,2,2,-0.469,2,51,Yes,Yes,1,0.5,1.1126,-0.0563,No,1,1,0.5,0.5,0.5,3.8,4.4,25.5,39.6,No,No,5,,,,,,,,,,,,,,,,,,
Davis Mills,HST,QB,5,5,5,-0.633,5,60,No,No,1,0.2,2.264,-0.2528,No,1,1,0.2,,0.4,3.2,2.4,12,39.6,No,No,6,,,,,,,,,,,,,,,,,,
Josh Allen,BUF,QB,12,12,12,-0.6445,12,182,No,No,7,0.5833,5.3474,0.1377,No,1,2,0.1667,,0.5833,3.1583,2.8143,15.1667,39.6,No,No,17,1,0.0833,,,,,,,,,,,,,,,,
Max Brosmer,MIN,QB,1,1,1,-0.6278,1,13,No,No,,,0.1078,-0.1078,No,1,,,,1,1.2,,13,39.6,No,No,7,,,,,,,,,,,,,,,,,,
Michael Penix,ATL,QB,13,13,13,-0.5893,13,210,No,Yes,5,0.3846,5.6621,-0.0509,No,1,4,0.3077,,0.7692,3.1,2.7,16.1538,39.6,No,No,9,2,,,,,,,,,,,,,,,,,
Tyrod Taylor,NYJ,QB,5,5,5,-0.6453,5,61,No,No,2,0.4,1.8845,0.0231,No,1,1,0.2,,0.8,2.76,2,12.2,39.6,No,No,6,,,,,,,,,,,,,,,,,,
Shedeur Sanders,CLV,QB,7,7,7,-0.6449,7,90,No,No,2,0.2857,3.4111,-0.2016,Yes,1,1,0.1429,,0.4286,3.4,2.55,12.8571,39.6,No,No,8,,0.1429,,,,,,,,,,,,,,,,
Jameis Winston,NYG,QB,5,5,5,-0.6586,5,61,No,No,1,0.2,1.643,-0.1286,No,1,,,0.4,1,2.48,2,12.2,,No,No,3,2,,-9,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Mac Jones,SF,QB,9,9,9,-0.7168,9,81,No,No,2,0.2222,2.4882,-0.0542,No,1,,,0.1111,0.8889,2.1778,2.1,9,,No,No,11,,,-5,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Joshua Dobbs,NE,QB,1,1,1,-0.6131,1,14,No,No,,,0.4355,-0.4355,No,1,,,,1,3.1,,14,39.6,No,No,4,,,,,,,,,,,,,,,,,,
Kirk Cousins,ATL,QB,13,13,13,-0.6031,13,196,No,No,5,0.3846,4.9032,0.0074,No,1,2,0.1538,0.1538,0.6154,2.7615,2.62,15.0769,39.6,Yes,No,10,2,,,,,,,,,,,,,,,,,
Philip Rivers,IND,QB,5,5,5,-0.6207,5,94,No,No,3,0.6,1.5913,0.2818,No,1,2,0.4,,1,2.42,2.2667,18.8,39.6,No,No,3,,,,,,,,,,,,,,,,,,
Joe Burrow,CIN,QB,6,6,6,-0.7523,6,45,No,No,2,0.3333,2.6478,-0.108,Yes,1,1,0.1667,,0.5,3.1333,2.05,7.5,39.6,No,No,8,2,,,,,,,,,,,,,,,,,
Russell Wilson,NYG,QB,2,2,2,-0.7711,2,10,No,No,2,1,0.6986,0.6507,No,1,,,,0.5,2.6,2.4,5,39.6,No,No,6,,0.5,,,,,,,,,,,,,,,,
Bo Nix,DEN,QB,20,20,20,-0.7097,20,185,Yes,Yes,6,0.3,7.9865,-0.0993,No,1,1,0.05,,0.75,2.89,2.3667,9.25,39.6,No,No,17,2,,,,,,,,,,,,,,,,,
Trevor Lawrence,JAX,QB,25,25,25,-0.6928,25,248,No,Yes,9,0.36,8.6807,0.0128,Yes,1,4,0.16,,0.72,2.588,2.3222,10.12,39.6,No,No,17,1,0.04,,,0.04,,,,,,,,,,,,,
Andy Dalton,CAR,QB,1,1,1,-0.605,1,15,No,No,,,0.2631,-0.2631,No,1,,,,1,2.1,,15,39.6,No,No,4,,,,,,,,,,,,,,,,,,
Sam Darnold,SEA,QB,25,25,25,-0.6521,25,317,Yes,Yes,11,0.44,10.0263,0.0389,No,1,2,0.08,,0.64,2.9,2.8273,12.68,39.6,No,No,17,3,0.04,,,0.04,,,,,,,,,,,,,
Jayden Daniels,WAS,QB,8,8,8,-0.6785,8,82,No,No,2,0.25,2.2942,-0.0368,No,1,,,,0.875,2.2375,1.7,10.25,39.6,No,No,7,,,,,,,,,,,,,,,,,,
Brandon Allen,TEN,QB,4,4,4,-0.5289,4,17,No,Yes,4,1,1.3455,0.6636,No,1,,,0.25,1,2.525,2.15,4.25,,No,No,1,,,-11.25,1,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Chris Oladokun,KC,QB,2,2,2,-0.7395,2,16,No,No,1,0.5,0.6469,0.1766,No,1,,,,1,2.45,3.2,8,39.6,No,No,3,,,,,,,,,,,,,,,,,,
Lamar Jackson,BLT,QB,9,9,9,-0.6554,9,104,No,No,4,0.4444,4.5582,-0.062,No,1,2,0.2222,,0.5556,3.5111,2.6,11.5556,39.6,No,No,13,2,0.1111,,,,,,,,,,,,,,,,
