Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,PressuredTotal,PressuredPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AverageTimeToPressure,AttemptsInEndzoneTotal,YardsAdjustedNetPercentage,InterceptionsTotal,TowThrowPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetedReadCheckdownPercentage,RunPassOptionPercentage
Tyler Shough,NO,QB,4,4,4,-0.7262,4,28,No,No,1.9837,0.5041,No,1,0.25,3.45,7,39.6,No,No,11,4,1,,,2.025,1,,,,,,,,,,,,,,,,,0.25,
Trey Lance,LAC,QB,1,1,1,-0.7119,1,8,No,Yes,0.2458,0.7542,Yes,1,1,2,8,39.6,No,No,4,1,1,,,1.7,,,,,,,,,,,,,,,,,,,
Lamar Jackson,BLT,QB,5,5,5,-0.6959,5,51,No,No,2.2468,0.3507,No,1,0.4,3.18,10.2,39.6,No,No,13,4,0.8,1,0.2,2.45,1,,,0.2,,,,,,,,,,,,,,0.2,
Chris Oladokun,KC,QB,1,1,1,-0.6278,1,13,No,Yes,0.6425,0.3575,No,1,,4.3,13,39.6,No,No,3,1,1,,,2.4,,,,1,,,,,,,,,,,,,,,
Jayden Daniels,WAS,QB,3,3,3,-0.8172,3,7,No,No,0.9789,0.007,No,1,0.6667,2.4667,2.3333,39.6,No,No,7,1,0.3333,,,2.6,,,,,,,,,,,,,,,,,,,
Brandon Allen,TEN,QB,1,1,1,-0.7119,1,8,No,Yes,0.7288,0.2712,No,1,,4.8,8,39.6,No,No,1,1,1,,,2.4,,,,1,,,,,,,,,,,,,,,
Andy Dalton,CAR,QB,1,1,1,-0.6364,1,11,No,No,0.2631,-0.2631,No,1,1,2.1,11,39.6,No,No,4,,,,,,,,,,,,,,,,,,,,,,,,
Sam Darnold,SEA,QB,6,6,6,-0.6821,6,56,No,No,2.2511,-0.0418,No,1,0.8333,2.75,10,,No,No,17,2,0.3333,,,2.65,1,-7.5,1,0.1667,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,0.1667,
Trevor Lawrence,JAX,QB,3,3,3,-0.6846,3,40,No,No,1.0307,-0.0102,No,1,1,2.5667,13.3333,39.6,No,No,17,1,0.3333,1,0.3333,2.3,,,,,,,,,,,,,,,,,,,
Bo Nix,DEN,QB,14,14,14,-0.6863,14,132,No,No,5.7699,0.0164,Yes,1,0.5,2.9643,9.4286,39.6,No,No,17,6,0.4286,2,0.1429,2.6333,1,,,,,,,,,,,,,,,,,0.2143,
Russell Wilson,NYG,QB,2,2,2,-0.754,2,13,No,No,0.9573,0.0213,No,1,0.5,3.35,6.5,39.6,No,No,6,1,0.5,,,3.3,1,,,,,,,,,,,,,,,,,0.5,
Joe Burrow,CIN,QB,4,4,4,-0.7436,4,35,No,Yes,2.2942,0.1764,No,1,0.5,3.9,8.75,39.6,No,No,8,3,0.75,1,0.25,2.6333,,,,,,,,,,,,,,,,,,,
Mac Jones,SF,QB,5,5,5,-0.688,5,42,No,No,1.4015,0.3197,No,1,0.8,2.2,9,39.6,No,No,11,3,0.6,,,2.1333,1,,,0.2,,,,,,,,,,,,,,,
Kirk Cousins,ATL,QB,3,3,3,-0.7041,3,28,No,No,0.8754,0.0415,No,1,0.6667,2.2667,9.3333,39.6,No,No,10,1,0.3333,1,0.3333,2.8,,,,,,,,,,,,,,,,,,,
Philip Rivers,IND,QB,3,3,3,-0.6346,3,37,Yes,No,0.9962,-0.3321,Yes,1,1,2.5,12.3333,39.6,Yes,No,3,,,,,,,,,0.3333,,,,,,,,,,,,,,,
C.J. Stroud,HST,QB,11,11,11,-0.7561,11,74,No,No,4.308,-0.028,No,1,0.4545,2.8455,6.7273,39.6,No,No,14,4,0.3636,,,2.675,,,,0.0909,,,,,,,,,,,,,,0.3636,
Jacoby Brissett,ARZ,QB,11,11,11,-0.6853,11,113,No,No,4.5151,-0.2286,No,1,0.5455,2.9545,10.2727,1.7,No,No,14,2,0.1818,2,0.1818,2.35,3,-4.0909,1,0.1818,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,0.2727,
Joe Flacco,CIN,QB,6,6,6,-0.8154,6,22,No,No,2.0785,-0.0131,No,1,0.6667,2.5833,3.6667,39.6,No,No,13,2,0.3333,,,2,,,,0.1667,,,,,,,,,,,,,,0.3333,
Daniel Jones,IND,QB,3,3,3,-0.621,3,40,No,No,1.1341,0.2886,No,1,1,2.7667,13.3333,39.6,No,No,13,2,0.6667,1,0.3333,2.55,,,,,,,,,,,,,,,,,,,
Jake Browning,CIN,QB,6,6,6,-0.6922,6,62,No,No,2.2683,-0.0447,No,1,0.8333,2.7667,10.3333,,No,No,5,2,0.3333,1,0.1667,2.25,,-15,2,0.1667,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,,
Kyler Murray,ARZ,QB,3,3,3,-0.7342,3,22,No,No,1.1686,0.2771,No,1,0.6667,2.8333,7.3333,39.6,No,No,5,2,0.6667,,,2,,,,,,,,,,,,,,,,,,,
Jared Goff,DET,QB,9,8,8,-0.6815,8,77,No,No,2.9497,0.0063,No,1,0.75,2.7125,9.625,39.6,No,No,17,3,0.375,1,0.125,2.3333,1,,,,,,,,,,,,,,,,,,
Cam Ward,TEN,QB,7,7,7,-0.6832,7,75,No,No,2.8418,0.0226,No,1,0.5714,2.9286,10.7143,,No,No,17,3,0.4286,1,0.1429,2.8333,,-6.4286,1,0.1429,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,,
Caleb Williams,CHI,QB,10,10,10,-0.7346,10,82,No,Yes,4.9592,-0.1959,No,1,0.5,3.45,8.2,39.6,No,No,17,3,0.3,,,2.7667,1,,,0.1,,,,,,,,,,,,,,0.1,
Tanner McKee,PHI,QB,1,1,1,-0.6131,1,14,No,No,0.4355,-0.4355,Yes,1,,3.1,14,39.6,No,No,4,,,,,,,,,,,,,,,,,,,,,,,,
Tua Tagovailoa,MIA,QB,5,5,5,-0.6473,5,55,No,No,2.0742,0.3852,No,1,0.6,2.98,11,39.6,No,No,14,4,0.8,1,0.2,2.35,,,,,,,,,,,,,,,,,,0.2,
Brock Purdy,SF,QB,2,2,2,-0.6443,2,24,No,No,1.5956,-0.2978,No,1,0.5,5.2,12,39.6,No,No,9,1,0.5,,,3.7,,,,1,,,,,,,,,,,,,,,
Justin Fields,NYJ,QB,2,2,2,-0.7638,2,13,No,No,0.4053,-0.2027,No,1,1,1.75,6.5,39.6,No,No,9,,,,,,,,,,,,,,,,,,,,,,,,
Dillon Gabriel,CLV,QB,6,6,6,-0.7531,6,41,No,No,1.9233,0.0128,No,1,1,2.4333,6.8333,39.6,No,No,10,2,0.3333,,,2.85,,,,0.1667,,,,,,,,,,,,,,,
J.J. McCarthy,MIN,QB,7,7,7,-0.7399,7,54,No,No,2.9453,0.4364,No,1,0.5714,3.0143,7.7143,39.6,No,No,10,6,0.8571,,,2.5667,1,,,,,,,,,,,,,,,,,0.1429,
Patrick Mahomes,KC,QB,11,11,11,-0.761,11,67,No,Yes,4.7565,0.113,No,1,0.4545,3.0818,6.0909,39.6,Yes,No,14,6,0.5455,,,2.9,1,,,0.0909,,,,,,,,,,,,,,0.0909,
Matthew Stafford,LA,QB,8,8,8,-0.7619,8,51,No,No,3.2601,-0.0325,No,1,0.625,2.9375,6.375,39.6,No,No,17,3,0.375,,,2.6333,2,,,,,,,,,,,,,,,,,0.25,
Drake Maye,NE,QB,9,9,9,-0.6748,9,103,No,No,3.6267,0.0415,No,1,0.7778,2.9111,11.4444,,No,No,17,4,0.4444,1,0.1111,2.075,1,-10,2,0.3333,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,0.1111,
Geno Smith,LV,QB,12,12,12,-0.6269,12,165,No,No,4.3296,0.1392,No,1,0.6667,2.6667,13.75,,No,No,15,6,0.5,5,0.4167,2.5,4,-7.5,2,0.1667,-2,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-2,-4,0.0833,
Justin Herbert,LAC,QB,7,7,7,-0.6734,7,77,No,No,1.8931,-0.2704,No,1,1,2.1429,11,,No,No,16,,,,,,3,-6.4286,1,0.1429,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,,0.1429
Tyler Huntley,BLT,QB,2,2,2,-0.6379,2,29,No,No,0.8711,0.5645,No,1,0.5,3.1,14.5,39.6,No,No,5,2,1,1,0.5,2.45,,,,,,,,,,,,,,,,,,0.5,
Carson Wentz,MIN,QB,5,5,5,-0.6404,5,61,No,Yes,1.3325,0.1335,No,1,0.8,2.12,12.2,39.6,No,No,5,2,0.4,1,0.2,1.9,,,,,,,,,,,,,,,,,,0.2,
Quinn Ewers,MIA,QB,1,1,1,-0.5836,1,17,No,No,0.3665,-0.3665,No,1,1,2.7,17,39.6,No,No,4,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott,DAL,QB,4,4,4,-0.5852,4,66,No,No,1.587,-0.3967,No,1,0.75,2.875,16.5,39.6,No,No,17,,,2,0.5,,,,,,,,,,,,,,,,,,,0.25,
Aaron Rodgers,PIT,QB,8,8,8,-0.6193,8,104,No,No,2.7944,0.0257,No,1,0.75,2.6,13,39.6,No,No,16,3,0.375,3,0.375,2.5333,1,,,,,,,,,,,,,,,,,0.125,
Baker Mayfield,TB,QB,7,7,7,-0.6768,7,72,No,No,2.5659,0.062,No,1,0.7143,2.7,10.2857,39.6,No,No,17,3,0.4286,1,0.1429,2.4,,,,,,,,,,,,,,,,,,0.1429,
Spencer Rattler,NO,QB,3,3,3,-0.6266,3,41,No,No,1.5999,0.1334,No,1,0.3333,3.6667,13.6667,,No,No,9,2,0.6667,1,0.3333,1.95,,-15,1,0.3333,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,,
Mason Rudolph,PIT,QB,1,1,1,-0.2943,1,32,No,No,0.3493,-0.3493,No,1,1,2.6,32,39.6,No,No,5,,,1,1,,,,,,,,,,,,,,,,,,,,
Bryce Young,CAR,QB,7,7,7,-0.6933,7,71,No,No,2.1864,-0.1695,No,1,0.7143,2.3857,10.1429,39.6,No,No,16,1,0.1429,1,0.1429,2,,,,,,,,,,,,,,,,,,,
Jordan Love,GB,QB,6,6,6,-0.5867,6,106,No,No,2.1303,-0.0217,No,1,0.8333,2.6333,17.6667,39.6,No,No,15,2,0.3333,2,0.3333,2.8,1,,,,,,,,,,,,,,,,,0.1667,0.1667
Jaxson Dart,NYG,QB,6,6,6,-0.6226,6,83,No,No,3.2343,0.1276,No,1,0.3333,3.7,13.8333,39.6,No,No,14,4,0.6667,2,0.3333,2.65,2,,,0.1667,,,,,,,,,,,,,,0.1667,
Mitchell Trubisky,BUF,QB,1,1,1,-0.8244,1,4,No,No,0.2113,-0.2113,No,1,1,1.8,4,39.6,No,No,4,,,,,,,,,,,,,,,,,,,,,,,,
Brady Cook,NYJ,QB,9,9,9,-0.6496,9,105,No,No,3.6267,-0.0696,No,1,0.5556,2.9111,11.6667,,No,No,5,3,0.3333,2,0.2222,2.8333,,-5,1,0.1111,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,,
