"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","Boom%","Bust%"
"[object Object]","2024","Aydan White","NC State","CB","347","55","23.74","0.068","10.28","0.030","3.42","0.062","50.9%","27.3%","16.4%"
"[object Object]","2024","Collin Wright","Stanford","CB","388","48","23.72","0.062","8.71","0.023","-10.28","-0.214","41.7%","27.1%","25.0%"
"[object Object]","2024","David Fisher","Sam Houston State","CB","417","56","23.57","0.057","7.67","0.019","-23.37","-0.417","25.0%","17.9%","25.0%"
"[object Object]","2024","Jyaire Hill","Michigan","CB","351","54","23.08","0.066","8.88","0.025","-3.82","-0.071","38.9%","24.1%","22.2%"
"[object Object]","2024","Marquis Cooper","Buffalo","CB","377","65","23.07","0.061","10.03","0.027","0.18","0.003","43.1%","27.7%","20.0%"
"[object Object]","2024","Brent Austin","South Florida","CB","401","55","22.86","0.057","9.06","0.023","-20.48","-0.372","25.5%","20.0%","29.1%"
"[object Object]","2024","Domani Jackson","Alabama","CB","349","39","22.58","0.065","9.47","0.027","-5.83","-0.150","41.0%","25.6%","20.5%"
"[object Object]","2024","Rickey Gibson III","Tennessee","CB","337","40","22.42","0.067","9.19","0.028","-1.99","-0.050","42.5%","30.0%","17.5%"
"[object Object]","2024","Brian Blades II","FIU","CB","388","39","22.38","0.058","8.98","0.023","-6.52","-0.167","43.6%","17.9%","17.9%"
"[object Object]","2024","Warren Burrell","Georgia Tech","CB","312","42","22.25","0.072","9.57","0.031","-3.07","-0.073","42.9%","23.8%","14.3%"
"[object Object]","2024","Kaylin Moore","UCLA","CB","321","47","22.23","0.070","9.57","0.030","-6.27","-0.134","31.9%","17.0%","19.1%"
"[object Object]","2024","Nikko Reed","Oregon","CB","332","44","22.18","0.067","8.01","0.024","8.16","0.185","47.7%","25.0%","15.9%"
"[object Object]","2024","Justin Agu","Louisiana","CB","357","47","21.84","0.062","8.28","0.023","-1.92","-0.041","40.4%","21.3%","21.3%"
