targets,grades_pass_block,grades_offense,yards_after_contact,explosive,grades_pass_route,draft_season,elu_rush_mtf,breakaway_attempts,designed_yards,team_name,yprr,breakaway_percent,fumbles,first_downs,elusive_rating,jersey_number,breakaway_yards,player_game_count,eligible_season,total_touches,scramble_yards,yco_attempt,yards,grades_run_block,receptions,zone_attempts,scrambles,grades_run,penalties,attempts,elu_yco,elu_recv_mtf,team,declined_penalties,ypa,drops,position,grades_hands_fumble,longest,routes,player,franchise_id,rec_yards,gap_attempts,run_plays,avoided_tackles,grades_offense_penalty,player_id,touchdowns,grades_pass
48,24.6,63.5,752,24,55.2,2020,35,10,1085,CAR,1.13,23.8,2,51,46.6,05,258,18,2020,281,0,3.12,1085,43.4,40,123,0,70.7,3,241,752,7,CAR,0,4.5,2,HB,74.2,53,268,Rico Dowdle,5,303,114,273,35,13.9,40693,6,
85,43.3,89.2,977,40,75,2023,49,24,1350,MIA,1.29,46.1,1,56,96.9,28,622,16,2023,305,0,4.11,1350,57.6,67,145,0,91,1,238,977,23,MIA,0,5.7,4,HB,84.8,59,377,De'Von Achane,17,488,79,268,49,65.6,124305,8,
86,27.7,75.1,711,24,71.9,2023,46,9,1019,CIN,1.09,21.5,2,52,64.1,30,219,17,2023,301,0,3.06,1019,56.1,69,112,0,77.2,1,232,711,17,CIN,0,4.4,4,HB,74.9,37,400,Chase Brown,7,437,106,261,46,90.3,77787,6,
33,19.1,66.6,735,18,64.2,2025,41,7,827,CLV,1.05,23.8,0,50,57.4,10,197,14,2025,256,0,3.2,827,69.3,26,103,0,68.7,0,230,735,5,CLV,0,3.6,1,HB,91,46,163,Quinshon Judkins,8,171,118,256,41,86.4,157128,7,44.8
40,48.9,67.5,568,18,59.1,2025,30,8,832,HST,0.8,18.1,2,44,36,27,151,18,2025,255,0,2.48,832,77.3,26,101,0,68.9,0,229,568,7,HST,0,3.6,1,HB,71.8,23,284,Woody Marks,13,227,122,264,30,88.8,124179,3,
43,72,81,681,25,83.6,2022,56,10,1001,PIT,1.51,26.9,1,55,92.5,30,269,17,2022,264,0,3.05,1001,54.1,41,145,0,76.2,0,223,681,24,PIT,0,4.5,1,HB,84.1,45,223,Jaylen Warren,25,337,75,244,56,88.2,98692,6,
47,27.8,68,685,19,58.3,2025,31,11,987,NE,0.92,38.1,1,46,54.8,32,376,21,2025,250,0,3.26,987,60,40,64,0,72.7,3,210,685,11,NE,1,4.7,2,HB,83.4,69,276,TreVeyon Henderson,19,254,126,246,31,56.1,145059,9,
34,29.2,67.4,549,16,44.4,2025,30,8,846,CHI,0.87,20.9,0,46,51.5,25,177,19,2025,213,0,2.89,846,59.4,23,127,0,75.2,1,190,549,8,CHI,1,4.5,4,HB,90.7,39,256,Kyle Monangai,6,222,60,221,30,88.3,129891,5,
23,47.8,85.1,629,13,56.4,2023,46,10,750,SEA,0.71,28.7,0,49,79.6,26,215,17,2023,209,0,3.33,750,55.8,20,120,0,90,0,189,629,4,SEA,0,4,1,HB,90.6,30,202,Zach Charbonnet,29,144,64,217,46,86.2,97630,12,
52,69.9,77.2,652,19,70.3,2021,46,10,820,NE,1.37,30.5,3,40,83.7,38,250,18,2021,232,0,3.47,820,72,44,67,0,76,1,188,652,10,NE,1,4.4,1,HB,55.2,56,344,Rhamondre Stevenson,19,471,110,240,46,63,98689,7,
43,45.5,69.5,468,19,66,2024,25,7,740,NYG,1.06,18.9,1,39,43.9,29,140,15,2024,212,0,2.66,740,54.3,36,111,0,72.5,2,176,468,10,NYG,0,4.2,2,HB,79.7,31,271,Tyrone Tracy,21,288,62,203,25,26.6,84226,2,
11,44.3,69.6,613,21,43.4,2025,34,7,805,WAS,0.49,25.2,4,41,64.7,22,203,17,2025,184,0,3.5,805,50.1,9,75,0,75.4,0,175,613,0,WAS,0,4.6,0,HB,33.3,72,140,Jacory Croskey-Merritt,32,68,100,216,34,86.9,102382,8,
33,22.6,67.8,403,11,68.2,2024,31,4,588,TB,1.49,13.4,1,27,51.6,07,79,10,2024,203,0,2.33,588,60.3,30,77,0,69.2,0,173,403,14,TB,0,3.4,2,HB,78.4,32,186,Bucky Irving,30,277,87,184,31,86,144970,1,
19,56.5,78.5,438,25,36.9,2024,28,11,865,LA,0.5,28.6,0,49,43.2,22,247,20,2024,184,0,2.56,865,45.5,13,86,0,85.8,0,171,438,3,LA,0,5.1,3,HB,90.6,48,147,Blake Corum,26,73,82,186,28,84.3,129574,6,
23,55.5,73.4,482,14,62.5,2024,30,6,674,LAC,0.64,27,1,34,53.7,30,182,14,2024,184,0,2.9,674,77.8,18,85,0,75.4,1,166,482,4,LAC,0,4.1,0,HB,78.1,59,245,Kimani Vidal,27,156,79,186,30,53.6,123727,3,
68,53.8,68.4,448,9,69.3,2025,31,4,597,DEN,1.39,24,1,29,59,12,143,19,2025,221,0,2.72,597,43.7,56,56,0,69.6,1,165,448,17,DEN,0,3.6,5,HB,81,50,304,RJ Harvey,10,424,97,197,31,89.1,99622,7,59
24,63.6,72.2,435,10,53.2,2017,27,2,611,KC,0.52,8.3,2,55,45.7,29,51,17,2017,181,0,2.67,611,57.2,18,103,0,78.3,2,163,435,4,KC,0,3.7,1,HB,61,33,276,Kareem Hunt,16,143,51,183,27,24.8,11841,8,
15,25.1,74.4,542,22,42,2022,31,9,758,MIN,0.32,24.4,3,44,65,27,185,16,2022,173,0,3.41,758,58.9,14,88,0,83.8,1,159,542,2,MIN,1,4.8,0,HB,44.6,24,160,Jordan Mason,18,51,66,182,31,86.4,62946,6,
26,58,75.3,501,15,78.4,2019,29,6,716,DET,1.12,26.8,2,41,57.5,05,192,17,2019,182,0,3.17,716,58.9,24,100,0,72.5,0,158,501,4,DET,0,4.5,0,HB,77,72,171,David Montgomery,11,192,56,175,29,84.6,45719,8,62.4
14,60.3,76.8,487,21,46.6,2020,32,12,772,DEN,0.32,33.8,0,37,64,27,261,10,2020,164,0,3.18,772,47.7,11,59,0,80.8,1,153,487,1,DEN,0,5,2,HB,90.2,41,114,J.K. Dobbins,10,37,90,183,32,34.5,57366,4,
39,48.4,69.9,360,8,60,2021,15,0,557,CAR,1,0,1,35,30.1,30,0,16,2021,179,0,2.45,557,57.4,32,94,0,73.6,0,147,360,7,CAR,0,3.8,4,HB,77.4,14,237,Chuba Hubbard,5,236,47,165,15,87.4,57373,3,
16,70.7,71.5,418,14,56.3,2022,26,5,514,ATL,0.9,16.9,0,36,52.1,25,87,17,2022,157,0,2.92,514,52.2,14,106,0,72.2,0,143,418,2,ATL,0,3.6,1,HB,90.1,21,107,Tyler Allgeier,2,96,35,179,26,83,83639,8,
19,45.5,72.1,361,9,52.1,2018,28,4,568,HST,0.47,17.8,0,23,51.7,21,101,17,2018,149,0,2.65,568,60,13,54,0,76.4,0,136,361,1,HST,0,4.2,1,HB,90.1,30,143,Nick Chubb,13,67,79,153,28,85.1,45783,3,
0,,90.5,460,19,,2018,1,4,180,BUF,,9.9,10,59,2,17,67,19,2018,76,498,3.41,678,60,0,6,59,90.8,5,135,113,0,BUF,0,5,0,QB,70,40,0,Josh Allen,4,0,14,498,21,80.6,46601,16,84
42,58.2,80.9,390,13,67.1,2022,25,4,572,TB,0.72,15.9,0,37,63.6,01,91,17,2022,172,0,2.95,572,63,40,55,0,87.2,0,132,390,12,TB,0,4.3,0,HB,90.2,39,303,Rachaad White,30,218,74,167,25,90.5,131633,4,
37,35.6,65,352,12,46.1,2017,12,5,548,MIN,1.07,17.7,2,28,25,33,97,12,2017,160,0,2.67,548,87.9,28,73,0,69.5,0,132,352,3,MIN,0,4.2,3,HB,56.7,31,186,Aaron Jones,18,199,56,136,12,86.7,11937,2,
2,,80.7,355,21,60,2024,1,1,43,NE,2,2.5,16,49,1.1,10,16,21,2024,59,585,2.69,628,60.4,1,5,74,79.7,2,132,36,0,NE,0,4.8,0,QB,29.5,37,1,Drake Maye,19,2,3,515,15,72.9,143969,5,76.6
39,23.4,51.7,336,10,39.5,2017,19,4,471,NO,0.78,14,3,21,36,41,66,11,2017,164,0,2.56,471,68,33,79,0,61,0,131,336,4,NO,0,3.6,3,HB,41.1,18,240,Alvin Kamara,20,186,48,157,19,89.4,11822,1,
16,49.5,63.7,386,12,37,2023,17,1,499,GB,0.71,3,1,32,50,23,15,18,2023,141,0,3.06,499,31.6,15,75,0,73.9,0,126,386,6,GB,0,4,1,HB,73.3,15,139,Emanuel Wilson,12,99,49,146,17,86.2,154173,3,
34,16.3,77.3,418,14,67.7,2025,32,8,544,LAC,1.04,35.5,1,31,74.5,08,193,10,2025,157,0,3.34,544,66.6,32,55,0,84.5,0,125,418,3,LAC,0,4.4,0,HB,74.3,54,185,Omarion Hampton,27,192,65,150,32,85.9,162750,4,
87,69.3,72.6,376,16,70.5,2021,23,6,557,PIT,1.44,28,2,36,57.3,14,156,18,2021,197,0,3.13,557,56.6,77,72,0,74.7,2,120,376,13,PIT,0,4.6,3,HB,67.3,55,355,Kenneth Gainwell,25,512,41,145,23,39.2,77737,5,
19,67,71.1,288,6,58.7,2019,17,2,437,NYG,1.28,11.7,0,27,42.4,26,51,17,2019,137,0,2.42,437,48,18,72,0,72.3,1,119,288,7,NYG,0,3.7,1,HB,90.1,29,118,Devin Singletary,21,151,46,141,17,34.8,40485,5,75
26,67.2,58.6,324,10,35.6,2022,13,1,462,KC,0.42,3.5,0,27,30.1,10,16,13,2022,137,0,2.75,462,60.7,19,88,0,67.4,1,118,324,2,KC,0,3.9,4,HB,89.5,16,242,Isiah Pacheco,16,101,24,139,13,48,83747,1,
4,47.7,73.5,388,13,54.5,2023,23,4,500,WAS,0.34,20,0,32,75.3,36,100,13,2023,115,0,3.46,500,42.8,3,46,0,78.4,1,112,388,2,WAS,0,4.5,0,HB,88.5,48,87,Chris Rodriguez Jr.,32,30,65,139,23,25.4,83689,6,
0,,79,180,12,,2020,5,2,174,PHI,,9.4,8,42,6,01,41,17,2020,70,261,1.64,435,60,0,10,40,71.6,5,110,59,0,PHI,0,4,0,QB,61.2,29,0,Jalen Hurts,24,0,9,435,11,68.1,40291,8,76.7
30,11.6,80.5,307,10,82.7,2025,22,4,410,NYG,1.54,18.5,1,27,70.5,44,76,8,2025,125,0,3.04,410,83.1,24,63,0,81,1,101,307,7,NYG,0,4.1,1,HB,68.9,24,134,Cam Skattebo,21,207,37,131,22,31.6,147787,5,
1,,77.1,92,14,56.6,2024,2,1,65,DEN,0,4.7,5,29,2.8,10,18,18,2024,57,320,0.97,385,60.3,0,10,38,65.3,9,95,46,0,DEN,1,4.1,0,QB,73.1,25,2,Bo Nix,10,0,11,436,8,61.7,97790,5,76.1
13,18.5,66.7,288,10,61.5,2022,22,4,404,SF,0.36,16.8,0,20,72.9,03,68,19,2022,104,0,3.03,404,60.8,9,61,0,68.1,0,95,288,3,SF,0,4.3,0,HB,89.7,19,77,Brian Robinson,28,28,32,120,22,82.2,57120,2,
0,,78,341,18,,2020,1,1,66,LAC,,3.2,9,37,2.6,10,18,17,2020,37,489,3.67,555,60,0,4,56,82.7,5,93,35,0,LAC,0,6,0,QB,56.1,41,0,Justin Herbert,27,0,6,411,11,69.4,28237,2,73
42,69.2,71.4,217,5,67.6,2021,9,2,333,ARZ,1.13,12.9,0,19,49.1,22,43,13,2021,125,0,2.36,333,71.3,33,33,0,71.2,0,92,217,17,ARZ,0,3.6,2,HB,88.5,22,237,Michael Carter,1,267,58,100,9,88.4,57337,1,
0,,83.7,240,16,,2021,0,0,59,JAX,,0,5,41,0,16,0,18,2021,44,331,2.73,390,60.9,0,6,44,77.4,9,88,25,0,JAX,0,4.4,0,QB,70.6,21,0,Trevor Lawrence,15,0,6,443,13,60.2,77632,9,80.5
13,52.9,66,288,8,59.1,2025,19,2,358,JAX,0.86,9.8,1,26,75.1,33,35,16,2025,97,0,3.31,358,52.3,10,54,0,67.7,0,87,288,3,JAX,0,4.1,0,HB,48.5,20,92,Bhayshul Tuten,15,79,32,111,19,83.1,150568,5,
0,,67.9,220,18,60,2025,3,3,197,NYG,0,11.7,5,38,8.9,06,57,14,2025,48,290,2.56,487,60.2,0,6,38,76.9,9,86,68,0,NYG,1,5.7,0,QB,51.4,29,1,Jaxson Dart,21,0,23,325,10,5.8,146409,9,64.2
11,23,66.2,210,7,50.3,2023,10,3,320,TB,0.58,23.8,1,22,28.6,44,76,15,2023,94,0,2.44,320,60.4,8,35,0,70.9,0,86,210,1,TB,0,3.7,1,HB,50.1,43,59,Sean Tucker,30,34,51,102,10,81.5,123056,7,
2,62.2,76.9,202,16,89.3,2024,0,0,31,CHI,5.5,0,10,33,0,18,0,19,2024,39,417,2.35,448,60.2,2,7,49,82.1,10,86,21,0,CHI,0,5.2,0,QB,66,29,4,Caleb Williams,6,22,5,517,16,64,144622,3,72.2
20,39.1,66.6,271,9,60.3,2017,17,2,382,CIN,0.48,13.9,3,32,76.7,34,53,15,2017,101,0,3.23,382,57.7,17,44,0,71.3,0,84,271,7,CIN,0,4.5,1,HB,29.2,32,183,Samaje Perine,7,87,39,105,17,88.8,11869,3,
29,39,69.5,215,5,67.4,2022,16,2,269,ARZ,1.21,12.3,1,21,45.4,20,33,10,2022,104,0,2.62,269,52,22,23,0,72.2,0,82,215,2,ARZ,0,3.3,1,HB,68,17,132,Bam Knight,1,160,59,103,16,84.7,97432,4,
50,49.2,75.3,204,6,90.2,2023,13,3,283,TEN,1.23,26.9,0,16,94.4,02,76,13,2023,117,0,2.83,283,35.1,45,37,0,69.6,2,72,204,26,TEN,1,3.9,1,HB,87.3,41,215,Tyjae Spears,31,264,30,86,13,45.9,97195,2,
1,,67.3,118,10,55.2,2021,4,1,141,NYJ,0,3.9,5,26,9.7,07,15,9,2021,43,242,1.66,383,60,0,20,28,65.8,3,71,45,0,NYJ,0,5.4,0,QB,44.4,43,2,Justin Fields,22,0,6,221,9,66.7,82118,4,65.5
8,5.3,69.3,241,6,39.5,2024,14,2,288,MIA,1.1,17.4,2,17,68.9,05,50,10,2024,75,0,3.44,288,60,5,39,0,74.7,0,70,241,1,MIA,0,4.1,2,HB,29.5,32,40,Jaylen Wright,17,44,30,83,14,80.5,146934,2,
9,23.6,62.4,147,5,53,2025,10,2,199,MIA,0.34,18.1,0,21,38.2,31,36,17,2025,77,0,2.1,199,45.1,7,31,0,70,1,70,147,4,MIA,0,2.8,0,HB,85.5,20,93,Ollie Gordon II,17,32,38,97,10,84.2,157792,3,
0,,74,209,15,58.9,2018,5,1,130,BLT,0,4.9,6,24,14.6,08,17,13,2018,37,219,3.12,349,60.7,0,15,30,78.6,4,67,40,0,BLT,0,5.2,0,QB,45.5,19,1,Lamar Jackson,3,0,9,308,10,57.5,46416,2,69
4,13.4,80.4,252,13,46.3,2023,19,5,375,PHI,0.59,27.5,0,19,123.6,37,103,13,2023,70,0,3.76,375,60.8,3,30,0,88.3,1,67,252,4,PHI,1,5.6,1,HB,86.4,29,54,Tank Bigsby,24,32,33,81,19,82.5,123974,2,
35,23,65.8,159,3,80.6,2025,12,2,175,CLV,1.86,25.7,1,12,49.9,22,45,15,2025,98,0,2.45,175,31.2,33,37,0,61.1,1,65,159,8,CLV,1,2.7,1,HB,65.3,26,146,Dylan Sampson,8,271,25,77,12,87.4,163772,0,
1,,76,171,18,,2017,1,0,2,KC,,0,3,27,0,15,0,14,2017,12,420,2.67,422,60.4,1,1,53,86.7,5,64,0,0,KC,0,6.6,0,QB,70.2,22,0,Patrick Mahomes,16,-10,0,298,8,65.3,11765,5,70.7
12,22.2,57.5,197,10,53.4,2023,10,6,341,BLT,1.31,46,1,16,49.1,34,157,13,2023,68,0,3.34,341,59.2,9,29,0,60.4,0,59,197,0,BLT,0,5.8,1,HB,70.6,55,48,Keaton Mitchell,3,63,26,75,10,82.5,123826,1,
15,64.8,70.2,164,9,66,2024,10,3,275,BUF,1.25,20,0,15,48.5,22,55,19,2024,70,0,2.83,275,60.3,12,29,0,69.7,0,58,164,2,BUF,0,4.7,1,HB,68.3,23,95,Ray Davis,4,119,28,96,10,83.6,101072,0,
0,,74.9,250,8,,2024,2,0,32,WAS,,0,3,14,21.5,05,0,7,2024,20,246,4.31,278,60.1,0,3,38,65.6,3,58,43,0,WAS,0,4.8,0,QB,52.1,18,0,Jayden Daniels,32,0,11,139,12,86.1,97993,2,73.8
19,57.8,58.8,136,3,58.8,2025,10,2,206,NO,0.74,17.5,0,11,48.4,24,36,9,2025,74,0,2.39,206,55.8,17,51,0,58.7,0,57,136,5,NO,0,3.6,1,HB,85.8,21,140,Devin Neal,20,104,6,87,10,86.2,144558,2,
0,,71,112,8,,2023,0,0,-5,CAR,,0,7,17,0,09,0,17,2023,22,245,1.96,240,60.2,0,3,35,72.6,6,57,1,0,CAR,1,4.2,0,QB,56.5,24,0,Bryce Young,5,0,0,404,6,67.9,123943,3,68.2
0,,70,282,15,60,2018,0,0,5,TB,,0,11,27,0,06,0,17,2018,12,377,5.13,382,60.1,0,1,43,86.8,5,55,2,0,TB,0,6.9,0,QB,41.4,33,0,Baker Mayfield,30,0,2,419,19,79.8,46518,1,64.8
0,,86.9,140,5,,2016,0,0,1,DAL,,0,6,15,0,04,0,17,2016,27,176,2.64,177,60.2,0,2,26,61.3,5,53,7,0,DAL,0,3.3,0,QB,66.9,14,0,Dak Prescott,9,0,1,423,7,90.3,10769,2,85.4
5,50,60.3,171,4,43,2022,6,4,250,DAL,0.3,40.4,0,11,36.5,43,101,9,2022,54,0,3.29,250,59.4,2,36,0,65.2,0,52,171,0,DAL,0,4.8,1,HB,83.3,43,53,Malik Davis,9,16,15,66,6,82.1,57196,2,
15,41,53.4,126,1,50.7,2017,4,1,114,NO,1.1,25.4,3,16,19.2,07,29,13,2017,63,0,2.42,114,59.2,11,17,0,54.5,2,52,126,1,NO,0,2.2,3,TE,30,29,83,Taysom Hill,20,91,27,112,4,87.1,12112,1,70.7
0,,65,44,8,,2023,0,0,15,HST,,0,7,18,0,07,0,16,2023,23,205,0.86,220,61.3,0,1,28,73.2,4,51,9,0,HST,0,4.3,0,QB,60.7,30,0,C.J. Stroud,13,0,0,407,2,78.6,129759,1,62
31,26.4,64.9,114,2,64.5,2019,6,2,200,BUF,1.22,20,1,13,46.2,26,40,17,2019,74,0,2.28,200,62.1,24,31,0,69.8,0,50,114,9,BUF,0,4,2,HB,57.9,23,216,Ty Johnson,4,263,12,73,6,88.6,45769,3,
0,,71.4,107,9,,2015,3,3,134,WAS,,22.2,6,12,16.7,08,66,11,2015,32,163,2.14,297,61,0,5,18,55.8,4,50,57,0,WAS,0,5.9,0,QB,29.6,44,0,Marcus Mariota,32,0,16,225,7,87,9435,1,72.3
0,,88.8,131,8,,2020,0,0,16,GB,,0,9,15,0,10,0,16,2020,23,194,2.73,210,60.4,0,5,25,54.5,5,48,3,0,GB,0,4.4,0,QB,62.9,25,0,Jordan Love,12,0,0,393,9,78,40306,0,88.7
0,60.9,85.4,111,6,57.7,2022,0,0,30,SF,0,0,5,21,0,13,0,11,2022,22,178,2.36,208,60,0,4,25,75.7,3,47,8,0,SF,1,4.4,0,QB,65.8,26,1,Brock Purdy,28,0,0,280,6,56.6,77672,3,82.6
5,57.4,74,169,5,72.9,2023,15,1,193,NO,1,9.3,0,9,110.6,05,18,7,2023,52,0,3.6,193,51.7,5,31,0,72.6,0,47,169,1,NO,0,4.1,0,HB,85.5,18,30,Kendre Miller,20,30,14,59,15,81.6,123091,1,
13,63.4,75.8,151,2,69.2,2024,10,1,198,NO,1.05,16.2,0,12,79.2,30,32,6,2024,58,0,3.28,198,43.6,12,35,0,79.6,0,46,151,4,NO,0,4.3,0,HB,83.1,32,98,Audric Estime,20,103,11,62,10,84.4,147476,1,
0,,71.7,89,6,58.9,2019,0,0,13,IND,0,0,9,19,0,17,0,13,2019,22,151,1.98,164,60.3,0,2,23,73.7,5,45,12,0,IND,0,3.6,0,QB,50.5,19,1,Daniel Jones,14,0,1,295,3,74.1,39395,5,68.7
7,79.7,62.4,120,6,40.9,2023,15,2,219,DEN,0.71,14.2,0,9,90.7,38,31,10,2023,50,0,2.67,219,59.9,5,24,0,66.3,0,45,120,2,DEN,0,4.9,2,HB,46.4,16,41,Jaleel McLaughlin,10,29,19,59,15,79.3,138346,1,
0,,74.6,104,6,59,2025,1,1,61,NO,0,18.3,3,11,1.6,06,34,11,2025,25,125,2.31,186,60.7,0,7,20,64.8,0,45,10,0,NO,0,4.1,0,QB,86.6,34,1,Tyler Shough,20,0,3,207,8,87.7,83537,3,73.1
33,73.2,67.3,98,2,76.4,2025,6,0,151,KC,1.59,0,1,5,42,24,0,17,2025,69,0,2.23,151,54,25,31,0,57.5,0,44,98,7,KC,0,3.4,2,HB,87.5,14,108,Brashard Smith,16,172,6,77,6,87.1,143951,0,
18,46,53.9,243,9,54,2023,7,5,312,ARZ,0.87,57.4,1,9,87.2,31,179,12,2023,57,0,5.52,312,29.6,13,12,0,57.7,1,44,243,2,ARZ,1,7.1,2,HB,41.7,71,116,Emari Demercado,1,101,32,48,7,86.9,77763,0,
31,57.4,66.7,184,5,60.5,2017,11,3,221,WAS,1.01,43,1,13,109.1,26,95,17,2017,69,0,4.18,221,67.9,25,26,0,77.3,5,44,184,7,WAS,2,5,1,HB,53.6,60,195,Jeremy McNichols,32,196,18,68,11,0,11917,1,
27,56.6,69,157,6,72,2024,7,4,236,NYJ,1.17,45.8,0,6,57,32,108,16,2024,64,0,3.65,236,57.6,21,26,0,69.4,0,43,157,3,NYJ,0,5.5,1,HB,85.2,50,159,Isaiah Davis,22,186,14,61,7,87.1,138299,1,
7,80.5,79.2,155,7,74.5,2024,11,1,193,HST,1.36,25.9,0,8,93.7,26,50,4,2024,50,0,3.6,193,60,7,28,0,75.3,0,43,155,2,HST,0,4.5,0,HB,82.3,50,25,Jawhar Jordan,13,34,14,45,11,79.7,99595,0,
4,45.2,65.9,136,2,56.8,2021,11,1,159,LAC,0.18,13.8,0,7,82.9,32,22,6,2021,44,0,3.32,159,40.9,3,16,0,70.5,0,41,136,0,LAC,0,3.9,0,HB,82.7,22,45,Jaret Patterson,27,8,24,51,11,81,77745,1,
0,,60.9,151,3,,2013,0,0,0,LV,,0,4,13,0,07,0,15,2013,23,109,3.68,109,60,0,2,18,70.3,4,41,12,0,LV,0,2.7,1,QB,67.4,20,0,Geno Smith,23,0,2,305,3,89.2,7820,0,58.2
0,,79,70,4,58.9,2018,0,0,-5,SEA,0,0,12,12,0,14,0,20,2018,24,114,1.75,109,60.7,0,3,16,41.6,5,40,1,0,SEA,0,2.7,0,QB,38.9,24,1,Sam Darnold,29,0,1,550,4,71.2,29048,0,79.9
