targets,yards_per_coverage_snap,draft_season,missed_tackles,catch_rate,team_name,tackles,coverage_percent,jersey_number,dropped_ints,player_game_count,eligible_season,grades_tackle,yards,receptions,forced_incompletion_rate,grades_coverage_defense,interceptions,snap_counts_coverage,grades_run_defense,snap_counts_pass_play,penalties,forced_incompletes,team,coverage_snaps_per_target,stops,declined_penalties,position,longest,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,player,franchise_id,yards_after_catch,avg_depth_of_target,pass_break_ups,qb_rating_against,coverage_snaps_per_reception,assists,grades_pass_rush_defense,player_id,touchdowns
6,1,2017,4,100,PIT,6,8.9,90,0,15,2017,46.8,47,6,0,61.6,2,48,68.8,538,6,0,PIT,8,12,0,ED,17,36.4,74.2,7.8,42.7,T.J. Watt,25,41,1,0,59.7,8,1,75.5,11785,0
44,0.6,2017,11,77.3,ARZ,48,93.7,03,2,16,2017,47.4,341,34,4.5,35.7,1,583,76.6,622,2,2,ARZ,12.5,11,0,S,47,15.1,52.4,10,66,Budda Baker,1,112,9.3,2,119.6,16.1,14,83.8,11791,4
1,0,2017,0,0,LAC,0,100,35,0,1,2017,82.2,0,0,0,51.1,0,11,59.1,11,0,0,LAC,11,0,0,S,,0,49.7,,71.9,Marcus Maye,27,0,-4,0,39.6,,2,,11794,0
1,0.1,2017,0,100,LAC,3,100,31,0,3,2017,63.5,8,1,0,58.5,0,63,70,63,0,0,LAC,59,1,0,S,8,0,62.3,8,80.6,Marcus Williams,27,0,8,0,100,59,1,,11797,0
2,5.4,2017,0,100,DET,2,100,52,0,2,2017,78.8,27,2,0,51.9,0,6,71.1,6,0,0,DET,2.5,0,0,LB,22,0,63.1,13.5,73.2,Zach Cunningham,11,20,3.5,0,118.8,2.5,0,,11812,0
0,0,2017,0,,CHI,1,2.2,69,0,4,2017,72.8,0,0,,60.3,0,1,51.8,45,0,0,CHI,,1,0,ED,,0,51.1,,82.8,Tanoh Kpassagnon,6,0,,0,0,,0,52.2,11814,0
53,0.8,2017,2,54.7,BLT,32,98.3,03,0,14,2017,61,328,29,20.8,77.2,0,408,60.3,415,1,11,BLT,7.3,11,0,CB,31,5.4,76.4,11.3,87.3,Chidobe Awuzie,3,68,12,7,86,13.4,3,64.6,11815,2
17,1.8,2017,3,70.6,LA,6,100,04,0,7,2017,28.8,203,12,0,51.7,1,115,62,115,1,0,LA,6.5,2,0,CB,43,30,54,16.9,81.5,Ahkello Witherspoon,26,44,16.7,0,105.8,9.2,1,,11821,1
1,0.3,2017,1,100,JAX,6,7.6,98,0,18,2017,31.1,7,1,0,54.1,0,27,37.4,355,0,0,JAX,26,4,0,ED,7,12.5,44.7,7,86.4,Dawuane Smoot,15,5,2,0,95.8,26,1,52.7,11823,0
0,0,2017,0,,IND,0,8.3,96,0,5,2017,71.9,0,0,,56.6,0,3,51.9,36,0,0,IND,,1,0,DI,,,56.3,,79.4,Chris Wormley,14,0,,0,0,,0,69.9,11829,0
61,0.8,2017,4,65.6,DET,33,89,34,1,16,2017,78.2,409,40,8.2,65.2,1,564,65.6,634,5,5,DET,8.6,21,3,LB,45,9.5,67.5,10.2,86.7,Alex Anzalone,11,159,6.6,4,88.8,13.1,5,65.2,11831,2
16,0.4,2017,0,50,MIN,10,100,23,0,10,2017,85,53,8,6.3,70.3,0,152,70.2,152,1,1,MIN,8.9,2,0,CB,11,0,71.4,6.6,82.2,Fabian Moreau,18,19,6.4,1,57.6,17.9,1,,11836,0
8,0.9,2017,1,75,SEA,3,100,24,0,2,2017,62.2,49,6,0,50.3,0,56,65.2,56,0,0,SEA,6.6,1,0,CB,21,25,52.8,8.2,78.8,Shaquill Griffin,29,20,11.1,0,129.7,8.8,0,,11845,1
61,0.8,2017,5,67.2,JAX,20,96,02,0,11,2017,44.3,310,41,9.8,69,2,406,61.5,423,9,6,JAX,6.2,13,2,CB,25,16.7,67.2,7.6,32.7,Jourdan Lewis,15,183,6.5,4,92.9,9.2,5,63.7,11846,5
75,0.9,2017,2,54.7,MIA,35,98.4,26,1,15,2017,57.2,410,41,13.3,72.6,2,497,61.8,505,5,10,MIA,6.2,14,1,CB,36,4.7,72.7,10,87.6,Rasul Douglas,17,142,10.3,9,72.6,11.4,6,82,11854,3
0,0,2017,0,,CIN,0,6.8,91,0,7,2017,68.3,0,0,,67.1,0,13,56.8,190,2,0,CIN,,4,0,ED,,0,82.9,,43.8,Trey Hendrickson,7,0,,0,0,,2,90,11858,0
11,0.4,2017,1,63.6,CLV,10,97.1,05,0,17,2017,63.4,79,7,0,57.7,1,200,52.4,206,2,0,CLV,17,4,0,S,38,7.1,54.9,11.3,26.4,Rayshawn Jenkins,8,31,6,0,47.2,26.7,3,63.8,11868,0
1,5.5,2017,0,100,BLT,0,14.3,99,0,1,2017,69.2,11,1,0,51.8,0,2,74.9,14,0,0,BLT,2,0,0,ED,11,,57.5,11,78.3,Carl Lawson,3,4,7,0,112.5,2,0,51.4,11871,0
0,0,2017,0,,CHI,0,66.7,16,0,1,2017,69.9,0,0,,60.5,0,2,70.6,3,0,0,CHI,,0,0,LB,,,75,,69.7,Jalen Reeves-Maybin,6,0,,0,0,,0,58.8,11879,0
3,0.9,2017,0,100,IND,7,11.7,52,0,14,2017,69.4,27,3,0,77.6,0,31,59,265,1,0,IND,10.3,6,0,ED,13,0,64.1,9,68.1,Samson Ebukam,14,11,5.3,0,104.2,10.3,1,60.1,11880,0
0,0,2017,0,,IND,2,1.4,90,0,17,2017,49.4,0,0,,63.7,1,5,56.8,359,3,0,IND,,2,0,DI,,0,57.3,,54.9,Grover Stewart,14,0,,0,0,,2,59.5,11899,0
0,0,2017,0,,CLV,0,100,23,0,2,2017,,0,0,,64,0,10,60,10,0,0,CLV,,0,0,S,,,65.1,,72,Damontae Kazee,8,0,,0,0,,0,,11904,0
0,0,2017,0,,TB,0,100,03,0,1,2017,,0,0,,60,0,1,,1,0,0,TB,,0,0,LB,,,62,,66.1,Anthony Walker Jr.,30,0,,0,0,,0,,11916,0
50,1.1,2017,6,78,BUF,20,84.5,58,0,14,2017,45.8,299,39,2,48.3,0,278,49.2,329,4,1,BUF,5.3,12,1,LB,28,18.8,46.2,7.7,4.4,Matt Milano,4,228,2.4,1,104.9,6.8,6,66,11918,2
23,0.9,2017,3,78.3,PIT,26,98.6,21,2,13,2017,74.6,235,18,17.4,67.2,0,292,86.5,296,1,4,PIT,12,10,1,S,42,8.6,74.6,13.1,83.7,Chuck Clark,25,98,9,4,138.2,15.3,6,55.4,11941,2
21,0.6,2017,4,81,TEN,22,96.9,25,0,11,2017,33.4,164,17,4.8,70.3,2,310,54,320,2,1,TEN,13.7,5,1,S,27,14.8,65.4,9.6,48.3,Xavier Woods,31,94,6,1,75.5,16.9,1,50,11946,1
4,1.6,2017,3,50,DET,5,5.6,96,0,17,2017,46.3,28,2,25,63.4,0,21,59.3,374,1,1,DET,4.5,13,1,ED,15,37.5,74.3,14,88.2,Al-Quadin Muhammad,11,9,9,0,72.9,9,0,71.9,11951,0
0,0,2017,3,,DEN,1,1.2,93,0,18,2017,28,0,0,,57,0,3,73.3,250,1,0,DEN,,6,0,DI,,75,74.4,,74.1,D.J. Jones,10,0,,0,0,,0,66.8,11953,0
0,0,2017,0,,DET,0,1.9,95,0,8,2017,72.4,0,0,,60,0,1,59.8,54,2,0,DET,,0,2,ED,,,48.5,,1.6,Patrick O'Connor,11,0,,0,0,,0,52.2,12005,0
1,0,2017,0,0,NO,0,100,43,0,1,2017,,0,0,0,76,0,6,60,6,0,0,NO,6,0,0,CB,,,76,,73.1,Michael Davis,20,0,17,0,39.6,,0,,12040,0
1,0.3,2017,1,100,LV,3,4.8,69,0,15,2017,32.6,5,1,0,58.1,0,18,55,377,4,0,LV,16,3,0,DI,5,14.3,53.8,5,44.5,Adam Butler,23,0,5,0,87.5,16,3,58.5,12214,0
16,1.8,2017,0,81.3,DET,10,93.5,27,0,6,2017,85.9,144,13,6.3,63,1,87,65.7,93,1,1,DET,4.9,4,0,CB,31,0,62.2,11.1,80,Arthur Maulet,11,32,9,1,99,6,1,46.1,12224,1
0,0,2021,1,,CLV,0,2.6,92,0,4,2021,73,0,0,,62.4,0,1,57.4,39,1,0,CLV,,0,0,DI,,100,58.3,,28.4,Sam Kamara,8,0,,0,0,,0,59.6,24176,0
0,0,2018,1,,NO,3,0.5,93,0,16,2018,46.7,0,0,,64.8,0,2,55.7,392,3,0,NO,,6,0,DI,,14.3,62.3,,57.3,Nathan Shepherd,20,0,,0,0,,3,67.4,24614,0
78,0.9,2018,11,83.3,JAX,63,83.9,23,1,18,2018,67.7,528,65,10.3,78.4,1,626,73.5,746,2,8,JAX,7.6,31,0,LB,33,12,74.4,8.1,68.9,Foyesade Oluokun,15,290,4.4,6,89.5,9.1,18,46.3,24904,0
3,0.8,2020,1,33.3,NE,4,2.7,33,0,18,2020,47,5,1,33.3,41.2,0,6,73.2,220,1,1,NE,2,6,1,ED,5,16.7,67.1,5,71.2,Anfernee Jennings,19,2,7.7,1,42.4,6,1,59.8,25449,0
0,0,2019,2,,SF,1,2.2,96,0,11,2019,67.1,0,0,,73.3,0,4,54.9,180,2,0,SF,,5,1,ED,,28.6,53.1,,49.2,Clelin Ferrell,28,0,,0,0,,4,51.2,25955,0
2,0.5,2019,3,50,LV,5,1.9,98,0,15,2019,55.6,5,1,0,59,1,10,78.7,525,8,0,LV,5,13,1,ED,5,27.3,79.7,5,33.5,Maxx Crosby,23,0,0.5,0,16.7,10,3,77.1,26316,0
1,1,2022,1,100,PIT,0,36.4,53,0,1,2022,25.4,4,1,0,29.1,0,4,60.9,11,0,0,PIT,4,0,0,ED,4,100,32.3,4,73.8,Jeremiah Moon,25,5,-1,0,122.9,4,0,53,26453,1
