targets,interception_touchdowns,draft_season,forced_fumbles,missed_tackles,catch_rate,team_name,tackles,jersey_number,snap_counts_offball,snap_counts_box,sacks,snap_counts_pass_rush,player_game_count,eligible_season,snap_counts_dl,grades_tackle,yards,receptions,grades_coverage_defense,hurries,interceptions,snap_counts_coverage,snap_counts_dl_over_t,snap_counts_dl_a_gap,fumble_recoveries,grades_run_defense,snap_counts_corner,hits,penalties,batted_passes,team,stops,declined_penalties,total_pressures,position,fumble_recovery_touchdowns,longest,snap_counts_slot,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,safeties,player,franchise_id,snap_counts_defense,yards_after_catch,snap_counts_dl_b_gap,pass_break_ups,qb_rating_against,snap_counts_run_defense,tackles_for_loss,assists,grades_pass_rush_defense,player_id,snap_counts_fs,touchdowns,snap_counts_dl_outside_t
3,0,2016,0,1,66.7,IND,4,33,70,17,0,2,2,2016,0,63.9,7,2,56.6,1,0,39,0,0,0,60.6,1,0,1,0,IND,1,0,1,CB,0,5,52,16.7,60,3.5,75.1,0,Mike Hilton,14,70,1,0,0,70.1,29,0,1,73.6,10898,0,0,0
0,0,2016,0,1,,BUF,0,51,0,0,0,5,1,2016,11,20.9,0,0,,0,0,0,0,0,0,42.7,0,0,0,0,BUF,0,0,0,DI,0,,0,100,36.1,,74.7,0,Morgan Fox,4,11,0,0,0,0,6,0,0,55.4,11184,0,0,11
41,0,2016,0,5,58.5,WAS,31,31,475,48,1,2,11,2016,9,61.8,321,24,48,0,0,272,0,0,0,56.6,413,0,2,0,WAS,7,0,1,CB,0,27,13,11.9,50.9,13.4,84.9,0,Jonathan Jones,32,484,100,0,5,83.5,210,0,6,80.2,11217,1,0,9
0,0,2016,0,5,,NYG,25,95,1,1,0,307,17,2016,626,57.7,0,0,53.4,12,0,4,152,39,0,50.7,0,9,3,1,NYG,19,1,21,DI,0,,0,13.5,51.8,,77,0,Roy Robertson-Harris,21,627,0,316,0,0,316,3,7,56.8,11341,0,0,119
17,0,2016,0,2,64.7,WAS,9,34,115,11,0,0,7,2016,0,52.7,82,11,60.7,0,0,70,0,0,0,71.9,100,0,1,0,WAS,2,0,0,CB,0,19,4,14.3,63.5,7.5,79.5,0,Antonio Hamilton Sr.,32,115,42,0,1,76.1,45,0,3,,11353,0,0,0
0,0,2017,3,2,,CLV,26,95,10,10,25,507,17,2017,859,77.5,0,0,60.6,45,0,0,24,0,0,82.5,0,14,9,1,CLV,46,2,84,ED,0,,0,5.4,92.7,,27,0,Myles Garrett,8,869,0,4,0,0,362,12,9,93.3,11756,0,0,831
0,0,2017,0,6,,DAL,18,90,0,0,0,233,16,2017,417,54,0,0,67.3,9,0,1,118,4,0,61.4,0,3,4,1,DAL,13,1,12,DI,0,,0,17.6,59.6,,36.4,0,Solomon Thomas,9,417,0,288,0,0,183,3,10,55.8,11758,0,0,7
38,0,2017,0,12,94.7,LV,38,33,382,254,1,35,17,2017,66,36.5,211,36,69.2,5,0,247,0,0,0,62.3,2,1,2,0,LV,23,0,7,LB,0,22,124,21.4,67.3,5.9,20.3,0,Jamal Adams,23,448,196,0,0,98.6,166,6,6,71.4,11761,2,1,66
33,0,2017,0,3,54.5,WAS,22,02,517,39,0,0,9,2017,4,60.8,258,18,52.6,0,1,313,0,0,1,59.4,454,0,9,0,WAS,5,2,0,CB,0,44,24,10.3,53.2,14.3,50.2,0,Marshon Lattimore,32,521,43,0,5,87.7,208,1,4,,11766,0,2,4
17,0,2017,1,7,82.4,TB,24,05,30,17,3,308,13,2017,541,29.9,124,14,70,29,0,86,0,0,0,45.2,0,2,2,0,TB,19,0,34,ED,0,28,13,20,57.2,8.9,62.4,0,Haason Reddick,30,571,122,1,0,97.1,177,4,4,60.1,11768,0,0,540
0,0,2017,0,4,,HST,11,95,0,0,6,209,19,2017,387,41.3,0,0,60.5,4,0,1,6,0,0,59.6,0,6,3,1,HST,15,0,16,ED,0,,0,19,64.7,,40.9,0,Derek Barnett,13,387,0,1,0,0,177,2,6,69.1,11769,0,0,380
18,0,2017,0,5,83.3,DAL,38,28,585,115,0,2,12,2017,8,78.7,295,15,51.8,0,0,372,0,0,0,83.4,1,0,0,0,DAL,7,0,0,S,0,52,45,8.8,61,19.7,86,0,Malik Hooker,9,593,91,0,1,155.8,219,2,14,58.5,11770,424,2,8
98,0,2017,2,13,68.4,BLT,57,44,852,107,1,27,15,2017,27,48,909,67,43.8,2,4,556,0,0,1,78.9,446,2,5,0,BLT,14,2,5,CB,0,62,294,16.5,50.1,13.6,64.3,0,Marlon Humphrey,3,879,322,0,7,90.9,296,2,9,57.9,11771,5,3,27
1,0,2017,0,11,100,MIN,44,93,2,2,4,411,17,2017,807,39.7,4,1,59.8,22,0,5,237,5,1,45.4,0,8,2,0,MIN,34,0,34,DI,0,4,0,14.5,53.2,4,69.4,0,Jonathan Allen,18,809,9,523,0,83.3,393,5,21,64.9,11772,0,0,42
73,0,2017,0,12,64.4,PHI,56,08,622,29,0,0,15,2017,3,43.7,552,47,52.8,0,1,406,0,0,0,55,587,0,1,0,PHI,11,0,0,CB,0,40,5,16.4,53.6,11.7,87.2,0,Adoree' Jackson,24,625,155,0,6,90.7,219,0,5,,11773,0,2,3
7,0,2017,1,1,71.4,PIT,7,40,95,43,0,0,4,2017,5,67,72,5,52.9,0,0,50,0,0,1,90.9,0,0,1,0,PIT,3,0,0,S,0,35,37,8.3,65.1,14.4,0,0,Jabrill Peppers,25,100,28,0,0,144,50,0,4,,11780,15,1,5
47,0,2017,0,10,46.8,BUF,41,27,805,63,0,10,18,2017,22,40.3,242,22,68.2,1,1,477,0,0,0,49.3,724,0,6,1,BUF,19,1,1,CB,0,32,10,19.6,64.2,11,63.5,0,Tre'Davious White,4,827,43,0,8,75,340,6,0,52.9,11782,8,3,22
6,0,2017,2,9,100,PIT,31,90,6,3,8,490,15,2017,857,46.8,47,6,61.6,27,2,48,2,0,3,68.8,0,14,6,6,PIT,29,0,49,ED,0,17,3,15,74.2,7.8,42.7,0,T.J. Watt,25,863,41,0,0,59.7,325,3,20,75.5,11785,0,0,855
44,0,2017,0,24,77.3,ARZ,85,03,1019,524,1,39,16,2017,23,47.4,341,34,35.7,6,1,583,0,0,1,76.6,1,1,2,2,ARZ,29,0,8,S,0,47,189,17,52.4,10,66,0,Budda Baker,1,1042,112,0,2,119.6,420,3,32,83.8,11791,305,4,23
