targets,grades_pass_block,grades_offense,yards_after_catch_per_reception,grades_pass_route,draft_season,team_name,yprr,wide_snaps,fumbles,first_downs,jersey_number,inline_snaps,contested_targets,player_game_count,eligible_season,inline_rate,contested_catch_rate,yards,receptions,targeted_qb_rating,interceptions,caught_percent,drop_rate,grades_hands_drop,slot_rate,slot_snaps,penalties,wide_rate,pass_block_rate,team,declined_penalties,route_rate,drops,position,grades_hands_fumble,longest,pass_blocks,routes,pass_plays,yards_per_reception,player,positive_epa_percent,franchise_id,contested_receptions,yards_after_catch,avg_depth_of_target,epa,avoided_tackles,player_id,touchdowns
106,43.9,84,4.4,86.2,2025,CHI,1.97,124,0,44,84,218,22,18,2025,42.5,40.9,906,70,107.7,1,66,2.8,87.3,31,159,5,24.2,5.7,CHI,0,89.9,2,TE,81.6,58,29,461,513,12.9,Colston Loveland,45.2,6,9,311,10,0.04,7,158540,6
106,64.2,67.6,6.4,72,2025,IND,1.63,79,0,42,84,227,23,17,2025,39.4,39.1,817,76,98.7,2,71.7,6.2,72.5,43.6,251,4,13.7,6.9,IND,1,87.2,5,TE,54.3,41,40,502,576,10.8,Tyler Warren,47.9,14,9,487,5.9,0.04,5,129798,4
106,38.3,66.9,4.7,68,2024,LAC,1.35,218,0,37,15,6,14,17,2024,0.9,21.4,821,69,87.8,5,65.1,4.2,74.7,64.8,412,4,34.3,0.2,LAC,1,95.3,3,WR,84,58,1,606,636,11.9,Ladd McConkey,48.4,27,3,322,10.5,0.01,13,124030,6
105,,58.5,3.4,57.9,2020,CLV,1.02,510,1,31,03,1,23,17,2020,0.2,34.8,602,50,44.2,7,47.6,15.3,32.7,18.6,117,3,81.2,0,CLV,1,94.1,9,WR,30,60,0,591,628,12,Jerry Jeudy,35.5,8,8,168,12.3,-0.27,3,61103,2
104,75.3,88,3.6,89.9,2022,ATL,2.34,279,1,46,05,0,30,12,2022,0,43.3,919,68,107.8,2,65.4,2.9,86.1,33.7,142,3,66.3,1,ATL,1,93.1,2,WR,46.8,43,4,392,421,13.5,Drake London,45.2,2,13,243,11.1,0,4,86519,7
103,,71.1,7.4,73.1,2019,PIT,1.78,427,0,39,04,0,24,16,2019,0,33.3,892,61,90.8,4,59.2,9,60.6,19.2,102,8,80.4,0,PIT,0,94.4,6,WR,81.2,80,0,501,531,14.6,D.K. Metcalf,43.5,25,8,449,11.4,-0.05,11,47864,6
103,54.1,67.9,5,76.4,2025,CLV,1.68,75,0,32,44,207,21,16,2025,42,47.6,731,72,101.2,2,69.9,6.5,71.1,41.4,204,6,15.2,5.7,CLV,0,88.4,5,TE,53.1,35,28,436,493,10.2,Harold Fannin Jr.,36.2,8,10,359,6,-0.21,22,163104,6
103,57.9,72,5.7,74,2013,KC,1.47,146,1,46,87,218,8,17,2013,34,37.5,851,76,98,4,73.8,8.4,52.6,42.1,270,3,22.7,4.5,KC,0,89.9,7,TE,81.9,44,29,577,642,11.2,Travis Kelce,45.8,16,3,430,6.9,0.02,9,7844,5
102,,62.3,4.3,63.6,2024,DEN,1.42,289,1,32,11,0,17,18,2024,0,52.9,709,65,87.4,4,63.7,11,45.3,45.1,238,5,54.7,0,DEN,2,94.3,8,WR,48.9,48,0,498,528,10.9,Troy Franklin,45.6,10,9,279,13,0.05,9,146567,6
100,54.4,59.4,3.8,60,2022,DAL,1.2,38,3,30,87,220,21,17,2022,37.9,57.1,600,82,114.2,1,82,4.7,74.2,54.2,315,5,6.5,6,DAL,2,85.7,4,TE,24.1,26,35,498,581,7.3,Jake Ferguson,52.1,9,12,308,5,0.2,9,61081,8
