Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,ReceptionsTotal,ReceptionsPercentage,YardsTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,AlignmentSlotRoutesPercentage,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Chris Olave,NO,WR,14,Yes,No,No,12,2,No,No,0.1667,4,,2,79.2,-2.7855,5.1849,5.1849,0.1818,16,2,1,,2,1,5,,,,0.5833,,0.4167,2.5,2.5,,-0.5,1.5,0.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,-0.5,1.5,0.5,,1,1,,0.4167,,0.5,0.5,,,,,,,,
Ricky Pearsall,SF,WR,11,Yes,No,No,10,2,Yes,Yes,0.2,29,,14.5,95.8,5.625,3.7692,3.7692,0.4,9,1,0.5,,1,0.5,30,,,,0.8,2,3,15,30,1,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,,9,1,,0.2,,9,1,,,1,,,,,
Rashod Bateman,BLT,WR,17,No,No,No,17,1,No,No,0.0588,29,,29,118.8,24.5615,2.5083,2.5083,0.0769,13,1,1,,1,1,36,,,,0.8235,1,2.1176,36,36,1,3.6,4.6,4.1,4.6,4.6,4.6,4.1,4.6,4.6,4.6,4.1,4.6,4.6,,7,5,,0.1765,,7,5,,,1,2,2,,,
Grant Calcaterra,PHI,TE,10,Yes,No,No,1,,No,Yes,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Josh Jacobs,GB,RB,14,No,No,No,4,1,No,No,0.25,-6,1,-6,95.8,1.9107,1.2122,1.2122,0.0714,15,1,1,,1,1,7,,,,,,1.75,7,7,,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,13,7,,,,13,7,,,,2,2,,,
Cade Stover,HST,TE,9,Yes,Yes,No,8,5,No,Yes,0.625,16,,3.2,97.5,1.2478,8.0062,8.0062,0.5556,9,5,1,,4,0.8,37,,,1,,4,4.625,7.4,9.25,2,3.7,7.7,5.7,7.7,9.7,7.7,5.7,7.7,7.7,7.7,5.7,9.7,7.7,1,21,6,,,,5.25,1.5,1,1,,,,,,
Jaylen Waddle,MIA,WR,9,Yes,No,No,9,1,No,No,0.1111,11,,11,118.8,7.6848,1.8329,1.8329,0.1667,16,1,1,,1,1,16,,,,0.8889,1,1.7778,16,16,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,5,5,,0.1111,,5,5,,,,,,,,
Tee Higgins,CIN,WR,8,Yes,Yes,Yes,8,1,No,Yes,0.125,12,,12,39.6,-9.0461,1.3378,1.3378,0.1429,15,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Scott Miller,PIT,WR,6,No,No,No,6,,Yes,Yes,,,,,,,,,,13,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,18,Yes,No,No,18,6,No,Yes,0.3333,55,,9.1667,70.1,6.1276,11.7883,11.7883,0.4,17,4,0.6667,,4,0.6667,84,,,,0.7778,5,4.6667,14,21,3,8.4,12.4,10.4,12.4,12.4,12.4,10.4,12.4,12.4,12.4,10.4,12.4,12.4,1,49,15,,0.2222,,12.25,3.75,1,1,,,,,,
Sam LaPorta,DET,TE,11,Yes,No,No,9,6,Yes,Yes,0.6667,1,0.1111,0.1667,118.8,6.9882,9.2747,9.2747,0.6,9,6,1,,6,1,75,,,0.7778,0.1111,5,8.3333,12.5,12.5,2,7.5,13.5,10.5,13.5,16.5,13.5,10.5,13.5,13.5,13.5,10.5,16.5,13.5,1,74,24,,,,12.3333,4,,,,2,0.3333,,,
Jackson Hawes,BUF,TE,25,Yes,No,No,20,5,No,Yes,0.25,35,,7,104.2,1.5544,8.245,8.245,0.2273,17,4,0.8,,4,0.8,45,,,1,,3,2.25,9,11.25,4,4.5,8.5,6.5,8.5,10.5,8.5,6.5,8.5,8.5,8.5,6.5,10.5,8.5,,37,14,,,,9.25,3.5,1,,1,,,,,
Dee Eskridge,MIA,WR,2,Yes,No,No,2,,No,Yes,,,,,,,,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Dwelley,DET,TE,4,Yes,No,No,3,2,No,No,0.6667,1,,0.5,56.3,-3.5322,3.5804,3.5804,0.5,10,2,1,,1,0.5,4,,,1,,2,1.3333,2,4,,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,1,4,2,,,,4,2,1,,,,,,,
Tez Johnson,TB,WR,15,Yes,No,Yes,15,3,No,Yes,0.2,27,,9,88.2,-0.8363,4.8806,4.8806,0.25,16,2,0.6667,,2,0.6667,22,,,,0.8667,3,1.4667,7.3333,11,1,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,,8,7,,0.1333,,4,3.5,,,,2,1,,,
Christian McCaffrey,SF,RB,16,Yes,No,No,5,2,No,Yes,0.4,9,1,4.5,16.7,-5.121,2.8795,2.8795,0.1667,17,2,1,,1,0.5,4,,,,,,0.8,2,4,,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,3,,1,,0.5,3,,,,,,,,,
Sterling Shepard,TB,WR,6,Yes,No,No,6,,No,Yes,,,,,,,,,,13,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,,,,,
Khalil Shakir,BUF,WR,12,Yes,No,No,12,,No,Yes,,,,,,,,,,16,,,,,,,,,0.0833,0.4167,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Mitchell Tinsley,CIN,WR,8,Yes,Yes,Yes,8,1,No,Yes,0.125,22,,22,39.6,-11.9241,1.963,1.963,0.1429,17,,,,,,,,,,0.875,1,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,1,,,,,
Brycen Tremayne,CAR,WR,5,Yes,No,Yes,4,,No,Yes,,,,,,,1.4128,1.4128,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rodriguez,WAS,RB,12,Yes,No,No,4,,No,Yes,,,1,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,30,Yes,Yes,No,25,2,No,No,0.08,25,,12.5,95.8,-8.9406,7.2863,7.2863,0.0833,16,1,0.5,2,1,0.5,1,1,1,,0.6,,0.04,0.5,1,1,6.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,2,,,,0.4,,,,1,1,,,,1,,
Theo Wease,MIA,WR,3,Yes,No,Yes,3,,No,Yes,,,,,,,,,,3,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Jalen Tolbert,DAL,WR,18,Yes,No,Yes,17,2,No,Yes,0.1176,30,,15,77.1,-1.9543,3.4446,3.4446,0.1111,13,1,0.5,,1,0.5,16,,,,0.8235,2,0.9412,8,16,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,1,,,,0.1765,,,,,,,,,,,
Drake London,ATL,WR,10,Yes,No,No,9,2,No,Yes,0.2222,14,0.1111,7,110.4,3.4822,2.795,2.795,0.2222,12,2,1,,2,1,21,,,,0.6667,2,2.3333,10.5,10.5,,1.1,3.1,2.1,3.1,3.1,3.1,1.1,2.1,2.1,2.1,1.1,3.1,2.1,,7,,,0.2222,,3.5,,,,,,,,,
Alec Pierce,IND,WR,23,Yes,Yes,No,22,3,No,Yes,0.1364,33,,11,56.3,-1.9538,4.5833,4.5833,0.1765,15,2,0.6667,,1,0.3333,19,,,,1,1,0.8636,6.3333,19,1,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,7,4,,,,7,4,2,,,,,,,
LaJohntay Wester,BLT,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Jaylin Lane,WAS,WR,11,Yes,No,No,10,2,No,No,0.2,19,,9.5,81.3,0.7703,3.975,3.975,0.25,15,1,0.5,,1,0.5,18,,,,0.4,2,1.8,9,18,1,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,3,15,,0.6,,3,15,,,,,,,,
Raheim Sanders,CLV,RB,3,Yes,Yes,Yes,2,,No,Yes,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren,IND,TE,31,Yes,Yes,No,26,10,No,Yes,0.3846,27,0.0385,2.7,152.1,6.7384,15.3841,15.3841,0.4167,17,10,1,1,10,1,130,1,1,0.8077,,10,5,13,13,7,19,29,24,29,34,32,27,29,29,29,24,34,29,1,104,31,,0.1538,,10.4,3.1,,,,2,0.2,,,
CeeDee Lamb,DAL,WR,27,Yes,No,Yes,27,6,No,Yes,0.2222,20,,3.3333,70.1,-4.0809,8.2765,8.2765,0.2222,14,6,1,,4,0.6667,11,,,,0.7037,6,0.4074,1.8333,2.75,1,1.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,5.1,3.1,5.1,5.1,,6,-1,1,0.2963,0.1667,1.5,-0.25,1,,,,,,1,0.1667
Noah Fant,CIN,TE,7,Yes,Yes,Yes,7,3,No,Yes,0.4286,3,0.1429,1,109.7,4.5218,4.5085,4.5085,0.6,15,3,1,,3,1,31,,,0.7143,,2,4.4286,10.3333,10.3333,1,3.1,6.1,4.6,6.1,7.6,6.1,4.6,6.1,6.1,6.1,4.6,7.6,6.1,,28,5,,0.1429,,9.3333,1.6667,,,,,,,,
Kene Nwangwu,NYJ,RB,1,Yes,No,No,1,,No,Yes,,,1,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Vokolek,ARZ,TE,1,Yes,Yes,No,1,,No,No,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Vannett,LA,TE,5,Yes,No,Yes,3,,No,Yes,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treylon Burks,WAS,WR,8,Yes,No,No,8,,No,Yes,,,,,,,,,,8,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
James Cook,BUF,RB,28,Yes,No,No,20,6,No,Yes,0.3,3,1,0.5,94.4,2.8184,8.1633,8.1633,0.25,17,6,1,,4,0.6667,53,,,,,4,2.65,8.8333,13.25,3,5.3,9.3,7.3,11.3,9.3,9.3,7.3,9.3,9.3,9.3,7.3,9.3,9.3,,52,1,1,,0.1667,13,0.25,,,,,,,,
Isaiah Likely,BLT,TE,11,No,No,No,7,1,Yes,Yes,0.1429,-1,,-1,79.2,-1.9014,1.42,1.42,0.1429,14,1,1,,1,1,3,,,0.5714,,1,0.4286,3,3,,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,4,3,,0.4286,,4,3,,,,1,1,,,
George Kittle,SF,TE,12,Yes,No,No,12,2,No,Yes,0.1667,21,0.0833,10.5,143.8,-0.6475,4.4268,4.4268,0.2857,11,2,1,1,2,1,18,1,1,0.75,0.0833,1,1.5,9,9,1,7.8,9.8,8.8,9.8,10.8,9.8,8.8,9.8,9.8,9.8,8.8,10.8,9.8,1,4,2,,0.0833,,2,1,1,1,,,,,,
Zaire Mitchell-Paden,NO,TE,4,No,No,Yes,1,1,No,No,1,8,1,8,39.6,-7.7205,3.55,3.55,0.3333,8,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,,,,,
Dalton Schultz,HST,TE,29,Yes,Yes,No,22,7,No,Yes,0.3182,49,,7,62.8,-4.2956,13.3976,13.3976,0.28,17,4,0.5714,1,4,0.5714,22,,,0.9091,0.0455,3,1,3.1429,5.5,1,2.2,6.2,4.2,6.2,8.2,6.2,4.2,6.2,6.2,6.2,4.2,8.2,6.2,1,18,2,,0.0455,,4.5,0.5,1,1,1,,,,,
Keenan Allen,LAC,WR,9,Yes,No,No,8,4,No,Yes,0.5,16,,4,95.8,-5.0199,10.167,10.167,0.4444,17,3,0.75,2,2,0.5,6,1,1,,0.75,2,0.75,1.5,3,1,6.6,8.6,7.6,8.6,8.6,8.6,7.6,8.6,8.6,8.6,7.6,8.6,8.6,2,3,2,,0.25,,1.5,1,,,,,,,1,0.25
Anthony Gould,IND,WR,2,Yes,No,No,2,,No,Yes,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Lucas Krull,DEN,TE,3,Yes,No,No,3,,No,Yes,,,,,,,,,,3,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,NYJ,WR,6,Yes,Yes,Yes,6,1,No,No,0.1667,11,,11,116.7,3.6848,1.4528,1.4528,0.2,12,1,1,,1,1,12,,,,0.8333,,2,12,12,1,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,1,,,0.1667,,1,,,,,,,,,
Chig Okonkwo,TEN,TE,22,Yes,Yes,Yes,17,2,No,No,0.1176,5,,2.5,39.6,-6.346,2.9174,2.9174,0.125,17,,,,,,,,,0.6471,0.1176,2,,,,,,,,,,,,,,,,,,,,,,0.2353,,,,,,,,,,,
Nick Kallerup,SEA,TE,3,Yes,No,No,2,1,No,Yes,0.5,7,,7,39.6,-7.3078,4.0235,4.0235,0.3333,9,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
Alex Bachman,LV,WR,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Austin Trammell,JAX,WR,2,Yes,No,No,2,1,No,Yes,0.5,24,,24,39.6,-11.7529,2.1913,2.1913,0.5,6,1,1,,,,,,,,0.5,1,,,,,,,,,,,,,,,,,,,,,1,0.5,1,,,,,1,,,,,
Ray Davis,BUF,RB,9,Yes,No,No,8,3,No,Yes,0.375,,1,,135.4,0.9891,6.0765,6.0765,0.4286,17,3,1,,3,1,21,2,,,,2,2.625,7,7,3,14.1,17.1,15.6,18.6,17.1,17.1,15.6,17.1,17.1,17.1,15.6,17.1,17.1,2,21,2,,,,7,0.6667,,,,,,,,
Tony Pollard,TEN,RB,25,Yes,Yes,Yes,11,3,No,No,0.2727,11,0.8182,3.6667,71.5,-3.5455,4.1178,4.1178,0.15,17,3,1,,2,0.6667,10,,,0.0909,0.0909,,0.9091,3.3333,5,1,1,3,2,4,3,3,2,3,3,3,2,3,3,,7,,1,,0.3333,3.5,,,,,,,,,
Drake Dabney,GB,TE,4,Yes,Yes,Yes,1,1,No,No,1,8,,8,39.6,-7.7205,1.8727,1.8727,0.25,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,19,Yes,No,No,19,4,Yes,Yes,0.2105,-2,,-0.5,122.9,-1.5755,8.1091,8.1091,0.2222,16,4,1,1,4,1,16,1,1,0.0526,0.6316,3,0.8421,4,4,1,7.6,11.6,9.6,11.6,11.6,11.6,9.6,11.6,11.6,11.6,9.6,11.6,11.6,2,21,3,,0.3158,,5.25,0.75,,,,,,,,
JuJu Smith-Schuster,KC,WR,22,Yes,Yes,Yes,20,2,No,No,0.1,18,,9,118.8,10.8102,2.9785,2.9785,0.1333,17,2,1,,2,1,37,,,0.05,0.65,1,1.85,18.5,18.5,1,3.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,,19,19,,0.3,,9.5,9.5,2,2,,1,0.5,,,
Romeo Doubs,GB,WR,16,No,No,No,16,2,No,No,0.125,23,,11.5,118.8,10.7927,4.3372,4.3372,0.1538,16,2,1,,2,1,38,,,,0.9375,2,2.375,19,19,2,3.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,,15,2,,0.0625,,7.5,1,1,1,,,,,,
Rashid Shaheed,SEA,WR,9,Yes,No,No,9,1,No,Yes,0.1111,1,,1,118.8,-2.1211,4.4019,4.4019,0.1111,18,1,1,,1,1,3,1,,,0.2222,1,0.3333,3,3,1,6.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,1,2,1,,0.7778,,2,1,,,,,,,,
Gunnar Helm,TEN,TE,22,Yes,No,No,13,1,No,No,0.0769,3,,3,118.8,-5.3218,4.45,4.45,0.0588,16,1,1,1,1,1,1,1,1,0.8462,0.1538,,0.0769,1,1,1,6.1,7.1,6.6,7.1,7.6,7.1,6.6,7.1,7.1,7.1,6.6,7.6,7.1,1,,,,,,,,,,,,,,,
Justin Jefferson,MIN,WR,20,Yes,Yes,Yes,20,3,No,No,0.15,8,0.05,2.6667,72.9,-2.5229,6.9155,6.9155,0.1875,17,2,0.6667,1,2,0.6667,11,,,,0.85,3,0.55,3.6667,5.5,,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,1,5,,,0.1,,2.5,,1,,,,,,1,0.3333
Greg Dulcich,MIA,TE,6,Yes,No,Yes,5,2,No,Yes,0.4,5,,2.5,100,1.654,3.0816,3.0816,0.4,10,2,1,,2,1,16,,,1,,2,3.2,8,8,1,1.6,3.6,2.6,3.6,4.6,3.6,2.6,3.6,3.6,3.6,2.6,4.6,3.6,1,11,2,,,,5.5,1,,,,,,,,
Johnny Mundt,JAX,TE,12,Yes,Yes,Yes,7,2,No,No,0.2857,9,,4.5,77.1,1.2926,2.8854,2.8854,0.1667,16,2,1,,1,0.5,16,,,1,,1,2.2857,8,16,1,1.6,2.6,2.1,2.6,3.1,2.6,2.1,2.6,2.6,2.6,2.1,3.1,2.6,,10,7,1,,0.5,10,7,,,,1,1,,,
Durham Smythe,CHI,TE,15,Yes,Yes,No,9,1,No,No,0.1111,-2,0.2222,-2,79.2,-2.8511,1.5099,1.5099,0.0714,17,1,1,,1,1,2,,,0.5556,,,0.2222,2,2,,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,4,,,0.2222,,4,,,,,,,,,
Xavier Legette,CAR,WR,11,Yes,No,Yes,11,2,No,Yes,0.1818,16,,8,16.7,-4.839,3.4853,3.4853,0.2,15,1,0.5,,1,0.5,5,,,,0.4545,2,0.4545,2.5,5,,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,-1,,0.5455,,,-1,1,1,,,,,,
David Njoku,CLV,TE,9,No,No,Yes,6,2,No,No,0.3333,6,,3,39.6,-6.1046,3.1037,3.1037,0.25,12,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Bowers,LV,TE,17,No,No,No,17,3,No,No,0.1765,-1,0.0588,-0.3333,79.2,-2.1598,4.2157,4.2157,0.1875,12,3,1,,3,1,9,,,0.5882,0.1765,2,0.5294,3,3,,0.9,3.9,2.4,3.9,5.4,3.9,2.4,3.9,3.9,3.9,2.4,5.4,3.9,,10,5,,0.1765,,3.3333,1.6667,,,,,,,,
Jalin Hyatt,NYG,WR,4,Yes,Yes,Yes,4,,No,No,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
