Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
D'Andre Swift,CHI,RB,244,Yes,Yes,Yes,191,35,No,Yes,30,0.8571,,0.1832,29,0.8286,280,330,74,-68,1,0.8168,0.0628,0.0366,0.0838,18,13,0.3714,-1.9429,,109.5,1.466,8,2.0325,0.0286,9.6552,11.3793,2.5517,10,58.957,58.957,0.1606,34,63,48.5,77.5,63,66,51.5,63,63,63,48.5,63,63,16,,,1,1,,4,0.1379,
Adam Trautman,DEN,TE,182,No,No,No,92,11,No,No,10,0.9091,,0.1196,10,0.9091,106,57,28,60,,,0.5435,0.3478,0.1087,6,,,5.4545,,106.8,1.1522,9.6364,2.8635,,10.6,5.7,2.8,5,16.0505,16.0505,0.0659,10.6,20.6,15.6,20.6,25.6,23.6,18.6,20.6,20.6,20.6,15.6,25.6,20.6,17,1,1,,,,3,0.3,
Trevor Etienne,CAR,RB,13,No,No,No,11,2,No,Yes,2,1,,0.1818,2,1,11,6,3,5,,0.3636,,0.5455,0.0909,,,,2.5,,89.6,1,5.5,-0.6957,,5.5,3,1.5,1,2.7322,2.7322,0.1667,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,17,1,1,,,,,,
Ben Sims,MIN,TE,27,No,No,Yes,18,4,No,Yes,4,1,,0.2222,2,0.5,12,3,2,29,,,0.5556,0.2778,0.1667,3,,,7.25,,56.3,0.6667,3,-4.2333,,6,1.5,1,1,6.1724,6.1724,0.1818,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,9,2,,1,,,,,
Tahj Brooks,CIN,RB,19,No,Yes,No,14,2,Yes,Yes,1,0.5,,0.1429,1,0.5,9,11,1,-4,,0.9286,,,0.0714,1,1,0.5,-2,,22.9,0.6429,4.5,-1.698,,9,11,1,,2.843,2.843,0.1176,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,12,,,,,,,,
Robbie Chosen,WAS,WR,36,Yes,Yes,No,32,9,No,No,7,0.7778,,0.2812,5,0.5556,53,5,3,127,,,,0.0938,0.9062,9,,,14.1111,2,72.9,1.6562,5.8889,-2.9724,,10.6,1,0.6,2,20.891,20.891,0.2727,5.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,3,3,1,,,,,,
Kayshon Boutte,NE,WR,277,Yes,No,Yes,262,42,No,Yes,36,0.8571,6,0.1603,31,0.7381,518,41,18,740,1,,,0.1069,0.8931,38,,,17.619,13,154.6,1.9771,12.3333,2.3661,0.0238,16.7097,1.3226,0.5806,25,84.3139,84.3139,0.1641,87.8,118.8,103.3,118.8,118.8,121.8,106.3,118.8,118.8,118.8,103.3,118.8,118.8,14,14,10,2,6,4,1,0.0323,2
Hunter Long,JAX,TE,116,No,No,No,86,11,Yes,Yes,11,1,1,0.1279,8,0.7273,49,20,5,42,3,0.0116,0.5349,0.2558,0.1977,6,,,3.8182,,111.6,0.5698,4.4545,-1.9083,0.2727,6.125,2.5,0.625,1,19.2365,19.2365,0.1038,10.9,18.9,14.9,18.9,22.9,18.9,14.9,18.9,18.9,18.9,14.9,22.9,18.9,9,1,1,1,1,1,,,
Sal Cannella,CLV,TE,15,No,No,Yes,14,4,No,No,3,0.75,1,0.2857,2,0.5,11,6,3,51,1,,0.5714,0.2857,0.1429,3,,,12.75,1,56.3,0.7857,2.75,-5.1448,0.25,5.5,3,1.5,1,6.7101,6.7101,0.3077,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,2,,,,,,,,
Hunter Henry,NE,TE,388,Yes,No,Yes,341,72,No,Yes,59,0.8194,3,0.2111,51,0.7083,658,243,64,648,6,0.0264,0.3167,0.5044,0.1525,55,4,0.0556,9,6,106.1,1.9296,9.1389,1.0814,0.0833,12.902,4.7647,1.2549,36,142.8712,142.8712,0.2022,89.8,140.8,115.3,140.8,166.3,143.8,118.3,140.8,140.8,140.8,115.3,166.3,140.8,17,17,12,17,4,1,,,1
Myles Price,MIN,WR,3,No,No,No,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,
Dalton Kincaid,BUF,TE,157,No,No,No,136,45,No,Yes,42,0.9333,3,0.3309,37,0.8222,536,262,79,395,1,,0.2647,0.5515,0.1838,38,6,0.1333,8.7778,5,153.3,3.9412,11.9111,3.5422,0.0222,14.4865,7.0811,2.1351,26,79.3153,79.3153,0.3082,83.6,120.6,102.1,120.6,139.1,123.6,105.1,120.6,120.6,120.6,102.1,139.1,120.6,12,10,6,7,5,2,1,0.027,
Jakobi Meyers,JAX,WR,431,No,No,No,407,93,No,Yes,75,0.8065,10,0.2285,65,0.6989,733,247,94,898,4,,,0.4349,0.5651,77,7,0.0753,9.6559,8,86,1.801,7.8817,-0.1775,0.043,11.2769,3.8,1.4462,40,161.3629,161.3629,0.2454,90.3,155.3,122.8,155.3,155.3,158.3,124.8,154.3,154.3,154.3,121.8,155.3,154.3,16,17,10,13,3,3,9,0.1385,1
Gabe Davis,BUF,WR,95,No,No,No,82,15,No,Yes,12,0.8,2,0.1829,9,0.6,81,30,17,122,1,,0.0122,0.1098,0.878,13,,,8.1333,1,69,0.9878,5.4,-2.0604,0.0667,9,3.3333,1.8889,5,32.4178,32.4178,0.1744,14.1,23.1,18.6,23.1,23.1,23.1,18.6,23.1,23.1,23.1,18.6,23.1,23.1,6,6,4,6,1,1,1,0.1111,
Zavier Scott,MIN,RB,57,No,No,Yes,43,12,No,Yes,11,0.9167,,0.2791,11,0.9167,67,97,42,-6,,0.6512,0.0698,0.093,0.186,8,5,0.4167,-0.5,1,89.9,1.5581,5.5833,-0.8281,,6.0909,8.8182,3.8182,5,19.8304,19.8304,0.24,6.7,17.7,12.2,23.2,17.7,17.7,12.2,17.7,17.7,17.7,12.2,17.7,17.7,11,,,1,,,2,0.1818,
Jahmyr Gibbs,DET,RB,396,Yes,Yes,Yes,307,85,No,Yes,76,0.8941,,0.2769,71,0.8353,591,596,115,110,4,0.8274,0.0033,0.101,0.0684,57,22,0.2588,1.2941,2,111.3,1.9251,6.9529,0.6103,0.0471,8.3239,8.3944,1.6197,26,128.9404,128.9404,0.2457,83.1,154.1,118.6,189.6,154.1,157.1,121.6,154.1,154.1,154.1,118.6,154.1,154.1,17,5,4,12,4,,29,0.4085,
Cody White,SEA,WR,30,Yes,No,Yes,30,1,No,Yes,1,1,,0.0333,1,1,21,13,13,8,,,,0.3667,0.6333,1,,,8,,118.8,0.7,21,13.4894,,21,13,13,1,1.7034,1.7034,0.037,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,9,,,,,,1,1,
Ian Thomas,LV,TE,121,No,No,No,55,11,No,Yes,11,1,,0.2,11,1,86,63,25,23,,0.0182,0.6727,0.1636,0.1455,7,1,0.0909,2.0909,,99.2,1.5636,7.8182,1.4935,,7.8182,5.7273,2.2727,4,16.4646,16.4646,0.1058,8.6,19.6,14.1,19.6,25.1,19.6,14.1,19.6,19.6,19.6,14.1,25.1,19.6,15,,,,,,1,0.0909,
Zay Flowers,BLT,WR,362,No,Yes,Yes,347,99,Yes,Yes,85,0.8586,3,0.2853,74,0.7475,937,394,84,878,10,0.0029,,0.3487,0.6484,80,18,0.1818,8.8687,13,108.9,2.7003,9.4646,1.6113,0.101,12.6622,5.3243,1.1351,38,173.2711,173.2711,0.3065,114.7,188.7,151.7,188.7,188.7,191.7,151.7,185.7,185.7,185.7,148.7,188.7,185.7,17,8,7,10,4,1,18,0.2432,1
Tay Martin,WAS,WR,10,No,No,No,7,2,No,Yes,2,1,,0.2857,2,1,23,5,3,18,,,,,1,2,,,9,,114.6,3.2857,11.5,3.8613,,11.5,2.5,1.5,1,2.6494,2.6494,0.2222,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,3,,,,,,,,
Michael Wilson,ARZ,WR,539,No,Yes,No,510,120,No,No,89,0.7417,9,0.2353,78,0.65,1006,286,122,1385,3,,,0.2765,0.7235,106,2,0.0167,11.5417,18,93.3,1.9725,8.3833,0.0999,0.025,12.8974,3.6667,1.5641,51,224.9266,224.9266,0.2553,142.6,220.6,181.6,220.6,220.6,223.6,184.6,220.6,220.6,220.6,181.6,220.6,220.6,17,31,20,15,7,3,9,0.1154,3
Simi Fehoko,ARZ,WR,22,No,No,No,18,,No,Yes,,,,,,,,,,,,,,0.2222,0.7778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
Xavier Hutchinson,HST,WR,320,No,No,No,298,51,No,Yes,36,0.7059,2,0.1711,32,0.6275,381,134,52,504,1,,,0.198,0.802,44,1,0.0196,9.8824,5,96.9,1.2785,7.4706,-0.5993,0.0196,11.9062,4.1875,1.625,16,92.9171,92.9171,0.1765,56.1,88.1,72.1,88.1,88.1,91.1,75.1,88.1,88.1,88.1,72.1,88.1,88.1,17,5,3,6,3,1,4,0.125,
T.J. Hockenson,MIN,TE,366,No,Yes,No,296,59,No,No,51,0.8644,1,0.1993,45,0.7627,400,186,74,315,6,0.0034,0.4324,0.402,0.1622,39,6,0.1017,5.339,2,105.2,1.3514,6.7797,-0.3006,0.1017,8.8889,4.1333,1.6444,19,101.1481,101.1481,0.1855,52,97,74.5,97,119.5,100,77.5,97,97,97,74.5,119.5,97,15,4,4,9,2,1,4,0.0889,
Stone Smartt,NYJ,TE,47,No,No,No,39,9,No,Yes,8,0.8889,,0.2308,7,0.7778,52,26,22,43,,,0.2564,0.5897,0.1538,9,,,4.7778,,90.7,1.3333,5.7778,-0.9326,,7.4286,3.7143,3.1429,3,12.6282,12.6282,0.2143,5.2,12.2,8.7,12.2,15.7,12.2,8.7,12.2,12.2,12.2,8.7,15.7,12.2,8,5,4,,,,1,0.1429,
Tim Patrick,JAX,WR,127,No,No,No,110,16,No,Yes,14,0.875,1,0.1455,10,0.625,132,44,7,183,2,,,0.4091,0.5909,13,1,0.0625,11.4375,1,102.1,1.2,8.25,-0.2504,0.125,13.2,4.4,0.7,7,33.1239,33.1239,0.1441,25.2,35.2,30.2,35.2,35.2,38.2,33.2,35.2,35.2,35.2,30.2,35.2,35.2,16,4,2,3,2,1,1,0.1,
Brian Thomas,JAX,WR,387,No,No,No,356,80,No,Yes,64,0.8,4,0.2247,45,0.5625,663,180,32,1134,7,,,0.2669,0.7331,73,1,0.0125,14.175,21,86.6,1.8624,8.2875,-0.6366,0.0875,14.7333,4,0.7111,30,148.494,148.494,0.2305,78.3,123.3,100.8,123.3,123.3,126.3,103.8,123.3,123.3,123.3,100.8,123.3,123.3,14,16,5,4,2,1,3,0.0667,1
DeAndre Hopkins,BLT,WR,158,No,Yes,Yes,145,34,Yes,Yes,24,0.7059,3,0.2345,21,0.6176,289,72,43,449,1,,,0.2621,0.7379,31,,,13.2059,9,108.6,1.9931,8.5,-0.2335,0.0294,13.7619,3.4286,2.0476,14,64.7532,64.7532,0.2411,40.9,61.9,51.4,61.9,61.9,64.9,54.4,61.9,61.9,61.9,51.4,61.9,61.9,17,11,8,2,2,1,,,1
Josh Reynolds,NYJ,WR,126,No,No,Yes,120,20,No,Yes,13,0.65,1,0.1667,11,0.55,101,16,9,272,,,,0.2333,0.7667,15,,,13.6,4,29.4,0.8417,5.05,-3.7385,,9.1818,1.4545,0.8182,4,33.0094,33.0094,0.2,10.1,21.1,15.6,21.1,21.1,24.1,18.6,21.1,21.1,21.1,15.6,21.1,21.1,5,4,2,,,,1,0.0909,1
Noah Gray,KC,TE,209,No,No,No,149,29,No,Yes,22,0.7586,1,0.1946,18,0.6207,155,106,30,155,3,0.0067,0.4564,0.3758,0.1611,24,3,0.1034,5.3448,,76.1,1.0403,5.3448,-1.7487,0.1034,8.6111,5.8889,1.6667,8,53.1016,53.1016,0.1551,15.5,33.5,24.5,33.5,42.5,36.5,27.5,33.5,33.5,33.5,24.5,42.5,33.5,16,3,2,2,,,1,0.0556,
Chimere Dike,TEN,WR,326,No,No,No,294,60,No,Yes,42,0.7,1,0.2041,41,0.6833,318,187,33,438,1,0.0068,,0.7245,0.2687,54,22,0.3667,7.3,8,79.7,1.0816,5.3,-2.0027,0.0167,7.7561,4.561,0.8049,14,114.5783,114.5783,0.212,37.8,78.8,58.3,78.8,78.8,81.8,61.3,78.8,78.8,78.8,58.3,78.8,78.8,17,4,3,10,1,,3,0.0732,
Jonathan Taylor,IND,RB,407,No,No,No,304,49,No,Yes,47,0.9592,,0.1612,42,0.8571,341,399,89,-35,4,0.8487,,0.0789,0.0724,18,10,0.2041,-0.7143,1,109.3,1.1217,6.9592,0.9478,0.0816,8.119,9.5,2.119,13,79.35,79.35,0.1317,46.1,88.1,67.1,109.1,88.1,91.1,70.1,88.1,88.1,88.1,67.1,88.1,88.1,17,4,2,4,2,,8,0.1905,
