Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
Theo Johnson,NYG,TE,370,No,Yes,No,302,65,No,No,54,0.8308,7,0.2152,39,0.6,425,173,75,510,10,0.053,0.2517,0.5397,0.1556,52,8,0.1231,7.8462,2,92.1,1.4073,6.5385,-1.4206,0.1538,10.8974,4.4359,1.9231,21,126.6057,126.6057,0.2031,72.5,111.5,92,111.5,131,114.5,95,111.5,111.5,111.5,92,131,111.5,15,23,15,13,5,2,2,0.0513,3
Giovanni Ricci,DET,TE,12,No,No,No,5,1,No,Yes,,,,0.2,,,,,,2,,,0.6,,0.4,1,,,2,,39.6,,,-6.3701,,,,,,3.4838,3.4838,0.125,,,,,,,,,,,,,,3,,,1,,,,,
Jameson Williams,DET,WR,537,Yes,Yes,Yes,495,93,No,Yes,77,0.828,4,0.1879,62,0.6667,1077,430,157,1214,11,0.002,,0.2465,0.7515,71,9,0.0968,13.0538,19,126.5,2.1758,11.5806,2.58,0.1183,17.371,6.9355,2.5323,47,163.5513,163.5513,0.1991,149.7,211.7,180.7,211.7,211.7,214.7,183.7,211.7,211.7,211.7,180.7,211.7,211.7,17,6,3,9,7,1,14,0.2258,
Nate Adkins,DEN,TE,52,No,No,No,24,6,No,No,6,1,,0.25,5,0.8333,41,21,9,25,,,0.75,0.1667,0.0833,4,1,0.1667,4.1667,,134.7,1.7083,6.8333,0.1787,,8.2,4.2,1.8,2,10.0777,10.0777,0.1304,10.1,15.1,12.6,15.1,17.6,15.1,12.6,15.1,15.1,15.1,12.6,17.6,15.1,9,1,,1,1,,,,
Tre Harris,LAC,WR,222,No,No,No,203,33,No,No,25,0.7576,1,0.1626,23,0.697,275,124,58,334,1,,,0.3448,0.6552,30,5,0.1515,10.1212,7,94.9,1.3547,8.3333,0.5024,0.0303,11.9565,5.3913,2.5217,14,53.4204,53.4204,0.1728,27.5,50.5,39,50.5,50.5,53.5,42,50.5,50.5,50.5,39,50.5,50.5,17,6,5,3,,,4,0.1739,
Luke Schoonmaker,DAL,TE,133,No,No,No,101,17,No,Yes,15,0.8824,,0.1683,9,0.5294,98,59,26,124,2,,0.6436,0.2871,0.0693,10,,,7.2941,3,70.2,0.9703,5.7647,-1.6333,0.1176,10.8889,6.5556,2.8889,5,26.2015,26.2015,0.1405,9.8,18.8,14.3,18.8,23.3,18.8,14.3,18.8,18.8,18.8,14.3,23.3,18.8,17,5,1,1,,,1,0.1111,
Darius Cooper,PHI,WR,72,No,Yes,No,61,9,No,No,8,0.8889,,0.1475,8,0.8889,73,19,11,82,,,,0.377,0.623,7,,,9.1111,1,100.5,1.1967,8.1111,0.5947,,9.125,2.375,1.375,5,19.6626,19.6626,0.1475,7.3,15.3,11.3,15.3,15.3,15.3,11.3,15.3,15.3,15.3,11.3,15.3,15.3,13,2,2,,,,,,
Jack Stoll,NO,TE,48,No,Yes,No,27,5,Yes,Yes,4,0.8,,0.1852,4,0.8,26,10,4,15,,0.1481,0.4815,0.3704,,2,,,3,,88.3,0.963,5.2,-0.8633,,6.5,2.5,1,1,6.8845,6.8845,0.1163,2.6,6.6,4.6,6.6,8.6,6.6,4.6,6.6,6.6,6.6,4.6,8.6,6.6,15,1,1,,,,,,
Russell Gage,SF,WR,15,No,Yes,No,15,,No,No,,,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Shane Zylstra,DET,TE,87,Yes,Yes,Yes,69,5,No,Yes,3,0.6,1,0.0725,3,0.6,20,2,1,41,,,0.3478,0.4203,0.2319,3,,,8.2,,68.8,0.2899,4,-3.5953,,6.6667,0.6667,0.3333,1,8.6465,8.6465,0.0685,2,5,3.5,5,6.5,5,3.5,5,5,5,3.5,6.5,5,5,1,1,1,,,,,
Malik Heath,GB,WR,80,No,Yes,No,67,7,Yes,Yes,7,1,,0.1045,6,0.8571,86,29,20,65,1,,0.0149,0.403,0.5821,7,1,0.1429,9.2857,1,117.9,1.2836,12.2857,4.4774,0.1429,14.3333,4.8333,3.3333,4,10.625,10.625,0.0946,8.6,14.6,11.6,14.6,14.6,14.6,11.6,14.6,14.6,14.6,11.6,14.6,14.6,11,,,,,,2,0.3333,1
Jalen Royals,KC,WR,30,No,No,No,25,3,No,Yes,2,0.6667,,0.12,2,0.6667,4,4,1,21,,,,0.28,0.72,2,1,0.3333,7,1,70.1,0.16,1.3333,-6.0243,,2,2,0.5,,6.4275,6.4275,0.12,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,7,,,,,,,,
Travis Homer,CHI,RB,3,Yes,Yes,Yes,3,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
Jayden Higgins,HST,WR,275,No,No,No,255,58,No,Yes,40,0.6897,8,0.2275,34,0.5862,442,99,27,741,1,,0.0039,0.2588,0.7373,50,,,12.7759,13,97.1,1.7333,7.6207,-0.9692,0.0172,13,2.9118,0.7941,23,108.16,108.16,0.2339,74.2,108.2,91.2,108.2,108.2,111.2,94.2,108.2,108.2,108.2,91.2,108.2,108.2,17,6,2,7,5,4,1,0.0294,
Skyy Moore,SF,WR,61,No,No,No,55,7,No,No,5,0.7143,,0.1273,5,0.7143,87,27,23,111,,,,0.2909,0.7091,5,,,15.8571,2,113.4,1.5818,12.4286,2.9016,,17.4,5.4,4.6,5,12.8114,12.8114,0.1296,8.7,13.7,11.2,13.7,13.7,13.7,11.2,13.7,13.7,13.7,11.2,13.7,13.7,17,2,2,,,,2,0.4,
David Martin-Robinson,TEN,TE,19,No,No,No,12,2,No,Yes,2,1,1,0.1667,2,1,15,10,9,12,,0.0833,0.6667,0.1667,0.0833,1,,,6,,137.5,1.25,7.5,0.6064,,7.5,5,4.5,1,5.0453,5.0453,0.1429,7.5,9.5,8.5,9.5,10.5,9.5,8.5,9.5,9.5,9.5,8.5,10.5,9.5,15,,,1,1,1,1,0.5,
Dameon Pierce,KC,RB,5,No,No,No,3,1,No,Yes,1,1,,0.3333,,,,,,-5,1,1,,,,1,,,-5,,39.6,,,-5.8711,1,,,,,1.873,1.873,0.2,,,,,,,,,,,,,,5,,,,,,,,
Blake Corum,LA,RB,128,No,Yes,No,86,11,No,No,9,0.8182,,0.1279,6,0.5455,22,30,7,16,3,0.8372,,0.1395,0.0233,2,2,0.1818,1.4545,,60,0.2558,2,-4.4645,0.2727,3.6667,5,1.1667,1,15.5403,15.5403,0.0902,2.2,8.2,5.2,11.2,8.2,8.2,5.2,8.2,8.2,8.2,5.2,8.2,8.2,17,,,,,,1,0.1667,
Julian Hill,MIA,TE,133,Yes,No,Yes,61,13,No,Yes,9,0.6923,1,0.2131,9,0.6923,62,39,14,60,,0.0328,0.6721,0.2295,0.0656,6,3,0.2308,4.6154,1,47.6,1.0164,4.7692,-1.9021,,6.8889,4.3333,1.5556,2,22.0877,22.0877,0.104,6.2,15.2,10.7,15.2,19.7,15.2,10.7,15.2,15.2,15.2,10.7,19.7,15.2,14,1,1,3,,,1,0.1111,
Tyquan Thornton,KC,WR,196,No,No,No,169,36,No,No,25,0.6944,6,0.213,19,0.5278,438,70,19,992,2,,,0.355,0.645,29,1,0.0278,27.5556,24,124.5,2.5917,12.1667,0.356,0.0556,23.0526,3.6842,1,15,81.1045,81.1045,0.2057,61.8,80.8,71.3,80.8,80.8,83.8,74.3,80.8,80.8,80.8,71.3,80.8,80.8,14,8,4,3,3,3,,,2
Evan Hull,NO,RB,30,No,Yes,No,21,1,No,Yes,1,1,,0.0476,1,1,6,9,1,-3,,0.7619,,,0.2381,,,,-3,,91.7,0.2857,6,-0.1191,,6,9,1,,1.5235,1.5235,0.0417,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,,,,,,,,
Breece Hall,NYJ,RB,245,No,No,No,179,36,No,Yes,34,0.9444,1,0.2011,31,0.8611,306,288,59,34,2,0.9274,,0.0335,0.0391,18,10,0.2778,0.9444,1,111.3,1.7095,8.5,2.2893,0.0556,9.871,9.2903,1.9032,12,56.9112,56.9112,0.1722,36.6,67.6,52.1,83.1,67.6,70.6,55.1,67.6,67.6,67.6,52.1,67.6,67.6,16,1,,6,1,,6,0.1935,
Trent Sherfield,ARZ,WR,54,No,No,No,38,2,No,No,2,1,,0.0526,2,1,18,10,8,8,,,,0.3947,0.6053,1,,,4,,104.2,0.4737,9,2.8582,,9,5,4,1,2.7703,2.7703,0.0385,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,12,,,,,,1,0.5,
DK Metcalf,PIT,WR,384,No,No,No,350,84,No,Yes,65,0.7738,9,0.24,50,0.5952,727,356,96,869,3,,,0.2229,0.7771,78,10,0.119,10.3452,14,91.7,2.0771,8.6548,0.6258,0.0357,14.54,7.12,1.92,32,163.3265,163.3265,0.2449,108.7,158.7,133.7,158.7,158.7,161.7,136.7,158.7,158.7,158.7,133.7,158.7,158.7,15,18,6,11,6,4,14,0.28,2
Mark Andrews,BLT,TE,266,No,Yes,Yes,229,56,Yes,Yes,47,0.8393,7,0.2445,41,0.7321,375,99,43,427,5,,0.083,0.738,0.179,50,,,7.625,1,94,1.6376,6.6964,-0.936,0.0893,9.1463,2.4146,1.0488,20,100.1214,100.1214,0.2333,55.5,96.5,76,96.5,117,99.5,79,96.5,96.5,96.5,76,117,96.5,17,9,7,10,3,1,2,0.0488,
Thomas Fidone,NYG,TE,11,No,No,No,10,,Yes,Yes,,,,,,,,,,,,,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Parker Washington,JAX,WR,342,No,No,No,316,83,No,Yes,64,0.7711,7,0.2627,54,0.6506,751,267,94,980,5,0.0032,,0.5095,0.4873,72,4,0.0482,11.8072,17,99,2.3766,9.0482,0.6112,0.0602,13.9074,4.9444,1.7407,34,159.2599,159.2599,0.2748,105.1,159.1,132.1,159.1,159.1,162.1,135.1,159.1,159.1,159.1,132.1,159.1,159.1,16,19,12,12,5,4,12,0.2222,2
Braxton Berrios,HST,WR,36,No,Yes,No,34,8,No,No,6,0.75,,0.2353,6,0.75,37,17,7,25,,0.0294,,0.5882,0.3824,6,,,3.125,,83.9,1.0882,4.625,-1.2608,,6.1667,2.8333,1.1667,3,11.6493,11.6493,0.2353,3.7,9.7,6.7,9.7,9.7,9.7,6.7,9.7,9.7,9.7,6.7,9.7,9.7,4,,,2,,,1,0.1667,
Travis Hunter,JAX,WR,190,No,Yes,No,178,41,No,No,30,0.7317,3,0.2303,26,0.6341,245,110,67,310,2,0.0225,,0.6292,0.3483,32,8,0.1951,7.561,6,67.6,1.3764,5.9756,-1.4424,0.0488,9.4231,4.2308,2.5769,11,69.551,69.551,0.237,30.5,56.5,43.5,56.5,56.5,59.5,46.5,56.5,56.5,56.5,43.5,56.5,56.5,7,4,2,5,1,,9,0.3462,
Kendre Miller,NO,RB,34,No,No,Yes,19,4,No,Yes,4,1,,0.2105,4,1,28,35,17,-7,,0.9474,,,0.0526,1,1,0.25,-1.75,,95.8,1.4737,7,1.0576,,7,8.75,4.25,1,7.7238,7.7238,0.125,2.8,6.8,4.8,8.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,7,,,,,,3,0.75,
Jimmy Horn,CAR,WR,61,No,No,No,59,13,No,Yes,11,0.8462,,0.2203,10,0.7692,93,69,22,80,1,0.0169,,0.7119,0.2712,9,3,0.2308,6.1538,2,96,1.5763,7.1538,0.4624,0.0769,9.3,6.9,2.2,3,21.0832,21.0832,0.2407,9.3,19.3,14.3,19.3,19.3,19.3,14.3,19.3,19.3,19.3,14.3,19.3,19.3,13,,,2,,,2,0.2,
Brian Robinson,SF,RB,58,No,No,No,50,10,No,No,9,0.9,,0.2,7,0.7,23,35,14,-4,,0.86,,0.1,0.04,2,1,0.1,-0.4,,72.9,0.46,2.3,-3.7521,,3.2857,5,2,1,14.9563,14.9563,0.1818,2.3,9.3,5.8,12.8,9.3,9.3,5.8,9.3,9.3,9.3,5.8,9.3,9.3,17,3,1,3,,,3,0.4286,
Alvin Kamara,NO,RB,228,No,No,No,167,37,No,No,36,0.973,,0.2216,32,0.8649,188,195,38,14,3,0.8323,,0.0778,0.0898,18,4,0.1081,0.3784,,87.8,1.1257,5.0811,-1.153,0.0811,5.875,6.0938,1.1875,7,59.5248,59.5248,0.1805,18.8,50.8,34.8,66.8,50.8,53.8,37.8,50.8,50.8,50.8,34.8,50.8,50.8,11,1,,5,,,7,0.2188,
Gunner Olszewski,NYG,WR,53,No,No,No,51,12,No,Yes,10,0.8333,2,0.2353,10,0.8333,145,73,22,124,,,,0.5294,0.4706,7,2,0.1667,10.3333,3,144.8,2.8431,12.0833,4.1895,,14.5,7.3,2.2,7,22.9525,22.9525,0.24,20.5,30.5,25.5,30.5,30.5,33.5,28.5,30.5,30.5,30.5,25.5,30.5,30.5,16,3,2,1,1,1,,,
Tucker Fisk,LAC,TE,52,No,No,No,28,3,No,Yes,3,1,,0.1071,2,0.6667,19,21,5,2,1,0.0357,0.75,0.1429,0.0714,2,1,0.3333,0.6667,,84,0.6786,6.3333,0.931,0.3333,9.5,10.5,2.5,1,4.2328,4.2328,0.0714,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,10,1,,,,,,,
Tai Felton,MIN,WR,17,No,No,Yes,13,3,No,Yes,3,1,,0.2308,3,1,25,14,3,11,,,,0.1538,0.8462,3,,,3.6667,,101.4,1.9231,8.3333,1.8291,,8.3333,4.6667,1,2,7.5023,7.5023,0.1765,2.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,14,,,,,,,,
Eric Saubert,SEA,TE,65,No,No,No,37,3,No,No,3,1,,0.0811,3,1,19,9,1,10,,,0.8649,0.1081,0.027,,,,3.3333,,93.1,0.5135,6.3333,0.1206,,6.3333,3,0.3333,1,4.2909,4.2909,0.0536,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,11,,,1,,,,,
Ray-Ray McCloud,NYG,WR,111,No,Yes,Yes,102,12,No,No,8,0.6667,1,0.1176,6,0.5,57,30,23,83,2,,,0.3039,0.6961,9,2,0.1667,6.9167,,28.8,0.5588,4.75,-2.595,0.1667,9.5,5,3.8333,3,22.3928,22.3928,0.1165,5.7,11.7,8.7,11.7,11.7,11.7,8.7,11.7,11.7,11.7,8.7,11.7,11.7,6,1,1,1,,,2,0.3333,
James Mitchell,CAR,TE,7,No,No,No,6,2,No,Yes,2,1,,0.3333,2,1,19,10,3,9,,,0.1667,0.8333,,1,,,4.5,,106.3,3.1667,9.5,2.752,,9.5,5,1.5,1,2.6191,2.6191,0.2857,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,5,,,,,,,,
Cade Otton,TB,TE,448,No,No,No,344,71,No,Yes,62,0.8732,1,0.2064,54,0.7606,471,248,98,338,2,,0.25,0.5669,0.1831,48,4,0.0563,4.7606,1,86.1,1.3692,6.6338,-0.0681,0.0282,8.7222,4.5926,1.8148,21,108.8503,108.8503,0.1732,53.1,107.1,80.1,107.1,134.1,110.1,83.1,107.1,107.1,107.1,80.1,134.1,107.1,16,16,10,5,1,,5,0.0926,
DeMario Douglas,NE,WR,178,Yes,No,Yes,172,38,No,Yes,29,0.7632,2,0.2209,28,0.7368,376,210,31,318,,0.0233,,0.8256,0.1512,30,6,0.1579,8.3684,6,122.3,2.186,9.8947,2.4316,,13.4286,7.5,1.1071,16,74.8653,74.8653,0.2303,49.6,77.6,63.6,77.6,77.6,80.6,66.6,77.6,77.6,77.6,63.6,77.6,77.6,17,3,3,5,2,1,4,0.1429,1
Xavier Weaver,ARZ,WR,180,No,Yes,No,169,11,No,No,6,0.5455,1,0.0651,5,0.4545,53,14,1,190,1,,,0.2249,0.7751,8,,,17.2727,5,22.2,0.3136,4.8182,-4.7809,0.0909,10.6,2.8,0.2,1,23.9281,23.9281,0.0688,5.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,9,2,1,2,,,,,
Carter Runyon,LV,TE,9,No,No,No,3,1,No,Yes,1,1,,0.3333,1,1,3,6,1,-3,,,0.3333,0.3333,0.3333,1,1,1,-3,,79.2,1,3,-2.8652,,3,6,1,,1.5134,1.5134,0.1667,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,10,,,,,,,,
Malik Nabers,NYG,WR,106,No,No,No,99,30,No,Yes,21,0.7,5,0.303,18,0.6,271,51,42,516,2,,,0.2222,0.7778,28,1,0.0333,17.2,9,84.2,2.7374,9.0333,-0.4809,0.0667,15.0556,2.8333,2.3333,11,59.7758,59.7758,0.3371,39.1,57.1,48.1,57.1,57.1,60.1,51.1,57.1,57.1,57.1,48.1,57.1,57.1,4,3,2,2,2,2,3,0.1667,1
Colson Yankoff,WAS,TE,34,No,Yes,No,18,3,No,No,2,0.6667,,0.1667,2,0.6667,18,5,1,18,,0.1111,0.4444,0.2778,0.1667,3,,,6,,82.6,1,6,-1.2446,,9,2.5,0.5,2,4.6918,4.6918,0.1071,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,14,,,,,,,,
Dylan Laube,LV,RB,13,No,No,No,10,4,No,Yes,3,0.75,,0.4,3,0.75,18,24,15,-3,,1,,,,,,,-0.75,,83.3,1.8,4.5,-1.4819,,6,8,5,1,5.8768,5.8768,0.3636,1.8,4.8,3.3,6.3,4.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,17,,,,,,1,0.3333,
Jason Brownlee,KC,WR,11,No,No,No,7,1,No,Yes,,,1,0.1429,,,,,,14,,,,,1,1,,,14,,39.6,,,-9.8134,,,,,,2.9306,2.9306,0.1,,,,,,,,,,,,,,6,,,1,,,,,
