Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,TargetedReadFirstTotal,ReceptionsHero,DropsTotal,AveragesPerTargetDropsTotal
Kyle Pitts,ATL,TE,19,No,Yes,Yes,19,3,No,1,Yes,2,0.6667,0.1579,43,0.2632,0.2632,14.3333,70.1,-9.0243,4.6402,4.6402,0.375,17,,0.4737,2,0.6667,6,-1,-1,0.3158,2,3,-0.5,-0.5,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,,1,,,,,1,,,,,,
Dante Pettis,NO,WR,4,No,Yes,Yes,4,1,No,,Yes,1,1,0.25,15,0.5,0.5,15,118.8,3.5903,1.5839,1.5839,0.5,8,,,1,1,14,-1,,3.5,14,14,-1,,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,,,,,,,,,1,,,
Dalen Cambre,NYG,WR,1,No,Yes,No,1,,No,,No,,,,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin,CLV,TE,33,Yes,Yes,No,31,6,No,2,No,5,0.8333,0.1935,69,0.5806,0.129,11.5,70.1,-2.7828,9.4279,9.4279,0.5,16,,0.2903,3,0.5,38,7,3,1.2258,6.3333,12.6667,2.3333,1,3.8,6.8,5.3,6.8,8.3,6.8,5.3,6.8,6.8,6.8,5.3,8.3,6.8,,,,1,,,1,,,,,1,0.1667
Chris Godwin,TB,WR,24,No,Yes,No,24,,No,,No,,,,,0.6667,0.3333,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,14,Yes,Yes,Yes,14,,No,,No,,,,,0.0714,0.9286,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,36,Yes,Yes,No,36,4,No,,No,3,0.75,0.1111,44,0.5278,0.1667,11,116.7,5.1352,5.973,5.973,0.2857,15,,0.3056,3,0.75,57,26,4,1.5833,14.25,19,8.6667,1.3333,5.7,8.7,7.2,8.7,10.2,8.7,7.2,8.7,8.7,8.7,7.2,10.2,8.7,,,,2,,,,,,1,,,
Cedric Tillman,CLV,WR,17,No,Yes,No,17,,No,,No,,,,,0.3529,0.6471,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arian Smith,NYJ,WR,23,No,Yes,No,22,,No,,No,,,,,0.2727,0.7273,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,17,No,Yes,No,17,1,No,,No,,,0.0588,-2,0.4118,0.5882,-2,39.6,-5.4991,1.6115,1.6115,0.2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Calvin Ridley,TEN,WR,9,No,Yes,No,9,1,No,,No,1,1,0.1111,3,,1,3,87.5,-0.4499,3.6258,3.6258,0.5,7,,,1,1,5,2,,0.5556,5,5,2,,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,,,,
Raheem Mostert,LV,RB,3,No,Yes,No,2,,No,,Yes,,,,,0.5,,,,,,,,12,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
