Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,TargetsContestedTotal,TargetedReadFirstTotal,DeepTargetTargetsTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Blake Whiteheart,CLV,TE,10,No,Yes,No,5,,No,No,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,16,0.2,,,,,,,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,6,No,Yes,No,3,,No,No,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
Cameron Latu,PHI,TE,6,No,Yes,No,2,,No,No,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
Ja'Corey Brooks,WAS,WR,1,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,37,No,Yes,No,29,,Yes,Yes,,,,,,,,0.4828,0.2759,,,,,,,,,,,,,,,,,,,,,,,,13,0.2414,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,19,No,Yes,Yes,15,1,No,No,1,1,0.0667,1,1,-4,-5,,,-5,79.2,-0.2667,-4,-9.8711,-4,,2.9882,2.9882,0.125,-0.4,0.6,0.1,1.1,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,17,0.2,,,,,0.8,,,1,,1,,,,,,,,,,
Xavier Worthy,KC,WR,58,Yes,Yes,No,58,3,No,No,2,0.6667,0.0517,2,0.6667,54,66,,0.3621,22,109.7,0.931,18,6.4405,27,2,8.8816,8.8816,0.125,5.4,7.4,6.4,7.4,7.4,7.4,6.4,7.4,7.4,7.4,6.4,7.4,7.4,14,0.6207,,,,,0.0172,,,7,2,3.5,1,1,,1,1,2,1,,,
Quentin Johnston,LAC,WR,62,No,Yes,No,62,3,No,No,3,1,0.0484,2,0.6667,45,45,,0.1129,15,109.7,0.7258,15,5.6152,22.5,1,5.2391,5.2391,0.1111,4.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,14,0.8871,,,,1,,0.3333,,4,1,2,0.5,,,2,,1,0.5,,,
Elijah Moore,BUF,WR,16,No,Yes,Yes,16,,No,No,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,9,0.4375,,,,,0.0625,,,,,,,,,,,,,,,
Malachi Corley,CLV,WR,4,No,Yes,No,4,1,No,No,1,1,0.25,1,1,11,11,,0.25,11,112.5,2.75,11,2.6848,11,1,1.3525,1.3525,0.5,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,13,0.75,,,,,,,,,,,,,,,,,,,,
Rachaad White,TB,RB,30,No,Yes,No,19,,Yes,Yes,,,,,,,,,0.1579,,,,,,,,,,,,,,,,,,,,,,,,17,0.0526,,,,,0.7895,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,31,No,Yes,No,25,5,No,Yes,4,0.8,0.2,4,0.8,42,26,0.84,0.16,5.2,101.7,1.68,8.4,1.4734,10.5,2,9.7079,9.7079,0.2381,4.2,8.2,6.2,8.2,10.2,8.2,6.2,8.2,8.2,8.2,6.2,10.2,8.2,17,,,,,,,,,24,5,6,1.25,,1,,,1,0.25,,,
Zach Charbonnet,SEA,RB,18,No,Yes,No,13,2,No,Yes,1,0.5,0.1538,1,0.5,21,12,,,6,87.5,1.6154,10.5,3.2015,21,1,3.1514,3.1514,0.1818,2.1,3.1,2.6,3.6,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,16,,,,,,1,,,16,6,16,6,,,,,,,,,
Chuba Hubbard,CAR,RB,21,No,Yes,No,15,2,Yes,Yes,2,1,0.1333,2,1,6,-4,,0.0667,-2,118.8,0.4,3,-2.742,3,1,4.6725,4.6725,0.25,6.6,8.6,7.6,9.6,8.6,8.6,7.6,8.6,8.6,8.6,7.6,8.6,8.6,15,0.1333,,1,,,0.8,,2,10,2,5,1,,,,,1,0.5,,,
Derrick Henry,BLT,RB,17,No,Yes,Yes,8,1,No,No,1,1,0.125,1,1,12,,,,,116.7,1.5,12,6.1729,12,1,1.5315,1.5315,0.25,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,17,,,,,,1,,,12,7,12,7,,,,,1,1,,,
Robert Tonyan,KC,TE,5,No,Yes,No,4,,No,No,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,44,No,Yes,No,41,2,No,No,2,1,0.0488,2,1,15,11,,0.0244,5.5,137.5,0.3659,7.5,0.487,7.5,2,4.0726,4.0726,0.0952,7.5,9.5,8.5,10.5,9.5,9.5,8.5,9.5,9.5,9.5,8.5,9.5,9.5,17,0.0244,1,1,1,,0.9512,,1,9,3,4.5,1.5,,,,,,,,,
Ty Johnson,BUF,RB,24,No,No,No,22,,No,Yes,,,,,,,,0.0909,0.1818,,,,,,,,,,,,,,,,,,,,,,,,17,0.0909,,,,,0.6364,,,,,,,,,,,,,,,
Van Jefferson,TEN,WR,37,No,Yes,No,37,2,No,Yes,,,0.0541,,,,31,,0.1351,15.5,39.6,,,-9.5902,,,3.2305,3.2305,0.1111,,,,,,,,,,,,,,16,0.8649,,,,,,,,,,,,,,1,,,,,,
Andre Baccellia,ARZ,WR,9,No,Yes,No,9,,No,Yes,,,,,,,,,0.4444,,,,,,,,,,,,,,,,,,,,,,,,5,0.5556,,,,,,,,,,,,,,,,,,,,
Elic Ayomanor,TEN,WR,44,No,Yes,No,43,5,No,No,4,0.8,0.1163,3,0.6,51,65,,0.186,13,94.6,1.186,10.2,1.8168,17,2,8.5763,8.5763,0.2083,11.1,14.1,12.6,14.1,14.1,14.1,12.6,14.1,14.1,14.1,12.6,14.1,14.1,16,0.814,,1,,1,,0.2,1,7,2,2.3333,0.6667,,,1,,1,0.3333,,,
LeQuint Allen,JAX,RB,11,No,Yes,No,7,1,No,No,1,1,0.1429,1,1,10,4,,,4,108.3,1.4286,10,3.3381,10,,1.367,1.367,0.25,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,17,,,,,,1,,,6,2,6,2,,,,,,,,,
Colston Loveland,CHI,TE,55,No,Yes,No,53,4,No,No,2,0.5,0.0755,1,0.25,36,74,0.3774,0.3019,18.5,104.2,0.6792,9,-3.0249,36,1,8.8789,8.8789,0.16,9.6,10.6,10.1,10.6,11.1,10.6,10.1,10.6,10.6,10.6,10.1,11.1,10.6,16,0.3019,1,1,1,,0.0189,,,,,,,1,,1,,,,,,
Bijan Robinson,ATL,RB,19,No,Yes,Yes,15,1,No,Yes,1,1,0.0667,1,1,9,11,,0.1333,11,104.2,0.6,9,1.7442,9,,1.7409,1.7409,0.25,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,17,0.0667,,,,,0.8,,,-2,,-2,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,6,No,Yes,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,16,No,Yes,Yes,16,4,No,No,2,0.5,0.25,1,0.25,13,50,,0.5,12.5,40.6,0.8125,3.25,-5.5108,13,1,6.1222,6.1222,0.5,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,14,0.5,,,,,,,,-1,-1,-1,-1,2,,1,1,,,,,
Ronnie Bell,NO,WR,3,No,Yes,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,30,Yes,Yes,No,24,2,No,No,2,1,0.0833,2,1,37,21,,0.0833,10.5,118.8,1.5417,18.5,9.5502,18.5,1,3.4395,3.4395,0.2222,3.7,5.7,4.7,6.7,5.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,13,0.0833,,,,,0.8333,,,16,1,8,0.5,,,,,,,,,
Pat Freiermuth,PIT,TE,17,No,Yes,Yes,17,2,No,No,2,1,0.1176,2,1,27,20,0.1765,0.7059,10,118.8,1.5882,13.5,4.9404,13.5,1,5.1674,5.1674,0.2,2.7,4.7,3.7,4.7,5.7,4.7,3.7,4.7,4.7,4.7,3.7,5.7,4.7,17,0.1176,,,,,,,,7,1,3.5,0.5,,1,,,,,,,
Darren Waller,MIA,TE,7,Yes,Yes,Yes,6,1,No,No,1,1,0.1667,1,1,22,20,0.3333,0.3333,20,118.8,3.6667,22,10.2377,22,1,2.1385,2.1385,0.5,2.2,3.2,2.7,3.2,3.7,3.2,2.7,3.2,3.2,3.2,2.7,3.7,3.2,9,0.3333,,,,,,,,2,2,2,2,1,,1,1,,,,,
Stefon Diggs,NE,WR,50,Yes,Yes,No,48,6,No,No,5,0.8333,0.125,5,0.8333,95,95,,0.3958,15.8333,118.8,1.9792,15.8333,6.205,19,4,10.4192,10.4192,0.5,9.5,14.5,12,14.5,14.5,14.5,12,14.5,14.5,14.5,12,14.5,14.5,17,0.6042,1,,,,,,1,15,16,3,3.2,2,,2,2,1,0.2,2,,
Jaydon Blue,DAL,RB,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,
Kyle Monangai,CHI,RB,35,No,Yes,No,26,1,No,No,1,1,0.0385,,,,5,0.1154,0.0385,5,39.6,,,-7.233,,,1.2445,1.2445,0.05,,,,,,,,,,,,,,17,0.1538,,,,1,0.6923,1,,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,15,No,Yes,No,14,1,No,No,,,0.0714,,,,25,0.5714,0.3571,25,39.6,,,-9.5556,,,1.5971,1.5971,0.25,,,,,,,,,,,,,,16,0.0714,,,,,,,,,,,,,,1,,,,,,
Ashton Jeanty,LV,RB,32,No,Yes,No,22,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.0909,,,,,0.9091,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,14,No,Yes,No,13,,No,No,,,,,,,,,0.2308,,,,,,,,,,,,,,,,,,,,,,,,8,0.7692,,,,,,,,,,,,,,,,,,,,
Jaylin Noel,HST,WR,23,No,Yes,No,23,1,No,Yes,,,0.0435,,,,7,,0.8261,7,39.6,,,-7.0645,,,4.0235,4.0235,0.0909,,,,,,,,,,,,,,17,0.1304,,,,,0.0435,,1,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,38,No,Yes,No,37,4,No,No,2,0.5,0.1081,2,0.5,39,57,,0.4054,14.25,84.4,1.0541,9.75,0.4794,19.5,2,6.4781,6.4781,0.2353,3.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,17,0.5946,,,,,,,,13,3,6.5,1.5,1,,1,,,,,,
Hunter Renfrow,CAR,WR,9,No,Yes,No,9,1,No,No,1,1,0.1111,1,1,4,6,,0.5556,6,122.9,0.4444,4,-2.9491,4,1,3.5,3.5,0.3333,6.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,6,0.4444,1,1,1,,,,1,,,,,,,,,,,,,
Isaac TeSlaa,DET,WR,7,No,Yes,No,7,,No,No,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,17,0.8571,,,,,,,,,,,,,,,,,,,,
Allen Lazard,NYJ,WR,16,No,Yes,No,16,3,No,No,2,0.6667,0.1875,2,0.6667,13,28,,0.625,9.3333,115.3,0.8125,4.3333,-3.4702,6.5,2,7.0173,7.0173,0.5,7.3,9.3,8.3,9.3,9.3,9.3,8.3,9.3,9.3,9.3,8.3,9.3,9.3,10,0.375,1,1,1,,,,1,6,3,3,1.5,,,,,,,,,
Darnell Mooney,ATL,WR,16,No,Yes,Yes,16,1,No,Yes,,,0.0625,,,,22,,0.3125,22,39.6,,,-11.9241,,,1.6,1.6,0.25,,,,,,,,,,,,,,15,0.6875,,,,,,,,,,,,,,1,,,,,,
Jeremy Ruckert,NYJ,TE,14,No,No,No,11,,No,Yes,,,,,,,,0.7273,0.1818,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.0909,,,,,,,,,,,,,,,
Kalif Raymond,DET,WR,9,No,Yes,No,9,,No,No,,,,,,,,,0.2222,,,,,,,,2.9222,2.9222,,,,,,,,,,,,,,,15,0.7778,,,,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,10,No,Yes,No,10,1,No,No,1,1,0.1,1,1,14,20,0.4,0.4,20,158.3,1.4,14,2.2377,14,1,2.4973,2.4973,0.2,7.4,8.4,7.9,8.4,8.9,8.4,7.9,8.4,8.4,8.4,7.9,8.9,8.4,13,0.2,1,1,1,,,,1,,,,,1,,1,1,,,1,,
Curtis Samuel,BUF,WR,15,Yes,Yes,No,15,1,No,Yes,1,1,0.0667,1,1,21,16,,0.4,16,118.8,1.4,21,10.9048,21,1,1.9627,1.9627,0.1667,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,6,0.6,,,,,,,,5,1,5,1,,,,,,,,,
Chase Brown,CIN,RB,28,No,Yes,No,24,7,No,No,5,0.7143,0.2917,5,0.7143,22,12,,0.1667,1.7143,74.7,0.9167,3.1429,-3.1417,4.4,1,13.5652,13.5652,0.4375,8.2,13.2,10.7,15.7,13.2,13.2,10.7,13.2,13.2,13.2,10.7,13.2,13.2,17,0.0833,1,1,1,,0.75,,1,11,2,2.2,0.4,1,,,1,,,1,,
Najee Harris,LAC,RB,3,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,29,No,Yes,No,21,,No,No,,,,,,,,0.2857,0.2381,,,,,,,,,,,,,,,,,,,,,,,,16,0.3333,,,,,0.1429,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,20,No,Yes,No,16,1,No,No,1,1,0.0625,1,1,27,-1,0.625,0.0625,-1,118.8,1.6875,27,22.0986,27,1,1.3292,1.3292,0.125,2.7,3.7,3.2,3.7,4.2,3.7,3.2,3.7,3.7,3.7,3.2,4.2,3.7,17,,,,,,0.3125,,,28,4,28,4,,,,,,,,,
Dylan Drummond,ATL,WR,2,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,
Devontez Walker,BLT,WR,10,No,Yes,Yes,10,,No,No,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,11,0.4,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,5,No,Yes,No,2,,No,No,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0.5,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,37,No,No,No,34,4,No,Yes,4,1,0.1176,2,0.5,29,39,0.5,0.2941,9.75,113.5,0.8529,7.25,-2.2779,14.5,1,7.6819,7.6819,0.2667,8.9,10.9,9.9,10.9,11.9,10.9,9.9,10.9,10.9,10.9,9.9,11.9,10.9,17,0.1471,1,1,1,1,0.0588,0.25,2,1,1,0.5,0.5,2,1,1,1,,,,,
Noah Brown,WAS,WR,14,No,Yes,Yes,13,1,No,No,1,1,0.0769,1,1,28,27,,0.4615,27,118.8,2.1538,28,16.0867,28,1,1.3761,1.3761,0.5,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,4,0.5385,,,,,,,,1,1,1,1,1,,1,1,,,,,
Emeka Egbuka,TB,WR,42,No,Yes,No,42,4,Yes,Yes,4,1,0.0952,3,0.75,57,76,,0.5,19,116.7,1.3571,14.25,3.7833,19,3,7.4802,7.4802,0.25,5.7,8.7,7.2,8.7,8.7,8.7,7.2,8.7,8.7,8.7,7.2,8.7,8.7,17,0.5,,,,,,,,16,10,5.3333,3.3333,2,,1,1,1,0.3333,,,
Malik Davis,DAL,RB,4,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,1,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,29,No,Yes,No,25,1,No,No,,,0.04,,,,20,,0.6,20,39.6,,,-10.8652,,,3.1588,3.1588,0.1111,,,,,,,,,,,,,,14,0.4,,,,,,,,,,,,,1,1,,,,,,
Trey McBride,ARZ,TE,58,No,Yes,No,56,1,No,No,,,0.0179,,,,7,0.3214,0.625,7,39.6,,,-7.3078,,,1.6222,1.6222,0.0476,,,,,,,,,,,,,,17,0.0536,,,,,,,,,,,,,,,,,,,,
John Bates,WAS,TE,30,No,Yes,No,21,,No,No,,,,,,,,0.619,0.2381,,,,,,,,,,,,,,,,,,,,,,,,15,0.1429,,,,,,,,,,,,,,,,,,,,
Dont'e Thornton,LV,WR,15,No,Yes,No,15,2,No,No,1,0.5,0.1333,1,0.5,7,57,,0.4,28.5,18.8,0.4667,3.5,-7.1814,7,1,3.5398,3.5398,0.5,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,15,0.6,,,,,,,1,2,2,2,2,,,1,,,,,,
Cam Skattebo,NYG,RB,19,No,Yes,No,15,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,
Will Shipley,PHI,RB,18,No,Yes,No,17,2,No,No,2,1,0.1176,2,1,22,22,,,11,112.5,1.2941,11,3.779,11,1,2.7309,2.7309,0.4,2.2,4.2,3.2,5.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,15,0.0588,,,,,0.9412,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,9,No,Yes,No,6,2,No,No,2,1,0.3333,1,0.5,4,8,,0.1667,4,56.3,0.6667,2,-4.5467,4,,2.7669,2.7669,0.5,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,17,,,,,,0.8333,,,3,1,3,1,1,,,,,,,,
Payne Durham,TB,TE,6,No,Yes,No,3,,Yes,Yes,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
